ID;Geslacht;Persoonskenmerken;Perioden;Sportdeelname_1;TotaalSolosporten_2;Atletiek_3;Autosport_4;Fitness_5;Golf_6;Gymnastiek_7;Paardrijden_8;Schaatsen_9;Skaten_10;Wielrennen_11;Trimmen_12;Wandelsport_13;Zeilen_14;Zwemmen_15;TotaalDuosporten_16;Badminton_17;Squash_18;Tafeltennis_19;Tennis_20;Vechtsport_21;TotaalTeamsporten_22;Basketbal_23;Handbal_24;Hockey_25;Korfbal_26;Honkbal_27;Veldvoetbal_28;Volleybal_29;Zaalvoetbal_30;OverigeSporten_31;TotaleBevolking_32;SportendeBevolking_33;TotaleBevolking_34;SportendeBevolking_35;TotaleBevolking_36;SportendeBevolking_37;TotaleBevolking_38;SportendeBevolking_39;ToeschouwerSportwedstrijden_40;ToeschouwerBetaaldVoetbal_41;WekelijksVolgenSportRadioTelevisie_42
93;3000;Leeftijd: 25 tot 35 jaar;2003;79.0;64.0;1.0;6.0;21.0;6.0;1.0;2.0;8.0;9.0;22.0;28.0;10.0;11.0;31.0;30.0;5.0;13.0;7.0;14.0;3.0;31.0;2.0;;2.0;;1.0;20.0;6.0;14.0;10.0;36.0;45.0;36.0;46.0;2.5;3.2;40.0;51.0;45.0;27.0;56.0
94;3000;Leeftijd: 25 tot 35 jaar;2007;82.0;69.0;;4.0;27.0;7.0;;;3.0;5.0;31.0;24.0;8.0;10.0;31.0;27.0;3.0;10.0;5.0;12.0;8.0;29.0;1.0;;;;;19.0;4.0;14.0;7.0;35.0;43.0;35.0;43.0;2.4;2.9;38.0;46.0;38.0;23.0;48.0
95;3000;Leeftijd: 35 tot 45 jaar;1991;70.0;55.0;;;5.0;;1.0;;15.0;;17.0;21.0;7.0;10.0;30.0;24.0;8.0;;3.0;14.0;1.0;24.0;0.0;;1.0;;;13.0;8.0;7.0;11.0;42.0;54.0;32.0;46.0;1.8;2.6;;;44.0;16.0;66.0
96;3000;Leeftijd: 35 tot 45 jaar;1995;70.0;56.0;1.0;4.0;8.0;2.0;1.0;3.0;8.0;;17.0;20.0;10.0;9.0;35.0;24.0;7.0;4.0;4.0;12.0;2.0;21.0;1.0;;1.0;;;12.0;7.0;6.0;6.0;37.0;49.0;29.0;41.0;1.8;2.6;;;39.0;15.0;67.0
97;3000;Leeftijd: 35 tot 45 jaar;1999;70.0;56.0;;3.0;12.0;3.0;0.0;;6.0;7.0;16.0;19.0;9.0;7.0;30.0;21.0;5.0;5.0;2.0;11.0;1.0;21.0;1.0;;;;;11.0;6.0;6.0;10.0;33.0;43.0;25.0;35.0;1.8;2.5;;;39.0;16.0;57.0
98;3000;Leeftijd: 35 tot 45 jaar;2003;78.0;66.0;1.0;4.0;15.0;4.0;0.0;2.0;11.0;7.0;21.0;26.0;12.0;9.0;36.0;25.0;6.0;6.0;4.0;13.0;2.0;22.0;1.0;;2.0;;0.0;14.0;4.0;7.0;7.0;35.0;43.0;31.0;40.0;2.2;2.8;33.0;43.0;45.0;21.0;58.0
99;3000;Leeftijd: 35 tot 45 jaar;2007;77.0;64.0;;4.0;20.0;5.0;;;7.0;5.0;23.0;27.0;10.0;7.0;32.0;22.0;5.0;6.0;4.0;12.0;4.0;21.0;1.0;;;;;14.0;3.0;6.0;7.0;34.0;42.0;28.0;36.0;2.1;2.8;32.0;41.0;41.0;24.0;52.0
100;3000;Leeftijd: 45 tot 55 jaar;1991;57.0;43.0;;;2.0;;1.0;;11.0;;12.0;17.0;9.0;7.0;18.0;19.0;6.0;;4.0;12.0;1.0;13.0;0.0;;0.0;;;7.0;5.0;2.0;8.0;34.0;49.0;22.0;39.0;1.3;2.2;;;41.0;15.0;66.0
101;3000;Leeftijd: 45 tot 55 jaar;1995;59.0;47.0;1.0;1.0;5.0;2.0;1.0;1.0;8.0;;11.0;24.0;10.0;8.0;21.0;17.0;4.0;1.0;3.0;12.0;1.0;11.0;0.0;;1.0;;;5.0;4.0;2.0;7.0;33.0;49.0;20.0;34.0;1.3;2.2;;;36.0;12.0;71.0
102;3000;Leeftijd: 45 tot 55 jaar;1999;60.0;49.0;;2.0;8.0;2.0;2.0;;5.0;3.0;11.0;22.0;14.0;6.0;20.0;17.0;5.0;2.0;2.0;10.0;1.0;9.0;0.0;;;;;4.0;4.0;2.0;10.0;30.0;44.0;16.0;27.0;1.4;2.3;;;35.0;15.0;62.0
