ID;BiologicalControl;Crops;Periods;CompaniesWithBiologicalControlAgents_1;CompaniesWithBiologicalControlAgents_2;AreaSizeWithDeploymentOfMacrobials_3;AreaSizeWithDeploymentOfMacrobials_4;DeployedMacrobiologicalControlAgents_5;CropArea_6;AreaWithBiologicalControlAgents_7
267;A07 Phytoseiulus persimilis;Tomatoes (total);2012;28.0;8.4;77.0;4.6;2984.0;2.0;39.0
268;A07 Phytoseiulus persimilis;Tomatoes (total);2016;49.0;18.0;308.0;18.1;35906.0;21.0;116.0
269;A07 Phytoseiulus persimilis;Tomatoes (total);2020;38.0;14.4;329.0;17.6;18417.0;10.0;56.0
270;A08 Stratiolaelaps scimitus;Total crops/cultivation sectors;2012;;;361.0;5.7;301819.0;48.0;836.0
271;A08 Stratiolaelaps scimitus;Total crops/cultivation sectors;2016;;;698.0;11.5;1042448.0;172.0;1493.0
272;A08 Stratiolaelaps scimitus;Total crops/cultivation sectors;2020;;;629.0;9.3;2145161.0;319.0;3410.0
273;A08 Stratiolaelaps scimitus;Strawberries, under glass;2012;;;;;;;
274;A08 Stratiolaelaps scimitus;Strawberries, under glass;2016;;;;;;;
275;A08 Stratiolaelaps scimitus;Strawberries, under glass;2020;2.0;0.8;3.0;0.6;201.0;0.0;63.0
276;A08 Stratiolaelaps scimitus;Foliage plants under glass;2012;;;;;;;
277;A08 Stratiolaelaps scimitus;Foliage plants under glass;2016;70.0;29.2;144.0;36.8;166602.0;425.0;1156.0
278;A08 Stratiolaelaps scimitus;Foliage plants under glass;2020;64.0;26.4;145.0;31.6;220735.0;480.0;1518.0
279;A08 Stratiolaelaps scimitus;Chrysantinum under glass;2012;;;;;;;
280;A08 Stratiolaelaps scimitus;Chrysantinum under glass;2016;;;;;;;
281;A08 Stratiolaelaps scimitus;Chrysantinum under glass;2020;;;;;;;
282;A08 Stratiolaelaps scimitus;Gerberas under glass;2012;;;;;;;
283;A08 Stratiolaelaps scimitus;Gerberas under glass;2016;;;;;;;
284;A08 Stratiolaelaps scimitus;Gerberas under glass;2020;6.0;13.0;33.0;20.1;21980.0;134.0;665.0
285;A08 Stratiolaelaps scimitus;Cucumbers;2012;;;;;;;
286;A08 Stratiolaelaps scimitus;Cucumbers;2016;;;;;;;
287;A08 Stratiolaelaps scimitus;Cucumbers;2020;2.0;1.0;4.0;0.7;17519.0;29.0;4009.0
288;A08 Stratiolaelaps scimitus;Peppers (total);2012;;;;;;;
289;A08 Stratiolaelaps scimitus;Peppers (total);2016;16.0;6.3;107.0;8.1;33777.0;26.0;317.0
290;A08 Stratiolaelaps scimitus;Peppers (total);2020;8.0;3.1;49.0;3.2;13462.0;9.0;274.0
291;A08 Stratiolaelaps scimitus;Pot plants for flowering;2012;68.0;14.7;190.0;21.9;256095.0;295.0;1350.0
292;A08 Stratiolaelaps scimitus;Pot plants for flowering;2016;105.0;26.7;400.0;42.7;818028.0;874.0;2047.0
293;A08 Stratiolaelaps scimitus;Pot plants for flowering;2020;103.0;25.3;349.0;36.4;1863768.0;1945.0;5342.0
294;A08 Stratiolaelaps scimitus;Roses under glass;2012;;;;;;;
295;A08 Stratiolaelaps scimitus;Roses under glass;2016;;;;;;;
296;A08 Stratiolaelaps scimitus;Roses under glass;2020;15.0;25.2;45.0;22.1;7496.0;37.0;166.0
297;A08 Stratiolaelaps scimitus;Tomatoes (total);2012;0.0;0.0;0.0;0.0;0.0;0.0;
298;A08 Stratiolaelaps scimitus;Tomatoes (total);2016;0.0;0.0;0.0;0.0;0.0;0.0;
299;A08 Stratiolaelaps scimitus;Tomatoes (total);2020;0.0;0.0;0.0;0.0;0.0;0.0;
300;A09 Transeius montdorensis;Total crops/cultivation sectors;2012;;;316.0;5.0;476280.0;75.0;1507.0
301;A09 Transeius montdorensis;Total crops/cultivation sectors;2016;;;699.0;11.5;527471.0;87.0;754.0
302;A09 Transeius montdorensis;Total crops/cultivation sectors;2020;;;2189.0;32.5;33849260.0;5026.0;15462.0
303;A09 Transeius montdorensis;Strawberries, under glass;2012;;;;;;;
304;A09 Transeius montdorensis;Strawberries, under glass;2016;;;;;;;
305;A09 Transeius montdorensis;Strawberries, under glass;2020;10.0;4.1;24.0;4.8;44408.0;88.0;1838.0
306;A09 Transeius montdorensis;Foliage plants under glass;2012;;;;;;;
307;A09 Transeius montdorensis;Foliage plants under glass;2016;;;;;;;
308;A09 Transeius montdorensis;Foliage plants under glass;2020;36.0;15.0;120.0;26.0;2661160.0;5787.0;22230.0
309;A09 Transeius montdorensis;Chrysantinum under glass;2012;;;;;;;
310;A09 Transeius montdorensis;Chrysantinum under glass;2016;25.0;22.0;127.0;33.2;324392.0;847.0;2549.0
311;A09 Transeius montdorensis;Chrysantinum under glass;2020;81.0;70.0;394.0;88.6;21241470.0;47717.0;53859.0
312;A09 Transeius montdorensis;Gerberas under glass;2012;25.0;37.2;64.0;37.6;98877.0;581.0;1543.0
313;A09 Transeius montdorensis;Gerberas under glass;2016;;;;;;;
314;A09 Transeius montdorensis;Gerberas under glass;2020;31.0;68.5;121.0;73.6;839484.0;5108.0;6942.0
315;A09 Transeius montdorensis;Cucumbers;2012;37.0;14.6;119.0;19.2;215232.0;346.0;1802.0
316;A09 Transeius montdorensis;Cucumbers;2016;28.0;13.4;75.0;13.6;63187.0;114.0;838.0
317;A09 Transeius montdorensis;Cucumbers;2020;45.0;21.1;165.0;27.7;1505556.0;2531.0;9129.0
318;A09 Transeius montdorensis;Peppers (total);2012;;;;;;;
319;A09 Transeius montdorensis;Peppers (total);2016;61.0;24.2;368.0;27.9;118207.0;90.0;321.0
320;A09 Transeius montdorensis;Peppers (total);2020;144.0;56.9;952.0;62.1;1049704.0;685.0;1102.0
321;A09 Transeius montdorensis;Pot plants for flowering;2012;;;;;;;
322;A09 Transeius montdorensis;Pot plants for flowering;2016;27.0;6.9;95.0;10.1;18379.0;20.0;194.0
323;A09 Transeius montdorensis;Pot plants for flowering;2020;81.0;19.9;287.0;29.9;4383936.0;4575.0;15279.0
324;A09 Transeius montdorensis;Roses under glass;2012;13.0;7.2;43.0;10.6;80286.0;197.0;1867.0
325;A09 Transeius montdorensis;Roses under glass;2016;;;;;;;
326;A09 Transeius montdorensis;Roses under glass;2020;26.0;42.9;126.0;61.6;2123542.0;10396.0;16875.0
327;A09 Transeius montdorensis;Tomatoes (total);2012;0.0;0.0;0.0;0.0;0.0;0.0;
328;A09 Transeius montdorensis;Tomatoes (total);2016;0.0;0.0;0.0;0.0;0.0;0.0;
329;A09 Transeius montdorensis;Tomatoes (total);2020;0.0;0.0;0.0;0.0;0.0;0.0;
330;A99 Predatory mite and trips, others;Total crops/cultivation sectors;2012;;;252.0;4.0;32089.0;5.0;127.0
331;A99 Predatory mite and trips, others;Total crops/cultivation sectors;2016;;;202.0;3.3;90205.0;15.0;447.0
332;A99 Predatory mite and trips, others;Total crops/cultivation sectors;2020;;;246.0;3.7;402455.0;60.0;1637.0
333;A99 Predatory mite and trips, others;Strawberries, under glass;2012;;;;;;;
334;A99 Predatory mite and trips, others;Strawberries, under glass;2016;;;;;;;
335;A99 Predatory mite and trips, others;Strawberries, under glass;2020;22.0;9.1;43.0;8.5;79502.0;158.0;1854.0
336;A99 Predatory mite and trips, others;Foliage plants under glass;2012;;;;;;;
337;A99 Predatory mite and trips, others;Foliage plants under glass;2016;;;;;;;
338;A99 Predatory mite and trips, others;Foliage plants under glass;2020;21.0;8.6;38.0;8.3;61050.0;133.0;1591.0
339;A99 Predatory mite and trips, others;Chrysantinum under glass;2012;;;;;;;
340;A99 Predatory mite and trips, others;Chrysantinum under glass;2016;;;;;;;
341;A99 Predatory mite and trips, others;Chrysantinum under glass;2020;1.0;1.2;0.0;0.1;141.0;0.0;400.0
342;A99 Predatory mite and trips, others;Gerberas under glass;2012;;;;;;;
343;A99 Predatory mite and trips, others;Gerberas under glass;2016;;;;;;;
344;A99 Predatory mite and trips, others;Gerberas under glass;2020;3.0;6.5;16.0;9.6;10302.0;63.0;654.0
345;A99 Predatory mite and trips, others;Cucumbers;2012;;;;;;;
346;A99 Predatory mite and trips, others;Cucumbers;2016;20.0;9.3;25.0;4.5;7081.0;13.0;282.0
347;A99 Predatory mite and trips, others;Cucumbers;2020;20.0;9.4;57.0;9.7;18227.0;31.0;317.0
348;A99 Predatory mite and trips, others;Peppers (total);2012;20.0;7.1;102.0;7.8;1641.0;1.0;16.0
349;A99 Predatory mite and trips, others;Peppers (total);2016;16.0;6.3;45.0;3.4;10741.0;8.0;239.0
350;A99 Predatory mite and trips, others;Peppers (total);2020;3.0;1.1;8.0;0.5;674.0;0.0;85.0
351;A99 Predatory mite and trips, others;Pot plants for flowering;2012;25.0;5.5;32.0;3.6;10214.0;12.0;323.0
352;A99 Predatory mite and trips, others;Pot plants for flowering;2016;34.0;8.5;59.0;6.3;31498.0;34.0;534.0
353;A99 Predatory mite and trips, others;Pot plants for flowering;2020;16.0;4.0;53.0;5.5;190881.0;199.0;3617.0
354;A99 Predatory mite and trips, others;Roses under glass;2012;;;;;;;
355;A99 Predatory mite and trips, others;Roses under glass;2016;;;;;;;
356;A99 Predatory mite and trips, others;Roses under glass;2020;7.0;12.4;30.0;14.9;41677.0;204.0;1373.0
357;A99 Predatory mite and trips, others;Tomatoes (total);2012;;;;;;;
358;A99 Predatory mite and trips, others;Tomatoes (total);2016;;;;;;;
359;A99 Predatory mite and trips, others;Tomatoes (total);2020;;;;;;;
360;B Parasitoid wasp and gall midge total;Total crops/cultivation sectors;2012;;;3319.0;52.3;549120.0;87.0;165.0
361;B Parasitoid wasp and gall midge total;Total crops/cultivation sectors;2016;;;4071.0;67.1;1118346.0;184.0;275.0
362;B Parasitoid wasp and gall midge total;Total crops/cultivation sectors;2020;;;4998.0;74.2;2440622.0;362.0;488.0
363;B Parasitoid wasp and gall midge total;Strawberries, under glass;2012;;;;;;;
364;B Parasitoid wasp and gall midge total;Strawberries, under glass;2016;37.0;14.7;91.0;27.2;2304.0;7.0;25.0
365;B Parasitoid wasp and gall midge total;Strawberries, under glass;2020;93.0;38.5;247.0;49.0;14610.0;29.0;59.0
366;B Parasitoid wasp and gall midge total;Foliage plants under glass;2012;53.0;16.9;162.0;33.5;3704.0;8.0;23.0
367;B Parasitoid wasp and gall midge total;Foliage plants under glass;2016;65.0;27.0;94.0;24.1;4839.0;12.0;51.0
368;B Parasitoid wasp and gall midge total;Foliage plants under glass;2020;66.0;27.0;175.0;38.1;74584.0;162.0;426.0
369;B Parasitoid wasp and gall midge total;Chrysantinum under glass;2012;30.0;15.6;146.0;29.0;2043.0;4.0;14.0
370;B Parasitoid wasp and gall midge total;Chrysantinum under glass;2016;34.0;29.8;177.0;46.2;1971.0;5.0;11.0
371;B Parasitoid wasp and gall midge total;Chrysantinum under glass;2020;68.0;58.7;303.0;68.0;8933.0;20.0;29.0
372;B Parasitoid wasp and gall midge total;Gerberas under glass;2012;54.0;78.8;143.0;84.0;24879.0;146.0;174.0
373;B Parasitoid wasp and gall midge total;Gerberas under glass;2016;41.0;73.1;124.0;66.1;39168.0;208.0;315.0
374;B Parasitoid wasp and gall midge total;Gerberas under glass;2020;41.0;89.2;154.0;93.8;229966.0;1399.0;1492.0
375;B Parasitoid wasp and gall midge total;Cucumbers;2012;95.0;37.7;276.0;44.4;35545.0;57.0;129.0
376;B Parasitoid wasp and gall midge total;Cucumbers;2016;160.0;76.3;460.0;83.0;78555.0;142.0;171.0
377;B Parasitoid wasp and gall midge total;Cucumbers;2020;130.0;61.0;411.0;69.0;102716.0;173.0;250.0
378;B Parasitoid wasp and gall midge total;Peppers (total);2012;151.0;52.4;755.0;57.5;14344.0;11.0;19.0
379;B Parasitoid wasp and gall midge total;Peppers (total);2016;178.0;70.2;1037.0;78.7;112371.0;85.0;108.0
380;B Parasitoid wasp and gall midge total;Peppers (total);2020;231.0;91.3;1496.0;97.6;357809.0;234.0;239.0
381;B Parasitoid wasp and gall midge total;Pot plants for flowering;2012;45.0;9.7;99.0;11.5;8386.0;10.0;84.0
382;B Parasitoid wasp and gall midge total;Pot plants for flowering;2016;103.0;26.2;292.0;31.2;51028.0;55.0;175.0
383;B Parasitoid wasp and gall midge total;Pot plants for flowering;2020;95.0;23.3;276.0;28.8;43403.0;45.0;157.0
384;B Parasitoid wasp and gall midge total;Roses under glass;2012;66.0;35.5;185.0;45.5;53335.0;131.0;288.0
385;B Parasitoid wasp and gall midge total;Roses under glass;2016;46.0;45.1;134.0;52.2;29034.0;113.0;217.0
386;B Parasitoid wasp and gall midge total;Roses under glass;2020;43.0;71.4;167.0;81.9;16898.0;83.0;101.0
387;B Parasitoid wasp and gall midge total;Tomatoes (total);2012;289.0;87.2;1528.0;90.3;406676.0;240.0;266.0
388;B Parasitoid wasp and gall midge total;Tomatoes (total);2016;259.0;94.5;1660.0;97.4;799075.0;469.0;481.0
389;B Parasitoid wasp and gall midge total;Tomatoes (total);2020;217.0;82.7;1769.0;94.5;1591705.0;850.0;900.0
390;B01 Aphidius colemani;Total crops/cultivation sectors;2012;;;773.0;12.2;6838.0;1.0;9.0
391;B01 Aphidius colemani;Total crops/cultivation sectors;2016;;;1212.0;20.0;58867.0;10.0;49.0
392;B01 Aphidius colemani;Total crops/cultivation sectors;2020;;;2228.0;33.1;115284.0;17.0;52.0
393;B01 Aphidius colemani;Strawberries, under glass;2012;;;;;;;
394;B01 Aphidius colemani;Strawberries, under glass;2016;31.0;12.3;67.0;20.0;316.0;1.0;5.0
395;B01 Aphidius colemani;Strawberries, under glass;2020;71.0;29.6;179.0;35.5;1171.0;2.0;7.0
396;B01 Aphidius colemani;Foliage plants under glass;2012;37.0;11.7;91.0;18.9;588.0;1.0;6.0
397;B01 Aphidius colemani;Foliage plants under glass;2016;50.0;20.7;66.0;16.9;1076.0;3.0;16.0
398;B01 Aphidius colemani;Foliage plants under glass;2020;36.0;14.8;90.0;19.6;4339.0;9.0;48.0
399;B01 Aphidius colemani;Chrysantinum under glass;2012;;;;;;;
400;B01 Aphidius colemani;Chrysantinum under glass;2016;;;;;;;
401;B01 Aphidius colemani;Chrysantinum under glass;2020;16.0;14.2;79.0;17.6;1586.0;4.0;20.0
402;B01 Aphidius colemani;Gerberas under glass;2012;;;;;;;
403;B01 Aphidius colemani;Gerberas under glass;2016;;;;;;;
404;B01 Aphidius colemani;Gerberas under glass;2020;6.0;13.8;23.0;13.8;69.0;0.0;3.0
405;B01 Aphidius colemani;Cucumbers;2012;;;;;;;
406;B01 Aphidius colemani;Cucumbers;2016;35.0;16.6;79.0;14.3;7106.0;13.0;90.0
407;B01 Aphidius colemani;Cucumbers;2020;69.0;32.0;203.0;34.1;11812.0;20.0;58.0
408;B01 Aphidius colemani;Peppers (total);2012;92.0;31.9;502.0;38.3;2626.0;2.0;5.0
409;B01 Aphidius colemani;Peppers (total);2016;117.0;46.4;697.0;52.9;16975.0;13.0;24.0
410;B01 Aphidius colemani;Peppers (total);2020;215.0;85.0;1442.0;94.1;90371.0;59.0;63.0
411;B01 Aphidius colemani;Pot plants for flowering;2012;25.0;5.4;64.0;7.4;2448.0;3.0;38.0
412;B01 Aphidius colemani;Pot plants for flowering;2016;49.0;12.5;135.0;14.4;31504.0;34.0;234.0
413;B01 Aphidius colemani;Pot plants for flowering;2020;44.0;10.9;126.0;13.2;5605.0;6.0;44.0
414;B01 Aphidius colemani;Roses under glass;2012;;;;;;;
415;B01 Aphidius colemani;Roses under glass;2016;;;;;;;
416;B01 Aphidius colemani;Roses under glass;2020;14.0;24.1;87.0;42.5;330.0;2.0;4.0
417;B01 Aphidius colemani;Tomatoes (total);2012;;;;;;;
418;B01 Aphidius colemani;Tomatoes (total);2016;20.0;7.5;125.0;7.3;666.0;0.0;5.0
419;B01 Aphidius colemani;Tomatoes (total);2020;2.0;0.7;0.0;0.0;0.0;0.0;1.0
420;B02 Aphidius ervi;Total crops/cultivation sectors;2012;;;560.0;8.8;4549.0;1.0;8.0
421;B02 Aphidius ervi;Total crops/cultivation sectors;2016;;;681.0;11.2;8944.0;1.0;13.0
422;B02 Aphidius ervi;Total crops/cultivation sectors;2020;;;969.0;14.4;14562.0;2.0;15.0
423;B02 Aphidius ervi;Strawberries, under glass;2012;;;;;;;
424;B02 Aphidius ervi;Strawberries, under glass;2016;18.0;7.2;41.0;12.1;254.0;1.0;6.0
425;B02 Aphidius ervi;Strawberries, under glass;2020;54.0;22.3;118.0;23.4;260.0;1.0;2.0
426;B02 Aphidius ervi;Foliage plants under glass;2012;;;;;;;
427;B02 Aphidius ervi;Foliage plants under glass;2016;;;;;;;
428;B02 Aphidius ervi;Foliage plants under glass;2020;22.0;8.9;44.0;9.5;2502.0;5.0;57.0
429;B02 Aphidius ervi;Chrysantinum under glass;2012;;;;;;;
430;B02 Aphidius ervi;Chrysantinum under glass;2016;;;;;;;
431;B02 Aphidius ervi;Chrysantinum under glass;2020;5.0;4.4;11.0;2.5;115.0;0.0;10.0
432;B02 Aphidius ervi;Gerberas under glass;2012;;;;;;;
433;B02 Aphidius ervi;Gerberas under glass;2016;;;;;;;
434;B02 Aphidius ervi;Gerberas under glass;2020;2.0;3.7;3.0;1.5;1.0;0.0;1.0
435;B02 Aphidius ervi;Cucumbers;2012;;;;;;;
436;B02 Aphidius ervi;Cucumbers;2016;18.0;8.8;32.0;5.8;972.0;2.0;30.0
437;B02 Aphidius ervi;Cucumbers;2020;31.0;14.4;71.0;12.0;3023.0;5.0;42.0
438;B02 Aphidius ervi;Peppers (total);2012;50.0;17.5;300.0;22.9;927.0;1.0;3.0
439;B02 Aphidius ervi;Peppers (total);2016;60.0;23.8;280.0;21.3;6209.0;5.0;22.0
440;B02 Aphidius ervi;Peppers (total);2020;87.0;34.3;459.0;30.0;7698.0;5.0;17.0
441;B02 Aphidius ervi;Pot plants for flowering;2012;;;;;;;
442;B02 Aphidius ervi;Pot plants for flowering;2016;28.0;7.0;60.0;6.4;359.0;0.0;6.0
443;B02 Aphidius ervi;Pot plants for flowering;2020;25.0;6.3;69.0;7.2;519.0;1.0;7.0
444;B02 Aphidius ervi;Roses under glass;2012;;;;;;;
445;B02 Aphidius ervi;Roses under glass;2016;;;;;;;
446;B02 Aphidius ervi;Roses under glass;2020;11.0;17.6;83.0;40.4;403.0;2.0;5.0
447;B02 Aphidius ervi;Tomatoes (total);2012;30.0;8.9;163.0;9.6;310.0;0.0;2.0
448;B02 Aphidius ervi;Tomatoes (total);2016;34.0;12.6;217.0;12.7;831.0;0.0;4.0
449;B02 Aphidius ervi;Tomatoes (total);2020;12.0;4.7;111.0;5.9;42.0;0.0;0.0
450;B03 Aphidoletes aphidimyza;Total crops/cultivation sectors;2012;;;493.0;7.8;8817.0;1.0;18.0
451;B03 Aphidoletes aphidimyza;Total crops/cultivation sectors;2016;;;1191.0;19.6;74802.0;12.0;63.0
452;B03 Aphidoletes aphidimyza;Total crops/cultivation sectors;2020;;;2166.0;32.2;248701.0;37.0;115.0
453;B03 Aphidoletes aphidimyza;Strawberries, under glass;2012;;;;;;;
454;B03 Aphidoletes aphidimyza;Strawberries, under glass;2016;18.0;7.2;50.0;14.8;812.0;2.0;16.0
455;B03 Aphidoletes aphidimyza;Strawberries, under glass;2020;43.0;18.0;107.0;21.1;4347.0;9.0;41.0
456;B03 Aphidoletes aphidimyza;Foliage plants under glass;2012;;;;;;;
457;B03 Aphidoletes aphidimyza;Foliage plants under glass;2016;27.0;11.3;53.0;13.5;1861.0;5.0;35.0
458;B03 Aphidoletes aphidimyza;Foliage plants under glass;2020;32.0;13.0;77.0;16.8;6106.0;13.0;79.0
459;B03 Aphidoletes aphidimyza;Chrysantinum under glass;2012;;;;;;;
460;B03 Aphidoletes aphidimyza;Chrysantinum under glass;2016;;;;;;;
461;B03 Aphidoletes aphidimyza;Chrysantinum under glass;2020;7.0;5.8;14.0;3.1;678.0;2.0;49.0
462;B03 Aphidoletes aphidimyza;Gerberas under glass;2012;;;;;;;
463;B03 Aphidoletes aphidimyza;Gerberas under glass;2016;;;;;;;
464;B03 Aphidoletes aphidimyza;Gerberas under glass;2020;;;;;;;
465;B03 Aphidoletes aphidimyza;Cucumbers;2012;;;;;;;
466;B03 Aphidoletes aphidimyza;Cucumbers;2016;47.0;22.2;103.0;18.7;11204.0;20.0;108.0
467;B03 Aphidoletes aphidimyza;Cucumbers;2020;44.0;20.6;138.0;23.1;24642.0;41.0;179.0
468;B03 Aphidoletes aphidimyza;Peppers (total);2012;41.0;14.2;202.0;15.4;956.0;1.0;5.0
469;B03 Aphidoletes aphidimyza;Peppers (total);2016;85.0;33.6;487.0;36.9;53205.0;40.0;109.0
470;B03 Aphidoletes aphidimyza;Peppers (total);2020;190.0;75.2;1308.0;85.4;188701.0;123.0;144.0
471;B03 Aphidoletes aphidimyza;Pot plants for flowering;2012;30.0;6.5;59.0;6.9;2900.0;3.0;49.0
472;B03 Aphidoletes aphidimyza;Pot plants for flowering;2016;60.0;15.3;155.0;16.5;2414.0;3.0;16.0
473;B03 Aphidoletes aphidimyza;Pot plants for flowering;2020;50.0;12.4;180.0;18.8;15322.0;16.0;85.0
474;B03 Aphidoletes aphidimyza;Roses under glass;2012;;;;;;;
475;B03 Aphidoletes aphidimyza;Roses under glass;2016;;;;;;;
476;B03 Aphidoletes aphidimyza;Roses under glass;2020;22.0;36.4;123.0;60.0;4724.0;23.0;39.0
477;B03 Aphidoletes aphidimyza;Tomatoes (total);2012;27.0;8.3;115.0;6.8;1076.0;1.0;9.0
478;B03 Aphidoletes aphidimyza;Tomatoes (total);2016;47.0;17.1;308.0;18.1;2155.0;1.0;7.0
479;B03 Aphidoletes aphidimyza;Tomatoes (total);2020;15.0;5.7;219.0;11.7;4181.0;2.0;19.0
480;B04 Diglyphus isaea;Total crops/cultivation sectors;2012;;;1402.0;22.1;4476.0;1.0;3.0
481;B04 Diglyphus isaea;Total crops/cultivation sectors;2016;;;583.0;9.6;3213.0;1.0;6.0
482;B04 Diglyphus isaea;Total crops/cultivation sectors;2020;;;620.0;9.2;5238.0;1.0;8.0
483;B04 Diglyphus isaea;Strawberries, under glass;2012;0.0;0.0;0.0;0.0;0.0;0.0;
484;B04 Diglyphus isaea;Strawberries, under glass;2016;0.0;0.0;0.0;0.0;0.0;0.0;
485;B04 Diglyphus isaea;Strawberries, under glass;2020;0.0;0.0;0.0;0.0;0.0;0.0;
486;B04 Diglyphus isaea;Foliage plants under glass;2012;;;;;;;
487;B04 Diglyphus isaea;Foliage plants under glass;2016;;;;;;;
488;B04 Diglyphus isaea;Foliage plants under glass;2020;2.0;0.7;4.0;0.8;364.0;1.0;104.0
489;B04 Diglyphus isaea;Chrysantinum under glass;2012;30.0;15.6;146.0;29.0;937.0;2.0;6.0
490;B04 Diglyphus isaea;Chrysantinum under glass;2016;34.0;29.8;177.0;46.2;707.0;2.0;4.0
491;B04 Diglyphus isaea;Chrysantinum under glass;2020;62.0;54.1;286.0;64.1;3151.0;7.0;11.0
492;B04 Diglyphus isaea;Gerberas under glass;2012;32.0;47.7;91.0;53.4;541.0;3.0;6.0
493;B04 Diglyphus isaea;Gerberas under glass;2016;19.0;34.2;59.0;31.3;1081.0;6.0;18.0
494;B04 Diglyphus isaea;Gerberas under glass;2020;22.0;47.6;89.0;54.0;1039.0;6.0;12.0
495;B04 Diglyphus isaea;Cucumbers;2012;;;;;;;
496;B04 Diglyphus isaea;Cucumbers;2016;;;;;;;
497;B04 Diglyphus isaea;Cucumbers;2020;6.0;2.8;20.0;3.3;16.0;0.0;1.0
498;B04 Diglyphus isaea;Peppers (total);2012;83.0;28.7;419.0;31.9;596.0;0.0;1.0
499;B04 Diglyphus isaea;Peppers (total);2016;29.0;11.5;114.0;8.7;158.0;0.0;1.0
500;B04 Diglyphus isaea;Peppers (total);2020;16.0;6.4;77.0;5.0;31.0;0.0;0.0
501;B04 Diglyphus isaea;Pot plants for flowering;2012;;;;;;;
502;B04 Diglyphus isaea;Pot plants for flowering;2016;;;;;;;
503;B04 Diglyphus isaea;Pot plants for flowering;2020;5.0;1.2;4.0;0.4;216.0;0.0;61.0
504;B04 Diglyphus isaea;Roses under glass;2012;0.0;0.0;0.0;0.0;0.0;0.0;
505;B04 Diglyphus isaea;Roses under glass;2016;0.0;0.0;0.0;0.0;0.0;0.0;
506;B04 Diglyphus isaea;Roses under glass;2020;0.0;0.0;0.0;0.0;0.0;0.0;
507;B04 Diglyphus isaea;Tomatoes (total);2012;136.0;41.1;695.0;41.1;2339.0;1.0;3.0
508;B04 Diglyphus isaea;Tomatoes (total);2016;31.0;11.4;174.0;10.2;651.0;0.0;4.0
509;B04 Diglyphus isaea;Tomatoes (total);2020;22.0;8.3;142.0;7.6;419.0;0.0;3.0
510;B05 Encarsia formosa;Total crops/cultivation sectors;2012;;;2086.0;32.9;394597.0;62.0;189.0
511;B05 Encarsia formosa;Total crops/cultivation sectors;2016;;;2351.0;38.8;374161.0;62.0;159.0
512;B05 Encarsia formosa;Total crops/cultivation sectors;2020;;;2218.0;32.9;638197.0;95.0;288.0
513;B05 Encarsia formosa;Strawberries, under glass;2012;;;;;;;
514;B05 Encarsia formosa;Strawberries, under glass;2016;;;;;;;
515;B05 Encarsia formosa;Strawberries, under glass;2020;16.0;6.5;47.0;9.3;7907.0;16.0;168.0
516;B05 Encarsia formosa;Foliage plants under glass;2012;;;;;;;
517;B05 Encarsia formosa;Foliage plants under glass;2016;;;;;;;
518;B05 Encarsia formosa;Foliage plants under glass;2020;8.0;3.4;22.0;4.9;2363.0;5.0;106.0
519;B05 Encarsia formosa;Chrysantinum under glass;2012;0.0;0.0;0.0;0.0;0.0;0.0;
520;B05 Encarsia formosa;Chrysantinum under glass;2016;0.0;0.0;0.0;0.0;0.0;0.0;
521;B05 Encarsia formosa;Chrysantinum under glass;2020;0.0;0.0;0.0;0.0;0.0;0.0;
522;B05 Encarsia formosa;Gerberas under glass;2012;47.0;69.3;124.0;72.8;23710.0;139.0;191.0
523;B05 Encarsia formosa;Gerberas under glass;2016;39.0;69.4;121.0;64.5;33052.0;176.0;273.0
524;B05 Encarsia formosa;Gerberas under glass;2020;35.0;75.8;127.0;77.3;53844.0;328.0;424.0
525;B05 Encarsia formosa;Cucumbers;2012;44.0;17.3;142.0;22.8;29632.0;48.0;209.0
526;B05 Encarsia formosa;Cucumbers;2016;106.0;50.4;329.0;59.4;24813.0;45.0;75.0
527;B05 Encarsia formosa;Cucumbers;2020;61.0;28.5;243.0;40.8;30895.0;52.0;127.0
528;B05 Encarsia formosa;Peppers (total);2012;37.0;12.8;173.0;13.2;5196.0;4.0;30.0
529;B05 Encarsia formosa;Peppers (total);2016;28.0;11.0;157.0;11.9;4015.0;3.0;26.0
530;B05 Encarsia formosa;Peppers (total);2020;25.0;9.8;116.0;7.6;9632.0;6.0;83.0
531;B05 Encarsia formosa;Pot plants for flowering;2012;;;;;;;
532;B05 Encarsia formosa;Pot plants for flowering;2016;32.0;8.1;112.0;12.0;4081.0;4.0;36.0
533;B05 Encarsia formosa;Pot plants for flowering;2020;22.0;5.5;68.0;7.1;7076.0;7.0;104.0
534;B05 Encarsia formosa;Roses under glass;2012;66.0;35.5;185.0;45.5;51441.0;126.0;277.0
535;B05 Encarsia formosa;Roses under glass;2016;34.0;33.0;98.0;38.0;23305.0;91.0;239.0
536;B05 Encarsia formosa;Roses under glass;2020;26.0;43.5;95.0;46.3;3753.0;18.0;40.0
537;B05 Encarsia formosa;Tomatoes (total);2012;270.0;81.5;1423.0;84.2;282675.0;167.0;199.0
538;B05 Encarsia formosa;Tomatoes (total);2016;248.0;90.4;1513.0;88.8;283875.0;167.0;188.0
539;B05 Encarsia formosa;Tomatoes (total);2020;191.0;72.6;1500.0;80.1;522727.0;279.0;348.0
