ID;Geslacht;Vooropleiding;Studierichting;Opleidingsvorm;Herkomstgroepering;Perioden;TotaalAantalStudenten_1;Na3Jaar_2;Na4Jaar_3;Na5Jaar_4;Na6Jaar_5;Na7Jaar_6;Na8Jaar_7;Na9Jaar_8;Na3Jaar_9;Na4Jaar_10;Na5Jaar_11;Na6Jaar_12;Na7Jaar_13;Na8Jaar_14;Na9Jaar_15;Na3Jaar_16;Na4Jaar_17;Na5Jaar_18;Na6Jaar_19;Na7Jaar_20;Na8Jaar_21;Na9Jaar_22;Na1Jaar_23;Na2Jaar_24;Na3Jaar_25;Na4Jaar_26;Na5Jaar_27;Na6Jaar_28;Na7Jaar_29;Na8Jaar_30;InJaar2_31;InJaar3_32;InJaar4_33;InJaar5_34;InJaar6_35;InJaar7_36;InJaar8_37;InJaar9_38;InJaar2_39;InJaar3_40;InJaar4_41;InJaar5_42;InJaar6_43;InJaar7_44;InJaar8_45;InJaar9_46;InJaar2_47;InJaar3_48;InJaar4_49;InJaar5_50;InJaar6_51;InJaar7_52;InJaar8_53;InJaar9_54
1710;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Turkije;Startjaar 1995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1711;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Turkije;Startjaar 1996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1712;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Turkije;Startjaar 1997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1713;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Turkije;Startjaar 1998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1714;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Turkije;Startjaar 1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1715;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Turkije;Startjaar 2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1716;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Turkije;Startjaar 2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1717;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Turkije;Startjaar 2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1718;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Turkije;Startjaar 2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1719;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Turkije;Startjaar 2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1720;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Turkije;Startjaar 2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1721;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Turkije;Startjaar 2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1722;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Turkije;Startjaar 2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1723;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Turkije;Startjaar 2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1724;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Turkije;Startjaar 2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1725;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Turkije;Startjaar 2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1726;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Turkije;Startjaar 2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1727;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Turkije;Startjaar 2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1728;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Suriname;Startjaar 1995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1729;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Suriname;Startjaar 1996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1730;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Suriname;Startjaar 1997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1731;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Suriname;Startjaar 1998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1732;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Suriname;Startjaar 1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1733;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Suriname;Startjaar 2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1734;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Suriname;Startjaar 2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1735;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Suriname;Startjaar 2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1736;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Suriname;Startjaar 2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1737;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Suriname;Startjaar 2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1738;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Suriname;Startjaar 2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1739;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Suriname;Startjaar 2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1740;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Suriname;Startjaar 2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1741;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Suriname;Startjaar 2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1742;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Suriname;Startjaar 2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1743;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Suriname;Startjaar 2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1744;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Suriname;Startjaar 2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1745;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Suriname;Startjaar 2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1746;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;(voormalige) Nederlandse Antillen, Aruba;Startjaar 1995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1747;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;(voormalige) Nederlandse Antillen, Aruba;Startjaar 1996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1748;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;(voormalige) Nederlandse Antillen, Aruba;Startjaar 1997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1749;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;(voormalige) Nederlandse Antillen, Aruba;Startjaar 1998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1750;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;(voormalige) Nederlandse Antillen, Aruba;Startjaar 1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1751;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;(voormalige) Nederlandse Antillen, Aruba;Startjaar 2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1752;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;(voormalige) Nederlandse Antillen, Aruba;Startjaar 2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1753;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;(voormalige) Nederlandse Antillen, Aruba;Startjaar 2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1754;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;(voormalige) Nederlandse Antillen, Aruba;Startjaar 2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1755;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;(voormalige) Nederlandse Antillen, Aruba;Startjaar 2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1756;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;(voormalige) Nederlandse Antillen, Aruba;Startjaar 2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1757;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;(voormalige) Nederlandse Antillen, Aruba;Startjaar 2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1758;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;(voormalige) Nederlandse Antillen, Aruba;Startjaar 2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1759;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;(voormalige) Nederlandse Antillen, Aruba;Startjaar 2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1760;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;(voormalige) Nederlandse Antillen, Aruba;Startjaar 2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1761;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;(voormalige) Nederlandse Antillen, Aruba;Startjaar 2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1762;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;(voormalige) Nederlandse Antillen, Aruba;Startjaar 2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1763;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;(voormalige) Nederlandse Antillen, Aruba;Startjaar 2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1764;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Overig niet-westerse allochtoon;Startjaar 1995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1765;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Overig niet-westerse allochtoon;Startjaar 1996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1766;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Overig niet-westerse allochtoon;Startjaar 1997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1767;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Overig niet-westerse allochtoon;Startjaar 1998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1768;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Overig niet-westerse allochtoon;Startjaar 1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1769;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Overig niet-westerse allochtoon;Startjaar 2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1770;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Overig niet-westerse allochtoon;Startjaar 2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1771;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Overig niet-westerse allochtoon;Startjaar 2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1772;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Overig niet-westerse allochtoon;Startjaar 2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1773;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Overig niet-westerse allochtoon;Startjaar 2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1774;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Overig niet-westerse allochtoon;Startjaar 2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1775;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Overig niet-westerse allochtoon;Startjaar 2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1776;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Overig niet-westerse allochtoon;Startjaar 2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1777;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Overig niet-westerse allochtoon;Startjaar 2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1778;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Overig niet-westerse allochtoon;Startjaar 2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1779;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Overig niet-westerse allochtoon;Startjaar 2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1780;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Overig niet-westerse allochtoon;Startjaar 2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1781;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Overig niet-westerse allochtoon;Startjaar 2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1782;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Herkomst onbekend;Startjaar 1995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1783;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Herkomst onbekend;Startjaar 1996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1784;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Herkomst onbekend;Startjaar 1997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1785;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Herkomst onbekend;Startjaar 1998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1786;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Herkomst onbekend;Startjaar 1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1787;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Herkomst onbekend;Startjaar 2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1788;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Herkomst onbekend;Startjaar 2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1789;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Herkomst onbekend;Startjaar 2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1790;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Herkomst onbekend;Startjaar 2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1791;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Herkomst onbekend;Startjaar 2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1792;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Herkomst onbekend;Startjaar 2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1793;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Herkomst onbekend;Startjaar 2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1794;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Herkomst onbekend;Startjaar 2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1795;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Herkomst onbekend;Startjaar 2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1796;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Herkomst onbekend;Startjaar 2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1797;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Herkomst onbekend;Startjaar 2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1798;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Herkomst onbekend;Startjaar 2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1799;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Totaal opleidingsvorm;Herkomst onbekend;Startjaar 2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1800;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Voltijd;Totaal herkomstgroepering;Startjaar 1995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1801;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Voltijd;Totaal herkomstgroepering;Startjaar 1996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1802;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Voltijd;Totaal herkomstgroepering;Startjaar 1997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1803;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Voltijd;Totaal herkomstgroepering;Startjaar 1998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1804;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Voltijd;Totaal herkomstgroepering;Startjaar 1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1805;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Voltijd;Totaal herkomstgroepering;Startjaar 2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1806;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Voltijd;Totaal herkomstgroepering;Startjaar 2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1807;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Voltijd;Totaal herkomstgroepering;Startjaar 2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1808;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Voltijd;Totaal herkomstgroepering;Startjaar 2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1809;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Voltijd;Totaal herkomstgroepering;Startjaar 2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1810;Totaal mannen en vrouwen;Vooropleidingen totaal;140 Lerarenopleidingen algemeen;Voltijd;Totaal herkomstgroepering;Startjaar 2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
