ID;Sex;Age;Nationality;Periods;TotalAsylumRequests_1;FirstAsylumRequestsPersons_2;SubsequentAsylumRequests_3;FamilyReunificationPersons_4
1353;Total male and female ;Total;Azerbaijani;2019 4th Quarter;60;60;0;0
1354;Total male and female ;Total;Azerbaijani;2019;425;375;50;0
1355;Total male and female ;Total;Azerbaijani;2020 January;35;35;0;0
1356;Total male and female ;Total;Azerbaijani;2020 February;30;25;5;0
1357;Total male and female ;Total;Azerbaijani;2020 March;15;15;0;0
1358;Total male and female ;Total;Azerbaijani;2020 1st Quarter;75;75;5;0
1359;Total male and female ;Total;Azerbaijani;2020 April;0;0;0;0
1360;Total male and female ;Total;Azerbaijani;2020 May;0;0;0;0
1361;Total male and female ;Total;Azerbaijani;2020 June;10;10;0;0
1362;Total male and female ;Total;Azerbaijani;2020 2nd Quarter;10;10;0;0
1363;Total male and female ;Total;Azerbaijani;2020 July;10;5;0;0
1364;Total male and female ;Total;Azerbaijani;2020 August;10;10;0;0
1365;Total male and female ;Total;Azerbaijani;2020 September;15;5;10;0
1366;Total male and female ;Total;Azerbaijani;2020 3rd Quarter;35;25;10;0
1367;Total male and female ;Total;Azerbaijani;2020 October;10;0;5;0
1368;Total male and female ;Total;Azerbaijani;2020 November;10;5;5;0
1369;Total male and female ;Total;Azerbaijani;2020 December;0;0;0;0
1370;Total male and female ;Total;Azerbaijani;2020 4th Quarter;20;10;10;0
1371;Total male and female ;Total;Azerbaijani;2020;140;115;25;0
1372;Total male and female ;Total;Azerbaijani;2021 January;5;5;0;0
1373;Total male and female ;Total;Azerbaijani;2021 February;0;0;0;0
1374;Total male and female ;Total;Azerbaijani;2021 March;15;10;5;0
1375;Total male and female ;Total;Azerbaijani;2021 1st Quarter;20;10;5;0
1376;Total male and female ;Total;Azerbaijani;2021 April;10;10;0;0
1377;Total male and female ;Total;Azerbaijani;2021 May;5;5;0;0
1378;Total male and female ;Total;Azerbaijani;2021 June;5;5;0;0
1379;Total male and female ;Total;Azerbaijani;2021 2nd Quarter;20;20;0;0
1380;Total male and female ;Total;Azerbaijani;2021 July;10;10;0;0
1381;Total male and female ;Total;Azerbaijani;2021 August;5;5;0;0
1382;Total male and female ;Total;Azerbaijani;2021 September;15;15;0;0
1383;Total male and female ;Total;Azerbaijani;2021 3rd Quarter;30;30;0;0
1384;Total male and female ;Total;Azerbaijani;2021 October;5;5;0;0
1385;Total male and female ;Total;Azerbaijani;2021 November;5;5;0;0
1386;Total male and female ;Total;Azerbaijani;2021 December;10;10;5;0
1387;Total male and female ;Total;Azerbaijani;2021 4th Quarter;25;20;5;0
1388;Total male and female ;Total;Azerbaijani;2021;90;80;15;0
1389;Total male and female ;Total;Azerbaijani;2022 January;20;15;5;0
1390;Total male and female ;Total;Azerbaijani;2022 February;5;5;0;0
1391;Total male and female ;Total;Azerbaijani;2022 March;10;10;0;0
1392;Total male and female ;Total;Azerbaijani;2022 1st Quarter;35;30;5;0
1393;Total male and female ;Total;Azerbaijani;2022 April;20;20;0;0
1394;Total male and female ;Total;Azerbaijani;2022 May;10;5;5;5
1395;Total male and female ;Total;Azerbaijani;2022 June;15;15;0;0
1396;Total male and female ;Total;Azerbaijani;2022 2nd Quarter;50;40;5;5
1397;Total male and female ;Total;Azerbaijani;2022 July;5;5;0;0
1398;Total male and female ;Total;Azerbaijani;2022 August;15;15;0;0
1399;Total male and female ;Total;Azerbaijani;2022 September;10;10;0;0
1400;Total male and female ;Total;Azerbaijani;2022 3th Quarter;25;25;0;0
1401;Total male and female ;Total;Azerbaijani;2022 October;5;5;0;0
1402;Total male and female ;Total;Azerbaijani;2022 November ;15;15;0;0
1403;Total male and female ;Total;Azerbaijani;2022 December;10;10;5;0
1404;Total male and female ;Total;Azerbaijani;2022 4th Quarter;35;30;5;0
1405;Total male and female ;Total;Azerbaijani;2022;140;125;15;5
1406;Total male and female ;Total;Azerbaijani;2023 January;10;10;0;0
1407;Total male and female ;Total;Azerbaijani;2023 February;15;15;0;0
1408;Total male and female ;Total;Azerbaijani;2023 March;5;5;0;0
1409;Total male and female ;Total;Azerbaijani;2023 1st Quarter;35;35;0;0
1410;Total male and female ;Total;Azerbaijani;2023 April;25;25;0;0
1411;Total male and female ;Total;Azerbaijani;2023 May;10;10;0;0
1412;Total male and female ;Total;Azerbaijani;2023 June;10;10;0;0
1413;Total male and female ;Total;Azerbaijani;2023 2nd Quarter;45;40;0;0
1414;Total male and female ;Total;Azerbaijani;2023 July;10;10;0;0
1415;Total male and female ;Total;Azerbaijani;2023 August;10;5;0;0
1416;Total male and female ;Total;Azerbaijani;2023 September;5;0;0;0
1417;Total male and female ;Total;Azerbaijani;2023 3rd Quarter;25;20;0;0
1418;Total male and female ;Total;Azerbaijani;2023 October;15;10;10;0
1419;Total male and female ;Total;Azerbaijani;2023 November;10;10;0;0
1420;Total male and female ;Total;Azerbaijani;2023 December;5;5;0;0
1421;Total male and female ;Total;Azerbaijani;2023 4th Quarter;30;25;10;0
1422;Total male and female ;Total;Azerbaijani;2023;130;120;10;0
1423;Total male and female ;Total;Azerbaijani;2024 January;10;10;0;0
1424;Total male and female ;Total;Azerbaijani;2024 February;15;10;5;0
1425;Total male and female ;Total;Azerbaijani;2024 March;30;25;5;0
1426;Total male and female ;Total;Azerbaijani;2024 1st Quarter;55;50;5;0
1427;Total male and female ;Total;Azerbaijani;2024 April;5;5;0;0
1428;Total male and female ;Total;Azerbaijani;2024 May;15;10;5;0
1429;Total male and female ;Total;Azerbaijani;2024 June;5;5;0;0
1430;Total male and female ;Total;Azerbaijani;2024 2nd Quarter;25;20;5;0
1431;Total male and female ;Total;Azerbaijani;2024 July;15;10;5;0
1432;Total male and female ;Total;Azerbaijani;2024 August;20;20;0;0
1433;Total male and female ;Total;Azerbaijani;2024 September;15;15;0;0
1434;Total male and female ;Total;Azerbaijani;2024 3rd Quarter;55;50;5;0
1435;Total male and female ;Total;Azerbaijani;2024 October;5;5;0;0
1436;Total male and female ;Total;Azerbaijani;2024 November;15;10;0;0
1437;Total male and female ;Total;Azerbaijani;2024 December;15;15;0;0
1438;Total male and female ;Total;Azerbaijani;2024 4th Quarter;35;30;5;0
1439;Total male and female ;Total;Azerbaijani;2024;170;150;20;0
1440;Total male and female ;Total;Azerbaijani;2025 January;25;25;0;0
1441;Total male and female ;Total;Azerbaijani;2025 February;30;25;0;0
1442;Total male and female ;Total;Bosnian;2013 January;0;0;0;0
1443;Total male and female ;Total;Bosnian;2013 February;5;5;0;0
1444;Total male and female ;Total;Bosnian;2013 March;5;5;0;0
1445;Total male and female ;Total;Bosnian;2013 1st Quarter;10;10;0;0
1446;Total male and female ;Total;Bosnian;2013 April;0;0;0;0
1447;Total male and female ;Total;Bosnian;2013 May;0;0;0;0
1448;Total male and female ;Total;Bosnian;2013 June;20;20;0;0
1449;Total male and female ;Total;Bosnian;2013 2nd Quarter;20;20;0;0
1450;Total male and female ;Total;Bosnian;2013 July;5;5;0;0
1451;Total male and female ;Total;Bosnian;2013 August;5;5;0;0
1452;Total male and female ;Total;Bosnian;2013 September;5;5;0;0
1453;Total male and female ;Total;Bosnian;2013 3rd Quarter;20;20;0;0
1454;Total male and female ;Total;Bosnian;2013 October;20;20;0;0
1455;Total male and female ;Total;Bosnian;2013 November;5;5;0;0
1456;Total male and female ;Total;Bosnian;2013 December;15;15;0;0
1457;Total male and female ;Total;Bosnian;2013 4th Quarter;35;35;0;0
1458;Total male and female ;Total;Bosnian;2013;85;85;0;0
1459;Total male and female ;Total;Bosnian;2014 January;10;10;0;0
1460;Total male and female ;Total;Bosnian;2014 February;15;15;0;0
1461;Total male and female ;Total;Bosnian;2014 March;15;15;0;0
1462;Total male and female ;Total;Bosnian;2014 1st Quarter;40;40;0;0
1463;Total male and female ;Total;Bosnian;2014 April;15;15;0;0
1464;Total male and female ;Total;Bosnian;2014 May;5;5;0;0
1465;Total male and female ;Total;Bosnian;2014 June;5;5;0;0
1466;Total male and female ;Total;Bosnian;2014 2nd Quarter;25;25;0;0
1467;Total male and female ;Total;Bosnian;2014 July;10;10;0;0
1468;Total male and female ;Total;Bosnian;2014 August;10;10;0;0
1469;Total male and female ;Total;Bosnian;2014 September;5;5;0;0
1470;Total male and female ;Total;Bosnian;2014 3rd Quarter;25;25;0;0
1471;Total male and female ;Total;Bosnian;2014 October;15;10;0;0
1472;Total male and female ;Total;Bosnian;2014 November;15;15;0;0
1473;Total male and female ;Total;Bosnian;2014 December;5;5;0;0
1474;Total male and female ;Total;Bosnian;2014 4th Quarter;35;30;0;0
1475;Total male and female ;Total;Bosnian;2014;130;125;0;0
1476;Total male and female ;Total;Bosnian;2015 January;5;5;0;0
1477;Total male and female ;Total;Bosnian;2015 February;10;10;0;0
1478;Total male and female ;Total;Bosnian;2015 March;5;5;0;0
1479;Total male and female ;Total;Bosnian;2015 1st Quarter;25;20;0;0
1480;Total male and female ;Total;Bosnian;2015 April;5;5;0;0
1481;Total male and female ;Total;Bosnian;2015 May;5;5;0;0
1482;Total male and female ;Total;Bosnian;2015 June;10;10;0;0
1483;Total male and female ;Total;Bosnian;2015 2nd Quarter;20;15;0;0
1484;Total male and female ;Total;Bosnian;2015 July;0;0;0;0
1485;Total male and female ;Total;Bosnian;2015 August;5;5;0;0
1486;Total male and female ;Total;Bosnian;2015 September;0;0;0;0
1487;Total male and female ;Total;Bosnian;2015 3rd Quarter;10;10;0;0
1488;Total male and female ;Total;Bosnian;2015 October;10;10;0;0
1489;Total male and female ;Total;Bosnian;2015 November;20;20;0;0
1490;Total male and female ;Total;Bosnian;2015 December;45;45;0;0
1491;Total male and female ;Total;Bosnian;2015 4th Quarter;75;75;0;0
1492;Total male and female ;Total;Bosnian;2015;125;120;5;0
1493;Total male and female ;Total;Bosnian;2016 January;20;20;0;0
1494;Total male and female ;Total;Bosnian;2016 February;35;35;0;0
1495;Total male and female ;Total;Bosnian;2016 March;35;35;0;0
1496;Total male and female ;Total;Bosnian;2016 1st Quarter;90;90;0;0
1497;Total male and female ;Total;Bosnian;2016 April;30;30;0;0
1498;Total male and female ;Total;Bosnian;2016 May;10;10;0;0
1499;Total male and female ;Total;Bosnian;2016 June;20;20;0;0
1500;Total male and female ;Total;Bosnian;2016 2nd Quarter;55;55;0;0
1501;Total male and female ;Total;Bosnian;2016 July;25;25;0;0
1502;Total male and female ;Total;Bosnian;2016 August;35;35;0;0
1503;Total male and female ;Total;Bosnian;2016 September;25;25;0;0
1504;Total male and female ;Total;Bosnian;2016 3rd Quarter;85;85;0;0
1505;Total male and female ;Total;Bosnian;2016 October;15;15;0;0
1506;Total male and female ;Total;Bosnian;2016 November;25;25;0;0
1507;Total male and female ;Total;Bosnian;2016 December;25;25;0;0
1508;Total male and female ;Total;Bosnian;2016 4th Quarter;65;65;0;0
1509;Total male and female ;Total;Bosnian;2016;295;295;0;0
1510;Total male and female ;Total;Bosnian;2017 January;15;15;0;0
1511;Total male and female ;Total;Bosnian;2017 February;5;5;0;0
1512;Total male and female ;Total;Bosnian;2017 March;5;5;0;0
1513;Total male and female ;Total;Bosnian;2017 1st Quarter;25;25;0;0
1514;Total male and female ;Total;Bosnian;2017 April;5;5;0;0
1515;Total male and female ;Total;Bosnian;2017 May;0;0;0;0
1516;Total male and female ;Total;Bosnian;2017 June;10;10;0;0
1517;Total male and female ;Total;Bosnian;2017 2nd Quarter;15;15;0;0
1518;Total male and female ;Total;Bosnian;2017 July;0;0;0;0
1519;Total male and female ;Total;Bosnian;2017 August;10;10;0;0
1520;Total male and female ;Total;Bosnian;2017 September;0;0;0;0
1521;Total male and female ;Total;Bosnian;2017 3rd Quarter;10;10;0;0
1522;Total male and female ;Total;Bosnian;2017 October;5;0;0;0
1523;Total male and female ;Total;Bosnian;2017 November;5;5;0;0
1524;Total male and female ;Total;Bosnian;2017 December;10;10;0;0
1525;Total male and female ;Total;Bosnian;2017 4th Quarter;20;15;0;0
1526;Total male and female ;Total;Bosnian;2017;70;65;5;0
1527;Total male and female ;Total;Bosnian;2018 January;5;5;0;0
1528;Total male and female ;Total;Bosnian;2018 February;5;5;0;0
1529;Total male and female ;Total;Bosnian;2018 March;0;0;0;0
1530;Total male and female ;Total;Bosnian;2018 1st Quarter;10;10;0;0
1531;Total male and female ;Total;Bosnian;2018 April;5;5;0;0
1532;Total male and female ;Total;Bosnian;2018 May;0;0;0;0
1533;Total male and female ;Total;Bosnian;2018 June;0;0;0;0
1534;Total male and female ;Total;Bosnian;2018 2nd Quarter;5;5;0;0
1535;Total male and female ;Total;Bosnian;2018 July;5;0;5;0
1536;Total male and female ;Total;Bosnian;2018 August;5;5;0;0
1537;Total male and female ;Total;Bosnian;2018 September;0;0;0;0
1538;Total male and female ;Total;Bosnian;2018 3rd Quarter;15;10;5;0
1539;Total male and female ;Total;Bosnian;2018 October;10;5;0;0
1540;Total male and female ;Total;Bosnian;2018 November;5;5;0;0
1541;Total male and female ;Total;Bosnian;2018 December;20;15;5;0
1542;Total male and female ;Total;Bosnian;2018 4th Quarter;30;25;5;0
1543;Total male and female ;Total;Bosnian;2018;60;50;10;0
1544;Total male and female ;Total;Bosnian;2019 January;20;15;0;0
1545;Total male and female ;Total;Bosnian;2019 February;0;0;0;0
1546;Total male and female ;Total;Bosnian;2019 March;10;0;5;0
1547;Total male and female ;Total;Bosnian;2019 1st Quarter;30;20;10;0
1548;Total male and female ;Total;Bosnian;2019 April;5;5;5;0
1549;Total male and female ;Total;Bosnian;2019 May;5;5;0;0
1550;Total male and female ;Total;Bosnian;2019 June;10;0;5;0
1551;Total male and female ;Total;Bosnian;2019 2nd Quarter;20;10;10;0
1552;Total male and female ;Total;Bosnian;2019 July;10;10;0;0
1553;Total male and female ;Total;Bosnian;2019 August;20;20;0;0
1554;Total male and female ;Total;Bosnian;2019 September;0;0;0;0
1555;Total male and female ;Total;Bosnian;2019 3rd Quarter;30;30;0;0
1556;Total male and female ;Total;Bosnian;2019 October;0;0;0;0
1557;Total male and female ;Total;Bosnian;2019 November;5;5;0;0
1558;Total male and female ;Total;Bosnian;2019 December;10;10;0;0
1559;Total male and female ;Total;Bosnian;2019 4th Quarter;15;15;0;0
1560;Total male and female ;Total;Bosnian;2019;95;70;20;0
1561;Total male and female ;Total;Bosnian;2020 January;0;0;0;0
1562;Total male and female ;Total;Bosnian;2020 February;0;0;0;0
1563;Total male and female ;Total;Bosnian;2020 March;0;0;0;0
1564;Total male and female ;Total;Bosnian;2020 1st Quarter;0;0;0;0
1565;Total male and female ;Total;Bosnian;2020 April;0;0;0;0
1566;Total male and female ;Total;Bosnian;2020 May;0;0;0;0
1567;Total male and female ;Total;Bosnian;2020 June;0;0;0;0
1568;Total male and female ;Total;Bosnian;2020 2nd Quarter;0;0;0;0
1569;Total male and female ;Total;Bosnian;2020 July;0;0;0;0
1570;Total male and female ;Total;Bosnian;2020 August;5;5;0;0
1571;Total male and female ;Total;Bosnian;2020 September;0;0;0;0
1572;Total male and female ;Total;Bosnian;2020 3rd Quarter;5;5;0;0
1573;Total male and female ;Total;Bosnian;2020 October;5;5;0;0
1574;Total male and female ;Total;Bosnian;2020 November;0;0;0;0
1575;Total male and female ;Total;Bosnian;2020 December;0;0;0;0
1576;Total male and female ;Total;Bosnian;2020 4th Quarter;10;5;0;0
1577;Total male and female ;Total;Bosnian;2020;15;10;5;0
1578;Total male and female ;Total;Bosnian;2021 January;0;0;0;0
1579;Total male and female ;Total;Bosnian;2021 February;0;0;0;0
1580;Total male and female ;Total;Bosnian;2021 March;0;0;0;0
1581;Total male and female ;Total;Bosnian;2021 1st Quarter;0;0;0;0
1582;Total male and female ;Total;Bosnian;2021 April;0;0;0;0
1583;Total male and female ;Total;Bosnian;2021 May;0;0;0;0
1584;Total male and female ;Total;Bosnian;2021 June;0;0;0;0
1585;Total male and female ;Total;Bosnian;2021 2nd Quarter;0;0;0;0
1586;Total male and female ;Total;Bosnian;2021 July;0;0;0;0
1587;Total male and female ;Total;Bosnian;2021 August;0;0;0;0
1588;Total male and female ;Total;Bosnian;2021 September;0;0;0;0
1589;Total male and female ;Total;Bosnian;2021 3rd Quarter;0;0;0;0
1590;Total male and female ;Total;Bosnian;2021 October;0;0;0;0
1591;Total male and female ;Total;Bosnian;2021 November;0;0;0;0
1592;Total male and female ;Total;Bosnian;2021 December;5;0;5;0
1593;Total male and female ;Total;Bosnian;2021 4th Quarter;5;5;5;0
1594;Total male and female ;Total;Bosnian;2021;10;5;5;0
1595;Total male and female ;Total;Bosnian;2022 January;0;0;0;0
1596;Total male and female ;Total;Bosnian;2022 February;5;5;0;0
1597;Total male and female ;Total;Bosnian;2022 March;0;0;0;0
1598;Total male and female ;Total;Bosnian;2022 1st Quarter;5;5;0;0
1599;Total male and female ;Total;Bosnian;2022 April;0;0;0;0
1600;Total male and female ;Total;Bosnian;2022 May;0;0;0;0
1601;Total male and female ;Total;Bosnian;2022 June;0;0;0;0
1602;Total male and female ;Total;Bosnian;2022 2nd Quarter;0;0;0;0
1603;Total male and female ;Total;Bosnian;2022 July;0;0;0;0
1604;Total male and female ;Total;Bosnian;2022 August;0;0;0;0
1605;Total male and female ;Total;Bosnian;2022 September;0;0;0;0
1606;Total male and female ;Total;Bosnian;2022 3th Quarter;0;0;0;0
1607;Total male and female ;Total;Bosnian;2022 October;0;0;0;0
1608;Total male and female ;Total;Bosnian;2022 November ;10;10;0;0
1609;Total male and female ;Total;Bosnian;2022 December;0;0;0;0
1610;Total male and female ;Total;Bosnian;2022 4th Quarter;10;10;0;0
1611;Total male and female ;Total;Bosnian;2022;15;15;0;0
1612;Total male and female ;Total;Bosnian;2023 January;0;0;0;0
1613;Total male and female ;Total;Bosnian;2023 February;0;0;0;0
1614;Total male and female ;Total;Bosnian;2023 March;5;5;0;0
1615;Total male and female ;Total;Bosnian;2023 1st Quarter;5;5;0;0
1616;Total male and female ;Total;Bosnian;2023 April;0;0;0;0
1617;Total male and female ;Total;Bosnian;2023 May;0;0;0;0
1618;Total male and female ;Total;Bosnian;2023 June;0;0;0;0
1619;Total male and female ;Total;Bosnian;2023 2nd Quarter;0;0;0;0
1620;Total male and female ;Total;Bosnian;2023 July;0;0;0;0
1621;Total male and female ;Total;Bosnian;2023 August;0;0;0;0
1622;Total male and female ;Total;Bosnian;2023 September;0;0;0;0
1623;Total male and female ;Total;Bosnian;2023 3rd Quarter;0;0;0;0
1624;Total male and female ;Total;Bosnian;2023 October;0;0;0;0
1625;Total male and female ;Total;Bosnian;2023 November;0;0;0;0
1626;Total male and female ;Total;Bosnian;2023 December;5;5;0;0
1627;Total male and female ;Total;Bosnian;2023 4th Quarter;5;5;0;0
1628;Total male and female ;Total;Bosnian;2023;10;10;0;0
1629;Total male and female ;Total;Bosnian;2024 January;0;0;0;0
1630;Total male and female ;Total;Bosnian;2024 February;5;5;0;0
1631;Total male and female ;Total;Bosnian;2024 March;0;0;0;0
1632;Total male and female ;Total;Bosnian;2024 1st Quarter;5;5;0;0
1633;Total male and female ;Total;Bosnian;2024 April;0;0;0;0
1634;Total male and female ;Total;Bosnian;2024 May;0;0;0;0
1635;Total male and female ;Total;Bosnian;2024 June;0;0;0;0
1636;Total male and female ;Total;Bosnian;2024 2nd Quarter;0;0;0;0
1637;Total male and female ;Total;Bosnian;2024 July;0;0;0;0
1638;Total male and female ;Total;Bosnian;2024 August;0;0;0;0
1639;Total male and female ;Total;Bosnian;2024 September;0;0;0;0
1640;Total male and female ;Total;Bosnian;2024 3rd Quarter;0;0;0;0
1641;Total male and female ;Total;Bosnian;2024 October;0;0;0;0
1642;Total male and female ;Total;Bosnian;2024 November;0;0;0;0
1643;Total male and female ;Total;Bosnian;2024 December;0;0;0;0
1644;Total male and female ;Total;Bosnian;2024 4th Quarter;0;0;0;0
1645;Total male and female ;Total;Bosnian;2024;10;5;0;0
1646;Total male and female ;Total;Bosnian;2025 January;0;0;0;0
1647;Total male and female ;Total;Bosnian;2025 February;0;0;0;0
1648;Total male and female ;Total;Burundian;2013 January;0;0;0;0
1649;Total male and female ;Total;Burundian;2013 February;0;0;0;0
1650;Total male and female ;Total;Burundian;2013 March;0;0;0;0
1651;Total male and female ;Total;Burundian;2013 1st Quarter;5;0;5;0
1652;Total male and female ;Total;Burundian;2013 April;0;0;0;0
1653;Total male and female ;Total;Burundian;2013 May;0;0;0;0
1654;Total male and female ;Total;Burundian;2013 June;0;0;0;0
1655;Total male and female ;Total;Burundian;2013 2nd Quarter;0;0;0;0
1656;Total male and female ;Total;Burundian;2013 July;0;0;0;0
1657;Total male and female ;Total;Burundian;2013 August;0;0;0;0
1658;Total male and female ;Total;Burundian;2013 September;0;0;0;5
1659;Total male and female ;Total;Burundian;2013 3rd Quarter;5;5;0;5
1660;Total male and female ;Total;Burundian;2013 October;0;0;0;0
1661;Total male and female ;Total;Burundian;2013 November;0;0;0;0
1662;Total male and female ;Total;Burundian;2013 December;0;0;0;0
1663;Total male and female ;Total;Burundian;2013 4th Quarter;5;0;5;0
1664;Total male and female ;Total;Burundian;2013;10;5;10;5
1665;Total male and female ;Total;Burundian;2014 January;0;0;0;0
1666;Total male and female ;Total;Burundian;2014 February;0;0;0;0
1667;Total male and female ;Total;Burundian;2014 March;0;0;0;5
1668;Total male and female ;Total;Burundian;2014 1st Quarter;0;0;0;5
1669;Total male and female ;Total;Burundian;2014 April;0;0;0;0
1670;Total male and female ;Total;Burundian;2014 May;0;0;0;0
1671;Total male and female ;Total;Burundian;2014 June;0;0;0;5
1672;Total male and female ;Total;Burundian;2014 2nd Quarter;5;5;0;5
1673;Total male and female ;Total;Burundian;2014 July;5;0;5;0
1674;Total male and female ;Total;Burundian;2014 August;5;0;5;0
1675;Total male and female ;Total;Burundian;2014 September;0;0;0;0
1676;Total male and female ;Total;Burundian;2014 3rd Quarter;10;0;5;0
1677;Total male and female ;Total;Burundian;2014 October;5;0;5;0
1678;Total male and female ;Total;Burundian;2014 November;0;0;0;0
1679;Total male and female ;Total;Burundian;2014 December;0;0;0;0
1680;Total male and female ;Total;Burundian;2014 4th Quarter;10;5;5;0
1681;Total male and female ;Total;Burundian;2014;25;10;15;5
1682;Total male and female ;Total;Burundian;2015 January;0;0;0;0
1683;Total male and female ;Total;Burundian;2015 February;0;0;0;0
1684;Total male and female ;Total;Burundian;2015 March;5;0;0;0
1685;Total male and female ;Total;Burundian;2015 1st Quarter;5;5;5;0
1686;Total male and female ;Total;Burundian;2015 April;5;5;0;0
1687;Total male and female ;Total;Burundian;2015 May;5;5;0;0
1688;Total male and female ;Total;Burundian;2015 June;5;0;0;0
1689;Total male and female ;Total;Burundian;2015 2nd Quarter;10;10;0;0
1690;Total male and female ;Total;Burundian;2015 July;5;0;5;0
1691;Total male and female ;Total;Burundian;2015 August;0;0;0;0
1692;Total male and female ;Total;Burundian;2015 September;0;0;0;0
1693;Total male and female ;Total;Burundian;2015 3rd Quarter;10;5;5;0
1694;Total male and female ;Total;Burundian;2015 October;0;0;0;0
1695;Total male and female ;Total;Burundian;2015 November;5;5;0;0
1696;Total male and female ;Total;Burundian;2015 December;5;5;5;0
1697;Total male and female ;Total;Burundian;2015 4th Quarter;10;5;5;0
1698;Total male and female ;Total;Burundian;2015;40;25;15;0
1699;Total male and female ;Total;Burundian;2016 January;5;5;5;0
1700;Total male and female ;Total;Burundian;2016 February;5;0;5;0
1701;Total male and female ;Total;Burundian;2016 March;5;0;0;0
1702;Total male and female ;Total;Burundian;2016 1st Quarter;15;5;10;0
1703;Total male and female ;Total;Burundian;2016 April;5;0;0;0
1704;Total male and female ;Total;Burundian;2016 May;5;0;0;0
1705;Total male and female ;Total;Burundian;2016 June;5;5;5;0
1706;Total male and female ;Total;Burundian;2016 2nd Quarter;10;5;5;0
1707;Total male and female ;Total;Burundian;2016 July;10;0;5;0
1708;Total male and female ;Total;Burundian;2016 August;5;0;5;0
1709;Total male and female ;Total;Burundian;2016 September;5;5;0;0
1710;Total male and female ;Total;Burundian;2016 3rd Quarter;20;5;15;0
1711;Total male and female ;Total;Burundian;2016 October;5;5;0;0
1712;Total male and female ;Total;Burundian;2016 November;5;0;5;0
1713;Total male and female ;Total;Burundian;2016 December;5;0;0;0
1714;Total male and female ;Total;Burundian;2016 4th Quarter;15;5;5;0
1715;Total male and female ;Total;Burundian;2016;60;25;35;0
1716;Total male and female ;Total;Burundian;2017 January;0;0;0;0
1717;Total male and female ;Total;Burundian;2017 February;5;5;0;0
1718;Total male and female ;Total;Burundian;2017 March;5;5;0;0
1719;Total male and female ;Total;Burundian;2017 1st Quarter;10;5;5;0
1720;Total male and female ;Total;Burundian;2017 April;5;0;0;0
1721;Total male and female ;Total;Burundian;2017 May;5;5;0;0
1722;Total male and female ;Total;Burundian;2017 June;5;0;0;0
1723;Total male and female ;Total;Burundian;2017 2nd Quarter;15;10;5;0
1724;Total male and female ;Total;Burundian;2017 July;5;0;0;0
1725;Total male and female ;Total;Burundian;2017 August;10;10;0;0
1726;Total male and female ;Total;Burundian;2017 September;0;0;0;5
1727;Total male and female ;Total;Burundian;2017 3rd Quarter;15;10;5;10
1728;Total male and female ;Total;Burundian;2017 October;5;0;0;0
1729;Total male and female ;Total;Burundian;2017 November;0;0;0;0
1730;Total male and female ;Total;Burundian;2017 December;0;0;0;0
1731;Total male and female ;Total;Burundian;2017 4th Quarter;5;0;0;0
1732;Total male and female ;Total;Burundian;2017;45;30;15;10
1733;Total male and female ;Total;Burundian;2018 January;5;0;5;0
1734;Total male and female ;Total;Burundian;2018 February;5;0;0;0
1735;Total male and female ;Total;Burundian;2018 March;0;0;0;0
1736;Total male and female ;Total;Burundian;2018 1st Quarter;10;5;5;0
1737;Total male and female ;Total;Burundian;2018 April;5;0;5;0
1738;Total male and female ;Total;Burundian;2018 May;0;0;0;0
1739;Total male and female ;Total;Burundian;2018 June;0;0;0;0
1740;Total male and female ;Total;Burundian;2018 2nd Quarter;5;0;5;0
1741;Total male and female ;Total;Burundian;2018 July;5;0;0;0
1742;Total male and female ;Total;Burundian;2018 August;5;5;0;0
1743;Total male and female ;Total;Burundian;2018 September;0;0;0;0
1744;Total male and female ;Total;Burundian;2018 3rd Quarter;10;5;5;0
1745;Total male and female ;Total;Burundian;2018 October;0;0;0;0
1746;Total male and female ;Total;Burundian;2018 November;0;0;0;0
1747;Total male and female ;Total;Burundian;2018 December;0;0;0;0
1748;Total male and female ;Total;Burundian;2018 4th Quarter;5;0;0;0
1749;Total male and female ;Total;Burundian;2018;25;10;15;0
1750;Total male and female ;Total;Burundian;2019 January;0;0;0;0
1751;Total male and female ;Total;Burundian;2019 February;0;0;0;0
1752;Total male and female ;Total;Burundian;2019 March;5;0;5;0
1753;Total male and female ;Total;Burundian;2019 1st Quarter;5;0;5;0
1754;Total male and female ;Total;Burundian;2019 April;0;0;0;0
1755;Total male and female ;Total;Burundian;2019 May;5;0;5;0
1756;Total male and female ;Total;Burundian;2019 June;0;0;0;0
1757;Total male and female ;Total;Burundian;2019 2nd Quarter;5;0;5;0
1758;Total male and female ;Total;Burundian;2019 July;0;0;0;0
1759;Total male and female ;Total;Burundian;2019 August;0;0;0;0
1760;Total male and female ;Total;Burundian;2019 September;0;0;0;0
1761;Total male and female ;Total;Burundian;2019 3rd Quarter;5;0;0;0
1762;Total male and female ;Total;Burundian;2019 October;0;0;0;0
1763;Total male and female ;Total;Burundian;2019 November;0;0;0;0
1764;Total male and female ;Total;Burundian;2019 December;0;0;0;0
1765;Total male and female ;Total;Burundian;2019 4th Quarter;5;0;0;0
1766;Total male and female ;Total;Burundian;2019;20;5;15;0
1767;Total male and female ;Total;Burundian;2020 January;0;0;0;0
1768;Total male and female ;Total;Burundian;2020 February;0;0;0;0
1769;Total male and female ;Total;Burundian;2020 March;0;0;0;0
1770;Total male and female ;Total;Burundian;2020 1st Quarter;0;0;0;0
