ID;Voertuigcategorie;BouwjaarVoertuig;Wegtype;CO_1;VOS_2;NOx_3;PM10_4
337;Bromfiets-benzine;2001;Buitenwegen;10.0;6.0;0.05;0.04
338;Bromfiets-benzine;2001;Autosnelwegen;;;;
339;Bromfiets-benzine;2002;Bebouwde kom;10.0;6.0;0.05;0.04
340;Bromfiets-benzine;2002;Buitenwegen;10.0;6.0;0.05;0.04
341;Bromfiets-benzine;2002;Autosnelwegen;;;;
342;Bromfiets-benzine;2003;Bebouwde kom;10.0;6.0;0.05;0.04
343;Bromfiets-benzine;2003;Buitenwegen;10.0;6.0;0.05;0.04
344;Bromfiets-benzine;2003;Autosnelwegen;;;;
345;Bromfiets-benzine;2004;Bebouwde kom;10.0;6.0;0.05;0.04
346;Bromfiets-benzine;2004;Buitenwegen;10.0;6.0;0.05;0.04
347;Bromfiets-benzine;2004;Autosnelwegen;;;;
348;Bromfiets-benzine;2005;Bebouwde kom;10.0;6.0;0.05;0.04
349;Bromfiets-benzine;2005;Buitenwegen;10.0;6.0;0.05;0.04
350;Bromfiets-benzine;2005;Autosnelwegen;;;;
351;Bromfiets-benzine;2006;Bebouwde kom;10.0;6.0;0.05;0.04
352;Bromfiets-benzine;2006;Buitenwegen;10.0;6.0;0.05;0.04
353;Bromfiets-benzine;2006;Autosnelwegen;;;;
354;Bromfiets-benzine;2007;Bebouwde kom;10.0;6.0;0.05;0.04
355;Bromfiets-benzine;2007;Buitenwegen;10.0;6.0;0.05;0.04
356;Bromfiets-benzine;2007;Autosnelwegen;;;;
357;Bromfiets-benzine;2008;Bebouwde kom;10.0;6.0;0.05;0.04
358;Bromfiets-benzine;2008;Buitenwegen;10.0;6.0;0.05;0.04
359;Bromfiets-benzine;2008;Autosnelwegen;;;;
