ID;KenmerkenStartersDoorstromers;StarterDoorstromer;Perioden;TotaalPotentieleVerhuizers_1;Koopwoning_2;Huurwoning_3;KoopOfHuurwoningWeetNogNiet_4;Eengezinswoning_5;Meergezinswoning_6;k_3Kamers_7;k_4Kamers_8;k_4Kamers_9;Groter_10;Kleiner_11;Gelijk_12;k_182Euro_13;k_182Tot227Euro_14;k_227Tot272Euro_15;k_272Tot318Euro_16;k_318Tot363Euro_17;k_363Tot408Euro_18;k_408Tot454Euro_19;k_454Euro_20;k_68000Euro_21;k_68000Tot91000Euro_22;k_91000Tot113000Euro_23;k_113000Tot136000Euro_24;k_136000Tot159000Euro_25;k_159000Tot182000Euro_26;k_182000Tot204000Euro_27;k_204000Tot227000Euro_28;k_227000Tot272000Euro_29;k_272000Tot340000Euro_30;k_340000Euro_31;TotaalRespondentenOngewogen_32
102;Verhuisgeneigdheid: moet verhuizen;Starters;1998;16.0;6.0;10.0;1.0;7.0;10.0;3.0;7.0;6.0;3.0;9.0;4.0;1.0;1.0;3.0;2.0;2.0;1.0;;1.0;;1.0;1.0;1.0;1.0;;;1.0;1.0;;;184.0
103;Verhuisgeneigdheid: moet verhuizen;Starters;1999;17.0;6.0;11.0;;6.0;11.0;3.0;8.0;6.0;7.0;7.0;4.0;2.0;1.0;1.0;3.0;3.0;2.0;;;;;1.0;1.0;1.0;;1.0;1.0;1.0;;;26.0
104;Verhuisgeneigdheid: moet verhuizen;Starters;2000;21.0;5.0;14.0;3.0;7.0;15.0;4.0;8.0;10.0;7.0;5.0;9.0;1.0;;2.0;3.0;5.0;2.0;;;;;;;1.0;;1.0;;1.0;;1.0;39.0
105;Verhuisgeneigdheid: moet verhuizen;Doorstromers;1998;46.0;16.0;25.0;5.0;26.0;20.0;6.0;18.0;22.0;13.0;19.0;14.0;1.0;1.0;3.0;4.0;8.0;5.0;2.0;2.0;1.0;;2.0;3.0;2.0;2.0;1.0;1.0;2.0;1.0;;743.0
106;Verhuisgeneigdheid: moet verhuizen;Doorstromers;1999;36.0;14.0;20.0;2.0;21.0;16.0;2.0;17.0;18.0;14.0;11.0;11.0;1.0;;1.0;3.0;4.0;3.0;3.0;5.0;;1.0;1.0;5.0;1.0;1.0;1.0;1.0;1.0;;2.0;81.0
107;Verhuisgeneigdheid: moet verhuizen;Doorstromers;2000;39.0;12.0;22.0;5.0;20.0;19.0;3.0;13.0;23.0;16.0;13.0;11.0;;3.0;2.0;2.0;4.0;6.0;1.0;3.0;;;1.0;4.0;1.0;2.0;1.0;1.0;1.0;2.0;1.0;82.0
108;Verhuisreden: pers. omstandigheden;Starters;1998;323.0;121.0;162.0;39.0;140.0;183.0;63.0;127.0;132.0;45.0;218.0;61.0;6.0;17.0;31.0;31.0;32.0;23.0;6.0;16.0;8.0;13.0;24.0;30.0;23.0;9.0;7.0;2.0;4.0;2.0;1.0;3295.0
109;Verhuisreden: pers. omstandigheden;Starters;1999;384.0;140.0;204.0;41.0;165.0;219.0;64.0;171.0;149.0;69.0;235.0;80.0;10.0;25.0;32.0;37.0;38.0;26.0;11.0;26.0;3.0;9.0;17.0;29.0;34.0;12.0;10.0;10.0;5.0;8.0;3.0;638.0
110;Verhuisreden: pers. omstandigheden;Starters;2000;329.0;97.0;185.0;47.0;124.0;204.0;64.0;147.0;117.0;43.0;225.0;61.0;4.0;17.0;28.0;33.0;41.0;27.0;8.0;26.0;2.0;10.0;4.0;21.0;21.0;10.0;15.0;7.0;3.0;3.0;2.0;466.0
111;Verhuisreden: pers. omstandigheden;Doorstromers;1998;427.0;183.0;198.0;47.0;239.0;188.0;46.0;167.0;215.0;128.0;176.0;124.0;6.0;11.0;23.0;32.0;46.0;42.0;14.0;23.0;4.0;9.0;20.0;32.0;34.0;23.0;21.0;11.0;15.0;9.0;6.0;5910.0
112;Verhuisreden: pers. omstandigheden;Doorstromers;1999;462.0;209.0;212.0;41.0;250.0;211.0;45.0;168.0;248.0;153.0;185.0;123.0;4.0;10.0;23.0;38.0;54.0;32.0;13.0;37.0;3.0;7.0;21.0;32.0;29.0;23.0;27.0;12.0;27.0;17.0;12.0;1004.0
113;Verhuisreden: pers. omstandigheden;Doorstromers;2000;340.0;132.0;168.0;40.0;165.0;175.0;40.0;124.0;176.0;129.0;121.0;91.0;3.0;14.0;16.0;21.0;32.0;41.0;16.0;24.0;2.0;2.0;14.0;16.0;21.0;11.0;15.0;11.0;16.0;18.0;6.0;663.0
114;Verhuisreden: studie;Starters;1998;58.0;5.0;50.0;3.0;4.0;55.0;22.0;23.0;13.0;5.0;46.0;7.0;3.0;11.0;9.0;7.0;6.0;7.0;2.0;6.0;;1.0;1.0;1.0;1.0;1.0;;;;;;498.0
115;Verhuisreden: studie;Starters;1999;62.0;11.0;46.0;5.0;1.0;61.0;21.0;23.0;18.0;3.0;52.0;7.0;3.0;9.0;13.0;7.0;6.0;1.0;1.0;5.0;;1.0;3.0;3.0;2.0;1.0;;;;1.0;;100.0
116;Verhuisreden: studie;Starters;2000;44.0;3.0;40.0;2.0;;44.0;21.0;15.0;8.0;2.0;39.0;3.0;3.0;8.0;11.0;5.0;4.0;4.0;1.0;4.0;;;;2.0;;;;;;;;53.0
117;Verhuisreden: studie;Doorstromers;1998;8.0;2.0;5.0;1.0;2.0;6.0;2.0;2.0;4.0;3.0;3.0;2.0;;1.0;1.0;1.0;;;;;;;;;;1.0;;;;;;88.0
118;Verhuisreden: studie;Doorstromers;1999;8.0;2.0;4.0;1.0;;8.0;2.0;3.0;3.0;3.0;3.0;2.0;1.0;;;;3.0;;1.0;;;;;1.0;;;;;;;;12.0
119;Verhuisreden: studie;Doorstromers;2000;8.0;;7.0;1.0;1.0;7.0;2.0;5.0;2.0;5.0;2.0;1.0;;2.0;1.0;;1.0;;1.0;3.0;;;;;;;;;;;;12.0
120;Verhuisreden: werk;Starters;1998;81.0;18.0;54.0;9.0;27.0;54.0;21.0;36.0;25.0;21.0;51.0;10.0;2.0;5.0;10.0;11.0;10.0;8.0;2.0;6.0;1.0;2.0;3.0;3.0;3.0;2.0;1.0;1.0;1.0;1.0;;712.0
121;Verhuisreden: werk;Starters;1999;71.0;15.0;47.0;9.0;21.0;51.0;21.0;29.0;21.0;11.0;51.0;9.0;3.0;7.0;6.0;8.0;7.0;3.0;3.0;11.0;4.0;1.0;3.0;1.0;2.0;;1.0;;2.0;;1.0;118.0
122;Verhuisreden: werk;Starters;2000;55.0;9.0;39.0;7.0;12.0;43.0;20.0;21.0;14.0;12.0;37.0;7.0;;6.0;5.0;3.0;8.0;6.0;2.0;9.0;;;1.0;4.0;1.0;1.0;;;;1.0;;71.0
123;Verhuisreden: werk;Doorstromers;1998;159.0;97.0;43.0;18.0;113.0;46.0;9.0;40.0;110.0;63.0;47.0;48.0;2.0;1.0;4.0;5.0;11.0;9.0;4.0;7.0;2.0;5.0;10.0;17.0;16.0;11.0;10.0;5.0;12.0;6.0;5.0;2350.0
124;Verhuisreden: werk;Doorstromers;1999;143.0;80.0;47.0;16.0;98.0;44.0;13.0;32.0;98.0;59.0;38.0;46.0;1.0;1.0;7.0;6.0;5.0;5.0;2.0;18.0;1.0;;4.0;17.0;14.0;11.0;6.0;7.0;5.0;10.0;6.0;348.0
125;Verhuisreden: werk;Doorstromers;2000;85.0;55.0;18.0;12.0;64.0;22.0;3.0;13.0;69.0;37.0;22.0;26.0;1.0;2.0;;2.0;2.0;5.0;;8.0;;;3.0;9.0;6.0;5.0;6.0;3.0;8.0;9.0;5.0;206.0
126;Verhuisreden: vorige woning;Starters;1998;80.0;26.0;44.0;10.0;30.0;49.0;15.0;34.0;30.0;44.0;21.0;15.0;1.0;5.0;7.0;8.0;8.0;8.0;3.0;3.0;1.0;4.0;6.0;5.0;4.0;2.0;2.0;1.0;1.0;;;727.0
127;Verhuisreden: vorige woning;Starters;1999;95.0;32.0;53.0;11.0;42.0;53.0;18.0;42.0;36.0;54.0;23.0;18.0;2.0;1.0;18.0;8.0;10.0;4.0;3.0;7.0;3.0;1.0;5.0;6.0;6.0;4.0;2.0;1.0;1.0;;2.0;147.0
128;Verhuisreden: vorige woning;Starters;2000;80.0;20.0;48.0;11.0;27.0;52.0;23.0;29.0;28.0;41.0;19.0;20.0;3.0;3.0;9.0;11.0;7.0;6.0;3.0;6.0;1.0;1.0;1.0;4.0;5.0;1.0;3.0;1.0;;;2.0;132.0
129;Verhuisreden: vorige woning;Doorstromers;1998;533.0;318.0;163.0;52.0;369.0;165.0;29.0;145.0;359.0;260.0;122.0;151.0;5.0;9.0;22.0;26.0;45.0;32.0;10.0;15.0;6.0;14.0;39.0;60.0;58.0;41.0;33.0;18.0;26.0;15.0;9.0;7668.0
130;Verhuisreden: vorige woning;Doorstromers;1999;626.0;355.0;220.0;50.0;422.0;204.0;33.0;182.0;410.0;287.0;169.0;170.0;5.0;13.0;29.0;24.0;57.0;34.0;19.0;39.0;;7.0;28.0;43.0;62.0;57.0;47.0;25.0;35.0;29.0;22.0;1345.0
131;Verhuisreden: vorige woning;Doorstromers;2000;425.0;223.0;163.0;39.0;293.0;133.0;23.0;110.0;292.0;211.0;88.0;126.0;4.0;9.0;16.0;22.0;40.0;27.0;14.0;31.0;1.0;4.0;13.0;22.0;37.0;33.0;32.0;20.0;29.0;22.0;12.0;876.0
132;Verhuisreden: vorige woonbuurt;Starters;1998;15.0;5.0;8.0;2.0;7.0;8.0;2.0;6.0;7.0;5.0;5.0;5.0;;1.0;1.0;2.0;2.0;1.0;1.0;1.0;;;1.0;1.0;1.0;;;;;;;161.0
133;Verhuisreden: vorige woonbuurt;Starters;1999;24.0;12.0;11.0;1.0;14.0;10.0;3.0;14.0;7.0;6.0;11.0;8.0;;1.0;;3.0;1.0;2.0;2.0;1.0;;1.0;2.0;;2.0;4.0;1.0;;1.0;;;37.0
134;Verhuisreden: vorige woonbuurt;Starters;2000;8.0;3.0;5.0;;3.0;5.0;1.0;3.0;4.0;1.0;4.0;3.0;;;2.0;1.0;;;2.0;;;;;;;1.0;;;;;1.0;15.0
135;Verhuisreden: vorige woonbuurt;Doorstromers;1998;163.0;80.0;65.0;18.0;109.0;54.0;10.0;51.0;102.0;52.0;50.0;61.0;1.0;4.0;8.0;12.0;16.0;14.0;4.0;6.0;2.0;4.0;9.0;14.0;13.0;11.0;8.0;3.0;8.0;5.0;3.0;2330.0
136;Verhuisreden: vorige woonbuurt;Doorstromers;1999;177.0;92.0;70.0;15.0;118.0;58.0;10.0;48.0;119.0;64.0;47.0;65.0;1.0;5.0;7.0;10.0;15.0;16.0;7.0;9.0;1.0;5.0;11.0;13.0;15.0;7.0;8.0;7.0;13.0;6.0;5.0;382.0
137;Verhuisreden: vorige woonbuurt;Doorstromers;2000;125.0;52.0;58.0;14.0;77.0;48.0;6.0;46.0;73.0;41.0;40.0;44.0;;2.0;4.0;5.0;13.0;18.0;3.0;13.0;;3.0;1.0;6.0;9.0;4.0;8.0;5.0;8.0;5.0;4.0;246.0
138;Verhuisreden: anders;Starters;1998;142.0;61.0;68.0;13.0;68.0;73.0;23.0;64.0;55.0;16.0;94.0;31.0;3.0;6.0;16.0;13.0;13.0;9.0;5.0;4.0;2.0;5.0;15.0;13.0;8.0;7.0;3.0;1.0;4.0;1.0;2.0;1298.0
139;Verhuisreden: anders;Starters;1999;179.0;72.0;91.0;16.0;86.0;92.0;39.0;70.0;69.0;28.0;121.0;30.0;7.0;9.0;9.0;24.0;18.0;9.0;4.0;10.0;5.0;3.0;13.0;11.0;17.0;10.0;5.0;3.0;1.0;2.0;1.0;248.0
140;Verhuisreden: anders;Starters;2000;170.0;62.0;89.0;19.0;73.0;97.0;28.0;65.0;77.0;19.0;110.0;42.0;1.0;6.0;13.0;17.0;23.0;10.0;4.0;14.0;3.0;2.0;11.0;10.0;7.0;11.0;7.0;3.0;5.0;1.0;3.0;208.0
141;Verhuisreden: anders;Doorstromers;1998;240.0;164.0;58.0;17.0;176.0;64.0;13.0;67.0;160.0;79.0;77.0;84.0;1.0;3.0;6.0;8.0;16.0;10.0;5.0;8.0;3.0;7.0;20.0;31.0;29.0;21.0;16.0;9.0;13.0;9.0;6.0;3676.0
142;Verhuisreden: anders;Doorstromers;1999;227.0;148.0;64.0;15.0;167.0;60.0;13.0;63.0;151.0;74.0;71.0;82.0;1.0;3.0;7.0;4.0;15.0;13.0;4.0;16.0;3.0;3.0;10.0;22.0;20.0;12.0;19.0;14.0;16.0;14.0;15.0;577.0
143;Verhuisreden: anders;Doorstromers;2000;165.0;110.0;45.0;10.0;111.0;54.0;9.0;41.0;115.0;59.0;51.0;55.0;;3.0;2.0;7.0;10.0;11.0;4.0;7.0;1.0;1.0;10.0;16.0;9.0;13.0;8.0;7.0;18.0;16.0;10.0;380.0
144;Minstens een half jaar gezocht: ja;Starters;1998;161.0;56.0;87.0;17.0;60.0;100.0;32.0;70.0;59.0;34.0;90.0;36.0;3.0;10.0;17.0;16.0;16.0;13.0;5.0;8.0;4.0;6.0;13.0;14.0;9.0;5.0;2.0;1.0;2.0;1.0;1.0;1522.0
145;Minstens een half jaar gezocht: ja;Starters;1999;210.0;85.0;108.0;18.0;94.0;117.0;39.0;99.0;73.0;45.0;126.0;39.0;4.0;6.0;22.0;22.0;19.0;13.0;6.0;14.0;4.0;4.0;13.0;16.0;16.0;12.0;6.0;3.0;4.0;4.0;2.0;330.0
146;Minstens een half jaar gezocht: ja;Starters;2000;191.0;51.0;109.0;31.0;75.0;116.0;41.0;84.0;66.0;26.0;128.0;37.0;2.0;3.0;14.0;20.0;28.0;20.0;6.0;17.0;;2.0;4.0;10.0;14.0;5.0;8.0;2.0;3.0;1.0;1.0;274.0
147;Minstens een half jaar gezocht: ja;Doorstromers;1998;474.0;255.0;178.0;41.0;307.0;167.0;32.0;145.0;297.0;185.0;145.0;144.0;5.0;10.0;22.0;30.0;46.0;36.0;11.0;19.0;5.0;11.0;29.0;41.0;47.0;32.0;28.0;13.0;24.0;16.0;9.0;6902.0
148;Minstens een half jaar gezocht: ja;Doorstromers;1999;538.0;300.0;195.0;43.0;344.0;194.0;35.0;165.0;337.0;193.0;175.0;170.0;3.0;11.0;19.0;23.0;49.0;36.0;14.0;40.0;3.0;8.0;25.0;39.0;51.0;36.0;29.0;23.0;35.0;29.0;24.0;1230.0
149;Minstens een half jaar gezocht: ja;Doorstromers;2000;491.0;235.0;207.0;50.0;296.0;195.0;43.0;152.0;296.0;186.0;160.0;145.0;4.0;10.0;11.0;22.0;39.0;61.0;20.0;41.0;2.0;3.0;11.0;22.0;31.0;28.0;26.0;21.0;35.0;36.0;21.0;1085.0
150;Minstens een half jaar gezocht: nee;Starters;1998;159.0;57.0;84.0;17.0;65.0;94.0;33.0;66.0;60.0;28.0;103.0;27.0;3.0;11.0;18.0;17.0;13.0;13.0;3.0;7.0;3.0;7.0;12.0;12.0;9.0;6.0;3.0;1.0;2.0;1.0;;1598.0
151;Minstens een half jaar gezocht: nee;Starters;1999;202.0;70.0;111.0;21.0;86.0;116.0;50.0;85.0;67.0;35.0;123.0;44.0;5.0;10.0;24.0;18.0;19.0;14.0;6.0;15.0;;3.0;11.0;13.0;18.0;6.0;4.0;8.0;3.0;1.0;3.0;351.0
152;Minstens een half jaar gezocht: nee;Starters;2000;185.0;59.0;104.0;22.0;64.0;121.0;43.0;73.0;69.0;27.0;125.0;33.0;;14.0;25.0;11.0;21.0;14.0;6.0;14.0;1.0;2.0;4.0;11.0;7.0;11.0;8.0;5.0;4.0;2.0;3.0;249.0
153;Minstens een half jaar gezocht: nee;Doorstromers;1998;328.0;207.0;90.0;31.0;225.0;103.0;20.0;91.0;218.0;132.0;88.0;109.0;1.0;6.0;12.0;13.0;23.0;16.0;7.0;12.0;4.0;11.0;26.0;36.0;39.0;25.0;23.0;11.0;16.0;10.0;7.0;5050.0
154;Minstens een half jaar gezocht: nee;Doorstromers;1999;447.0;264.0;148.0;35.0;309.0;138.0;30.0;111.0;305.0;180.0;139.0;128.0;3.0;6.0;27.0;24.0;23.0;25.0;12.0;28.0;3.0;4.0;21.0;30.0;41.0;33.0;41.0;20.0;31.0;23.0;17.0;1036.0
155;Minstens een half jaar gezocht: nee;Doorstromers;2000;326.0;191.0;96.0;38.0;221.0;105.0;18.0;85.0;223.0;119.0;93.0;113.0;1.0;7.0;12.0;11.0;13.0;24.0;9.0;19.0;2.0;2.0;14.0;18.0;30.0;22.0;23.0;16.0;32.0;19.0;13.0;705.0
156;Minstens een half jaar gezocht: nvt;Starters;1998;378.0;119.0;213.0;46.0;149.0;229.0;82.0;150.0;145.0;73.0;241.0;63.0;8.0;23.0;41.0;39.0;40.0;28.0;12.0;21.0;6.0;11.0;23.0;28.0;21.0;10.0;7.0;3.0;6.0;3.0;2.0;3613.0
157;Minstens een half jaar gezocht: nvt;Starters;1999;317.0;132.0;165.0;21.0;125.0;192.0;64.0;125.0;128.0;62.0;196.0;58.0;13.0;20.0;23.0;42.0;27.0;15.0;9.0;16.0;6.0;6.0;18.0;20.0;32.0;15.0;11.0;7.0;8.0;6.0;3.0;488.0
158;Minstens een half jaar gezocht: nvt;Starters;2000;388.0;102.0;231.0;55.0;144.0;244.0;82.0;160.0;146.0;71.0;238.0;79.0;8.0;31.0;42.0;46.0;42.0;24.0;8.0;30.0;6.0;3.0;8.0;18.0;25.0;12.0;14.0;4.0;5.0;3.0;4.0;528.0
159;Minstens een half jaar gezocht: nvt;Doorstromers;1998;722.0;378.0;252.0;92.0;475.0;247.0;56.0;235.0;431.0;264.0;241.0;217.0;8.0;13.0;32.0;38.0;61.0;54.0;18.0;29.0;6.0;18.0;48.0;72.0;67.0;47.0;37.0;20.0;33.0;17.0;13.0;9921.0
160;Minstens een half jaar gezocht: nvt;Doorstromers;1999;485.0;313.0;147.0;25.0;325.0;160.0;29.0;137.0;319.0;184.0;146.0;154.0;5.0;10.0;19.0;16.0;38.0;18.0;10.0;31.0;2.0;7.0;24.0;60.0;52.0;37.0;38.0;21.0;29.0;23.0;21.0;1111.0
161;Minstens een half jaar gezocht: nvt;Doorstromers;2000;696.0;326.0;275.0;95.0;422.0;274.0;44.0;218.0;434.0;287.0;199.0;210.0;4.0;25.0;27.0;44.0;55.0;49.0;20.0;51.0;3.0;4.0;27.0;47.0;43.0;40.0;45.0;24.0;44.0;38.0;13.0;1389.0
162;Aantal zoekactiviteiten: 1 activiteit;Starters;1998;119.0;50.0;58.0;11.0;49.0;70.0;25.0;49.0;45.0;18.0;78.0;23.0;3.0;8.0;10.0;12.0;9.0;10.0;2.0;5.0;3.0;6.0;12.0;11.0;8.0;4.0;3.0;1.0;2.0;1.0;1.0;1248.0
163;Aantal zoekactiviteiten: 1 activiteit;Starters;1999;263.0;44.0;176.0;43.0;97.0;167.0;57.0;128.0;79.0;53.0;159.0;51.0;10.0;23.0;30.0;33.0;32.0;16.0;9.0;24.0;5.0;2.0;6.0;6.0;10.0;4.0;5.0;4.0;1.0;3.0;1.0;403.0
164;Aantal zoekactiviteiten: 1 activiteit;Starters;2000;119.0;48.0;54.0;17.0;52.0;67.0;25.0;39.0;55.0;18.0;73.0;28.0;;5.0;10.0;11.0;10.0;10.0;1.0;7.0;2.0;4.0;6.0;11.0;10.0;8.0;4.0;2.0;1.0;;1.0;172.0
165;Aantal zoekactiviteiten: 1 activiteit;Doorstromers;1998;297.0;187.0;87.0;23.0;203.0;94.0;20.0;84.0;193.0;116.0;89.0;92.0;2.0;5.0;13.0;13.0;22.0;15.0;5.0;11.0;5.0;9.0;22.0;34.0;31.0;25.0;21.0;9.0;14.0;11.0;6.0;4843.0
166;Aantal zoekactiviteiten: 1 activiteit;Doorstromers;1999;558.0;193.0;297.0;69.0;298.0;260.0;53.0;211.0;294.0;220.0;186.0;153.0;5.0;16.0;32.0;45.0;79.0;47.0;21.0;51.0;1.0;4.0;20.0;24.0;29.0;26.0;23.0;14.0;24.0;15.0;14.0;1157.0
167;Aantal zoekactiviteiten: 1 activiteit;Doorstromers;2000;294.0;171.0;97.0;26.0;187.0;107.0;23.0;82.0;189.0;116.0;88.0;90.0;1.0;7.0;8.0;8.0;19.0;23.0;13.0;18.0;1.0;3.0;8.0;17.0;26.0;25.0;21.0;14.0;23.0;21.0;11.0;648.0
168;Aantal zoekactiviteiten: 2 activiteit;Starters;1998;117.0;46.0;62.0;9.0;50.0;67.0;21.0;51.0;45.0;25.0;66.0;26.0;2.0;7.0;13.0;11.0;11.0;10.0;2.0;6.0;3.0;5.0;10.0;10.0;6.0;6.0;2.0;;3.0;1.0;;1193.0
169;Aantal zoekactiviteiten: 2 activiteit;Starters;1999;111.0;46.0;57.0;9.0;46.0;66.0;25.0;43.0;43.0;26.0;62.0;24.0;;5.0;13.0;8.0;11.0;7.0;3.0;9.0;1.0;5.0;9.0;9.0;9.0;5.0;;2.0;1.0;1.0;2.0;193.0
170;Aantal zoekactiviteiten: 2 activiteit;Starters;2000;127.0;41.0;76.0;10.0;48.0;78.0;35.0;45.0;47.0;21.0;78.0;28.0;1.0;10.0;14.0;9.0;17.0;8.0;6.0;11.0;1.0;2.0;2.0;8.0;10.0;5.0;5.0;3.0;2.0;;3.0;176.0
171;Aantal zoekactiviteiten: 2 activiteit;Doorstromers;1998;322.0;193.0;107.0;22.0;216.0;106.0;21.0;91.0;209.0;122.0;95.0;105.0;3.0;9.0;13.0;18.0;28.0;21.0;7.0;9.0;3.0;8.0;21.0;33.0;35.0;24.0;22.0;10.0;19.0;11.0;6.0;5142.0
172;Aantal zoekactiviteiten: 2 activiteit;Doorstromers;1999;329.0;204.0;104.0;22.0;233.0;96.0;21.0;83.0;225.0;131.0;99.0;99.0;2.0;3.0;12.0;13.0;16.0;25.0;8.0;24.0;3.0;3.0;13.0;24.0;29.0;32.0;28.0;14.0;25.0;21.0;10.0;769.0
173;Aantal zoekactiviteiten: 2 activiteit;Doorstromers;2000;303.0;161.0;114.0;28.0;186.0;117.0;17.0;97.0;189.0;113.0;92.0;98.0;3.0;5.0;8.0;12.0;22.0;30.0;12.0;22.0;1.0;3.0;12.0;13.0;23.0;15.0;19.0;14.0;26.0;20.0;14.0;650.0
174;Aantal zoekactiviteiten: 3 of meer;Starters;1998;84.0;21.0;54.0;10.0;28.0;56.0;18.0;40.0;27.0;19.0;49.0;16.0;1.0;5.0;10.0;10.0;11.0;8.0;3.0;4.0;2.0;2.0;4.0;5.0;4.0;3.0;1.0;1.0;;;;637.0
175;Aantal zoekactiviteiten: 3 of meer;Starters;1999;124.0;60.0;54.0;10.0;61.0;62.0;21.0;53.0;50.0;29.0;76.0;19.0;2.0;4.0;12.0;6.0;10.0;8.0;3.0;10.0;3.0;2.0;11.0;15.0;12.0;7.0;4.0;3.0;1.0;1.0;1.0;204.0
176;Aantal zoekactiviteiten: 3 of meer;Starters;2000;149.0;34.0;94.0;21.0;45.0;104.0;33.0;74.0;42.0;19.0;106.0;23.0;4.0;6.0;15.0;13.0;21.0;17.0;6.0;13.0;;5.0;2.0;5.0;6.0;4.0;6.0;2.0;2.0;2.0;;199.0
177;Aantal zoekactiviteiten: 3 of meer;Doorstromers;1998;190.0;87.0;86.0;16.0;115.0;75.0;12.0;61.0;117.0;83.0;51.0;56.0;2.0;3.0;7.0;13.0;24.0;18.0;7.0;12.0;2.0;4.0;8.0;14.0;18.0;11.0;8.0;5.0;8.0;6.0;4.0;2116.0
178;Aantal zoekactiviteiten: 3 of meer;Doorstromers;1999;269.0;177.0;70.0;22.0;200.0;70.0;13.0;64.0;192.0;106.0;82.0;81.0;1.0;4.0;10.0;9.0;16.0;10.0;6.0;14.0;2.0;7.0;18.0;20.0;31.0;15.0;17.0;15.0;20.0;17.0;15.0;631.0
179;Aantal zoekactiviteiten: 3 of meer;Doorstromers;2000;241.0;119.0;99.0;24.0;160.0;81.0;20.0;66.0;156.0;95.0;71.0;75.0;1.0;3.0;6.0;13.0;16.0;34.0;4.0;22.0;1.0;2.0;6.0;10.0;18.0;14.0;13.0;13.0;18.0;14.0;9.0;534.0
180;Aantal zoekactiviteiten: géén;Starters;1998;378.0;119.0;213.0;46.0;149.0;229.0;82.0;150.0;145.0;73.0;241.0;63.0;8.0;23.0;41.0;39.0;40.0;28.0;12.0;21.0;6.0;11.0;23.0;28.0;21.0;10.0;7.0;3.0;6.0;3.0;2.0;3613.0
181;Aantal zoekactiviteiten: géén;Starters;1999;317.0;132.0;165.0;21.0;125.0;192.0;64.0;125.0;128.0;62.0;196.0;58.0;13.0;20.0;23.0;42.0;27.0;15.0;9.0;16.0;6.0;6.0;18.0;20.0;32.0;15.0;11.0;7.0;8.0;6.0;3.0;488.0
182;Aantal zoekactiviteiten: géén;Starters;2000;388.0;102.0;231.0;55.0;144.0;244.0;82.0;160.0;146.0;71.0;238.0;79.0;8.0;31.0;42.0;46.0;42.0;24.0;8.0;30.0;6.0;3.0;8.0;18.0;25.0;12.0;14.0;4.0;5.0;3.0;4.0;528.0
183;Aantal zoekactiviteiten: géén;Doorstromers;1998;722.0;378.0;252.0;92.0;475.0;247.0;56.0;235.0;431.0;264.0;241.0;217.0;8.0;13.0;32.0;38.0;61.0;54.0;18.0;29.0;6.0;18.0;48.0;72.0;67.0;47.0;37.0;20.0;33.0;17.0;13.0;9921.0
184;Aantal zoekactiviteiten: géén;Doorstromers;1999;485.0;313.0;147.0;25.0;325.0;160.0;29.0;137.0;319.0;184.0;146.0;154.0;5.0;10.0;19.0;16.0;38.0;18.0;10.0;31.0;2.0;7.0;24.0;60.0;52.0;37.0;38.0;21.0;29.0;23.0;21.0;1111.0
185;Aantal zoekactiviteiten: géén;Doorstromers;2000;696.0;326.0;275.0;95.0;422.0;274.0;44.0;218.0;434.0;287.0;199.0;210.0;4.0;25.0;27.0;44.0;55.0;49.0;20.0;51.0;3.0;4.0;27.0;47.0;43.0;40.0;45.0;24.0;44.0;38.0;13.0;1389.0
