ID;Sex;Age;Periods;TotalInflowUnemploymentBenefits_1;InflowTradeAndIndustry_2;OtherInflow_3;TotalOutflowUnemploymentBenefits_4;OutflowDueToResumptionOfWork_5;OtherOutflow_6
630;Total men and women;45 to 55 years;1998 March;5380;4660;720;7760;4940;2820
631;Total men and women;45 to 55 years;1998 April;5600;4640;960;10340;6890;3450
632;Total men and women;45 to 55 years;1998 May;4320;3600;730;7500;4620;2880
633;Total men and women;45 to 55 years;1998 June;4700;4000;710;6750;3960;2790
634;Total men and women;45 to 55 years;1998 July;5230;4390;840;6910;3590;3320
635;Total men and women;45 to 55 years;1998 August;5140;4560;580;5940;3520;2430
636;Total men and women;45 to 55 years;1998 September;4010;3310;700;5740;3550;2200
637;Total men and women;45 to 55 years;1998 October;5230;4370;850;6680;4000;2680
638;Total men and women;45 to 55 years;1998 November;6710;5990;730;5210;2820;2390
639;Total men and women;45 to 55 years;1998 December;6910;6170;740;4730;2310;2420
640;Total men and women;45 to 55 years;1998 Annual figure;69090;60020;9070;81110;47610;33500
641;Total men and women;45 to 55 years;1999 January;6960;6310;650;5740;3110;2630
642;Total men and women;45 to 55 years;1999 February;4960;4270;690;5890;3790;2100
643;Total men and women;45 to 55 years;1999 March;5470;4560;900;8530;6010;2520
644;Total men and women;45 to 55 years;1999 April;3490;2870;630;7050;5020;2030
645;Total men and women;45 to 55 years;1999 May;3170;2620;550;5170;3130;2050
646;Total men and women;45 to 55 years;1999 June;3530;2900;630;5030;2950;2080
647;Total men and women;45 to 55 years;1999 July;4010;3290;720;3750;2090;1660
648;Total men and women;45 to 55 years;1999 August;2960;2500;470;3390;1980;1410
649;Total men and women;45 to 55 years;1999 September;4080;3320;760;5270;3410;1860
650;Total men and women;45 to 55 years;1999 October;3720;3050;670;4610;2800;1800
651;Total men and women;45 to 55 years;1999 November;4710;4030;680;4520;2480;2040
652;Total men and women;45 to 55 years;1999 December;4350;3770;580;4130;2020;2110
653;Total men and women;45 to 55 years;1999 Annual figure;51400;43490;7910;63080;38790;24290
654;Total men and women;45 to 55 years;2000 January;6570;5790;790;4220;2450;1770
655;Total men and women;45 to 55 years;2000 February;4780;4150;640;4970;3140;1830
656;Total men and women;45 to 55 years;2000 March;4550;3750;800;6830;4680;2150
657;Total men and women;45 to 55 years;2000 April;3200;2560;640;5900;3810;2090
658;Total men and women;45 to 55 years;2000 May;3110;2500;600;4920;2880;2040
659;Total men and women;45 to 55 years;2000 June;3030;2330;700;4660;2380;2270
660;Total men and women;45 to 55 years;2000 July;3830;2980;850;4030;1830;2200
661;Total men and women;45 to 55 years;2000 August;3280;2670;600;3910;2160;1750
662;Total men and women;45 to 55 years;2000 September;2890;2300;590;4200;2510;1690
663;Total men and women;45 to 55 years;2000 October;3360;2650;710;4140;2280;1870
664;Total men and women;45 to 55 years;2000 November;5110;4160;950;4370;2280;2090
665;Total men and women;45 to 55 years;2000 December;3370;2830;550;3390;1640;1750
666;Total men and women;45 to 55 years;2000 Annual figure;47080;38660;8420;55530;32030;23500
667;Total men and women;45 to 55 years;2001 January;4590;3910;680;3960;2050;1910
668;Total men and women;45 to 55 years;2001 February;4230;3520;710;4200;2350;1850
669;Total men and women;45 to 55 years;2001 March;4710;3740;970;6750;3960;2800
670;Total men and women;45 to 55 years;2001 April;3340;2540;800;5320;3410;1910
671;Total men and women;45 to 55 years;2001 May;3580;2750;830;4480;2510;1970
672;Total men and women;45 to 55 years;2001 June;3070;2340;730;3500;1790;1710
673;Total men and women;45 to 55 years;2001 July;3240;2400;850;3650;1710;1940
674;Total men and women;45 to 55 years;2001 August;2950;2340;600;3380;1710;1670
675;Total men and women;45 to 55 years;2001 September;2920;2280;640;3720;2150;1570
676;Total men and women;45 to 55 years;2001 October;3300;2520;780;3720;2100;1620
677;Total men and women;45 to 55 years;2001 November;4660;3780;880;4140;2050;2090
678;Total men and women;45 to 55 years;2001 December;3020;2600;420;3200;1340;1860
679;Total men and women;45 to 55 years;2001 Annual figure;43600;34720;8880;50010;27120;22900
680;Total men and women;45 to 55 years;2002 January;6220;5300;920;4150;1930;2220
681;Total men and women;45 to 55 years;2002 February;4480;3730;750;3970;2100;1860
682;Total men and women;45 to 55 years;2002 March;4550;3810;740;5100;3100;2010
683;Total men and women;45 to 55 years;2002 April;4460;3730;730;5210;3360;1850
684;Total men and women;45 to 55 years;2002 May;4890;4020;870;4980;2870;2110
685;Total men and women;45 to 55 years;2002 June;4360;3620;740;4170;2400;1770
686;Total men and women;45 to 55 years;2002 July;3950;3220;740;3800;1960;1840
687;Total men and women;45 to 55 years;2002 August;4490;3760;730;4090;2090;2000
688;Total men and women;45 to 55 years;2002 September;4390;3710;690;4310;2490;1830
689;Total men and women;45 to 55 years;2002 October;5240;4330;910;4830;2610;2230
690;Total men and women;45 to 55 years;2002 November;5570;4710;870;3600;1830;1780
691;Total men and women;45 to 55 years;2002 December;4560;3930;640;3330;1580;1740
692;Total men and women;45 to 55 years;2002 Annual figure;57170;47850;9320;51540;28300;23240
693;Total men and women;45 to 55 years;2003 January;7760;6610;1150;4200;2060;2140
694;Total men and women;45 to 55 years;2003 February;6220;5290;940;4440;2470;1970
695;Total men and women;45 to 55 years;2003 March;5640;4730;920;5090;3070;2020
696;Total men and women;45 to 55 years;2003 April;5600;4630;970;5130;3160;1970
697;Total men and women;45 to 55 years;2003 May;6020;5050;970;5750;3170;2580
698;Total men and women;45 to 55 years;2003 June;5040;4200;840;4290;2260;2030
699;Total men and women;45 to 55 years;2003 July;6400;5240;1150;5020;2420;2600
700;Total men and women;45 to 55 years;2003 August;4610;3860;750;3830;2030;1800
701;Total men and women;45 to 55 years;2003 September;5630;4820;810;4740;2780;1960
702;Total men and women;45 to 55 years;2003 October;6500;5500;1000;5430;2990;2440
703;Total men and women;45 to 55 years;2003 November;6080;5080;1000;4320;2140;2180
704;Total men and women;45 to 55 years;2003 December;5570;4420;1150;3950;1890;2060
705;Total men and women;45 to 55 years;2003 Annual figure;71070;59420;11650;56180;30450;25740
706;Total men and women;45 to 55 years;2004 January;7210;5980;1230;4540;2310;2230
707;Total men and women;45 to 55 years;2004 February;6650;5490;1160;5050;2720;2330
708;Total men and women;45 to 55 years;2004 March;6310;5070;1240;5650;3330;2320
709;Total men and women;45 to 55 years;2004 April;6560;5400;1160;6390;4000;2390
710;Total men and women;45 to 55 years;2004 May;4760;3790;970;5070;2990;2080
711;Total men and women;45 to 55 years;2004 June;5310;4240;1070;4420;2540;1880
712;Total men and women;45 to 55 years;2004 July;6330;5170;1170;6610;3190;3420
713;Total men and women;45 to 55 years;2004 August;4480;3630;840;4900;2460;2440
714;Total men and women;45 to 55 years;2004 September;5480;4430;1050;5450;3090;2360
715;Total men and women;45 to 55 years;2004 October;6820;5610;1210;6700;3880;2810
716;Total men and women;45 to 55 years;2004 November;6280;5170;1110;5160;2840;2320
717;Total men and women;45 to 55 years;2004 December;7180;5890;1280;4780;2530;2250
718;Total men and women;45 to 55 years;2004 Annual figure;73350;59870;13480;64700;35870;28840
719;Total men and women;45 to 55 years;2005 January;7500;6440;1060;4660;2570;2080
720;Total men and women;45 to 55 years;2005 February;7160;6090;1070;5480;3120;2360
721;Total men and women;45 to 55 years;2005 March;6690;5570;1130;6470;3800;2670
722;Total men and women;45 to 55 years;2005 April;6180;5160;1020;6580;4290;2290
723;Total men and women;45 to 55 years;2005 May;4970;4040;920;6760;3570;3190
724;Total men and women;45 to 55 years;2005 June;6060;4910;1160;6100;3770;2330
725;Total men and women;45 to 55 years;2005 July;4780;3940;840;5100;3070;2030
726;Total men and women;45 to 55 years;2005 August;4800;4040;760;4700;2730;1970
727;Total men and women;45 to 55 years;2005 September;6360;5430;940;6790;4510;2280
728;Total men and women;45 to 55 years;2005 October;5050;4230;820;5620;3800;1820
729;Total men and women;45 to 55 years;2005 November;5430;4560;860;5080;3170;1910
730;Total men and women;45 to 55 years;2005 December;5830;5000;830;4990;3020;1970
731;Total men and women;45 to 55 years;2005 Annual figure;70810;59390;11420;68320;41420;26900
732;Total men and women;45 to 55 years;2006 January;5880;5150;730;5280;3190;2100
733;Total men and women;45 to 55 years;2006 February;6750;5830;920;5580;3620;1960
734;Total men and women;45 to 55 years;2006 March;6970;5820;1150;7280;4580;2700
735;Total men and women;45 to 55 years;2006 April;4860;3960;900;6910;4720;2190
736;Total men and women;45 to 55 years;2006 May;5010;4100;910;6560;4310;2250
737;Total men and women;45 to 55 years;2006 June;5320;4350;970;6760;4110;2650
738;Total men and women;45 to 55 years;2006 July;4490;3740;760;5650;3200;2440
739;Total men and women;45 to 55 years;2006 August;5470;4620;850;6490;3780;2710
740;Total men and women;45 to 55 years;2006 September;4930;4160;770;6750;4310;2440
741;Total men and women;45 to 55 years;2006 October;5240;4320;920;6810;4200;2610
742;Total men and women;45 to 55 years;2006 November;6160;5050;1110;7180;4070;3110
743;Total men and women;45 to 55 years;2006 December;4820;4000;830;5210;2760;2450
744;Total men and women;45 to 55 years;2006 Annual figure;65910;55100;10810;76450;46850;29600
745;Total men and women;45 to 55 years;2007 January;6710;5700;1000;6180;3160;3020
746;Total men and women;45 to 55 years;2007 February;5850;4810;1040;6990;3900;3090
747;Total men and women;45 to 55 years;2007 March;6270;5050;1220;8930;4880;4040
748;Total men and women;45 to 55 years;2007 April;4470;3670;800;7610;4460;3150
749;Total men and women;45 to 55 years;2007 May;4710;3820;890;7260;4070;3190
750;Total men and women;45 to 55 years;2007 June;4060;3310;750;5930;3330;2600
751;Total men and women;45 to 55 years;2007 July;4270;3560;710;5420;3040;2380
752;Total men and women;45 to 55 years;2007 August;4860;4140;720;6210;3370;2850
753;Total men and women;45 to 55 years;2007 September;4350;3640;720;6350;3900;2450
754;Total men and women;45 to 55 years;2007 October;4860;4010;860;6120;3520;2590
755;Total men and women;45 to 55 years;2007 November;6150;5260;900;6830;3590;3240
756;Total men and women;45 to 55 years;2007 December;4400;3870;530;4540;2230;2310
757;Total men and women;45 to 55 years;2007 Annual figure;60950;50820;10130;78360;43450;34910
758;Total men and women;45 to 55 years;2008 January;7400;6590;810;6690;3380;3300
759;Total men and women;45 to 55 years;2008 February;4760;4050;710;6100;3470;2630
760;Total men and women;45 to 55 years;2008 March;4190;3620;570;5880;3420;2460
761;Total men and women;45 to 55 years;2008 April;4760;4040;730;6530;3850;2680
762;Total men and women;45 to 55 years;2008 May;4490;3770;720;5930;3300;2630
763;Total men and women;45 to 55 years;2008 June;4200;3560;640;4970;2850;2110
764;Total men and women;45 to 55 years;2008 July;4930;4230;700;5480;2770;2710
765;Total men and women;45 to 55 years;2008 August;4160;3650;510;4480;2580;1890
766;Total men and women;45 to 55 years;2008 September;4350;3760;590;5360;3340;2020
767;Total men and women;45 to 55 years;2008 October;5550;4810;740;5410;3140;2270
768;Total men and women;45 to 55 years;2008 November;5070;4420;650;4310;2460;1850
769;Total men and women;45 to 55 years;2008 December;5630;4950;680;3870;1890;1980
770;Total men and women;45 to 55 years;2008 Annual figure;59480;51440;8040;65000;36450;28550
771;Total men and women;45 to 55 years;2009 January;7980;7270;710;5030;2570;2460
772;Total men and women;45 to 55 years;2009 February;6940;6170;770;5030;2560;2470
773;Total men and women;45 to 55 years;2009 March;7000;6300;690;5450;2700;2750
774;Total men and women;45 to 55 years;2009 April;8170;7330;830;6460;3290;3170
775;Total men and women;45 to 55 years;2009 May;6660;6130;530;5040;2670;2370
776;Total men and women;45 to 55 years;2009 June;7640;7070;570;5130;2680;2460
777;Total men and women;45 to 55 years;2009 July;8560;7920;650;6040;2820;3220
778;Total men and women;45 to 55 years;2009 August;7130;6690;440;4930;2450;2480
779;Total men and women;45 to 55 years;2009 September;7700;7200;500;6300;3590;2710
780;Total men and women;45 to 55 years;2009 October;9360;8640;720;6740;3930;2800
781;Total men and women;45 to 55 years;2009 November;8070;7450;610;5630;3060;2570
782;Total men and women;45 to 55 years;2009 December;8910;8330;580;5640;2620;3020
783;Total men and women;45 to 55 years;2009 Annual figure;94100;86510;7590;67400;34940;32460
784;Total men and women;45 to 55 years;2010 January;10520;9930;590;6380;3390;2990
785;Total men and women;55 to 65 years;1998 January;2980;2720;260;2990;540;2450
786;Total men and women;55 to 65 years;1998 February;2190;1920;270;2290;550;1740
787;Total men and women;55 to 65 years;1998 March;1750;1520;230;2720;810;1910
788;Total men and women;55 to 65 years;1998 April;1930;1600;330;3550;1340;2220
789;Total men and women;55 to 65 years;1998 May;1540;1290;260;2820;810;2000
790;Total men and women;55 to 65 years;1998 June;1810;1550;260;3170;710;2450
791;Total men and women;55 to 65 years;1998 July;2640;2300;340;3370;640;2730
792;Total men and women;55 to 65 years;1998 August;1710;1490;220;2790;610;2180
793;Total men and women;55 to 65 years;1998 September;1500;1260;240;2460;590;1870
794;Total men and women;55 to 65 years;1998 October;1990;1670;320;3120;710;2420
795;Total men and women;55 to 65 years;1998 November;2150;1890;260;2460;490;1970
796;Total men and women;55 to 65 years;1998 December;2470;2200;270;2750;430;2320
797;Total men and women;55 to 65 years;1998 Annual figure;24660;21420;3240;34470;8220;26250
798;Total men and women;55 to 65 years;1999 January;2770;2490;280;3630;530;3110
799;Total men and women;55 to 65 years;1999 February;1850;1590;260;2850;640;2200
800;Total men and women;55 to 65 years;1999 March;2010;1660;350;3910;1260;2650
801;Total men and women;55 to 65 years;1999 April;1310;1090;210;3300;1180;2120
802;Total men and women;55 to 65 years;1999 May;1660;1390;270;3130;680;2450
803;Total men and women;55 to 65 years;1999 June;1540;1310;230;3130;630;2490
804;Total men and women;55 to 65 years;1999 July;1670;1420;250;2730;480;2260
805;Total men and women;55 to 65 years;1999 August;1260;1060;200;2600;490;2110
806;Total men and women;55 to 65 years;1999 September;1690;1390;300;2900;720;2180
807;Total men and women;55 to 65 years;1999 October;1670;1420;250;2620;630;2000
808;Total men and women;55 to 65 years;1999 November;1900;1650;250;2430;490;1940
809;Total men and women;55 to 65 years;1999 December;1740;1530;220;2450;440;2010
810;Total men and women;55 to 65 years;1999 Annual figure;21060;18000;3060;35680;8160;27520
811;Total men and women;55 to 65 years;2000 January;2390;2070;320;2710;480;2230
812;Total men and women;55 to 65 years;2000 February;1810;1570;240;2530;620;1920
813;Total men and women;55 to 65 years;2000 March;1780;1470;310;3060;980;2080
814;Total men and women;55 to 65 years;2000 April;1490;1220;270;2740;1000;1740
815;Total men and women;55 to 65 years;2000 May;1480;1240;250;2400;730;1670
816;Total men and women;55 to 65 years;2000 June;1640;1340;300;2550;590;1970
817;Total men and women;55 to 65 years;2000 July;1950;1520;430;2380;460;1910
818;Total men and women;55 to 65 years;2000 August;1470;1200;270;2060;530;1540
819;Total men and women;55 to 65 years;2000 September;1300;1080;220;1970;570;1390
820;Total men and women;55 to 65 years;2000 October;1750;1420;330;2210;540;1670
821;Total men and women;55 to 65 years;2000 November;2310;1920;390;2370;520;1850
822;Total men and women;55 to 65 years;2000 December;1390;1190;200;1940;380;1560
823;Total men and women;55 to 65 years;2000 Annual figure;20750;17240;3510;28920;7390;21540
824;Total men and women;55 to 65 years;2001 January;2130;1840;300;2030;390;1640
825;Total men and women;55 to 65 years;2001 February;1800;1530;270;2000;470;1540
826;Total men and women;55 to 65 years;2001 March;2290;1850;440;3410;890;2520
827;Total men and women;55 to 65 years;2001 April;1540;1180;360;3040;1000;2050
828;Total men and women;55 to 65 years;2001 May;1640;1330;310;2820;700;2120
829;Total men and women;55 to 65 years;2001 June;1410;1140;260;2320;430;1890
830;Total men and women;55 to 65 years;2001 July;1460;1170;290;2190;460;1720
831;Total men and women;55 to 65 years;2001 August;1400;1120;280;1960;450;1510
832;Total men and women;55 to 65 years;2001 September;1330;1080;250;1930;550;1380
833;Total men and women;55 to 65 years;2001 October;1490;1200;290;1990;520;1470
834;Total men and women;55 to 65 years;2001 November;2100;1750;350;2420;470;1950
835;Total men and women;55 to 65 years;2001 December;1270;1090;180;2450;290;2160
836;Total men and women;55 to 65 years;2001 Annual figure;19850;16270;3580;28570;6610;21960
837;Total men and women;55 to 65 years;2002 January;2720;2360;360;2700;450;2250
838;Total men and women;55 to 65 years;2002 February;1890;1600;290;1900;480;1420
839;Total men and women;55 to 65 years;2002 March;1920;1610;310;2320;830;1490
840;Total men and women;55 to 65 years;2002 April;2130;1810;320;2460;1040;1430
841;Total men and women;55 to 65 years;2002 May;2100;1740;370;2400;810;1590
842;Total men and women;55 to 65 years;2002 June;1850;1560;280;2040;640;1400
843;Total men and women;55 to 65 years;2002 July;1780;1490;290;2230;490;1740
844;Total men and women;55 to 65 years;2002 August;1930;1620;310;2520;520;2000
845;Total men and women;55 to 65 years;2002 September;1790;1500;290;1810;580;1230
846;Total men and women;55 to 65 years;2002 October;2400;2050;340;2030;640;1390
847;Total men and women;55 to 65 years;2002 November;2580;2220;350;1710;410;1300
848;Total men and women;55 to 65 years;2002 December;1900;1640;260;1590;360;1230
849;Total men and women;55 to 65 years;2002 Annual figure;24980;21210;3770;25690;7220;18470
850;Total men and women;55 to 65 years;2003 January;3390;2830;550;2210;460;1760
851;Total men and women;55 to 65 years;2003 February;2690;2260;430;1950;550;1390
852;Total men and women;55 to 65 years;2003 March;2410;1990;420;2080;760;1320
853;Total men and women;55 to 65 years;2003 April;2340;1930;420;2250;940;1310
854;Total men and women;55 to 65 years;2003 May;2620;2200;410;2480;900;1580
855;Total men and women;55 to 65 years;2003 June;2170;1800;360;1740;520;1220
856;Total men and women;55 to 65 years;2003 July;2860;2400;460;2220;620;1610
857;Total men and women;55 to 65 years;2003 August;1950;1630;320;1700;530;1170
858;Total men and women;55 to 65 years;2003 September;2670;2260;410;1930;530;1390
859;Total men and women;55 to 65 years;2003 October;2970;2520;450;2360;710;1650
860;Total men and women;55 to 65 years;2003 November;2860;2310;550;1860;460;1410
861;Total men and women;55 to 65 years;2003 December;2540;1960;580;1800;420;1380
862;Total men and women;55 to 65 years;2003 Annual figure;31450;26090;5360;24580;7380;17200
863;Total men and women;55 to 65 years;2004 January;3180;2590;590;2160;450;1710
864;Total men and women;55 to 65 years;2004 February;2620;2070;550;2350;640;1710
865;Total men and women;55 to 65 years;2004 March;2500;1900;600;2480;850;1630
866;Total men and women;55 to 65 years;2004 April;2810;2180;630;2940;1230;1710
867;Total men and women;55 to 65 years;2004 May;1950;1520;440;2210;790;1420
868;Total men and women;55 to 65 years;2004 June;2430;1860;570;2000;700;1300
869;Total men and women;55 to 65 years;2004 July;2770;2150;620;3240;850;2390
870;Total men and women;55 to 65 years;2004 August;1790;1370;420;2480;770;1710
871;Total men and women;55 to 65 years;2004 September;2180;1690;490;2310;750;1560
872;Total men and women;55 to 65 years;2004 October;2740;2120;610;2830;920;1910
873;Total men and women;55 to 65 years;2004 November;2570;2090;480;2170;660;1500
874;Total men and women;55 to 65 years;2004 December;3120;2540;580;2260;590;1670
875;Total men and women;55 to 65 years;2004 Annual figure;30650;24080;6580;29420;9210;20210
876;Total men and women;55 to 65 years;2005 January;3240;2660;580;2280;560;1720
877;Total men and women;55 to 65 years;2005 February;2970;2430;540;2740;940;1800
878;Total men and women;55 to 65 years;2005 March;3080;2540;540;2940;1000;1950
879;Total men and women;55 to 65 years;2005 April;2780;2230;550;3080;1460;1630
880;Total men and women;55 to 65 years;2005 May;2150;1700;450;3540;1040;2510
881;Total men and women;55 to 65 years;2005 June;2730;2140;590;2590;1010;1570
882;Total men and women;55 to 65 years;2005 July;1920;1550;370;2140;820;1310
883;Total men and women;55 to 65 years;2005 August;1930;1540;390;1970;690;1280
884;Total men and women;55 to 65 years;2005 September;2490;2060;430;2830;1200;1630
885;Total men and women;55 to 65 years;2005 October;2130;1720;400;2290;1020;1280
886;Total men and women;55 to 65 years;2005 November;2310;1880;420;2050;790;1260
887;Total men and women;55 to 65 years;2005 December;2670;2270;400;2150;750;1390
888;Total men and women;55 to 65 years;2005 Annual figure;30390;24740;5650;30590;11270;19330
889;Total men and women;55 to 65 years;2006 January;2500;2150;350;2210;780;1430
890;Total men and women;55 to 65 years;2006 February;2740;2290;450;2290;930;1360
891;Total men and women;55 to 65 years;2006 March;2840;2310;530;2840;1180;1660
892;Total men and women;55 to 65 years;2006 April;2100;1700;400;2890;1580;1310
893;Total men and women;55 to 65 years;2006 May;2120;1720;400;2680;1370;1310
894;Total men and women;55 to 65 years;2006 June;2120;1680;440;2640;1120;1520
895;Total men and women;55 to 65 years;2006 July;1910;1560;350;2260;970;1280
896;Total men and women;55 to 65 years;2006 August;2320;1930;390;2710;1110;1600
897;Total men and women;55 to 65 years;2006 September;2380;1990;380;2490;1270;1220
898;Total men and women;55 to 65 years;2006 October;2320;1960;370;2750;1250;1500
899;Total men and women;55 to 65 years;2006 November;2560;2100;470;2900;1170;1730
900;Total men and women;55 to 65 years;2006 December;1990;1630;360;2230;830;1390
901;Total men and women;55 to 65 years;2006 Annual figure;27890;23000;4890;30870;13560;17310
902;Total men and women;55 to 65 years;2007 January;2610;2250;360;2510;910;1600
903;Total men and women;55 to 65 years;2007 February;2320;1870;440;2840;1260;1580
904;Total men and women;55 to 65 years;2007 March;2520;2000;510;3770;1700;2080
905;Total men and women;55 to 65 years;2007 April;1790;1360;420;3280;1650;1630
906;Total men and women;55 to 65 years;2007 May;1910;1500;410;3200;1470;1730
907;Total men and women;55 to 65 years;2007 June;1730;1330;400;2450;1120;1330
908;Total men and women;55 to 65 years;2007 July;1750;1390;360;2360;1140;1220
909;Total men and women;55 to 65 years;2007 August;1990;1650;340;2800;1340;1460
910;Total men and women;55 to 65 years;2007 September;1970;1610;360;3170;1420;1750
911;Total men and women;55 to 65 years;2007 October;2250;1810;440;2930;1220;1710
912;Total men and women;55 to 65 years;2007 November;2700;2300;400;3540;1360;2180
913;Total men and women;55 to 65 years;2007 December;2030;1770;260;2530;820;1720
914;Total men and women;55 to 65 years;2007 Annual figure;25560;20850;4710;35360;15410;19960
915;Total men and women;55 to 65 years;2008 January;3400;3000;400;3970;1380;2590
916;Total men and women;55 to 65 years;2008 February;2090;1750;340;3420;1350;2080
917;Total men and women;55 to 65 years;2008 March;1820;1530;300;3520;1460;2070
918;Total men and women;55 to 65 years;2008 April;2100;1760;330;3820;1640;2180
919;Total men and women;55 to 65 years;2008 May;1860;1550;300;3660;1350;2320
920;Total men and women;55 to 65 years;2008 June;1880;1590;290;3200;1160;2040
921;Total men and women;55 to 65 years;2008 July;2280;1940;350;3620;1200;2420
922;Total men and women;55 to 65 years;2008 August;1860;1620;240;2920;1040;1880
923;Total men and women;55 to 65 years;2008 September;1870;1560;310;3330;1290;2040
924;Total men and women;55 to 65 years;2008 October;2630;2230;400;3820;1320;2500
925;Total men and women;55 to 65 years;2008 November;2320;2010;310;3000;950;2050
926;Total men and women;55 to 65 years;2008 December;2510;2200;310;2830;720;2110
927;Total men and women;55 to 65 years;2008 Annual figure;26610;22750;3860;41110;14860;26250
928;Total men and women;55 to 65 years;2009 January;3800;3400;400;3620;890;2730
929;Total men and women;55 to 65 years;2009 February;3070;2700;360;3150;900;2250
930;Total men and women;55 to 65 years;2009 March;3100;2740;360;3400;1100;2300
931;Total men and women;55 to 65 years;2009 April;3590;3150;440;4090;1420;2670
932;Total men and women;55 to 65 years;2009 May;2960;2700;260;3130;970;2170
933;Total men and women;55 to 65 years;2009 June;3510;3220;290;3030;900;2130
934;Total men and women;55 to 65 years;2009 July;3990;3670;320;3660;990;2680
935;Total men and women;55 to 65 years;2009 August;3280;3000;280;3140;920;2220
936;Total men and women;55 to 65 years;2009 September;3640;3340;310;3550;1280;2270
937;Total men and women;55 to 65 years;2009 October;4650;4240;400;3710;1300;2420
938;Total men and women;55 to 65 years;2009 November;3950;3610;340;3090;900;2180
939;Total men and women;55 to 65 years;2009 December;4490;4070;420;3380;800;2580
940;Total men and women;55 to 65 years;2009 Annual figure;44020;39840;4180;40950;12360;28590
941;Total men and women;55 to 65 years;2010 January;5070;4720;350;3750;960;2790
942;Men;15 to 65 years;1998 January;37290;35270;2020;23710;14780;8930
943;Men;15 to 65 years;1998 February;27960;26650;1310;24350;17360;6990
944;Men;15 to 65 years;1998 March;19960;18790;1170;29600;21890;7710
945;Men;15 to 65 years;1998 April;18490;17090;1400;37090;27960;9130
946;Men;15 to 65 years;1998 May;14020;12910;1110;25310;17240;8070
947;Men;15 to 65 years;1998 June;14490;13400;1090;22320;14030;8290
948;Men;15 to 65 years;1998 July;15700;14400;1300;20610;11740;8870
949;Men;15 to 65 years;1998 August;17950;17050;900;19930;13500;6430
950;Men;15 to 65 years;1998 September;13800;12760;1040;18060;12240;5810
951;Men;15 to 65 years;1998 October;16860;15500;1370;20790;12950;7830
952;Men;15 to 65 years;1998 November;24770;23540;1230;16230;9310;6920
953;Men;15 to 65 years;1998 December;25080;23900;1180;15030;7520;7510
954;Men;15 to 65 years;1998 Annual figure;246370;231250;15130;273020;180520;92500
955;Men;15 to 65 years;1999 January;25740;24570;1170;20510;11970;8540
956;Men;15 to 65 years;1999 February;18260;17190;1070;20510;14280;6230
957;Men;15 to 65 years;1999 March;18530;17030;1500;30770;22770;8010
958;Men;15 to 65 years;1999 April;11120;10100;1020;22930;16840;6090
959;Men;15 to 65 years;1999 May;9880;8880;1000;16440;9570;6870
960;Men;15 to 65 years;1999 June;10520;9470;1050;16070;9300;6770
961;Men;15 to 65 years;1999 July;11170;10070;1090;12450;6480;5970
962;Men;15 to 65 years;1999 August;8930;8120;810;11000;6140;4870
963;Men;15 to 65 years;1999 September;12550;11310;1240;15830;10090;5740
964;Men;15 to 65 years;1999 October;10530;9400;1130;13400;8030;5370
965;Men;15 to 65 years;1999 November;13820;12680;1130;12200;6710;5490
966;Men;15 to 65 years;1999 December;14380;13480;900;11360;5980;5380
967;Men;15 to 65 years;1999 Annual figure;165430;152300;13130;203470;128150;75320
968;Men;15 to 65 years;2000 January;21530;20250;1280;12640;7580;5060
969;Men;15 to 65 years;2000 February;15520;14470;1040;16070;10920;5150
970;Men;15 to 65 years;2000 March;13570;12280;1280;21650;15980;5660
971;Men;15 to 65 years;2000 April;8900;7900;1010;17090;11680;5420
972;Men;15 to 65 years;2000 May;8720;7720;990;13510;8320;5190
973;Men;15 to 65 years;2000 June;8260;7280;990;12340;6780;5560
974;Men;15 to 65 years;2000 July;9240;7950;1290;9950;4990;4960
975;Men;15 to 65 years;2000 August;9270;8290;980;10010;5700;4310
976;Men;15 to 65 years;2000 September;8360;7440;930;10650;6840;3820
977;Men;15 to 65 years;2000 October;9170;8100;1080;10580;6180;4400
978;Men;15 to 65 years;2000 November;13370;12060;1300;10800;6150;4650
979;Men;15 to 65 years;2000 December;10260;9490;770;7910;4120;3790
980;Men;15 to 65 years;2000 Annual figure;136160;123230;12930;153190;95220;57970
981;Men;15 to 65 years;2001 January;14100;12990;1100;9480;5470;4020
982;Men;15 to 65 years;2001 February;12260;11190;1070;11390;7380;4010
983;Men;15 to 65 years;2001 March;13380;11910;1470;19030;12780;6250
984;Men;15 to 65 years;2001 April;9110;7930;1190;14530;9760;4770
985;Men;15 to 65 years;2001 May;9220;8070;1150;12070;7050;5020
986;Men;15 to 65 years;2001 June;7650;6640;1010;9210;4880;4330
987;Men;15 to 65 years;2001 July;7640;6580;1060;9570;4570;5000
988;Men;15 to 65 years;2001 August;8440;7410;1030;9350;4950;4410
989;Men;15 to 65 years;2001 September;8150;7130;1010;9730;5720;4020
990;Men;15 to 65 years;2001 October;9170;8020;1150;9760;5510;4250
991;Men;15 to 65 years;2001 November;13260;11930;1330;10430;5400;5030
992;Men;15 to 65 years;2001 December;9310;8590;720;8560;3580;4980
993;Men;15 to 65 years;2001 Annual figure;121670;108390;13280;133100;77040;56070
994;Men;15 to 65 years;2002 January;18270;16820;1450;10800;5390;5420
995;Men;15 to 65 years;2002 February;13590;12500;1090;10870;6600;4280
996;Men;15 to 65 years;2002 March;13750;12510;1240;15370;10310;5070
