ID;Perioden;IndividueleBinnenlandseProductie_1;TotaalVerzekeringenInEuroS_2;Hypotheek_3;PensioenUitgesteld_4;LijfrenteUitgesteld_5;DirectIngaandeRente_6;LevenslangBijOverlijden_7;Spaarverzekering_8;Risicoverzekering_9;OverigeIndividueleVerzekeringen_10;TotaalVerzekeringInBeleggingseenheden_11;Hypotheek_12;PensioenUitgesteld_13;LijfrenteUitgesteld_14;DirectIngaandeRente_15;LevenslangBijOverlijden_16;Spaarverzekering_17;Risicoverzekering_18;OverigeIndividueleVerzekeringen_19;IndividueleBinnenlandseProductie_20;TotaalVerzekeringenInEuroS_21;Hypotheek_22;PensioenUitgesteld_23;LijfrenteUitgesteld_24;DirectIngaandeRente_25;LevenslangBijOverlijden_26;Spaarverzekering_27;Risicoverzekering_28;OverigeIndividueleVerzekeringen_29;TotaalVerzekeringInBeleggingseenheden_30;Hypotheek_31;PensioenUitgesteld_32;LijfrenteUitgesteld_33;DirectIngaandeRente_34;LevenslangBijOverlijden_35;Spaarverzekering_36;Risicoverzekering_37;OverigeIndividueleVerzekeringen_38;IndividueleBinnenlandseProductie_39;TotaalVerzekeringenInEuroS_40;Hypotheek_41;PensioenUitgesteld_42;LijfrenteUitgesteld_43;DirectIngaandeRente_44;LevenslangBijOverlijden_45;Spaarverzekering_46;Risicoverzekering_47;OverigeIndividueleVerzekeringen_48;TotaalVerzekeringInBeleggingseenheden_49;Hypotheek_50;PensioenUitgesteld_51;LijfrenteUitgesteld_52;DirectIngaandeRente_53;LevenslangBijOverlijden_54;Spaarverzekering_55;Risicoverzekering_56;OverigeIndividueleVerzekeringen_57;IndividueleBinnenlandseProductie_58;TotaalVerzekeringenInEuroS_59;Hypotheek_60;PensioenUitgesteld_61;LijfrenteUitgesteld_62;DirectIngaandeRente_63;LevenslangBijOverlijden_64;Spaarverzekering_65;Risicoverzekering_66;OverigeIndividueleVerzekeringen_67;TotaalVerzekeringInBeleggingseenheden_68;Hypotheek_69;PensioenUitgesteld_70;LijfrenteUitgesteld_71;DirectIngaandeRente_72;LevenslangBijOverlijden_73;Spaarverzekering_74;Risicoverzekering_75;OverigeIndividueleVerzekeringen_76;IndividueleBinnenlandseProductie_77;TotaalVerzekeringenInEuroS_78;Hypotheek_79;PensioenUitgesteld_80;LijfrenteUitgesteld_81;DirectIngaandeRente_82;LevenslangBijOverlijden_83;Spaarverzekering_84;Risicoverzekering_85;OverigeIndividueleVerzekeringen_86;TotaalVerzekeringInBeleggingseenheden_87;Hypotheek_88;PensioenUitgesteld_89;LijfrenteUitgesteld_90;DirectIngaandeRente_91;LevenslangBijOverlijden_92;Spaarverzekering_93;Risicoverzekering_94;OverigeIndividueleVerzekeringen_95;IndividueleBinnenlandseProductie_96;TotaalVerzekeringenInEuroS_97;Hypotheek_98;PensioenUitgesteld_99;LijfrenteUitgesteld_100;DirectIngaandeRente_101;LevenslangBijOverlijden_102;Spaarverzekering_103;Risicoverzekering_104;OverigeIndividueleVerzekeringen_105;TotaalVerzekeringInBeleggingseenheden_106;Hypotheek_107;PensioenUitgesteld_108;LijfrenteUitgesteld_109;DirectIngaandeRente_110;LevenslangBijOverlijden_111;Spaarverzekering_112;Risicoverzekering_113;OverigeIndividueleVerzekeringen_114;IndividueleBinnenlandseProductie_115;TotaalVerzekeringenInEuroS_116;Hypotheek_117;PensioenUitgesteld_118;LijfrenteUitgesteld_119;DirectIngaandeRente_120;LevenslangBijOverlijden_121;Spaarverzekering_122;Risicoverzekering_123;OverigeIndividueleVerzekeringen_124;TotaalVerzekeringInBeleggingseenheden_125;Hypotheek_126;PensioenUitgesteld_127;LijfrenteUitgesteld_128;DirectIngaandeRente_129;LevenslangBijOverlijden_130;Spaarverzekering_131;Risicoverzekering_132;OverigeIndividueleVerzekeringen_133;TotaleSpaarkasproductie_134;Hypotheek_135;PensioenUitgesteld_136;LijfrenteUitgesteld_137;Ongeclausuleerd_138;TotaleSpaarkasproductie_139;Hypotheek_140;PensioenUitgesteld_141;LijfrenteUitgesteld_142;Ongeclausuleerd_143;TotaleSpaarkasproductie_144;Hypotheek_145;PensioenUitgesteld_146;LijfrenteUitgesteld_147;Ongeclausuleerd_148;TotaleSpaarkasproductie_149;Hypotheek_150;PensioenUitgesteld_151;LijfrenteUitgesteld_152;Ongeclausuleerd_153;TotaleSpaarkasproductie_154;Hypotheek_155;PensioenUitgesteld_156;LijfrenteUitgesteld_157;Ongeclausuleerd_158;TotaleSpaarkasproductie_159;Hypotheek_160;PensioenUitgesteld_161;LijfrenteUitgesteld_162;Ongeclausuleerd_163
36;1995 november;85.5;63.6;;;;;;;;;21.9;;;;;;;;;2688.6;2262.1;;;;;;;;;426.5;;;;;;;;;65.9;45.7;;;;;;;;;20.3;;;;;;;;;24.8;11.8;;;;;;;;;13.0;;;;;;;;;9.1;8.1;;;;;;;;;1.0;;;;;;;;;313.4;295.6;;;;;;;;;17.8;;;;;;;;;150.7;137.2;;;;;;;;;13.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;1995 december;86.5;63.9;;;;;;;;;22.6;;;;;;;;;2722.9;2244.4;;;;;;;;;478.6;;;;;;;;;68.8;45.5;;;;;;;;;23.3;;;;;;;;;32.1;11.1;;;;;;;;;21.0;;;;;;;;;16.3;11.6;;;;;;;;;4.7;;;;;;;;;378.9;350.9;;;;;;;;;28.0;;;;;;;;;224.4;190.0;;;;;;;;;34.4;;;;;;;;;58.8;0.1;0.0;2.8;55.8;632.8;0.8;0.1;35.8;596.0;32.1;0.0;0.0;1.7;30.4;9.9;0.0;0.1;2.4;7.3;7.0;0.0;0.0;0.6;6.4;1.8;0.0;0.0;0.7;1.1
38;1995;994.3;784.9;;;;;;;;;209.5;;;;;;;;;32171.4;27037.6;;;;;;;;;5133.8;;;;;;;;;738.6;517.9;;;;;;;;;220.8;;;;;;;;;279.6;159.9;;;;;;;;;119.7;;;;;;;;;180.9;155.5;;;;;;;;;25.4;;;;;;;;;4827.3;4533.1;;;;;;;;;294.1;;;;;;;;;2365.4;2141.2;;;;;;;;;224.2;;;;;;;;;204.8;1.2;0.0;9.9;193.7;1887.5;16.9;0.6;116.0;1753.9;94.9;0.7;0.0;5.5;88.8;40.5;0.7;0.3;14.8;24.7;20.5;0.5;0.0;1.8;18.2;7.4;0.3;0.0;3.6;3.4
39;1996 januari;105.6;76.8;;;;;;;;;28.8;;;;;;;;;3456.6;2778.0;;;;;;;;;678.5;;;;;;;;;81.8;55.0;;;;;;;;;26.8;;;;;;;;;34.9;18.4;;;;;;;;;16.6;;;;;;;;;38.1;31.7;;;;;;;;;6.5;;;;;;;;;712.1;660.5;;;;;;;;;51.5;;;;;;;;;418.8;379.9;;;;;;;;;38.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;1996 februari;88.8;66.2;;;;;;;;;22.6;;;;;;;;;2964.9;2360.6;;;;;;;;;604.4;;;;;;;;;70.3;46.8;;;;;;;;;23.5;;;;;;;;;29.2;12.7;;;;;;;;;16.5;;;;;;;;;16.7;14.1;;;;;;;;;2.5;;;;;;;;;603.8;568.6;;;;;;;;;35.2;;;;;;;;;298.6;272.7;;;;;;;;;25.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;1996 maart;90.2;67.7;;;;;;;;;22.5;;;;;;;;;3057.3;2497.2;;;;;;;;;560.1;;;;;;;;;69.8;48.3;;;;;;;;;21.5;;;;;;;;;29.2;14.4;;;;;;;;;14.7;;;;;;;;;23.9;20.5;;;;;;;;;3.4;;;;;;;;;393.7;365.3;;;;;;;;;28.3;;;;;;;;;226.0;201.1;;;;;;;;;24.9;;;;;;;;;45.4;0.1;0.0;2.6;42.7;435.4;0.5;0.2;32.4;402.3;18.9;0.0;0.0;2.0;16.8;11.8;0.0;0.2;4.5;7.1;4.2;0.0;0.0;0.4;3.9;1.5;0.0;0.1;1.1;0.4
42;1996 april;88.9;65.0;;;;;;;;;23.9;;;;;;;;;2879.3;2289.3;;;;;;;;;590.1;;;;;;;;;66.8;43.8;;;;;;;;;23.1;;;;;;;;;25.9;12.7;;;;;;;;;13.2;;;;;;;;;17.6;12.7;;;;;;;;;4.9;;;;;;;;;317.8;286.0;;;;;;;;;31.8;;;;;;;;;176.4;150.1;;;;;;;;;26.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;1996 mei;91.2;68.3;;;;;;;;;22.8;;;;;;;;;3135.2;2548.5;;;;;;;;;586.7;;;;;;;;;70.9;48.4;;;;;;;;;22.5;;;;;;;;;23.9;11.5;;;;;;;;;12.3;;;;;;;;;13.3;11.2;;;;;;;;;2.1;;;;;;;;;370.0;343.8;;;;;;;;;26.2;;;;;;;;;186.9;167.4;;;;;;;;;19.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;1996 juni;88.0;67.0;;;;;;;;;21.0;;;;;;;;;3049.2;2451.1;;;;;;;;;598.1;;;;;;;;;70.4;47.6;;;;;;;;;22.7;;;;;;;;;29.0;11.1;;;;;;;;;17.9;;;;;;;;;18.4;14.1;;;;;;;;;4.3;;;;;;;;;373.6;339.2;;;;;;;;;34.4;;;;;;;;;196.4;168.3;;;;;;;;;28.2;;;;;;;;;54.7;0.1;0.0;4.3;50.3;522.7;0.8;0.0;67.3;454.6;26.4;0.0;0.0;2.9;23.4;14.5;0.0;0.0;6.2;8.3;4.5;0.0;0.0;0.5;3.9;2.3;0.0;0.0;1.2;1.2
45;1996 juli;98.9;68.1;;;;;;;;;30.7;;;;;;;;;3498.1;2759.2;;;;;;;;;739.0;;;;;;;;;80.2;50.8;;;;;;;;;29.5;;;;;;;;;32.3;13.8;;;;;;;;;18.5;;;;;;;;;20.9;16.2;;;;;;;;;4.7;;;;;;;;;525.2;478.0;;;;;;;;;47.2;;;;;;;;;279.2;239.6;;;;;;;;;39.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;1996 augustus;88.2;64.4;;;;;;;;;23.8;;;;;;;;;3273.0;2454.6;;;;;;;;;819.2;;;;;;;;;68.2;45.5;;;;;;;;;22.6;;;;;;;;;24.4;10.3;;;;;;;;;14.1;;;;;;;;;9.7;8.5;;;;;;;;;1.3;;;;;;;;;400.3;375.4;;;;;;;;;25.0;;;;;;;;;191.9;174.1;;;;;;;;;17.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;1996 september;81.7;62.2;;;;;;;;;19.5;;;;;;;;;3137.6;2533.1;;;;;;;;;604.5;;;;;;;;;58.8;39.1;;;;;;;;;19.7;;;;;;;;;21.6;8.5;;;;;;;;;13.1;;;;;;;;;6.6;5.8;;;;;;;;;0.7;;;;;;;;;338.2;318.2;;;;;;;;;20.0;;;;;;;;;168.9;154.5;;;;;;;;;14.4;;;;;;;;;46.1;0.1;0.0;4.2;41.8;449.7;0.6;0.0;68.0;381.2;22.9;0.0;0.0;3.1;19.7;13.2;0.0;0.0;5.1;8.1;3.9;0.0;0.0;0.6;3.3;1.8;0.0;0.0;1.0;0.7
48;1996 oktober;94.6;65.4;;;;;;;;;29.2;;;;;;;;;2926.9;2153.5;;;;;;;;;773.4;;;;;;;;;67.6;40.4;;;;;;;;;27.1;;;;;;;;;23.3;9.6;;;;;;;;;13.7;;;;;;;;;6.6;5.7;;;;;;;;;0.8;;;;;;;;;291.6;267.4;;;;;;;;;24.2;;;;;;;;;159.7;144.4;;;;;;;;;15.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;1996 november;99.4;70.3;;;;;;;;;29.2;;;;;;;;;3053.1;2235.9;;;;;;;;;817.2;;;;;;;;;71.3;41.7;;;;;;;;;29.6;;;;;;;;;27.2;11.5;;;;;;;;;15.7;;;;;;;;;9.3;7.7;;;;;;;;;1.6;;;;;;;;;318.8;292.0;;;;;;;;;26.9;;;;;;;;;163.5;144.3;;;;;;;;;19.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;1996 december;94.9;64.6;;;;;;;;;30.3;;;;;;;;;3096.1;2053.9;;;;;;;;;1042.2;;;;;;;;;70.9;38.6;;;;;;;;;32.3;;;;;;;;;43.2;17.1;;;;;;;;;26.0;;;;;;;;;16.2;11.9;;;;;;;;;4.3;;;;;;;;;358.5;321.7;;;;;;;;;36.8;;;;;;;;;233.1;199.8;;;;;;;;;33.2;;;;;;;;;71.7;0.1;0.0;5.7;65.8;734.9;0.8;0.1;97.1;636.9;40.1;0.0;0.0;4.1;35.9;17.7;0.0;0.1;4.2;13.3;5.8;0.0;0.0;0.8;5.0;2.2;0.0;0.0;0.9;1.3
51;1996;1137.1;826.4;;;;;;;;;310.7;;;;;;;;;41685.7;31672.4;;;;;;;;;10013.3;;;;;;;;;867.9;555.6;;;;;;;;;312.3;;;;;;;;;325.7;164.3;;;;;;;;;185.9;;;;;;;;;197.9;159.5;;;;;;;;;38.4;;;;;;;;;5081.5;4662.8;;;;;;;;;418.7;;;;;;;;;2663.6;2360.4;;;;;;;;;303.3;;;;;;;;;217.8;0.4;0.0;16.8;200.6;2142.7;2.7;0.3;264.8;1874.9;108.2;0.1;0.0;12.2;95.9;57.2;0.0;0.3;20.0;36.9;18.6;0.1;0.0;2.3;16.1;7.9;0.0;0.1;4.1;3.6
52;1997 januari;111.5;72.7;16.3;2.1;12.7;0.0;11.7;11.7;15.7;2.5;38.8;7.4;2.0;13.2;0.0;0.7;14.5;0.9;1.0;4191.3;2848.5;1094.8;292.6;462.7;0.0;44.9;270.6;598.6;84.3;1342.8;439.9;120.8;334.9;0.0;3.2;391.0;12.2;40.8;97.7;51.1;19.1;5.4;12.2;0.0;1.5;7.9;3.4;1.6;46.7;14.1;2.9;13.5;0.0;0.1;14.2;0.7;1.2;51.9;17.1;2.6;2.6;7.6;0.0;0.0;3.4;0.4;0.3;34.8;3.5;4.4;5.4;0.0;0.1;19.8;0.4;1.1;46.1;37.3;0.0;1.4;26.6;5.2;0.6;0.7;2.5;0.3;8.8;0.0;1.3;6.5;0.1;0.0;1.0;0.0;0.0;822.1;740.9;1.1;75.6;302.5;282.6;1.5;21.3;51.3;5.0;81.1;3.1;7.1;50.1;5.1;0.0;13.1;0.0;2.7;475.9;416.9;0.6;29.6;197.9;169.4;0.9;12.7;3.2;2.5;59.0;1.2;2.0;42.6;2.8;0.0;9.2;0.0;1.1;12.5;0.0;0.0;0.5;12.0;122.5;0.3;0.0;6.1;116.1;6.0;0.0;0.0;0.3;5.6;3.0;0.0;0.0;0.1;2.9;1.3;0.0;0.0;0.2;1.1;0.3;0.0;0.0;0.1;0.2
53;1997 februari;100.0;64.2;14.1;2.1;7.9;0.0;16.3;8.5;13.0;2.2;35.8;5.1;2.6;11.3;0.0;0.6;12.5;2.6;1.1;3519.2;2314.0;922.2;316.3;328.4;0.0;69.1;178.0;418.0;82.0;1205.2;323.0;202.0;269.0;0.0;3.9;346.8;30.2;30.3;80.1;39.7;12.9;5.9;8.9;0.0;2.0;6.0;2.7;1.3;40.4;10.3;4.1;10.0;0.0;0.1;11.5;3.1;1.2;39.0;12.0;2.1;4.5;3.1;0.0;0.0;1.6;0.3;0.3;27.0;2.5;3.4;6.3;0.0;0.2;12.6;0.8;1.3;27.7;18.8;0.0;0.6;10.2;4.0;0.5;0.8;2.5;0.1;8.9;0.0;0.6;7.7;0.2;0.0;0.3;0.0;0.0;559.3;475.9;3.6;32.0;140.7;199.1;1.1;30.2;64.7;4.5;83.4;0.5;1.8;62.5;6.5;0.0;9.1;0.1;2.9;350.9;281.1;4.1;15.4;100.2;135.0;0.6;17.8;6.2;1.7;69.8;0.4;1.2;56.9;3.9;0.0;5.8;0.1;1.5;15.3;0.0;0.0;1.3;14.0;158.5;0.4;0.0;21.5;136.7;8.1;0.0;0.0;1.0;7.1;3.0;0.0;0.0;1.0;2.0;1.4;0.0;0.0;0.2;1.1;0.4;0.0;0.0;0.2;0.1
54;1997 maart;94.8;61.1;11.3;2.2;8.7;0.0;14.2;9.9;12.8;2.0;33.7;7.4;1.6;8.5;0.0;1.5;13.0;0.8;1.0;3337.9;2129.5;701.9;340.1;331.5;0.0;64.8;181.7;438.4;71.2;1208.4;490.4;125.2;218.9;0.0;4.8;341.2;11.3;16.5;77.4;38.7;10.8;6.3;9.3;0.0;1.9;6.4;2.8;1.2;38.7;12.4;2.9;9.4;0.0;0.2;12.2;0.5;1.0;39.7;11.0;2.1;2.3;3.9;0.0;0.0;1.7;0.3;0.7;28.6;5.1;2.1;4.9;0.0;0.1;15.1;0.5;0.9;30.2;18.9;0.0;0.7;11.9;2.6;0.4;0.5;2.6;0.1;11.3;0.0;0.2;10.2;0.1;0.0;0.9;0.0;0.0;458.8;384.5;5.3;32.0;116.7;140.6;1.0;15.6;69.2;4.3;74.2;1.5;2.2;52.3;5.5;0.0;9.8;0.0;2.8;274.0;208.6;9.1;14.4;74.0;96.9;0.5;8.2;3.9;1.6;65.3;1.2;1.7;49.9;2.7;0.0;8.6;0.0;1.4;20.4;0.0;0.0;2.3;18.1;209.0;0.2;0.0;37.3;171.4;10.7;0.0;0.0;1.7;9.0;6.5;0.0;0.0;1.8;4.8;1.7;0.0;0.0;0.4;1.3;0.8;0.0;0.0;0.3;0.5
55;1997 april;107.3;69.3;14.2;2.3;10.2;0.0;16.2;9.4;15.0;2.0;37.9;8.3;2.4;10.7;0.0;1.4;13.2;0.6;1.3;3991.2;2589.5;951.1;363.3;384.9;0.0;73.1;201.8;521.0;94.3;1401.7;538.7;155.1;290.6;0.0;3.7;384.8;12.5;16.3;91.1;45.1;13.6;7.0;10.9;0.0;2.0;6.4;3.4;1.5;46.0;14.7;3.9;12.3;0.0;0.1;13.3;0.5;1.4;48.9;13.0;2.0;2.2;6.2;0.0;0.0;1.9;0.3;0.5;35.8;6.5;1.9;5.9;0.0;0.0;19.5;0.5;1.6;33.4;19.4;0.0;0.7;13.0;2.1;0.5;0.4;2.4;0.1;14.0;0.0;1.1;12.3;0.1;0.0;0.5;0.0;0.0;439.6;360.6;4.3;32.3;126.6;117.0;1.2;15.9;49.6;13.7;79.0;1.9;2.5;58.7;5.5;0.0;7.5;0.0;2.9;245.6;178.2;6.6;10.3;69.5;77.6;0.7;8.8;2.9;1.8;67.4;1.0;1.4;55.2;2.4;0.0;6.1;0.0;1.4;23.6;0.0;0.0;3.2;20.4;238.3;0.4;0.0;49.0;188.9;12.3;0.0;0.0;2.3;10.0;7.1;0.0;0.0;2.9;4.2;2.2;0.0;0.0;0.4;1.8;0.9;0.0;0.0;0.5;0.4
56;1997 mei;103.3;67.8;14.1;1.8;7.1;0.0;17.6;8.9;16.7;1.7;35.4;8.8;1.7;9.6;0.0;1.5;12.0;0.5;1.4;3790.1;2441.7;895.7;252.8;294.4;0.0;64.9;174.7;687.9;71.3;1348.4;561.1;136.1;266.4;0.0;4.4;350.1;8.0;22.2;84.3;39.9;13.0;5.3;8.6;0.0;2.0;6.1;3.9;1.1;44.4;15.6;3.2;11.5;0.0;0.1;12.2;0.4;1.5;42.1;9.9;2.5;2.4;2.9;0.0;0.0;0.9;0.9;0.2;32.2;5.1;2.3;5.9;0.0;0.0;16.9;0.5;1.4;19.7;12.3;0.0;0.5;6.8;1.8;0.6;0.4;2.0;0.2;7.3;0.0;0.2;6.7;0.1;0.0;0.3;0.0;0.0;328.0;267.0;5.2;24.8;78.2;91.7;1.4;15.0;46.3;4.4;61.0;0.9;2.9;41.7;6.6;0.0;5.8;0.0;3.2;190.0;141.7;2.4;11.2;46.7;66.3;0.8;9.0;2.9;2.5;48.3;0.5;1.4;37.0;3.1;0.0;4.7;0.0;1.5;23.4;0.0;0.0;2.9;20.5;237.7;0.4;0.0;46.7;190.6;12.8;0.0;0.0;2.1;10.7;6.1;0.0;0.0;2.4;3.7;2.2;0.0;0.0;0.4;1.8;0.7;0.0;0.0;0.4;0.3
57;1997 juni;102.4;65.1;14.6;1.9;8.5;0.0;16.4;7.4;14.1;2.1;37.3;8.4;1.6;10.4;0.0;1.4;11.5;0.5;3.5;3773.6;2297.4;901.8;239.1;342.9;0.0;64.1;165.0;503.9;80.7;1476.2;564.2;81.0;297.8;0.0;4.1;342.5;8.3;178.5;89.6;40.9;13.7;4.7;10.6;0.0;2.0;5.7;3.0;1.2;48.7;15.6;2.6;13.9;0.0;0.1;11.8;0.4;4.2;49.9;12.0;3.0;3.6;3.1;0.0;0.0;1.5;0.4;0.4;37.9;5.4;2.2;7.2;0.0;0.1;10.3;0.5;12.2;28.2;16.2;0.0;0.5;10.5;1.8;0.6;0.5;2.1;0.2;12.0;0.0;0.1;11.3;0.1;0.0;0.4;0.0;0.0;425.5;329.4;1.4;22.1;116.9;112.2;1.5;21.3;46.6;7.4;96.1;2.7;2.4;74.4;6.2;0.0;7.4;0.0;3.0;257.7;183.3;4.9;11.5;68.2;83.0;1.0;10.0;2.8;2.0;74.4;1.2;1.5;61.6;3.2;0.0;5.6;0.0;1.3;18.2;0.0;0.0;2.5;15.7;184.9;0.5;0.0;39.7;144.7;9.4;0.0;0.0;1.8;7.6;5.9;0.0;0.0;2.0;3.9;1.8;0.0;0.0;0.3;1.5;0.7;0.0;0.0;0.4;0.4
58;1997 juli;112.2;67.8;16.8;2.3;7.7;0.0;15.2;9.0;14.9;2.0;44.3;11.5;1.9;10.5;0.0;1.3;17.3;0.5;1.4;4246.9;2545.9;1087.4;286.8;320.0;0.0;74.2;189.2;508.7;79.5;1701.0;798.5;158.8;299.1;0.0;3.7;408.2;8.8;23.8;101.1;44.0;15.3;5.6;9.7;0.0;1.8;6.4;3.5;1.6;57.2;21.6;3.4;13.4;0.0;0.1;17.1;0.3;1.4;56.9;13.5;4.0;3.1;4.2;0.0;0.0;1.4;0.3;0.5;43.4;7.9;2.8;7.8;0.0;0.0;23.5;0.3;1.2;32.4;17.7;0.1;0.7;10.5;2.2;0.5;0.5;2.8;0.5;14.7;0.0;0.1;14.1;0.0;0.0;0.4;0.0;0.1;589.7;439.6;3.0;34.8;146.0;136.2;14.9;19.7;69.5;15.5;150.1;1.5;2.1;130.0;4.9;0.0;8.6;0.0;2.9;328.1;229.1;4.4;18.3;82.4;103.8;0.6;9.8;3.2;6.6;99.1;0.8;1.1;85.2;3.8;0.0;6.7;0.0;1.5;19.1;0.1;0.0;2.4;16.6;183.7;0.8;0.0;43.2;139.8;9.4;0.0;0.0;2.0;7.4;6.6;0.0;0.0;2.7;3.9;1.5;0.0;0.0;0.4;1.1;0.8;0.0;0.0;0.5;0.3
59;1997 augustus;89.9;55.6;13.6;1.8;4.3;0.0;10.8;11.5;12.3;1.3;34.3;8.0;1.9;8.3;0.0;1.1;13.1;0.7;1.2;3248.7;2003.3;884.2;240.9;196.1;0.0;53.3;145.6;414.2;68.9;1245.4;519.5;120.0;187.8;0.0;4.0;377.1;17.2;19.6;74.1;34.0;13.1;4.7;5.5;0.0;1.4;5.5;2.8;0.9;40.2;13.7;3.1;9.4;0.0;0.1;11.9;0.6;1.3;43.7;13.4;3.9;2.1;5.5;0.0;0.0;1.2;0.4;0.3;30.3;5.6;2.3;4.3;0.0;0.0;16.3;0.3;1.5;12.1;8.6;0.0;0.3;3.4;1.7;0.4;0.3;2.3;0.2;3.5;0.0;0.1;3.0;0.1;0.0;0.3;0.0;0.0;342.9;288.2;0.9;29.7;64.7;106.0;0.7;14.5;62.1;9.7;54.6;2.1;1.8;36.6;4.9;0.0;6.3;0.0;2.9;185.7;144.4;2.0;11.8;42.2;76.0;0.4;5.9;3.3;2.7;41.3;1.5;1.1;28.8;2.4;0.0;6.1;0.0;1.4;16.6;0.0;0.0;1.9;14.7;180.6;0.4;0.0;29.9;150.3;9.3;0.0;0.0;1.3;7.9;4.6;0.0;0.0;1.2;3.4;1.4;0.0;0.0;0.2;1.1;0.5;0.0;0.0;0.2;0.3
60;1997 september;87.6;51.0;10.8;1.6;4.3;0.0;13.6;7.0;11.9;1.9;36.6;8.6;1.5;8.7;0.0;1.1;13.7;0.3;2.7;3199.6;1838.9;709.7;233.4;205.5;0.0;59.4;134.0;404.0;92.8;1360.8;561.0;89.9;266.1;0.0;3.7;278.2;2.6;159.3;74.3;31.1;11.0;4.2;5.8;0.0;1.6;4.6;2.6;1.2;43.2;14.2;2.8;11.2;0.0;0.1;11.8;0.2;2.9;47.4;10.7;4.7;2.6;1.8;0.0;0.0;1.1;0.2;0.4;36.7;6.8;1.1;8.6;0.0;0.0;4.8;0.8;14.6;11.3;8.5;0.1;0.3;2.8;1.8;0.5;0.2;2.5;0.1;2.8;0.0;0.1;2.4;0.1;0.0;0.2;0.0;0.0;401.9;316.5;6.8;29.5;59.1;141.3;2.4;16.7;53.5;7.3;85.4;1.8;2.3;67.9;4.5;0.0;6.0;0.0;2.9;199.9;160.2;9.0;11.1;39.3;85.3;1.2;9.3;3.2;1.8;39.7;1.2;1.5;28.6;2.4;0.0;4.8;0.0;1.2;16.1;0.0;0.0;2.1;14.0;158.4;0.4;0.0;35.2;122.7;7.9;0.0;0.0;1.5;6.4;3.7;0.0;0.0;0.7;2.9;1.2;0.0;0.0;0.3;1.0;0.4;0.0;0.0;0.1;0.3
61;1997 oktober;104.2;62.3;15.6;1.8;4.5;0.0;17.4;7.7;12.7;2.5;41.9;10.7;2.8;7.9;0.0;1.2;17.9;0.2;1.2;3527.5;2129.5;937.9;240.3;211.8;0.0;81.3;142.7;436.7;78.9;1398.0;658.4;150.7;259.2;0.0;4.9;303.0;3.1;18.6;82.3;37.7;14.9;5.3;5.9;0.0;2.3;5.0;2.8;1.5;44.6;15.3;4.1;10.0;0.0;0.1;13.7;0.0;1.3;57.4;23.1;17.6;2.1;1.3;0.0;0.0;1.1;0.4;0.5;34.3;18.6;2.6;6.0;0.0;0.0;5.8;0.2;1.2;10.8;8.4;0.0;0.3;2.6;1.8;0.4;0.3;2.8;0.1;2.4;0.0;0.1;1.8;0.2;0.0;0.2;0.0;0.0;377.9;330.9;0.3;22.6;102.5;117.1;0.8;14.7;63.8;9.0;47.1;3.5;4.9;20.2;7.3;0.0;7.4;0.0;3.7;174.2;138.7;0.3;6.9;37.6;81.3;0.5;6.8;3.9;1.4;35.5;1.7;2.1;19.1;4.5;0.0;6.2;0.2;1.7;16.1;0.1;0.0;1.8;14.2;159.6;1.2;0.2;29.3;129.0;8.4;0.0;0.0;1.4;7.0;3.7;0.0;0.2;0.7;2.8;1.2;0.0;0.0;0.2;1.0;0.4;0.0;0.0;0.1;0.3
