ID;LorriesAndRoadTractors;YearsOfConstruction;Periods;TotalKilometresInTheNetherlands_1;KilometresByDutchVehicles_2;KilometresByForeignVehicles_3;TotalKilometresByDutchVehicles_4;KilometresInTheNetherlands_5;KilometresAbroad_6;TotalAverageAnnualKilometres_7;AverageAnnualKilometresInNetherlands_8;AverageAnnualKilometresAbroad_9;DutchGoodsVehiclesInUse_10
569;Road tractor;Year of construction 1980 to 1985;2009;1.6;1.5;0.1;2.0;1.5;0.4;6195.0;4920.0;1275.0;315.0
570;Road tractor;Year of construction 1980 to 1985;2010;1.6;1.5;0.1;1.8;1.5;0.3;6275.0;5291.0;984.0;292.0
571;Road tractor;Year of construction 1980 to 1985;2011;2.0;1.9;0.1;2.4;1.9;0.5;8237.0;6553.0;1684.0;286.0
572;Road tractor;Year of construction 1980 to 1985;2012;1.6;1.6;0.1;2.0;1.6;0.4;6942.0;5474.0;1467.0;284.0
573;Road tractor;Year of construction 1980 to 1985;2013;1.3;1.2;0.1;1.7;1.2;0.5;5734.0;4077.0;1657.0;294.0
574;Road tractor;Year of construction 1980 to 1985;2014;0.8;0.8;0.1;1.1;0.8;0.3;4055.0;2843.0;1212.0;267.0
575;Road tractor;Year of construction 1980 to 1985;2015;0.7;0.6;0.1;0.9;0.6;0.2;3439.0;2479.0;959.0;255.0
576;Road tractor;Year of construction 1980 to 1985;2016;0.6;0.6;0.1;0.8;0.6;0.2;2994.0;2170.0;823.0;266.0
577;Road tractor;Year of construction 1980 to 1985;2017;0.5;0.5;0.1;0.6;0.5;0.2;2335.0;1677.0;658.0;271.0
578;Road tractor;Year of construction 1986 to 1990;2001;118.2;112.9;5.3;148.5;112.9;35.6;28559.0;21705.0;6854.0;5201.0
579;Road tractor;Year of construction 1986 to 1990;2002;67.0;64.0;3.1;84.2;64.0;20.2;21937.0;16672.0;5265.0;3838.0
580;Road tractor;Year of construction 1986 to 1990;2003;43.4;41.5;1.9;54.6;41.5;13.1;18847.0;14323.0;4523.0;2898.0
581;Road tractor;Year of construction 1986 to 1990;2004;31.1;29.6;1.5;39.0;29.6;9.4;17269.0;13124.0;4145.0;2256.0
582;Road tractor;Year of construction 1986 to 1990;2005;23.7;22.5;1.2;29.6;22.5;7.1;16760.0;12737.0;4022.0;1769.0
583;Road tractor;Year of construction 1986 to 1990;2006;18.4;17.4;1.0;22.9;17.4;5.5;15348.0;11664.0;3684.0;1492.0
584;Road tractor;Year of construction 1986 to 1990;2007;15.6;14.7;0.9;19.3;14.7;4.6;14827.0;11268.0;3558.0;1304.0
585;Road tractor;Year of construction 1986 to 1990;2008;13.2;12.5;0.7;16.0;12.5;3.5;14401.0;11233.0;3168.0;1112.0
586;Road tractor;Year of construction 1986 to 1990;2009;8.3;7.9;0.4;10.0;7.9;2.0;10900.0;8656.0;2244.0;913.0
587;Road tractor;Year of construction 1986 to 1990;2010;6.3;6.1;0.2;7.2;6.1;1.1;9697.0;8177.0;1520.0;745.0
588;Road tractor;Year of construction 1986 to 1990;2011;6.4;6.0;0.3;7.6;6.0;1.6;11932.0;9493.0;2439.0;637.0
589;Road tractor;Year of construction 1986 to 1990;2012;5.4;5.1;0.3;6.5;5.1;1.4;11664.0;9199.0;2466.0;557.0
590;Road tractor;Year of construction 1986 to 1990;2013;3.4;3.1;0.3;4.4;3.1;1.3;8239.0;5858.0;2381.0;537.0
591;Road tractor;Year of construction 1986 to 1990;2014;2.7;2.4;0.2;3.5;2.4;1.0;7334.0;5141.0;2193.0;475.0
592;Road tractor;Year of construction 1986 to 1990;2015;2.2;2.1;0.2;2.8;2.1;0.8;7249.0;5226.0;2022.0;392.0
593;Road tractor;Year of construction 1986 to 1990;2016;2.1;1.9;0.2;2.6;1.9;0.7;6831.0;4952.0;1878.0;382.0
594;Road tractor;Year of construction 1986 to 1990;2017;2.6;2.3;0.3;3.2;2.3;0.9;8298.0;5958.0;2340.0;390.0
595;Road tractor;1991;2001;64.8;61.9;2.9;81.5;61.9;19.6;37403.0;28426.0;8977.0;2178.0
596;Road tractor;1991;2002;40.4;38.6;1.8;50.8;38.6;12.2;31623.0;24033.0;7589.0;1605.0
597;Road tractor;1991;2003;23.3;22.3;1.0;29.3;22.3;7.0;26292.0;19982.0;6310.0;1114.0
598;Road tractor;1991;2004;15.8;15.1;0.7;19.8;15.1;4.8;24843.0;18881.0;5962.0;798.0
599;Road tractor;1991;2005;10.9;10.3;0.5;13.6;10.3;3.3;22648.0;17212.0;5435.0;601.0
600;Road tractor;1991;2006;8.1;7.7;0.4;10.1;7.7;2.4;20656.0;15699.0;4957.0;490.0
601;Road tractor;1991;2007;6.0;5.6;0.3;7.4;5.6;1.8;18478.0;14043.0;4435.0;401.0
602;Road tractor;1991;2008;4.8;4.5;0.3;5.8;4.5;1.3;17537.0;13679.0;3858.0;331.0
603;Road tractor;1991;2009;3.0;2.9;0.2;3.6;2.9;0.7;13754.0;10923.0;2832.0;264.0
604;Road tractor;1991;2010;1.9;1.8;0.1;2.2;1.8;0.3;9594.0;8090.0;1504.0;225.0
605;Road tractor;1991;2011;2.0;1.9;0.1;2.4;1.9;0.5;12657.0;10070.0;2587.0;193.0
606;Road tractor;1991;2012;1.7;1.6;0.1;2.1;1.6;0.4;12249.0;9660.0;2589.0;169.0
607;Road tractor;1991;2013;1.1;1.0;0.1;1.5;1.0;0.4;10383.0;7382.0;3001.0;140.0
608;Road tractor;1991;2014;1.0;0.9;0.1;1.3;0.9;0.4;9859.0;6911.0;2948.0;136.0
609;Road tractor;1991;2015;0.9;0.9;0.1;1.2;0.9;0.3;10207.0;7359.0;2848.0;118.0
610;Road tractor;1991;2016;0.8;0.7;0.1;1.0;0.7;0.3;8844.0;6412.0;2432.0;112.0
611;Road tractor;1991;2017;0.6;0.5;0.1;0.7;0.5;0.2;6529.0;4688.0;1841.0;111.0
612;Road tractor;1992;2001;107.2;101.3;5.9;140.6;101.3;39.4;44932.0;32351.0;12581.0;3130.0
613;Road tractor;1992;2002;64.8;61.9;3.0;81.4;61.9;19.5;35528.0;27002.0;8527.0;2291.0
614;Road tractor;1992;2003;38.9;37.2;1.7;49.0;37.2;11.8;29136.0;22143.0;6993.0;1681.0
615;Road tractor;1992;2004;25.6;24.4;1.2;32.1;24.4;7.7;26679.0;20276.0;6403.0;1205.0
616;Road tractor;1992;2005;18.5;17.6;0.9;23.1;17.6;5.5;25105.0;19080.0;6025.0;921.0
617;Road tractor;1992;2006;14.1;13.3;0.8;17.5;13.3;4.2;23633.0;17961.0;5672.0;742.0
618;Road tractor;1992;2007;8.8;8.3;0.5;10.9;8.3;2.6;19309.0;14675.0;4634.0;566.0
619;Road tractor;1992;2008;7.4;7.0;0.4;8.9;7.0;2.0;18643.0;14542.0;4101.0;479.0
620;Road tractor;1992;2009;4.5;4.3;0.2;5.4;4.3;1.1;13798.0;10957.0;2841.0;392.0
621;Road tractor;1992;2010;3.4;3.3;0.1;3.9;3.3;0.6;12525.0;10562.0;1964.0;310.0
622;Road tractor;1992;2011;2.7;2.6;0.1;3.2;2.6;0.7;13089.0;10413.0;2676.0;248.0
623;Road tractor;1992;2012;2.2;2.1;0.1;2.7;2.1;0.6;11771.0;9282.0;2488.0;229.0
624;Road tractor;1992;2013;1.8;1.6;0.1;2.3;1.6;0.7;11165.0;7938.0;3227.0;207.0
625;Road tractor;1992;2014;1.2;1.1;0.1;1.6;1.1;0.5;9019.0;6322.0;2697.0;181.0
626;Road tractor;1992;2015;1.1;1.0;0.1;1.4;1.0;0.4;8914.0;6427.0;2487.0;158.0
627;Road tractor;1992;2016;1.0;0.9;0.1;1.3;0.9;0.3;8044.0;5832.0;2212.0;158.0
628;Road tractor;1992;2017;0.9;0.8;0.1;1.1;0.8;0.3;7243.0;5200.0;2042.0;153.0
629;Road tractor;1993;2001;66.0;61.6;4.3;90.6;61.6;29.0;48706.0;33120.0;15586.0;1861.0
630;Road tractor;1993;2002;42.9;40.5;2.4;56.3;40.5;15.8;38283.0;27564.0;10719.0;1471.0
631;Road tractor;1993;2003;29.9;28.6;1.3;37.7;28.6;9.0;33275.0;25289.0;7986.0;1132.0
632;Road tractor;1993;2004;18.9;18.0;0.9;23.7;18.0;5.7;30055.0;22842.0;7213.0;790.0
633;Road tractor;1993;2005;12.9;12.3;0.6;16.2;12.3;3.9;26446.0;20099.0;6347.0;612.0
634;Road tractor;1993;2006;9.5;9.0;0.5;11.8;9.0;2.8;24022.0;18257.0;5765.0;493.0
635;Road tractor;1993;2007;7.5;7.1;0.4;9.3;7.1;2.2;21908.0;16650.0;5258.0;426.0
636;Road tractor;1993;2008;7.4;7.0;0.4;9.0;7.0;2.0;25797.0;20122.0;5675.0;350.0
637;Road tractor;1993;2009;4.6;4.3;0.2;5.5;4.3;1.1;18884.0;14997.0;3888.0;290.0
638;Road tractor;1993;2010;3.5;3.3;0.1;3.9;3.3;0.6;16306.0;13750.0;2557.0;242.0
639;Road tractor;1993;2011;2.6;2.5;0.1;3.2;2.5;0.6;15351.0;12213.0;3138.0;206.0
640;Road tractor;1993;2012;1.9;1.8;0.1;2.3;1.8;0.5;13422.0;10585.0;2837.0;173.0
641;Road tractor;1993;2013;1.2;1.1;0.1;1.6;1.1;0.5;10425.0;7412.0;3013.0;150.0
642;Road tractor;1993;2014;1.1;1.0;0.1;1.4;1.0;0.4;10767.0;7548.0;3219.0;134.0
643;Road tractor;1993;2015;0.8;0.7;0.1;1.0;0.7;0.3;8740.0;6301.0;2438.0;111.0
644;Road tractor;1993;2016;0.7;0.6;0.1;0.9;0.6;0.2;8662.0;6280.0;2382.0;102.0
645;Road tractor;1993;2017;0.4;0.3;0.0;0.5;0.3;0.1;4540.0;3260.0;1280.0;103.0
646;Road tractor;1994;2001;148.8;137.2;11.6;214.4;137.2;77.2;61106.0;39108.0;21998.0;3509.0
647;Road tractor;1994;2002;101.5;94.7;6.7;139.3;94.7;44.6;50519.0;34353.0;16166.0;2758.0
648;Road tractor;1994;2003;69.9;66.1;3.8;91.8;66.1;25.7;43590.0;31385.0;12205.0;2106.0
649;Road tractor;1994;2004;44.6;42.5;2.1;55.9;42.5;13.4;35729.0;27154.0;8575.0;1565.0
650;Road tractor;1994;2005;29.5;28.1;1.5;36.9;28.1;8.9;31155.0;23678.0;7477.0;1186.0
651;Road tractor;1994;2006;20.6;19.5;1.1;25.6;19.5;6.2;28786.0;21877.0;6909.0;891.0
652;Road tractor;1994;2007;16.3;15.3;0.9;20.2;15.3;4.8;27576.0;20958.0;6618.0;731.0
653;Road tractor;1994;2008;13.8;13.1;0.7;16.7;13.1;3.7;27576.0;21510.0;6067.0;607.0
654;Road tractor;1994;2009;8.6;8.1;0.4;10.2;8.1;2.1;21349.0;16953.0;4395.0;479.0
655;Road tractor;1994;2010;6.7;6.4;0.3;7.6;6.4;1.2;18771.0;15828.0;2943.0;405.0
656;Road tractor;1994;2011;5.3;5.1;0.3;6.4;5.1;1.3;18400.0;14639.0;3761.0;346.0
657;Road tractor;1994;2012;4.1;3.9;0.2;4.9;3.9;1.0;16364.0;12905.0;3459.0;299.0
658;Road tractor;1994;2013;2.5;2.3;0.2;3.3;2.3;0.9;12662.0;9003.0;3659.0;259.0
659;Road tractor;1994;2014;2.1;1.9;0.2;2.8;1.9;0.8;11993.0;8407.0;3586.0;231.0
660;Road tractor;1994;2015;1.1;1.0;0.1;1.4;1.0;0.4;8333.0;6008.0;2325.0;171.0
661;Road tractor;1994;2016;0.9;0.8;0.1;1.1;0.8;0.3;6938.0;5030.0;1908.0;159.0
662;Road tractor;1994;2017;0.8;0.7;0.1;1.0;0.7;0.3;6002.0;4309.0;1693.0;161.0
663;Road tractor;1995;2001;284.5;258.6;25.8;431.1;258.6;172.4;74028.0;44417.0;29611.0;5823.0
664;Road tractor;1995;2002;207.5;191.2;16.3;298.7;191.2;107.5;60732.0;38869.0;21864.0;4919.0
665;Road tractor;1995;2003;150.9;141.2;9.7;207.6;141.2;66.4;52120.0;35442.0;16678.0;3983.0
666;Road tractor;1995;2004;101.4;95.6;5.8;132.8;95.6;37.2;44206.0;31828.0;12378.0;3005.0
667;Road tractor;1995;2005;71.2;67.7;3.5;89.0;67.7;21.4;38759.0;29457.0;9302.0;2297.0
668;Road tractor;1995;2006;47.1;44.5;2.5;58.6;44.5;14.1;34636.0;26323.0;8313.0;1692.0
669;Road tractor;1995;2007;33.6;31.7;1.9;41.7;31.7;10.0;31266.0;23762.0;7504.0;1333.0
670;Road tractor;1995;2008;28.3;26.8;1.5;34.3;26.8;7.6;31933.0;24908.0;7025.0;1075.0
671;Road tractor;1995;2009;17.1;16.2;0.9;20.4;16.2;4.2;24294.0;19292.0;5002.0;839.0
672;Road tractor;1995;2010;11.2;10.8;0.4;12.8;10.8;2.0;19215.0;16203.0;3013.0;664.0
673;Road tractor;1995;2011;8.6;8.2;0.4;10.3;8.2;2.1;18476.0;14699.0;3777.0;557.0
674;Road tractor;1995;2012;6.7;6.3;0.4;8.0;6.3;1.7;17041.0;13438.0;3602.0;470.0
675;Road tractor;1995;2013;5.1;4.7;0.4;6.6;4.7;1.9;15953.0;11343.0;4611.0;411.0
676;Road tractor;1995;2014;3.8;3.5;0.3;5.0;3.5;1.5;13839.0;9701.0;4138.0;360.0
677;Road tractor;1995;2015;2.7;2.4;0.2;3.4;2.4;0.9;12237.0;8823.0;3414.0;274.0
678;Road tractor;1995;2016;2.5;2.2;0.2;3.1;2.2;0.9;12562.0;9107.0;3454.0;247.0
679;Road tractor;1995;2017;2.1;1.9;0.2;2.6;1.9;0.7;10556.0;7579.0;2977.0;244.0
680;Road tractor;1996;2001;338.8;303.1;35.7;541.3;303.1;238.2;82709.0;46317.0;36392.0;6545.0
681;Road tractor;1996;2002;278.0;252.6;25.5;420.9;252.6;168.4;71610.0;42966.0;28644.0;5878.0
682;Road tractor;1996;2003;215.3;198.9;16.3;310.8;198.9;111.9;63467.0;40619.0;22848.0;4897.0
683;Road tractor;1996;2004;156.3;145.6;10.7;214.2;145.6;68.5;54494.0;37056.0;17438.0;3930.0
684;Road tractor;1996;2005;114.5;107.6;6.9;149.4;107.6;41.8;48457.0;34889.0;13568.0;3083.0
685;Road tractor;1996;2006;83.9;79.4;4.5;104.4;79.4;25.1;45204.0;34355.0;10849.0;2310.0
686;Road tractor;1996;2007;59.1;55.7;3.4;73.3;55.7;17.6;39472.0;29999.0;9473.0;1857.0
687;Road tractor;1996;2008;45.3;42.9;2.4;55.0;42.9;12.1;36708.0;28632.0;8076.0;1499.0
688;Road tractor;1996;2009;25.1;23.9;1.3;30.0;23.9;6.2;27360.0;21727.0;5633.0;1098.0
689;Road tractor;1996;2010;17.1;16.4;0.7;19.5;16.4;3.1;23106.0;19483.0;3622.0;842.0
690;Road tractor;1996;2011;13.1;12.5;0.7;15.7;12.5;3.2;22332.0;17767.0;4565.0;702.0
691;Road tractor;1996;2012;9.1;8.6;0.5;10.9;8.6;2.3;18238.0;14383.0;3855.0;600.0
692;Road tractor;1996;2013;6.0;5.6;0.5;7.8;5.6;2.3;15495.0;11017.0;4478.0;506.0
693;Road tractor;1996;2014;4.4;4.0;0.4;5.7;4.0;1.7;13246.0;9286.0;3961.0;434.0
694;Road tractor;1996;2015;3.1;2.8;0.3;3.9;2.8;1.1;12165.0;8771.0;3394.0;319.0
695;Road tractor;1996;2016;2.7;2.4;0.3;3.3;2.4;0.9;11285.0;8182.0;3103.0;293.0
696;Road tractor;1996;2017;2.1;1.9;0.2;2.7;1.9;0.8;9536.0;6847.0;2689.0;279.0
697;Road tractor;1997;2001;381.0;334.7;46.3;643.7;334.7;309.0;95535.0;49678.0;45857.0;6738.0
698;Road tractor;1997;2002;327.9;293.1;34.8;523.4;293.1;230.3;83589.0;46810.0;36779.0;6261.0
699;Road tractor;1997;2003;278.6;253.9;24.7;423.1;253.9;169.2;76237.0;45742.0;30495.0;5550.0
700;Road tractor;1997;2004;219.6;201.9;17.7;315.5;201.9;113.6;67550.0;43232.0;24318.0;4671.0
701;Road tractor;1997;2005;171.5;159.1;12.4;234.0;159.1;74.9;60939.0;41439.0;19501.0;3840.0
702;Road tractor;1997;2006;129.2;120.7;8.5;167.6;120.7;46.9;55296.0;39813.0;15483.0;3031.0
703;Road tractor;1997;2007;94.1;88.7;5.4;116.7;88.7;28.0;48511.0;36868.0;11643.0;2405.0
704;Road tractor;1997;2008;71.3;67.5;3.8;86.6;67.5;19.0;45831.0;35748.0;10083.0;1889.0
705;Road tractor;1997;2009;41.5;39.4;2.1;49.6;39.4;10.2;34910.0;27723.0;7187.0;1420.0
706;Road tractor;1997;2010;26.1;25.2;1.0;29.8;25.2;4.7;28460.0;23998.0;4462.0;1048.0
707;Road tractor;1997;2011;18.1;17.2;0.9;21.6;17.2;4.4;26665.0;21214.0;5451.0;809.0
708;Road tractor;1997;2012;12.7;12.0;0.7;15.3;12.0;3.2;22762.0;17950.0;4812.0;671.0
709;Road tractor;1997;2013;9.5;8.7;0.7;12.3;8.7;3.5;22527.0;16017.0;6510.0;545.0
710;Road tractor;1997;2014;6.7;6.1;0.6;8.8;6.1;2.6;18944.0;13279.0;5664.0;463.0
711;Road tractor;1997;2015;5.6;5.1;0.5;7.1;5.1;2.0;16243.0;11711.0;4532.0;437.0
712;Road tractor;1997;2016;4.4;4.0;0.4;5.5;4.0;1.5;16058.0;11642.0;4416.0;341.0
713;Road tractor;1997;2017;3.2;2.9;0.4;4.0;2.9;1.1;14536.0;10437.0;4099.0;275.0
714;Road tractor;1998;2001;556.5;478.8;77.7;997.5;478.8;518.7;107822.0;51755.0;56067.0;9251.0
715;Road tractor;1998;2002;520.1;456.4;63.7;877.6;456.4;421.3;98267.0;51099.0;47168.0;8931.0
716;Road tractor;1998;2003;479.5;430.2;49.4;768.1;430.2;338.0;91718.0;51362.0;40356.0;8375.0
717;Road tractor;1998;2004;401.0;363.3;37.7;605.5;363.3;242.2;80516.0;48310.0;32206.0;7520.0
718;Road tractor;1998;2005;320.7;293.5;27.2;458.6;293.5;165.1;72745.0;46557.0;26188.0;6304.0
719;Road tractor;1998;2006;247.3;227.9;19.4;335.1;227.9;107.2;65848.0;44777.0;21071.0;5089.0
720;Road tractor;1998;2007;186.9;173.8;13.1;241.4;173.8;67.6;59724.0;43001.0;16723.0;4042.0
721;Road tractor;1998;2008;147.9;140.0;7.9;179.5;140.0;39.5;54743.0;42700.0;12044.0;3279.0
722;Road tractor;1998;2009;88.1;83.6;4.5;105.3;83.6;21.7;41512.0;32965.0;8546.0;2537.0
723;Road tractor;1998;2010;53.2;51.2;2.0;60.7;51.2;9.5;34236.0;28869.0;5368.0;1774.0
724;Road tractor;1998;2011;37.4;35.5;1.9;44.7;35.5;9.1;33137.0;26364.0;6774.0;1348.0
725;Road tractor;1998;2012;26.2;24.8;1.4;31.5;24.8;6.6;29206.0;23033.0;6174.0;1077.0
726;Road tractor;1998;2013;16.0;14.7;1.2;20.7;14.7;6.0;23755.0;16890.0;6865.0;873.0
727;Road tractor;1998;2014;12.0;11.0;1.0;15.7;11.0;4.7;21528.0;15091.0;6437.0;729.0
728;Road tractor;1998;2015;8.2;7.4;0.7;10.3;7.4;2.9;16676.0;12023.0;4653.0;620.0
729;Road tractor;1998;2016;6.2;5.6;0.6;7.7;5.6;2.1;15358.0;11135.0;4223.0;499.0
730;Road tractor;1998;2017;4.7;4.1;0.5;5.8;4.1;1.6;13269.0;9527.0;3742.0;436.0
731;Road tractor;1999;2001;532.0;446.8;85.2;1015.4;446.8;568.7;117897.0;51875.0;66022.0;8613.0
732;Road tractor;1999;2002;516.3;443.6;72.7;924.3;443.6;480.6;110347.0;52967.0;57380.0;8376.0
733;Road tractor;1999;2003;494.1;435.4;58.7;837.3;435.4;401.9;102759.0;53435.0;49324.0;8148.0
734;Road tractor;1999;2004;451.3;402.1;49.2;718.1;402.1;316.0;94638.0;52997.0;41641.0;7588.0
735;Road tractor;1999;2005;392.9;354.0;38.9;590.0;354.0;236.0;86907.0;52144.0;34763.0;6789.0
736;Road tractor;1999;2006;319.1;289.6;29.5;452.5;289.6;162.9;79315.0;50762.0;28553.0;5705.0
737;Road tractor;1999;2007;241.8;221.6;20.2;325.8;221.6;104.3;69548.0;47292.0;22255.0;4685.0
738;Road tractor;1999;2008;187.8;174.9;12.9;239.5;174.9;64.7;62052.0;45298.0;16754.0;3860.0
739;Road tractor;1999;2009;124.3;118.0;6.3;148.5;118.0;30.6;48352.0;38397.0;9954.0;3072.0
740;Road tractor;1999;2010;74.1;71.2;2.8;84.5;71.2;13.2;37997.0;32040.0;5957.0;2223.0
741;Road tractor;1999;2011;51.2;48.6;2.5;61.1;48.6;12.5;37409.0;29762.0;7647.0;1634.0
742;Road tractor;1999;2012;35.8;33.9;1.9;43.0;33.9;9.1;33507.0;26424.0;7083.0;1283.0
743;Road tractor;1999;2013;23.1;21.3;1.8;29.9;21.3;8.7;28533.0;20287.0;8246.0;1049.0
744;Road tractor;1999;2014;16.3;15.0;1.4;21.4;15.0;6.4;24569.0;17223.0;7346.0;869.0
745;Road tractor;1999;2015;12.8;11.7;1.1;16.3;11.7;4.5;21056.0;15182.0;5875.0;772.0
746;Road tractor;1999;2016;9.5;8.6;1.0;11.8;8.6;3.3;19376.0;14047.0;5328.0;611.0
747;Road tractor;1999;2017;6.7;5.9;0.7;8.2;5.9;2.3;15651.0;11238.0;4414.0;527.0
748;Road tractor;2000;2001;549.3;448.5;100.8;1121.3;448.5;672.8;126291.0;50516.0;75774.0;8879.0
749;Road tractor;2000;2002;555.7;466.0;89.7;1059.1;466.0;593.1;120297.0;52931.0;67367.0;8804.0
750;Road tractor;2000;2003;546.0;471.4;74.6;982.0;471.4;510.7;112659.0;54076.0;58583.0;8717.0
751;Road tractor;2000;2004;525.4;459.4;66.0;883.4;459.4;424.0;104829.0;54511.0;50318.0;8427.0
752;Road tractor;2000;2005;487.9;431.9;56.0;771.2;431.9;339.3;97477.0;54587.0;42890.0;7912.0
753;Road tractor;2000;2006;413.8;369.2;44.6;615.3;369.2;246.1;87292.0;52375.0;34917.0;7049.0
754;Road tractor;2000;2007;332.5;299.9;32.7;468.5;299.9;168.7;79008.0;50565.0;28443.0;5930.0
755;Road tractor;2000;2008;255.8;234.7;21.1;340.1;234.7;105.4;68148.0;47022.0;21126.0;4991.0
756;Road tractor;2000;2009;168.7;157.3;11.4;212.4;157.3;55.1;52795.0;39090.0;13705.0;4024.0
757;Road tractor;2000;2010;104.2;100.2;4.0;118.9;100.2;18.6;43277.0;36492.0;6785.0;2747.0
758;Road tractor;2000;2011;74.7;71.0;3.7;89.2;71.0;18.2;42507.0;33818.0;8689.0;2098.0
759;Road tractor;2000;2012;47.1;44.5;2.5;56.5;44.5;11.9;34363.0;27099.0;7264.0;1643.0
760;Road tractor;2000;2013;28.8;26.6;2.2;37.4;26.6;10.8;28290.0;20114.0;8176.0;1322.0
761;Road tractor;2000;2014;20.1;18.4;1.7;26.3;18.4;7.9;24489.0;17167.0;7322.0;1074.0
762;Road tractor;2000;2015;17.0;15.5;1.5;21.5;15.5;6.0;21452.0;15467.0;5985.0;1004.0
763;Road tractor;2000;2016;12.7;11.4;1.3;15.7;11.4;4.3;18928.0;13723.0;5205.0;832.0
764;Road tractor;2000;2017;8.2;7.3;0.9;10.2;7.3;2.9;14501.0;10412.0;4089.0;705.0
765;Road tractor;2001;2001;255.5;208.6;46.9;521.6;208.6;313.0;57861.0;23144.0;34716.0;9015.0
766;Road tractor;2001;2002;578.3;471.3;106.9;1178.4;471.3;707.0;128727.0;51491.0;77236.0;9154.0
767;Road tractor;2001;2003;595.3;502.0;93.3;1140.8;502.0;638.9;124365.0;54721.0;69645.0;9173.0
768;Road tractor;2001;2004;600.3;513.7;86.7;1070.1;513.7;556.5;116994.0;56157.0;60837.0;9147.0
769;Road tractor;2001;2005;574.8;498.8;76.0;959.3;498.8;460.5;108975.0;56667.0;52308.0;8803.0
770;Road tractor;2001;2006;522.6;457.5;65.1;817.0;457.5;359.5;99060.0;55474.0;43586.0;8248.0
771;Road tractor;2001;2007;434.0;384.3;49.7;640.5;384.3;256.2;89509.0;53706.0;35804.0;7156.0
772;Road tractor;2001;2008;350.5;316.4;34.1;486.8;316.4;170.4;76789.0;49913.0;26876.0;6340.0
773;Road tractor;2001;2009;255.0;233.4;21.6;337.6;233.4;104.2;63226.0;43709.0;19516.0;5340.0
774;Road tractor;2001;2010;181.5;171.1;10.4;219.9;171.1;48.8;56329.0;43834.0;12495.0;3903.0
775;Road tractor;2001;2011;130.1;123.6;6.4;155.4;123.6;31.8;50558.0;40223.0;10334.0;3073.0
776;Road tractor;2001;2012;86.1;81.4;4.7;103.2;81.4;21.8;42316.0;33371.0;8945.0;2439.0
777;Road tractor;2001;2013;56.4;52.1;4.4;73.2;52.1;21.2;37444.0;26622.0;10821.0;1956.0
778;Road tractor;2001;2014;39.7;36.3;3.4;51.8;36.3;15.5;32979.0;23118.0;9861.0;1572.0
779;Road tractor;2001;2015;28.7;26.1;2.5;36.3;26.1;10.1;27854.0;20083.0;7771.0;1302.0
780;Road tractor;2001;2016;20.1;18.1;2.0;24.9;18.1;6.9;21200.0;15370.0;5830.0;1176.0
781;Road tractor;2001;2017;12.3;11.0;1.3;15.3;11.0;4.3;15852.0;11381.0;4470.0;962.0
782;Road tractor;2002;2001;;;;;;;;;;
783;Road tractor;2002;2002;261.1;212.8;48.3;532.1;212.8;319.2;73499.0;29400.0;44099.0;7239.0
784;Road tractor;2002;2003;449.7;368.9;80.8;922.2;368.9;553.3;130075.0;52030.0;78045.0;7090.0
785;Road tractor;2002;2004;465.0;388.1;76.9;882.0;388.1;493.9;124074.0;54593.0;69482.0;7109.0
786;Road tractor;2002;2005;469.5;398.3;71.2;829.8;398.3;431.5;117925.0;56604.0;61321.0;7037.0
787;Road tractor;2002;2006;456.3;391.0;65.4;751.9;391.0;360.9;109364.0;56869.0;52495.0;6875.0
788;Road tractor;2002;2007;398.1;345.5;52.6;616.9;345.5;271.4;97440.0;54566.0;42873.0;6331.0
789;Road tractor;2002;2008;329.5;290.7;38.8;484.6;290.7;193.8;86205.0;51723.0;34482.0;5621.0
790;Road tractor;2002;2009;268.2;241.7;26.5;369.5;241.7;127.7;73366.0;48004.0;25363.0;5036.0
791;Road tractor;2002;2010;210.4;195.1;15.3;266.7;195.1;71.7;66383.0;48551.0;17832.0;4018.0
792;Road tractor;2002;2011;151.4;141.5;9.9;190.3;141.5;48.9;58473.0;43461.0;15013.0;3255.0
793;Road tractor;2002;2012;104.0;98.4;5.6;124.7;98.4;26.4;48706.0;38410.0;10296.0;2561.0
794;Road tractor;2002;2013;65.7;60.6;5.1;85.2;60.6;24.6;43162.0;30688.0;12474.0;1975.0
795;Road tractor;2002;2014;46.2;42.3;3.9;60.3;42.3;18.0;37588.0;26349.0;11239.0;1605.0
796;Road tractor;2002;2015;33.0;30.1;2.9;41.8;30.1;11.7;31589.0;22776.0;8813.0;1323.0
797;Road tractor;2002;2016;23.5;21.2;2.3;29.2;21.2;8.0;26340.0;19096.0;7243.0;1109.0
798;Road tractor;2002;2017;16.6;14.8;1.8;20.6;14.8;5.8;20333.0;14599.0;5734.0;1013.0
799;Road tractor;2003;2001;;;;;;;;;;
800;Road tractor;2003;2002;;;;;;;;;;
801;Road tractor;2003;2003;272.7;223.7;49.0;559.3;223.7;335.6;76887.0;30755.0;46132.0;7274.0
802;Road tractor;2003;2004;444.4;360.3;84.1;900.6;360.3;540.4;127279.0;50912.0;76367.0;7076.0
803;Road tractor;2003;2005;459.0;379.3;79.6;862.1;379.3;482.8;121446.0;53436.0;68010.0;7099.0
804;Road tractor;2003;2006;467.8;391.1;76.7;814.8;391.1;423.7;115350.0;55368.0;59982.0;7064.0
