ID;Perioden;TotaalUitkeringenInGeldEnNatura_1;WettSocUitkeringenInGeldEnNatura_2;AlgArbeidsongeschiktheidswetAAW_3;WetOpDeArbeidsongeschiktheidWAO_4;WerkEnInkomenArbeidsvermogenWIA_5;WetArbeidsongeschiktheidZelfstWAZ_6;WetArbeidEnZorgWAZO_7;WerkloosheidswetWW_8;ZiektewetZWVangnet_9;ZiektewetZW_10;AlgemeneOuderdomswetAOW_11;AlgemeneNabestaandenwetANWAWW_12;ZiekenfondswetVerplichtZFWVp_13;ZorgverzekeringswetZVW_14;AlgemeneWetBijzondereZiekteknAWBZ_15;WetLangdurigeZorgWLZ_16;VoorzieningenInGeldEnNatura_17;UitkeringenOorlogsslachtoffers_18;WetArbeidsongJonggehandicWajong_19;InkomensvoorzOuderenIOAWIOAZ_20;AlgemeneKinderbijslagwetAKW_21;Studiebeurzen_22;PremiesKoopwoningen_23;WetWerkEnBijstandWWBABW_24;AanvInkomensvoorzieningOuderenAIO_25;WetInvesterenInJongerenWIJ_26;ToeslagenwetTW_27;Zorgtoeslag_28;MKOBTegemoetkomingAOW_29;KindgebondenBudget_30;WetVoorzieningenGehandicaptenWVG_31;WetMaatschOndersteuningWMO_32;Huurtoeslag_33;OVJaarkaartStuderenden_34;Rechtsbijstand_35;BijdrageOnderwijsInAcZiekenhuizen_36;Kinderopvang_37;Leerlingenvervoer_38;Bejaardenoorden_39;ReintegratiefondsREA_40;BijdragenAsielzoekersEnMinderheden_41;ReIntegratie_42;Overig_43;TotaalSocialeUitkeringenInGeld_44;TotaalWettelijkeSocialeUitkInGeld_45;AlgArbeidsongeschiktheidswetAAW_46;TotaalArbeidsongeschiktheidsfonds_47;WetOpDeArbeidsongeschiktheidWAO_48;WerkEnInkomenArbeidsvermogenWIA_49;WetArbeidsongeschiktheidZelfstWAZ_50;ZiektewetZWVangnet_51;WetArbeidEnZorgWAZO_52;TotaalWerkhervattingskas_53;WerkEnInkomenArbeidsvermogenWIA_54;ZiektewetZWVangnet_55;WetOpDeArbeidsongeschiktheidWAO_56;WetArbeidsongeschiktheidZelfstWAZ_57;TotaalAlgemeenWerkloosheidsfonds_58;WerkloosheidswetWW_59;ZiektewetZWVangnet_60;WetArbeidEnZorgWAZO_61;TotaalSectorfondsen_62;WerkloosheidswetWW_63;WerkEnInkomenArbeidsvermogenWIA_64;ZiektewetZWVangnet_65;TotaalUitvoeringsfondsVoorDeOverheid_66;WerkloosheidswetWW_67;WerkEnInkomenArbeidsvermogenWIA_68;ZiektewetZWVangnet_69;WetArbeidEnZorgWAZO_70;ZiektewetZW_71;AlgemeneOuderdomswetAOW_72;AlgemeneNabestaandenwetANWAWW_73;ZiekenfondswetVerplichtZFWVp_74;ZorgverzekeringswetZVW_75;AlgemeneWetBijzondereZiekteknAWBZ_76;WetLangdurigeZorgWLZ_77;TotaalSocialeVoorzieningenInGeld_78;UitkeringenOorlogsslachtoffers_79;WetArbeidsongJonggehandicWajong_80;InkomensvoorzOuderenIOAWIOAZ_81;AlgemeneKinderbijslagwetAKW_82;Studiebeurzen_83;PremiesKoopwoningen_84;WetWerkEnBijstandWWBABW_85;AanvInkomensvoorzieningOuderenAIO_86;WetInvesterenInJongerenWIJ_87;ToeslagenwetTW_88;Zorgtoeslag_89;MKOBTegemoetkomingAOW_90;KindgebondenBudget_91;Overig_92;TotaalSocialeUitkeringenInNatura_93;TotaalWettelijkSocialeUitkInNatura_94;AlgArbeidsongeschiktheidswetAAW_95;ZiekenfondswetVerplichtZFWVp_96;ZorgverzekeringswetZVW_97;AlgemeneWetBijzondereZiekteknAWBZ_98;WetLangdurigeZorgWLZ_99;TotaalSocialeVoorzieningenInNatura_100;WetWerkEnBijstandWWBABW_101;WetVoorzieningenGehandicaptenWVG_102;WetMaatschOndersteuningWMO_103;Huurtoeslag_104;OVJaarkaartStuderenden_105;Rechtsbijstand_106;BijdrageOnderwijsInAcZiekenhuizen_107;Kinderopvang_108;Leerlingenvervoer_109;Bejaardenoorden_110;ReintegratiefondsREA_111;BijdragenAsielzoekersEnMinderheden_112;ReIntegratie_113;Overig_114
44;2007 1e kwartaal;26732;21133;;;;;;;;;;;;;;;5599;;;;;;;;;;;;;;;;;;;;;;;;;;;13186;9609;;1706;;;;;;35.0;;;255.0;;829;;;;356;;;;97.0;;;;;;5911;317;;98.0;5.0;;3577;;;;;;;;;;;;;;;13546;11524;;;6391.0;5133.0;;2022;;;;;;;;;;;;;;
45;2007 2e kwartaal;29627;23677;;;;;;;;;;;;;;;5950;;;;;;;;;;;;;;;;;;;;;;;;;;;15755;11815;;2232;;;;;;61.0;;;303.0;;919;;;;384;;;;122.0;;;;;;7280;389;;120.0;5.0;;3940;;;;;;;;;;;;;;;13872;11862;;;6653.0;5209.0;;2010;;;;;;;;;;;;;;
46;2007 3e kwartaal;26333;20861;;;;;;;;;;;;;;;5472;;;;;;;;;;;;;;;;;;;;;;;;;;;13152;9598;;1781;;;;;;47.0;;;230.0;;782;;;;293;;;;98.0;;;;;;5964;302;;97.0;4.0;;3554;;;;;;;;;;;;;;;13181;11263;;;6102.0;5161.0;;1918;;;;;;;;;;;;;;
47;2007 4e kwartaal;27193;21752;;;;;;;;;;;;;;;5441;;;;;;;;;;;;;;;;;;;;;;;;;;;13191;9637;;1830;;;;;;54.0;;;176.0;;782;;;;296;;;;97.0;;;;;;6043;257;;98.0;4.0;;3554;;;;;;;;;;;;;;;14002;12115;;;6578.0;5537.0;;1887;;;;;;;;;;;;;;
48;2007;109885;87423;;7944.0;424.0;387.0;704.0;2921.0;1385.0;;25198.0;1265.0;;26137.0;21058.0;;22462;347.0;1716.0;99.0;3348.0;786.0;16.0;4185.0;;;356.0;2706.0;;;;1779.0;2148.0;115.0;355.0;358.0;1934.0;199.0;;62.0;47.0;415.0;1491.0;55284;40659;;7549;6980.0;182.0;387.0;;;197.0;197.0;;964.0;;3312;1996.0;776.0;540.0;1329;749.0;45.0;535.0;414.0;176.0;;74.0;164.0;;25198;1265;;413.0;18.0;;14625;347.0;1716.0;99.0;3348.0;786.0;16.0;3954.0;;;356.0;2706.0;;;1297.0;54601;46764;;;25724.0;21040.0;;7837;231.0;;1779.0;2148.0;115.0;355.0;358.0;1934.0;199.0;;62.0;47.0;415.0;194.0
49;2008 1e kwartaal;28320;22059;;;;;;;;;;;;;;;6261;;;;;;;;;;;;;;;;;;;;;;;;;;;13894;9876;;1859;;;;;;64.0;;;159.0;;729;;;;343;;;;85.0;;;;;;6239;296;;95.0;7.0;;4018;;;;;;;;;;;;;;;14426;12183;;;7330.0;4853.0;;2243;;;;;;;;;;;;;;
50;2008 2e kwartaal;31253;24719;;;;;;;;;;;;;;;6534;;;;;;;;;;;;;;;;;;;;;;;;;;;16452;12145;;2485;;;;;;83.0;;;211.0;;792;;;;380;;;;111.0;;;;;;7594;363;;117.0;9.0;;4307;;;;;;;;;;;;;;;14801;12574;;;7628.0;4946.0;;2227;;;;;;;;;;;;;;
51;2008 3e kwartaal;28217;21919;;;;;;;;;;;;;;;6298;;;;;;;;;;;;;;;;;;;;;;;;;;;14041;9866;;1852;;;;;;72.0;;;124.0;;687;;;;331;;;;85.0;;;;;;6329;283;;95.0;8.0;;4175;;;;;;;;;;;;;;;14176;12053;;;7068.0;4985.0;;2123;;;;;;;;;;;;;;
52;2008 4e kwartaal;28601;22696;;;;;;;;;;;;;;;5905;;;;;;;;;;;;;;;;;;;;;;;;;;;13723;9906;;1917;;;;;;80.0;;;121.0;;707;;;;340;;;;93.0;;;;;;6284;261;;96.0;7.0;;3817;;;;;;;;;;;;;;;14878;12790;;;7506.0;5284.0;;2088;;;;;;;;;;;;;;
53;2008;116391;91393;;7991.0;725.0;370.0;788.0;2483.0;1353.0;;26446.0;1203.0;;29935.0;20099.0;;24998;338.0;1894.0;100.0;3390.0;590.0;5.0;4108.0;;;363.0;3357.0;;823.0;;1847.0;2159.0;129.0;382.0;371.0;2689.0;221.0;;11.0;64.0;343.0;1814.0;58110;41793;;8113;7376.0;337.0;370.0;;30.0;299.0;299.0;;615.0;;2915;1611.0;708.0;596.0;1394;726.0;85.0;583.0;374.0;146.0;4.0;62.0;162.0;;26446;1203;;403.0;31.0;;16317;338.0;1894.0;100.0;3390.0;590.0;5.0;3860.0;;;363.0;3357.0;;823.0;1597.0;58281;49600;;;29532.0;20068.0;;8681;248.0;;1847.0;2159.0;129.0;382.0;371.0;2689.0;221.0;;11.0;64.0;343.0;217.0
54;2009 1e kwartaal;30206;23734;;;;;;;;;;;;;;;6472;;;;;;;;;;;;;;;;;;;;;;;;;;;14589;10484;;1941;;;;;;84.0;;;91.0;;738;;;;499;;;;94.0;;;;;;6613;286;;135.0;3.0;;4105;;;;;;;;;;;;;;;15617;13250;;;8035.0;5215.0;;2367;;;;;;;;;;;;;;
55;2009 2e kwartaal;33384;26369;;;;;;;;;;;;;;;7015;;;;;;;;;;;;;;;;;;;;;;;;;;;17543;12893;;2513;;;;;;103.0;;;94.0;;893;;;;699;;;;130.0;;;;;;7950;342;;166.0;3.0;;4650;;;;;;;;;;;;;;;15841;13476;;;8225.0;5251.0;;2365;;;;;;;;;;;;;;
56;2009 3e kwartaal;30477;23631;;;;;;;;;;;;;;;6846;;;;;;;;;;;;;;;;;;;;;;;;;;;15078;10474;;1893;;;;;;73.0;;;44.0;;810;;;;642;;;;103.0;;;;;;6504;267;;135.0;3.0;;4604;;;;;;;;;;;;;;;15399;13157;;;7789.0;5368.0;;2242;;;;;;;;;;;;;;
57;2009 4e kwartaal;30965;24225;;;;;;;;;;;;;;;6740;;;;;;;;;;;;;;;;;;;;;;;;;;;15042;10515;;1845;;;;;;74.0;;;28.0;;838;;;;713;;;;113.0;;;;;;6513;253;;135.0;3.0;;4527;;;;;;;;;;;;;;;15923;13710;;;8013.0;5697.0;;2213;;;;;;;;;;;;;;
58;2009;125032;97959;;7569.0;1014.0;332.0;917.0;3616.0;1607.0;;27580.0;1148.0;;32633.0;21543.0;;27073;331.0;2085.0;138.0;3401.0;507.0;16.0;4335.0;;9.0;768.0;3570.0;;942.0;;1987.0;2135.0;145.0;402.0;390.0;2948.0;247.0;;6.0;78.0;337.0;2296.0;62252;44366;;8192;7312.0;524.0;332.0;;24.0;334.0;334.0;;257.0;;3279;1780.0;796.0;703.0;2553;1662.0;148.0;743.0;440.0;174.0;8.0;68.0;190.0;;27580;1148;;571.0;12.0;;17886;331.0;2085.0;138.0;3401.0;507.0;16.0;4068.0;;9.0;768.0;3570.0;;942.0;2051.0;62780;53593;;;32062.0;21531.0;;9187;267.0;;1987.0;2135.0;145.0;402.0;390.0;2948.0;247.0;;6.0;78.0;337.0;245.0
59;2010 1e kwartaal;31551;24635;;;;;;;;;;;;;;;6916;;;;;;;;;;;;;;;;;;;;;;;;;;;15503;11004;;1945;;;;;;82.0;;;18.0;;843;;;;878;;;;101.0;;;;;;6712;260;;162.0;3.0;;4499;;;;;;;;;;;;;;;16048;13631;;;8185.0;5446.0;;2417;;;;;;;;;;;;;;
60;2010 2e kwartaal;35203;27523;;;;;;;;;;;;;;;7680;;;;;;;;;;;;;;;;;;;;;;;;;;;18825;13532;;2526;;;;;;104.0;;;1.0;;1096;;;;908;;;;140.0;;;;;;8243;315;;196.0;3.0;;5293;;;;;;;;;;;;;;;16378;13991;;;8475.0;5516.0;;2387;;;;;;;;;;;;;;
61;2010 3e kwartaal;31715;24663;;;;;;;;;;;;;;;7052;;;;;;;;;;;;;;;;;;;;;;;;;;;15747;10992;;1905;;;;;;85.0;;;0.0;;1023;;;;649;;;;122.0;;;;;;6799;248;;158.0;3.0;;4755;;;;;;;;;;;;;;;15968;13671;;;8097.0;5574.0;;2297;;;;;;;;;;;;;;
62;2010 4e kwartaal;32081;25260;;;;;;;;;;;;;;;6821;;;;;;;;;;;;;;;;;;;;;;;;;;;15572;11036;;1890;;;;;;93.0;;;2.0;;1033;;;;627;;;;126.0;;;;;;6864;242;;156.0;3.0;;4536;;;;;;;;;;;;;;;16509;14224;;;8340.0;5884.0;;2285;;;;;;;;;;;;;;
63;2010;130550;102081;;7188.0;1384.0;296.0;915.0;4524.0;1890.0;;28618.0;1065.0;;33769.0;22432.0;;28469;326.0;2230.0;138.0;3371.0;473.0;28.0;4351.0;202.0;270.0;799.0;3835.0;1178.0;896.0;;2164.0;2213.0;114.0;416.0;378.0;2897.0;236.0;;2.0;56.0;333.0;1563.0;65647;46564;;8266;7167.0;766.0;296.0;;37.0;364.0;364.0;;21.0;;3995;2386.0;907.0;702.0;3062;1940.0;243.0;879.0;489.0;198.0;11.0;104.0;176.0;;28618;1065;;672.0;12.0;;19083;326.0;2230.0;138.0;3371.0;473.0;28.0;4041.0;202.0;270.0;799.0;3835.0;1178.0;896.0;1296.0;64903;55517;;;33097.0;22420.0;;9386;310.0;;2164.0;2213.0;114.0;416.0;378.0;2897.0;236.0;;2.0;56.0;333.0;267.0
64;2011 1e kwartaal;32701;25476;;;;;;;;;;;;;;;7225;;;;;;;;;;;;;;;;;;;;;;;;;;;16155;11309;;1877;;;;;;84.0;;;;;943;;;;772;;;;112.0;;;;;;7132;238;;149.0;2.0;;4846;;;;;;;;;;;;;;;16546;14167;;;8411.0;5756.0;;2379;;;;;;;;;;;;;;
65;2011 2e kwartaal;36200;28445;;;;;;;;;;;;;;;7755;;;;;;;;;;;;;;;;;;;;;;;;;;;19569;14182;;2472;;;;;;111.0;;;;;1419;;;;848;;;;147.0;;;;;;8723;283;;176.0;3.0;;5387;;;;;;;;;;;;;;;16631;14263;;;8517.0;5746.0;;2368;;;;;;;;;;;;;;
66;2011 3e kwartaal;32475;25101;;;;;;;;;;;;;;;7374;;;;;;;;;;;;;;;;;;;;;;;;;;;16083;10994;;1830;;;;;;86.0;;;;;888;;;;651;;;;123.0;;;;;;7050;224;;139.0;3.0;;5089;;;;;;;;;;;;;;;16392;14107;;;8229.0;5878.0;;2285;;;;;;;;;;;;;;
67;2011 4e kwartaal;32646;25422;;;;;;;;;;;;;;;7224;;;;;;;;;;;;;;;;;;;;;;;;;;;16002;11036;;1858;;;;;;84.0;;;;;984;;;;497;;;;156.0;;;;;;7091;223;;140.0;3.0;;4966;;;;;;;;;;;;;;;16644;14386;;;8561.0;5825.0;;2258;;;;;;;;;;;;;;
68;2011;134022;104444;;6670.0;1759.0;271.0;950.0;4365.0;1927.0;;29996.0;968.0;;34322.0;23216.0;;29578;311.0;2381.0;161.0;3346.0;434.0;8.0;4428.0;212.0;435.0;815.0;4714.0;1108.0;976.0;;2101.0;2311.0;111.0;416.0;399.0;2817.0;244.0;;;52.0;267.0;1531.0;67809;47521;;8037;6670.0;1056.0;271.0;;40.0;365.0;365.0;;;;4234;2451.0;1049.0;734.0;2768;1676.0;323.0;769.0;538.0;238.0;15.0;109.0;176.0;;29996;968;;604.0;11.0;;20288;311.0;2381.0;161.0;3346.0;434.0;8.0;4120.0;212.0;435.0;815.0;4714.0;1108.0;976.0;1267.0;66213;56923;;;33718.0;23205.0;;9290;308.0;;2101.0;2311.0;111.0;416.0;399.0;2817.0;244.0;;;52.0;267.0;264.0
69;2012 1e kwartaal;33480;26218;;;;;;;;;;;;;;;7262;;;;;;;;;;;;;;;;;;;;;;;;;;;16621;11590;;1831;;;;;;65.0;;;;;1041;;;;824;;;;127.0;;;;;;7313;214;;172.0;3.0;;5031;;;;;;;;;;;;;;;16859;14628;;;8386.0;6242.0;;2231;;;;;;;;;;;;;;
70;2012 2e kwartaal;37140;29507;;;;;;;;;;;;;;;7633;;;;;;;;;;;;;;;;;;;;;;;;;;;19972;14559;;2378;;;;;;90.0;;;;;1361;;;;1037;;;;164.0;;;;;;9078;256;;192.0;3.0;;5413;;;;;;;;;;;;;;;17168;14948;;;8594.0;6354.0;;2220;;;;;;;;;;;;;;
71;2012 3e kwartaal;33291;26356;;;;;;;;;;;;;;;6935;;;;;;;;;;;;;;;;;;;;;;;;;;;16621;11782;;1791;;;;;;68.0;;;;;1153;;;;777;;;;153.0;;;;;;7465;199;;173.0;3.0;;4839;;;;;;;;;;;;;;;16670;14574;;;8124.0;6450.0;;2096;;;;;;;;;;;;;;
72;2012 4e kwartaal;34206;27119;;;;;;;;;;;;;;;7087;;;;;;;;;;;;;;;;;;;;;;;;;;;16836;11829;;1782;;;;;;70.0;;;;;1118;;;;809;;;;139.0;;;;;;7559;175;;175.0;2.0;;5007;;;;;;;;;;;;;;;17370;15290;;;8473.0;6817.0;;2080;;;;;;;;;;;;;;
73;2012;138117;109200;;6136.0;2067.0;245.0;1047.0;5050.0;2233.0;;31415.0;844.0;;34289.0;25874.0;;28917;301.0;2523.0;181.0;3236.0;454.0;38.0;4954.0;200.0;;852.0;4589.0;1124.0;911.0;;2026.0;2288.0;104.0;430.0;395.0;2344.0;253.0;;;38.0;166.0;1510.0;70050;49760;;7782;6136.0;1355.0;245.0;;46.0;293.0;293.0;;;;4673;2705.0;1158.0;810.0;3447;2088.0;402.0;957.0;583.0;257.0;17.0;118.0;191.0;;31415;844;;712.0;11.0;;20290;301.0;2523.0;181.0;3236.0;454.0;38.0;4629.0;200.0;;852.0;4589.0;1124.0;911.0;1252.0;68067;59440;;;33577.0;25863.0;;8627;325.0;;2026.0;2288.0;104.0;430.0;395.0;2344.0;253.0;;;38.0;166.0;258.0
74;2013 1e kwartaal;34356;27165;;;;;;;;;;;;;;;7191;;;;;;;;;;;;;;;;;;;;;;;;;;;16920;11874;;1779;;;;;;90.0;;;;;1159;;;;984;;;;133.0;;;;;;7391;181;;155.0;2.0;;5046;;;;;;;;;;;;;;;17436;15291;;;8775.0;6516.0;;2145;;;;;;;;;;;;;;
75;2013 2e kwartaal;38126;30439;;;;;;;;;;;;;;;7687;;;;;;;;;;;;;;;;;;;;;;;;;;;20908;15340;;2326;;;;;;94.0;;;;;1600;;;;1253;;;;178.0;;;;;;9493;221;;173.0;2.0;;5568;;;;;;;;;;;;;;;17218;15099;;;8911.0;6188.0;;2119;;;;;;;;;;;;;;
76;2013 3e kwartaal;34404;27198;;;;;;;;;;;;;;;7206;;;;;;;;;;;;;;;;;;;;;;;;;;;17781;12602;;1759;;;;;;81.0;;;;;1339;;;;935;;;;155.0;;;;;;7998;167;;166.0;2.0;;5179;;;;;;;;;;;;;;;16623;14596;;;8368.0;6228.0;;2027;;;;;;;;;;;;;;
77;2013 4e kwartaal;34987;27518;;;;;;;;;;;;;;;7469;;;;;;;;;;;;;;;;;;;;;;;;;;;17980;12445;;1734;;;;;;116.0;;;;;1379;;;;876;;;;156.0;;;;;;7837;142;;202.0;3.0;;5535;;;;;;;;;;;;;;;17007;15073;;;8793.0;6280.0;;1934;;;;;;;;;;;;;;
78;2013;141873;112320;;5697.0;2606.0;209.0;941.0;6734.0;1939.0;;32719.0;711.0;;35543.0;25221.0;;29553;303.0;2713.0;197.0;3229.0;562.0;30.0;5343.0;195.0;;966.0;5137.0;1198.0;896.0;;1805.0;2435.0;115.0;443.0;405.0;1945.0;237.0;;;41.0;180.0;1178.0;73589;52261;;7598;5697.0;1639.0;209.0;;53.0;381.0;381.0;;;;5477;3615.0;1150.0;712.0;4048;2795.0;555.0;698.0;622.0;324.0;31.0;91.0;176.0;;32719;711;;696.0;9.0;;21328;303.0;2713.0;197.0;3229.0;562.0;30.0;4994.0;195.0;;966.0;5137.0;1198.0;896.0;908.0;68284;60059;;;34847.0;25212.0;;8225;349.0;;1805.0;2435.0;115.0;443.0;405.0;1945.0;237.0;;;41.0;180.0;270.0
79;2014 1e kwartaal;34864;27875;;;;;;;;;;;;;;;6989;;;;;;;;;;;;;;;;;;;;;;;;;;;17347;12498;;2085;;;;;;274.0;;;;;1078;;;;833;;;;87.0;;;;;;7879;144;;116.0;2.0;;4849;;;;;;;;;;;;;;;17517;15377;;;8743.0;6634.0;;2140;;;;;;;;;;;;;;
80;2014 2e kwartaal;38743;31075;;;;;;;;;;;;;;;7668;;;;;;;;;;;;;;;;;;;;;;;;;;;21560;15966;;2702;;;;;;326.0;;;;;1442;;;;1000;;;;111.0;;;;;;10083;184;;116.0;2.0;;5594;;;;;;;;;;;;;;;17183;15109;;;8868.0;6241.0;;2074;;;;;;;;;;;;;;
81;2014 3e kwartaal;34330;27311;;;;;;;;;;;;;;;7019;;;;;;;;;;;;;;;;;;;;;;;;;;;17520;12501;;2062;;;;;;265.0;;;;;1102;;;;680;;;;92.0;;;;;;8043;138;;116.0;3.0;;5019;;;;;;;;;;;;;;;16810;14810;;;8535.0;6275.0;;2000;;;;;;;;;;;;;;
82;2014 4e kwartaal;34952;27775;;;;;;;;;;;;;;;7177;;;;;;;;;;;;;;;;;;;;;;;;;;;17810;12553;;2156;;;;;;250.0;;;;;1069;;;;641;;;;86.0;;;;;;8115;118;;116.0;2.0;;5257;;;;;;;;;;;;;;;17142;15222;;;8916.0;6306.0;;1920;;;;;;;;;;;;;;
83;2014;142889;114036;;5291.0;2950.0;188.0;1105.0;7087.0;1720.0;;34120.0;584.0;;35526.0;25465.0;;28853;279.0;2879.0;251.0;3203.0;656.0;20.0;5927.0;216.0;;864.0;4030.0;986.0;936.0;;1625.0;2814.0;77.0;379.0;418.0;1722.0;214.0;;;61.0;174.0;1122.0;74237;53518;;9005;5291.0;1968.0;188.0;453.0;1105.0;1115.0;615.0;500.0;;;4691;4031.0;660.0;;3154;2721.0;345.0;88.0;376.0;335.0;22.0;19.0;;;34120;584;;464.0;9.0;;20719;279.0;2879.0;251.0;3203.0;656.0;20.0;5531.0;216.0;;864.0;4030.0;986.0;936.0;868.0;68652;60518;;;35062.0;25456.0;;8134;396.0;;1625.0;2814.0;77.0;379.0;418.0;1722.0;214.0;;;61.0;174.0;254.0
84;2015 1e kwartaal;35581;26882;;;;;;;;;;;;;;;8699;;;;;;;;;;;;;;;;;;;;;;;;;;;17774;12882;;2051;;;;;;270.0;;;;;1076;;;;790;;;;88.0;;;;;;8325;110;;170.0;;2.0;4892;;;;;;;;;;;;;;;17807;14000;;;9576.0;138.0;4286.0;3807;;;;;;;;;;;;;;
85;2015 2e kwartaal;39296;30232;;;;;;;;;;;;;;;9064;;;;;;;;;;;;;;;;;;;;;;;;;;;21652;16299;;2690;;;;;;350.0;;;;;1346;;;;904;;;;115.0;;;;;;10595;135;;162.0;;2.0;5353;;;;;;;;;;;;;;;17644;13933;;;9592.0;18.0;4323.0;3711;;;;;;;;;;;;;;
86;2015 3e kwartaal;35128;26358;;;;;;;;;;;;;;;8770;;;;;;;;;;;;;;;;;;;;;;;;;;;17793;12726;;2055;;;;;;259.0;;;;;1025;;;;606;;;;93.0;;;;;;8418;97;;171.0;;2.0;5067;;;;;;;;;;;;;;;17335;13632;;;9175.0;-40.0;4497.0;3703;;;;;;;;;;;;;;
87;2015 4e kwartaal;34957;26675;;;;;;;;;;;;;;;8282;;;;;;;;;;;;;;;;;;;;;;;;;;;17437;12761;;2135;;;;;;262.0;;;;;983;;;;543;;;;91.0;;;;;;8476;97;;172.0;;2.0;4676;;;;;;;;;;;;;;;17520;13914;;;9505.0;156.0;4253.0;3606;;;;;;;;;;;;;;
88;2015;144962;110147;;4892.0;3395.0;168.0;1086.0;6552.0;1639.0;;35814.0;439.0;;38523.0;272.0;17367.0;34815;267.0;3010.0;298.0;3216.0;590.0;10.0;5788.0;234.0;;763.0;3899.0;1.0;1822.0;;5247.0;3094.0;104.0;384.0;420.0;1629.0;193.0;;;175.0;163.0;3508.0;74656;54668;;8931;4892.0;2336.0;168.0;449.0;1086.0;1141.0;709.0;432.0;;;4430;3739.0;691.0;;2843;2465.0;334.0;44.0;387.0;348.0;16.0;23.0;;;35814;439;;675.0;;8.0;19988;267.0;3010.0;298.0;3216.0;590.0;10.0;5321.0;234.0;;763.0;3899.0;1.0;1822.0;557.0;70306;55479;;;37848.0;272.0;17359.0;14827;467.0;;5247.0;3094.0;104.0;384.0;420.0;1629.0;193.0;;;175.0;163.0;2951.0
89;2016 1e kwartaal;35956;27009;;;;;;;;;;;;;;;8947;;;;;;;;;;;;;;;;;;;;;;;;;;;17865;12854;;2055;;;;;;286.0;;;;;1026;;;;606;;;;86.0;;;;;;8531;101;;161.0;;2.0;5011;;;;;;;;;;;;;;;18091;14155;;;9595.0;59.0;4501.0;3936;;;;;;;;;;;;;;
90;2016 2e kwartaal;40352;30925;;;;;;;;;;;;;;;9427;;;;;;;;;;;;;;;;;;;;;;;;;;;22121;16531;;2742;;;;;;385.0;;;;;1330;;;;714;;;;114.0;;;;;;10962;121;;162.0;;1.0;5590;;;;;;;;;;;;;;;18231;14394;;;10075.0;22.0;4297.0;3837;;;;;;;;;;;;;;
91;2016 3e kwartaal;35854;26826;;;;;;;;;;;;;;;9028;;;;;;;;;;;;;;;;;;;;;;;;;;;18124;12921;;2106;;;;;;301.0;;;;;955;;;;509;;;;91.0;;;;;;8698;98;;161.0;;2.0;5203;;;;;;;;;;;;;;;17730;13905;;;9508.0;8.0;4389.0;3825;;;;;;;;;;;;;;
92;2016 4e kwartaal;36107;27287;;;;;;;;;;;;;;;8820;;;;;;;;;;;;;;;;;;;;;;;;;;;17980;12963;;2184;;;;;;282.0;;;;;912;;;;488;;;;88.0;;;;;;8750;96;;161.0;;2.0;5017;;;;;;;;;;;;;;;18127;14324;;;9730.0;20.0;4574.0;3803;;;;;;;;;;;;;;
93;2016;148269;112047;;4534.0;3880.0;150.0;1128.0;5922.0;1646.0;;36941.0;416.0;;39553.0;109.0;17768.0;36222;258.0;3090.0;301.0;3310.0;579.0;6.0;6107.0;239.0;;783.0;4204.0;1.0;1908.0;;5281.0;3339.0;86.0;384.0;444.0;1981.0;191.0;;;153.0;170.0;3407.0;76090;55269;;9087;4534.0;2801.0;150.0;474.0;1128.0;1254.0;784.0;470.0;;;4223;3569.0;654.0;;2317;2011.0;280.0;26.0;379.0;342.0;15.0;22.0;;;36941;416;;645.0;;7.0;20821;258.0;3090.0;301.0;3310.0;579.0;6.0;5624.0;239.0;;783.0;4204.0;1.0;1908.0;518.0;72179;56778;;;38908.0;109.0;17761.0;15401;483.0;;5281.0;3339.0;86.0;384.0;444.0;1981.0;191.0;;;153.0;170.0;2889.0
94;2017 1e kwartaal;36577;27461;;;;;;;;;;;;;;;9116;;;;;;;;;;;;;;;;;;;;;;;;;;;18134;13022;;2116;;;;;;308.0;;;;;898;;;;573;;;;87.0;;;;;;8771;93;;176.0;;;5112;;;;;;;;;;;;;;;18443;14439;;;9832.0;;4607.0;4004;;;;;;;;;;;;;;
95;2017 2e kwartaal;40936;31142;;;;;;;;;;;;;;;9794;;;;;;;;;;;;;;;;;;;;;;;;;;;22302;16421;;2813;;;;;;396.0;;;;;1222;;;;688;;;;115.0;;;;;;10892;119;;176.0;;;5881;;;;;;;;;;;;;;;18634;14721;;;10310.0;;4411.0;3913;;;;;;;;;;;;;;
96;2017 3e kwartaal;36771;27546;;;;;;;;;;;;;;;9225;;;;;;;;;;;;;;;;;;;;;;;;;;;18494;13162;;2274;;;;;;322.0;;;;;840;;;;490;;;;91.0;;;;;;8877;92;;176.0;;;5332;;;;;;;;;;;;;;;18277;14384;;;9847.0;;4537.0;3893;;;;;;;;;;;;;;
97;2017 4e kwartaal;36512;27735;;;;;;;;;;;;;;;8777;;;;;;;;;;;;;;;;;;;;;;;;;;;17797;12910;;2149;;;;;;314.0;;;;;764;;;;456;;;;92.0;;;;;;8871;89;;175.0;;;4887;;;;;;;;;;;;;;;18715;14825;;;10196.0;;4629.0;3890;;;;;;;;;;;;;;
