ID;BeroepsEnEigenVervoer;Vervoerstromen;Perioden;VervoerdLadinggewicht_1;Ladingtonkilometers_2;VoertuigkilometersTotaal_3;VoertuigkilometersBeladen_4;RittenBeladen_5
108;Beroeps- en eigen vervoer;Bilateraal vervoer;1997;113601;47851;;;
109;Beroeps- en eigen vervoer;Bilateraal vervoer;1998;114715;48356;;;
110;Beroeps- en eigen vervoer;Bilateraal vervoer;1999;123565;50054;;;
111;Beroeps- en eigen vervoer;Bilateraal vervoer;2000;115563;46206;;;
112;Beroeps- en eigen vervoer;Bilateraal vervoer;2001;117193;45717;;;
113;Beroeps- en eigen vervoer;Bilateraal vervoer;2002;117319;44685;;;
114;Beroeps- en eigen vervoer;Bilateraal vervoer;2003;120723;45582;;;
115;Beroeps- en eigen vervoer;Bilateraal vervoer;2004;134088;50319;3457.0;2893.0;6664.0
116;Beroeps- en eigen vervoer;Bilateraal vervoer;2005;130779;49692;3399.0;2849.0;6799.0
117;Beroeps- en eigen vervoer;Bilateraal vervoer;2006;132540;50020;3520.0;2868.0;7100.0
118;Beroeps- en eigen vervoer;Bilateraal vervoer;2007;131050;46245;3274.0;2662.0;7089.0
119;Beroeps- en eigen vervoer;Bilateraal vervoer;2008;127261;44160;3362.0;2666.0;6782.0
120;Beroeps- en eigen vervoer;Bilateraal vervoer;2009;115571;39236;3070.0;2453.0;6212.0
121;Beroeps- en eigen vervoer;Bilateraal vervoer;2010;106442;36351;2938.0;2440.0;6479.0
122;Beroeps- en eigen vervoer;Bilateraal vervoer;2011;111257;36213;2998.0;2479.0;6761.0
123;Beroeps- en eigen vervoer;Bilateraal vervoer;2012;106718;33471;2818.0;2307.0;6501.0
124;Beroeps- en eigen vervoer;Bilateraal vervoer;2013;104222;31688;2668.0;2150.0;6624.0
125;Beroeps- en eigen vervoer;Bilateraal vervoer;2014;106625;32149;2761.0;2213.0;7010.0
126;Beroeps- en eigen vervoer;Bilateraal vervoer;2015;102247;29721;2605.0;2119.0;6991.0
127;Beroeps- en eigen vervoer;Bilateraal vervoer;2016;100862;28013;2456.0;1965.0;6685.0
128;Beroeps- en eigen vervoer;Bilateraal vervoer;2017;104065;28175;2440.0;1978.0;6925.0
129;Beroeps- en eigen vervoer;Bilateraal vervoer;2018;105811;29019;2487.0;2011.0;6931.0
130;Beroeps- en eigen vervoer;Bilateraal vervoer;2019;100198;27815;2372.0;1926.0;6609.0
131;Beroeps- en eigen vervoer;Bilateraal vervoer;2020;99265;27055;2360.0;1913.0;6665.0
132;Beroeps- en eigen vervoer;Bilateraal vervoer;2021;102522;27605;2454.0;1972.0;6897.0
133;Beroeps- en eigen vervoer;Bilateraal vervoer;2022;93049;25005;2171.0;1794.0;6416.0
134;Beroeps- en eigen vervoer;Bilateraal vervoer;2023;91028;24575;2139.0;1764.0;6264.0
135;Beroeps- en eigen vervoer;Cabotagevervoer;1997;7967;1359;;;
136;Beroeps- en eigen vervoer;Cabotagevervoer;1998;8543;1468;;;
137;Beroeps- en eigen vervoer;Cabotagevervoer;1999;9885;1638;;;
