ID;SectorBranchesSIC2008;Periods;Indices_1;YearOnYearChange_2;Indices_3;PeriodOnPeriodChange_4
855;M-N Business services;2005 1st quarter;64.4;;;
856;M-N Business services;2005 2nd quarter;73.1;;;
857;M-N Business services;2005 3rd quarter;72.2;;;
858;M-N Business services;2005 4th quarter;82.8;;;
859;M-N Business services;2005;72.1;;;
860;M-N Business services;2006 1st quarter;71.6;11.2;;
861;M-N Business services;2006 2nd quarter;79.8;9.2;;
862;M-N Business services;2006 3rd quarter;79.4;9.9;;
863;M-N Business services;2006 4th quarter;91.8;10.8;;
864;M-N Business services;2006;79.9;10.8;;
865;M-N Business services;2007 1st quarter;79.2;10.7;;
866;M-N Business services;2007 2nd quarter;87.2;9.3;;
867;M-N Business services;2007 3rd quarter;85.7;8.0;;
868;M-N Business services;2007 4th quarter;98.8;7.6;;
869;M-N Business services;2007;87.4;9.4;;
870;M-N Business services;2008 1st quarter;85.2;7.5;;
871;M-N Business services;2008 2nd quarter;93.6;7.3;;
872;M-N Business services;2008 3rd quarter;91.2;6.4;;
873;M-N Business services;2008 4th quarter;103.0;4.3;;
874;M-N Business services;2008;93.0;6.4;;
875;M-N Business services;2009 1st quarter;86.2;1.3;;
876;M-N Business services;2009 2nd quarter;89.5;-4.3;;
877;M-N Business services;2009 3rd quarter;86.3;-5.3;;
878;M-N Business services;2009 4th quarter;95.2;-7.6;;
879;M-N Business services;2009;88.9;-4.4;;
880;M-N Business services;2010 1st quarter;79.8;-7.5;;
881;M-N Business services;2010 2nd quarter;86.3;-3.6;;
882;M-N Business services;2010 3rd quarter;86.1;-0.2;;
883;M-N Business services;2010 4th quarter;96.0;0.8;;
884;M-N Business services;2010;86.8;-2.4;;
885;M-N Business services;2011 1st quarter;82.0;2.8;;
886;M-N Business services;2011 2nd quarter;88.8;2.9;;
887;M-N Business services;2011 3rd quarter;86.4;0.3;;
888;M-N Business services;2011 4th quarter;95.5;-0.5;;
889;M-N Business services;2011;88.2;1.7;;
890;M-N Business services;2012 1st quarter;82.7;0.9;;
891;M-N Business services;2012 2nd quarter;89.9;1.3;;
892;M-N Business services;2012 3rd quarter;88.9;2.8;;
893;M-N Business services;2012 4th quarter;94.3;-1.3;;
894;M-N Business services;2012;89.0;0.9;;
895;M-N Business services;2013 1st quarter;81.0;-2.0;88.5;
896;M-N Business services;2013 2nd quarter;90.5;0.6;90.0;1.7
897;M-N Business services;2013 3rd quarter;89.4;0.6;89.9;-0.2
898;M-N Business services;2013 4th quarter;97.5;3.4;90.2;0.4
899;M-N Business services;2013;89.6;0.6;89.6;
900;M-N Business services;2014 1st quarter;83.0;2.5;90.8;0.6
901;M-N Business services;2014 2nd quarter;92.6;2.3;91.9;1.2
902;M-N Business services;2014 3rd quarter;92.9;3.9;93.0;1.3
903;M-N Business services;2014 4th quarter;102.4;5.1;94.9;2.0
904;M-N Business services;2014;92.7;3.5;92.6;3.3
905;M-N Business services;2015 1st quarter;87.7;5.6;96.0;1.2
906;M-N Business services;2015 2nd quarter;99.3;7.3;98.8;2.9
907;M-N Business services;2015 3rd quarter;101.4;9.1;101.2;2.4
908;M-N Business services;2015 4th quarter;111.6;9.0;103.5;2.3
909;M-N Business services;2015;100.0;7.8;99.9;7.8
910;M-N Business services;2016 1st quarter;95.0;8.4;104.0;0.4
911;M-N Business services;2016 2nd quarter;106.3;7.0;105.5;1.5
912;M-N Business services;2016 3rd quarter;107.5;6.0;107.1;1.6
913;M-N Business services;2016 4th quarter;117.4;5.2;109.3;2.0
914;M-N Business services;2016;106.6;6.6;106.5;6.6
915;M-N Business services;2017 1st quarter;101.8;7.2;111.3;1.8
916;M-N Business services;2017 2nd quarter;113.6;6.9;112.8;1.4
917;M-N Business services;2017 3rd quarter;115.0;7.0;114.5;1.5
918;M-N Business services;2017 4th quarter;125.2;6.7;116.8;2.0
919;M-N Business services;2017;113.9;6.9;113.9;7.0
920;M-N Business services;2018 1st quarter;109.2;7.3;119.5;2.3
921;M-N Business services;2018 2nd quarter;123.2;8.4;122.1;2.2
922;M-N Business services;2018 3rd quarter;124.6;8.3;124.1;1.7
923;M-N Business services;2018 4th quarter;135.8;8.4;126.9;2.3
924;M-N Business services;2018;123.2;8.1;123.2;8.2
925;M-N Business services;2019 1st quarter;116.4;6.6;127.4;0.4
926;M-N Business services;2019 2nd quarter;130.8;6.2;129.0;1.3
927;M-N Business services;2019 3rd quarter;131.6;5.7;131.5;1.9
928;M-N Business services;2019 4th quarter;141.6;4.3;132.6;0.9
929;M-N Business services;2019;130.1;5.6;130.1;5.7
930;M-N Business services;2020 1st quarter;118.1;1.4;128.2;-3.3
931;M-N Business services;2020 2nd quarter;106.6;-18.4;105.7;-17.5
932;M-N Business services;2020 3rd quarter;113.8;-13.6;116.7;10.4
933;M-N Business services;2020 4th quarter;129.9;-8.2;118.6;1.6
934;M-N Business services;2020;117.1;-10.0;117.3;-9.9
935;M-N Business services;2021 1st quarter;111.2;-5.8;119.9;1.1
936;M-N Business services;2021 2nd quarter;127.2;19.3;126.4;5.4
937;M-N Business services;2021 3rd quarter;134.1;17.9;135.9;7.6
938;M-N Business services;2021 4th quarter;153.8;18.4;141.5;4.1
939;M-N Business services;2021;131.6;12.3;130.9;11.6
940;M-N Business services;2022 1st quarter;132.7;19.4;145.3;2.7
941;M-N Business services;2022 2nd quarter;153.3;20.5;152.5;4.9
942;M-N Business services;2022 3rd quarter;159.0;18.6;157.8;3.5
943;M-N Business services;2022 4th quarter;173.1;12.5;160.7;1.8
944;M-N Business services;2022;154.5;17.4;154.1;17.7
945;M-N Business services;2023 1st quarter;152.2;14.6;166.6;3.6
946;M-N Business services;2023 2nd quarter;169.2;10.4;168.1;1.0
947;M-N Business services;2023 3rd quarter;171.5;7.9;170.0;1.1
948;M-N Business services;2023 4th quarter;183.9;6.3;172.2;1.3
949;M-N Business services;2023;169.2;9.5;169.2;9.8
950;69 Legal services, administration etc.;2005 1st quarter;81.2;;;
951;69 Legal services, administration etc.;2005 2nd quarter;87.9;;;
952;69 Legal services, administration etc.;2005 3rd quarter;78.0;;;
953;69 Legal services, administration etc.;2005 4th quarter;93.0;;;
954;69 Legal services, administration etc.;2005;85.0;;;
955;69 Legal services, administration etc.;2006 1st quarter;87.7;8.0;;
956;69 Legal services, administration etc.;2006 2nd quarter;89.7;2.0;;
957;69 Legal services, administration etc.;2006 3rd quarter;80.0;2.7;;
958;69 Legal services, administration etc.;2006 4th quarter;96.2;3.4;;
959;69 Legal services, administration etc.;2006;88.4;4.0;;
960;69 Legal services, administration etc.;2007 1st quarter;90.0;2.7;;
961;69 Legal services, administration etc.;2007 2nd quarter;94.0;4.8;;
962;69 Legal services, administration etc.;2007 3rd quarter;85.1;6.4;;
963;69 Legal services, administration etc.;2007 4th quarter;100.3;4.4;;
964;69 Legal services, administration etc.;2007;92.4;4.5;;
965;69 Legal services, administration etc.;2008 1st quarter;94.4;4.9;;
966;69 Legal services, administration etc.;2008 2nd quarter;99.0;5.4;;
967;69 Legal services, administration etc.;2008 3rd quarter;88.4;3.8;;
968;69 Legal services, administration etc.;2008 4th quarter;103.8;3.4;;
969;69 Legal services, administration etc.;2008;96.4;4.4;;
970;69 Legal services, administration etc.;2009 1st quarter;99.1;5.0;;
971;69 Legal services, administration etc.;2009 2nd quarter;100.4;1.3;;
972;69 Legal services, administration etc.;2009 3rd quarter;88.9;0.6;;
973;69 Legal services, administration etc.;2009 4th quarter;103.0;-0.7;;
974;69 Legal services, administration etc.;2009;97.8;1.5;;
975;69 Legal services, administration etc.;2010 1st quarter;98.6;-0.5;;
976;69 Legal services, administration etc.;2010 2nd quarter;99.8;-0.6;;
977;69 Legal services, administration etc.;2010 3rd quarter;88.0;-1.1;;
978;69 Legal services, administration etc.;2010 4th quarter;103.0;0.0;;
979;69 Legal services, administration etc.;2010;97.3;-0.5;;
980;69 Legal services, administration etc.;2011 1st quarter;99.2;0.6;;
981;69 Legal services, administration etc.;2011 2nd quarter;101.3;1.5;;
982;69 Legal services, administration etc.;2011 3rd quarter;87.0;-1.1;;
983;69 Legal services, administration etc.;2011 4th quarter;102.6;-0.3;;
984;69 Legal services, administration etc.;2011;97.5;0.2;;
985;69 Legal services, administration etc.;2012 1st quarter;98.7;-0.5;;
986;69 Legal services, administration etc.;2012 2nd quarter;100.5;-0.9;;
987;69 Legal services, administration etc.;2012 3rd quarter;88.6;1.8;;
988;69 Legal services, administration etc.;2012 4th quarter;101.6;-1.0;;
989;69 Legal services, administration etc.;2012;97.4;-0.2;;
990;69 Legal services, administration etc.;2013 1st quarter;95.3;-3.4;95.9;
991;69 Legal services, administration etc.;2013 2nd quarter;100.7;0.2;97.6;1.8
992;69 Legal services, administration etc.;2013 3rd quarter;88.5;-0.1;97.6;0.1
993;69 Legal services, administration etc.;2013 4th quarter;101.1;-0.6;95.5;-2.2
994;69 Legal services, administration etc.;2013;96.4;-1.0;96.7;
995;69 Legal services, administration etc.;2014 1st quarter;96.2;0.9;97.0;1.6
996;69 Legal services, administration etc.;2014 2nd quarter;100.0;-0.7;96.1;-0.9
997;69 Legal services, administration etc.;2014 3rd quarter;87.8;-0.8;96.8;0.7
998;69 Legal services, administration etc.;2014 4th quarter;104.5;3.4;98.4;1.6
999;69 Legal services, administration etc.;2014;97.1;0.8;97.1;0.5
1000;69 Legal services, administration etc.;2015 1st quarter;96.8;0.6;97.9;-0.5
1001;69 Legal services, administration etc.;2015 2nd quarter;102.4;2.4;99.4;1.5
1002;69 Legal services, administration etc.;2015 3rd quarter;91.3;4.0;100.9;1.6
1003;69 Legal services, administration etc.;2015 4th quarter;109.4;4.7;101.9;1.0
1004;69 Legal services, administration etc.;2015;100.0;2.9;100.0;3.0
1005;69 Legal services, administration etc.;2016 1st quarter;101.6;4.9;103.3;1.4
1006;69 Legal services, administration etc.;2016 2nd quarter;108.8;6.3;104.6;1.3
1007;69 Legal services, administration etc.;2016 3rd quarter;94.5;3.4;104.6;0.0
1008;69 Legal services, administration etc.;2016 4th quarter;112.5;2.8;104.4;-0.2
1009;69 Legal services, administration etc.;2016;104.3;4.3;104.2;4.2
1010;69 Legal services, administration etc.;2017 1st quarter;105.0;3.4;105.5;1.0
1011;69 Legal services, administration etc.;2017 2nd quarter;109.8;0.9;106.5;1.0
1012;69 Legal services, administration etc.;2017 3rd quarter;97.6;3.3;108.3;1.7
1013;69 Legal services, administration etc.;2017 4th quarter;118.3;5.2;110.5;2.0
1014;69 Legal services, administration etc.;2017;107.7;3.2;107.7;3.3
1015;69 Legal services, administration etc.;2018 1st quarter;109.3;4.1;110.9;0.4
1016;69 Legal services, administration etc.;2018 2nd quarter;117.2;6.7;113.7;2.5
1017;69 Legal services, administration etc.;2018 3rd quarter;102.7;5.2;114.3;0.6
1018;69 Legal services, administration etc.;2018 4th quarter;124.2;5.0;115.7;1.2
1019;69 Legal services, administration etc.;2018;113.3;5.3;113.6;5.5
1020;69 Legal services, administration etc.;2019 1st quarter;114.3;4.6;115.9;0.2
1021;69 Legal services, administration etc.;2019 2nd quarter;123.6;5.4;118.8;2.5
1022;69 Legal services, administration etc.;2019 3rd quarter;107.9;5.1;120.5;1.4
1023;69 Legal services, administration etc.;2019 4th quarter;129.9;4.6;120.9;0.3
1024;69 Legal services, administration etc.;2019;118.9;4.9;119.0;4.7
1025;69 Legal services, administration etc.;2020 1st quarter;122.9;7.5;123.7;2.3
1026;69 Legal services, administration etc.;2020 2nd quarter;123.7;0.1;120.2;-2.9
1027;69 Legal services, administration etc.;2020 3rd quarter;108.9;0.9;121.9;1.4
1028;69 Legal services, administration etc.;2020 4th quarter;135.5;4.3;125.0;2.6
1029;69 Legal services, administration etc.;2020;122.8;3.2;122.7;3.1
1030;69 Legal services, administration etc.;2021 1st quarter;128.1;4.2;128.9;3.2
1031;69 Legal services, administration etc.;2021 2nd quarter;134.7;8.9;130.4;1.1
1032;69 Legal services, administration etc.;2021 3rd quarter;117.1;7.5;131.4;0.8
1033;69 Legal services, administration etc.;2021 4th quarter;144.8;6.9;132.6;0.9
1034;69 Legal services, administration etc.;2021;131.2;6.8;130.8;6.7
1035;69 Legal services, administration etc.;2022 1st quarter;133.2;4.0;134.0;1.0
1036;69 Legal services, administration etc.;2022 2nd quarter;142.8;6.1;137.9;2.9
1037;69 Legal services, administration etc.;2022 3rd quarter;126.5;8.0;141.2;2.4
1038;69 Legal services, administration etc.;2022 4th quarter;153.7;6.1;142.4;0.9
1039;69 Legal services, administration etc.;2022;139.1;6.0;138.9;6.1
1040;69 Legal services, administration etc.;2023 1st quarter;143.8;7.9;144.6;1.5
1041;69 Legal services, administration etc.;2023 2nd quarter;150.2;5.2;145.9;0.9
1042;69 Legal services, administration etc.;2023 3rd quarter;135.4;7.1;150.1;2.9
1043;69 Legal services, administration etc.;2023 4th quarter;162.8;5.9;151.8;1.2
1044;69 Legal services, administration etc.;2023;148.1;6.5;148.1;6.7
1045;691 Legal activities;2005 1st quarter;66.4;;;
1046;691 Legal activities;2005 2nd quarter;83.8;;;
1047;691 Legal activities;2005 3rd quarter;73.6;;;
1048;691 Legal activities;2005 4th quarter;88.1;;;
1049;691 Legal activities;2005;78.0;;;
1050;691 Legal activities;2006 1st quarter;73.6;10.9;;
1051;691 Legal activities;2006 2nd quarter;87.7;4.6;;
1052;691 Legal activities;2006 3rd quarter;76.6;4.1;;
1053;691 Legal activities;2006 4th quarter;92.4;4.9;;
1054;691 Legal activities;2006;82.6;5.9;;
1055;691 Legal activities;2007 1st quarter;76.3;3.6;;
1056;691 Legal activities;2007 2nd quarter;89.6;2.2;;
1057;691 Legal activities;2007 3rd quarter;81.1;5.9;;
1058;691 Legal activities;2007 4th quarter;95.4;3.2;;
1059;691 Legal activities;2007;85.6;3.7;;
1060;691 Legal activities;2008 1st quarter;80.1;5.0;;
1061;691 Legal activities;2008 2nd quarter;93.9;4.8;;
1062;691 Legal activities;2008 3rd quarter;82.6;1.8;;
1063;691 Legal activities;2008 4th quarter;97.5;2.2;;
1064;691 Legal activities;2008;88.5;3.4;;
1065;691 Legal activities;2009 1st quarter;82.0;2.3;;
1066;691 Legal activities;2009 2nd quarter;93.0;-0.9;;
1067;691 Legal activities;2009 3rd quarter;82.8;0.2;;
1068;691 Legal activities;2009 4th quarter;98.8;1.2;;
1069;691 Legal activities;2009;89.1;0.7;;
1070;691 Legal activities;2010 1st quarter;81.2;-0.9;;
1071;691 Legal activities;2010 2nd quarter;93.4;0.4;;
1072;691 Legal activities;2010 3rd quarter;83.6;1.0;;
1073;691 Legal activities;2010 4th quarter;100.1;1.4;;
1074;691 Legal activities;2010;89.6;0.5;;
1075;691 Legal activities;2011 1st quarter;85.9;5.8;;
1076;691 Legal activities;2011 2nd quarter;95.5;2.3;;
1077;691 Legal activities;2011 3rd quarter;84.5;1.0;;
1078;691 Legal activities;2011 4th quarter;100.4;0.3;;
1079;691 Legal activities;2011;91.6;2.2;;
1080;691 Legal activities;2012 1st quarter;88.8;3.4;;
1081;691 Legal activities;2012 2nd quarter;95.9;0.4;;
1082;691 Legal activities;2012 3rd quarter;87.7;3.8;;
1083;691 Legal activities;2012 4th quarter;100.2;-0.2;;
1084;691 Legal activities;2012;93.2;1.7;;
1085;691 Legal activities;2013 1st quarter;84.7;-4.7;91.4;
1086;691 Legal activities;2013 2nd quarter;96.6;0.7;93.9;2.7
1087;691 Legal activities;2013 3rd quarter;88.5;0.9;94.5;0.6
1088;691 Legal activities;2013 4th quarter;103.3;3.1;94.6;0.1
1089;691 Legal activities;2013;93.3;0.1;93.6;
1090;691 Legal activities;2014 1st quarter;87.7;3.6;94.6;0.0
1091;691 Legal activities;2014 2nd quarter;98.0;1.5;94.4;-0.2
1092;691 Legal activities;2014 3rd quarter;90.7;2.5;97.0;2.7
1093;691 Legal activities;2014 4th quarter;109.3;5.8;99.8;2.9
1094;691 Legal activities;2014;96.4;3.4;96.5;3.0
1095;691 Legal activities;2015 1st quarter;91.1;3.9;98.2;-1.6
1096;691 Legal activities;2015 2nd quarter;102.3;4.4;100.1;1.9
1097;691 Legal activities;2015 3rd quarter;93.9;3.5;100.6;0.5
1098;691 Legal activities;2015 4th quarter;112.7;3.1;101.3;0.7
1099;691 Legal activities;2015;100.0;3.7;100.1;3.7
1100;691 Legal activities;2016 1st quarter;94.3;3.4;101.5;0.2
1101;691 Legal activities;2016 2nd quarter;105.5;3.2;102.0;0.5
1102;691 Legal activities;2016 3rd quarter;95.4;1.6;102.5;0.5
1103;691 Legal activities;2016 4th quarter;114.3;1.5;102.7;0.1
1104;691 Legal activities;2016;102.4;2.4;102.2;2.1
1105;691 Legal activities;2017 1st quarter;98.1;4.0;103.8;1.1
1106;691 Legal activities;2017 2nd quarter;107.0;1.3;104.8;1.0
1107;691 Legal activities;2017 3rd quarter;98.7;3.5;106.5;1.6
1108;691 Legal activities;2017 4th quarter;118.9;4.0;108.1;1.5
1109;691 Legal activities;2017;105.7;3.2;105.8;3.5
1110;691 Legal activities;2018 1st quarter;101.4;3.4;108.4;0.4
1111;691 Legal activities;2018 2nd quarter;115.9;8.4;113.8;4.9
1112;691 Legal activities;2018 3rd quarter;103.9;5.2;112.5;-1.1
1113;691 Legal activities;2018 4th quarter;124.8;5.0;113.0;0.4
1114;691 Legal activities;2018;111.5;5.5;112.0;5.8
1115;691 Legal activities;2019 1st quarter;106.0;4.6;113.0;0.0
1116;691 Legal activities;2019 2nd quarter;119.7;3.3;116.3;2.9
1117;691 Legal activities;2019 3rd quarter;108.6;4.5;118.1;1.6
1118;691 Legal activities;2019 4th quarter;131.8;5.6;119.0;0.7
1119;691 Legal activities;2019;116.5;4.5;116.6;4.2
1120;691 Legal activities;2020 1st quarter;114.4;7.9;120.1;1.0
1121;691 Legal activities;2020 2nd quarter;121.3;1.3;120.0;-0.1
1122;691 Legal activities;2020 3rd quarter;111.9;3.1;122.2;1.9
1123;691 Legal activities;2020 4th quarter;141.7;7.5;125.7;2.9
1124;691 Legal activities;2020;122.3;5.0;122.0;4.6
1125;691 Legal activities;2021 1st quarter;120.3;5.1;128.7;2.4
1126;691 Legal activities;2021 2nd quarter;134.3;10.7;130.6;1.4
1127;691 Legal activities;2021 3rd quarter;119.3;6.6;130.0;-0.4
1128;691 Legal activities;2021 4th quarter;145.2;2.5;129.0;-0.8
1129;691 Legal activities;2021;129.8;6.1;129.6;6.2
1130;691 Legal activities;2022 1st quarter;123.3;2.5;130.9;1.5
1131;691 Legal activities;2022 2nd quarter;138.6;3.2;133.9;2.3
1132;691 Legal activities;2022 3rd quarter;123.5;3.5;134.2;0.2
1133;691 Legal activities;2022 4th quarter;147.0;1.3;133.0;-0.9
1134;691 Legal activities;2022;133.1;2.6;133.0;2.6
1135;691 Legal activities;2023 1st quarter;127.8;3.7;135.7;2.0
1136;691 Legal activities;2023 2nd quarter;141.4;2.0;137.2;1.1
1137;691 Legal activities;2023 3rd quarter;132.8;7.6;142.7;4.0
1138;691 Legal activities;2023 4th quarter;158.1;7.5;144.5;1.3
1139;691 Legal activities;2023;140.0;5.2;140.0;5.3
1140;692 Accounting, administration etc.;2005 1st quarter;91.1;;;
1141;692 Accounting, administration etc.;2005 2nd quarter;90.6;;;
1142;692 Accounting, administration etc.;2005 3rd quarter;80.9;;;
1143;692 Accounting, administration etc.;2005 4th quarter;96.3;;;
1144;692 Accounting, administration etc.;2005;89.7;;;
1145;692 Accounting, administration etc.;2006 1st quarter;97.1;6.6;;
1146;692 Accounting, administration etc.;2006 2nd quarter;91.0;0.4;;
1147;692 Accounting, administration etc.;2006 3rd quarter;82.3;1.8;;
1148;692 Accounting, administration etc.;2006 4th quarter;98.6;2.4;;
1149;692 Accounting, administration etc.;2006;92.3;2.8;;
1150;692 Accounting, administration etc.;2007 1st quarter;99.2;2.2;;
1151;692 Accounting, administration etc.;2007 2nd quarter;96.9;6.5;;
1152;692 Accounting, administration etc.;2007 3rd quarter;87.9;6.7;;
1153;692 Accounting, administration etc.;2007 4th quarter;103.6;5.0;;
1154;692 Accounting, administration etc.;2007;96.9;5.0;;
1155;692 Accounting, administration etc.;2008 1st quarter;104.0;4.8;;
1156;692 Accounting, administration etc.;2008 2nd quarter;102.5;5.8;;
1157;692 Accounting, administration etc.;2008 3rd quarter;92.3;5.1;;
1158;692 Accounting, administration etc.;2008 4th quarter;108.0;4.2;;
1159;692 Accounting, administration etc.;2008;101.7;4.9;;
1160;692 Accounting, administration etc.;2009 1st quarter;110.5;6.3;;
1161;692 Accounting, administration etc.;2009 2nd quarter;105.3;2.7;;
1162;692 Accounting, administration etc.;2009 3rd quarter;93.1;0.9;;
1163;692 Accounting, administration etc.;2009 4th quarter;105.9;-1.9;;
1164;692 Accounting, administration etc.;2009;103.7;2.0;;
1165;692 Accounting, administration etc.;2010 1st quarter;110.2;-0.3;;
1166;692 Accounting, administration etc.;2010 2nd quarter;104.1;-1.1;;
1167;692 Accounting, administration etc.;2010 3rd quarter;90.9;-2.3;;
1168;692 Accounting, administration etc.;2010 4th quarter;104.9;-0.9;;
1169;692 Accounting, administration etc.;2010;102.5;-1.1;;
1170;692 Accounting, administration etc.;2011 1st quarter;108.1;-1.9;;
1171;692 Accounting, administration etc.;2011 2nd quarter;105.2;1.1;;
1172;692 Accounting, administration etc.;2011 3rd quarter;88.7;-2.4;;
1173;692 Accounting, administration etc.;2011 4th quarter;104.1;-0.8;;
1174;692 Accounting, administration etc.;2011;101.5;-1.0;;
1175;692 Accounting, administration etc.;2012 1st quarter;105.3;-2.5;;
1176;692 Accounting, administration etc.;2012 2nd quarter;103.5;-1.6;;
1177;692 Accounting, administration etc.;2012 3rd quarter;89.2;0.5;;
1178;692 Accounting, administration etc.;2012 4th quarter;102.6;-1.4;;
1179;692 Accounting, administration etc.;2012;100.2;-1.3;;
1180;692 Accounting, administration etc.;2013 1st quarter;102.5;-2.7;98.8;
1181;692 Accounting, administration etc.;2013 2nd quarter;103.5;0.0;100.1;1.3
1182;692 Accounting, administration etc.;2013 3rd quarter;88.5;-0.7;99.8;-0.3
1183;692 Accounting, administration etc.;2013 4th quarter;99.6;-2.9;96.1;-3.7
1184;692 Accounting, administration etc.;2013;98.5;-1.6;98.7;
1185;692 Accounting, administration etc.;2014 1st quarter;101.9;-0.6;98.6;2.6
1186;692 Accounting, administration etc.;2014 2nd quarter;101.4;-2.0;97.3;-1.4
1187;692 Accounting, administration etc.;2014 3rd quarter;85.8;-3.1;96.8;-0.6
1188;692 Accounting, administration etc.;2014 4th quarter;101.3;1.7;97.5;0.8
1189;692 Accounting, administration etc.;2014;97.6;-0.9;97.5;-1.2
1190;692 Accounting, administration etc.;2015 1st quarter;100.6;-1.3;97.7;0.3
1191;692 Accounting, administration etc.;2015 2nd quarter;102.5;1.1;98.9;1.2
1192;692 Accounting, administration etc.;2015 3rd quarter;89.6;4.4;101.1;2.2
1193;692 Accounting, administration etc.;2015 4th quarter;107.3;5.9;102.2;1.1
1194;692 Accounting, administration etc.;2015;100.0;2.5;100.0;2.5
1195;692 Accounting, administration etc.;2016 1st quarter;106.5;5.8;104.4;2.1
1196;692 Accounting, administration etc.;2016 2nd quarter;111.1;8.3;106.3;1.8
1197;692 Accounting, administration etc.;2016 3rd quarter;93.8;4.7;106.1;-0.3
1198;692 Accounting, administration etc.;2016 4th quarter;111.2;3.7;105.5;-0.5
1199;692 Accounting, administration etc.;2016;105.6;5.6;105.6;5.6
1200;692 Accounting, administration etc.;2017 1st quarter;109.6;3.0;106.6;1.0
1201;692 Accounting, administration etc.;2017 2nd quarter;111.8;0.6;107.6;1.0
1202;692 Accounting, administration etc.;2017 3rd quarter;96.8;3.1;109.6;1.8
1203;692 Accounting, administration etc.;2017 4th quarter;117.9;6.0;112.1;2.3
1204;692 Accounting, administration etc.;2017;109.0;3.2;109.0;3.2
1205;692 Accounting, administration etc.;2018 1st quarter;114.5;4.5;112.5;0.3
1206;692 Accounting, administration etc.;2018 2nd quarter;118.1;5.6;113.6;1.0
1207;692 Accounting, administration etc.;2018 3rd quarter;101.9;5.3;115.5;1.7
1208;692 Accounting, administration etc.;2018 4th quarter;123.8;5.0;117.5;1.7
1209;692 Accounting, administration etc.;2018;114.6;5.1;114.8;5.3
1210;692 Accounting, administration etc.;2019 1st quarter;119.8;4.6;117.8;0.3
1211;692 Accounting, administration etc.;2019 2nd quarter;126.1;6.8;120.4;2.2
1212;692 Accounting, administration etc.;2019 3rd quarter;107.5;5.5;122.1;1.4
1213;692 Accounting, administration etc.;2019 4th quarter;128.6;3.9;122.2;0.1
1214;692 Accounting, administration etc.;2019;120.5;5.2;120.6;5.1
1215;692 Accounting, administration etc.;2020 1st quarter;128.6;7.3;126.1;3.2
1216;692 Accounting, administration etc.;2020 2nd quarter;125.3;-0.6;120.3;-4.6
1217;692 Accounting, administration etc.;2020 3rd quarter;106.9;-0.6;121.6;1.1
1218;692 Accounting, administration etc.;2020 4th quarter;131.4;2.2;124.5;2.4
1219;692 Accounting, administration etc.;2020;123.0;2.1;123.1;2.1
1220;692 Accounting, administration etc.;2021 1st quarter;133.3;3.7;129.1;3.7
1221;692 Accounting, administration etc.;2021 2nd quarter;134.9;7.7;130.2;0.9
1222;692 Accounting, administration etc.;2021 3rd quarter;115.6;8.1;132.4;1.7
1223;692 Accounting, administration etc.;2021 4th quarter;144.6;10.0;135.1;2.0
1224;692 Accounting, administration etc.;2021;132.1;7.4;131.7;6.9
1225;692 Accounting, administration etc.;2022 1st quarter;139.9;5.0;136.1;0.7
1226;692 Accounting, administration etc.;2022 2nd quarter;145.6;8.0;140.6;3.3
1227;692 Accounting, administration etc.;2022 3rd quarter;128.4;11.1;145.8;3.8
1228;692 Accounting, administration etc.;2022 4th quarter;158.2;9.4;148.7;2.0
1229;692 Accounting, administration etc.;2022;143.0;8.3;142.8;8.4
1230;692 Accounting, administration etc.;2023 1st quarter;154.6;10.5;150.5;1.2
1231;692 Accounting, administration etc.;2023 2nd quarter;156.2;7.2;151.8;0.8
1232;692 Accounting, administration etc.;2023 3rd quarter;137.2;6.8;155.1;2.2
1233;692 Accounting, administration etc.;2023 4th quarter;166.0;4.9;156.8;1.1
1234;692 Accounting, administration etc.;2023;153.5;7.3;153.5;7.5
1235;70 Holding companies (not financial);2005 1st quarter;;;;
1236;70 Holding companies (not financial);2005 2nd quarter;;;;
1237;70 Holding companies (not financial);2005 3rd quarter;;;;
1238;70 Holding companies (not financial);2005 4th quarter;;;;
1239;70 Holding companies (not financial);2005;;;;
1240;70 Holding companies (not financial);2006 1st quarter;;;;
1241;70 Holding companies (not financial);2006 2nd quarter;;;;
1242;70 Holding companies (not financial);2006 3rd quarter;;;;
1243;70 Holding companies (not financial);2006 4th quarter;;;;
1244;70 Holding companies (not financial);2006;;;;
1245;70 Holding companies (not financial);2007 1st quarter;;;;
1246;70 Holding companies (not financial);2007 2nd quarter;;;;
1247;70 Holding companies (not financial);2007 3rd quarter;;;;
1248;70 Holding companies (not financial);2007 4th quarter;;;;
1249;70 Holding companies (not financial);2007;;;;
1250;70 Holding companies (not financial);2008 1st quarter;;;;
1251;70 Holding companies (not financial);2008 2nd quarter;;;;
1252;70 Holding companies (not financial);2008 3rd quarter;;;;
1253;70 Holding companies (not financial);2008 4th quarter;;;;
1254;70 Holding companies (not financial);2008;;;;
1255;70 Holding companies (not financial);2009 1st quarter;;;;
1256;70 Holding companies (not financial);2009 2nd quarter;;;;
1257;70 Holding companies (not financial);2009 3rd quarter;;;;
1258;70 Holding companies (not financial);2009 4th quarter;;;;
1259;70 Holding companies (not financial);2009;;;;
1260;70 Holding companies (not financial);2010 1st quarter;;;;
1261;70 Holding companies (not financial);2010 2nd quarter;;;;
1262;70 Holding companies (not financial);2010 3rd quarter;;;;
1263;70 Holding companies (not financial);2010 4th quarter;;;;
