ID;EconomicSectorsSIC93;Periods;JobsPersonsEmployed_1;LabourVolumePersonsEmployed_2;EmployeesOnTheCompanyPayroll_3;LabourVolumeEmployeesOnThePayroll_4;TotalBusinessReturns_5;NetTotalTurnover_6;NetTurnoverFromPrincipalActivity_7;NetTurnoverFromSecondaryActivities_8;OtherBusinessReturns_9;TotalBusinessCosts_10;TotalPurchasingCosts_11;CostsOfRawAndAuxiliaryMaterials_12;CostsOfCommodities_13;TotalPersonnelCosts_14;GrossWagesAndSalaries_15;OtherPersonnelCosts_16;OtherBusinessCostsTotal_17;EnergyCosts_18;HousingCosts_19;EquipmentAndInventoryCosts_20;TransportCosts_21;SalesCosts_22;CommunicationCosts_23;ServicesProvidedByThirdParties_24;BusinessCostsNotElsewhereClassified_25;DepreciationFixedAssets_26;ProfitLoss_27;ProfitLossBeforeTax_28
98;743 Testing and analysis;2008;14.5;13.1;12.3;11.1;1437.0;1418.0;1382.0;36.0;19.0;1315.0;250.0;137.0;14.0;705.0;482.0;223.0;297.0;11.0;44.0;21.0;42.0;24.0;21.0;45.0;90.0;63.0;123.0;129.0
99;744 Advertising etc.;2006;40.9;35.0;27.1;22.4;6807.0;6782.0;6726.0;56.0;25.0;5963.0;3983.0;3763.0;;1141.0;861.0;280.0;719.0;20.0;153.0;42.0;98.0;96.0;41.0;86.0;183.0;119.0;845.0;842.0
100;744 Advertising etc.;2007;45.5;39.0;29.6;24.7;6976.0;6945.0;6900.0;44.0;31.0;6063.0;3942.0;3695.0;42.0;1244.0;932.0;312.0;764.0;23.0;164.0;49.0;102.0;94.0;43.0;91.0;199.0;112.0;913.0;912.0
101;744 Advertising etc.;2008;47.5;40.8;30.8;25.6;7300.0;7268.0;7223.0;45.0;33.0;6360.0;4149.0;3865.0;46.0;1316.0;978.0;337.0;782.0;24.0;171.0;49.0;106.0;94.0;43.0;92.0;203.0;114.0;940.0;933.0
102;745 Employment activities;2006;54.8;45.5;228.7;163.0;15834.0;15741.0;15264.0;179.0;93.0;14617.0;6033.0;5791.0;28.0;6698.0;4650.0;2048.0;1776.0;26.0;286.0;60.0;270.0;227.0;80.0;233.0;595.0;112.0;1217.0;1223.0
103;745 Employment activities;2007;61.6;52.3;308.6;199.1;19607.0;19549.0;;;58.0;18015.0;7281.0;6933.0;30.0;8475.0;5740.0;2735.0;2130.0;35.0;328.0;69.0;363.0;256.0;96.0;269.0;715.0;130.0;1593.0;1612.0
104;745 Employment activities;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;7450a Temporary employment agencies;2006;38.6;32.7;198.6;139.2;14053.0;13983.0;13841.0;142.0;70.0;12991.0;5781.0;5593.0;27.0;5711.0;3953.0;1758.0;1414.0;20.0;203.0;49.0;244.0;188.0;63.0;157.0;490.0;85.0;1062.0;1054.0
106;7450a Temporary employment agencies;2007;44.4;38.0;278.7;176.1;17527.0;17482.0;17376.0;106.0;45.0;16145.0;6967.0;6695.0;30.0;7401.0;5008.0;2393.0;1680.0;27.0;233.0;61.0;322.0;210.0;73.0;175.0;579.0;97.0;1383.0;1394.0
107;7450a Temporary employment agencies;2008;47.5;40.9;282.7;189.0;19244.0;19183.0;19074.0;109.0;61.0;18118.0;7191.0;6814.0;24.0;8825.0;5699.0;3126.0;1835.0;27.0;277.0;68.0;349.0;231.0;81.0;231.0;571.0;268.0;1126.0;1024.0
108;74503 Employment placement agencies;2006;14.6;11.4;15.8;12.4;1482.0;1461.0;1424.0;37.0;22.0;1331.0;244.0;198.0;1.0;726.0;494.0;232.0;337.0;6.0;77.0;11.0;25.0;37.0;16.0;74.0;91.0;25.0;151.0;164.0
109;74503 Employment placement agencies;2007;15.5;12.9;16.6;13.5;1819.0;1809.0;1763.0;46.0;10.0;1608.0;299.0;237.0;0.0;854.0;560.0;294.0;423.0;7.0;88.0;8.0;40.0;44.0;22.0;92.0;122.0;32.0;211.0;218.0
110;74503 Employment placement agencies;2008;16.1;13.3;16.9;14.0;1888.0;1870.0;1843.0;28.0;17.0;1684.0;363.0;234.0;1.0;871.0;558.0;313.0;418.0;7.0;87.0;10.0;40.0;46.0;22.0;82.0;124.0;32.0;204.0;212.0
111;74504 Job pools;2006;1.6;1.4;14.3;11.4;298.0;297.0;;;1.0;294.0;8.0;;;261.0;203.0;58.0;25.0;0.0;6.0;0.0;1.0;1.0;1.0;2.0;14.0;2.0;4.0;5.0
112;74504 Job pools;2007;1.7;1.4;13.3;9.5;261.0;258.0;;;3.0;262.0;14.0;;;220.0;172.0;48.0;28.0;1.0;7.0;1.0;1.0;2.0;1.0;2.0;13.0;2.0;-1.0;-1.0
113;74504 Job pools;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;746 Security and investigation;2006;37.9;28.4;34.9;26.2;1561.0;1558.0;1521.0;37.0;3.0;1461.0;106.0;49.0;4.0;1100.0;780.0;320.0;218.0;3.0;28.0;6.0;49.0;13.0;15.0;24.0;79.0;37.0;101.0;100.0
115;746 Security and investigation;2007;41.1;31.7;37.8;29.0;1669.0;1668.0;1657.0;11.0;1.0;1561.0;111.0;62.0;2.0;1187.0;854.0;333.0;227.0;4.0;32.0;10.0;55.0;14.0;15.0;27.0;70.0;36.0;109.0;109.0
116;746 Security and investigation;2008;40.3;33.2;37.2;30.5;1789.0;1788.0;1772.0;16.0;1.0;1681.0;129.0;73.0;4.0;1272.0;906.0;366.0;246.0;4.0;33.0;12.0;55.0;14.0;13.0;27.0;89.0;34.0;108.0;105.0
117;747 Cleaning activities;2006;180.8;93.9;158.1;79.5;3994.0;3959.0;3895.0;63.0;35.0;3544.0;555.0;286.0;49.0;2335.0;1699.0;636.0;557.0;12.0;68.0;29.0;156.0;41.0;31.0;59.0;162.0;97.0;450.0;452.0
118;747 Cleaning activities;2007;188.8;99.6;163.0;83.1;4254.0;4222.0;4155.0;66.0;33.0;3715.0;606.0;325.0;56.0;2476.0;1811.0;665.0;547.0;10.0;70.0;32.0;149.0;42.0;32.0;62.0;149.0;86.0;539.0;534.0
119;747 Cleaning activities;2008;196.6;99.0;164.6;80.1;4723.0;4696.0;4613.0;82.0;27.0;4177.0;757.0;332.0;55.0;2683.0;1919.0;763.0;635.0;13.0;75.0;35.0;177.0;48.0;35.0;62.0;191.0;102.0;546.0;536.0
120;74701 General cleaning of buildings;2006;172.9;87.5;152.1;74.7;3444.0;3412.0;3365.0;47.0;32.0;3067.0;431.0;211.0;40.0;2107.0;1546.0;561.0;457.0;7.0;53.0;22.0;129.0;33.0;27.0;51.0;134.0;73.0;378.0;377.0
121;74701 General cleaning of buildings;2007;180.0;93.0;156.4;78.0;3679.0;3649.0;3592.0;56.0;31.0;3230.0;467.0;228.0;49.0;2250.0;1658.0;592.0;448.0;8.0;56.0;24.0;125.0;34.0;27.0;53.0;121.0;65.0;449.0;437.0
122;74701 General cleaning of buildings;2008;186.7;91.2;156.9;74.1;3903.0;3883.0;3833.0;50.0;20.0;3467.0;559.0;217.0;47.0;2355.0;1703.0;652.0;483.0;8.0;55.0;23.0;133.0;37.0;30.0;51.0;146.0;71.0;436.0;427.0
123;74702 Cleaning of transport equipment;2006;7.9;6.3;6.0;4.8;550.0;546.0;531.0;16.0;3.0;478.0;124.0;75.0;9.0;228.0;153.0;75.0;101.0;4.0;15.0;8.0;27.0;8.0;4.0;7.0;28.0;25.0;72.0;75.0
124;74702 Cleaning of transport equipment;2007;8.7;6.6;6.6;5.1;575.0;573.0;563.0;10.0;2.0;485.0;139.0;97.0;7.0;226.0;153.0;73.0;99.0;2.0;14.0;8.0;24.0;9.0;4.0;9.0;28.0;21.0;90.0;96.0
125;74702 Cleaning of transport equipment;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126;748 Other business service activities;2006;84.0;63.0;55.0;41.6;6823.0;6660.0;6437.0;224.0;163.0;6055.0;2343.0;1903.0;189.0;2052.0;1385.0;667.0;1324.0;55.0;295.0;75.0;114.0;171.0;82.0;161.0;372.0;336.0;768.0;780.0
127;748 Other business service activities;2007;94.7;69.4;61.1;44.1;7318.0;7186.0;7040.0;146.0;131.0;6408.0;2501.0;2170.0;62.0;2171.0;1499.0;672.0;1416.0;60.0;301.0;89.0;127.0;185.0;91.0;180.0;383.0;319.0;910.0;906.0
128;748 Other business service activities;2008;104.0;73.2;67.1;47.3;7822.0;7676.0;7563.0;113.0;146.0;6766.0;2522.0;2104.0;92.0;2400.0;1637.0;764.0;1522.0;74.0;328.0;73.0;158.0;177.0;89.0;205.0;418.0;322.0;1056.0;1019.0
129;7481 Photographic activities;2006;4.1;3.4;2.4;1.8;398.0;391.0;376.0;15.0;7.0;384.0;193.0;164.0;25.0;91.0;69.0;22.0;74.0;4.0;23.0;6.0;10.0;6.0;4.0;4.0;17.0;25.0;14.0;9.0
130;7481 Photographic activities;2007;4.5;3.7;2.6;1.9;428.0;423.0;402.0;20.0;5.0;362.0;180.0;151.0;23.0;89.0;68.0;21.0;72.0;4.0;22.0;6.0;10.0;6.0;4.0;4.0;16.0;22.0;66.0;68.0
131;7481 Photographic activities;2008;4.5;3.8;2.5;1.9;454.0;450.0;444.0;6.0;4.0;381.0;182.0;160.0;18.0;95.0;72.0;22.0;79.0;5.0;25.0;5.0;10.0;5.0;4.0;6.0;19.0;26.0;73.0;72.0
132;7484a Other business services n.e.c.;2006;72.9;54.2;46.4;34.9;5871.0;5751.0;5549.0;202.0;120.0;5152.0;2143.0;1738.0;;1692.0;1140.0;552.0;1096.0;32.0;221.0;56.0;98.0;145.0;70.0;139.0;335.0;221.0;719.0;760.0
133;7484a Other business services n.e.c.;2007;83.5;60.3;52.5;37.4;6344.0;6245.0;6126.0;119.0;99.0;5534.0;2315.0;2017.0;39.0;1813.0;1254.0;559.0;1201.0;38.0;236.0;72.0;109.0;159.0;81.0;159.0;346.0;205.0;810.0;825.0
134;7484a Other business services n.e.c.;2008;92.5;64.1;58.4;40.6;6827.0;6708.0;6603.0;105.0;119.0;5871.0;2338.0;1941.0;74.0;2029.0;1393.0;636.0;1305.0;53.0;265.0;59.0;139.0;159.0;80.0;160.0;391.0;199.0;956.0;942.0
135;74873 Auctions of agriculture, fish;2006;7.0;5.5;6.3;5.0;554.0;518.0;512.0;;36.0;519.0;7.0;2.0;0.0;269.0;176.0;93.0;153.0;19.0;50.0;12.0;7.0;20.0;8.0;18.0;20.0;91.0;34.0;10.0
136;74873 Auctions of agriculture, fish;2007;6.7;5.3;6.0;4.8;546.0;519.0;512.0;7.0;27.0;512.0;6.0;1.0;0.0;270.0;178.0;92.0;143.0;17.0;43.0;10.0;8.0;20.0;6.0;17.0;20.0;93.0;34.0;14.0
137;74873 Auctions of agriculture, fish;2008;7.0;5.4;6.1;4.8;542.0;519.0;517.0;2.0;23.0;515.0;3.0;3.0;0.0;276.0;171.0;105.0;138.0;16.0;38.0;9.0;9.0;14.0;5.0;40.0;7.0;98.0;27.0;5.0
138;921 Motion picture and video activities;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;
139;921 Motion picture and video activities;2007;13.3;10.5;7.8;5.5;1297.0;1286.0;1169.0;116.0;11.0;1084.0;545.0;442.0;61.0;239.0;183.0;56.0;238.0;9.0;41.0;16.0;19.0;31.0;12.0;23.0;87.0;61.0;213.0;210.0
140;921 Motion picture and video activities;2008;16.5;11.7;9.2;6.0;1350.0;1326.0;1224.0;103.0;23.0;1186.0;523.0;410.0;34.0;275.0;211.0;64.0;312.0;11.0;53.0;16.0;26.0;36.0;20.0;28.0;122.0;76.0;164.0;163.0
141;921b Production / distribution of films;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;
142;921b Production / distribution of films;2007;10.0;8.9;4.6;3.9;1090.0;1081.0;1012.0;68.0;10.0;904.0;474.0;384.0;56.0;194.0;148.0;46.0;191.0;4.0;27.0;12.0;19.0;26.0;11.0;19.0;74.0;45.0;186.0;186.0
143;921b Production / distribution of films;2008;12.7;9.9;5.6;4.3;1123.0;1105.0;1054.0;51.0;18.0;981.0;444.0;341.0;32.0;225.0;173.0;51.0;255.0;5.0;36.0;12.0;25.0;30.0;19.0;23.0;105.0;57.0;142.0;144.0
144;9213 Motion picture projection;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;
145;9213 Motion picture projection;2007;3.3;1.6;3.2;1.6;206.0;205.0;157.0;48.0;1.0;179.0;71.0;58.0;4.0;45.0;35.0;10.0;47.0;5.0;14.0;4.0;1.0;5.0;1.0;4.0;13.0;16.0;27.0;24.0
146;9213 Motion picture projection;2008;3.8;1.8;3.6;1.7;227.0;221.0;169.0;52.0;5.0;205.0;79.0;69.0;1.0;51.0;38.0;12.0;57.0;6.0;17.0;4.0;1.0;6.0;1.0;5.0;17.0;20.0;21.0;19.0
147;921a Audio-visual activities;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;
148;921a Audio-visual activities;2007;27.1;22.4;19.2;15.5;3618.0;3536.0;3203.0;333.0;82.0;3166.0;1581.0;1347.0;167.0;943.0;699.0;244.0;512.0;20.0;107.0;40.0;34.0;61.0;24.0;64.0;162.0;129.0;452.0;409.0
149;921a Audio-visual activities;2008;30.5;23.8;20.8;16.2;4021.0;3903.0;3611.0;292.0;118.0;3587.0;1649.0;1464.0;54.0;996.0;741.0;255.0;645.0;23.0;115.0;40.0;44.0;89.0;33.0;71.0;230.0;297.0;435.0;418.0
150;922 Radio and television activities;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;
151;922 Radio and television activities;2007;13.8;11.9;11.4;10.0;2321.0;2250.0;2033.0;216.0;71.0;2082.0;1036.0;905.0;106.0;704.0;516.0;188.0;274.0;11.0;66.0;24.0;15.0;31.0;13.0;41.0;74.0;68.0;239.0;199.0
152;922 Radio and television activities;2008;14.0;12.1;11.6;10.2;2672.0;2577.0;2387.0;190.0;95.0;2401.0;1126.0;1054.0;21.0;721.0;530.0;191.0;333.0;12.0;62.0;24.0;18.0;53.0;13.0;42.0;108.0;220.0;271.0;255.0
153;92201 Programming and broadcasting;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;92201 Programming and broadcasting;2007;8.0;6.7;6.8;5.9;1461.0;1426.0;1230.0;196.0;35.0;1320.0;692.0;578.0;100.0;433.0;320.0;112.0;163.0;6.0;40.0;13.0;7.0;20.0;8.0;22.0;47.0;33.0;141.0;123.0
155;92201 Programming and broadcasting;2008;7.6;6.5;6.9;6.0;1739.0;1694.0;1541.0;153.0;45.0;1572.0;722.0;690.0;1.0;455.0;340.0;116.0;212.0;6.0;34.0;13.0;8.0;44.0;9.0;26.0;73.0;;167.0;149.0
156;921c Production and support TV programms;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;
157;921c Production and support TV programms;2007;5.8;5.2;4.6;4.1;860.0;824.0;803.0;21.0;36.0;762.0;344.0;327.0;6.0;271.0;195.0;76.0;112.0;5.0;26.0;11.0;8.0;11.0;4.0;18.0;27.0;35.0;98.0;76.0
158;921c Production and support TV programms;2008;6.3;5.5;4.7;4.1;933.0;883.0;846.0;37.0;50.0;829.0;405.0;363.0;20.0;266.0;190.0;76.0;120.0;6.0;29.0;11.0;10.0;10.0;4.0;16.0;35.0;;104.0;107.0
159;9301a Other personal service activities;2006;84.0;58.9;59.8;38.8;3461.0;3427.0;3329.0;98.0;34.0;2922.0;806.0;621.0;148.0;1099.0;832.0;267.0;750.0;92.0;243.0;46.0;65.0;92.0;30.0;65.0;117.0;266.0;539.0;577.0
160;9301a Other personal service activities;2007;87.4;62.3;61.7;40.0;3642.0;3618.0;3517.0;101.0;37.0;2966.0;735.0;580.0;115.0;1137.0;865.0;272.0;816.0;92.0;269.0;52.0;70.0;105.0;31.0;72.0;124.0;278.0;675.0;720.0
161;9301a Other personal service activities;2008;94.3;65.0;67.6;42.2;3939.0;3902.0;3797.0;105.0;37.0;3313.0;794.0;598.0;117.0;1311.0;971.0;341.0;902.0;102.0;289.0;54.0;76.0;130.0;33.0;77.0;141.0;307.0;626.0;414.0
162;9301 Cleaning of clothes of textile;2006;12.0;9.7;9.3;7.5;769.0;767.0;737.0;30.0;1.0;654.0;108.0;72.0;19.0;286.0;195.0;90.0;158.0;36.0;30.0;12.0;26.0;15.0;6.0;12.0;22.0;102.0;115.0;104.0
163;9301 Cleaning of clothes of textile;2007;12.4;10.0;10.0;7.9;812.0;810.0;797.0;13.0;2.0;676.0;109.0;84.0;7.0;301.0;207.0;94.0;158.0;32.0;32.0;15.0;31.0;8.0;6.0;14.0;19.0;107.0;136.0;127.0
164;9301 Cleaning of clothes of textile;2008;12.7;10.1;10.0;7.8;838.0;835.0;826.0;10.0;3.0;702.0;103.0;77.0;5.0;327.0;214.0;114.0;166.0;34.0;34.0;15.0;33.0;9.0;5.0;13.0;22.0;107.0;136.0;130.0
165;9302 Hairdressing and beauty treatment;2006;46.8;35.2;28.8;19.5;1414.0;1394.0;1351.0;43.0;21.0;1062.0;276.0;145.0;;449.0;359.0;90.0;274.0;23.0;110.0;14.0;15.0;39.0;10.0;20.0;42.0;63.0;353.0;359.0
166;9302 Hairdressing and beauty treatment;2007;50.3;37.9;31.0;21.1;1518.0;1502.0;1450.0;52.0;16.0;1075.0;230.0;124.0;96.0;479.0;380.0;99.0;295.0;24.0;124.0;13.0;15.0;41.0;11.0;21.0;45.0;71.0;443.0;444.0
167;9302 Hairdressing and beauty treatment;2008;52.4;39.2;32.6;21.9;1626.0;1604.0;1549.0;55.0;22.0;1173.0;237.0;126.0;100.0;534.0;424.0;110.0;323.0;26.0;136.0;15.0;17.0;45.0;12.0;23.0;50.0;79.0;453.0;458.0
168;9303 Funeral and related activities;2006;7.5;4.9;6.8;4.4;727.0;717.0;711.0;6.0;10.0;712.0;364.0;357.0;3.0;184.0;131.0;53.0;120.0;10.0;29.0;5.0;16.0;16.0;8.0;18.0;18.0;44.0;15.0;62.0
169;9303 Funeral and related activities;2007;6.6;4.5;5.9;3.9;698.0;695.0;677.0;18.0;3.0;689.0;344.0;331.0;2.0;166.0;125.0;41.0;149.0;11.0;29.0;4.0;15.0;30.0;8.0;19.0;32.0;30.0;9.0;81.0
170;9303 Funeral and related activities;2008;7.6;4.8;7.0;4.3;826.0;821.0;811.0;10.0;5.0;853.0;393.0;351.0;2.0;231.0;161.0;70.0;185.0;13.0;30.0;8.0;19.0;47.0;9.0;28.0;31.0;44.0;-27.0;-213.0
171;9304 Fitness centres, saunas, solariums;2006;17.6;9.1;14.9;7.3;551.0;549.0;530.0;19.0;2.0;494.0;59.0;48.0;10.0;181.0;146.0;35.0;198.0;23.0;74.0;15.0;7.0;23.0;5.0;15.0;36.0;56.0;56.0;52.0
172;9304 Fitness centres, saunas, solariums;2007;18.1;9.9;14.8;7.1;614.0;610.0;593.0;17.0;3.0;526.0;52.0;41.0;9.0;191.0;153.0;38.0;215.0;25.0;84.0;19.0;8.0;26.0;6.0;18.0;28.0;69.0;87.0;68.0
173;9304 Fitness centres, saunas, solariums;2008;21.6;10.8;18.0;8.2;649.0;642.0;611.0;31.0;7.0;585.0;61.0;44.0;10.0;219.0;172.0;47.0;229.0;29.0;90.0;17.0;6.0;29.0;7.0;13.0;39.0;77.0;64.0;39.0
