ID;HousingCharacteristics;Regions;Periods;AverageConsumptionOfNaturalGas_1;AverageSupplyOfElectricity_2;AverageNetSupplyOfElectricity_3;DistrictHeating_4
2159;Total dwellings;Haarlem;2011;1400.0;2750.0;;
2160;Total dwellings;Haarlem;2012;1450.0;2750.0;;
2161;Total dwellings;Haarlem;2013;1550.0;2700.0;;
2162;Total dwellings;Haarlem;2014;1150.0;2600.0;;
2163;Total dwellings;Haarlem;2015;1250.0;2580.0;;
2164;Total dwellings;Haarlem;2016;1290.0;2510.0;;
2165;Total dwellings;Haarlem;2017;1230.0;2470.0;;
2166;Total dwellings;Haarlem;2018;1230.0;2420.0;;
2167;Total dwellings;Haarlem;2019;1150.0;2370.0;;
2168;Total dwellings;Haarlem;2020;1080.0;2390.0;;
2169;Total dwellings;Haarlem;2021;1220.0;2450.0;2320.0;
2170;Total dwellings;Haarlem;2022;960.0;2290.0;2120.0;
2171;Total dwellings;Haarlemmerliede en Spaarnwoude;2010;2050.0;3750.0;;
2172;Total dwellings;Haarlemmerliede en Spaarnwoude;2011;1550.0;3700.0;;
2173;Total dwellings;Haarlemmerliede en Spaarnwoude;2012;1700.0;3750.0;;
2174;Total dwellings;Haarlemmerliede en Spaarnwoude;2013;1800.0;3650.0;;
2175;Total dwellings;Haarlemmerliede en Spaarnwoude;2014;1350.0;3500.0;;
2176;Total dwellings;Haarlemmerliede en Spaarnwoude;2015;1440.0;3420.0;;
2177;Total dwellings;Haarlemmerliede en Spaarnwoude;2016;1530.0;3360.0;;
2178;Total dwellings;Haarlemmerliede en Spaarnwoude;2017;1450.0;3360.0;;
2179;Total dwellings;Haarlemmerliede en Spaarnwoude;2018;1440.0;3220.0;;
2180;Total dwellings;Haarlemmerliede en Spaarnwoude;2019;;;;
2181;Total dwellings;Haarlemmerliede en Spaarnwoude;2020;;;;
2182;Total dwellings;Haarlemmerliede en Spaarnwoude;2021;;;;
2183;Total dwellings;Haarlemmerliede en Spaarnwoude;2022;;;;
2184;Total dwellings;Haarlemmermeer;2010;1750.0;3650.0;;
2185;Total dwellings;Haarlemmermeer;2011;1500.0;3650.0;;
2186;Total dwellings;Haarlemmermeer;2012;1500.0;3550.0;;
2187;Total dwellings;Haarlemmermeer;2013;1600.0;3500.0;;
2188;Total dwellings;Haarlemmermeer;2014;1200.0;3400.0;;
2189;Total dwellings;Haarlemmermeer;2015;1270.0;3310.0;;
2190;Total dwellings;Haarlemmermeer;2016;1310.0;3210.0;;
2191;Total dwellings;Haarlemmermeer;2017;1260.0;3140.0;;
2192;Total dwellings;Haarlemmermeer;2018;1270.0;3030.0;;
2193;Total dwellings;Haarlemmermeer;2019;1180.0;3010.0;;
2194;Total dwellings;Haarlemmermeer;2020;1120.0;3040.0;;
2195;Total dwellings;Haarlemmermeer;2021;1260.0;3100.0;2770.0;
2196;Total dwellings;Haarlemmermeer;2022;980.0;2900.0;2450.0;
2197;Total dwellings;Halderberge;2010;2300.0;3750.0;;
2198;Total dwellings;Halderberge;2011;1750.0;3750.0;;
2199;Total dwellings;Halderberge;2012;1900.0;3650.0;;
2200;Total dwellings;Halderberge;2013;1950.0;3550.0;;
2201;Total dwellings;Halderberge;2014;1450.0;3400.0;;
2202;Total dwellings;Halderberge;2015;1530.0;3340.0;;
2203;Total dwellings;Halderberge;2016;1580.0;3290.0;;
2204;Total dwellings;Halderberge;2017;1520.0;3240.0;;
2205;Total dwellings;Halderberge;2018;1530.0;3210.0;;
2206;Total dwellings;Halderberge;2019;1410.0;3110.0;;
2207;Total dwellings;Halderberge;2020;1310.0;3120.0;;
2208;Total dwellings;Halderberge;2021;1480.0;3160.0;2710.0;
2209;Total dwellings;Halderberge;2022;1150.0;2990.0;2370.0;
2210;Total dwellings;Hardenberg;2010;2300.0;3800.0;;
2211;Total dwellings;Hardenberg;2011;1900.0;3850.0;;
2212;Total dwellings;Hardenberg;2012;2050.0;3750.0;;
2213;Total dwellings;Hardenberg;2013;2150.0;3700.0;;
2214;Total dwellings;Hardenberg;2014;1500.0;3550.0;;
2215;Total dwellings;Hardenberg;2015;1570.0;3430.0;;
2216;Total dwellings;Hardenberg;2016;1610.0;3360.0;;
2217;Total dwellings;Hardenberg;2017;1580.0;3340.0;;
2218;Total dwellings;Hardenberg;2018;1600.0;3240.0;;
2219;Total dwellings;Hardenberg;2019;1410.0;3150.0;;
2220;Total dwellings;Hardenberg;2020;1350.0;3170.0;;
2221;Total dwellings;Hardenberg;2021;1590.0;3230.0;2740.0;
2222;Total dwellings;Hardenberg;2022;1260.0;3060.0;2370.0;
2223;Total dwellings;Harderwijk;2010;1850.0;3400.0;;
2224;Total dwellings;Harderwijk;2011;1450.0;3350.0;;
2225;Total dwellings;Harderwijk;2012;1500.0;3250.0;;
2226;Total dwellings;Harderwijk;2013;1600.0;3200.0;;
2227;Total dwellings;Harderwijk;2014;1200.0;3050.0;;
2228;Total dwellings;Harderwijk;2015;1280.0;3000.0;;
2229;Total dwellings;Harderwijk;2016;1320.0;2890.0;;
2230;Total dwellings;Harderwijk;2017;1300.0;2860.0;;
2231;Total dwellings;Harderwijk;2018;1260.0;2720.0;;
2232;Total dwellings;Harderwijk;2019;1180.0;2700.0;;
2233;Total dwellings;Harderwijk;2020;1120.0;2760.0;;
2234;Total dwellings;Harderwijk;2021;1260.0;2790.0;2470.0;
2235;Total dwellings;Harderwijk;2022;1000.0;2640.0;2200.0;
2236;Total dwellings;Hardinxveld-Giessendam;2010;1850.0;3450.0;;
2237;Total dwellings;Hardinxveld-Giessendam;2011;1450.0;3400.0;;
2238;Total dwellings;Hardinxveld-Giessendam;2012;1500.0;3300.0;;
2239;Total dwellings;Hardinxveld-Giessendam;2013;1600.0;3300.0;;
2240;Total dwellings;Hardinxveld-Giessendam;2014;1150.0;3150.0;;
2241;Total dwellings;Hardinxveld-Giessendam;2015;1290.0;3100.0;;
2242;Total dwellings;Hardinxveld-Giessendam;2016;1330.0;3050.0;;
2243;Total dwellings;Hardinxveld-Giessendam;2017;1280.0;3020.0;;
2244;Total dwellings;Hardinxveld-Giessendam;2018;1280.0;2970.0;;
2245;Total dwellings;Hardinxveld-Giessendam;2019;1180.0;2840.0;;
2246;Total dwellings;Hardinxveld-Giessendam;2020;1120.0;2840.0;;
2247;Total dwellings;Hardinxveld-Giessendam;2021;1260.0;2880.0;2470.0;
2248;Total dwellings;Hardinxveld-Giessendam;2022;980.0;2720.0;2190.0;
2249;Total dwellings;Haren;2010;2650.0;3400.0;;
2250;Total dwellings;Haren;2011;2100.0;3300.0;;
2251;Total dwellings;Haren;2012;2300.0;3350.0;;
2252;Total dwellings;Haren;2013;2350.0;3250.0;;
2253;Total dwellings;Haren;2014;1800.0;3150.0;;
2254;Total dwellings;Haren;2015;1830.0;3060.0;;
2255;Total dwellings;Haren;2016;1970.0;3020.0;;
2256;Total dwellings;Haren;2017;1850.0;3020.0;;
2257;Total dwellings;Haren;2018;1880.0;2900.0;;
2258;Total dwellings;Haren;2019;;;;
2259;Total dwellings;Haren;2020;;;;
2260;Total dwellings;Haren;2021;;;;
2261;Total dwellings;Haren;2022;;;;
2262;Total dwellings;Harenkarspel;2010;2150.0;3750.0;;
2263;Total dwellings;Harenkarspel;2011;1700.0;3750.0;;
2264;Total dwellings;Harenkarspel;2012;1800.0;3600.0;;
2265;Total dwellings;Harenkarspel;2013;;;;
2266;Total dwellings;Harenkarspel;2014;;;;
2267;Total dwellings;Harenkarspel;2015;;;;
2268;Total dwellings;Harenkarspel;2016;;;;
2269;Total dwellings;Harenkarspel;2017;;;;
2270;Total dwellings;Harenkarspel;2018;;;;
2271;Total dwellings;Harenkarspel;2019;;;;
2272;Total dwellings;Harenkarspel;2020;;;;
2273;Total dwellings;Harenkarspel;2021;;;;
2274;Total dwellings;Harenkarspel;2022;;;;
2275;Total dwellings;Harlingen;2010;1950.0;2950.0;;
2276;Total dwellings;Harlingen;2011;1550.0;3000.0;;
2277;Total dwellings;Harlingen;2012;1700.0;2900.0;;
2278;Total dwellings;Harlingen;2013;1750.0;2800.0;;
2279;Total dwellings;Harlingen;2014;1300.0;2700.0;;
2280;Total dwellings;Harlingen;2015;1390.0;2660.0;;
2281;Total dwellings;Harlingen;2016;1440.0;2550.0;;
2282;Total dwellings;Harlingen;2017;1290.0;2460.0;;
2283;Total dwellings;Harlingen;2018;1340.0;2220.0;;
2284;Total dwellings;Harlingen;2019;1250.0;2360.0;;
2285;Total dwellings;Harlingen;2020;1210.0;2400.0;;
2286;Total dwellings;Harlingen;2021;1350.0;2440.0;1920.0;
2287;Total dwellings;Harlingen;2022;1040.0;2290.0;1650.0;
2288;Total dwellings;Hattem;2010;2300.0;3500.0;;
2289;Total dwellings;Hattem;2011;1800.0;3450.0;;
2290;Total dwellings;Hattem;2012;1850.0;3350.0;;
2291;Total dwellings;Hattem;2013;2000.0;3250.0;;
2292;Total dwellings;Hattem;2014;1450.0;3150.0;;
2293;Total dwellings;Hattem;2015;1530.0;3040.0;;
2294;Total dwellings;Hattem;2016;1620.0;2890.0;;
2295;Total dwellings;Hattem;2017;1570.0;2830.0;;
2296;Total dwellings;Hattem;2018;1570.0;2800.0;;
2297;Total dwellings;Hattem;2019;1460.0;2820.0;;
2298;Total dwellings;Hattem;2020;1370.0;2920.0;;
2299;Total dwellings;Hattem;2021;1560.0;2990.0;2630.0;
2300;Total dwellings;Hattem;2022;1190.0;2830.0;2360.0;
2301;Total dwellings;Heemskerk;2010;1750.0;3200.0;;
2302;Total dwellings;Heemskerk;2011;1400.0;3200.0;;
2303;Total dwellings;Heemskerk;2012;1450.0;3150.0;;
2304;Total dwellings;Heemskerk;2013;1500.0;3100.0;;
2305;Total dwellings;Heemskerk;2014;1150.0;2950.0;;
2306;Total dwellings;Heemskerk;2015;1220.0;2890.0;;
2307;Total dwellings;Heemskerk;2016;1270.0;2810.0;;
2308;Total dwellings;Heemskerk;2017;1210.0;2750.0;;
2309;Total dwellings;Heemskerk;2018;1230.0;2660.0;;
2310;Total dwellings;Heemskerk;2019;1140.0;2620.0;;
2311;Total dwellings;Heemskerk;2020;1080.0;2620.0;;
2312;Total dwellings;Heemskerk;2021;1220.0;2660.0;2270.0;
2313;Total dwellings;Heemskerk;2022;940.0;2480.0;2000.0;
2314;Total dwellings;Heemstede;2010;2350.0;3400.0;;
2315;Total dwellings;Heemstede;2011;1800.0;3350.0;;
2316;Total dwellings;Heemstede;2012;1850.0;3300.0;;
2317;Total dwellings;Heemstede;2013;2050.0;3300.0;;
2318;Total dwellings;Heemstede;2014;1550.0;3150.0;;
2319;Total dwellings;Heemstede;2015;1620.0;3160.0;;
2320;Total dwellings;Heemstede;2016;1710.0;3070.0;;
2321;Total dwellings;Heemstede;2017;1640.0;2990.0;;
2322;Total dwellings;Heemstede;2018;1640.0;3000.0;;
2323;Total dwellings;Heemstede;2019;1520.0;2930.0;;
2324;Total dwellings;Heemstede;2020;1440.0;2930.0;;
2325;Total dwellings;Heemstede;2021;1640.0;3000.0;2800.0;
2326;Total dwellings;Heemstede;2022;1270.0;2800.0;2500.0;
2327;Total dwellings;Heerde;2010;2350.0;3600.0;;
2328;Total dwellings;Heerde;2011;1900.0;3700.0;;
2329;Total dwellings;Heerde;2012;2000.0;3550.0;;
2330;Total dwellings;Heerde;2013;2100.0;3500.0;;
2331;Total dwellings;Heerde;2014;1550.0;3450.0;;
2332;Total dwellings;Heerde;2015;1640.0;3270.0;;
2333;Total dwellings;Heerde;2016;1720.0;3230.0;;
2334;Total dwellings;Heerde;2017;1670.0;3150.0;;
2335;Total dwellings;Heerde;2018;1670.0;3030.0;;
2336;Total dwellings;Heerde;2019;1540.0;3070.0;;
2337;Total dwellings;Heerde;2020;1440.0;3090.0;;
2338;Total dwellings;Heerde;2021;1610.0;3170.0;2720.0;
2339;Total dwellings;Heerde;2022;1260.0;2990.0;2400.0;
2340;Total dwellings;Heerenveen;2010;2050.0;3100.0;;
2341;Total dwellings;Heerenveen;2011;1600.0;3100.0;;
2342;Total dwellings;Heerenveen;2012;1750.0;3050.0;;
2343;Total dwellings;Heerenveen;2013;1800.0;2950.0;;
2344;Total dwellings;Heerenveen;2014;1350.0;2850.0;;
2345;Total dwellings;Heerenveen;2015;1430.0;2800.0;;
2346;Total dwellings;Heerenveen;2016;1510.0;2700.0;;
2347;Total dwellings;Heerenveen;2017;1430.0;2630.0;;
2348;Total dwellings;Heerenveen;2018;1440.0;2540.0;;
2349;Total dwellings;Heerenveen;2019;1330.0;2600.0;;
2350;Total dwellings;Heerenveen;2020;1280.0;2680.0;;
2351;Total dwellings;Heerenveen;2021;1410.0;2740.0;2290.0;
2352;Total dwellings;Heerenveen;2022;1110.0;2590.0;2000.0;
2353;Total dwellings;Heerhugowaard;2010;1600.0;3500.0;;10.0
2354;Total dwellings;Heerhugowaard;2011;1250.0;3500.0;;10.0
2355;Total dwellings;Heerhugowaard;2012;1300.0;3350.0;;9.9
2356;Total dwellings;Heerhugowaard;2013;1400.0;3250.0;;10.1
2357;Total dwellings;Heerhugowaard;2014;1050.0;3150.0;;9.7
2358;Total dwellings;Heerhugowaard;2015;1110.0;3050.0;;9.9
2359;Total dwellings;Heerhugowaard;2016;1140.0;2950.0;;9.7
2360;Total dwellings;Heerhugowaard;2017;1090.0;2890.0;;9.6
2361;Total dwellings;Heerhugowaard;2018;1090.0;2760.0;;
2362;Total dwellings;Heerhugowaard;2019;1010.0;2860.0;;9.3
2363;Total dwellings;Heerhugowaard;2020;960.0;2880.0;;11.3
2364;Total dwellings;Heerhugowaard;2021;1040.0;2940.0;2450.0;11.6
2365;Total dwellings;Heerhugowaard;2022;;;;
2366;Total dwellings;Heerlen;2010;1850.0;3100.0;;
2367;Total dwellings;Heerlen;2011;1400.0;3050.0;;
2368;Total dwellings;Heerlen;2012;1500.0;3050.0;;
2369;Total dwellings;Heerlen;2013;1600.0;3000.0;;
2370;Total dwellings;Heerlen;2014;1200.0;2900.0;;
2371;Total dwellings;Heerlen;2015;1260.0;2840.0;;3.9
2372;Total dwellings;Heerlen;2016;1320.0;2800.0;;3.9
2373;Total dwellings;Heerlen;2017;1270.0;2770.0;;3.6
2374;Total dwellings;Heerlen;2018;1250.0;2670.0;;
2375;Total dwellings;Heerlen;2019;1170.0;2590.0;;3.3
2376;Total dwellings;Heerlen;2020;1100.0;2580.0;;3.7
2377;Total dwellings;Heerlen;2021;1240.0;2610.0;2340.0;3.6
2378;Total dwellings;Heerlen;2022;980.0;2510.0;2170.0;
2379;Total dwellings;Heeze-Leende;2010;2500.0;4100.0;;
2380;Total dwellings;Heeze-Leende;2011;2000.0;4000.0;;
2381;Total dwellings;Heeze-Leende;2012;2000.0;4000.0;;
2382;Total dwellings;Heeze-Leende;2013;2150.0;3950.0;;
2383;Total dwellings;Heeze-Leende;2014;1600.0;3800.0;;
2384;Total dwellings;Heeze-Leende;2015;1760.0;3740.0;;
2385;Total dwellings;Heeze-Leende;2016;1800.0;3650.0;;
2386;Total dwellings;Heeze-Leende;2017;1740.0;3550.0;;
2387;Total dwellings;Heeze-Leende;2018;1750.0;3470.0;;
2388;Total dwellings;Heeze-Leende;2019;1630.0;3390.0;;
2389;Total dwellings;Heeze-Leende;2020;1510.0;3400.0;;
2390;Total dwellings;Heeze-Leende;2021;1710.0;3430.0;2810.0;
2391;Total dwellings;Heeze-Leende;2022;1350.0;3230.0;2360.0;
2392;Total dwellings;Heiloo;2010;2200.0;3450.0;;
2393;Total dwellings;Heiloo;2011;1750.0;3450.0;;
2394;Total dwellings;Heiloo;2012;1850.0;3400.0;;
2395;Total dwellings;Heiloo;2013;1900.0;3300.0;;
2396;Total dwellings;Heiloo;2014;1450.0;3200.0;;
2397;Total dwellings;Heiloo;2015;1510.0;3040.0;;
2398;Total dwellings;Heiloo;2016;1590.0;2990.0;;
2399;Total dwellings;Heiloo;2017;1500.0;3000.0;;
2400;Total dwellings;Heiloo;2018;1530.0;2840.0;;
2401;Total dwellings;Heiloo;2019;1420.0;2820.0;;
2402;Total dwellings;Heiloo;2020;1310.0;2810.0;;
2403;Total dwellings;Heiloo;2021;1480.0;2860.0;2370.0;
2404;Total dwellings;Heiloo;2022;1140.0;2660.0;2070.0;
2405;Total dwellings;Den Helder;2010;1750.0;2950.0;;
2406;Total dwellings;Den Helder;2011;1400.0;2950.0;;
2407;Total dwellings;Den Helder;2012;1500.0;2900.0;;
2408;Total dwellings;Den Helder;2013;1600.0;2800.0;;
2409;Total dwellings;Den Helder;2014;1200.0;2650.0;;
2410;Total dwellings;Den Helder;2015;1260.0;2620.0;;
2411;Total dwellings;Den Helder;2016;1320.0;2540.0;;
2412;Total dwellings;Den Helder;2017;1230.0;2470.0;;
2413;Total dwellings;Den Helder;2018;1270.0;2400.0;;
2414;Total dwellings;Den Helder;2019;1180.0;2380.0;;
2415;Total dwellings;Den Helder;2020;1120.0;2400.0;;
2416;Total dwellings;Den Helder;2021;1270.0;2420.0;2110.0;
2417;Total dwellings;Den Helder;2022;980.0;2240.0;1840.0;
2418;Total dwellings;Hellendoorn;2010;2300.0;3700.0;;
2419;Total dwellings;Hellendoorn;2011;1800.0;3650.0;;
2420;Total dwellings;Hellendoorn;2012;1850.0;3600.0;;
2421;Total dwellings;Hellendoorn;2013;1950.0;3550.0;;
2422;Total dwellings;Hellendoorn;2014;1500.0;3400.0;;
2423;Total dwellings;Hellendoorn;2015;1570.0;3300.0;;
2424;Total dwellings;Hellendoorn;2016;1670.0;3250.0;;
2425;Total dwellings;Hellendoorn;2017;1600.0;3210.0;;
2426;Total dwellings;Hellendoorn;2018;1610.0;3180.0;;
2427;Total dwellings;Hellendoorn;2019;1480.0;3090.0;;
2428;Total dwellings;Hellendoorn;2020;1380.0;3110.0;;
2429;Total dwellings;Hellendoorn;2021;1550.0;3150.0;2650.0;
2430;Total dwellings;Hellendoorn;2022;1210.0;2970.0;2260.0;
2431;Total dwellings;Hellevoetsluis;2010;1650.0;3600.0;;
2432;Total dwellings;Hellevoetsluis;2011;1300.0;3550.0;;
2433;Total dwellings;Hellevoetsluis;2012;1350.0;3500.0;;
2434;Total dwellings;Hellevoetsluis;2013;1450.0;3450.0;;
2435;Total dwellings;Hellevoetsluis;2014;1100.0;3300.0;;
2436;Total dwellings;Hellevoetsluis;2015;1150.0;3220.0;;
2437;Total dwellings;Hellevoetsluis;2016;1180.0;3150.0;;
2438;Total dwellings;Hellevoetsluis;2017;1130.0;3110.0;;
2439;Total dwellings;Hellevoetsluis;2018;1170.0;3070.0;;
2440;Total dwellings;Hellevoetsluis;2019;1070.0;2980.0;;
2441;Total dwellings;Hellevoetsluis;2020;1030.0;2960.0;;
2442;Total dwellings;Hellevoetsluis;2021;1150.0;2990.0;2700.0;
2443;Total dwellings;Hellevoetsluis;2022;880.0;2800.0;2380.0;
2444;Total dwellings;Helmond;2010;1500.0;3500.0;;17.0
2445;Total dwellings;Helmond;2011;1150.0;3450.0;;17.0
2446;Total dwellings;Helmond;2012;1200.0;3400.0;;16.4
2447;Total dwellings;Helmond;2013;1350.0;3400.0;;16.5
2448;Total dwellings;Helmond;2014;1000.0;3250.0;;16.0
2449;Total dwellings;Helmond;2015;1050.0;3200.0;;16.0
2450;Total dwellings;Helmond;2016;1100.0;3170.0;;15.9
2451;Total dwellings;Helmond;2017;1060.0;3150.0;;15.7
2452;Total dwellings;Helmond;2018;1090.0;3040.0;;
2453;Total dwellings;Helmond;2019;1040.0;2960.0;;15.5
2454;Total dwellings;Helmond;2020;970.0;2960.0;;15.7
2455;Total dwellings;Helmond;2021;1090.0;2950.0;2600.0;15.5
2456;Total dwellings;Helmond;2022;870.0;2770.0;2310.0;14.9
2457;Total dwellings;Hendrik-Ido-Ambacht;2010;1800.0;3450.0;;
2458;Total dwellings;Hendrik-Ido-Ambacht;2011;1350.0;3400.0;;
2459;Total dwellings;Hendrik-Ido-Ambacht;2012;1450.0;3400.0;;
2460;Total dwellings;Hendrik-Ido-Ambacht;2013;1500.0;3350.0;;
2461;Total dwellings;Hendrik-Ido-Ambacht;2014;1150.0;3250.0;;
2462;Total dwellings;Hendrik-Ido-Ambacht;2015;1220.0;3260.0;;
2463;Total dwellings;Hendrik-Ido-Ambacht;2016;1240.0;3190.0;;
2464;Total dwellings;Hendrik-Ido-Ambacht;2017;1190.0;3090.0;;
2465;Total dwellings;Hendrik-Ido-Ambacht;2018;1180.0;3030.0;;
2466;Total dwellings;Hendrik-Ido-Ambacht;2019;1080.0;2950.0;;
2467;Total dwellings;Hendrik-Ido-Ambacht;2020;1030.0;2960.0;;
2468;Total dwellings;Hendrik-Ido-Ambacht;2021;1160.0;3040.0;2740.0;
2469;Total dwellings;Hendrik-Ido-Ambacht;2022;890.0;2850.0;2400.0;
2470;Total dwellings;Hengelo (O.);2010;2000.0;3350.0;;
2471;Total dwellings;Hengelo (O.);2011;1600.0;3350.0;;
2472;Total dwellings;Hengelo (O.);2012;1750.0;3350.0;;
2473;Total dwellings;Hengelo (O.);2013;1800.0;3300.0;;
2474;Total dwellings;Hengelo (O.);2014;1250.0;3150.0;;
2475;Total dwellings;Hengelo (O.);2015;1360.0;3070.0;;
2476;Total dwellings;Hengelo (O.);2016;1410.0;3030.0;;
2477;Total dwellings;Hengelo (O.);2017;1370.0;2970.0;;
2478;Total dwellings;Hengelo (O.);2018;1350.0;2830.0;;
2479;Total dwellings;Hengelo (O.);2019;1220.0;2740.0;;
2480;Total dwellings;Hengelo (O.);2020;1160.0;2760.0;;
2481;Total dwellings;Hengelo (O.);2021;1330.0;2790.0;2500.0;
2482;Total dwellings;Hengelo (O.);2022;1040.0;2630.0;2210.0;
2483;Total dwellings;'s-Hertogenbosch;2010;1800.0;3300.0;;
2484;Total dwellings;'s-Hertogenbosch;2011;1350.0;3250.0;;
2485;Total dwellings;'s-Hertogenbosch;2012;1450.0;3200.0;;
2486;Total dwellings;'s-Hertogenbosch;2013;1550.0;3200.0;;
2487;Total dwellings;'s-Hertogenbosch;2014;1100.0;3100.0;;
2488;Total dwellings;'s-Hertogenbosch;2015;1210.0;3070.0;;
2489;Total dwellings;'s-Hertogenbosch;2016;1260.0;3030.0;;
2490;Total dwellings;'s-Hertogenbosch;2017;1220.0;3020.0;;
2491;Total dwellings;'s-Hertogenbosch;2018;1220.0;2910.0;;
2492;Total dwellings;'s-Hertogenbosch;2019;1140.0;2830.0;;
2493;Total dwellings;'s-Hertogenbosch;2020;1070.0;2830.0;;
2494;Total dwellings;'s-Hertogenbosch;2021;1200.0;2870.0;2590.0;
2495;Total dwellings;'s-Hertogenbosch;2022;940.0;2700.0;2300.0;
2496;Total dwellings;Heumen;2010;2300.0;3900.0;;
2497;Total dwellings;Heumen;2011;1800.0;3900.0;;
2498;Total dwellings;Heumen;2012;1850.0;3800.0;;
2499;Total dwellings;Heumen;2013;2000.0;3700.0;;
2500;Total dwellings;Heumen;2014;1450.0;3550.0;;
2501;Total dwellings;Heumen;2015;1590.0;3460.0;;
2502;Total dwellings;Heumen;2016;1640.0;3300.0;;
2503;Total dwellings;Heumen;2017;1590.0;3210.0;;
2504;Total dwellings;Heumen;2018;1570.0;3090.0;;
2505;Total dwellings;Heumen;2019;1470.0;3090.0;;
2506;Total dwellings;Heumen;2020;1360.0;3080.0;;
2507;Total dwellings;Heumen;2021;1550.0;3120.0;2500.0;
2508;Total dwellings;Heumen;2022;1220.0;2950.0;2160.0;
2509;Total dwellings;Heusden;2010;2200.0;3900.0;;
2510;Total dwellings;Heusden;2011;1650.0;3900.0;;
2511;Total dwellings;Heusden;2012;1750.0;3800.0;;
2512;Total dwellings;Heusden;2013;1900.0;3750.0;;
2513;Total dwellings;Heusden;2014;1400.0;3650.0;;
2514;Total dwellings;Heusden;2015;1500.0;3550.0;;
2515;Total dwellings;Heusden;2016;1510.0;3520.0;;
2516;Total dwellings;Heusden;2017;1490.0;3450.0;;
2517;Total dwellings;Heusden;2018;1490.0;3370.0;;
2518;Total dwellings;Heusden;2019;1410.0;3280.0;;
2519;Total dwellings;Heusden;2020;1320.0;3240.0;;
2520;Total dwellings;Heusden;2021;1470.0;3310.0;2890.0;
2521;Total dwellings;Heusden;2022;1150.0;3120.0;2550.0;
2522;Total dwellings;Hillegom;2010;1800.0;3250.0;;
2523;Total dwellings;Hillegom;2011;1450.0;3300.0;;
2524;Total dwellings;Hillegom;2012;1500.0;3250.0;;
2525;Total dwellings;Hillegom;2013;1600.0;3200.0;;
2526;Total dwellings;Hillegom;2014;1250.0;3150.0;;
2527;Total dwellings;Hillegom;2015;1380.0;3060.0;;
2528;Total dwellings;Hillegom;2016;1350.0;2990.0;;
2529;Total dwellings;Hillegom;2017;1280.0;2960.0;;
2530;Total dwellings;Hillegom;2018;1240.0;2870.0;;
2531;Total dwellings;Hillegom;2019;1160.0;2840.0;;
2532;Total dwellings;Hillegom;2020;1110.0;2840.0;;
2533;Total dwellings;Hillegom;2021;1240.0;2880.0;2580.0;
2534;Total dwellings;Hillegom;2022;970.0;2690.0;2300.0;
2535;Total dwellings;Hilvarenbeek;2010;2450.0;4150.0;;
2536;Total dwellings;Hilvarenbeek;2011;1850.0;4100.0;;
2537;Total dwellings;Hilvarenbeek;2012;2000.0;4000.0;;
2538;Total dwellings;Hilvarenbeek;2013;2150.0;4000.0;;
2539;Total dwellings;Hilvarenbeek;2014;1550.0;3750.0;;
2540;Total dwellings;Hilvarenbeek;2015;1680.0;3680.0;;
2541;Total dwellings;Hilvarenbeek;2016;1710.0;3630.0;;
2542;Total dwellings;Hilvarenbeek;2017;1650.0;3550.0;;
2543;Total dwellings;Hilvarenbeek;2018;1660.0;3490.0;;
2544;Total dwellings;Hilvarenbeek;2019;1550.0;3380.0;;
2545;Total dwellings;Hilvarenbeek;2020;1450.0;3420.0;;
2546;Total dwellings;Hilvarenbeek;2021;1620.0;3440.0;2930.0;
2547;Total dwellings;Hilvarenbeek;2022;1280.0;3240.0;2540.0;
2548;Total dwellings;Hilversum;2010;2100.0;3050.0;;
2549;Total dwellings;Hilversum;2011;1700.0;3100.0;;
2550;Total dwellings;Hilversum;2012;1750.0;3000.0;;
2551;Total dwellings;Hilversum;2013;1900.0;2950.0;;
2552;Total dwellings;Hilversum;2014;1400.0;2900.0;;
2553;Total dwellings;Hilversum;2015;1450.0;2850.0;;
2554;Total dwellings;Hilversum;2016;1490.0;2780.0;;
2555;Total dwellings;Hilversum;2017;1430.0;2730.0;;
2556;Total dwellings;Hilversum;2018;1450.0;2640.0;;
2557;Total dwellings;Hilversum;2019;1340.0;2590.0;;
2558;Total dwellings;Hilversum;2020;1240.0;2620.0;;
2559;Total dwellings;Hilversum;2021;1420.0;2700.0;2550.0;
2560;Total dwellings;Hilversum;2022;1110.0;2550.0;2350.0;
2561;Total dwellings;Hoeksche Waard;2010;;;;
2562;Total dwellings;Hoeksche Waard;2011;;;;
2563;Total dwellings;Hoeksche Waard;2012;;;;
2564;Total dwellings;Hoeksche Waard;2013;;;;
2565;Total dwellings;Hoeksche Waard;2014;;;;
2566;Total dwellings;Hoeksche Waard;2015;;;;
2567;Total dwellings;Hoeksche Waard;2016;;;;
2568;Total dwellings;Hoeksche Waard;2017;;;;
2569;Total dwellings;Hoeksche Waard;2018;;;;
2570;Total dwellings;Hoeksche Waard;2019;1230.0;3000.0;;
2571;Total dwellings;Hoeksche Waard;2020;1180.0;3010.0;;
2572;Total dwellings;Hoeksche Waard;2021;1330.0;3080.0;2670.0;
2573;Total dwellings;Hoeksche Waard;2022;1010.0;2880.0;2270.0;
2574;Total dwellings;Hof van Twente;2010;2400.0;3800.0;;
2575;Total dwellings;Hof van Twente;2011;2100.0;3800.0;;
2576;Total dwellings;Hof van Twente;2012;2200.0;3800.0;;
2577;Total dwellings;Hof van Twente;2013;2400.0;3700.0;;
