ID;TypeOfBuilding;BuildingPhase;Periods;BuildingCosts_1
1636;Dwellings;Building projects not yet started;2020 October;2184.0
1637;Dwellings;Building projects not yet started;2020 November;1865.0
1638;Dwellings;Building projects not yet started;2020 December;2272.0
1639;Dwellings;Building projects not yet started;2020 4th quarter;2272.0
1640;Dwellings;Building projects not yet started;2020;2272.0
1641;Dwellings;Building projects not yet started;2021 January;1873.0
1642;Dwellings;Building projects not yet started;2021 February;1983.0
1643;Dwellings;Building projects not yet started;2021 March;2645.0
1644;Dwellings;Building projects not yet started;2021 1st quarter;2645.0
1645;Dwellings;Building projects not yet started;2021 April;2642.0
1646;Dwellings;Building projects not yet started;2021 May;2187.0
1647;Dwellings;Building projects not yet started;2021 June;2119.0
1648;Dwellings;Building projects not yet started;2021 2nd quarter;2119.0
1649;Dwellings;Building projects not yet started;2021 July;2234.0
1650;Dwellings;Building projects not yet started;2021 August;1659.0
1651;Dwellings;Building projects not yet started;2021 September;1934.0
1652;Dwellings;Building projects not yet started;2021 3rd quarter;1934.0
1653;Dwellings;Building projects not yet started;2021 October;2090.0
1654;Dwellings;Building projects not yet started;2021 November;2175.0
1655;Dwellings;Building projects not yet started;2021 December;2138.0
1656;Dwellings;Building projects not yet started;2021 4th quarter;2138.0
1657;Dwellings;Building projects not yet started;2021;2138.0
1658;Dwellings;Building projects not yet started;2022 January;1804.0
1659;Dwellings;Building projects not yet started;2022 February;1664.0
1660;Dwellings;Building projects not yet started;2022 March;2286.0
1661;Dwellings;Building projects not yet started;2022 1st quarter;2286.0
1662;Dwellings;Building projects not yet started;2022 April;1925.0
1663;Dwellings;Building projects not yet started;2022 May;1836.0
1664;Dwellings;Building projects not yet started;2022 June;2079.0
1665;Dwellings;Building projects not yet started;2022 2nd quarter;2079.0
1666;Dwellings;Building projects not yet started;2022 July;2281.0
1667;Dwellings;Building projects not yet started;2022 August;1661.0
1668;Dwellings;Building projects not yet started;2022 September;2018.0
1669;Dwellings;Building projects not yet started;2022 3rd quarter;2018.0
1670;Dwellings;Building projects not yet started;2022 October;2227.0
1671;Dwellings;Building projects not yet started;2022 November;1820.0
1672;Dwellings;Building projects not yet started;2022 December;1693.0
1673;Dwellings;Building projects not yet started;2022 4th quarter;1693.0
1674;Dwellings;Building projects not yet started;2022;1693.0
1675;Dwellings;Building projects not yet started;2023 January;1465.0
1676;Dwellings;Building projects not yet started;2023 February;1586.0
1677;Dwellings;Building projects not yet started;2023 March;1731.0
1678;Dwellings;Building projects not yet started;2023 1st quarter;1731.0
1679;Dwellings;Building projects not yet started;2023 April;1975.0
1680;Dwellings;Building projects not yet started;2023 May;1544.0
1681;Dwellings;Building projects not yet started;2023 June;1866.0
1682;Dwellings;Building projects not yet started;2023 2nd quarter;1866.0
1683;Dwellings;Building projects not yet started;2023 July;1705.0
1684;Dwellings;Building projects not yet started;2023 August;1424.0
1685;Dwellings;Building projects not yet started;2023 September;1575.0
1686;Dwellings;Building projects not yet started;2023 3rd quarter;1575.0
1687;Dwellings;Building projects not yet started;2023 October;2008.0
1688;Dwellings;Building projects not yet started;2023 November;1819.0
1689;Dwellings;Building projects not yet started;2023 December;1598.0
1690;Dwellings;Building projects not yet started;2023 4th quarter;1598.0
1691;Dwellings;Building projects not yet started;2023;1598.0
1692;Dwellings;Building projects not yet started;2024 January;1367.0
1693;Dwellings;Building projects not yet started;2024 February;2009.0
1694;Dwellings;Building projects not yet started;2024 March;2361.0
1695;Dwellings;Building projects not yet started;2024 1st quarter;2361.0
1696;Dwellings;Building projects not yet started;2024 April;2263.0
1697;Dwellings;Building projects not yet started;2024 May;2491.0
1698;Dwellings;Building projects not yet started;2024 June;1968.0
1699;Dwellings;Building projects not yet started;2024 2nd quarter;1968.0
1700;Dwellings;Building projects not yet started;2024 July;2215.0
1701;Dwellings;Building projects not yet started;2024 August;1392.0
1702;Dwellings;Building projects not yet started;2024 September;1369.0
1703;Dwellings;Building projects not yet started;2024 3rd quarter;1369.0
1704;Dwellings;Building projects not yet started;2024 October;1982.0
1705;Dwellings;Building projects not yet started;2024 November;2050.0
1706;Dwellings;Building projects not yet started;2024 December;2171.0
1707;Dwellings;Building projects not yet started;2024 4th quarter;2171.0
1708;Dwellings;Building projects not yet started;2024;2171.0
1709;Dwellings;Building projects not yet started;2025 January;1494.0
1710;Dwellings;Building projects under construction;2015 January;7201.0
1711;Dwellings;Building projects under construction;2015 February;7181.0
1712;Dwellings;Building projects under construction;2015 March;7159.0
1713;Dwellings;Building projects under construction;2015 1st quarter;7159.0
1714;Dwellings;Building projects under construction;2015 April;7511.0
1715;Dwellings;Building projects under construction;2015 May;8140.0
1716;Dwellings;Building projects under construction;2015 June;8504.0
1717;Dwellings;Building projects under construction;2015 2nd quarter;8504.0
1718;Dwellings;Building projects under construction;2015 July;8590.0
1719;Dwellings;Building projects under construction;2015 August;9058.0
1720;Dwellings;Building projects under construction;2015 September;9016.0
1721;Dwellings;Building projects under construction;2015 3rd quarter;9016.0
1722;Dwellings;Building projects under construction;2015 October;9026.0
1723;Dwellings;Building projects under construction;2015 November;8961.0
1724;Dwellings;Building projects under construction;2015 December;9007.0
1725;Dwellings;Building projects under construction;2015 4th quarter;9007.0
1726;Dwellings;Building projects under construction;2015;9007.0
1727;Dwellings;Building projects under construction;2016 January;8956.0
1728;Dwellings;Building projects under construction;2016 February;8978.0
1729;Dwellings;Building projects under construction;2016 March;8924.0
1730;Dwellings;Building projects under construction;2016 1st quarter;8924.0
1731;Dwellings;Building projects under construction;2016 April;8855.0
1732;Dwellings;Building projects under construction;2016 May;8917.0
1733;Dwellings;Building projects under construction;2016 June;8806.0
1734;Dwellings;Building projects under construction;2016 2nd quarter;8806.0
1735;Dwellings;Building projects under construction;2016 July;8866.0
1736;Dwellings;Building projects under construction;2016 August;9279.0
1737;Dwellings;Building projects under construction;2016 September;9321.0
1738;Dwellings;Building projects under construction;2016 3rd quarter;9321.0
1739;Dwellings;Building projects under construction;2016 October;9447.0
1740;Dwellings;Building projects under construction;2016 November;9503.0
1741;Dwellings;Building projects under construction;2016 December;9716.0
1742;Dwellings;Building projects under construction;2016 4th quarter;9716.0
1743;Dwellings;Building projects under construction;2016;9716.0
1744;Dwellings;Building projects under construction;2017 January;10136.0
1745;Dwellings;Building projects under construction;2017 February;10328.0
1746;Dwellings;Building projects under construction;2017 March;10357.0
1747;Dwellings;Building projects under construction;2017 1st quarter;10357.0
1748;Dwellings;Building projects under construction;2017 April;10616.0
1749;Dwellings;Building projects under construction;2017 May;11057.0
1750;Dwellings;Building projects under construction;2017 June;11218.0
1751;Dwellings;Building projects under construction;2017 2nd quarter;11218.0
1752;Dwellings;Building projects under construction;2017 July;11381.0
1753;Dwellings;Building projects under construction;2017 August;12179.0
1754;Dwellings;Building projects under construction;2017 September;12258.0
1755;Dwellings;Building projects under construction;2017 3rd quarter;12258.0
1756;Dwellings;Building projects under construction;2017 October;12293.0
1757;Dwellings;Building projects under construction;2017 November;12606.0
1758;Dwellings;Building projects under construction;2017 December;13113.0
1759;Dwellings;Building projects under construction;2017 4th quarter;13113.0
1760;Dwellings;Building projects under construction;2017;13113.0
1761;Dwellings;Building projects under construction;2018 January;13183.0
1762;Dwellings;Building projects under construction;2018 February;13225.0
1763;Dwellings;Building projects under construction;2018 March;13421.0
1764;Dwellings;Building projects under construction;2018 1st quarter;13421.0
1765;Dwellings;Building projects under construction;2018 April;13424.0
1766;Dwellings;Building projects under construction;2018 May;13569.0
1767;Dwellings;Building projects under construction;2018 June;13369.0
1768;Dwellings;Building projects under construction;2018 2nd quarter;13369.0
1769;Dwellings;Building projects under construction;2018 July;13480.0
1770;Dwellings;Building projects under construction;2018 August;14103.0
1771;Dwellings;Building projects under construction;2018 September;14197.0
1772;Dwellings;Building projects under construction;2018 3rd quarter;14197.0
1773;Dwellings;Building projects under construction;2018 October;14203.0
1774;Dwellings;Building projects under construction;2018 November;14612.0
1775;Dwellings;Building projects under construction;2018 December;15141.0
1776;Dwellings;Building projects under construction;2018 4th quarter;15141.0
1777;Dwellings;Building projects under construction;2018;15141.0
1778;Dwellings;Building projects under construction;2019 January;15334.0
1779;Dwellings;Building projects under construction;2019 February;15490.0
1780;Dwellings;Building projects under construction;2019 March;15191.0
1781;Dwellings;Building projects under construction;2019 1st quarter;15191.0
1782;Dwellings;Building projects under construction;2019 April;15078.0
1783;Dwellings;Building projects under construction;2019 May;15130.0
1784;Dwellings;Building projects under construction;2019 June;15096.0
1785;Dwellings;Building projects under construction;2019 2nd quarter;15096.0
1786;Dwellings;Building projects under construction;2019 July;14786.0
1787;Dwellings;Building projects under construction;2019 August;15492.0
1788;Dwellings;Building projects under construction;2019 September;15294.0
1789;Dwellings;Building projects under construction;2019 3rd quarter;15294.0
1790;Dwellings;Building projects under construction;2019 October;14971.0
1791;Dwellings;Building projects under construction;2019 November;15124.0
1792;Dwellings;Building projects under construction;2019 December;15634.0
1793;Dwellings;Building projects under construction;2019 4th quarter;15634.0
1794;Dwellings;Building projects under construction;2019;15634.0
1795;Dwellings;Building projects under construction;2020 January;15653.0
1796;Dwellings;Building projects under construction;2020 February;15828.0
1797;Dwellings;Building projects under construction;2020 March;15709.0
1798;Dwellings;Building projects under construction;2020 1st quarter;15709.0
1799;Dwellings;Building projects under construction;2020 April;15966.0
1800;Dwellings;Building projects under construction;2020 May;15967.0
1801;Dwellings;Building projects under construction;2020 June;16183.0
1802;Dwellings;Building projects under construction;2020 2nd quarter;16183.0
1803;Dwellings;Building projects under construction;2020 July;16430.0
1804;Dwellings;Building projects under construction;2020 August;16783.0
1805;Dwellings;Building projects under construction;2020 September;16718.0
1806;Dwellings;Building projects under construction;2020 3rd quarter;16718.0
1807;Dwellings;Building projects under construction;2020 October;16841.0
1808;Dwellings;Building projects under construction;2020 November;17139.0
1809;Dwellings;Building projects under construction;2020 December;17605.0
1810;Dwellings;Building projects under construction;2020 4th quarter;17605.0
1811;Dwellings;Building projects under construction;2020;17605.0
1812;Dwellings;Building projects under construction;2021 January;17990.0
1813;Dwellings;Building projects under construction;2021 February;18331.0
1814;Dwellings;Building projects under construction;2021 March;17951.0
1815;Dwellings;Building projects under construction;2021 1st quarter;17951.0
1816;Dwellings;Building projects under construction;2021 April;18579.0
1817;Dwellings;Building projects under construction;2021 May;19293.0
1818;Dwellings;Building projects under construction;2021 June;19547.0
1819;Dwellings;Building projects under construction;2021 2nd quarter;19547.0
1820;Dwellings;Building projects under construction;2021 July;19828.0
1821;Dwellings;Building projects under construction;2021 August;20622.0
1822;Dwellings;Building projects under construction;2021 September;20433.0
1823;Dwellings;Building projects under construction;2021 3rd quarter;20433.0
1824;Dwellings;Building projects under construction;2021 October;20544.0
1825;Dwellings;Building projects under construction;2021 November;20327.0
1826;Dwellings;Building projects under construction;2021 December;20731.0
1827;Dwellings;Building projects under construction;2021 4th quarter;20731.0
1828;Dwellings;Building projects under construction;2021;20731.0
1829;Dwellings;Building projects under construction;2022 January;20873.0
1830;Dwellings;Building projects under construction;2022 February;20895.0
1831;Dwellings;Building projects under construction;2022 March;20718.0
1832;Dwellings;Building projects under construction;2022 1st quarter;20718.0
1833;Dwellings;Building projects under construction;2022 April;20937.0
1834;Dwellings;Building projects under construction;2022 May;20888.0
1835;Dwellings;Building projects under construction;2022 June;20914.0
1836;Dwellings;Building projects under construction;2022 2nd quarter;20914.0
1837;Dwellings;Building projects under construction;2022 July;21136.0
1838;Dwellings;Building projects under construction;2022 August;21774.0
1839;Dwellings;Building projects under construction;2022 September;21404.0
1840;Dwellings;Building projects under construction;2022 3rd quarter;21404.0
1841;Dwellings;Building projects under construction;2022 October;21307.0
1842;Dwellings;Building projects under construction;2022 November;21412.0
1843;Dwellings;Building projects under construction;2022 December;21697.0
1844;Dwellings;Building projects under construction;2022 4th quarter;21697.0
1845;Dwellings;Building projects under construction;2022;21697.0
1846;Dwellings;Building projects under construction;2023 January;21693.0
1847;Dwellings;Building projects under construction;2023 February;21527.0
1848;Dwellings;Building projects under construction;2023 March;21335.0
1849;Dwellings;Building projects under construction;2023 1st quarter;21335.0
1850;Dwellings;Building projects under construction;2023 April;21390.0
1851;Dwellings;Building projects under construction;2023 May;21804.0
1852;Dwellings;Building projects under construction;2023 June;21522.0
1853;Dwellings;Building projects under construction;2023 2nd quarter;21522.0
1854;Dwellings;Building projects under construction;2023 July;21693.0
1855;Dwellings;Building projects under construction;2023 August;21856.0
1856;Dwellings;Building projects under construction;2023 September;21768.0
1857;Dwellings;Building projects under construction;2023 3rd quarter;21768.0
1858;Dwellings;Building projects under construction;2023 October;21619.0
1859;Dwellings;Building projects under construction;2023 November;21639.0
1860;Dwellings;Building projects under construction;2023 December;21808.0
1861;Dwellings;Building projects under construction;2023 4th quarter;21808.0
1862;Dwellings;Building projects under construction;2023;21808.0
1863;Dwellings;Building projects under construction;2024 January;21708.0
1864;Dwellings;Building projects under construction;2024 February;21477.0
1865;Dwellings;Building projects under construction;2024 March;21936.0
1866;Dwellings;Building projects under construction;2024 1st quarter;21936.0
1867;Dwellings;Building projects under construction;2024 April;22070.0
1868;Dwellings;Building projects under construction;2024 May;22236.0
1869;Dwellings;Building projects under construction;2024 June;22985.0
1870;Dwellings;Building projects under construction;2024 2nd quarter;22985.0
1871;Dwellings;Building projects under construction;2024 July;23010.0
1872;Dwellings;Building projects under construction;2024 August;23596.0
1873;Dwellings;Building projects under construction;2024 September;23291.0
1874;Dwellings;Building projects under construction;2024 3rd quarter;23291.0
1875;Dwellings;Building projects under construction;2024 October;22972.0
1876;Dwellings;Building projects under construction;2024 November;23218.0
1877;Dwellings;Building projects under construction;2024 December;23480.0
1878;Dwellings;Building projects under construction;2024 4th quarter;23480.0
1879;Dwellings;Building projects under construction;2024;23480.0
1880;Dwellings;Building projects under construction;2025 January;23551.0
1881;Dwellings;Production of building projects;2015 January;512.0
1882;Dwellings;Production of building projects;2015 February;512.0
1883;Dwellings;Production of building projects;2015 March;581.0
1884;Dwellings;Production of building projects;2015 1st quarter;1604.0
1885;Dwellings;Production of building projects;2015 April;525.0
1886;Dwellings;Production of building projects;2015 May;509.0
1887;Dwellings;Production of building projects;2015 June;693.0
1888;Dwellings;Production of building projects;2015 2nd quarter;1727.0
1889;Dwellings;Production of building projects;2015 July;554.0
1890;Dwellings;Production of building projects;2015 August;329.0
1891;Dwellings;Production of building projects;2015 September;732.0
1892;Dwellings;Production of building projects;2015 3rd quarter;1614.0
1893;Dwellings;Production of building projects;2015 October;678.0
1894;Dwellings;Production of building projects;2015 November;690.0
1895;Dwellings;Production of building projects;2015 December;512.0
1896;Dwellings;Production of building projects;2015 4th quarter;1880.0
1897;Dwellings;Production of building projects;2015;6826.0
1898;Dwellings;Production of building projects;2016 January;604.0
1899;Dwellings;Production of building projects;2016 February;651.0
1900;Dwellings;Production of building projects;2016 March;633.0
1901;Dwellings;Production of building projects;2016 1st quarter;1888.0
1902;Dwellings;Production of building projects;2016 April;644.0
1903;Dwellings;Production of building projects;2016 May;579.0
1904;Dwellings;Production of building projects;2016 June;694.0
1905;Dwellings;Production of building projects;2016 2nd quarter;1917.0
1906;Dwellings;Production of building projects;2016 July;578.0
1907;Dwellings;Production of building projects;2016 August;291.0
1908;Dwellings;Production of building projects;2016 September;767.0
1909;Dwellings;Production of building projects;2016 3rd quarter;1636.0
1910;Dwellings;Production of building projects;2016 October;651.0
1911;Dwellings;Production of building projects;2016 November;726.0
1912;Dwellings;Production of building projects;2016 December;520.0
1913;Dwellings;Production of building projects;2016 4th quarter;1897.0
1914;Dwellings;Production of building projects;2016;7338.0
1915;Dwellings;Production of building projects;2017 January;497.0
1916;Dwellings;Production of building projects;2017 February;708.0
1917;Dwellings;Production of building projects;2017 March;874.0
1918;Dwellings;Production of building projects;2017 1st quarter;2078.0
1919;Dwellings;Production of building projects;2017 April;673.0
1920;Dwellings;Production of building projects;2017 May;850.0
1921;Dwellings;Production of building projects;2017 June;846.0
1922;Dwellings;Production of building projects;2017 2nd quarter;2369.0
1923;Dwellings;Production of building projects;2017 July;742.0
1924;Dwellings;Production of building projects;2017 August;440.0
1925;Dwellings;Production of building projects;2017 September;920.0
1926;Dwellings;Production of building projects;2017 3rd quarter;2102.0
1927;Dwellings;Production of building projects;2017 October;981.0
1928;Dwellings;Production of building projects;2017 November;965.0
1929;Dwellings;Production of building projects;2017 December;694.0
1930;Dwellings;Production of building projects;2017 4th quarter;2640.0
1931;Dwellings;Production of building projects;2017;9189.0
1932;Dwellings;Production of building projects;2018 January;876.0
1933;Dwellings;Production of building projects;2018 February;770.0
1934;Dwellings;Production of building projects;2018 March;844.0
1935;Dwellings;Production of building projects;2018 1st quarter;2490.0
1936;Dwellings;Production of building projects;2018 April;904.0
1937;Dwellings;Production of building projects;2018 May;952.0
1938;Dwellings;Production of building projects;2018 June;996.0
1939;Dwellings;Production of building projects;2018 2nd quarter;2852.0
1940;Dwellings;Production of building projects;2018 July;918.0
1941;Dwellings;Production of building projects;2018 August;503.0
1942;Dwellings;Production of building projects;2018 September;973.0
1943;Dwellings;Production of building projects;2018 3rd quarter;2394.0
1944;Dwellings;Production of building projects;2018 October;1117.0
1945;Dwellings;Production of building projects;2018 November;1072.0
1946;Dwellings;Production of building projects;2018 December;727.0
1947;Dwellings;Production of building projects;2018 4th quarter;2916.0
1948;Dwellings;Production of building projects;2018;10653.0
1949;Dwellings;Production of building projects;2019 January;929.0
1950;Dwellings;Production of building projects;2019 February;968.0
1951;Dwellings;Production of building projects;2019 March;1019.0
1952;Dwellings;Production of building projects;2019 1st quarter;2917.0
1953;Dwellings;Production of building projects;2019 April;1001.0
1954;Dwellings;Production of building projects;2019 May;1028.0
1955;Dwellings;Production of building projects;2019 June;919.0
1956;Dwellings;Production of building projects;2019 2nd quarter;2947.0
1957;Dwellings;Production of building projects;2019 July;960.0
1958;Dwellings;Production of building projects;2019 August;472.0
1959;Dwellings;Production of building projects;2019 September;1011.0
1960;Dwellings;Production of building projects;2019 3rd quarter;2443.0
1961;Dwellings;Production of building projects;2019 October;1058.0
1962;Dwellings;Production of building projects;2019 November;951.0
1963;Dwellings;Production of building projects;2019 December;698.0
1964;Dwellings;Production of building projects;2019 4th quarter;2707.0
1965;Dwellings;Production of building projects;2019;11014.0
1966;Dwellings;Production of building projects;2020 January;1002.0
1967;Dwellings;Production of building projects;2020 February;894.0
1968;Dwellings;Production of building projects;2020 March;1065.0
1969;Dwellings;Production of building projects;2020 1st quarter;2961.0
1970;Dwellings;Production of building projects;2020 April;929.0
1971;Dwellings;Production of building projects;2020 May;894.0
1972;Dwellings;Production of building projects;2020 June;1042.0
1973;Dwellings;Production of building projects;2020 2nd quarter;2865.0
1974;Dwellings;Production of building projects;2020 July;915.0
1975;Dwellings;Production of building projects;2020 August;534.0
1976;Dwellings;Production of building projects;2020 September;1149.0
1977;Dwellings;Production of building projects;2020 3rd quarter;2599.0
1978;Dwellings;Production of building projects;2020 October;1114.0
1979;Dwellings;Production of building projects;2020 November;1111.0
1980;Dwellings;Production of building projects;2020 December;765.0
1981;Dwellings;Production of building projects;2020 4th quarter;2990.0
1982;Dwellings;Production of building projects;2020;11414.0
1983;Dwellings;Production of building projects;2021 January;1060.0
1984;Dwellings;Production of building projects;2021 February;858.0
1985;Dwellings;Production of building projects;2021 March;1307.0
1986;Dwellings;Production of building projects;2021 1st quarter;3226.0
1987;Dwellings;Production of building projects;2021 April;1066.0
1988;Dwellings;Production of building projects;2021 May;1041.0
1989;Dwellings;Production of building projects;2021 June;1323.0
1990;Dwellings;Production of building projects;2021 2nd quarter;3431.0
1991;Dwellings;Production of building projects;2021 July;1240.0
1992;Dwellings;Production of building projects;2021 August;528.0
1993;Dwellings;Production of building projects;2021 September;1407.0
1994;Dwellings;Production of building projects;2021 3rd quarter;3176.0
1995;Dwellings;Production of building projects;2021 October;1291.0
1996;Dwellings;Production of building projects;2021 November;1370.0
1997;Dwellings;Production of building projects;2021 December;1071.0
1998;Dwellings;Production of building projects;2021 4th quarter;3731.0
1999;Dwellings;Production of building projects;2021;13563.0
2000;Dwellings;Production of building projects;2022 January;1111.0
2001;Dwellings;Production of building projects;2022 February;1143.0
2002;Dwellings;Production of building projects;2022 March;1415.0
2003;Dwellings;Production of building projects;2022 1st quarter;3669.0
2004;Dwellings;Production of building projects;2022 April;1088.0
2005;Dwellings;Production of building projects;2022 May;1222.0
2006;Dwellings;Production of building projects;2022 June;1272.0
2007;Dwellings;Production of building projects;2022 2nd quarter;3581.0
2008;Dwellings;Production of building projects;2022 July;1163.0
2009;Dwellings;Production of building projects;2022 August;633.0
2010;Dwellings;Production of building projects;2022 September;1375.0
2011;Dwellings;Production of building projects;2022 3rd quarter;3172.0
2012;Dwellings;Production of building projects;2022 October;1273.0
2013;Dwellings;Production of building projects;2022 November;1326.0
2014;Dwellings;Production of building projects;2022 December;847.0
2015;Dwellings;Production of building projects;2022 4th quarter;3447.0
2016;Dwellings;Production of building projects;2022;13869.0
2017;Dwellings;Production of building projects;2023 January;1012.0
2018;Dwellings;Production of building projects;2023 February;1100.0
2019;Dwellings;Production of building projects;2023 March;1279.0
2020;Dwellings;Production of building projects;2023 1st quarter;3392.0
2021;Dwellings;Production of building projects;2023 April;969.0
2022;Dwellings;Production of building projects;2023 May;1146.0
2023;Dwellings;Production of building projects;2023 June;1305.0
2024;Dwellings;Production of building projects;2023 2nd quarter;3419.0
2025;Dwellings;Production of building projects;2023 July;1023.0
2026;Dwellings;Production of building projects;2023 August;611.0
2027;Dwellings;Production of building projects;2023 September;1233.0
2028;Dwellings;Production of building projects;2023 3rd quarter;2866.0
2029;Dwellings;Production of building projects;2023 October;1204.0
2030;Dwellings;Production of building projects;2023 November;1190.0
2031;Dwellings;Production of building projects;2023 December;881.0
2032;Dwellings;Production of building projects;2023 4th quarter;3275.0
2033;Dwellings;Production of building projects;2023;12952.0
2034;Dwellings;Production of building projects;2024 January;879.0
2035;Dwellings;Production of building projects;2024 February;1107.0
2036;Dwellings;Production of building projects;2024 March;1136.0
2037;Dwellings;Production of building projects;2024 1st quarter;3122.0
2038;Dwellings;Production of building projects;2024 April;1177.0
2039;Dwellings;Production of building projects;2024 May;1164.0
2040;Dwellings;Production of building projects;2024 June;1182.0
2041;Dwellings;Production of building projects;2024 2nd quarter;3523.0
2042;Dwellings;Production of building projects;2024 July;1213.0
2043;Dwellings;Production of building projects;2024 August;644.0
2044;Dwellings;Production of building projects;2024 September;1327.0
2045;Dwellings;Production of building projects;2024 3rd quarter;3184.0
2046;Dwellings;Production of building projects;2024 October;1350.0
2047;Dwellings;Production of building projects;2024 November;1242.0
2048;Dwellings;Production of building projects;2024 December;1027.0
2049;Dwellings;Production of building projects;2024 4th quarter;3620.0
2050;Dwellings;Production of building projects;2024;13449.0
2051;Dwellings;Production of building projects;2025 January;1222.0
2052;Dwellings;Remaining production of buildings;2015 January;3723.0
2053;Dwellings;Remaining production of buildings;2015 February;3720.0
2054;Dwellings;Remaining production of buildings;2015 March;3730.0
2055;Dwellings;Remaining production of buildings;2015 1st quarter;3730.0
2056;Dwellings;Remaining production of buildings;2015 April;4114.0
2057;Dwellings;Remaining production of buildings;2015 May;4677.0
2058;Dwellings;Remaining production of buildings;2015 June;4848.0
2059;Dwellings;Remaining production of buildings;2015 2nd quarter;4848.0
2060;Dwellings;Remaining production of buildings;2015 July;4796.0
2061;Dwellings;Remaining production of buildings;2015 August;5153.0
2062;Dwellings;Remaining production of buildings;2015 September;4921.0
2063;Dwellings;Remaining production of buildings;2015 3rd quarter;4921.0
2064;Dwellings;Remaining production of buildings;2015 October;4767.0
2065;Dwellings;Remaining production of buildings;2015 November;4663.0
2066;Dwellings;Remaining production of buildings;2015 December;4649.0
2067;Dwellings;Remaining production of buildings;2015 4th quarter;4649.0
2068;Dwellings;Remaining production of buildings;2015;4649.0
2069;Dwellings;Remaining production of buildings;2016 January;4616.0
2070;Dwellings;Remaining production of buildings;2016 February;4544.0
2071;Dwellings;Remaining production of buildings;2016 March;4404.0
2072;Dwellings;Remaining production of buildings;2016 1st quarter;4404.0
2073;Dwellings;Remaining production of buildings;2016 April;4363.0
2074;Dwellings;Remaining production of buildings;2016 May;4420.0
2075;Dwellings;Remaining production of buildings;2016 June;4339.0
2076;Dwellings;Remaining production of buildings;2016 2nd quarter;4339.0
2077;Dwellings;Remaining production of buildings;2016 July;4484.0
2078;Dwellings;Remaining production of buildings;2016 August;4871.0
2079;Dwellings;Remaining production of buildings;2016 September;4854.0
2080;Dwellings;Remaining production of buildings;2016 3rd quarter;4854.0
2081;Dwellings;Remaining production of buildings;2016 October;4850.0
2082;Dwellings;Remaining production of buildings;2016 November;4943.0
2083;Dwellings;Remaining production of buildings;2016 December;5202.0
2084;Dwellings;Remaining production of buildings;2016 4th quarter;5202.0
2085;Dwellings;Remaining production of buildings;2016;5202.0
2086;Dwellings;Remaining production of buildings;2017 January;5503.0
2087;Dwellings;Remaining production of buildings;2017 February;5548.0
2088;Dwellings;Remaining production of buildings;2017 March;5410.0
2089;Dwellings;Remaining production of buildings;2017 1st quarter;5410.0
2090;Dwellings;Remaining production of buildings;2017 April;5615.0
2091;Dwellings;Remaining production of buildings;2017 May;5930.0
2092;Dwellings;Remaining production of buildings;2017 June;5888.0
2093;Dwellings;Remaining production of buildings;2017 2nd quarter;5888.0
2094;Dwellings;Remaining production of buildings;2017 July;5899.0
2095;Dwellings;Remaining production of buildings;2017 August;6640.0
2096;Dwellings;Remaining production of buildings;2017 September;6632.0
2097;Dwellings;Remaining production of buildings;2017 3rd quarter;6632.0
2098;Dwellings;Remaining production of buildings;2017 October;6539.0
2099;Dwellings;Remaining production of buildings;2017 November;6688.0
2100;Dwellings;Remaining production of buildings;2017 December;7047.0
2101;Dwellings;Remaining production of buildings;2017 4th quarter;7047.0
2102;Dwellings;Remaining production of buildings;2017;7047.0
2103;Dwellings;Remaining production of buildings;2018 January;7175.0
2104;Dwellings;Remaining production of buildings;2018 February;7156.0
2105;Dwellings;Remaining production of buildings;2018 March;7193.0
2106;Dwellings;Remaining production of buildings;2018 1st quarter;7193.0
2107;Dwellings;Remaining production of buildings;2018 April;7144.0
2108;Dwellings;Remaining production of buildings;2018 May;7258.0
2109;Dwellings;Remaining production of buildings;2018 June;7088.0
2110;Dwellings;Remaining production of buildings;2018 2nd quarter;7088.0
2111;Dwellings;Remaining production of buildings;2018 July;7106.0
2112;Dwellings;Remaining production of buildings;2018 August;7637.0
2113;Dwellings;Remaining production of buildings;2018 September;7615.0
2114;Dwellings;Remaining production of buildings;2018 3rd quarter;7615.0
2115;Dwellings;Remaining production of buildings;2018 October;7463.0
2116;Dwellings;Remaining production of buildings;2018 November;7850.0
2117;Dwellings;Remaining production of buildings;2018 December;8305.0
2118;Dwellings;Remaining production of buildings;2018 4th quarter;8305.0
2119;Dwellings;Remaining production of buildings;2018;8305.0
2120;Dwellings;Remaining production of buildings;2019 January;8367.0
2121;Dwellings;Remaining production of buildings;2019 February;8306.0
2122;Dwellings;Remaining production of buildings;2019 March;7944.0
2123;Dwellings;Remaining production of buildings;2019 1st quarter;7944.0
2124;Dwellings;Remaining production of buildings;2019 April;7822.0
2125;Dwellings;Remaining production of buildings;2019 May;7701.0
2126;Dwellings;Remaining production of buildings;2019 June;7617.0
2127;Dwellings;Remaining production of buildings;2019 2nd quarter;7617.0
2128;Dwellings;Remaining production of buildings;2019 July;7321.0
2129;Dwellings;Remaining production of buildings;2019 August;7990.0
2130;Dwellings;Remaining production of buildings;2019 September;7892.0
2131;Dwellings;Remaining production of buildings;2019 3rd quarter;7892.0
2132;Dwellings;Remaining production of buildings;2019 October;7548.0
2133;Dwellings;Remaining production of buildings;2019 November;7673.0
2134;Dwellings;Remaining production of buildings;2019 December;8085.0
