ID;TransportModes;CommodityFlows;CommodityGroups;Continents;Periods;Estimate_1;LowerBound95ConfidenceInterval_2;UpperBound95ConfidenceInterval_3;ConfidenceInterval_4;ShareInCommodityFlow_5;GrowthIndication_6;Estimate_7;LowerBound95ConfidenceInterval_8;UpperBound95ConfidenceInterval_9;ConfidenceInterval_10;ShareInCommodityFlow_11;GrowthIndication_12
1453;Total;Imports;6 Crude and manufactured minerals, bu...;Unspecified countries and areas;2008;0;0;1;;0;9.0;36;18;54;50.0;0;9.0
1454;Total;Imports;6 Crude and manufactured minerals, bu...;Unspecified countries and areas;2009;1;1;2;52.0;0;9.0;50;19;80;62.0;0;9.0
1455;Total;Imports;6 Crude and manufactured minerals, bu...;Unspecified countries and areas;2010;0;0;1;;0;1.0;0;0;9;;0;1.0
1456;Total;Imports;6 Crude and manufactured minerals, bu...;Unspecified countries and areas;2011;0;0;1;;0;9.0;2;0;20;;0;9.0
1457;Total;Imports;6 Crude and manufactured minerals, bu...;Unspecified countries and areas;2012;0;0;1;;0;9.0;0;0;17;;0;9.0
1458;Total;Imports;6 Crude and manufactured minerals, bu...;Unspecified countries and areas;2013;0;0;0;;0;;0;0;50;;0;9.0
1459;Total;Imports;6 Crude and manufactured minerals, bu...;Unspecified countries and areas;2014;0;0;2;;0;;0;0;7;;0;9.0
1460;Total;Imports;6 Crude and manufactured minerals, bu...;Unspecified countries and areas;2015;0;0;0;;0;;0;0;1;;0;9.0
1461;Total;Imports;6 Crude and manufactured minerals, bu...;Unspecified countries and areas;2016;0;0;1;63950.0;0;;0;0;4;17982.0;0;9.0
1462;Total;Imports;6 Crude and manufactured minerals, bu...;Unspecified countries and areas;2017;0;0;1;25690.0;0;9.0;0;0;5;17859.0;0;9.0
1463;Total;Imports;7 Fertilizers;Total all continents;2007;567;536;598;5.0;0;;4400;4146;4655;6.0;1;
1464;Total;Imports;7 Fertilizers;Total all continents;2008;875;828;922;5.0;0;5.0;3908;3685;4132;6.0;1;1.0
1465;Total;Imports;7 Fertilizers;Total all continents;2009;465;436;495;6.0;0;1.0;2568;2377;2759;7.0;1;1.0
1466;Total;Imports;7 Fertilizers;Total all continents;2010;666;634;697;5.0;0;5.0;3596;3371;3820;6.0;1;5.0
1467;Total;Imports;7 Fertilizers;Total all continents;2011;838;800;876;5.0;0;5.0;4057;3846;4269;5.0;1;5.0
1468;Total;Imports;7 Fertilizers;Total all continents;2012;887;843;930;5.0;0;4.0;4152;3919;4385;6.0;1;9.0
1469;Total;Imports;7 Fertilizers;Total all continents;2013;810;769;850;5.0;0;2.0;4171;3883;4459;7.0;1;9.0
1470;Total;Imports;7 Fertilizers;Total all continents;2014;657;621;693;6.0;0;1.0;4246;3955;4538;7.0;1;9.0
1471;Total;Imports;7 Fertilizers;Total all continents;2015;881;834;929;5.0;0;5.0;3558;3324;3792;7.0;1;1.0
1472;Total;Imports;7 Fertilizers;Total all continents;2016;795;750;841;6.0;0;2.0;3831;3589;4074;6.0;1;4.0
1473;Total;Imports;7 Fertilizers;Total all continents;2017;749;708;789;5.0;0;2.0;3823;3571;4076;7.0;1;9.0
1474;Total;Imports;7 Fertilizers;Africa;2007;9;6;12;35.0;0;;192;152;231;21.0;0;
1475;Total;Imports;7 Fertilizers;Africa;2008;34;22;47;36.0;0;5.0;336;267;404;20.0;0;5.0
1476;Total;Imports;7 Fertilizers;Africa;2009;7;5;10;33.0;0;1.0;48;34;62;29.0;0;1.0
1477;Total;Imports;7 Fertilizers;Africa;2010;14;10;19;32.0;0;5.0;145;110;180;24.0;0;5.0
1478;Total;Imports;7 Fertilizers;Africa;2011;19;14;23;25.0;0;9.0;157;125;188;20.0;0;9.0
1479;Total;Imports;7 Fertilizers;Africa;2012;20;14;27;31.0;0;9.0;164;129;199;21.0;0;9.0
1480;Total;Imports;7 Fertilizers;Africa;2013;27;20;34;27.0;0;9.0;96;73;119;24.0;0;1.0
1481;Total;Imports;7 Fertilizers;Africa;2014;15;12;17;18.0;0;1.0;47;36;59;24.0;0;1.0
1482;Total;Imports;7 Fertilizers;Africa;2015;32;26;38;18.0;0;5.0;94;73;115;22.0;0;5.0
1483;Total;Imports;7 Fertilizers;Africa;2016;9;6;11;26.0;0;1.0;25;18;32;29.0;0;1.0
1484;Total;Imports;7 Fertilizers;Africa;2017;20;16;23;17.0;0;5.0;63;50;77;21.0;0;5.0
1485;Total;Imports;7 Fertilizers;America;2007;3;2;4;40.0;0;;6;3;8;45.0;0;
1486;Total;Imports;7 Fertilizers;America;2008;4;3;5;28.0;0;9.0;6;4;8;36.0;0;9.0
1487;Total;Imports;7 Fertilizers;America;2009;4;2;5;47.0;0;9.0;8;4;12;54.0;0;9.0
1488;Total;Imports;7 Fertilizers;America;2010;3;1;4;52.0;0;9.0;9;4;14;57.0;0;9.0
1489;Total;Imports;7 Fertilizers;America;2011;3;1;5;55.0;0;9.0;10;2;18;76.0;0;9.0
1490;Total;Imports;7 Fertilizers;America;2012;16;9;23;45.0;0;5.0;34;13;55;62.0;0;5.0
1491;Total;Imports;7 Fertilizers;America;2013;3;1;6;81.0;0;1.0;9;0;21;;0;1.0
1492;Total;Imports;7 Fertilizers;America;2014;2;0;5;88.0;0;9.0;6;0;14;;0;9.0
1493;Total;Imports;7 Fertilizers;America;2015;7;2;11;66.0;0;9.0;19;3;34;83.0;0;9.0
1494;Total;Imports;7 Fertilizers;America;2016;18;8;28;56.0;0;5.0;50;13;88;75.0;0;9.0
1495;Total;Imports;7 Fertilizers;America;2017;25;13;36;46.0;0;9.0;49;1;98;98.0;0;9.0
1496;Total;Imports;7 Fertilizers;Asia;2007;101;90;113;12.0;0;;1220;1097;1344;10.0;0;
1497;Total;Imports;7 Fertilizers;Asia;2008;254;224;283;12.0;0;5.0;1200;1061;1340;12.0;0;9.0
1498;Total;Imports;7 Fertilizers;Asia;2009;44;37;51;15.0;0;1.0;251;202;300;20.0;0;1.0
1499;Total;Imports;7 Fertilizers;Asia;2010;129;112;147;14.0;0;5.0;836;726;945;13.0;0;5.0
1500;Total;Imports;7 Fertilizers;Asia;2011;138;120;157;13.0;0;9.0;935;832;1038;11.0;0;9.0
1501;Total;Imports;7 Fertilizers;Asia;2012;150;126;174;16.0;0;9.0;748;640;857;15.0;0;1.0
1502;Total;Imports;7 Fertilizers;Asia;2013;15;0;36;;0;1.0;20;0;118;;0;1.0
1503;Total;Imports;7 Fertilizers;Asia;2014;77;62;91;19.0;0;9.0;385;297;473;23.0;0;9.0
1504;Total;Imports;7 Fertilizers;Asia;2015;79;63;94;20.0;0;9.0;422;352;491;16.0;0;9.0
1505;Total;Imports;7 Fertilizers;Asia;2016;98;80;116;18.0;0;5.0;585;498;672;15.0;0;5.0
1506;Total;Imports;7 Fertilizers;Asia;2017;113;98;128;13.0;0;9.0;656;566;746;14.0;0;9.0
1507;Total;Imports;7 Fertilizers;Europe;2007;454;421;487;7.0;0;;2982;2704;3260;9.0;1;
1508;Total;Imports;7 Fertilizers;Europe;2008;583;536;630;8.0;0;5.0;2367;2156;2578;9.0;1;1.0
1509;Total;Imports;7 Fertilizers;Europe;2009;411;376;445;8.0;0;1.0;2261;2040;2483;10.0;1;9.0
1510;Total;Imports;7 Fertilizers;Europe;2010;519;479;559;8.0;0;5.0;2606;2368;2844;9.0;1;5.0
1511;Total;Imports;7 Fertilizers;Europe;2011;678;630;726;7.0;0;5.0;2956;2731;3181;8.0;1;5.0
1512;Total;Imports;7 Fertilizers;Europe;2012;701;652;749;7.0;0;9.0;3205;2972;3439;7.0;1;4.0
1513;Total;Imports;7 Fertilizers;Europe;2013;765;715;815;7.0;0;4.0;4046;3692;4401;9.0;1;5.0
1514;Total;Imports;7 Fertilizers;Europe;2014;563;522;605;7.0;0;1.0;3808;3487;4129;8.0;1;9.0
1515;Total;Imports;7 Fertilizers;Europe;2015;764;710;818;7.0;0;5.0;3023;2780;3267;8.0;1;1.0
1516;Total;Imports;7 Fertilizers;Europe;2016;671;619;722;8.0;0;1.0;3171;2924;3419;8.0;1;9.0
1517;Total;Imports;7 Fertilizers;Europe;2017;591;544;639;8.0;0;1.0;3055;2786;3323;9.0;1;9.0
1518;Total;Imports;7 Fertilizers;Oceania;2007;0;0;0;;0;;0;0;1;;0;
1519;Total;Imports;7 Fertilizers;Oceania;2008;0;0;0;;0;;0;0;0;;0;
1520;Total;Imports;7 Fertilizers;Oceania;2009;0;0;0;;0;;0;0;0;;0;
1521;Total;Imports;7 Fertilizers;Oceania;2010;0;0;0;;0;;0;0;1;;0;
1522;Total;Imports;7 Fertilizers;Oceania;2011;0;0;0;;0;;0;0;0;;0;
1523;Total;Imports;7 Fertilizers;Oceania;2012;0;0;0;;0;;0;0;0;;0;
1524;Total;Imports;7 Fertilizers;Oceania;2013;0;0;0;;0;;0;0;0;;0;
1525;Total;Imports;7 Fertilizers;Oceania;2014;0;0;0;;0;;0;0;0;;0;
1526;Total;Imports;7 Fertilizers;Oceania;2015;0;0;0;;0;;0;0;0;;0;
1527;Total;Imports;7 Fertilizers;Oceania;2016;0;0;0;;0;;0;0;0;;0;
1528;Total;Imports;7 Fertilizers;Oceania;2017;0;0;0;;0;;0;0;0;;0;
1529;Total;Imports;7 Fertilizers;Unspecified countries and areas;2007;0;0;0;;0;;0;0;0;;0;
1530;Total;Imports;7 Fertilizers;Unspecified countries and areas;2008;0;0;0;;0;;0;0;0;;0;
1531;Total;Imports;7 Fertilizers;Unspecified countries and areas;2009;0;0;0;;0;;0;0;0;;0;
1532;Total;Imports;7 Fertilizers;Unspecified countries and areas;2010;0;0;0;;0;;0;0;0;;0;
1533;Total;Imports;7 Fertilizers;Unspecified countries and areas;2011;0;0;0;;0;;0;0;0;;0;
1534;Total;Imports;7 Fertilizers;Unspecified countries and areas;2012;0;0;0;;0;;0;0;0;;0;
1535;Total;Imports;7 Fertilizers;Unspecified countries and areas;2013;0;0;0;;0;;0;0;0;;0;
1536;Total;Imports;7 Fertilizers;Unspecified countries and areas;2014;0;0;0;;0;;0;0;0;;0;
1537;Total;Imports;7 Fertilizers;Unspecified countries and areas;2015;0;0;0;;0;;0;0;0;;0;
1538;Total;Imports;7 Fertilizers;Unspecified countries and areas;2016;0;0;0;;0;;0;0;0;;0;
1539;Total;Imports;7 Fertilizers;Unspecified countries and areas;2017;0;0;0;;0;;0;0;0;;0;
1540;Total;Imports;8 Chemicals;Total all continents;2007;43700;41634;45766;5.0;14;;38956;36344;41568;7.0;10;
1541;Total;Imports;8 Chemicals;Total all continents;2008;50902;48495;53309;5.0;15;5.0;40197;37568;42825;7.0;11;9.0
1542;Total;Imports;8 Chemicals;Total all continents;2009;45309;43016;47601;5.0;17;1.0;37534;34994;40073;7.0;11;2.0
1543;Total;Imports;8 Chemicals;Total all continents;2010;51841;49340;54341;5.0;16;5.0;42025;39305;44746;6.0;11;5.0
1544;Total;Imports;8 Chemicals;Total all continents;2011;50530;48205;52855;5.0;14;9.0;41145;38570;43719;6.0;11;9.0
1545;Total;Imports;8 Chemicals;Total all continents;2012;54512;51985;57040;5.0;14;4.0;42590;39801;45380;7.0;11;9.0
1546;Total;Imports;8 Chemicals;Total all continents;2013;55653;53131;58175;5.0;15;9.0;39902;37260;42544;7.0;10;2.0
1547;Total;Imports;8 Chemicals;Total all continents;2014;53534;51157;55911;4.0;14;9.0;38380;35832;40929;7.0;10;9.0
1548;Total;Imports;8 Chemicals;Total all continents;2015;50621;48339;52903;5.0;14;2.0;37408;34864;39952;7.0;10;9.0
1549;Total;Imports;8 Chemicals;Total all continents;2016;50622;48329;52915;5.0;14;9.0;37587;35063;40111;7.0;9;9.0
1550;Total;Imports;8 Chemicals;Total all continents;2017;56452;53399;59504;5.0;14;5.0;45257;41989;48526;7.0;11;5.0
1551;Total;Imports;8 Chemicals;Africa;2007;255;203;307;20.0;0;;641;486;796;24.0;0;
1552;Total;Imports;8 Chemicals;Africa;2008;199;133;265;33.0;0;1.0;423;267;580;37.0;0;1.0
1553;Total;Imports;8 Chemicals;Africa;2009;138;102;173;26.0;0;1.0;482;318;646;34.0;0;9.0
1554;Total;Imports;8 Chemicals;Africa;2010;324;255;393;21.0;0;5.0;626;493;758;21.0;0;9.0
1555;Total;Imports;8 Chemicals;Africa;2011;193;148;237;23.0;0;1.0;557;389;726;30.0;0;9.0
1556;Total;Imports;8 Chemicals;Africa;2012;411;325;498;21.0;0;5.0;763;557;969;27.0;0;5.0
1557;Total;Imports;8 Chemicals;Africa;2013;399;312;486;22.0;0;9.0;810;598;1022;26.0;0;9.0
1558;Total;Imports;8 Chemicals;Africa;2014;488;380;595;22.0;0;9.0;911;717;1106;21.0;0;9.0
1559;Total;Imports;8 Chemicals;Africa;2015;205;161;249;22.0;0;1.0;538;374;702;30.0;0;1.0
1560;Total;Imports;8 Chemicals;Africa;2016;363;273;454;25.0;0;5.0;729;447;1011;39.0;0;9.0
1561;Total;Imports;8 Chemicals;Africa;2017;396;279;513;30.0;0;9.0;576;320;832;44.0;0;9.0
1562;Total;Imports;8 Chemicals;America;2007;4317;3031;5604;30.0;1;;2876;1906;3846;34.0;1;
1563;Total;Imports;8 Chemicals;America;2008;6397;4790;8004;25.0;2;5.0;3234;2245;4222;31.0;1;9.0
1564;Total;Imports;8 Chemicals;America;2009;2772;229;5315;92.0;1;1.0;2633;1895;3370;28.0;1;9.0
1565;Total;Imports;8 Chemicals;America;2010;2860;1432;4288;50.0;1;9.0;2146;1523;2769;29.0;1;9.0
1566;Total;Imports;8 Chemicals;America;2011;4290;3248;5331;24.0;1;9.0;3293;2634;3952;20.0;1;5.0
1567;Total;Imports;8 Chemicals;America;2012;5039;4092;5986;19.0;1;9.0;2501;1865;3138;25.0;1;1.0
1568;Total;Imports;8 Chemicals;America;2013;5826;4805;6847;18.0;2;9.0;2452;1905;3000;22.0;1;9.0
1569;Total;Imports;8 Chemicals;America;2014;5792;4659;6924;20.0;2;9.0;2047;1555;2539;24.0;1;9.0
1570;Total;Imports;8 Chemicals;America;2015;5263;4217;6309;20.0;1;9.0;2368;1870;2865;21.0;1;9.0
1571;Total;Imports;8 Chemicals;America;2016;5084;3984;6185;22.0;1;9.0;2416;1860;2971;23.0;1;9.0
1572;Total;Imports;8 Chemicals;America;2017;4536;3479;5592;23.0;1;9.0;2292;1760;2824;23.0;1;9.0
1573;Total;Imports;8 Chemicals;Asia;2007;1247;758;1735;39.0;0;;966;450;1482;53.0;0;
1574;Total;Imports;8 Chemicals;Asia;2008;1742;1173;2312;33.0;1;9.0;1547;1016;2079;34.0;0;9.0
1575;Total;Imports;8 Chemicals;Asia;2009;1318;856;1780;35.0;0;1.0;1291;882;1701;32.0;0;9.0
1576;Total;Imports;8 Chemicals;Asia;2010;1934;1287;2582;33.0;1;5.0;1517;1062;1973;30.0;0;9.0
1577;Total;Imports;8 Chemicals;Asia;2011;2321;1629;3013;30.0;1;9.0;1626;1071;2182;34.0;0;9.0
1578;Total;Imports;8 Chemicals;Asia;2012;2071;1220;2922;41.0;1;9.0;1399;751;2047;46.0;0;9.0
1579;Total;Imports;8 Chemicals;Asia;2013;2397;1551;3244;35.0;1;9.0;1512;780;2245;48.0;0;9.0
1580;Total;Imports;8 Chemicals;Asia;2014;2918;2197;3639;25.0;1;9.0;1711;1131;2291;34.0;0;9.0
1581;Total;Imports;8 Chemicals;Asia;2015;2415;1753;3077;27.0;1;9.0;1896;1323;2469;30.0;0;9.0
1582;Total;Imports;8 Chemicals;Asia;2016;2433;1768;3099;27.0;1;9.0;1501;1000;2002;33.0;0;9.0
1583;Total;Imports;8 Chemicals;Asia;2017;3303;2455;4151;26.0;1;5.0;1844;1272;2416;31.0;0;9.0
1584;Total;Imports;8 Chemicals;Europe;2007;37872;34399;41346;9.0;12;;34470;31499;37441;9.0;9;
1585;Total;Imports;8 Chemicals;Europe;2008;42554;38767;46341;9.0;13;5.0;34984;32046;37923;8.0;9;9.0
1586;Total;Imports;8 Chemicals;Europe;2009;41069;37216;44922;9.0;15;9.0;33120;30238;36001;9.0;10;9.0
1587;Total;Imports;8 Chemicals;Europe;2010;46712;42584;50841;9.0;14;5.0;37722;34639;40805;8.0;10;5.0
1588;Total;Imports;8 Chemicals;Europe;2011;43719;40218;47220;8.0;12;9.0;35664;32692;38635;8.0;9;9.0
1589;Total;Imports;8 Chemicals;Europe;2012;46980;43036;50925;8.0;12;9.0;37916;34621;41211;9.0;10;9.0
1590;Total;Imports;8 Chemicals;Europe;2013;47016;43156;50875;8.0;12;9.0;35124;32075;38173;9.0;9;9.0
1591;Total;Imports;8 Chemicals;Europe;2014;44322;40404;48239;9.0;12;9.0;33700;30703;36697;9.0;9;9.0
1592;Total;Imports;8 Chemicals;Europe;2015;42718;39067;46370;9.0;12;9.0;32593;29659;35526;9.0;8;9.0
1593;Total;Imports;8 Chemicals;Europe;2016;42726;39265;46187;8.0;12;9.0;32934;30052;35816;9.0;8;9.0
1594;Total;Imports;8 Chemicals;Europe;2017;48201;44026;52377;9.0;12;5.0;40537;36860;44214;9.0;10;5.0
1595;Total;Imports;8 Chemicals;Oceania;2007;8;0;36;;0;;3;0;15;;0;
1596;Total;Imports;8 Chemicals;Oceania;2008;10;0;37;;0;9.0;7;0;20;;0;9.0
1597;Total;Imports;8 Chemicals;Oceania;2009;12;0;41;;0;9.0;8;0;21;;0;9.0
1598;Total;Imports;8 Chemicals;Oceania;2010;11;0;49;;0;9.0;14;0;32;;0;9.0
1599;Total;Imports;8 Chemicals;Oceania;2011;7;0;37;;0;9.0;4;0;11;;0;1.0
1600;Total;Imports;8 Chemicals;Oceania;2012;10;0;34;;0;9.0;11;0;31;;0;9.0
1601;Total;Imports;8 Chemicals;Oceania;2013;14;0;38;;0;9.0;4;0;11;;0;1.0
1602;Total;Imports;8 Chemicals;Oceania;2014;15;0;44;;0;9.0;11;0;29;;0;9.0
1603;Total;Imports;8 Chemicals;Oceania;2015;20;0;52;;0;9.0;14;0;39;;0;9.0
1604;Total;Imports;8 Chemicals;Oceania;2016;15;0;44;200.0;0;9.0;7;0;21;212.0;0;9.0
1605;Total;Imports;8 Chemicals;Oceania;2017;16;0;53;240.0;0;9.0;8;0;24;190.0;0;9.0
1606;Total;Imports;8 Chemicals;Unspecified countries and areas;2007;1;0;7;;0;;0;0;2;;0;
1607;Total;Imports;8 Chemicals;Unspecified countries and areas;2008;0;0;8;;0;9.0;0;0;1;;0;9.0
1608;Total;Imports;8 Chemicals;Unspecified countries and areas;2009;0;0;7;;0;9.0;0;0;1;;0;9.0
1609;Total;Imports;8 Chemicals;Unspecified countries and areas;2010;0;0;16;;0;9.0;0;0;14;;0;9.0
1610;Total;Imports;8 Chemicals;Unspecified countries and areas;2011;1;0;46;;0;9.0;0;0;65;;0;9.0
1611;Total;Imports;8 Chemicals;Unspecified countries and areas;2012;0;0;50;;0;9.0;0;0;71;;0;9.0
1612;Total;Imports;8 Chemicals;Unspecified countries and areas;2013;1;0;17;;0;9.0;0;0;18;;0;9.0
1613;Total;Imports;8 Chemicals;Unspecified countries and areas;2014;0;0;13;;0;9.0;0;0;7;;0;9.0
1614;Total;Imports;8 Chemicals;Unspecified countries and areas;2015;0;0;59;;0;9.0;0;0;121;;0;9.0
1615;Total;Imports;8 Chemicals;Unspecified countries and areas;2016;0;0;48;23056.0;0;9.0;0;0;217;10333.0;0;9.0
1616;Total;Imports;8 Chemicals;Unspecified countries and areas;2017;0;0;152;81377.0;0;9.0;0;0;526;74782.0;0;9.0
1617;Total;Imports;9 Machinery, transport equipment, man...;Total all continents;2007;155432;148159;162704;5.0;51;;26622;24691;28554;7.0;7;
1618;Total;Imports;9 Machinery, transport equipment, man...;Total all continents;2008;164222;156865;171579;4.0;49;4.0;27999;26150;29849;7.0;7;9.0
1619;Total;Imports;9 Machinery, transport equipment, man...;Total all continents;2009;135428;129429;141427;4.0;50;1.0;22744;21126;24361;7.0;7;1.0
1620;Total;Imports;9 Machinery, transport equipment, man...;Total all continents;2010;159544;151828;167260;5.0;48;5.0;24465;22563;26366;8.0;7;4.0
1621;Total;Imports;9 Machinery, transport equipment, man...;Total all continents;2011;163387;156182;170592;4.0;45;9.0;34861;32772;36950;6.0;9;5.0
1622;Total;Imports;9 Machinery, transport equipment, man...;Total all continents;2012;165441;158376;172506;4.0;43;9.0;25007;23298;26715;7.0;7;1.0
1623;Total;Imports;9 Machinery, transport equipment, man...;Total all continents;2013;165217;158105;172328;4.0;43;9.0;25108;23527;26688;6.0;6;9.0
1624;Total;Imports;9 Machinery, transport equipment, man...;Total all continents;2014;172505;165190;179820;4.0;46;4.0;25903;24201;27605;7.0;7;9.0
1625;Total;Imports;9 Machinery, transport equipment, man...;Total all continents;2015;183503;174745;192261;5.0;50;4.0;26622;24613;28631;8.0;7;9.0
1626;Total;Imports;9 Machinery, transport equipment, man...;Total all continents;2016;192674;183550;201797;5.0;52;4.0;27621;25575;29668;7.0;7;9.0
1627;Total;Imports;9 Machinery, transport equipment, man...;Total all continents;2017;209070;199780;218360;4.0;51;4.0;29809;28087;31531;6.0;7;4.0
1628;Total;Imports;9 Machinery, transport equipment, man...;Africa;2007;256;135;377;47.0;0;;31;15;47;51.0;0;
1629;Total;Imports;9 Machinery, transport equipment, man...;Africa;2008;300;208;391;31.0;0;9.0;46;31;60;33.0;0;9.0
1630;Total;Imports;9 Machinery, transport equipment, man...;Africa;2009;231;146;315;37.0;0;9.0;31;20;41;34.0;0;1.0
1631;Total;Imports;9 Machinery, transport equipment, man...;Africa;2010;268;181;355;33.0;0;9.0;39;28;50;28.0;0;9.0
1632;Total;Imports;9 Machinery, transport equipment, man...;Africa;2011;201;103;299;49.0;0;9.0;28;14;41;49.0;0;1.0
1633;Total;Imports;9 Machinery, transport equipment, man...;Africa;2012;197;108;285;45.0;0;9.0;23;9;38;62.0;0;9.0
1634;Total;Imports;9 Machinery, transport equipment, man...;Africa;2013;232;156;307;32.0;0;9.0;22;11;33;50.0;0;9.0
1635;Total;Imports;9 Machinery, transport equipment, man...;Africa;2014;284;217;350;23.0;0;9.0;26;15;36;42.0;0;9.0
1636;Total;Imports;9 Machinery, transport equipment, man...;Africa;2015;273;195;351;28.0;0;9.0;25;15;35;42.0;0;9.0
1637;Total;Imports;9 Machinery, transport equipment, man...;Africa;2016;267;179;355;33.0;0;9.0;31;18;43;42.0;0;9.0
1638;Total;Imports;9 Machinery, transport equipment, man...;Africa;2017;284;206;361;27.0;0;9.0;38;24;52;36.0;0;9.0
1639;Total;Imports;9 Machinery, transport equipment, man...;America;2007;12162;9078;15245;25.0;4;;505;349;660;31.0;0;
1640;Total;Imports;9 Machinery, transport equipment, man...;America;2008;10530;7124;13935;32.0;3;9.0;638;488;789;24.0;0;9.0
1641;Total;Imports;9 Machinery, transport equipment, man...;America;2009;8813;6565;11061;26.0;3;9.0;472;362;581;23.0;0;1.0
1642;Total;Imports;9 Machinery, transport equipment, man...;America;2010;8250;5798;10702;30.0;3;9.0;524;358;690;32.0;0;9.0
1643;Total;Imports;9 Machinery, transport equipment, man...;America;2011;8978;6643;11313;26.0;2;9.0;555;369;741;33.0;0;9.0
1644;Total;Imports;9 Machinery, transport equipment, man...;America;2012;8324;5548;11099;33.0;2;9.0;621;427;814;31.0;0;9.0
1645;Total;Imports;9 Machinery, transport equipment, man...;America;2013;8823;6389;11257;28.0;2;9.0;452;318;586;30.0;0;1.0
1646;Total;Imports;9 Machinery, transport equipment, man...;America;2014;10622;8434;12809;21.0;3;9.0;600;444;756;26.0;0;9.0
1647;Total;Imports;9 Machinery, transport equipment, man...;America;2015;14746;11786;17706;20.0;4;5.0;651;486;817;25.0;0;9.0
1648;Total;Imports;9 Machinery, transport equipment, man...;America;2016;17121;13693;20550;20.0;5;9.0;673;501;846;26.0;0;9.0
1649;Total;Imports;9 Machinery, transport equipment, man...;America;2017;17492;14055;20930;20.0;4;9.0;672;501;843;25.0;0;9.0
1650;Total;Imports;9 Machinery, transport equipment, man...;Asia;2007;23051;15785;30317;32.0;8;;3573;2538;4608;29.0;1;
1651;Total;Imports;9 Machinery, transport equipment, man...;Asia;2008;31184;24052;38316;23.0;9;5.0;5220;4252;6188;19.0;1;5.0
1652;Total;Imports;9 Machinery, transport equipment, man...;Asia;2009;29019;23250;34788;20.0;11;9.0;3794;2993;4594;21.0;1;1.0
1653;Total;Imports;9 Machinery, transport equipment, man...;Asia;2010;32159;24215;40104;25.0;10;9.0;4274;3351;5197;22.0;1;9.0
1654;Total;Imports;9 Machinery, transport equipment, man...;Asia;2011;33581;26117;41044;22.0;9;9.0;9043;7179;10908;21.0;2;5.0
1655;Total;Imports;9 Machinery, transport equipment, man...;Asia;2012;35874;28364;43383;21.0;9;9.0;4858;3887;5830;20.0;1;1.0
1656;Total;Imports;9 Machinery, transport equipment, man...;Asia;2013;36675;29846;43504;19.0;10;9.0;4661;3743;5578;20.0;1;9.0
1657;Total;Imports;9 Machinery, transport equipment, man...;Asia;2014;40431;33576;47286;17.0;11;9.0;5135;4108;6162;20.0;1;9.0
1658;Total;Imports;9 Machinery, transport equipment, man...;Asia;2015;43683;36080;51285;17.0;12;9.0;4631;3713;5549;20.0;1;9.0
1659;Total;Imports;9 Machinery, transport equipment, man...;Asia;2016;45025;37236;52815;17.0;12;9.0;4878;3865;5891;21.0;1;9.0
1660;Total;Imports;9 Machinery, transport equipment, man...;Asia;2017;48623;40064;57183;18.0;12;9.0;6122;5050;7195;18.0;1;5.0
1661;Total;Imports;9 Machinery, transport equipment, man...;Europe;2007;119933;107967;131900;10.0;39;;22510;19955;25065;11.0;6;
1662;Total;Imports;9 Machinery, transport equipment, man...;Europe;2008;122167;108991;135343;11.0;36;9.0;22093;19600;24587;11.0;6;9.0
1663;Total;Imports;9 Machinery, transport equipment, man...;Europe;2009;97332;86537;108127;11.0;36;1.0;18445;16067;20823;13.0;5;1.0
1664;Total;Imports;9 Machinery, transport equipment, man...;Europe;2010;118838;105697;131979;11.0;36;5.0;19624;17083;22165;13.0;5;9.0
1665;Total;Imports;9 Machinery, transport equipment, man...;Europe;2011;120600;108194;133006;10.0;33;9.0;25231;22282;28181;12.0;7;5.0
1666;Total;Imports;9 Machinery, transport equipment, man...;Europe;2012;121025;108180;133871;11.0;31;9.0;19501;17181;21822;12.0;5;1.0
1667;Total;Imports;9 Machinery, transport equipment, man...;Europe;2013;119452;107045;131859;10.0;31;9.0;19971;17847;22095;11.0;5;9.0
1668;Total;Imports;9 Machinery, transport equipment, man...;Europe;2014;121123;108479;133768;10.0;32;9.0;20138;17831;22445;11.0;5;9.0
1669;Total;Imports;9 Machinery, transport equipment, man...;Europe;2015;124767;111529;138006;11.0;34;9.0;21313;18810;23816;12.0;5;9.0
1670;Total;Imports;9 Machinery, transport equipment, man...;Europe;2016;130223;116391;144054;11.0;35;9.0;22037;19447;24628;12.0;6;9.0
1671;Total;Imports;9 Machinery, transport equipment, man...;Europe;2017;142624;126484;158763;11.0;35;9.0;22974;20588;25361;10.0;6;9.0
1672;Total;Imports;9 Machinery, transport equipment, man...;Oceania;2007;29;0;74;;0;;3;0;9;;0;
1673;Total;Imports;9 Machinery, transport equipment, man...;Oceania;2008;41;0;96;;0;9.0;2;0;6;;0;9.0
1674;Total;Imports;9 Machinery, transport equipment, man...;Oceania;2009;33;0;93;;0;9.0;2;0;6;;0;9.0
1675;Total;Imports;9 Machinery, transport equipment, man...;Oceania;2010;23;0;79;;0;9.0;3;0;7;;0;9.0
1676;Total;Imports;9 Machinery, transport equipment, man...;Oceania;2011;21;0;82;;0;9.0;3;0;10;;0;9.0
1677;Total;Imports;9 Machinery, transport equipment, man...;Oceania;2012;21;0;83;;0;9.0;3;0;9;;0;9.0
1678;Total;Imports;9 Machinery, transport equipment, man...;Oceania;2013;20;0;78;;0;9.0;2;0;5;;0;9.0
