ID;SIC2008;ClassificationOfOccupation;Periods;NewVacancies_1
1814;31-33 Other manufacturing and repair;121 Drivers and mobile plant operators;2020;
1815;31-33 Other manufacturing and repair;121 Drivers and mobile plant operators;2021;
1816;31-33 Other manufacturing and repair;121 Drivers and mobile plant operators;2022;
1817;31-33 Other manufacturing and repair;121 Drivers and mobile plant operators;2023;
1818;31-33 Other manufacturing and repair;122 Transport and storage labourers;2018;
1819;31-33 Other manufacturing and repair;122 Transport and storage labourers;2019;
1820;31-33 Other manufacturing and repair;122 Transport and storage labourers;2020;
1821;31-33 Other manufacturing and repair;122 Transport and storage labourers;2021;
1822;31-33 Other manufacturing and repair;122 Transport and storage labourers;2022;
1823;31-33 Other manufacturing and repair;122 Transport and storage labourers;2023;
1824;D Energy supply;01 Teaching occupations;2018;
1825;D Energy supply;01 Teaching occupations;2019;
1826;D Energy supply;01 Teaching occupations;2020;
1827;D Energy supply;01 Teaching occupations;2021;
1828;D Energy supply;01 Teaching occupations;2022;
1829;D Energy supply;01 Teaching occupations;2023;
1830;D Energy supply;011 Teaching professionals;2018;
1831;D Energy supply;011 Teaching professionals;2019;
1832;D Energy supply;011 Teaching professionals;2020;
1833;D Energy supply;011 Teaching professionals;2021;
1834;D Energy supply;011 Teaching professionals;2022;
1835;D Energy supply;011 Teaching professionals;2023;
1836;D Energy supply;013 Child care workers and teachers' ...;2018;
1837;D Energy supply;013 Child care workers and teachers' ...;2019;
1838;D Energy supply;013 Child care workers and teachers' ...;2020;
1839;D Energy supply;013 Child care workers and teachers' ...;2021;
1840;D Energy supply;013 Child care workers and teachers' ...;2022;
1841;D Energy supply;013 Child care workers and teachers' ...;2023;
1842;D Energy supply;02 Artistic occupations;2018;
1843;D Energy supply;02 Artistic occupations;2019;
1844;D Energy supply;02 Artistic occupations;2020;
1845;D Energy supply;02 Artistic occupations;2021;
1846;D Energy supply;02 Artistic occupations;2022;
1847;D Energy supply;02 Artistic occupations;2023;
1848;D Energy supply;021 Authors, creative and performing...;2018;
1849;D Energy supply;021 Authors, creative and performing...;2019;
1850;D Energy supply;021 Authors, creative and performing...;2020;
1851;D Energy supply;021 Authors, creative and performing...;2021;
1852;D Energy supply;021 Authors, creative and performing...;2022;
1853;D Energy supply;021 Authors, creative and performing...;2023;
1854;D Energy supply;03 Sales and PR occupations;2018;
1855;D Energy supply;03 Sales and PR occupations;2019;
1856;D Energy supply;03 Sales and PR occupations;2020;
1857;D Energy supply;03 Sales and PR occupations;2021;
1858;D Energy supply;03 Sales and PR occupations;2022;
1859;D Energy supply;03 Sales and PR occupations;2023;
1860;D Energy supply;031 Sales, marketing and public rel...;2018;
1861;D Energy supply;031 Sales, marketing and public rel...;2019;
1862;D Energy supply;031 Sales, marketing and public rel...;2020;
1863;D Energy supply;031 Sales, marketing and public rel...;2021;
1864;D Energy supply;031 Sales, marketing and public rel...;2022;
1865;D Energy supply;031 Sales, marketing and public rel...;2023;
1866;D Energy supply;032 Sales and purchasing agents and...;2018;
1867;D Energy supply;032 Sales and purchasing agents and...;2019;
1868;D Energy supply;032 Sales and purchasing agents and...;2020;
1869;D Energy supply;032 Sales and purchasing agents and...;2021;
1870;D Energy supply;032 Sales and purchasing agents and...;2022;
1871;D Energy supply;032 Sales and purchasing agents and...;2023;
1872;D Energy supply;033 Sales workers;2018;
1873;D Energy supply;033 Sales workers;2019;
1874;D Energy supply;033 Sales workers;2020;
1875;D Energy supply;033 Sales workers;2021;
1876;D Energy supply;033 Sales workers;2022;
1877;D Energy supply;033 Sales workers;2023;
1878;D Energy supply;04 Business and administrative occup...;2018;
1879;D Energy supply;04 Business and administrative occup...;2019;
1880;D Energy supply;04 Business and administrative occup...;2020;
1881;D Energy supply;04 Business and administrative occup...;2021;
1882;D Energy supply;04 Business and administrative occup...;2022;
1883;D Energy supply;04 Business and administrative occup...;2023;
1884;D Energy supply;041 Business and administration profe...;2018;
1885;D Energy supply;041 Business and administration profe...;2019;
1886;D Energy supply;041 Business and administration profe...;2020;
1887;D Energy supply;041 Business and administration profe...;2021;
1888;D Energy supply;041 Business and administration profe...;2022;
1889;D Energy supply;041 Business and administration profe...;2023;
1890;D Energy supply;042 Business and administration assoc...;2018;
1891;D Energy supply;042 Business and administration assoc...;2019;
1892;D Energy supply;042 Business and administration assoc...;2020;
1893;D Energy supply;042 Business and administration assoc...;2021;
1894;D Energy supply;042 Business and administration assoc...;2022;
1895;D Energy supply;042 Business and administration assoc...;2023;
1896;D Energy supply;043 Clerical support workers;2018;
1897;D Energy supply;043 Clerical support workers;2019;
1898;D Energy supply;043 Clerical support workers;2020;
1899;D Energy supply;043 Clerical support workers;2021;
1900;D Energy supply;043 Clerical support workers;2022;
1901;D Energy supply;043 Clerical support workers;2023;
1902;D Energy supply;05 Managers;2018;
1903;D Energy supply;05 Managers;2019;
1904;D Energy supply;05 Managers;2020;
1905;D Energy supply;05 Managers;2021;
1906;D Energy supply;05 Managers;2022;
1907;D Energy supply;05 Managers;2023;
1908;D Energy supply;052 Administrative and commercial m...;2018;
1909;D Energy supply;052 Administrative and commercial m...;2019;
1910;D Energy supply;052 Administrative and commercial m...;2020;
1911;D Energy supply;052 Administrative and commercial m...;2021;
1912;D Energy supply;052 Administrative and commercial m...;2022;
1913;D Energy supply;052 Administrative and commercial m...;2023;
1914;D Energy supply;053 Production and specialised servic...;2018;
1915;D Energy supply;053 Production and specialised servic...;2019;
1916;D Energy supply;053 Production and specialised servic...;2020;
1917;D Energy supply;053 Production and specialised servic...;2021;
1918;D Energy supply;053 Production and specialised servic...;2022;
1919;D Energy supply;053 Production and specialised servic...;2023;
1920;D Energy supply;06 Public administration, protective...;2018;
1921;D Energy supply;06 Public administration, protective...;2019;
1922;D Energy supply;06 Public administration, protective...;2020;
1923;D Energy supply;06 Public administration, protective...;2021;
1924;D Energy supply;06 Public administration, protective...;2022;
1925;D Energy supply;06 Public administration, protective...;2023;
1926;D Energy supply;061 Legislators and senior officials;2018;
1927;D Energy supply;061 Legislators and senior officials;2019;
1928;D Energy supply;061 Legislators and senior officials;2020;
1929;D Energy supply;061 Legislators and senior officials;2021;
1930;D Energy supply;061 Legislators and senior officials;2022;
1931;D Energy supply;061 Legislators and senior officials;2023;
1932;D Energy supply;062 Legal professionals;2018;
1933;D Energy supply;062 Legal professionals;2019;
1934;D Energy supply;062 Legal professionals;2020;
1935;D Energy supply;062 Legal professionals;2021;
1936;D Energy supply;062 Legal professionals;2022;
1937;D Energy supply;062 Legal professionals;2023;
1938;D Energy supply;07 Technical occupations;2018;1.3
1939;D Energy supply;07 Technical occupations;2019;1.6
1940;D Energy supply;07 Technical occupations;2020;1.8
1941;D Energy supply;07 Technical occupations;2021;2.4
1942;D Energy supply;07 Technical occupations;2022;2.7
1943;D Energy supply;07 Technical occupations;2023;4.9
1944;D Energy supply;072 Science and engineering associate...;2018;0.4
1945;D Energy supply;072 Science and engineering associate...;2019;0.5
1946;D Energy supply;072 Science and engineering associate...;2020;0.6
1947;D Energy supply;072 Science and engineering associate...;2021;0.6
1948;D Energy supply;072 Science and engineering associate...;2022;0.8
1949;D Energy supply;072 Science and engineering associate...;2023;1.6
1950;D Energy supply;073 Building construction workers;2018;
1951;D Energy supply;073 Building construction workers;2019;
1952;D Energy supply;073 Building construction workers;2020;
1953;D Energy supply;073 Building construction workers;2021;
1954;D Energy supply;073 Building construction workers;2022;
1955;D Energy supply;073 Building construction workers;2023;
1956;D Energy supply;074 Metal, machinery and related trad...;2018;
1957;D Energy supply;074 Metal, machinery and related trad...;2019;
1958;D Energy supply;074 Metal, machinery and related trad...;2020;
1959;D Energy supply;074 Metal, machinery and related trad...;2021;
1960;D Energy supply;074 Metal, machinery and related trad...;2022;
1961;D Energy supply;074 Metal, machinery and related trad...;2023;
1962;D Energy supply;076 Electrical and electronics trades...;2018;
1963;D Energy supply;076 Electrical and electronics trades...;2019;
1964;D Energy supply;076 Electrical and electronics trades...;2020;
1965;D Energy supply;076 Electrical and electronics trades...;2021;
1966;D Energy supply;076 Electrical and electronics trades...;2022;
1967;D Energy supply;076 Electrical and electronics trades...;2023;
1968;D Energy supply;08 ICT occupations;2018;
1969;D Energy supply;08 ICT occupations;2019;
1970;D Energy supply;08 ICT occupations;2020;
1971;D Energy supply;08 ICT occupations;2021;
1972;D Energy supply;08 ICT occupations;2022;
1973;D Energy supply;08 ICT occupations;2023;
1974;D Energy supply;081 Information and communications te...;2018;
1975;D Energy supply;081 Information and communications te...;2019;
1976;D Energy supply;081 Information and communications te...;2020;
1977;D Energy supply;081 Information and communications te...;2021;
1978;D Energy supply;081 Information and communications te...;2022;
1979;D Energy supply;081 Information and communications te...;2023;
1980;D Energy supply;082 Information and communications te...;2018;
1981;D Energy supply;082 Information and communications te...;2019;
1982;D Energy supply;082 Information and communications te...;2020;
1983;D Energy supply;082 Information and communications te...;2021;
1984;D Energy supply;082 Information and communications te...;2022;
1985;D Energy supply;082 Information and communications te...;2023;
1986;D Energy supply;10 Health and welfare occupations;2018;
1987;D Energy supply;10 Health and welfare occupations;2019;
1988;D Energy supply;10 Health and welfare occupations;2020;
1989;D Energy supply;10 Health and welfare occupations;2021;
1990;D Energy supply;10 Health and welfare occupations;2022;
1991;D Energy supply;10 Health and welfare occupations;2023;
1992;D Energy supply;101 Health professionals;2018;
1993;D Energy supply;101 Health professionals;2019;
1994;D Energy supply;101 Health professionals;2020;
1995;D Energy supply;101 Health professionals;2021;
1996;D Energy supply;101 Health professionals;2022;
1997;D Energy supply;101 Health professionals;2023;
1998;D Energy supply;102 Social and religious professionals;2018;
1999;D Energy supply;102 Social and religious professionals;2019;
2000;D Energy supply;102 Social and religious professionals;2020;
2001;D Energy supply;102 Social and religious professionals;2021;
2002;D Energy supply;102 Social and religious professionals;2022;
2003;D Energy supply;102 Social and religious professionals;2023;
2004;D Energy supply;103 Health associate professionals;2018;
2005;D Energy supply;103 Health associate professionals;2019;
2006;D Energy supply;103 Health associate professionals;2020;
2007;D Energy supply;103 Health associate professionals;2021;
2008;D Energy supply;103 Health associate professionals;2022;
2009;D Energy supply;103 Health associate professionals;2023;
2010;D Energy supply;105 Personal care workers;2018;
2011;D Energy supply;105 Personal care workers;2019;
2012;D Energy supply;105 Personal care workers;2020;
2013;D Energy supply;105 Personal care workers;2021;
2014;D Energy supply;105 Personal care workers;2022;
2015;D Energy supply;105 Personal care workers;2023;
2016;D Energy supply;11 Service occupations;2018;
2017;D Energy supply;11 Service occupations;2019;
2018;D Energy supply;11 Service occupations;2020;
2019;D Energy supply;11 Service occupations;2021;
2020;D Energy supply;11 Service occupations;2022;
2021;D Energy supply;11 Service occupations;2023;
2022;D Energy supply;111 Personal services workers;2018;
2023;D Energy supply;111 Personal services workers;2019;
2024;D Energy supply;111 Personal services workers;2020;
2025;D Energy supply;111 Personal services workers;2021;
2026;D Energy supply;111 Personal services workers;2022;
2027;D Energy supply;111 Personal services workers;2023;
2028;D Energy supply;112 Cleaners and kitchen helpers;2018;
2029;D Energy supply;112 Cleaners and kitchen helpers;2019;
2030;D Energy supply;112 Cleaners and kitchen helpers;2020;
2031;D Energy supply;112 Cleaners and kitchen helpers;2021;
2032;D Energy supply;112 Cleaners and kitchen helpers;2022;
2033;D Energy supply;112 Cleaners and kitchen helpers;2023;
2034;D Energy supply;12 Transport and logistics occupations;2018;
2035;D Energy supply;12 Transport and logistics occupations;2019;
2036;D Energy supply;12 Transport and logistics occupations;2020;
2037;D Energy supply;12 Transport and logistics occupations;2021;
2038;D Energy supply;12 Transport and logistics occupations;2022;
2039;D Energy supply;12 Transport and logistics occupations;2023;
2040;D Energy supply;121 Drivers and mobile plant operators;2018;
2041;D Energy supply;121 Drivers and mobile plant operators;2019;
2042;D Energy supply;121 Drivers and mobile plant operators;2020;
2043;D Energy supply;121 Drivers and mobile plant operators;2021;
2044;D Energy supply;121 Drivers and mobile plant operators;2022;
2045;D Energy supply;121 Drivers and mobile plant operators;2023;
2046;D Energy supply;122 Transport and storage labourers;2018;
2047;D Energy supply;122 Transport and storage labourers;2019;
2048;D Energy supply;122 Transport and storage labourers;2020;
2049;D Energy supply;122 Transport and storage labourers;2021;
2050;D Energy supply;122 Transport and storage labourers;2022;
2051;D Energy supply;122 Transport and storage labourers;2023;
2052;F Construction;01 Teaching occupations;2018;
2053;F Construction;01 Teaching occupations;2019;
2054;F Construction;01 Teaching occupations;2020;
2055;F Construction;01 Teaching occupations;2021;
2056;F Construction;01 Teaching occupations;2022;
2057;F Construction;01 Teaching occupations;2023;
2058;F Construction;011 Teaching professionals;2018;
2059;F Construction;011 Teaching professionals;2019;
2060;F Construction;011 Teaching professionals;2020;
2061;F Construction;011 Teaching professionals;2021;
2062;F Construction;011 Teaching professionals;2022;
2063;F Construction;011 Teaching professionals;2023;
2064;F Construction;013 Child care workers and teachers' ...;2018;
2065;F Construction;013 Child care workers and teachers' ...;2019;
2066;F Construction;013 Child care workers and teachers' ...;2020;
2067;F Construction;013 Child care workers and teachers' ...;2021;
2068;F Construction;013 Child care workers and teachers' ...;2022;
2069;F Construction;013 Child care workers and teachers' ...;2023;
2070;F Construction;02 Artistic occupations;2018;
2071;F Construction;02 Artistic occupations;2019;
2072;F Construction;02 Artistic occupations;2020;
2073;F Construction;02 Artistic occupations;2021;
2074;F Construction;02 Artistic occupations;2022;
2075;F Construction;02 Artistic occupations;2023;
2076;F Construction;021 Authors, creative and performing...;2018;
2077;F Construction;021 Authors, creative and performing...;2019;
2078;F Construction;021 Authors, creative and performing...;2020;
2079;F Construction;021 Authors, creative and performing...;2021;
2080;F Construction;021 Authors, creative and performing...;2022;
2081;F Construction;021 Authors, creative and performing...;2023;
2082;F Construction;03 Sales and PR occupations;2018;
2083;F Construction;03 Sales and PR occupations;2019;
2084;F Construction;03 Sales and PR occupations;2020;
2085;F Construction;03 Sales and PR occupations;2021;
2086;F Construction;03 Sales and PR occupations;2022;
2087;F Construction;03 Sales and PR occupations;2023;
2088;F Construction;031 Sales, marketing and public rel...;2018;
2089;F Construction;031 Sales, marketing and public rel...;2019;
2090;F Construction;031 Sales, marketing and public rel...;2020;
2091;F Construction;031 Sales, marketing and public rel...;2021;
2092;F Construction;031 Sales, marketing and public rel...;2022;
2093;F Construction;031 Sales, marketing and public rel...;2023;
2094;F Construction;032 Sales and purchasing agents and...;2018;
2095;F Construction;032 Sales and purchasing agents and...;2019;
2096;F Construction;032 Sales and purchasing agents and...;2020;
2097;F Construction;032 Sales and purchasing agents and...;2021;
2098;F Construction;032 Sales and purchasing agents and...;2022;
2099;F Construction;032 Sales and purchasing agents and...;2023;
2100;F Construction;033 Sales workers;2018;
2101;F Construction;033 Sales workers;2019;
2102;F Construction;033 Sales workers;2020;
2103;F Construction;033 Sales workers;2021;
2104;F Construction;033 Sales workers;2022;
2105;F Construction;033 Sales workers;2023;
2106;F Construction;04 Business and administrative occup...;2018;
2107;F Construction;04 Business and administrative occup...;2019;
2108;F Construction;04 Business and administrative occup...;2020;
2109;F Construction;04 Business and administrative occup...;2021;
2110;F Construction;04 Business and administrative occup...;2022;
2111;F Construction;04 Business and administrative occup...;2023;
2112;F Construction;041 Business and administration profe...;2018;0.9
2113;F Construction;041 Business and administration profe...;2019;0.8
2114;F Construction;041 Business and administration profe...;2020;0.6
2115;F Construction;041 Business and administration profe...;2021;0.9
2116;F Construction;041 Business and administration profe...;2022;1.3
2117;F Construction;041 Business and administration profe...;2023;1.4
2118;F Construction;042 Business and administration assoc...;2018;
2119;F Construction;042 Business and administration assoc...;2019;
2120;F Construction;042 Business and administration assoc...;2020;
2121;F Construction;042 Business and administration assoc...;2021;
2122;F Construction;042 Business and administration assoc...;2022;
2123;F Construction;042 Business and administration assoc...;2023;
2124;F Construction;043 Clerical support workers;2018;
2125;F Construction;043 Clerical support workers;2019;
2126;F Construction;043 Clerical support workers;2020;
2127;F Construction;043 Clerical support workers;2021;
2128;F Construction;043 Clerical support workers;2022;
2129;F Construction;043 Clerical support workers;2023;
2130;F Construction;05 Managers;2018;
2131;F Construction;05 Managers;2019;
2132;F Construction;05 Managers;2020;
2133;F Construction;05 Managers;2021;
2134;F Construction;05 Managers;2022;
2135;F Construction;05 Managers;2023;
2136;F Construction;052 Administrative and commercial m...;2018;
2137;F Construction;052 Administrative and commercial m...;2019;
2138;F Construction;052 Administrative and commercial m...;2020;
2139;F Construction;052 Administrative and commercial m...;2021;
2140;F Construction;052 Administrative and commercial m...;2022;
2141;F Construction;052 Administrative and commercial m...;2023;
2142;F Construction;053 Production and specialised servic...;2018;
2143;F Construction;053 Production and specialised servic...;2019;
2144;F Construction;053 Production and specialised servic...;2020;
2145;F Construction;053 Production and specialised servic...;2021;
2146;F Construction;053 Production and specialised servic...;2022;
2147;F Construction;053 Production and specialised servic...;2023;
2148;F Construction;06 Public administration, protective...;2018;
2149;F Construction;06 Public administration, protective...;2019;
2150;F Construction;06 Public administration, protective...;2020;
2151;F Construction;06 Public administration, protective...;2021;
2152;F Construction;06 Public administration, protective...;2022;
2153;F Construction;06 Public administration, protective...;2023;
2154;F Construction;061 Legislators and senior officials;2018;
2155;F Construction;061 Legislators and senior officials;2019;
2156;F Construction;061 Legislators and senior officials;2020;
2157;F Construction;061 Legislators and senior officials;2021;
2158;F Construction;061 Legislators and senior officials;2022;
2159;F Construction;061 Legislators and senior officials;2023;
2160;F Construction;062 Legal professionals;2018;
2161;F Construction;062 Legal professionals;2019;
2162;F Construction;062 Legal professionals;2020;
2163;F Construction;062 Legal professionals;2021;
2164;F Construction;062 Legal professionals;2022;
2165;F Construction;062 Legal professionals;2023;
2166;F Construction;07 Technical occupations;2018;35.1
2167;F Construction;07 Technical occupations;2019;36.4
2168;F Construction;07 Technical occupations;2020;31.2
2169;F Construction;07 Technical occupations;2021;40.4
2170;F Construction;07 Technical occupations;2022;35.9
2171;F Construction;07 Technical occupations;2023;37.9
2172;F Construction;072 Science and engineering associate...;2018;5.5
2173;F Construction;072 Science and engineering associate...;2019;6.3
2174;F Construction;072 Science and engineering associate...;2020;5.3
2175;F Construction;072 Science and engineering associate...;2021;7.0
2176;F Construction;072 Science and engineering associate...;2022;6.9
2177;F Construction;072 Science and engineering associate...;2023;7.5
2178;F Construction;073 Building construction workers;2018;10.0
2179;F Construction;073 Building construction workers;2019;9.2
2180;F Construction;073 Building construction workers;2020;7.7
2181;F Construction;073 Building construction workers;2021;11.5
2182;F Construction;073 Building construction workers;2022;8.9
2183;F Construction;073 Building construction workers;2023;8.8
2184;F Construction;074 Metal, machinery and related trad...;2018;7.7
2185;F Construction;074 Metal, machinery and related trad...;2019;8.2
2186;F Construction;074 Metal, machinery and related trad...;2020;7.0
2187;F Construction;074 Metal, machinery and related trad...;2021;7.7
2188;F Construction;074 Metal, machinery and related trad...;2022;6.9
2189;F Construction;074 Metal, machinery and related trad...;2023;7.5
2190;F Construction;076 Electrical and electronics trades...;2018;5.9
2191;F Construction;076 Electrical and electronics trades...;2019;7.2
2192;F Construction;076 Electrical and electronics trades...;2020;6.3
2193;F Construction;076 Electrical and electronics trades...;2021;7.8
2194;F Construction;076 Electrical and electronics trades...;2022;7.1
2195;F Construction;076 Electrical and electronics trades...;2023;7.8
2196;F Construction;08 ICT occupations;2018;
2197;F Construction;08 ICT occupations;2019;
2198;F Construction;08 ICT occupations;2020;
2199;F Construction;08 ICT occupations;2021;
2200;F Construction;08 ICT occupations;2022;
2201;F Construction;08 ICT occupations;2023;
2202;F Construction;081 Information and communications te...;2018;
2203;F Construction;081 Information and communications te...;2019;
2204;F Construction;081 Information and communications te...;2020;
2205;F Construction;081 Information and communications te...;2021;
2206;F Construction;081 Information and communications te...;2022;
2207;F Construction;081 Information and communications te...;2023;
2208;F Construction;082 Information and communications te...;2018;
2209;F Construction;082 Information and communications te...;2019;
2210;F Construction;082 Information and communications te...;2020;
2211;F Construction;082 Information and communications te...;2021;
2212;F Construction;082 Information and communications te...;2022;
2213;F Construction;082 Information and communications te...;2023;
2214;F Construction;10 Health and welfare occupations;2018;
2215;F Construction;10 Health and welfare occupations;2019;
2216;F Construction;10 Health and welfare occupations;2020;
2217;F Construction;10 Health and welfare occupations;2021;
2218;F Construction;10 Health and welfare occupations;2022;
2219;F Construction;10 Health and welfare occupations;2023;
2220;F Construction;101 Health professionals;2018;
2221;F Construction;101 Health professionals;2019;
2222;F Construction;101 Health professionals;2020;
2223;F Construction;101 Health professionals;2021;
2224;F Construction;101 Health professionals;2022;
2225;F Construction;101 Health professionals;2023;
2226;F Construction;102 Social and religious professionals;2018;
2227;F Construction;102 Social and religious professionals;2019;
2228;F Construction;102 Social and religious professionals;2020;
2229;F Construction;102 Social and religious professionals;2021;
2230;F Construction;102 Social and religious professionals;2022;
2231;F Construction;102 Social and religious professionals;2023;
2232;F Construction;103 Health associate professionals;2018;
2233;F Construction;103 Health associate professionals;2019;
2234;F Construction;103 Health associate professionals;2020;
2235;F Construction;103 Health associate professionals;2021;
2236;F Construction;103 Health associate professionals;2022;
2237;F Construction;103 Health associate professionals;2023;
2238;F Construction;105 Personal care workers;2018;
2239;F Construction;105 Personal care workers;2019;
2240;F Construction;105 Personal care workers;2020;
2241;F Construction;105 Personal care workers;2021;
2242;F Construction;105 Personal care workers;2022;
2243;F Construction;105 Personal care workers;2023;
2244;F Construction;11 Service occupations;2018;
2245;F Construction;11 Service occupations;2019;
2246;F Construction;11 Service occupations;2020;
2247;F Construction;11 Service occupations;2021;
2248;F Construction;11 Service occupations;2022;
2249;F Construction;11 Service occupations;2023;
2250;F Construction;111 Personal services workers;2018;
2251;F Construction;111 Personal services workers;2019;
2252;F Construction;111 Personal services workers;2020;
2253;F Construction;111 Personal services workers;2021;
2254;F Construction;111 Personal services workers;2022;
2255;F Construction;111 Personal services workers;2023;
2256;F Construction;112 Cleaners and kitchen helpers;2018;
2257;F Construction;112 Cleaners and kitchen helpers;2019;
2258;F Construction;112 Cleaners and kitchen helpers;2020;
2259;F Construction;112 Cleaners and kitchen helpers;2021;
2260;F Construction;112 Cleaners and kitchen helpers;2022;
2261;F Construction;112 Cleaners and kitchen helpers;2023;
2262;F Construction;12 Transport and logistics occupations;2018;
2263;F Construction;12 Transport and logistics occupations;2019;
2264;F Construction;12 Transport and logistics occupations;2020;
2265;F Construction;12 Transport and logistics occupations;2021;
2266;F Construction;12 Transport and logistics occupations;2022;
2267;F Construction;12 Transport and logistics occupations;2023;
2268;F Construction;121 Drivers and mobile plant operators;2018;
2269;F Construction;121 Drivers and mobile plant operators;2019;
2270;F Construction;121 Drivers and mobile plant operators;2020;
2271;F Construction;121 Drivers and mobile plant operators;2021;
2272;F Construction;121 Drivers and mobile plant operators;2022;
2273;F Construction;121 Drivers and mobile plant operators;2023;
2274;F Construction;122 Transport and storage labourers;2018;
2275;F Construction;122 Transport and storage labourers;2019;
2276;F Construction;122 Transport and storage labourers;2020;
2277;F Construction;122 Transport and storage labourers;2021;
2278;F Construction;122 Transport and storage labourers;2022;
2279;F Construction;122 Transport and storage labourers;2023;
2280;G-I Trade, transport, hotels, catering;01 Teaching occupations;2018;
2281;G-I Trade, transport, hotels, catering;01 Teaching occupations;2019;
2282;G-I Trade, transport, hotels, catering;01 Teaching occupations;2020;
2283;G-I Trade, transport, hotels, catering;01 Teaching occupations;2021;
2284;G-I Trade, transport, hotels, catering;01 Teaching occupations;2022;
2285;G-I Trade, transport, hotels, catering;01 Teaching occupations;2023;
2286;G-I Trade, transport, hotels, catering;011 Teaching professionals;2018;
2287;G-I Trade, transport, hotels, catering;011 Teaching professionals;2019;
2288;G-I Trade, transport, hotels, catering;011 Teaching professionals;2020;
2289;G-I Trade, transport, hotels, catering;011 Teaching professionals;2021;
2290;G-I Trade, transport, hotels, catering;011 Teaching professionals;2022;
2291;G-I Trade, transport, hotels, catering;011 Teaching professionals;2023;
2292;G-I Trade, transport, hotels, catering;013 Child care workers and teachers' ...;2018;
2293;G-I Trade, transport, hotels, catering;013 Child care workers and teachers' ...;2019;
2294;G-I Trade, transport, hotels, catering;013 Child care workers and teachers' ...;2020;
2295;G-I Trade, transport, hotels, catering;013 Child care workers and teachers' ...;2021;
2296;G-I Trade, transport, hotels, catering;013 Child care workers and teachers' ...;2022;
2297;G-I Trade, transport, hotels, catering;013 Child care workers and teachers' ...;2023;
2298;G-I Trade, transport, hotels, catering;02 Artistic occupations;2018;
2299;G-I Trade, transport, hotels, catering;02 Artistic occupations;2019;
2300;G-I Trade, transport, hotels, catering;02 Artistic occupations;2020;
2301;G-I Trade, transport, hotels, catering;02 Artistic occupations;2021;
2302;G-I Trade, transport, hotels, catering;02 Artistic occupations;2022;
2303;G-I Trade, transport, hotels, catering;02 Artistic occupations;2023;
2304;G-I Trade, transport, hotels, catering;021 Authors, creative and performing...;2018;
2305;G-I Trade, transport, hotels, catering;021 Authors, creative and performing...;2019;
2306;G-I Trade, transport, hotels, catering;021 Authors, creative and performing...;2020;
2307;G-I Trade, transport, hotels, catering;021 Authors, creative and performing...;2021;
2308;G-I Trade, transport, hotels, catering;021 Authors, creative and performing...;2022;
2309;G-I Trade, transport, hotels, catering;021 Authors, creative and performing...;2023;
2310;G-I Trade, transport, hotels, catering;03 Sales and PR occupations;2018;104.5
2311;G-I Trade, transport, hotels, catering;03 Sales and PR occupations;2019;111.7
2312;G-I Trade, transport, hotels, catering;03 Sales and PR occupations;2020;81.5
2313;G-I Trade, transport, hotels, catering;03 Sales and PR occupations;2021;110.4
2314;G-I Trade, transport, hotels, catering;03 Sales and PR occupations;2022;126.3
2315;G-I Trade, transport, hotels, catering;03 Sales and PR occupations;2023;99.8
2316;G-I Trade, transport, hotels, catering;031 Sales, marketing and public rel...;2018;
2317;G-I Trade, transport, hotels, catering;031 Sales, marketing and public rel...;2019;
2318;G-I Trade, transport, hotels, catering;031 Sales, marketing and public rel...;2020;
2319;G-I Trade, transport, hotels, catering;031 Sales, marketing and public rel...;2021;
2320;G-I Trade, transport, hotels, catering;031 Sales, marketing and public rel...;2022;
2321;G-I Trade, transport, hotels, catering;031 Sales, marketing and public rel...;2023;
2322;G-I Trade, transport, hotels, catering;032 Sales and purchasing agents and...;2018;
2323;G-I Trade, transport, hotels, catering;032 Sales and purchasing agents and...;2019;
2324;G-I Trade, transport, hotels, catering;032 Sales and purchasing agents and...;2020;
2325;G-I Trade, transport, hotels, catering;032 Sales and purchasing agents and...;2021;
2326;G-I Trade, transport, hotels, catering;032 Sales and purchasing agents and...;2022;
2327;G-I Trade, transport, hotels, catering;032 Sales and purchasing agents and...;2023;
2328;G-I Trade, transport, hotels, catering;033 Sales workers;2018;89.8
2329;G-I Trade, transport, hotels, catering;033 Sales workers;2019;96.0
2330;G-I Trade, transport, hotels, catering;033 Sales workers;2020;70.2
2331;G-I Trade, transport, hotels, catering;033 Sales workers;2021;91.4
2332;G-I Trade, transport, hotels, catering;033 Sales workers;2022;104.4
2333;G-I Trade, transport, hotels, catering;033 Sales workers;2023;81.6
2334;G-I Trade, transport, hotels, catering;04 Business and administrative occup...;2018;66.9
2335;G-I Trade, transport, hotels, catering;04 Business and administrative occup...;2019;73.5
2336;G-I Trade, transport, hotels, catering;04 Business and administrative occup...;2020;48.7
2337;G-I Trade, transport, hotels, catering;04 Business and administrative occup...;2021;82.6
2338;G-I Trade, transport, hotels, catering;04 Business and administrative occup...;2022;96.5
2339;G-I Trade, transport, hotels, catering;04 Business and administrative occup...;2023;84.9
2340;G-I Trade, transport, hotels, catering;041 Business and administration profe...;2018;5.7
2341;G-I Trade, transport, hotels, catering;041 Business and administration profe...;2019;6.6
2342;G-I Trade, transport, hotels, catering;041 Business and administration profe...;2020;4.5
2343;G-I Trade, transport, hotels, catering;041 Business and administration profe...;2021;7.9
2344;G-I Trade, transport, hotels, catering;041 Business and administration profe...;2022;9.5
