ID;GemeentelijkeTaakvelden;Regiokenmerken;Perioden;Baten_1;Lasten_2;Saldo_3;Baten_4;Lasten_5;Saldo_6
116;Totaal gemeentelijke taakvelden;Noord-Holland (PV);2025;16138;16138;0;5392;5392;0
117;Totaal gemeentelijke taakvelden;Zuid-Holland (PV);2017;13216;13216;0;3618;3618;0
118;Totaal gemeentelijke taakvelden;Zuid-Holland (PV);2018;13389;13389;0;3638;3638;0
119;Totaal gemeentelijke taakvelden;Zuid-Holland (PV);2019;13720;13720;0;3734;3734;0
120;Totaal gemeentelijke taakvelden;Zuid-Holland (PV);2020;14401;14401;0;3883;3883;0
121;Totaal gemeentelijke taakvelden;Zuid-Holland (PV);2021;14859;14859;0;3988;3988;0
122;Totaal gemeentelijke taakvelden;Zuid-Holland (PV);2022;15506;15506;0;4131;4131;0
123;Totaal gemeentelijke taakvelden;Zuid-Holland (PV);2023;16651;16651;0;4376;4376;0
124;Totaal gemeentelijke taakvelden;Zuid-Holland (PV);2024;17943;17943;0;4672;4672;0
125;Totaal gemeentelijke taakvelden;Zuid-Holland (PV);2025;19198;19198;0;4970;4970;0
126;Totaal gemeentelijke taakvelden;Zeeland (PV);2017;1149;1149;0;3010;3010;0
127;Totaal gemeentelijke taakvelden;Zeeland (PV);2018;1176;1176;0;3077;3076;0
