ID;Gewassen;BiologischeBestrijders;Perioden;BedrijvenMetBiologischeBestrijders_1;BedrijvenMetBiologischeBestrijders_2;OppervlakteMetBestrijders_3;OppervlakteMetBestrijdersRelatief_4;IngezetteBiologischeBestrijders_5;TotaalOppervlakte_6;OppervlakteMetBiologischeBestrijders_7
170;Aardbeien, onder glas;D Aaltje totaal;2020;6.0;2.5;7.0;1.4;469454.0;931.0;65463.0
171;Aardbeien, onder glas;D01 Steinernema carpocapsae;2012;;;;;;;
172;Aardbeien, onder glas;D01 Steinernema carpocapsae;2016;;;;;;;
173;Aardbeien, onder glas;D01 Steinernema carpocapsae;2020;2.0;0.8;3.0;0.7;30104.0;60.0;9146.0
174;Aardbeien, onder glas;D02 Steinernema feltiae;2012;;;;;;;
175;Aardbeien, onder glas;D02 Steinernema feltiae;2016;;;;;;;
176;Aardbeien, onder glas;D02 Steinernema feltiae;2020;2.0;0.8;3.0;0.7;30104.0;60.0;9146.0
177;Aardbeien, onder glas;D99 Aaltje, overig;2012;;;;;;;
178;Aardbeien, onder glas;D99 Aaltje, overig;2016;;;;;;;
179;Aardbeien, onder glas;D99 Aaltje, overig;2020;4.0;1.7;4.0;0.8;409245.0;812.0;105477.0
180;Bladplanten onder glas;Totaal bestrijders;2012;105.0;33.1;246.0;50.7;;;
181;Bladplanten onder glas;Totaal bestrijders;2016;178.0;73.8;337.0;86.0;;;
182;Bladplanten onder glas;Totaal bestrijders;2020;173.0;71.1;372.0;80.8;;;
183;Bladplanten onder glas;A Roofmijt en rooftrips totaal;2012;80.0;25.2;196.0;40.6;514935.0;1063.0;2621.0
184;Bladplanten onder glas;A Roofmijt en rooftrips totaal;2016;162.0;67.4;309.0;79.0;710575.0;1814.0;2296.0
185;Bladplanten onder glas;A Roofmijt en rooftrips totaal;2020;139.0;57.2;309.0;67.2;4558508.0;9914.0;14762.0
186;Bladplanten onder glas;A01 Amblydromalus limonicus;2012;;;;;;;
187;Bladplanten onder glas;A01 Amblydromalus limonicus;2016;;;;;;;
188;Bladplanten onder glas;A01 Amblydromalus limonicus;2020;4.0;1.5;4.0;0.8;2861.0;6.0;765.0
189;Bladplanten onder glas;A02 Amblyseius degenerans;2012;;;;;;;
190;Bladplanten onder glas;A02 Amblyseius degenerans;2016;;;;;;;
191;Bladplanten onder glas;A02 Amblyseius degenerans;2020;2.0;0.7;2.0;0.5;1365.0;3.0;641.0
192;Bladplanten onder glas;A03 Amblyseius swirskii;2012;52.0;16.6;191.0;39.5;199935.0;413.0;1046.0
193;Bladplanten onder glas;A03 Amblyseius swirskii;2016;57.0;23.7;127.0;32.4;249744.0;638.0;1968.0
194;Bladplanten onder glas;A03 Amblyseius swirskii;2020;54.0;22.3;140.0;30.4;680222.0;1479.0;4866.0
195;Bladplanten onder glas;A04 Macrocheles robustulus;2012;;;;;;;
196;Bladplanten onder glas;A04 Macrocheles robustulus;2016;19.0;7.9;35.0;8.9;27174.0;69.0;781.0
197;Bladplanten onder glas;A04 Macrocheles robustulus;2020;22.0;9.1;70.0;15.3;374210.0;814.0;5321.0
198;Bladplanten onder glas;A05 Neioseiulus californicus;2012;44.0;14.0;117.0;24.1;71683.0;148.0;614.0
199;Bladplanten onder glas;A05 Neioseiulus californicus;2016;56.0;23.3;100.0;25.6;48166.0;123.0;481.0
200;Bladplanten onder glas;A05 Neioseiulus californicus;2020;31.0;12.7;84.0;18.2;48295.0;105.0;576.0
201;Bladplanten onder glas;A06 Neioseiulus cucumeris;2012;28.0;8.9;85.0;17.5;135074.0;279.0;1597.0
202;Bladplanten onder glas;A06 Neioseiulus cucumeris;2016;40.0;16.6;78.0;19.8;177733.0;454.0;2291.0
203;Bladplanten onder glas;A06 Neioseiulus cucumeris;2020;22.0;8.9;77.0;16.7;464545.0;1010.0;6043.0
204;Bladplanten onder glas;A07 Phytoseiulus persimilis;2012;49.0;15.6;133.0;27.4;11404.0;24.0;86.0
205;Bladplanten onder glas;A07 Phytoseiulus persimilis;2016;101.0;42.0;205.0;52.3;35323.0;90.0;173.0
206;Bladplanten onder glas;A07 Phytoseiulus persimilis;2020;76.0;31.1;173.0;37.7;44065.0;96.0;254.0
207;Bladplanten onder glas;A08 Stratiolaelaps scimitus;2012;;;;;;;
208;Bladplanten onder glas;A08 Stratiolaelaps scimitus;2016;70.0;29.2;144.0;36.8;166602.0;425.0;1156.0
209;Bladplanten onder glas;A08 Stratiolaelaps scimitus;2020;64.0;26.4;145.0;31.6;220735.0;480.0;1518.0
210;Bladplanten onder glas;A09 Transeius montdorensis;2012;;;;;;;
211;Bladplanten onder glas;A09 Transeius montdorensis;2016;;;;;;;
212;Bladplanten onder glas;A09 Transeius montdorensis;2020;36.0;15.0;120.0;26.0;2661160.0;5787.0;22230.0
213;Bladplanten onder glas;A99 Roofmijt en rooftrips, overig;2012;;;;;;;
214;Bladplanten onder glas;A99 Roofmijt en rooftrips, overig;2016;;;;;;;
215;Bladplanten onder glas;A99 Roofmijt en rooftrips, overig;2020;21.0;8.6;38.0;8.3;61050.0;133.0;1591.0
216;Bladplanten onder glas;B Sluipwesp en galmug totaal;2012;53.0;16.9;162.0;33.5;3704.0;8.0;23.0
217;Bladplanten onder glas;B Sluipwesp en galmug totaal;2016;65.0;27.0;94.0;24.1;4839.0;12.0;51.0
218;Bladplanten onder glas;B Sluipwesp en galmug totaal;2020;66.0;27.0;175.0;38.1;74584.0;162.0;426.0
219;Bladplanten onder glas;B01 Aphidius colemani;2012;37.0;11.7;91.0;18.9;588.0;1.0;6.0
220;Bladplanten onder glas;B01 Aphidius colemani;2016;50.0;20.7;66.0;16.9;1076.0;3.0;16.0
221;Bladplanten onder glas;B01 Aphidius colemani;2020;36.0;14.8;90.0;19.6;4339.0;9.0;48.0
222;Bladplanten onder glas;B02 Aphidius ervi;2012;;;;;;;
223;Bladplanten onder glas;B02 Aphidius ervi;2016;;;;;;;
224;Bladplanten onder glas;B02 Aphidius ervi;2020;22.0;8.9;44.0;9.5;2502.0;5.0;57.0
225;Bladplanten onder glas;B03 Aphidoletes aphidimyza;2012;;;;;;;
226;Bladplanten onder glas;B03 Aphidoletes aphidimyza;2016;27.0;11.3;53.0;13.5;1861.0;5.0;35.0
227;Bladplanten onder glas;B03 Aphidoletes aphidimyza;2020;32.0;13.0;77.0;16.8;6106.0;13.0;79.0
228;Bladplanten onder glas;B04 Diglyphus isaea;2012;;;;;;;
229;Bladplanten onder glas;B04 Diglyphus isaea;2016;;;;;;;
230;Bladplanten onder glas;B04 Diglyphus isaea;2020;2.0;0.7;4.0;0.8;364.0;1.0;104.0
231;Bladplanten onder glas;B05 Encarsia formosa;2012;;;;;;;
232;Bladplanten onder glas;B05 Encarsia formosa;2016;;;;;;;
233;Bladplanten onder glas;B05 Encarsia formosa;2020;8.0;3.4;22.0;4.9;2363.0;5.0;106.0
234;Bladplanten onder glas;B06 Eretmocerus eremicus;2012;;;;;;;
235;Bladplanten onder glas;B06 Eretmocerus eremicus;2016;;;;;;;
236;Bladplanten onder glas;B06 Eretmocerus eremicus;2020;6.0;2.6;21.0;4.5;2884.0;6.0;139.0
237;Bladplanten onder glas;B07 Feltiella acarisuga;2012;;;;;;;
238;Bladplanten onder glas;B07 Feltiella acarisuga;2016;;;;;;;
239;Bladplanten onder glas;B07 Feltiella acarisuga;2020;6.0;2.4;23.0;4.9;6124.0;13.0;269.0
240;Bladplanten onder glas;B99 Sluipwesp en galmug, overig;2012;30.0;9.6;110.0;22.6;34.0;0.0;0.0
241;Bladplanten onder glas;B99 Sluipwesp en galmug, overig;2016;;;;;;;
242;Bladplanten onder glas;B99 Sluipwesp en galmug, overig;2020;31.0;12.9;80.0;17.4;49901.0;109.0;622.0
243;Bladplanten onder glas;C Roofwants, -vlieg, -kever totaal;2012;;;;;;;
244;Bladplanten onder glas;C Roofwants, -vlieg, -kever totaal;2016;32.0;13.3;67.0;17.2;968.0;2.0;14.0
245;Bladplanten onder glas;C Roofwants, -vlieg, -kever totaal;2020;52.0;21.6;138.0;30.0;17135.0;37.0;124.0
