ID;Geslacht;Persoonskenmerken;RegioS;WmoClientenGebruikWlz2017Totaal_1;WmoClienten2016InstroomWlz2017_2;SamenloopWmoWlz2016Wlz2017_3;WmoClientenGebruikWlz2017Totaal_4;WmoClienten2016InstroomWlzIn2017_5;SamenloopWmoWlz2016WlzIn2017_6;WmoClientenGebruikWlz2017Totaal_7;WmoClienten2016InstroomWlzIn2017_8;SamenloopWmoWlz2016WlzIn2017_9
103;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Franekeradeel;275.0;70.0;205.0;20.16;5.24;14.92;17.0;4.0;12.0
104;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;De Fryske Marren;480.0;125.0;360.0;18.99;4.85;14.14;12.0;3.0;9.0
105;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Geertruidenberg;400.0;60.0;335.0;22.65;3.47;19.18;22.0;3.0;19.0
106;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Geldermalsen;205.0;60.0;145.0;20.86;6.17;14.7;10.0;3.0;7.0
107;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Geldrop-Mierlo;;;;;;;;;
108;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gemert-Bakel;320.0;45.0;275.0;16.54;2.34;14.2;13.0;2.0;11.0
109;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gennep;175.0;45.0;130.0;22.82;5.61;17.21;12.0;3.0;9.0
110;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Giessenlanden;90.0;35.0;55.0;16.67;6.52;10.14;8.0;3.0;5.0
111;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gilze en Rijen;325.0;55.0;270.0;20.77;3.59;17.18;14.0;2.0;11.0
112;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Goeree-Overflakkee;;;;;;;;;
113;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Goes;;;;;;;;;
114;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Goirle;265.0;45.0;220.0;20.68;3.49;17.2;14.0;2.0;12.0
115;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gooise Meren;730.0;135.0;590.0;20.95;3.94;17.01;16.0;3.0;13.0
116;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gorinchem;545.0;115.0;435.0;22.69;4.7;18.0;19.0;4.0;15.0
117;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gouda;;;;;;;;;
118;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Grave;;;;;;;;;
119;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;'s-Gravenhage;5315.0;1180.0;4140.0;15.39;3.41;11.98;12.0;3.0;9.0
120;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Groningen;;;;;;;;;
121;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Grootegast;100.0;25.0;70.0;20.68;5.7;14.98;10.0;3.0;7.0
122;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Gulpen-Wittem;;;;;;;;;
123;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Haaksbergen;290.0;45.0;245.0;19.71;3.01;16.7;14.0;2.0;12.0
124;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Haaren;175.0;25.0;155.0;28.37;3.69;24.68;15.0;2.0;13.0
125;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Haarlem;1555.0;345.0;1210.0;17.04;3.77;13.27;12.0;3.0;9.0
126;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Haarlemmerliede en Spaarnwoude;;;;;;;;;
127;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Haarlemmermeer;1445.0;230.0;1220.0;18.16;2.86;15.3;12.0;2.0;10.0
128;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Halderberge;360.0;70.0;295.0;20.38;3.83;16.55;14.0;3.0;12.0
129;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Hardenberg;;;;;;;;;
130;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Harderwijk;455.0;125.0;330.0;18.04;4.93;13.12;12.0;3.0;9.0
131;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Hardinxveld-Giessendam;125.0;40.0;85.0;17.84;5.62;12.22;9.0;3.0;6.0
132;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Haren;;;;;;;;;
133;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Harlingen;220.0;50.0;170.0;18.73;4.21;14.52;17.0;4.0;13.0
134;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Hattem;50.0;10.0;40.0;24.88;3.98;20.9;5.0;1.0;4.0
135;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Heemskerk;;;;;;;;;
136;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Heemstede;;;;;;;;;
137;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Heerde;85.0;20.0;65.0;22.83;5.71;17.12;6.0;1.0;4.0
138;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Heerenveen;;;;;;;;;
139;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Heerhugowaard;320.0;85.0;235.0;18.47;4.79;13.68;7.0;2.0;5.0
140;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Heerlen;1520.0;375.0;1140.0;18.01;4.47;13.54;20.0;5.0;15.0
141;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Heeze-Leende;;;;;;;;;
142;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Heiloo;115.0;35.0;75.0;21.97;7.13;14.84;6.0;2.0;4.0
143;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Den Helder;590.0;175.0;415.0;19.74;5.84;13.9;12.0;4.0;9.0
144;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Hellendoorn;490.0;100.0;390.0;20.84;4.23;16.61;17.0;3.0;13.0
145;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Hellevoetsluis;275.0;75.0;200.0;14.69;4.02;10.67;8.0;2.0;6.0
146;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Helmond;900.0;270.0;630.0;11.99;3.62;8.38;12.0;4.0;9.0
147;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Hendrik-Ido-Ambacht;;;;;;;;;
148;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Hengelo (O.);835.0;265.0;565.0;12.98;4.16;8.82;12.0;4.0;8.0
149;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;'s-Hertogenbosch;1855.0;370.0;1490.0;21.91;4.35;17.56;15.0;3.0;12.0
150;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Heumen;;;;;;;;;
151;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Heusden;;;;;;;;;
152;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Hillegom;285.0;60.0;225.0;23.1;4.9;18.2;16.0;3.0;13.0
153;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Hilvarenbeek;;;;;;;;;
154;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Hilversum;;;;;;;;;
155;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Hof van Twente;470.0;100.0;370.0;19.15;3.99;15.16;16.0;3.0;13.0
156;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Hollands Kroon;285.0;85.0;195.0;17.1;5.2;11.9;7.0;2.0;5.0
157;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Hoogeveen;295.0;115.0;185.0;10.24;3.91;6.33;7.0;2.0;4.0
158;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Hoogezand-Sappemeer;;;;;;;;;
159;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Hoorn;445.0;145.0;300.0;11.73;3.78;7.95;8.0;2.0;5.0
160;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Horst aan de Maas;405.0;85.0;315.0;20.77;4.43;16.34;12.0;2.0;9.0
161;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Houten;240.0;60.0;175.0;16.25;4.21;12.03;6.0;2.0;5.0
162;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Huizen;265.0;75.0;190.0;17.77;5.1;12.68;8.0;2.0;6.0
163;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Hulst;130.0;65.0;65.0;14.33;7.17;7.17;6.0;3.0;3.0
164;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;IJsselstein;260.0;70.0;190.0;16.95;4.56;12.39;10.0;3.0;7.0
