ID;InEnUitvoer;Perioden;Oorspronkelijk_1;Werkdaggecorrigeerd_2;Prijs_3;Oorspronkelijk_4;Werkdaggecorrigeerd_5;Oorspronkelijk_6;Werkdaggecorrigeerd_7;Prijs_8;Oorspronkelijk_9;Werkdaggecorrigeerd_10
90;10;1995 mei;39.9;38.6;92.0;43.3;41.9;18.2;12.9;-0.8;19.2;13.8
91;10;1995 juni;40.7;40.5;91.1;44.7;44.5;11.2;13.3;-1.6;13.0;15.2
92;10;1995 2e kwartaal;39.4;39.3;92.3;42.7;42.6;13.4;13.4;-0.8;14.3;14.3
93;10;1995 juli;35.3;36.5;91.9;38.5;39.7;12.7;12.7;-1.1;13.9;14.0
94;10;1995 augustus;35.1;34.3;92.7;37.9;37.0;7.5;7.5;-0.8;8.3;8.3
95;10;1995 september;40.1;40.5;93.6;42.8;43.3;7.7;10.7;0.3;7.4;10.3
96;10;1995 3e kwartaal;36.8;37.1;92.7;39.7;40.0;9.2;10.3;-0.5;9.7;10.9
97;10;1995 oktober;41.0;41.2;92.7;44.2;44.4;13.1;10.0;0.2;12.8;9.8
98;10;1995 november;42.5;41.9;94.1;45.2;44.5;11.4;11.4;-0.5;11.9;12.0
99;10;1995 december;39.3;41.0;96.5;40.8;42.5;1.2;6.1;0.2;1.0;5.8
100;10;1995 4e kwartaal;40.9;41.4;94.4;43.4;43.8;8.4;9.1;0.0;8.5;9.2
101;10;1995;39.3;39.4;93.1;42.3;42.3;11.5;11.7;-0.1;11.7;11.9
102;10;1996 januari;41.4;40.7;91.2;45.4;44.6;8.8;7.9;-1.9;10.9;10.0
103;10;1996 februari;40.7;39.2;90.8;44.9;43.2;8.1;3.0;-2.1;10.5;5.2
104;10;1996 maart;44.9;46.2;92.8;48.4;49.8;0.6;6.2;-0.1;0.7;6.3
105;10;1996 1e kwartaal;42.4;42.0;91.6;46.2;45.9;5.6;5.7;-1.4;7.0;7.1
106;10;1996 april;41.2;40.8;94.5;43.6;43.2;9.3;5.5;0.8;8.4;4.7
107;10;1996 mei;41.9;41.3;91.9;45.6;44.9;5.0;7.0;-0.1;5.1;7.1
108;10;1996 juni;41.2;42.5;91.0;45.3;46.7;1.2;4.8;-0.1;1.4;5.0
109;10;1996 2e kwartaal;41.4;41.5;92.4;44.8;44.9;5.1;5.8;0.2;4.8;5.6
110;10;1996 juli;40.6;39.6;92.2;44.0;43.0;14.8;8.7;0.3;14.4;8.4
111;10;1996 augustus;38.0;38.1;92.6;41.0;41.1;8.1;11.1;-0.1;8.2;11.1
112;10;1996 september;43.2;43.7;94.2;45.8;46.4;7.8;7.8;0.7;7.1;7.1
113;10;1996 3e kwartaal;40.6;40.5;93.0;43.6;43.5;10.1;9.1;0.3;9.8;8.8
114;10;1996 oktober;47.7;46.6;95.0;50.2;49.1;16.2;13.1;2.4;13.5;10.4
115;10;1996 november;45.4;45.9;95.7;47.4;47.9;6.7;9.7;1.7;4.9;7.8
116;10;1996 december;44.2;44.9;98.5;44.9;45.6;12.5;9.5;2.1;10.2;7.2
117;10;1996 4e kwartaal;45.8;45.8;96.4;47.5;47.5;11.7;10.7;2.1;9.5;8.5
118;10;1996;42.5;42.5;93.4;45.5;45.5;8.1;7.9;0.3;7.7;7.5
119;10;1997 januari;45.0;44.2;93.2;48.4;47.5;8.8;8.8;2.2;6.5;6.5
120;10;1997 februari;45.3;45.7;92.7;48.8;49.3;11.1;16.6;2.1;8.8;14.2
121;10;1997 maart;48.2;50.5;93.2;51.7;54.2;7.3;9.4;0.4;6.8;8.9
122;10;1997 1e kwartaal;46.2;46.8;93.0;49.6;50.3;9.0;11.4;1.5;7.3;9.8
123;10;1997 april;48.6;47.3;94.4;51.5;50.1;18.1;15.8;0.0;18.1;15.9
124;10;1997 mei;45.7;46.3;92.8;49.2;49.8;9.1;12.0;1.0;7.9;10.9
125;10;1997 juni;48.3;48.4;92.3;52.4;52.5;17.2;14.1;1.4;15.6;12.5
126;10;1997 2e kwartaal;47.5;47.3;93.2;51.0;50.8;14.7;14.0;0.8;13.8;13.0
127;10;1997 juli;46.9;45.8;95.0;49.3;48.2;15.5;15.5;3.1;12.1;12.1
128;10;1997 augustus;42.6;44.0;96.0;44.4;45.8;12.3;15.4;3.6;8.4;11.4
129;10;1997 september;51.3;50.6;95.9;53.5;52.7;18.8;15.7;1.8;16.7;13.6
130;10;1997 3e kwartaal;46.9;46.8;95.7;49.1;48.9;15.7;15.5;2.8;12.5;12.4
131;10;1997 oktober;53.1;51.8;96.5;55.0;53.7;11.3;11.3;1.6;9.5;9.5
132;10;1997 november;50.0;52.0;97.1;51.5;53.6;10.3;13.3;1.4;8.8;11.8
133;10;1997 december;49.2;48.6;98.3;50.0;49.4;11.2;8.2;-0.2;11.4;8.4
