ID;SexOfEmployee;TypeOfEmploymentContract;OtherCharacteristicsEmployee;IndustryClassBranchSIC2008;Periods;Jobs_1;LabourVolume_2;HourlyWage_3;MonthlyWageIncludingOvertime_4;MonthlyWageExcludingOvertime_5;YearlyWageIncludingBonuses_6;YearlyWageExcludingSpecialPayments_7;BonusesAndAllowances_8;AdditionalTaxLiabilityForCompanyCar_9;PerJobPerWeekIncludingOvertime_10;PerJobPerWeekExcludingOvertime_11;PerJobPerYear_12;PerWorkingYear_13
899;Total;Total;Younger than 15 years;R Culture, sports and recreation;2011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
900;Total;Total;Younger than 15 years;R Culture, sports and recreation;2012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
901;Total;Total;Younger than 15 years;R Culture, sports and recreation;2013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
902;Total;Total;Younger than 15 years;R Culture, sports and recreation;2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
903;Total;Total;Younger than 15 years;R Culture, sports and recreation;2015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
904;Total;Total;Younger than 15 years;R Culture, sports and recreation;2016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
905;Total;Total;Younger than 15 years;R Culture, sports and recreation;2017;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
906;Total;Total;Younger than 15 years;R Culture, sports and recreation;2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
907;Total;Total;Younger than 15 years;R Culture, sports and recreation;2019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
908;Total;Total;Younger than 15 years;R Culture, sports and recreation;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
909;Total;Total;Younger than 15 years;R Culture, sports and recreation;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
910;Total;Total;Younger than 15 years;R Culture, sports and recreation;2022;1.0;0.0;4.86;118.0;118.0;1470.0;1420.0;50.0;0.0;6.3;6.3;291.0;1786.0
911;Total;Total;Younger than 15 years;R Culture, sports and recreation;2023;1.0;0.0;4.83;125.0;125.0;1560.0;1500.0;60.0;0.0;6.8;6.8;311.0;1784.0
912;Total;Total;Younger than 15 years;S Other service activities;2009;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
913;Total;Total;Younger than 15 years;S Other service activities;2010 before change of method;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
914;Total;Total;Younger than 15 years;S Other service activities;2010 after change of method;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
915;Total;Total;Younger than 15 years;S Other service activities;2011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
916;Total;Total;Younger than 15 years;S Other service activities;2012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
917;Total;Total;Younger than 15 years;S Other service activities;2013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
918;Total;Total;Younger than 15 years;S Other service activities;2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
919;Total;Total;Younger than 15 years;S Other service activities;2015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
920;Total;Total;Younger than 15 years;S Other service activities;2016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
921;Total;Total;Younger than 15 years;S Other service activities;2017;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
922;Total;Total;Younger than 15 years;S Other service activities;2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
923;Total;Total;Younger than 15 years;S Other service activities;2019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
924;Total;Total;Younger than 15 years;S Other service activities;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
925;Total;Total;Younger than 15 years;S Other service activities;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
926;Total;Total;Younger than 15 years;S Other service activities;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
927;Total;Total;Younger than 15 years;S Other service activities;2023;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
928;Total;Total;15 to 19 years;A-U All economic activities;2009;568.0;207.0;6.06;327.0;320.0;4260.0;3930.0;330.0;0.0;14.1;13.8;634.0;1739.0
929;Total;Total;15 to 19 years;A-U All economic activities;2010 before change of method;549.0;195.0;6.09;315.0;308.0;4110.0;3780.0;320.0;0.0;13.6;13.3;608.0;1715.0
930;Total;Total;15 to 19 years;A-U All economic activities;2010 after change of method;553.0;196.0;6.08;315.0;308.0;4100.0;3780.0;320.0;0.0;13.6;13.3;608.0;1716.0
931;Total;Total;15 to 19 years;A-U All economic activities;2011;556.0;190.0;6.08;308.0;301.0;3960.0;3700.0;270.0;0.0;13.1;12.9;594.0;1739.0
932;Total;Total;15 to 19 years;A-U All economic activities;2012;541.0;180.0;6.09;298.0;292.0;3830.0;3580.0;250.0;0.0;12.8;12.6;575.0;1727.0
933;Total;Total;15 to 19 years;A-U All economic activities;2013;518.0;171.0;5.95;290.0;284.0;3720.0;3480.0;240.0;0.0;12.8;12.6;572.0;1733.0
934;Total;Total;15 to 19 years;A-U All economic activities;2014;514.0;166.0;5.91;284.0;278.0;3640.0;3410.0;230.0;0.0;12.6;12.3;564.0;1745.0
935;Total;Total;15 to 19 years;A-U All economic activities;2015;534.0;171.0;5.96;285.0;279.0;3650.0;3420.0;230.0;0.0;12.5;12.3;561.0;1747.0
936;Total;Total;15 to 19 years;A-U All economic activities;2016;564.0;188.0;5.86;290.0;286.0;3760.0;3480.0;280.0;0.0;12.9;12.8;585.0;1756.0
937;Total;Total;15 to 19 years;A-U All economic activities;2017;604.0;206.0;6.11;307.0;302.0;3940.0;3680.0;260.0;0.0;13.1;13.0;593.0;1741.0
938;Total;Total;15 to 19 years;A-U All economic activities;2018;644.0;223.0;6.51;331.0;325.0;4260.0;3970.0;290.0;0.0;13.3;13.1;598.0;1732.0
939;Total;Total;15 to 19 years;A-U All economic activities;2019;669.0;231.0;6.89;351.0;346.0;4530.0;4220.0;320.0;10.0;13.3;13.2;602.0;1742.0
940;Total;Total;15 to 19 years;A-U All economic activities;2020;631.0;223.0;7.27;380.0;375.0;4910.0;4560.0;360.0;10.0;13.7;13.6;618.0;1750.0
941;Total;Total;15 to 19 years;A-U All economic activities;2021;648.0;231.0;7.49;393.0;388.0;5080.0;4720.0;360.0;10.0;13.7;13.5;622.0;1745.0
942;Total;Total;15 to 19 years;A-U All economic activities;2022;700.0;248.0;8.18;428.0;423.0;5540.0;5130.0;410.0;10.0;13.6;13.5;620.0;1749.0
943;Total;Total;15 to 19 years;A-U All economic activities;2023;704.0;248.0;9.18;475.0;470.0;6130.0;5700.0;440.0;10.0;13.5;13.4;614.0;1741.0
944;Total;Total;15 to 19 years;A-F Agriculture and industry;2009;56.0;29.0;6.26;487.0;477.0;6190.0;5850.0;340.0;10.0;20.2;20.0;914.0;1791.0
945;Total;Total;15 to 19 years;A-F Agriculture and industry;2010 before change of method;52.0;26.0;6.21;459.0;449.0;5820.0;5510.0;310.0;10.0;19.3;19.0;868.0;1761.0
946;Total;Total;15 to 19 years;A-F Agriculture and industry;2010 after change of method;53.0;26.0;6.21;457.0;447.0;5790.0;5480.0;310.0;10.0;19.2;18.9;863.0;1765.0
947;Total;Total;15 to 19 years;A-F Agriculture and industry;2011;52.0;25.0;6.29;452.0;442.0;5720.0;5420.0;300.0;10.0;18.6;18.3;843.0;1780.0
948;Total;Total;15 to 19 years;A-F Agriculture and industry;2012;50.0;23.0;6.29;438.0;429.0;5530.0;5260.0;270.0;10.0;18.2;17.9;818.0;1771.0
949;Total;Total;15 to 19 years;A-F Agriculture and industry;2013;47.0;22.0;6.01;428.0;419.0;5390.0;5140.0;250.0;10.0;18.6;18.4;837.0;1777.0
950;Total;Total;15 to 19 years;A-F Agriculture and industry;2014;45.0;21.0;5.92;416.0;407.0;5230.0;4990.0;250.0;10.0;18.3;18.0;824.0;1786.0
951;Total;Total;15 to 19 years;A-F Agriculture and industry;2015;45.0;21.0;5.95;417.0;408.0;5240.0;5000.0;240.0;10.0;18.3;18.0;823.0;1776.0
952;Total;Total;15 to 19 years;A-F Agriculture and industry;2016;47.0;22.0;6.04;430.0;420.0;5420.0;5160.0;260.0;10.0;18.5;18.2;834.0;1783.0
953;Total;Total;15 to 19 years;A-F Agriculture and industry;2017;50.0;24.0;6.26;456.0;444.0;5740.0;5470.0;270.0;10.0;18.9;18.6;852.0;1783.0
954;Total;Total;15 to 19 years;A-F Agriculture and industry;2018;52.0;25.0;6.65;495.0;483.0;6250.0;5950.0;300.0;20.0;19.4;19.1;872.0;1779.0
955;Total;Total;15 to 19 years;A-F Agriculture and industry;2019;53.0;26.0;7.02;538.0;525.0;6780.0;6450.0;330.0;20.0;19.8;19.6;897.0;1789.0
956;Total;Total;15 to 19 years;A-F Agriculture and industry;2020;53.0;27.0;7.41;584.0;570.0;7350.0;7000.0;350.0;20.0;20.5;20.2;923.0;1788.0
957;Total;Total;15 to 19 years;A-F Agriculture and industry;2021;54.0;27.0;7.58;590.0;576.0;7470.0;7080.0;390.0;20.0;20.1;19.8;913.0;1797.0
958;Total;Total;15 to 19 years;A-F Agriculture and industry;2022;52.0;27.0;8.35;661.0;646.0;8410.0;7940.0;480.0;20.0;20.4;20.2;929.0;1796.0
959;Total;Total;15 to 19 years;A-F Agriculture and industry;2023;52.0;27.0;9.2;747.0;730.0;9470.0;8960.0;510.0;30.0;21.0;20.7;951.0;1789.0
960;Total;Total;15 to 19 years;A Agriculture, forestry and fishing;2009;20.0;7.0;5.77;316.0;311.0;3960.0;3800.0;170.0;0.0;14.3;14.1;646.0;1777.0
961;Total;Total;15 to 19 years;A Agriculture, forestry and fishing;2010 before change of method;20.0;7.0;5.84;307.0;302.0;3850.0;3690.0;160.0;0.0;13.8;13.6;621.0;1728.0
962;Total;Total;15 to 19 years;A Agriculture, forestry and fishing;2010 after change of method;21.0;7.0;5.89;309.0;304.0;3860.0;3700.0;160.0;0.0;13.7;13.6;619.0;1740.0
963;Total;Total;15 to 19 years;A Agriculture, forestry and fishing;2011;20.0;7.0;6.19;314.0;308.0;3930.0;3760.0;170.0;0.0;13.1;13.0;597.0;1752.0
964;Total;Total;15 to 19 years;A Agriculture, forestry and fishing;2012;20.0;7.0;6.27;316.0;310.0;3930.0;3790.0;140.0;0.0;13.1;13.0;593.0;1752.0
965;Total;Total;15 to 19 years;A Agriculture, forestry and fishing;2013;20.0;7.0;6.05;321.0;316.0;3990.0;3850.0;130.0;0.0;13.9;13.8;627.0;1754.0
966;Total;Total;15 to 19 years;A Agriculture, forestry and fishing;2014;19.0;7.0;6.08;316.0;311.0;3920.0;3790.0;130.0;10.0;13.6;13.4;613.0;1765.0
967;Total;Total;15 to 19 years;A Agriculture, forestry and fishing;2015;19.0;7.0;6.06;316.0;310.0;3900.0;3790.0;110.0;0.0;13.6;13.5;614.0;1763.0
968;Total;Total;15 to 19 years;A Agriculture, forestry and fishing;2016;19.0;7.0;6.1;326.0;320.0;4030.0;3910.0;120.0;0.0;13.9;13.8;629.0;1774.0
969;Total;Total;15 to 19 years;A Agriculture, forestry and fishing;2017;19.0;7.0;6.29;349.0;342.0;4310.0;4180.0;120.0;0.0;14.4;14.3;652.0;1785.0
970;Total;Total;15 to 19 years;A Agriculture, forestry and fishing;2018;19.0;7.0;6.57;377.0;369.0;4660.0;4520.0;140.0;10.0;15.0;14.8;673.0;1782.0
971;Total;Total;15 to 19 years;A Agriculture, forestry and fishing;2019;18.0;7.0;6.83;404.0;395.0;5010.0;4850.0;150.0;10.0;15.3;15.1;694.0;1796.0
972;Total;Total;15 to 19 years;A Agriculture, forestry and fishing;2020;19.0;8.0;7.1;447.0;437.0;5540.0;5370.0;170.0;10.0;16.4;16.2;738.0;1799.0
973;Total;Total;15 to 19 years;A Agriculture, forestry and fishing;2021;19.0;7.0;7.35;437.0;426.0;5430.0;5250.0;180.0;10.0;15.3;15.1;695.0;1803.0
974;Total;Total;15 to 19 years;A Agriculture, forestry and fishing;2022;16.0;6.0;8.32;491.0;478.0;6120.0;5890.0;240.0;10.0;15.2;15.0;690.0;1802.0
975;Total;Total;15 to 19 years;A Agriculture, forestry and fishing;2023;15.0;6.0;9.15;561.0;547.0;7010.0;6740.0;280.0;10.0;15.9;15.7;717.0;1802.0
976;Total;Total;15 to 19 years;B-F Manifacturing and energy;2009;36.0;21.0;6.43;585.0;572.0;7470.0;7020.0;450.0;20.0;23.6;23.3;1068.0;1797.0
977;Total;Total;15 to 19 years;B-F Manifacturing and energy;2010 before change of method;32.0;18.0;6.35;556.0;543.0;7070.0;6670.0;410.0;20.0;22.8;22.4;1025.0;1774.0
978;Total;Total;15 to 19 years;B-F Manifacturing and energy;2010 after change of method;32.0;19.0;6.34;553.0;540.0;7040.0;6640.0;400.0;20.0;22.7;22.3;1022.0;1775.0
979;Total;Total;15 to 19 years;B-F Manifacturing and energy;2011;32.0;18.0;6.32;539.0;526.0;6850.0;6470.0;380.0;20.0;22.0;21.6;998.0;1791.0
980;Total;Total;15 to 19 years;B-F Manifacturing and energy;2012;30.0;16.0;6.29;521.0;508.0;6610.0;6250.0;360.0;20.0;21.5;21.2;970.0;1779.0
981;Total;Total;15 to 19 years;B-F Manifacturing and energy;2013;27.0;15.0;5.99;506.0;493.0;6410.0;6070.0;340.0;10.0;22.0;21.7;989.0;1787.0
982;Total;Total;15 to 19 years;B-F Manifacturing and energy;2014;26.0;14.0;5.85;490.0;477.0;6210.0;5880.0;330.0;10.0;21.7;21.4;980.0;1795.0
983;Total;Total;15 to 19 years;B-F Manifacturing and energy;2015;27.0;14.0;5.89;489.0;477.0;6200.0;5870.0;320.0;10.0;21.6;21.3;971.0;1782.0
984;Total;Total;15 to 19 years;B-F Manifacturing and energy;2016;28.0;15.0;6.01;501.0;488.0;6370.0;6010.0;360.0;20.0;21.6;21.3;974.0;1787.0
985;Total;Total;15 to 19 years;B-F Manifacturing and energy;2017;30.0;17.0;6.24;524.0;509.0;6640.0;6280.0;360.0;20.0;21.7;21.4;979.0;1782.0
986;Total;Total;15 to 19 years;B-F Manifacturing and energy;2018;33.0;18.0;6.68;564.0;549.0;7160.0;6770.0;390.0;20.0;22.0;21.6;987.0;1777.0
987;Total;Total;15 to 19 years;B-F Manifacturing and energy;2019;34.0;19.0;7.09;609.0;594.0;7740.0;7310.0;420.0;30.0;22.3;21.9;1005.0;1786.0
988;Total;Total;15 to 19 years;B-F Manifacturing and energy;2020;34.0;19.0;7.54;661.0;646.0;8380.0;7930.0;450.0;30.0;22.8;22.5;1028.0;1784.0
989;Total;Total;15 to 19 years;B-F Manifacturing and energy;2021;35.0;20.0;7.66;673.0;658.0;8580.0;8080.0;500.0;20.0;22.7;22.4;1031.0;1794.0
990;Total;Total;15 to 19 years;B-F Manifacturing and energy;2022;36.0;21.0;8.36;737.0;720.0;9420.0;8840.0;580.0;30.0;22.7;22.4;1034.0;1794.0
991;Total;Total;15 to 19 years;B-F Manifacturing and energy;2023;37.0;22.0;9.22;821.0;803.0;10450.0;9850.0;600.0;30.0;23.1;22.8;1045.0;1786.0
992;Total;Total;15 to 19 years;B-E Industry (no construction), energy;2009;23.0;12.0;5.8;455.0;444.0;5890.0;5460.0;430.0;10.0;20.4;20.1;920.0;1790.0
993;Total;Total;15 to 19 years;B-E Industry (no construction), energy;2010 before change of method;21.0;11.0;5.76;434.0;423.0;5590.0;5210.0;380.0;10.0;19.6;19.3;881.0;1764.0
994;Total;Total;15 to 19 years;B-E Industry (no construction), energy;2010 after change of method;21.0;11.0;5.76;433.0;422.0;5570.0;5190.0;380.0;10.0;19.5;19.2;878.0;1765.0
995;Total;Total;15 to 19 years;B-E Industry (no construction), energy;2011;22.0;11.0;5.83;430.0;420.0;5530.0;5160.0;360.0;0.0;19.0;18.7;864.0;1781.0
996;Total;Total;15 to 19 years;B-E Industry (no construction), energy;2012;21.0;10.0;5.87;425.0;414.0;5440.0;5100.0;340.0;10.0;18.8;18.5;848.0;1770.0
997;Total;Total;15 to 19 years;B-E Industry (no construction), energy;2013;20.0;10.0;5.6;425.0;414.0;5410.0;5090.0;320.0;10.0;19.8;19.5;888.0;1780.0
998;Total;Total;15 to 19 years;B-E Industry (no construction), energy;2014;19.0;10.0;5.52;421.0;410.0;5370.0;5050.0;320.0;10.0;19.8;19.5;892.0;1787.0
999;Total;Total;15 to 19 years;B-E Industry (no construction), energy;2015;20.0;10.0;5.58;423.0;412.0;5380.0;5070.0;310.0;10.0;19.7;19.4;885.0;1775.0
1000;Total;Total;15 to 19 years;B-E Industry (no construction), energy;2016;20.0;10.0;5.68;429.0;418.0;5480.0;5150.0;340.0;10.0;19.6;19.3;883.0;1780.0
1001;Total;Total;15 to 19 years;B-E Industry (no construction), energy;2017;22.0;11.0;5.89;444.0;432.0;5660.0;5330.0;330.0;10.0;19.6;19.2;881.0;1776.0
1002;Total;Total;15 to 19 years;B-E Industry (no construction), energy;2018;23.0;11.0;6.27;468.0;456.0;5980.0;5620.0;360.0;10.0;19.5;19.2;873.0;1769.0
1003;Total;Total;15 to 19 years;B-E Industry (no construction), energy;2019;23.0;12.0;6.65;500.0;488.0;6390.0;6000.0;380.0;10.0;19.5;19.2;880.0;1774.0
1004;Total;Total;15 to 19 years;B-E Industry (no construction), energy;2020;22.0;11.0;7.09;540.0;527.0;6880.0;6480.0;400.0;10.0;19.8;19.6;893.0;1772.0
1005;Total;Total;15 to 19 years;B-E Industry (no construction), energy;2021;23.0;11.0;7.17;543.0;530.0;6950.0;6510.0;440.0;10.0;19.6;19.3;886.0;1780.0
1006;Total;Total;15 to 19 years;B-E Industry (no construction), energy;2022;23.0;11.0;7.93;597.0;583.0;7690.0;7160.0;520.0;10.0;19.5;19.2;883.0;1779.0
1007;Total;Total;15 to 19 years;B-E Industry (no construction), energy;2023;23.0;12.0;8.89;673.0;658.0;8630.0;8070.0;550.0;20.0;19.7;19.4;888.0;1772.0
1008;Total;Total;15 to 19 years;B Mining and quarrying ;2009;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1009;Total;Total;15 to 19 years;B Mining and quarrying ;2010 before change of method;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1010;Total;Total;15 to 19 years;B Mining and quarrying ;2010 after change of method;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1011;Total;Total;15 to 19 years;B Mining and quarrying ;2011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1012;Total;Total;15 to 19 years;B Mining and quarrying ;2012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1013;Total;Total;15 to 19 years;B Mining and quarrying ;2013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1014;Total;Total;15 to 19 years;B Mining and quarrying ;2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1015;Total;Total;15 to 19 years;B Mining and quarrying ;2015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1016;Total;Total;15 to 19 years;B Mining and quarrying ;2016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1017;Total;Total;15 to 19 years;B Mining and quarrying ;2017;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1018;Total;Total;15 to 19 years;B Mining and quarrying ;2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1019;Total;Total;15 to 19 years;B Mining and quarrying ;2019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1020;Total;Total;15 to 19 years;B Mining and quarrying ;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1021;Total;Total;15 to 19 years;B Mining and quarrying ;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1022;Total;Total;15 to 19 years;B Mining and quarrying ;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1023;Total;Total;15 to 19 years;B Mining and quarrying ;2023;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1024;Total;Total;15 to 19 years;C Manufacturing;2009;22.0;11.0;5.79;451.0;441.0;5840.0;5410.0;430.0;10.0;20.2;19.9;914.0;1790.0
1025;Total;Total;15 to 19 years;C Manufacturing;2010 before change of method;21.0;10.0;5.75;430.0;419.0;5530.0;5160.0;380.0;10.0;19.4;19.1;875.0;1764.0
1026;Total;Total;15 to 19 years;C Manufacturing;2010 after change of method;21.0;10.0;5.75;429.0;418.0;5520.0;5140.0;380.0;10.0;19.4;19.1;873.0;1764.0
1027;Total;Total;15 to 19 years;C Manufacturing;2011;21.0;10.0;5.82;426.0;416.0;5470.0;5120.0;360.0;0.0;18.9;18.6;858.0;1780.0
1028;Total;Total;15 to 19 years;C Manufacturing;2012;20.0;10.0;5.86;421.0;411.0;5390.0;5060.0;330.0;10.0;18.7;18.4;841.0;1769.0
1029;Total;Total;15 to 19 years;C Manufacturing;2013;19.0;10.0;5.6;422.0;412.0;5370.0;5060.0;310.0;10.0;19.6;19.3;881.0;1777.0
1030;Total;Total;15 to 19 years;C Manufacturing;2014;19.0;9.0;5.52;418.0;408.0;5340.0;5020.0;320.0;0.0;19.7;19.4;887.0;1785.0
1031;Total;Total;15 to 19 years;C Manufacturing;2015;19.0;9.0;5.58;420.0;410.0;5360.0;5040.0;310.0;0.0;19.6;19.3;881.0;1774.0
1032;Total;Total;15 to 19 years;C Manufacturing;2016;20.0;10.0;5.68;427.0;416.0;5460.0;5130.0;340.0;10.0;19.5;19.2;879.0;1778.0
1033;Total;Total;15 to 19 years;C Manufacturing;2017;21.0;10.0;5.89;442.0;430.0;5630.0;5300.0;330.0;10.0;19.5;19.2;877.0;1774.0
1034;Total;Total;15 to 19 years;C Manufacturing;2018;22.0;11.0;6.27;467.0;455.0;5950.0;5600.0;360.0;10.0;19.4;19.1;870.0;1768.0
1035;Total;Total;15 to 19 years;C Manufacturing;2019;23.0;11.0;6.64;496.0;484.0;6330.0;5950.0;380.0;10.0;19.4;19.1;876.0;1773.0
1036;Total;Total;15 to 19 years;C Manufacturing;2020;22.0;11.0;7.07;536.0;524.0;6830.0;6430.0;400.0;10.0;19.8;19.5;890.0;1770.0
1037;Total;Total;15 to 19 years;C Manufacturing;2021;22.0;11.0;7.14;538.0;526.0;6890.0;6460.0;440.0;10.0;19.5;19.2;884.0;1778.0
1038;Total;Total;15 to 19 years;C Manufacturing;2022;22.0;11.0;7.89;591.0;578.0;7600.0;7090.0;510.0;10.0;19.4;19.1;879.0;1778.0
1039;Total;Total;15 to 19 years;C Manufacturing;2023;22.0;11.0;8.83;663.0;648.0;8490.0;7950.0;540.0;10.0;19.5;19.2;881.0;1771.0
1040;Total;Total;15 to 19 years;D Energy supply;2009;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1041;Total;Total;15 to 19 years;D Energy supply;2010 before change of method;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1042;Total;Total;15 to 19 years;D Energy supply;2010 after change of method;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1043;Total;Total;15 to 19 years;D Energy supply;2011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1044;Total;Total;15 to 19 years;D Energy supply;2012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1045;Total;Total;15 to 19 years;D Energy supply;2013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1046;Total;Total;15 to 19 years;D Energy supply;2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1047;Total;Total;15 to 19 years;D Energy supply;2015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1048;Total;Total;15 to 19 years;D Energy supply;2016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1049;Total;Total;15 to 19 years;D Energy supply;2017;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1050;Total;Total;15 to 19 years;D Energy supply;2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1051;Total;Total;15 to 19 years;D Energy supply;2019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1052;Total;Total;15 to 19 years;D Energy supply;2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1053;Total;Total;15 to 19 years;D Energy supply;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1054;Total;Total;15 to 19 years;D Energy supply;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1055;Total;Total;15 to 19 years;D Energy supply;2023;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1056;Total;Total;15 to 19 years;E Water supply and waste management;2009;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1057;Total;Total;15 to 19 years;E Water supply and waste management;2010 before change of method;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1058;Total;Total;15 to 19 years;E Water supply and waste management;2010 after change of method;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1059;Total;Total;15 to 19 years;E Water supply and waste management;2011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1060;Total;Total;15 to 19 years;E Water supply and waste management;2012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
