ID;Geslacht;Leeftijd;Perioden;TotaalAantalWIJUitkeringen_1;Alleenstaande_2;AlleenstaandeOuder_3;EchtPaar_4;DuurKorterDanEenJaar_5;DuurVanEenJaarOfLanger_6
306;Vrouwen;18 tot 21 jaar;2010 juli;2570;1620;910;20;2570;0
307;Vrouwen;18 tot 21 jaar;2010 augustus;2540;1610;900;20;2540;0
308;Vrouwen;18 tot 21 jaar;2010 september;2480;1560;890;20;2480;10
309;Vrouwen;18 tot 21 jaar;2010 oktober;2440;1530;880;20;2360;80
310;Vrouwen;18 tot 21 jaar;2010 november;2510;1590;890;20;2370;140
311;Vrouwen;18 tot 21 jaar;2010 december;2520;1630;860;20;2320;190
312;Vrouwen;18 tot 21 jaar;2011 januari;2530;1650;860;10;2250;270
313;Vrouwen;18 tot 21 jaar;2011 februari;2600;1720;860;10;2270;330
314;Vrouwen;18 tot 21 jaar;2011 maart;2700;1780;890;10;2330;370
315;Vrouwen;18 tot 21 jaar;2011 april;2770;1820;910;10;2340;420
316;Vrouwen;18 tot 21 jaar;2011 mei;2760;1810;920;10;2290;470
317;Vrouwen;18 tot 21 jaar;2011 juni;2740;1790;910;10;2090;640
318;Vrouwen;18 tot 21 jaar;2011 juli;2690;1750;910;10;2030;660
319;Vrouwen;18 tot 21 jaar;2011 augustus;2570;1670;870;10;1900;670
320;Vrouwen;18 tot 21 jaar;2011 september;2380;1550;790;10;1710;660
321;Vrouwen;18 tot 21 jaar;2011 oktober;2330;1510;790;10;1690;650
322;Vrouwen;18 tot 21 jaar;2011 november;2350;1530;790;10;1710;640
323;Vrouwen;18 tot 21 jaar;2011 december;2380;1570;790;10;1770;620
324;Vrouwen;21 tot 23 jaar;2009 oktober;30;30;10;0;30;0
325;Vrouwen;21 tot 23 jaar;2009 november;170;110;50;0;170;0
326;Vrouwen;21 tot 23 jaar;2009 december;430;290;120;10;430;0
327;Vrouwen;21 tot 23 jaar;2010 januari;700;490;190;20;700;0
328;Vrouwen;21 tot 23 jaar;2010 februari;970;680;270;20;970;0
329;Vrouwen;21 tot 23 jaar;2010 maart;1360;940;380;30;1360;0
330;Vrouwen;21 tot 23 jaar;2010 april;1670;1140;490;20;1670;0
331;Vrouwen;21 tot 23 jaar;2010 mei;1930;1310;580;30;1930;0
332;Vrouwen;21 tot 23 jaar;2010 juni;2220;1440;730;20;2220;0
333;Vrouwen;21 tot 23 jaar;2010 juli;4010;2150;1780;40;4010;0
334;Vrouwen;21 tot 23 jaar;2010 augustus;3990;2120;1790;40;3990;0
335;Vrouwen;21 tot 23 jaar;2010 september;3910;2050;1780;30;3890;20
336;Vrouwen;21 tot 23 jaar;2010 oktober;3880;2040;1750;30;3760;130
337;Vrouwen;21 tot 23 jaar;2010 november;3890;2020;1780;40;3650;240
338;Vrouwen;21 tot 23 jaar;2010 december;3950;2060;1800;40;3590;360
339;Vrouwen;21 tot 23 jaar;2011 januari;4030;2130;1820;40;3540;490
340;Vrouwen;21 tot 23 jaar;2011 februari;4120;2180;1850;50;3500;620
341;Vrouwen;21 tot 23 jaar;2011 maart;4240;2310;1830;60;3510;730
342;Vrouwen;21 tot 23 jaar;2011 april;4360;2400;1860;50;3510;850
343;Vrouwen;21 tot 23 jaar;2011 mei;4400;2440;1860;60;3440;960
344;Vrouwen;21 tot 23 jaar;2011 juni;4410;2430;1900;50;2840;1570
345;Vrouwen;21 tot 23 jaar;2011 juli;4310;2350;1890;50;2740;1570
346;Vrouwen;21 tot 23 jaar;2011 augustus;4170;2240;1860;40;2590;1580
347;Vrouwen;21 tot 23 jaar;2011 september;3940;2100;1750;40;2380;1550
348;Vrouwen;21 tot 23 jaar;2011 oktober;3870;2070;1710;40;2350;1520
349;Vrouwen;21 tot 23 jaar;2011 november;3860;2060;1720;40;2300;1560
350;Vrouwen;21 tot 23 jaar;2011 december;3930;2100;1760;40;2380;1550
351;Vrouwen;23 tot 25 jaar;2009 oktober;50;20;30;0;50;0
352;Vrouwen;23 tot 25 jaar;2009 november;180;110;70;10;180;0
353;Vrouwen;23 tot 25 jaar;2009 december;420;240;160;10;420;0
354;Vrouwen;23 tot 25 jaar;2010 januari;670;400;260;10;670;0
355;Vrouwen;23 tot 25 jaar;2010 februari;970;570;380;20;970;0
356;Vrouwen;23 tot 25 jaar;2010 maart;1330;780;510;30;1330;0
357;Vrouwen;23 tot 25 jaar;2010 april;1670;970;640;30;1670;0
358;Vrouwen;23 tot 25 jaar;2010 mei;1970;1140;770;40;1970;0
359;Vrouwen;23 tot 25 jaar;2010 juni;2380;1320;980;50;2380;0
360;Vrouwen;23 tot 25 jaar;2010 juli;5420;2420;2840;100;5420;0
361;Vrouwen;23 tot 25 jaar;2010 augustus;5470;2430;2870;90;5470;0
362;Vrouwen;23 tot 25 jaar;2010 september;5420;2420;2850;80;5390;30
363;Vrouwen;23 tot 25 jaar;2010 oktober;5470;2470;2840;80;5330;140
364;Vrouwen;23 tot 25 jaar;2010 november;5550;2520;2860;90;5270;270
365;Vrouwen;23 tot 25 jaar;2010 december;5620;2540;2900;100;5180;440
366;Vrouwen;23 tot 25 jaar;2011 januari;5670;2570;2920;100;5050;620
367;Vrouwen;23 tot 25 jaar;2011 februari;5700;2590;2910;100;4880;810
368;Vrouwen;23 tot 25 jaar;2011 maart;5780;2670;2920;100;4790;1000
369;Vrouwen;23 tot 25 jaar;2011 april;5860;2730;2940;100;4680;1180
370;Vrouwen;23 tot 25 jaar;2011 mei;5920;2780;2930;100;4480;1440
371;Vrouwen;23 tot 25 jaar;2011 juni;5930;2800;2940;100;3140;2790
372;Vrouwen;23 tot 25 jaar;2011 juli;5880;2780;2910;100;3060;2820
373;Vrouwen;23 tot 25 jaar;2011 augustus;5790;2690;2900;90;2890;2890
374;Vrouwen;23 tot 25 jaar;2011 september;5560;2610;2740;90;2700;2860
375;Vrouwen;23 tot 25 jaar;2011 oktober;5500;2570;2730;100;2670;2830
376;Vrouwen;23 tot 25 jaar;2011 november;5510;2580;2740;90;2670;2840
377;Vrouwen;23 tot 25 jaar;2011 december;5490;2570;2730;90;2600;2890
378;Vrouwen;25 tot 27 jaar;2009 oktober;50;30;20;0;50;0
379;Vrouwen;25 tot 27 jaar;2009 november;190;90;90;10;190;0
380;Vrouwen;25 tot 27 jaar;2009 december;400;200;190;10;400;0
381;Vrouwen;25 tot 27 jaar;2010 januari;700;350;320;30;700;0
382;Vrouwen;25 tot 27 jaar;2010 februari;1020;530;450;40;1020;0
383;Vrouwen;25 tot 27 jaar;2010 maart;1360;690;610;50;1360;0
384;Vrouwen;25 tot 27 jaar;2010 april;1700;840;790;40;1700;0
385;Vrouwen;25 tot 27 jaar;2010 mei;2000;960;960;40;2000;0
386;Vrouwen;25 tot 27 jaar;2010 juni;2490;1140;1260;50;2490;0
387;Vrouwen;25 tot 27 jaar;2010 juli;6490;2310;3950;110;6490;0
388;Vrouwen;25 tot 27 jaar;2010 augustus;6600;2360;4000;110;6600;0
389;Vrouwen;25 tot 27 jaar;2010 september;6600;2370;3980;120;6570;30
390;Vrouwen;25 tot 27 jaar;2010 oktober;6710;2420;4040;120;6530;190
391;Vrouwen;25 tot 27 jaar;2010 november;6770;2440;4080;130;6390;380
392;Vrouwen;25 tot 27 jaar;2010 december;6880;2500;4100;140;6260;620
393;Vrouwen;25 tot 27 jaar;2011 januari;6910;2550;4090;140;6090;820
394;Vrouwen;25 tot 27 jaar;2011 februari;6990;2570;4120;150;5960;1030
395;Vrouwen;25 tot 27 jaar;2011 maart;7070;2600;4150;160;5860;1210
396;Vrouwen;25 tot 27 jaar;2011 april;7130;2630;4180;160;5720;1400
397;Vrouwen;25 tot 27 jaar;2011 mei;7220;2660;4260;140;5420;1800
398;Vrouwen;25 tot 27 jaar;2011 juni;7260;2690;4280;150;3410;3860
399;Vrouwen;25 tot 27 jaar;2011 juli;7210;2670;4250;150;3330;3880
400;Vrouwen;25 tot 27 jaar;2011 augustus;7060;2600;4180;130;3140;3920
401;Vrouwen;25 tot 27 jaar;2011 september;6930;2620;3970;120;3030;3900
402;Vrouwen;25 tot 27 jaar;2011 oktober;6770;2520;3960;120;2960;3820
403;Vrouwen;25 tot 27 jaar;2011 november;6750;2520;3940;120;2920;3820
404;Vrouwen;25 tot 27 jaar;2011 december;6730;2540;3910;120;2940;3790
