ID;Perioden;BrutoBinnenlandsProductMarktprijzen_1;Afschrijvingen_2;ExploitatieoverschotNetto_3;NationaalInkomenNetto_4;BeschikbaarNationaalInkomenNetto_5;NationaleBesparingenNetto_6;InvesteringenBruto_7;NationaalVorderingensaldo_8;VeranderingInFinancieelVermogen_9;ArbeidsvolumeWerkzamePersonen_10;Productiewaarde_11;BrutoToegevoegdeWaarde_12;ExploitatieoverschotNetto_13;NettowinstVoorBelasting_14;Winstquote_15;InvesteringenBruto_16;Investeringsquote_17;ArbeidsvolumeWerknemers_18;BrutoToegevoegdeWaarde_19;NettowinstVoorBelasting_20;FinancieleActiva_21;SaldoKredietenAanPrivateSector_22;KredietAanPrivateSectorUltimoStand_23;ArbeidsvolumeWerknemers_24;TotaalInkomsten_25;BelastingEnPremieontvangsten_26;TotaalUitgaven_27;OverheidsschuldEMU_28;OverheidssaldoEMU_29;ArbeidsvolumeWerknemers_30;GemengdInkomenNetto_31;BeschikbaarInkomenNetto_32;NettoReeelBeschikbaarInkomen_33;ConsumptieveBestedingenBruto_34;VrijeIndividueleBesparingenNetto_35;Spaarquote_36;InvesteringenBruto_37;Investeringsquote_38;TotaalVorderingen_39;SpaartegoedenEnOverigeDepositoS_40;AandelenEnOverigeDeelnemingen_41;VoorzieningenLevensverzekeringen_42;VoorzieningenPensioenverzekeringen_43;TotaalSchulden_44;Woninghypotheken_45;SaldoOpgenomenEnAfgelosteHypotheken_46;ArbeidsvolumeWerknemers_47;ArbeidsvolumeZelfstandigen_48;AandeelUitvoeroverschotInBbp_49;Uitvoeroverschot_50;SaldoPrimaireInkomensBuitenland_51;SaldoInkomensoverdrachtenBuitenland_52;SaldoKapitaaloverdrachtenBuitenland_53
61;2010 1e kwartaal;143076;22042;36396;116347;113362;7891;25467.0;3915;2386.0;;191880.0;81194.0;23227.0;24838.0;42.7;11135.0;12.9;;10266.0;29957.0;6596439.0;7873.0;988163.0;;46.2;38.2;51.8;61.6;-5.7;;8321.0;57362.0;-0.8;66310.0;-8948.0;1.6;7871.0;11.6;1698326.0;310418.0;220765.0;190379.0;801376.0;777700.0;643988.0;4415.0;;;8.5;12103.0;-4687.0;-2985.0;-551.0
62;2010 2e kwartaal;148093;22296;23084;126804;124515;14239;28537.0;7580;7331.0;;194194.0;81394.0;11331.0;19740.0;28.1;14249.0;16.4;;10427.0;30581.0;6742477.0;5321.0;994350.0;;46.2;38.4;52.3;63.4;-6.2;;7499.0;79565.0;-0.8;66519.0;13046.0;24.9;8252.0;9.2;1704364.0;316683.0;215119.0;185008.0;808820.0;779530.0;648592.0;4622.0;;;6.2;9254.0;1007.0;-2289.0;-418.0
63;2010 3e kwartaal;141678;22558;36857;116273;114539;7586;23342.0;5877;8252.0;;191111.0;79459.0;22696.0;29350.0;43.2;11058.0;13.9;;10770.0;31168.0;6863846.0;3580.0;996749.0;;45.9;38.2;51.8;63.2;-6.0;;8628.0;61742.0;1.0;67260.0;-5518.0;5.1;6658.0;9.5;1758278.0;315922.0;221992.0;189877.0;853838.0;781531.0;653560.0;4970.0;;;8.0;11336.0;-2847.0;-1734.0;-925.0
64;2010 4e kwartaal;153942;22829;36782;128638;126776;14461;26991.0;8934;7214.0;;206627.0;85845.0;22597.0;28768.0;40.2;12367.0;13.5;;10790.0;31507.0;6800209.0;-111.0;996519.0;;46.3;38.6;51.3;63.4;-5.1;;8923.0;63611.0;-0.2;68110.0;-4499.0;6.4;6912.0;9.4;1772534.0;314799.0;233070.0;195947.0;852549.0;784899.0;657108.0;3593.0;;;9.5;14590.0;-2475.0;-1862.0;-1365.0
65;2010;586789;89725;133119;488062;479192;44177;104337.0;26306;25183.0;6719.3;783812.0;327892.0;79851.0;102696.0;38.5;48809.0;14.2;4104.8;42253.0;123213.0;6800209.0;16663.0;996519.0;216.8;46.3;38.6;51.3;63.4;-5.1;1095.1;33371.0;262280.0;-0.2;268199.0;-5919.0;10.5;29693.0;9.9;1772534.0;314799.0;233070.0;195947.0;852549.0;784899.0;657108.0;17600.0;475.8;826.9;8.1;47283.0;-9002.0;-8870.0;-3259.0
66;2011 1e kwartaal;148740;21851;40285;133196;130023;22755;28047.0;15714;15149.0;;208403.0;85321.0;25875.0;35668.0;43.7;14397.0;15.8;;10349.0;29974.0;6846708.0;4013.0;999694.0;;46.2;38.4;50.8;63.4;-4.7;;9491.0;59904.0;0.5;67846.0;-7942.0;3.1;7839.0;11.1;1771630.0;320130.0;234285.0;194091.0;845664.0;800413.0;661365.0;4316.0;;;9.0;13397.0;6307.0;-3173.0;-845.0
67;2011 2e kwartaal;151443;22102;25481;128650;126457;15033;28234.0;8625;6900.0;;205035.0;83797.0;12631.0;19411.0;28.7;13424.0;16.6;;9953.0;26311.0;6916320.0;5944.0;1005023.0;;45.9;38.2;50.3;64.4;-4.5;;9203.0;82553.0;1.4;67824.0;14729.0;26.6;8374.0;9.0;1783433.0;326367.0;229655.0;194333.0;851371.0;798651.0;666871.0;5559.0;;;7.8;11757.0;-691.0;-2193.0;-276.0
68;2011 3e kwartaal;144154;22362;38115;122818;121184;13395;25032.0;10428;12802.0;;202672.0;82327.0;23896.0;29824.0;43.2;11722.0;13.2;;10244.0;29122.0;7251552.0;3809.0;1009101.0;;46.3;38.5;50.1;65.0;-3.9;;9097.0;60555.0;-0.6;67971.0;-7416.0;4.4;6911.0;9.8;1782313.0;327664.0;217607.0;197534.0;864012.0;802717.0;671663.0;4854.0;;;7.8;11315.0;1026.0;-1634.0;-297.0
69;2011 4e kwartaal;154710;22629;37459;127356;125188;12658;27217.0;7427;9136.0;;213060.0;86914.0;23041.0;29114.0;40.0;13464.0;15.1;;10668.0;26851.0;7370395.0;-4650.0;1004357.0;;45.6;38.1;49.9;65.7;-4.3;;9268.0;64634.0;-0.4;68122.0;-3488.0;7.8;8070.0;11.0;1831526.0;329448.0;222458.0;202834.0;902065.0;808612.0;671182.0;-384.0;;;9.7;14955.0;-4725.0;-2168.0;-643.0
70;2011;599047;88944;141340;512020;502852;63841;108530.0;42194;43987.0;6753.0;829170.0;338359.0;85443.0;114017.0;38.9;53007.0;15.2;4134.2;41214.0;112258.0;7370395.0;9116.0;1004357.0;216.0;45.6;38.1;49.9;65.7;-4.3;1080.8;37059.0;267646.0;-0.4;271763.0;-4117.0;11.6;31194.0;10.1;1831526.0;329448.0;222458.0;202834.0;902065.0;808612.0;671182.0;14345.0;478.9;843.2;8.6;51424.0;1917.0;-9168.0;-2061.0
71;2012 1e kwartaal;149221;21875;40665;131687;128344;19313;25607.0;14995;15152.0;;212824.0;86009.0;25708.0;31221.0;43.3;13084.0;15.1;;11089.0;21419.0;7525853.0;2451.0;1006047.0;;45.7;38.1;50.0;66.7;-4.3;;9176.0;60075.0;-1.3;68762.0;-8687.0;3.2;6900.0;9.8;1888573.0;337839.0;228753.0;207524.0;940084.0;825279.0;671577.0;449.0;;;9.8;14585.0;4341.0;-3343.0;-586.0
72;2012 2e kwartaal;152300;22127;25709;129132;126851;14438;27602.0;8464;8421.0;;209339.0;85116.0;13038.0;19283.0;28.7;14349.0;17.0;;11139.0;22452.0;7567561.0;5404.0;1011608.0;;46.0;38.3;50.0;68.4;-4.1;;7965.0;81077.0;-2.6;67950.0;13127.0;25.2;6987.0;7.7;1912224.0;344263.0;223275.0;209214.0;957229.0;823657.0;673614.0;2103.0;;;8.1;12275.0;-1041.0;-2281.0;-499.0
73;2012 3e kwartaal;142938;22387;36365;121735;119851;10936;24456.0;8667;8731.0;;203687.0;81793.0;22358.0;27760.0;41.7;11558.0;12.5;;11124.0;23215.0;7692011.0;-1171.0;1009702.0;;45.9;38.2;50.2;69.6;-4.4;;7841.0;61504.0;-1.8;68350.0;-6846.0;3.0;6893.0;9.8;1955128.0;346194.0;230041.0;217183.0;989758.0;827305.0;675444.0;1917.0;;;6.7;9564.0;1184.0;-1884.0;-200.0
74;2012 4e kwartaal;154879;22655;36191;133395;130787;17247;27416.0;12044;10311.0;;213613.0;86979.0;22339.0;27616.0;39.5;14392.0;14.5;;11253.0;22572.0;7678721.0;-6458.0;1002195.0;;46.4;38.6;50.4;71.3;-4.1;;8534.0;64812.0;-2.2;68232.0;-3420.0;7.5;6903.0;9.4;1983738.0;346386.0;234427.0;216923.0;1015327.0;833106.0;672269.0;-3086.0;;;9.0;13925.0;1171.0;-2608.0;-442.0
75;2012;599338;89044;138930;515949;505833;61934;105081.0;44170;42615.0;6734.7;839463.0;339897.0;83443.0;105880.0;38.3;53383.0;14.8;4118.0;44605.0;89658.0;7678721.0;226.0;1002195.0;213.5;46.4;38.6;50.4;71.3;-4.1;1057.9;33516.0;267468.0;-2.2;273294.0;-5826.0;10.7;27683.0;9.1;1983738.0;346386.0;234427.0;216923.0;1015327.0;833106.0;672269.0;1383.0;469.0;876.3;8.4;50349.0;5655.0;-10116.0;-1727.0
76;2013 1e kwartaal;149345;22059;39286;130141;126752;16813;22251.0;16140;17190.0;;209136.0;86225.0;24787.0;31287.0;42.4;10651.0;12.9;;11656.0;22395.0;7629131.0;1347.0;1002884.0;;46.8;38.8;49.8;72.0;-3.1;;8296.0;59752.0;-2.6;69100.0;-9348.0;1.1;6158.0;8.8;2031212.0;350993.0;244477.0;220667.0;1043675.0;849573.0;671300.0;-814.0;;;11.5;17163.0;2855.0;-3389.0;-481.0
77;2013 2e kwartaal;151882;22313;23822;128317;125855;13571;25330.0;10275;11246.0;;205063.0;84841.0;11273.0;16069.0;27.2;13470.0;15.7;;11310.0;23386.0;7526521.0;-3998.0;998050.0;;47.3;39.1;49.9;74.0;-2.7;;7546.0;80232.0;-2.6;68009.0;12223.0;24.3;6327.0;7.0;2001792.0;353829.0;239739.0;215989.0;1018504.0;841258.0;669266.0;-1968.0;;;9.4;14277.0;-1252.0;-2462.0;-279.0
78;2013 3e kwartaal;144919;22575;37131;119800;117667;9028;22423.0;8737;5682.0;;200985.0;82479.0;22264.0;29461.0;41.5;9856.0;11.5;;10958.0;22233.0;7443631.0;-12044.0;985108.0;;47.6;39.5;49.9;73.6;-2.4;;9007.0;62661.0;-2.6;68090.0;-5429.0;5.6;6870.0;9.5;2016780.0;351767.0;252027.0;215536.0;1027549.0;843365.0;667643.0;-1521.0;;;9.6;13871.0;-2544.0;-2133.0;-443.0
79;2013 4e kwartaal;156512;22844;37360;131860;128715;15744;27683.0;10515;9946.0;;212530.0;87964.0;22442.0;28471.0;39.1;15911.0;17.4;;10971.0;21974.0;7297449.0;-13311.0;965205.0;;47.3;39.3;49.8;73.5;-2.5;;9585.0;67544.0;-1.1;68261.0;-717.0;11.3;6981.0;9.1;2038238.0;348188.0;258267.0;214667.0;1046829.0;840995.0;663783.0;-3742.0;;;10.1;15876.0;-1808.0;-3145.0;-390.0
80;2013;602658;89791;137599;510118;498989;55156;97687.0;45667;44064.0;;827714.0;341509.0;80766.0;105288.0;37.5;49888.0;14.4;;44895.0;89988.0;7297449.0;-28006.0;965205.0;;47.3;39.3;49.8;73.5;-2.5;;34434.0;270189.0;-1.1;273460.0;-3271.0;11.5;26336.0;8.5;2038238.0;348188.0;258267.0;214667.0;1046829.0;840995.0;663783.0;-8045.0;;;10.2;61187.0;-2749.0;-11129.0;-1593.0
