ID;SIC2008;Periods;InvestmentsExpectedGrowth_1;InvestmentsRealizedGrowth_2
550;D Energy supply;2023;;
551;D Energy supply;2024;34.0;
552;35 Energy supply;2013;;
553;35 Energy supply;2014;;
554;35 Energy supply;2015;;
555;35 Energy supply;2016;;
556;35 Energy supply;2017;;
557;35 Energy supply;2018;;
558;35 Energy supply;2019;;
559;35 Energy supply;2020;;
560;35 Energy supply;2021;;
561;35 Energy supply;2022;;
562;35 Energy supply;2023;;
563;35 Energy supply;2024;34.0;
564;E Water supply and waste management;2013;;
565;E Water supply and waste management;2014;;
566;E Water supply and waste management;2015;;
567;E Water supply and waste management;2016;;
568;E Water supply and waste management;2017;;
569;E Water supply and waste management;2018;;
570;E Water supply and waste management;2019;;
571;E Water supply and waste management;2020;;
572;E Water supply and waste management;2021;;
573;E Water supply and waste management;2022;;
574;E Water supply and waste management;2023;;
575;E Water supply and waste management;2024;32.0;
576;36 Water collection and distribution;2013;;
577;36 Water collection and distribution;2014;;
578;36 Water collection and distribution;2015;;
579;36 Water collection and distribution;2016;;
580;36 Water collection and distribution;2017;;
581;36 Water collection and distribution;2018;;
582;36 Water collection and distribution;2019;;
583;36 Water collection and distribution;2020;;
584;36 Water collection and distribution;2021;;
585;36 Water collection and distribution;2022;;
586;36 Water collection and distribution;2023;;
587;36 Water collection and distribution;2024;21.0;
588;37 Sewerage;2013;;
589;37 Sewerage;2014;;
590;37 Sewerage;2015;;
591;37 Sewerage;2016;;
592;37 Sewerage;2017;;
593;37 Sewerage;2018;;
594;37 Sewerage;2019;;
595;37 Sewerage;2020;;
596;37 Sewerage;2021;;
597;37 Sewerage;2022;;
598;37 Sewerage;2023;;
599;37 Sewerage;2024;-11.0;
600;38 Waste collection and treatment;2013;;
601;38 Waste collection and treatment;2014;;
602;38 Waste collection and treatment;2015;;
603;38 Waste collection and treatment;2016;;
604;38 Waste collection and treatment;2017;;
605;38 Waste collection and treatment;2018;;
606;38 Waste collection and treatment;2019;;
607;38 Waste collection and treatment;2020;;
608;38 Waste collection and treatment;2021;;
609;38 Waste collection and treatment;2022;;
610;38 Waste collection and treatment;2023;;
611;38 Waste collection and treatment;2024;46.0;
612;39 Remediation, other waste management;2013;;
613;39 Remediation, other waste management;2014;;
614;39 Remediation, other waste management;2015;;
615;39 Remediation, other waste management;2016;;
616;39 Remediation, other waste management;2017;;
617;39 Remediation, other waste management;2018;;
618;39 Remediation, other waste management;2019;;
619;39 Remediation, other waste management;2020;;
620;39 Remediation, other waste management;2021;;
621;39 Remediation, other waste management;2022;;
622;39 Remediation, other waste management;2023;;
623;39 Remediation, other waste management;2024;-65.0;
624;F Construction;2013;;
625;F Construction;2014;;
626;F Construction;2015;;
627;F Construction;2016;;
628;F Construction;2017;;
629;F Construction;2018;;
630;F Construction;2019;;
631;F Construction;2020;;
632;F Construction;2021;;
633;F Construction;2022;;
634;F Construction;2023;;
635;F Construction;2024;-32.0;
636;41 Construction buildings, development;2013;;
637;41 Construction buildings, development;2014;;
638;41 Construction buildings, development;2015;;
639;41 Construction buildings, development;2016;;
640;41 Construction buildings, development;2017;;
641;41 Construction buildings, development;2018;;
642;41 Construction buildings, development;2019;;
643;41 Construction buildings, development;2020;;
644;41 Construction buildings, development;2021;;
645;41 Construction buildings, development;2022;;
646;41 Construction buildings, development;2023;;
647;41 Construction buildings, development;2024;0.0;
648;42 Civil engineering;2013;;
649;42 Civil engineering;2014;;
650;42 Civil engineering;2015;;
651;42 Civil engineering;2016;;
652;42 Civil engineering;2017;;
653;42 Civil engineering;2018;;
654;42 Civil engineering;2019;;
655;42 Civil engineering;2020;;
656;42 Civil engineering;2021;;
657;42 Civil engineering;2022;;
658;42 Civil engineering;2023;;
659;42 Civil engineering;2024;-58.0;
660;43 Specialised construction activities;2013;;
661;43 Specialised construction activities;2014;;
662;43 Specialised construction activities;2015;;
663;43 Specialised construction activities;2016;;
664;43 Specialised construction activities;2017;;
665;43 Specialised construction activities;2018;;
666;43 Specialised construction activities;2019;;
667;43 Specialised construction activities;2020;;
668;43 Specialised construction activities;2021;;
669;43 Specialised construction activities;2022;;
670;43 Specialised construction activities;2023;;
671;43 Specialised construction activities;2024;-29.0;
