ID;WayOfEnding;TypeOfPerson;Regions;Periods;EndedDebtRestructuringPlans_1;AverageDuration_2
2346;All ended debt restructuring plans;Natural persons with business;Friesland (PV);2012 2nd quarter;30.0;34.0
2347;All ended debt restructuring plans;Natural persons with business;Friesland (PV);2012 3rd quarter;33.0;33.0
2348;All ended debt restructuring plans;Natural persons with business;Friesland (PV);2012 4th quarter;38.0;36.0
2349;All ended debt restructuring plans;Natural persons with business;Friesland (PV);2012;145.0;32.0
2350;All ended debt restructuring plans;Natural persons with business;Friesland (PV);2013 1st quarter;50.0;33.0
2351;All ended debt restructuring plans;Natural persons with business;Friesland (PV);2013 2nd quarter;60.0;28.0
2352;All ended debt restructuring plans;Natural persons with business;Friesland (PV);2013 3rd quarter;50.0;31.0
2353;All ended debt restructuring plans;Natural persons with business;Friesland (PV);2013 4th quarter;27.0;31.0
2354;All ended debt restructuring plans;Natural persons with business;Friesland (PV);2013;187.0;31.0
2355;All ended debt restructuring plans;Natural persons with business;Friesland (PV);2014 1st quarter;43.0;35.0
2356;All ended debt restructuring plans;Natural persons with business;Friesland (PV);2014 2nd quarter;66.0;32.0
2357;All ended debt restructuring plans;Natural persons with business;Friesland (PV);2014 3rd quarter;54.0;35.0
2358;All ended debt restructuring plans;Natural persons with business;Friesland (PV);2014 4th quarter;68.0;30.0
2359;All ended debt restructuring plans;Natural persons with business;Friesland (PV);2014;231.0;33.0
2360;All ended debt restructuring plans;Natural persons with business;Friesland (PV);2015 1st quarter;59.0;30.0
2361;All ended debt restructuring plans;Natural persons with business;Friesland (PV);2015 2nd quarter;59.0;30.0
2362;All ended debt restructuring plans;Natural persons with business;Friesland (PV);2015 3rd quarter;61.0;33.0
2363;All ended debt restructuring plans;Natural persons with business;Friesland (PV);2015 4th quarter;53.0;31.0
2364;All ended debt restructuring plans;Natural persons with business;Friesland (PV);2015;232.0;31.0
2365;All ended debt restructuring plans;Natural persons with business;Friesland (PV);2016 1st quarter;61.0;31.0
2366;All ended debt restructuring plans;Natural persons with business;Friesland (PV);2016 2nd quarter;55.0;32.0
2367;All ended debt restructuring plans;Natural persons with business;Friesland (PV);2016 3rd quarter;48.0;36.0
2368;All ended debt restructuring plans;Natural persons with business;Friesland (PV);2016 4th quarter;56.0;34.0
2369;All ended debt restructuring plans;Natural persons with business;Friesland (PV);2016;220.0;33.0
2370;All ended debt restructuring plans;Natural persons with business;Friesland (PV);2017 1st quarter;49.0;32.0
2371;All ended debt restructuring plans;Natural persons with business;Friesland (PV);2017 2nd quarter;52.0;34.0
2372;All ended debt restructuring plans;Natural persons with business;Friesland (PV);2017 3rd quarter;60.0;35.0
2373;All ended debt restructuring plans;Natural persons with business;Friesland (PV);2017 4th quarter;34.0;34.0
2374;All ended debt restructuring plans;Natural persons with business;Friesland (PV);2017;195.0;34.0
2375;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);1999 1st quarter;1.0;0.0
2376;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);1999 2nd quarter;1.0;0.0
2377;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);1999 3rd quarter;1.0;0.0
2378;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);1999 4th quarter;2.0;0.0
2379;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);1999;5.0;0.0
2380;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2000 1st quarter;6.0;0.0
2381;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2000 2nd quarter;3.0;4.0
2382;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2000 3rd quarter;1.0;18.0
2383;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2000 4th quarter;1.0;12.0
2384;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2000;11.0;4.0
2385;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2001 1st quarter;4.0;14.0
2386;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2001 2nd quarter;10.0;11.0
2387;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2001 3rd quarter;12.0;11.0
2388;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2001 4th quarter;8.0;6.0
2389;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2001;34.0;10.0
2390;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2002 1st quarter;7.0;6.0
2391;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2002 2nd quarter;3.0;36.0
2392;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2002 3rd quarter;10.0;13.0
2393;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2002 4th quarter;9.0;24.0
2394;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2002;29.0;17.0
2395;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2003 1st quarter;13.0;31.0
2396;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2003 2nd quarter;14.0;28.0
2397;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2003 3rd quarter;13.0;31.0
2398;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2003 4th quarter;17.0;28.0
2399;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2003;57.0;29.0
2400;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2004 1st quarter;16.0;32.0
2401;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2004 2nd quarter;15.0;26.0
2402;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2004 3rd quarter;18.0;32.0
2403;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2004 4th quarter;23.0;32.0
2404;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2004;72.0;31.0
2405;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2005 1st quarter;14.0;28.0
2406;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2005 2nd quarter;23.0;30.0
2407;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2005 3rd quarter;16.0;29.0
2408;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2005 4th quarter;11.0;25.0
2409;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2005;64.0;28.0
2410;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2006 1st quarter;7.0;25.0
2411;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2006 2nd quarter;17.0;35.0
2412;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2006 3rd quarter;20.0;37.0
2413;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2006 4th quarter;11.0;30.0
2414;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2006;55.0;33.0
2415;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2007 1st quarter;23.0;37.0
2416;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2007 2nd quarter;22.0;32.0
2417;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2007 3rd quarter;38.0;37.0
2418;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2007 4th quarter;22.0;36.0
2419;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2007;105.0;36.0
2420;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2008 1st quarter;28.0;38.0
2421;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2008 2nd quarter;27.0;34.0
2422;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2008 3rd quarter;30.0;37.0
2423;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2008 4th quarter;21.0;35.0
2424;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2008;106.0;36.0
2425;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2009 1st quarter;32.0;33.0
2426;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2009 2nd quarter;18.0;37.0
2427;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2009 3rd quarter;10.0;32.0
2428;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2009 4th quarter;27.0;36.0
2429;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2009;87.0;35.0
2430;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2010 1st quarter;19.0;30.0
2431;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2010 2nd quarter;25.0;38.0
2432;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2010 3rd quarter;20.0;36.0
2433;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2010 4th quarter;17.0;29.0
2434;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2010;81.0;34.0
2435;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2011 1st quarter;22.0;35.0
2436;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2011 2nd quarter;12.0;41.0
2437;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2011 3rd quarter;17.0;36.0
2438;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2011 4th quarter;27.0;33.0
2439;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2011;78.0;36.0
2440;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2012 1st quarter;16.0;38.0
2441;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2012 2nd quarter;26.0;39.0
2442;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2012 3rd quarter;23.0;34.0
2443;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2012 4th quarter;22.0;32.0
2444;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2012;87.0;36.0
2445;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2013 1st quarter;15.0;35.0
2446;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2013 2nd quarter;16.0;35.0
2447;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2013 3rd quarter;22.0;36.0
2448;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2013 4th quarter;29.0;36.0
2449;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2013;82.0;36.0
2450;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2014 1st quarter;28.0;35.0
2451;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2014 2nd quarter;24.0;36.0
2452;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2014 3rd quarter;33.0;35.0
2453;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2014 4th quarter;23.0;36.0
2454;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2014;108.0;35.0
2455;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2015 1st quarter;29.0;37.0
2456;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2015 2nd quarter;37.0;34.0
2457;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2015 3rd quarter;37.0;35.0
2458;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2015 4th quarter;39.0;35.0
2459;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2015;142.0;35.0
2460;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2016 1st quarter;37.0;36.0
2461;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2016 2nd quarter;34.0;38.0
2462;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2016 3rd quarter;37.0;32.0
2463;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2016 4th quarter;48.0;36.0
2464;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2016;156.0;36.0
2465;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2017 1st quarter;36.0;35.0
2466;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2017 2nd quarter;48.0;34.0
2467;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2017 3rd quarter;33.0;34.0
2468;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2017 4th quarter;28.0;36.0
2469;All ended debt restructuring plans;Natural persons with business;Drenthe (PV);2017;145.0;35.0
2470;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);1999 1st quarter;;
2471;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);1999 2nd quarter;3.0;1.0
2472;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);1999 3rd quarter;1.0;5.0
2473;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);1999 4th quarter;2.0;1.0
2474;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);1999;6.0;2.0
2475;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2000 1st quarter;6.0;11.0
2476;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2000 2nd quarter;10.0;12.0
2477;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2000 3rd quarter;8.0;13.0
2478;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2000 4th quarter;9.0;14.0
2479;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2000;33.0;13.0
2480;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2001 1st quarter;23.0;17.0
2481;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2001 2nd quarter;9.0;15.0
2482;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2001 3rd quarter;22.0;15.0
2483;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2001 4th quarter;22.0;19.0
2484;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2001;76.0;17.0
2485;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2002 1st quarter;23.0;24.0
2486;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2002 2nd quarter;23.0;27.0
2487;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2002 3rd quarter;20.0;30.0
2488;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2002 4th quarter;34.0;33.0
2489;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2002;100.0;29.0
2490;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2003 1st quarter;22.0;26.0
2491;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2003 2nd quarter;24.0;30.0
2492;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2003 3rd quarter;23.0;22.0
2493;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2003 4th quarter;29.0;30.0
2494;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2003;98.0;27.0
2495;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2004 1st quarter;31.0;28.0
2496;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2004 2nd quarter;42.0;29.0
2497;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2004 3rd quarter;38.0;26.0
2498;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2004 4th quarter;43.0;25.0
2499;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2004;154.0;27.0
2500;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2005 1st quarter;43.0;28.0
2501;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2005 2nd quarter;39.0;27.0
2502;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2005 3rd quarter;41.0;26.0
2503;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2005 4th quarter;24.0;30.0
2504;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2005;147.0;27.0
2505;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2006 1st quarter;24.0;22.0
2506;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2006 2nd quarter;47.0;27.0
2507;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2006 3rd quarter;20.0;32.0
2508;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2006 4th quarter;35.0;30.0
2509;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2006;126.0;28.0
2510;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2007 1st quarter;25.0;25.0
2511;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2007 2nd quarter;31.0;30.0
2512;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2007 3rd quarter;32.0;30.0
2513;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2007 4th quarter;35.0;30.0
2514;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2007;123.0;29.0
2515;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2008 1st quarter;36.0;30.0
2516;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2008 2nd quarter;30.0;31.0
2517;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2008 3rd quarter;32.0;30.0
2518;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2008 4th quarter;54.0;28.0
2519;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2008;152.0;30.0
2520;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2009 1st quarter;29.0;33.0
2521;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2009 2nd quarter;46.0;35.0
2522;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2009 3rd quarter;49.0;31.0
2523;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2009 4th quarter;37.0;33.0
2524;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2009;161.0;33.0
2525;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2010 1st quarter;47.0;36.0
2526;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2010 2nd quarter;37.0;27.0
2527;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2010 3rd quarter;39.0;33.0
2528;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2010 4th quarter;37.0;34.0
2529;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2010;160.0;33.0
2530;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2011 1st quarter;31.0;34.0
2531;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2011 2nd quarter;36.0;34.0
2532;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2011 3rd quarter;40.0;27.0
2533;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2011 4th quarter;30.0;30.0
2534;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2011;137.0;31.0
2535;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2012 1st quarter;31.0;29.0
2536;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2012 2nd quarter;26.0;31.0
2537;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2012 3rd quarter;48.0;32.0
2538;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2012 4th quarter;45.0;29.0
2539;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2012;150.0;30.0
2540;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2013 1st quarter;42.0;28.0
2541;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2013 2nd quarter;57.0;33.0
2542;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2013 3rd quarter;53.0;30.0
2543;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2013 4th quarter;57.0;30.0
2544;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2013;209.0;30.0
2545;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2014 1st quarter;53.0;33.0
2546;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2014 2nd quarter;45.0;35.0
2547;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2014 3rd quarter;51.0;36.0
2548;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2014 4th quarter;57.0;34.0
2549;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2014;206.0;34.0
2550;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2015 1st quarter;51.0;35.0
2551;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2015 2nd quarter;41.0;37.0
2552;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2015 3rd quarter;65.0;33.0
2553;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2015 4th quarter;55.0;35.0
2554;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2015;212.0;35.0
2555;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2016 1st quarter;52.0;33.0
2556;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2016 2nd quarter;41.0;33.0
2557;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2016 3rd quarter;32.0;31.0
2558;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2016 4th quarter;49.0;30.0
2559;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2016;174.0;32.0
2560;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2017 1st quarter;48.0;32.0
2561;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2017 2nd quarter;47.0;33.0
2562;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2017 3rd quarter;45.0;32.0
2563;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2017 4th quarter;46.0;35.0
2564;All ended debt restructuring plans;Natural persons with business;Overijssel (PV);2017;186.0;33.0
2565;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);1999 1st quarter;;
2566;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);1999 2nd quarter;1.0;3.0
2567;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);1999 3rd quarter;1.0;4.0
2568;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);1999 4th quarter;1.0;4.0
2569;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);1999;3.0;4.0
2570;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2000 1st quarter;1.0;7.0
2571;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2000 2nd quarter;4.0;5.0
2572;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2000 3rd quarter;5.0;15.0
2573;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2000 4th quarter;9.0;11.0
2574;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2000;19.0;10.0
2575;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2001 1st quarter;7.0;15.0
2576;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2001 2nd quarter;18.0;18.0
2577;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2001 3rd quarter;12.0;14.0
2578;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2001 4th quarter;7.0;26.0
2579;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2001;44.0;17.0
2580;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2002 1st quarter;13.0;25.0
2581;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2002 2nd quarter;15.0;24.0
2582;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2002 3rd quarter;17.0;26.0
2583;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2002 4th quarter;24.0;27.0
2584;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2002;69.0;26.0
2585;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2003 1st quarter;30.0;34.0
2586;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2003 2nd quarter;22.0;32.0
2587;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2003 3rd quarter;17.0;26.0
2588;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2003 4th quarter;23.0;29.0
2589;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2003;92.0;31.0
2590;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2004 1st quarter;21.0;32.0
2591;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2004 2nd quarter;19.0;29.0
2592;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2004 3rd quarter;29.0;25.0
2593;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2004 4th quarter;23.0;30.0
2594;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2004;92.0;29.0
2595;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2005 1st quarter;22.0;27.0
2596;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2005 2nd quarter;22.0;30.0
2597;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2005 3rd quarter;12.0;28.0
2598;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2005 4th quarter;20.0;23.0
2599;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2005;76.0;27.0
2600;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2006 1st quarter;19.0;27.0
2601;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2006 2nd quarter;20.0;24.0
2602;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2006 3rd quarter;8.0;29.0
2603;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2006 4th quarter;18.0;22.0
2604;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2006;65.0;25.0
2605;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2007 1st quarter;13.0;24.0
2606;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2007 2nd quarter;17.0;24.0
2607;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2007 3rd quarter;8.0;32.0
2608;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2007 4th quarter;22.0;34.0
2609;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2007;60.0;29.0
2610;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2008 1st quarter;27.0;33.0
2611;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2008 2nd quarter;26.0;33.0
2612;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2008 3rd quarter;32.0;34.0
2613;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2008 4th quarter;32.0;33.0
2614;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2008;117.0;33.0
2615;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2009 1st quarter;16.0;33.0
2616;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2009 2nd quarter;27.0;31.0
2617;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2009 3rd quarter;26.0;36.0
2618;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2009 4th quarter;27.0;33.0
2619;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2009;96.0;33.0
2620;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2010 1st quarter;23.0;33.0
2621;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2010 2nd quarter;29.0;36.0
2622;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2010 3rd quarter;25.0;31.0
2623;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2010 4th quarter;18.0;34.0
2624;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2010;95.0;34.0
2625;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2011 1st quarter;21.0;34.0
2626;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2011 2nd quarter;27.0;35.0
2627;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2011 3rd quarter;28.0;32.0
2628;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2011 4th quarter;17.0;35.0
2629;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2011;93.0;34.0
2630;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2012 1st quarter;15.0;32.0
2631;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2012 2nd quarter;24.0;31.0
2632;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2012 3rd quarter;16.0;35.0
2633;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2012 4th quarter;13.0;32.0
2634;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2012;68.0;32.0
2635;All ended debt restructuring plans;Natural persons with business;Flevoland (PV);2013 1st quarter;20.0;30.0
