ID;OriginDestination;Periods;NetEnergyConsumption_1;TapWaterUse_2;SolidWasteProduction_3;HeavyMetalsToWater_4;NutrientsToWater_5;ClimateChangeGreenhouseGases_6;Acidification_7;OzoneLayerDepletion_8;FineDust_9;RevenuesEnvironmentalFeesAndTaxes_10;EnvironmentalExpenditure_11;EnvironmentalInvestment_12;LabourInputOfEmployedPersons_13;GrossValueAddedAtBasicPrices_14;LabourInputOfEmployedPersons_15;OutputAtBasicPrices_16;GrossValueAddedAtBasicPrices_17;GrossFixedCapitalFormation_18
169;16-18 Man. wood en paperprod., printing;2002;47.0;;1265.0;0.0;93.0;1712.0;0.1;0.1;0.8;56.0;;;;;89.0;13756.0;4780.0;942.0
170;16-18 Man. wood en paperprod., printing;2003;46.0;3.2;1259.0;1.0;90.0;1675.0;0.1;0.0;0.7;55.0;;;;;85.0;13448.0;4704.0;649.0
171;16-18 Man. wood en paperprod., printing;2004;46.0;2.7;1119.0;1.0;88.0;1661.0;0.1;0.0;0.7;67.0;;;;;83.0;13647.0;4794.0;769.0
172;16-18 Man. wood en paperprod., printing;2005;47.0;3.5;1086.0;0.0;89.0;1896.0;0.1;0.0;0.7;83.0;;;;;80.0;13815.0;4910.0;863.0
173;16-18 Man. wood en paperprod., printing;2006;46.0;3.3;1145.0;1.0;85.0;1817.0;0.0;0.0;0.6;93.0;;;;;79.0;14095.0;4990.0;681.0
174;16-18 Man. wood en paperprod., printing;2007;43.0;3.3;1120.0;1.0;64.0;1592.0;0.0;0.0;0.6;75.0;;;;;79.0;14375.0;5121.0;737.0
175;16-18 Man. wood en paperprod., printing;2008;41.0;4.0;1066.0;1.0;80.0;1406.0;0.0;0.0;0.6;115.0;;;;;78.0;13808.0;5026.0;724.0
176;16-18 Man. wood en paperprod., printing;2009;34.0;3.2;982.0;0.0;68.0;1311.0;0.0;0.0;0.5;124.0;;;;;73.0;12637.0;4628.0;517.0
177;16-18 Man. wood en paperprod., printing;2010;35.0;1.8;1037.0;0.0;71.0;1405.0;0.0;0.0;0.5;130.0;;;;;68.0;12538.0;4512.0;433.0
178;16-18 Man. wood en paperprod., printing;2011;34.0;1.7;;;;1313.0;0.0;0.0;0.5;122.0;;;;;65.0;12689.0;4563.0;476.0
179;16-18 Man. wood en paperprod., printing;2012;33.0;;;;;1354.0;0.0;0.0;0.5;121.0;;;;;64.0;12327.0;4325.0;
180;16 Manufacture of wood products;1995;4.0;;;0.0;0.0;183.0;0.0;0.0;0.4;10.0;;;;;20.0;2363.0;980.0;81.0
181;16 Manufacture of wood products;1996;4.0;;;0.0;0.0;194.0;0.0;0.0;0.0;11.0;;;;;20.0;2408.0;961.0;95.0
182;16 Manufacture of wood products;1997;4.0;;;0.0;0.0;196.0;0.0;0.0;0.0;10.0;;;;;21.0;2524.0;1009.0;100.0
183;16 Manufacture of wood products;1998;4.0;;;0.0;0.0;199.0;0.0;0.0;0.0;13.0;;;;;22.0;2695.0;1107.0;125.0
184;16 Manufacture of wood products;1999;5.0;;;0.0;0.0;209.0;0.0;0.0;0.0;14.0;;;;;21.0;2687.0;1099.0;130.0
185;16 Manufacture of wood products;2000;5.0;;;0.0;0.0;241.0;0.0;0.0;0.4;13.0;;;;;21.0;2739.0;1095.0;91.0
186;16 Manufacture of wood products;2001;4.0;;;0.0;0.0;185.0;0.0;0.0;0.4;13.0;;;;;20.0;2725.0;1111.0;119.0
187;16 Manufacture of wood products;2002;4.0;;313.0;0.0;0.0;187.0;0.0;0.0;0.4;11.0;;;;;19.0;2564.0;959.0;90.0
188;16 Manufacture of wood products;2003;4.0;0.2;307.0;0.0;0.0;186.0;0.0;0.0;0.3;10.0;;;;;18.0;2531.0;996.0;73.0
189;16 Manufacture of wood products;2004;3.0;0.2;238.0;0.0;0.0;173.0;0.0;0.0;0.3;17.0;;;;;17.0;2570.0;1020.0;73.0
190;16 Manufacture of wood products;2005;4.0;0.2;248.0;0.0;0.0;181.0;0.0;0.0;0.3;17.0;;;;;17.0;2630.0;1035.0;102.0
191;16 Manufacture of wood products;2006;4.0;0.2;261.0;0.0;0.0;176.0;0.0;0.0;0.3;17.0;;;;;17.0;2747.0;1051.0;91.0
192;16 Manufacture of wood products;2007;4.0;0.2;261.0;0.0;0.0;173.0;0.0;0.0;0.2;15.0;;;;;17.0;2872.0;1107.0;158.0
193;16 Manufacture of wood products;2008;4.0;0.2;249.0;0.0;0.0;174.0;0.0;0.0;0.2;16.0;6.0;1.0;;;18.0;2799.0;1099.0;115.0
194;16 Manufacture of wood products;2009;4.0;0.2;217.0;0.0;0.0;181.0;0.0;0.0;0.2;15.0;5.0;1.0;;;17.0;2436.0;944.0;78.0
195;16 Manufacture of wood products;2010;4.0;0.2;242.0;0.0;0.0;173.0;0.0;0.0;0.2;15.0;;;;;15.0;2365.0;902.0;63.0
196;16 Manufacture of wood products;2011;4.0;0.2;;;;174.0;0.0;0.0;0.2;15.0;;;;;15.0;2463.0;942.0;66.0
197;16 Manufacture of wood products;2012;3.0;;;;;172.0;0.0;0.0;0.2;13.0;;;;;14.0;2287.0;860.0;
198;17 Manufacture of paper;1995;33.0;;;1.0;126.0;1250.0;0.1;0.0;0.4;23.0;;;;;26.0;4617.0;1243.0;375.0
199;17 Manufacture of paper;1996;36.0;;;1.0;118.0;1353.0;0.0;0.0;0.0;25.0;;;;;26.0;4711.0;1212.0;449.0
200;17 Manufacture of paper;1997;37.0;;;1.0;113.0;1387.0;0.1;0.0;0.0;23.0;;;;;26.0;5053.0;1338.0;415.0
201;17 Manufacture of paper;1998;36.0;;;1.0;108.0;1359.0;0.0;0.0;0.0;25.0;;;;;26.0;5118.0;1318.0;529.0
202;17 Manufacture of paper;1999;36.0;;;1.0;103.0;1374.0;0.0;0.0;0.0;31.0;;;;;26.0;5258.0;1399.0;465.0
203;17 Manufacture of paper;2000;37.0;;;0.0;100.0;1393.0;0.1;0.0;0.4;32.0;;;;;26.0;5413.0;1446.0;460.0
204;17 Manufacture of paper;2001;35.0;;;0.0;95.0;1302.0;0.0;0.0;0.4;31.0;;;;;25.0;5278.0;1384.0;455.0
205;17 Manufacture of paper;2002;36.0;;631.0;0.0;92.0;1347.0;0.0;0.1;0.4;29.0;;;;;24.0;5302.0;1464.0;487.0
206;17 Manufacture of paper;2003;36.0;2.2;639.0;0.0;90.0;1310.0;0.0;0.0;0.4;29.0;;;;;24.0;5321.0;1487.0;291.0
207;17 Manufacture of paper;2004;35.0;1.8;604.0;1.0;88.0;1292.0;0.0;0.0;0.4;30.0;;;;;23.0;5547.0;1568.0;418.0
208;17 Manufacture of paper;2005;36.0;2.7;564.0;0.0;89.0;1541.0;0.0;0.0;0.3;36.0;;;;;22.0;5600.0;1593.0;461.0
209;17 Manufacture of paper;2006;35.0;2.5;576.0;1.0;85.0;1500.0;0.0;0.0;0.3;43.0;;;;;22.0;5802.0;1691.0;316.0
210;17 Manufacture of paper;2007;33.0;2.4;556.0;1.0;64.0;1273.0;0.0;0.0;0.3;33.0;;;;;21.0;5716.0;1654.0;280.0
211;17 Manufacture of paper;2008;31.0;3.1;528.0;1.0;80.0;1074.0;0.0;0.0;0.3;63.0;38.0;5.0;;;20.0;5404.0;1596.0;251.0
212;17 Manufacture of paper;2009;26.0;2.3;488.0;0.0;68.0;1032.0;0.0;0.0;0.3;73.0;36.0;5.0;;;18.0;4870.0;1436.0;224.0
213;17 Manufacture of paper;2010;27.0;1.1;545.0;0.0;71.0;1129.0;0.0;0.0;0.3;78.0;;;;;19.0;5140.0;1517.0;201.0
214;17 Manufacture of paper;2011;25.0;1.0;;;;1052.0;0.0;0.0;0.3;73.0;;;;;19.0;5143.0;1501.0;216.0
215;17 Manufacture of paper;2012;25.0;;;;;1094.0;0.0;0.0;0.3;72.0;;;;;18.0;5088.0;1436.0;
216;18 Printing and reproduction;1995;6.0;;;0.0;1.0;167.0;0.0;0.0;0.0;14.0;;;;;55.0;5634.0;2442.0;499.0
217;18 Printing and reproduction;1996;7.0;;;0.0;1.0;179.0;0.0;0.0;0.0;14.0;;;;;54.0;5784.0;2431.0;445.0
218;18 Printing and reproduction;1997;7.0;;;0.0;1.0;188.0;0.0;0.0;0.0;12.0;;;;;51.0;5969.0;2557.0;457.0
219;18 Printing and reproduction;1998;7.0;;;0.0;0.0;193.0;0.0;0.0;0.0;16.0;;;;;50.0;6150.0;2584.0;580.0
220;18 Printing and reproduction;1999;7.0;;;0.0;0.0;193.0;0.0;0.0;0.0;16.0;;;;;48.0;6219.0;2584.0;454.0
221;18 Printing and reproduction;2000;7.0;;;0.0;0.0;183.0;0.0;0.0;0.0;18.0;;;;;47.0;6261.0;2579.0;436.0
222;18 Printing and reproduction;2001;7.0;;;0.0;0.0;191.0;0.0;0.0;0.0;19.0;;;;;47.0;6175.0;2531.0;390.0
223;18 Printing and reproduction;2002;7.0;;320.0;0.0;0.0;178.0;0.0;0.0;0.0;16.0;;;;;45.0;5894.0;2367.0;365.0
224;18 Printing and reproduction;2003;7.0;0.7;313.0;0.0;0.0;179.0;0.0;0.0;0.0;17.0;;;;;44.0;5598.0;2226.0;285.0
225;18 Printing and reproduction;2004;7.0;0.7;276.0;0.0;0.0;195.0;0.0;0.0;0.0;20.0;;;;;43.0;5529.0;2205.0;278.0
226;18 Printing and reproduction;2005;7.0;0.6;274.0;0.0;0.0;174.0;0.0;0.0;0.0;30.0;;;;;41.0;5585.0;2282.0;300.0
227;18 Printing and reproduction;2006;7.0;0.6;308.0;0.0;0.0;141.0;0.0;0.0;0.0;32.0;;;;;40.0;5546.0;2248.0;274.0
228;18 Printing and reproduction;2007;7.0;0.7;302.0;0.0;0.0;146.0;0.0;0.0;0.0;28.0;;;;;41.0;5788.0;2357.0;299.0
229;18 Printing and reproduction;2008;6.0;0.7;289.0;0.0;0.0;159.0;0.0;0.0;0.0;36.0;12.0;2.0;;;40.0;5607.0;2328.0;358.0
230;18 Printing and reproduction;2009;5.0;0.7;277.0;0.0;0.0;97.0;0.0;0.0;0.0;37.0;10.0;4.0;;;38.0;5354.0;2262.0;215.0
231;18 Printing and reproduction;2010;5.0;0.6;250.0;0.0;0.0;104.0;0.0;0.0;0.0;36.0;;;;;34.0;5051.0;2110.0;169.0
232;18 Printing and reproduction;2011;5.0;0.5;;;;87.0;0.0;0.0;0.0;34.0;;;;;32.0;5099.0;2129.0;194.0
233;18 Printing and reproduction;2012;5.0;;;;;89.0;0.0;0.0;0.0;35.0;;;;;31.0;4968.0;2047.0;
234;19 Manufacture of coke and petroleum;1995;172.0;;;1.0;41.0;11743.0;2.3;0.0;4.8;109.0;;;;;6.0;24305.0;3812.0;238.0
235;19 Manufacture of coke and petroleum;1996;174.0;;;0.0;49.0;11677.0;2.1;0.0;5.3;116.0;;;;;6.0;24507.0;3618.0;266.0
236;19 Manufacture of coke and petroleum;1997;182.0;;;1.0;54.0;12033.0;2.0;0.0;4.9;97.0;;;;;6.0;23712.0;1918.0;1443.0
237;19 Manufacture of coke and petroleum;1998;191.0;;;1.0;60.0;12502.0;1.8;0.0;3.4;101.0;;;;;6.0;24119.0;2157.0;363.0
238;19 Manufacture of coke and petroleum;1999;171.0;;;1.0;65.0;11631.0;1.7;0.0;3.4;99.0;;;;;6.0;23340.0;2134.0;98.0
239;19 Manufacture of coke and petroleum;2000;180.0;;;1.0;68.0;12153.0;1.3;0.0;3.3;145.0;;;;;6.0;24507.0;2679.0;185.0
240;19 Manufacture of coke and petroleum;2001;191.0;;;1.0;70.0;12677.0;1.3;0.0;2.9;84.0;;;;;6.0;24393.0;2441.0;134.0
241;19 Manufacture of coke and petroleum;2002;173.0;;477.0;1.0;72.0;11747.0;1.2;0.0;2.4;152.0;;;;;6.0;23616.0;3061.0;316.0
242;19 Manufacture of coke and petroleum;2003;183.0;16.7;509.0;1.0;86.0;12365.0;1.1;0.0;2.8;201.0;;;;;6.0;23865.0;3166.0;242.0
243;19 Manufacture of coke and petroleum;2004;188.0;17.2;556.0;1.0;92.0;12222.0;1.2;0.0;2.0;232.0;;;;;6.0;24544.0;3298.0;280.0
244;19 Manufacture of coke and petroleum;2005;183.0;19.1;572.0;1.0;101.0;12347.0;1.2;0.0;1.7;141.0;;;;;6.0;24446.0;3330.0;382.0
245;19 Manufacture of coke and petroleum;2006;187.0;19.8;460.0;0.0;70.0;11650.0;1.2;0.0;1.7;226.0;;;;;6.0;24361.0;3204.0;363.0
246;19 Manufacture of coke and petroleum;2007;196.0;20.5;459.0;1.0;93.0;11717.0;1.1;0.0;1.5;277.0;;;;;6.0;25410.0;3476.0;459.0
247;19 Manufacture of coke and petroleum;2008;171.0;19.3;484.0;0.0;69.0;11852.0;1.0;0.0;1.4;268.0;155.0;22.0;;;6.0;26085.0;3744.0;503.0
248;19 Manufacture of coke and petroleum;2009;175.0;18.6;481.0;1.0;62.0;10824.0;0.7;0.0;0.5;282.0;;;;;6.0;26351.0;3574.0;458.0
249;19 Manufacture of coke and petroleum;2010;177.0;17.4;480.0;0.0;55.0;10664.0;0.5;0.0;0.3;469.0;;;;;6.0;26899.0;3681.0;463.0
250;19 Manufacture of coke and petroleum;2011;190.0;20.7;;;;10848.0;0.5;0.0;0.3;575.0;;;;;5.0;26460.0;3828.0;539.0
251;19 Manufacture of coke and petroleum;2012;180.0;;;;;10717.0;0.6;0.0;0.2;568.0;;;;;5.0;26383.0;3770.0;
252;20-21 Chemistry and pharmaceuticals;1995;640.0;;;14.0;3667.0;30053.0;1.2;251.2;3.6;115.0;;;;;73.0;30257.0;6909.0;1286.0
253;20-21 Chemistry and pharmaceuticals;1996;607.0;;;12.0;3523.0;30712.0;1.1;191.6;1.7;125.0;;;;;72.0;31121.0;7109.0;1570.0
254;20-21 Chemistry and pharmaceuticals;1997;626.0;;;11.0;3485.0;30965.0;1.0;132.0;1.8;146.0;;;;;72.0;32671.0;7208.0;1709.0
255;20-21 Chemistry and pharmaceuticals;1998;616.0;;;9.0;3558.0;31340.0;0.8;70.6;2.3;145.0;;;;;71.0;33047.0;7277.0;1805.0
256;20-21 Chemistry and pharmaceuticals;1999;661.0;;;7.0;3357.0;27310.0;0.6;50.0;1.9;205.0;;;;;70.0;34594.0;7827.0;1977.0
257;20-21 Chemistry and pharmaceuticals;2000;686.0;;;4.0;1783.0;25469.0;0.5;40.0;1.6;218.0;;;;;69.0;36734.0;8097.0;1711.0
258;20-21 Chemistry and pharmaceuticals;2001;689.0;;;4.0;665.0;22030.0;0.5;25.9;1.2;168.0;;;;;70.0;37744.0;9027.0;1343.0
259;20-21 Chemistry and pharmaceuticals;2002;707.0;;1400.0;4.0;532.0;22296.0;0.5;10.6;1.6;176.0;;;;;70.0;39075.0;9866.0;2103.0
260;20-21 Chemistry and pharmaceuticals;2003;754.0;51.0;1365.0;4.0;620.0;22556.0;0.5;0.0;1.3;167.0;;;;;69.0;39275.0;9942.0;2181.0
261;20-21 Chemistry and pharmaceuticals;2004;783.0;49.6;1279.0;4.0;596.0;22852.0;0.6;0.0;1.4;157.0;;;;;66.0;41622.0;10638.0;1418.0
262;20-21 Chemistry and pharmaceuticals;2005;837.0;44.7;1350.0;3.0;595.0;22541.0;0.5;0.0;1.3;224.0;;;;;65.0;42003.0;10704.0;1414.0
263;20-21 Chemistry and pharmaceuticals;2006;778.0;41.2;1315.0;3.0;557.0;23183.0;0.5;0.0;1.3;260.0;;;;;64.0;43385.0;11338.0;1811.0
264;20-21 Chemistry and pharmaceuticals;2007;901.0;39.9;1368.0;3.0;526.0;22002.0;0.5;0.0;1.1;199.0;;;;;63.0;44861.0;11865.0;1379.0
265;20-21 Chemistry and pharmaceuticals;2008;839.0;36.7;1419.0;3.0;631.0;17693.0;0.5;0.0;0.9;333.0;;;;;62.0;42019.0;11065.0;1804.0
266;20-21 Chemistry and pharmaceuticals;2009;824.0;38.3;1055.0;3.0;479.0;16803.0;0.4;0.0;1.4;358.0;;;;;60.0;40840.0;10644.0;1618.0
267;20-21 Chemistry and pharmaceuticals;2010;914.0;45.3;1209.0;3.0;395.0;18908.0;0.4;0.0;1.4;373.0;;;;;60.0;43039.0;11185.0;1274.0
268;20-21 Chemistry and pharmaceuticals;2011;835.0;42.7;;;;17442.0;0.4;0.0;1.3;385.0;;;;;60.0;42316.0;10994.0;1713.0
269;20-21 Chemistry and pharmaceuticals;2012;887.0;;;;;18027.0;0.4;0.0;1.4;400.0;;;;;59.0;44883.0;11725.0;
270;20 Manufacture of chemicals;1995;;;;14.0;3592.0;29628.0;1.1;250.8;3.6;104.0;;;;;60.0;29405.0;6300.0;1032.0
271;20 Manufacture of chemicals;1996;;;;12.0;3441.0;30284.0;1.1;191.3;1.7;113.0;;;;;59.0;30113.0;6550.0;1302.0
272;20 Manufacture of chemicals;1997;;;;11.0;3398.0;30571.0;1.0;131.8;1.8;134.0;;;;;59.0;31477.0;6524.0;1438.0
273;20 Manufacture of chemicals;1998;;;;9.0;3466.0;30859.0;0.8;70.5;2.3;134.0;;;;;58.0;31664.0;6592.0;1504.0
274;20 Manufacture of chemicals;1999;;;;7.0;3260.0;26968.0;0.6;50.0;1.9;188.0;;;;;56.0;32869.0;7068.0;1598.0
275;20 Manufacture of chemicals;2000;;;;4.0;1684.0;25073.0;0.5;40.0;1.6;199.0;;;;;55.0;34924.0;7262.0;1400.0
276;20 Manufacture of chemicals;2001;;;;4.0;567.0;21616.0;0.5;25.9;1.2;157.0;;;;;56.0;35704.0;8005.0;1110.0
277;20 Manufacture of chemicals;2002;;;1367.0;4.0;436.0;21945.0;0.5;10.6;1.6;165.0;;;;;55.0;36487.0;8660.0;1782.0
278;20 Manufacture of chemicals;2003;;42.4;1330.0;4.0;526.0;22236.0;0.5;0.0;1.1;157.0;;;;;54.0;36682.0;8790.0;1873.0
279;20 Manufacture of chemicals;2004;;39.3;1192.0;4.0;504.0;22543.0;0.6;0.0;1.4;147.0;;;;;51.0;39352.0;9598.0;1171.0
280;20 Manufacture of chemicals;2005;;33.5;1260.0;3.0;504.0;22228.0;0.5;0.0;1.3;212.0;;;;;50.0;39824.0;9663.0;1195.0
281;20 Manufacture of chemicals;2006;;33.7;1257.0;3.0;394.0;22865.0;0.5;0.0;1.3;243.0;;;;;49.0;41147.0;10226.0;1551.0
282;20 Manufacture of chemicals;2007;;32.7;1307.0;3.0;434.0;21710.0;0.5;0.0;1.1;186.0;;;;;48.0;42456.0;10597.0;1173.0
283;20 Manufacture of chemicals;2008;;30.4;1352.0;3.0;469.0;17432.0;0.5;0.0;0.9;316.0;313.0;50.0;;;48.0;39880.0;9939.0;1565.0
284;20 Manufacture of chemicals;2009;;32.3;985.0;3.0;409.0;16581.0;0.4;0.0;1.4;336.0;278.0;70.0;;;46.0;38677.0;9455.0;1363.0
285;20 Manufacture of chemicals;2010;;40.3;1120.0;3.0;344.0;18649.0;0.4;0.0;1.4;351.0;;;;;46.0;40863.0;9978.0;1072.0
286;20 Manufacture of chemicals;2011;;37.4;;;;17220.0;0.4;0.0;1.3;360.0;;;;;46.0;39793.0;9704.0;1587.0
287;20 Manufacture of chemicals;2012;;;;;;17815.0;0.4;0.0;1.4;377.0;;;;;47.0;42315.0;10388.0;
288;21 Manufacture of pharmaceuticals;1995;;;;0.0;76.0;425.0;0.0;0.3;0.0;10.0;;;;;13.0;3621.0;710.0;254.0
289;21 Manufacture of pharmaceuticals;1996;;;;0.0;82.0;428.0;0.0;0.3;0.0;11.0;;;;;13.0;3840.0;678.0;268.0
290;21 Manufacture of pharmaceuticals;1997;;;;0.0;87.0;394.0;0.0;0.2;0.0;12.0;;;;;13.0;4112.0;774.0;271.0
291;21 Manufacture of pharmaceuticals;1998;;;;0.0;92.0;481.0;0.0;0.1;0.0;11.0;;;;;13.0;4315.0;777.0;301.0
292;21 Manufacture of pharmaceuticals;1999;;;;0.0;96.0;342.0;0.0;0.0;0.0;17.0;;;;;14.0;4719.0;851.0;379.0
293;21 Manufacture of pharmaceuticals;2000;;;;0.0;99.0;396.0;0.0;0.0;0.0;19.0;;;;;14.0;4997.0;915.0;311.0
294;21 Manufacture of pharmaceuticals;2001;;;;0.0;98.0;414.0;0.0;0.0;0.0;10.0;;;;;14.0;5298.0;1091.0;233.0
295;21 Manufacture of pharmaceuticals;2002;;;32.0;0.0;96.0;351.0;0.0;0.0;0.0;12.0;;;;;15.0;5829.0;1259.0;321.0
296;21 Manufacture of pharmaceuticals;2003;;8.7;35.0;0.0;94.0;320.0;0.0;0.0;0.2;9.0;;;;;15.0;5885.0;1221.0;308.0
297;21 Manufacture of pharmaceuticals;2004;;10.4;87.0;0.0;91.0;309.0;0.0;0.0;0.0;9.0;;;;;15.0;5813.0;1147.0;247.0
298;21 Manufacture of pharmaceuticals;2005;;11.2;89.0;0.0;91.0;313.0;0.0;0.0;0.0;12.0;;;;;15.0;5811.0;1150.0;219.0
299;21 Manufacture of pharmaceuticals;2006;;7.5;59.0;0.0;163.0;318.0;0.0;0.0;0.0;17.0;;;;;15.0;5980.0;1227.0;260.0
300;21 Manufacture of pharmaceuticals;2007;;7.2;61.0;0.0;91.0;291.0;0.0;0.0;0.0;14.0;;;;;15.0;6276.0;1406.0;206.0
301;21 Manufacture of pharmaceuticals;2008;;6.3;67.0;0.0;161.0;261.0;0.0;0.0;0.0;17.0;;;;;14.0;5829.0;1237.0;239.0
302;21 Manufacture of pharmaceuticals;2009;;6.0;70.0;0.0;71.0;222.0;0.0;0.0;0.0;22.0;86.0;3.0;;;14.0;5753.0;1296.0;255.0
303;21 Manufacture of pharmaceuticals;2010;;5.0;89.0;0.0;50.0;259.0;0.0;0.0;0.0;22.0;;;;;14.0;5928.0;1332.0;202.0
304;21 Manufacture of pharmaceuticals;2011;;5.3;;;;222.0;0.0;0.0;0.0;25.0;;;;;14.0;6252.0;1407.0;126.0
305;21 Manufacture of pharmaceuticals;2012;;;;;;211.0;0.0;0.0;0.0;22.0;;;;;12.0;6497.0;1457.0;
306;22-23 Man. plastics and constructionprod;1995;46.0;;;0.0;8.0;2906.0;0.4;0.0;2.5;33.0;;;;;62.0;10327.0;3424.0;492.0
307;22-23 Man. plastics and constructionprod;1996;48.0;;;0.0;10.0;2864.0;0.4;0.0;1.9;42.0;;;;;61.0;10572.0;3463.0;543.0
308;22-23 Man. plastics and constructionprod;1997;49.0;;;0.0;12.0;2864.0;0.3;0.0;1.0;42.0;;;;;64.0;11092.0;3511.0;497.0
309;22-23 Man. plastics and constructionprod;1998;47.0;;;0.0;13.0;2861.0;0.3;0.0;0.7;46.0;;;;;66.0;11627.0;3637.0;564.0
310;22-23 Man. plastics and constructionprod;1999;48.0;;;0.0;15.0;3000.0;0.3;0.0;0.9;52.0;;;;;66.0;12078.0;3789.0;573.0
311;22-23 Man. plastics and constructionprod;2000;49.0;;;0.0;16.0;2976.0;0.2;0.3;1.3;50.0;;;;;67.0;12481.0;3917.0;553.0
312;22-23 Man. plastics and constructionprod;2001;49.0;;;0.0;18.0;2938.0;0.3;0.0;1.6;55.0;;;;;67.0;12401.0;3910.0;588.0
313;22-23 Man. plastics and constructionprod;2002;45.0;;1116.0;0.0;26.0;2615.0;0.3;0.0;2.2;52.0;;;;;66.0;12225.0;3855.0;554.0
314;22-23 Man. plastics and constructionprod;2003;43.0;6.2;1054.0;0.0;40.0;2526.0;0.2;0.0;1.2;59.0;;;;;63.0;11854.0;3656.0;466.0
315;22-23 Man. plastics and constructionprod;2004;45.0;5.7;960.0;0.0;54.0;2578.0;0.2;0.0;1.3;59.0;;;;;61.0;12030.0;3849.0;463.0
316;22-23 Man. plastics and constructionprod;2005;45.0;5.1;997.0;0.0;47.0;2538.0;0.2;0.0;1.3;80.0;;;;;60.0;12270.0;3952.0;457.0
317;22-23 Man. plastics and constructionprod;2006;44.0;5.4;1058.0;0.0;34.0;2530.0;0.3;0.0;1.3;97.0;;;;;60.0;12950.0;4222.0;499.0
318;22-23 Man. plastics and constructionprod;2007;45.0;5.4;1040.0;0.0;35.0;2607.0;0.2;0.0;1.3;80.0;;;;;60.0;13497.0;4442.0;618.0
319;22-23 Man. plastics and constructionprod;2008;45.0;5.8;1095.0;0.0;20.0;2577.0;0.3;0.0;1.3;99.0;;;;;60.0;13360.0;4388.0;613.0
320;22-23 Man. plastics and constructionprod;2009;39.0;5.5;917.0;0.0;23.0;2352.0;0.2;0.0;1.3;97.0;;;;;58.0;11622.0;3828.0;486.0
321;22-23 Man. plastics and constructionprod;2010;41.0;4.8;881.0;0.0;9.0;2370.0;0.2;0.0;1.3;87.0;;;;;55.0;11536.0;3772.0;403.0
322;22-23 Man. plastics and constructionprod;2011;38.0;4.4;;;;2187.0;0.2;0.0;1.2;87.0;;;;;55.0;11996.0;3968.0;519.0
323;22-23 Man. plastics and constructionprod;2012;39.0;;;;;2043.0;0.2;0.0;1.2;80.0;;;;;54.0;11549.0;3768.0;
324;22 Manufacture rubber, plastic products;1995;10.0;;;0.0;5.0;257.0;0.0;0.0;0.1;10.0;;;;;32.0;5107.0;1538.0;264.0
325;22 Manufacture rubber, plastic products;1996;10.0;;;0.0;6.0;255.0;0.0;0.0;0.0;12.0;;;;;31.0;5140.0;1522.0;338.0
326;22 Manufacture rubber, plastic products;1997;11.0;;;0.0;6.0;219.0;0.0;0.0;0.0;13.0;;;;;33.0;5525.0;1631.0;279.0
327;22 Manufacture rubber, plastic products;1998;10.0;;;0.0;7.0;225.0;0.0;0.0;0.0;16.0;;;;;33.0;5873.0;1722.0;320.0
328;22 Manufacture rubber, plastic products;1999;11.0;;;0.0;8.0;228.0;0.0;0.0;0.0;16.0;;;;;34.0;6029.0;1780.0;335.0
329;22 Manufacture rubber, plastic products;2000;11.0;;;0.0;8.0;237.0;0.0;0.0;0.1;19.0;;;;;35.0;6179.0;1816.0;314.0
330;22 Manufacture rubber, plastic products;2001;12.0;;;0.0;10.0;241.0;0.0;0.0;0.1;20.0;;;;;35.0;6177.0;1803.0;320.0
331;22 Manufacture rubber, plastic products;2002;12.0;;156.0;0.0;18.0;219.0;0.0;0.0;0.1;18.0;;;;;34.0;6335.0;1869.0;302.0
332;22 Manufacture rubber, plastic products;2003;11.0;3.5;152.0;0.0;32.0;219.0;0.0;0.0;0.1;18.0;;;;;33.0;6283.0;1801.0;290.0
333;22 Manufacture rubber, plastic products;2004;12.0;3.2;151.0;0.0;46.0;230.0;0.0;0.0;0.1;20.0;;;;;32.0;6351.0;1855.0;291.0
334;22 Manufacture rubber, plastic products;2005;12.0;2.8;157.0;0.0;38.0;231.0;0.0;0.0;0.1;30.0;;;;;32.0;6532.0;1934.0;304.0
335;22 Manufacture rubber, plastic products;2006;12.0;2.9;209.0;0.0;24.0;247.0;0.0;0.0;0.1;37.0;;;;;31.0;6790.0;2052.0;265.0
336;22 Manufacture rubber, plastic products;2007;11.0;2.9;207.0;0.0;26.0;230.0;0.0;0.0;0.0;28.0;;;;;32.0;7068.0;2216.0;365.0
337;22 Manufacture rubber, plastic products;2008;11.0;3.0;164.0;0.0;11.0;235.0;0.0;0.0;0.0;33.0;14.0;8.0;;;32.0;6920.0;2179.0;291.0
338;22 Manufacture rubber, plastic products;2009;9.0;3.0;142.0;0.0;16.0;208.0;0.0;0.0;0.0;37.0;13.0;4.0;;;30.0;6130.0;1955.0;250.0
339;22 Manufacture rubber, plastic products;2010;9.0;2.5;155.0;0.0;3.0;235.0;0.0;0.0;0.0;38.0;;;;;29.0;6419.0;2079.0;198.0
340;22 Manufacture rubber, plastic products;2011;10.0;2.2;;;;216.0;0.0;0.0;0.0;36.0;;;;;29.0;6593.0;2146.0;311.0
341;22 Manufacture rubber, plastic products;2012;12.0;;;;;215.0;0.0;0.0;0.0;36.0;;;;;29.0;6469.0;2089.0;
342;23 Manufacture of building materials;1995;36.0;;;0.0;3.0;2649.0;0.4;0.0;2.4;23.0;;;;;31.0;5202.0;1889.0;228.0
