ID;Sex;Age;Periods;TotalFatalAccidents_1;TotalTransportAccidents_2;Pedestrian_3;Bicycle_4;MopedsAndLightMopeds_5;MotorisedDisabledVehicle_6;Motorcycle_7;PassengerCar_8;DeliveryVanLorry_9;OtherUnknown_10;AccidentalFall_11;AccidentalDrowning_12;TotalAccidentalPoisoningIncIntent_13;Medicine_14;IllegalDrugsNarcotics_15;Alcohol_16;OtherUnknown_17;TotalOtherFatalAccidents_18;MechanicalEffect_19;SmokeFireAndFlames_20;Suffocation_21;OtherIncludingSequelae_22;TotalFatalAccidents_23;TransportAccidents_24;AccidentalFall_25;AccidentalDrowning_26;AccidentalPoisoningIncIntentUnknown_27;OtherFatalAccidents_28
152;Total men and women;50 to 60 years;2016;256;82;5;16;9;1;8;31;7;5;90;9;35;5;21;5;4;40;11;4;6;19;10.4;3.3;3.7;0.4;1.4;1.6
153;Total men and women;50 to 60 years;2017;238;67;4;15;2;0;7;29;3;7;78;14;38;6;25;4;3;41;11;4;3;23;9.6;2.7;3.1;0.6;1.5;1.7
154;Total men and women;60 to 70 years;1996;210;98;15;26;2;1;1;38;3;12;77;4;5;2;1;1;1;26;4;8;3;11;15.9;7.4;5.8;0.3;0.4;2.0
155;Total men and women;60 to 70 years;1997;197;90;13;30;5;3;1;32;2;4;73;9;4;0;1;1;2;21;4;3;6;8;14.8;6.8;5.5;0.7;0.3;1.6
156;Total men and women;60 to 70 years;1998;217;107;11;42;3;1;1;43;1;5;82;6;3;1;1;1;0;19;2;5;3;9;16.1;8.0;6.1;0.4;0.2;1.4
157;Total men and women;60 to 70 years;1999;219;106;16;29;8;2;1;41;3;6;78;10;3;0;2;0;1;22;4;9;2;7;16.1;7.8;5.7;0.7;0.2;1.6
158;Total men and women;60 to 70 years;2000;240;96;16;32;8;0;1;35;0;4;99;10;7;1;2;1;3;28;7;5;4;12;17.4;7.0;7.2;0.7;0.5;2.0
159;Total men and women;60 to 70 years;2001;238;91;9;28;5;1;1;37;4;6;101;9;4;3;0;1;0;33;2;13;2;16;17.1;6.5;7.2;0.6;0.3;2.4
160;Total men and women;60 to 70 years;2002;220;79;12;23;6;4;4;22;1;7;105;15;5;3;0;1;1;16;3;3;4;6;15.6;5.6;7.4;1.1;0.4;1.1
161;Total men and women;60 to 70 years;2003;261;107;13;38;7;0;1;37;4;7;97;12;9;6;0;0;3;36;6;6;4;20;18.1;7.4;6.7;0.8;0.6;2.5
162;Total men and women;60 to 70 years;2004;242;79;3;23;4;5;2;31;2;9;101;17;12;5;1;1;5;33;5;2;9;17;16.3;5.3;6.8;1.1;0.8;2.2
163;Total men and women;60 to 70 years;2005;241;65;6;23;2;4;3;21;1;5;107;18;14;7;2;4;1;37;5;10;7;15;15.9;4.3;7.0;1.2;0.9;2.4
164;Total men and women;60 to 70 years;2006;294;91;9;36;8;0;5;26;1;6;114;20;9;6;0;2;1;60;10;11;8;31;18.6;5.7;7.2;1.3;0.6;3.8
165;Total men and women;60 to 70 years;2007;261;75;13;20;7;1;1;23;5;5;119;12;11;2;2;4;3;44;3;1;16;24;15.6;4.5;7.1;0.7;0.7;2.6
166;Total men and women;60 to 70 years;2008;267;68;6;27;4;0;2;23;3;3;122;19;12;3;5;3;1;46;2;6;12;26;15.2;3.9;7.0;1.1;0.7;2.6
167;Total men and women;60 to 70 years;2009;304;74;6;30;4;2;5;21;3;3;161;12;13;6;2;3;2;44;6;7;6;25;16.7;4.1;8.9;0.7;0.7;2.4
168;Total men and women;60 to 70 years;2010;304;91;5;23;8;4;2;16;4;29;141;15;6;2;2;1;1;51;4;9;14;24;16.3;4.9;7.5;0.8;0.3;2.7
169;Total men and women;60 to 70 years;2011;314;78;6;30;4;3;2;18;5;10;168;12;14;4;6;2;2;42;6;4;9;23;16.4;4.1;8.8;0.6;0.7;2.2
170;Total men and women;60 to 70 years;2012;303;82;6;36;6;4;2;21;3;4;162;9;15;8;5;0;2;35;5;3;5;22;15.4;4.2;8.2;0.5;0.8;1.8
171;Total men and women;60 to 70 years;2013;288;63;5;28;6;3;1;11;1;8;156;8;16;6;4;5;1;45;9;3;4;29;14.3;3.1;7.8;0.4;0.8;2.2
172;Total men and women;60 to 70 years;2014;320;65;4;26;6;2;3;16;2;6;176;22;12;9;1;1;1;45;4;9;8;24;15.6;3.2;8.6;1.1;0.6;2.2
173;Total men and women;60 to 70 years;2015;344;80;3;29;5;4;4;23;0;12;191;10;18;6;8;2;2;45;6;5;5;29;16.5;3.8;9.2;0.5;0.9;2.2
174;Total men and women;60 to 70 years;2016;378;78;3;28;2;7;5;26;1;6;210;18;17;7;8;1;1;55;4;4;9;38;18.1;3.7;10.0;0.9;0.8;2.6
175;Total men and women;60 to 70 years;2017;348;77;4;33;8;0;9;17;1;5;184;10;20;5;13;2;0;57;3;5;3;46;16.7;3.7;8.8;0.5;1.0;2.7
176;Total men and women;70 to 80 years;1996;473;160;28;68;11;1;2;43;0;7;267;1;3;2;0;0;1;42;5;17;6;14;49.4;16.7;27.9;0.1;0.3;4.4
177;Total men and women;70 to 80 years;1997;421;142;19;52;6;4;2;55;0;4;240;3;2;1;0;0;1;34;4;9;7;14;43.4;14.6;24.7;0.3;0.2;3.5
178;Total men and women;70 to 80 years;1998;428;138;24;36;5;1;3;59;0;10;256;5;3;2;0;0;1;26;2;9;3;12;43.5;14.0;26.0;0.5;0.3;2.6
179;Total men and women;70 to 80 years;1999;449;143;23;40;14;4;0;54;2;6;266;8;3;2;0;0;1;29;3;7;7;12;44.9;14.3;26.6;0.8;0.3;2.9
180;Total men and women;70 to 80 years;2000;473;132;11;48;14;2;1;51;1;4;287;14;8;4;0;1;3;32;6;12;4;10;46.8;13.1;28.4;1.4;0.8;3.2
181;Total men and women;70 to 80 years;2001;497;123;18;46;12;1;0;44;0;2;327;9;3;0;0;0;3;35;3;11;3;18;48.9;12.1;32.2;0.9;0.3;3.4
182;Total men and women;70 to 80 years;2002;464;113;19;38;6;2;1;37;2;8;292;12;11;4;0;2;5;36;7;10;1;18;45.4;11.0;28.5;1.2;1.1;3.5
183;Total men and women;70 to 80 years;2003;480;112;14;46;10;5;0;29;0;8;314;11;7;4;0;1;2;36;1;4;11;20;46.7;10.9;30.5;1.1;0.7;3.5
184;Total men and women;70 to 80 years;2004;481;102;13;35;10;5;0;33;1;5;308;8;10;4;0;1;5;53;5;7;11;30;46.5;9.9;29.8;0.8;1.0;5.1
185;Total men and women;70 to 80 years;2005;505;111;15;44;8;5;2;32;0;5;308;10;8;4;0;0;4;68;5;11;18;34;48.4;10.6;29.5;1.0;0.8;6.5
186;Total men and women;70 to 80 years;2006;503;99;9;43;9;6;0;29;1;2;327;10;7;5;2;0;0;60;2;12;11;35;47.7;9.4;31.0;0.9;0.7;5.7
187;Total men and women;70 to 80 years;2007;498;106;16;45;4;3;0;29;3;6;313;8;6;5;0;1;0;65;0;2;11;52;46.7;9.9;29.3;0.7;0.6;6.1
188;Total men and women;70 to 80 years;2008;547;103;11;45;6;5;0;31;0;5;328;7;5;1;1;1;2;104;4;11;24;65;50.5;9.5;30.3;0.6;0.5;9.6
189;Total men and women;70 to 80 years;2009;539;92;10;44;7;2;1;27;0;1;336;7;10;7;0;0;3;94;5;6;22;61;48.8;8.3;30.4;0.6;0.9;8.5
190;Total men and women;70 to 80 years;2010;522;86;10;40;4;1;1;20;1;9;322;7;6;3;2;0;1;101;6;2;22;71;46.4;7.6;28.6;0.6;0.5;9.0
191;Total men and women;70 to 80 years;2011;575;103;13;45;5;9;0;25;1;5;359;13;11;6;0;1;4;89;3;8;9;69;50.1;9.0;31.3;1.1;1.0;7.8
192;Total men and women;70 to 80 years;2012;611;112;13;63;8;4;2;20;0;2;394;14;10;6;1;0;3;81;6;3;5;67;52.3;9.6;33.7;1.2;0.9;6.9
193;Total men and women;70 to 80 years;2013;614;103;13;53;6;10;0;15;1;5;389;12;12;5;3;1;3;98;3;11;6;78;51.3;8.6;32.5;1.0;1.0;8.2
194;Total men and women;70 to 80 years;2014;647;109;5;56;6;7;2;30;0;3;429;8;10;6;1;2;1;91;5;8;5;73;52.3;8.8;34.7;0.6;0.8;7.4
195;Total men and women;70 to 80 years;2015;709;101;7;49;3;12;0;23;0;7;468;13;11;5;2;1;3;116;4;4;7;101;55.6;7.9;36.7;1.0;0.9;9.1
196;Total men and women;70 to 80 years;2016;758;102;9;48;6;6;0;23;1;9;547;16;9;3;3;2;1;84;5;3;6;70;56.8;7.6;41.0;1.2;0.7;6.3
197;Total men and women;70 to 80 years;2017;781;105;9;52;6;7;2;15;1;13;554;9;10;6;2;0;2;103;4;4;8;87;55.0;7.4;39.0;0.6;0.7;7.3
198;Total men and women;80 years or older;1996;1291;100;20;35;10;0;0;30;0;5;1132;3;7;1;0;0;6;49;6;21;9;13;266.5;20.6;233.7;0.6;1.4;10.1
199;Total men and women;80 years or older;1997;1236;103;28;40;8;3;0;22;0;2;1076;7;4;0;0;0;4;46;5;13;8;20;252.1;21.0;219.5;1.4;0.8;9.4
200;Total men and women;80 years or older;1998;1176;73;20;23;2;0;2;22;0;4;1046;4;2;1;0;0;1;51;3;24;8;16;237.7;14.8;211.5;0.8;0.4;10.3
201;Total men and women;80 years or older;1999;1377;92;21;29;6;3;1;30;0;2;1234;2;1;0;0;0;1;48;2;21;10;15;276.4;18.5;247.7;0.4;0.2;9.6
202;Total men and women;80 years or older;2000;1268;76;16;28;6;4;0;18;0;4;1131;8;6;2;0;0;4;47;1;16;15;15;249.4;14.9;222.4;1.6;1.2;9.2
203;Total men and women;80 years or older;2001;1618;87;28;28;4;4;0;21;1;1;1458;8;6;4;1;0;1;59;5;15;9;30;308.7;16.6;278.2;1.5;1.1;11.3
204;Total men and women;80 years or older;2002;1467;115;23;30;14;5;0;40;0;3;1293;9;6;1;0;0;5;44;5;8;10;21;272.8;21.4;240.4;1.7;1.1;8.2
205;Total men and women;80 years or older;2003;1561;106;22;37;9;6;0;26;1;5;1371;6;9;8;0;0;1;69;5;13;19;32;283.2;19.2;248.8;1.1;1.6;12.5
206;Total men and women;80 years or older;2004;1505;103;20;30;4;14;0;34;0;1;1267;4;8;5;0;0;3;123;1;10;31;81;265.9;18.2;223.9;0.7;1.4;21.7
207;Total men and women;80 years or older;2005;1685;84;19;28;6;5;0;21;1;4;1373;6;11;8;0;0;3;211;3;17;18;173;290.4;14.5;236.6;1.0;1.9;36.4
208;Total men and women;80 years or older;2006;1837;98;15;44;4;11;0;21;0;3;1442;8;16;10;2;1;3;273;4;15;29;225;309.3;16.5;242.8;1.3;2.7;46.0
209;Total men and women;80 years or older;2007;1874;96;12;45;8;7;0;18;2;4;1430;10;7;5;2;0;0;331;3;10;27;291;308.1;15.8;235.1;1.6;1.2;54.4
210;Total men and women;80 years or older;2008;1959;83;12;31;5;11;0;19;1;4;1500;6;8;4;2;0;2;362;7;8;37;310;314.3;13.3;240.6;1.0;1.3;58.1
211;Total men and women;80 years or older;2009;2062;109;15;37;11;8;0;32;1;5;1571;9;13;10;0;0;3;360;3;8;36;313;322.4;17.0;245.6;1.4;2.0;56.3
212;Total men and women;80 years or older;2010;2208;97;18;37;6;9;0;23;0;4;1711;9;10;6;1;0;3;381;2;12;34;333;335.7;14.7;260.1;1.4;1.5;57.9
213;Total men and women;80 years or older;2011;2270;125;19;57;4;15;0;28;0;2;1765;7;11;6;0;0;5;362;2;7;18;335;335.4;18.5;260.8;1.0;1.6;53.5
214;Total men and women;80 years or older;2012;2605;101;13;47;5;13;0;19;0;4;2098;7;11;4;1;1;5;388;4;8;12;364;375.1;14.5;302.1;1.0;1.6;55.9
215;Total men and women;80 years or older;2013;2695;109;15;46;6;20;0;19;0;3;2202;11;12;9;1;0;2;361;6;8;8;339;379.6;15.4;310.2;1.5;1.7;50.8
216;Total men and women;80 years or older;2014;2911;117;18;39;5;19;0;24;1;11;2312;7;18;15;0;0;3;457;1;11;23;422;400.9;16.1;318.4;1.0;2.5;62.9
217;Total men and women;80 years or older;2015;3337;130;10;52;5;22;0;30;0;11;2689;18;16;10;1;0;5;484;13;16;12;443;449.8;17.5;362.5;2.4;2.2;65.2
218;Total men and women;80 years or older;2016;3681;150;18;63;5;22;0;28;1;13;2977;7;14;11;0;0;3;533;11;21;14;487;486.6;19.8;393.5;0.9;1.9;70.5
219;Total men and women;80 years or older;2017;3906;132;14;60;8;18;0;19;0;13;3179;13;14;7;2;0;5;568;4;16;12;536;506.2;17.1;412.0;1.7;1.8;73.6
220;Men;Total all ages;1996;1844;951;65;145;79;2;85;427;23;125;588;52;81;13;48;5;15;172;57;44;25;46;24.0;12.4;7.7;0.7;1.1;2.2
221;Men;Total all ages;1997;1776;846;67;155;64;7;81;396;28;48;572;79;93;16;62;3;12;186;66;35;26;59;23.0;11.0;7.4;1.0;1.2;2.4
222;Men;Total all ages;1998;1676;781;69;124;66;1;72;385;17;47;576;73;89;20;61;4;4;157;51;32;27;47;21.6;10.1;7.4;0.9;1.1;2.0
223;Men;Total all ages;1999;1785;849;77;152;75;3;73;392;34;43;598;73;91;9;66;6;10;174;53;38;29;54;22.8;10.9;7.6;0.9;1.2;2.2
224;Men;Total all ages;2000;1820;832;75;139;84;3;83;362;47;39;635;73;106;15;72;8;11;174;70;37;24;43;23.1;10.6;8.1;0.9;1.3;2.2
225;Men;Total all ages;2001;1909;769;71;142;65;4;74;333;46;34;768;68;106;10;81;4;11;198;58;36;31;73;24.0;9.7;9.7;0.9;1.3;2.5
226;Men;Total all ages;2002;1829;786;54;121;69;12;91;348;38;53;674;88;105;23;54;14;14;176;39;38;31;68;22.9;9.8;8.4;1.1;1.3;2.2
227;Men;Total all ages;2003;1917;806;56;132;69;9;87;354;45;54;731;64;112;22;62;17;11;204;50;31;44;79;23.9;10.0;9.1;0.8;1.4;2.5
228;Men;Total all ages;2004;1810;627;49;106;46;20;80;274;15;37;732;71;138;27;84;12;15;242;46;26;40;130;22.5;7.8;9.1;0.9;1.7;3.0
229;Men;Total all ages;2005;1822;588;48;105;51;14;71;237;20;42;806;76;104;16;66;13;9;248;52;31;45;120;22.6;7.3;10.0;0.9;1.3;3.1
230;Men;Total all ages;2006;1843;557;40;123;57;14;51;216;22;34;829;67;89;14;61;11;3;301;47;34;51;169;22.8;6.9;10.3;0.8;1.1;3.7
231;Men;Total all ages;2007;1835;575;53;119;58;9;63;212;36;25;835;61;87;14;58;11;4;277;41;14;55;167;22.7;7.1;10.3;0.8;1.1;3.4
232;Men;Total all ages;2008;1855;537;25;110;46;16;60;214;34;32;838;56;116;18;74;14;10;308;36;34;50;188;22.8;6.6;10.3;0.7;1.4;3.8
233;Men;Total all ages;2009;1940;517;31;127;40;10;59;199;21;30;918;59;133;25;88;7;13;313;43;24;58;188;23.7;6.3;11.2;0.7;1.6;3.8
234;Men;Total all ages;2010;1949;508;36;106;33;13;52;171;18;79;975;65;81;9;52;10;10;320;36;20;59;205;23.7;6.2;11.9;0.8;1.0;3.9
235;Men;Total all ages;2011;1939;496;39;140;35;17;51;156;20;38;989;62;102;19;64;8;11;290;46;16;35;193;23.5;6.0;12.0;0.8;1.2;3.5
236;Men;Total all ages;2012;2057;498;40;136;40;19;50;164;16;33;1107;64;108;20;70;6;12;280;39;14;28;199;24.8;6.0;13.3;0.8;1.3;3.4
237;Men;Total all ages;2013;2107;435;32;120;36;28;29;137;21;32;1208;59;98;18;64;10;6;307;48;27;26;206;25.3;5.2;14.5;0.7;1.2;3.7
238;Men;Total all ages;2014;2180;419;29;120;35;22;48;118;13;34;1262;54;104;35;45;14;10;341;42;21;40;238;26.1;5.0;15.1;0.6;1.2;4.1
239;Men;Total all ages;2015;2430;476;32;113;35;37;45;153;15;46;1418;64;132;32;75;8;17;340;46;18;19;257;28.9;5.7;16.9;0.8;1.6;4.1
240;Men;Total all ages;2016;2652;474;21;126;36;29;40;159;21;42;1617;65;155;38;96;13;8;341;35;27;31;248;31.4;5.6;19.1;0.8;1.8;4.0
241;Men;Total all ages;2017;2708;460;22;138;41;20;48;125;20;46;1623;67;187;25;134;12;16;371;37;25;28;281;31.9;5.4;19.1;0.8;2.2;4.4
242;Men;younger than 15 years;1996;85;50;8;16;2;0;0;10;0;14;3;19;0;0;0;0;0;13;2;3;4;4;5.8;3.4;0.2;1.3;0.0;0.9
243;Men;younger than 15 years;1997;85;30;8;18;1;0;0;3;0;0;9;30;0;0;0;0;0;16;4;3;4;5;5.8;2.0;0.6;2.0;0.0;1.1
244;Men;younger than 15 years;1998;62;27;4;13;0;0;0;8;0;2;3;20;0;0;0;0;0;12;3;2;5;2;4.2;1.8;0.2;1.3;0.0;0.8
245;Men;younger than 15 years;1999;92;50;12;23;1;0;1;10;0;3;8;20;1;1;0;0;0;13;3;2;8;0;6.1;3.3;0.5;1.3;0.1;0.9
246;Men;younger than 15 years;2000;78;39;9;17;2;0;0;5;3;3;6;15;0;0;0;0;0;18;7;5;6;0;5.1;2.6;0.4;1.0;0.0;1.2
247;Men;younger than 15 years;2001;78;38;12;13;1;0;1;8;0;3;4;16;0;0;0;0;0;20;5;2;9;4;5.1;2.5;0.3;1.0;0.0;1.3
248;Men;younger than 15 years;2002;59;27;8;14;0;0;1;3;0;1;4;18;0;0;0;0;0;10;1;3;4;2;3.8;1.8;0.3;1.2;0.0;0.7
249;Men;younger than 15 years;2003;89;45;13;10;2;0;0;9;2;9;7;14;3;2;0;0;1;20;4;4;7;5;5.8;2.9;0.5;0.9;0.2;1.3
250;Men;younger than 15 years;2004;60;18;5;6;0;1;0;2;0;4;5;12;1;0;0;0;1;24;5;2;10;7;3.9;1.2;0.3;0.8;0.1;1.6
251;Men;younger than 15 years;2005;53;17;4;6;0;0;0;3;0;4;9;15;0;0;0;0;0;12;4;4;3;1;3.5;1.1;0.6;1.0;0.0;0.8
252;Men;younger than 15 years;2006;46;17;4;10;0;0;0;2;0;1;1;12;0;0;0;0;0;16;2;6;3;5;3.0;1.1;0.1;0.8;0.0;1.1
253;Men;younger than 15 years;2007;46;16;5;5;3;0;0;0;1;2;2;9;2;2;0;0;0;17;4;3;8;2;3.1;1.1;0.1;0.6;0.1;1.1
254;Men;younger than 15 years;2008;40;16;1;8;0;0;0;4;1;2;3;8;0;0;0;0;0;13;1;5;6;1;2.7;1.1;0.2;0.5;0.0;0.9
255;Men;younger than 15 years;2009;45;14;4;9;0;0;0;0;0;1;1;9;1;1;0;0;0;20;6;4;8;2;3.0;0.9;0.1;0.6;0.1;1.3
256;Men;younger than 15 years;2010;36;15;1;4;0;0;0;5;0;5;4;9;0;0;0;0;0;8;0;0;7;1;2.4;1.0;0.3;0.6;0.0;0.5
257;Men;younger than 15 years;2011;31;19;2;7;1;0;0;4;0;5;0;3;0;0;0;0;0;9;3;0;6;0;2.1;1.3;0.0;0.2;0.0;0.6
258;Men;younger than 15 years;2012;38;17;5;7;0;0;0;4;1;0;3;9;1;1;0;0;0;8;3;2;3;0;2.6;1.2;0.2;0.6;0.1;0.5
259;Men;younger than 15 years;2013;31;9;4;2;0;0;0;0;0;3;1;9;0;0;0;0;0;12;1;2;4;5;2.1;0.6;0.1;0.6;0.0;0.8
260;Men;younger than 15 years;2014;31;14;2;8;0;0;0;3;0;1;2;6;0;0;0;0;0;9;2;0;5;2;2.1;1.0;0.1;0.4;0.0;0.6
261;Men;younger than 15 years;2015;34;17;3;7;2;0;0;2;0;3;3;7;0;0;0;0;0;7;2;0;5;0;2.4;1.2;0.2;0.5;0.0;0.5
262;Men;younger than 15 years;2016;28;10;1;2;0;0;0;3;0;4;3;8;0;0;0;0;0;7;1;1;4;1;2.0;0.7;0.2;0.6;0.0;0.5
263;Men;younger than 15 years;2017;29;9;2;2;0;0;0;2;0;3;2;8;1;0;0;0;1;9;0;1;5;3;2.0;0.6;0.1;0.6;0.1;0.6
264;Men;15 to 20 years;1996;112;100;4;15;39;0;4;29;1;8;4;3;1;0;1;0;0;4;3;0;1;0;23.7;21.1;0.8;0.6;0.2;0.8
265;Men;15 to 20 years;1997;102;83;4;15;30;0;2;28;1;3;6;2;2;1;0;1;0;9;4;1;2;2;21.5;17.5;1.3;0.4;0.4;1.9
266;Men;15 to 20 years;1998;103;93;6;10;40;0;1;30;2;4;4;1;2;0;2;0;0;3;2;0;1;0;21.8;19.7;0.8;0.2;0.4;0.6
267;Men;15 to 20 years;1999;101;84;2;15;25;0;2;38;1;1;2;5;3;1;2;0;0;7;4;0;1;2;21.3;17.7;0.4;1.1;0.6;1.5
268;Men;15 to 20 years;2000;112;102;3;14;35;0;5;33;8;4;0;0;3;1;2;0;0;7;5;0;1;1;23.5;21.4;0.0;0.0;0.6;1.5
269;Men;15 to 20 years;2001;93;74;4;10;22;0;2;35;1;0;0;2;3;1;2;0;0;14;6;5;2;1;19.4;15.4;0.0;0.4;0.6;2.9
270;Men;15 to 20 years;2002;113;95;2;9;30;0;1;47;3;3;1;6;2;0;2;0;0;9;2;2;2;3;23.2;19.5;0.2;1.2;0.4;1.8
271;Men;15 to 20 years;2003;83;77;3;6;23;0;2;37;5;1;0;4;0;0;0;0;0;2;0;1;1;0;16.8;15.6;0.0;0.8;0.0;0.4
272;Men;15 to 20 years;2004;80;64;2;9;16;0;2;33;0;2;2;4;3;1;1;0;1;7;1;0;0;6;16.0;12.8;0.4;0.8;0.6;1.4
273;Men;15 to 20 years;2005;59;49;2;4;21;0;1;20;0;1;2;2;1;0;0;0;1;5;2;1;0;2;11.7;9.7;0.4;0.4;0.2;1.0
274;Men;15 to 20 years;2006;63;53;0;11;15;0;1;21;1;4;1;2;2;1;1;0;0;5;0;1;0;4;12.4;10.4;0.2;0.4;0.4;1.0
275;Men;15 to 20 years;2007;67;58;3;8;21;0;2;21;2;1;0;3;1;0;0;0;1;5;2;0;2;1;13.1;11.3;0.0;0.6;0.2;1.0
276;Men;15 to 20 years;2008;57;45;2;3;14;0;2;22;0;2;2;3;2;0;0;1;1;5;1;0;0;4;11.1;8.7;0.4;0.6;0.4;1.0
277;Men;15 to 20 years;2009;58;48;2;8;7;0;1;24;2;4;2;1;1;0;1;0;0;6;4;1;1;0;11.2;9.3;0.4;0.2;0.2;1.2
278;Men;15 to 20 years;2010;45;38;0;6;9;0;2;17;2;2;0;7;0;0;0;0;0;0;0;0;0;0;8.7;7.3;0.0;1.4;0.0;0.0
279;Men;15 to 20 years;2011;41;31;2;7;9;0;0;11;0;2;2;1;3;1;1;1;0;4;1;0;2;1;8.0;6.0;0.4;0.2;0.6;0.8
280;Men;15 to 20 years;2012;33;22;3;5;4;0;0;8;0;2;0;2;2;0;1;0;1;7;3;2;1;1;6.5;4.3;0.0;0.4;0.4;1.4
281;Men;15 to 20 years;2013;46;32;0;5;5;0;2;18;1;1;3;7;1;0;1;0;0;3;2;0;0;1;9.0;6.3;0.6;1.4;0.2;0.6
282;Men;15 to 20 years;2014;41;33;3;3;8;0;0;13;0;6;0;2;2;2;0;0;0;4;2;1;0;1;8.0;6.5;0.0;0.4;0.4;0.8
283;Men;15 to 20 years;2015;42;34;1;2;4;0;3;17;3;4;2;0;2;2;0;0;0;4;3;0;0;1;8.1;6.6;0.4;0.0;0.4;0.8
284;Men;15 to 20 years;2016;35;26;3;4;6;0;1;11;0;1;2;3;2;1;1;0;0;2;2;0;0;0;6.7;4.9;0.4;0.6;0.4;0.4
285;Men;15 to 20 years;2017;41;27;0;4;12;0;0;7;1;3;1;6;2;0;1;0;1;5;2;1;1;1;7.7;5.1;0.2;1.1;0.4;0.9
286;Men;20 to 30 years;1996;325;264;13;5;12;0;30;162;6;36;9;4;29;4;21;0;4;19;10;5;2;2;27.2;22.1;0.8;0.3;2.4;1.6
287;Men;20 to 30 years;1997;281;216;4;9;5;0;32;149;9;8;12;5;19;3;14;0;2;29;11;8;2;8;24.2;18.6;1.0;0.4;1.6;2.5
288;Men;20 to 30 years;1998;247;189;8;5;8;0;26;132;3;7;10;8;19;2;16;0;1;21;7;7;3;4;21.9;16.7;0.9;0.7;1.7;1.9
289;Men;20 to 30 years;1999;266;205;7;7;9;1;30;131;10;10;13;7;18;1;13;1;3;23;13;2;2;6;24.3;18.7;1.2;0.6;1.6;2.1
290;Men;20 to 30 years;2000;250;196;14;7;9;0;24;127;12;3;12;4;22;0;22;0;0;16;6;3;3;4;23.5;18.4;1.1;0.4;2.1;1.5
291;Men;20 to 30 years;2001;228;165;6;8;9;0;21;98;18;5;17;1;18;2;14;0;2;27;10;5;5;7;21.9;15.9;1.6;0.1;1.7;2.6
292;Men;20 to 30 years;2002;218;182;5;7;7;0;26;113;13;11;7;3;14;2;9;1;2;12;6;0;2;4;21.4;17.8;0.7;0.3;1.4;1.2
293;Men;20 to 30 years;2003;211;168;4;4;5;0;30;112;8;5;7;4;16;4;10;1;1;16;7;1;1;7;21.0;16.7;0.7;0.4;1.6;1.6
294;Men;20 to 30 years;2004;176;132;5;6;5;1;28;81;3;3;12;5;17;2;15;0;0;10;4;1;0;5;17.7;13.3;1.2;0.5;1.7;1.0
295;Men;20 to 30 years;2005;153;110;4;6;6;0;11;74;4;5;5;4;17;2;14;1;0;17;6;3;3;5;15.5;11.2;0.5;0.4;1.7;1.7
296;Men;20 to 30 years;2006;151;108;7;2;13;0;12;67;5;2;6;2;16;1;11;3;1;19;3;3;1;12;15.3;11.0;0.6;0.2;1.6;1.9
297;Men;20 to 30 years;2007;153;116;4;6;8;0;21;67;9;1;13;8;10;0;10;0;0;6;3;0;2;1;15.5;11.8;1.3;0.8;1.0;0.6
298;Men;20 to 30 years;2008;132;97;1;3;6;0;14;63;7;3;3;1;15;2;11;1;1;16;5;4;0;7;13.2;9.7;0.3;0.1;1.5;1.6
299;Men;20 to 30 years;2009;147;95;3;3;6;0;20;56;3;4;8;6;23;1;19;1;2;15;5;1;5;4;14.6;9.4;0.8;0.6;2.3;1.5
300;Men;20 to 30 years;2010;125;88;6;4;5;0;13;49;5;6;6;7;13;0;10;0;3;11;4;1;1;5;12.2;8.6;0.6;0.7;1.3;1.1
301;Men;20 to 30 years;2011;125;83;5;5;3;0;19;44;2;5;7;8;11;2;9;0;0;16;8;0;3;5;12.1;8.0;0.7;0.8;1.1;1.5
302;Men;20 to 30 years;2012;125;88;6;4;4;0;9;58;3;4;8;8;16;3;11;2;0;5;2;0;1;2;12.0;8.4;0.8;0.8;1.5;0.5
303;Men;20 to 30 years;2013;134;89;2;8;8;0;11;51;7;2;8;4;19;2;16;1;0;14;2;4;1;7;12.7;8.4;0.8;0.4;1.8;1.3
304;Men;20 to 30 years;2014;98;60;2;2;3;0;15;29;4;5;6;2;19;8;5;1;5;11;7;0;2;2;9.2;5.6;0.6;0.2;1.8;1.0
305;Men;20 to 30 years;2015;106;68;3;5;8;0;13;31;4;4;4;6;17;5;9;0;3;11;5;2;1;3;9.8;6.3;0.4;0.6;1.6;1.0
306;Men;20 to 30 years;2016;120;71;1;4;4;0;11;41;5;5;6;4;27;10;15;1;1;12;6;0;5;1;11.0;6.5;0.6;0.4;2.5;1.1
307;Men;20 to 30 years;2017;105;54;0;4;2;0;9;32;6;1;6;4;26;0;23;2;1;15;5;3;1;6;9.6;4.9;0.5;0.4;2.4;1.4
308;Men;30 to 40 years;1996;201;121;5;1;1;0;25;72;5;12;15;8;29;3;18;2;6;28;15;4;5;4;15.3;9.2;1.1;0.6;2.2;2.1
309;Men;30 to 40 years;1997;224;135;5;10;6;0;28;71;7;8;14;7;37;6;28;2;1;31;19;1;1;10;17.0;10.2;1.1;0.5;2.8;2.4
310;Men;30 to 40 years;1998;220;124;8;7;6;0;18;76;4;5;20;12;32;6;25;0;1;32;15;3;6;8;16.6;9.3;1.5;0.9;2.4;2.4
311;Men;30 to 40 years;1999;216;117;5;8;8;0;25;56;8;7;11;13;41;4;33;2;2;34;14;5;5;10;16.2;8.8;0.8;1.0;3.1;2.5
