ID;BedrijfstakkenBranchesSBI2008;Perioden;VacatureIndicator_1
620;F Bouwnijverheid;2008 november;-0.82
621;F Bouwnijverheid;2008 december;-1.19
622;F Bouwnijverheid;2009 januari;-1.54
623;F Bouwnijverheid;2009 februari;-1.85
624;F Bouwnijverheid;2009 maart;-2.11
625;F Bouwnijverheid;2009 april;-2.3
626;F Bouwnijverheid;2009 mei;-2.41
627;F Bouwnijverheid;2009 juni;-2.45
628;F Bouwnijverheid;2009 juli;-2.43
629;F Bouwnijverheid;2009 augustus;-2.35
630;F Bouwnijverheid;2009 september;-2.2
631;F Bouwnijverheid;2009 oktober;-1.99
632;F Bouwnijverheid;2009 november;-1.72
633;F Bouwnijverheid;2009 december;-1.41
634;F Bouwnijverheid;2010 januari;-1.09
635;F Bouwnijverheid;2010 februari;-0.83
636;F Bouwnijverheid;2010 maart;-0.62
637;F Bouwnijverheid;2010 april;-0.44
638;F Bouwnijverheid;2010 mei;-0.26
639;F Bouwnijverheid;2010 juni;-0.09
640;F Bouwnijverheid;2010 juli;0.07
641;F Bouwnijverheid;2010 augustus;0.22
642;F Bouwnijverheid;2010 september;0.35
643;F Bouwnijverheid;2010 oktober;0.45
644;F Bouwnijverheid;2010 november;0.53
645;F Bouwnijverheid;2010 december;0.58
646;F Bouwnijverheid;2011 januari;0.6
647;F Bouwnijverheid;2011 februari;0.59
648;F Bouwnijverheid;2011 maart;0.58
649;F Bouwnijverheid;2011 april;0.53
650;F Bouwnijverheid;2011 mei;0.21
651;F Bouwnijverheid;2011 juni;0.08
652;F Bouwnijverheid;2011 juli;0.01
653;F Bouwnijverheid;2011 augustus;-0.05
654;F Bouwnijverheid;2011 september;-0.14
655;F Bouwnijverheid;2011 oktober;-0.24
656;F Bouwnijverheid;2011 november;-0.37
657;F Bouwnijverheid;2011 december;-0.5
658;F Bouwnijverheid;2012 januari;-0.63
659;F Bouwnijverheid;2012 februari;-0.79
660;F Bouwnijverheid;2012 maart;-0.94
661;F Bouwnijverheid;2012 april;-1.11
662;F Bouwnijverheid;2012 mei;-1.25
663;F Bouwnijverheid;2012 juni;-1.39
664;F Bouwnijverheid;2012 juli;-1.44
665;F Bouwnijverheid;2012 augustus;-1.46
666;F Bouwnijverheid;2012 september;-1.51
667;F Bouwnijverheid;2012 oktober;-1.55
668;F Bouwnijverheid;2012 november;-1.59
669;F Bouwnijverheid;2012 december;-1.6
670;F Bouwnijverheid;2013 januari;-1.59
671;F Bouwnijverheid;2013 februari;-1.56
672;F Bouwnijverheid;2013 maart;-1.47
673;F Bouwnijverheid;2013 april;-1.36
674;F Bouwnijverheid;2013 mei;-1.2
675;F Bouwnijverheid;2013 juni;-1.02
676;F Bouwnijverheid;2013 juli;-0.83
677;F Bouwnijverheid;2013 augustus;-0.65
678;F Bouwnijverheid;2013 september;-0.46
679;F Bouwnijverheid;2013 oktober;-0.26
680;F Bouwnijverheid;2013 november;-0.03
681;F Bouwnijverheid;2013 december;0.19
682;F Bouwnijverheid;2014 januari;0.4
683;F Bouwnijverheid;2014 februari;0.61
684;F Bouwnijverheid;2014 maart;0.76
685;F Bouwnijverheid;2014 april;0.83
686;F Bouwnijverheid;2014 mei;0.91
687;F Bouwnijverheid;2014 juni;0.98
688;F Bouwnijverheid;2014 juli;1.01
689;F Bouwnijverheid;2014 augustus;1.06
690;F Bouwnijverheid;2014 september;1.17
691;F Bouwnijverheid;2014 oktober;1.28
692;F Bouwnijverheid;2014 november;1.39
693;F Bouwnijverheid;2014 december;1.5
694;F Bouwnijverheid;2015 januari;1.54
695;F Bouwnijverheid;2015 februari;1.57
696;F Bouwnijverheid;2015 maart;1.58
697;F Bouwnijverheid;2015 april;1.55
698;F Bouwnijverheid;2015 mei;1.47
699;F Bouwnijverheid;2015 juni;1.38
700;F Bouwnijverheid;2015 juli;1.35
701;F Bouwnijverheid;2015 augustus;1.29
702;F Bouwnijverheid;2015 september;1.25
703;F Bouwnijverheid;2015 oktober;1.19
704;F Bouwnijverheid;2015 november;1.15
705;F Bouwnijverheid;2015 december;1.15
706;F Bouwnijverheid;2016 januari;1.21
707;F Bouwnijverheid;2016 februari;1.28
708;F Bouwnijverheid;2016 maart;1.37
709;F Bouwnijverheid;2016 april;1.46
710;F Bouwnijverheid;2016 mei;1.54
711;F Bouwnijverheid;2016 juni;1.6
712;F Bouwnijverheid;2016 juli;1.62
713;F Bouwnijverheid;2016 augustus;1.55
714;F Bouwnijverheid;2016 september;1.56
715;F Bouwnijverheid;2016 oktober;1.54
716;F Bouwnijverheid;2016 november;1.52
717;F Bouwnijverheid;2016 december;1.5
718;F Bouwnijverheid;2017 januari;1.44
719;F Bouwnijverheid;2017 februari;1.38
720;F Bouwnijverheid;2017 maart;1.33
721;F Bouwnijverheid;2017 april;1.27
722;F Bouwnijverheid;2017 mei;1.22
723;F Bouwnijverheid;2017 juni;1.2
724;F Bouwnijverheid;2017 juli;1.24
725;F Bouwnijverheid;2017 augustus;1.27
726;F Bouwnijverheid;2017 september;1.36
727;F Bouwnijverheid;2017 oktober;1.49
728;F Bouwnijverheid;2017 november;1.6
729;F Bouwnijverheid;2017 december;1.73
730;F Bouwnijverheid;2018 januari;1.84
731;F Bouwnijverheid;2018 februari;1.94
732;F Bouwnijverheid;2018 maart;2.02
733;F Bouwnijverheid;2018 april;2.08
734;F Bouwnijverheid;2018 mei;2.14
735;G-N Commerciële dienstverlening;1998 januari;1.09
736;G-N Commerciële dienstverlening;1998 februari;1.2
737;G-N Commerciële dienstverlening;1998 maart;1.33
738;G-N Commerciële dienstverlening;1998 april;1.45
739;G-N Commerciële dienstverlening;1998 mei;1.45
740;G-N Commerciële dienstverlening;1998 juni;1.33
741;G-N Commerciële dienstverlening;1998 juli;1.09
742;G-N Commerciële dienstverlening;1998 augustus;0.9
743;G-N Commerciële dienstverlening;1998 september;0.77
744;G-N Commerciële dienstverlening;1998 oktober;0.7
745;G-N Commerciële dienstverlening;1998 november;0.66
746;G-N Commerciële dienstverlening;1998 december;0.62
747;G-N Commerciële dienstverlening;1999 januari;0.57
748;G-N Commerciële dienstverlening;1999 februari;0.5
749;G-N Commerciële dienstverlening;1999 maart;0.39
750;G-N Commerciële dienstverlening;1999 april;0.28
751;G-N Commerciële dienstverlening;1999 mei;0.25
752;G-N Commerciële dienstverlening;1999 juni;0.32
753;G-N Commerciële dienstverlening;1999 juli;0.47
754;G-N Commerciële dienstverlening;1999 augustus;0.6
755;G-N Commerciële dienstverlening;1999 september;0.68
756;G-N Commerciële dienstverlening;1999 oktober;0.7
757;G-N Commerciële dienstverlening;1999 november;0.66
758;G-N Commerciële dienstverlening;1999 december;0.59
759;G-N Commerciële dienstverlening;2000 januari;0.5
760;G-N Commerciële dienstverlening;2000 februari;0.44
761;G-N Commerciële dienstverlening;2000 maart;0.4
762;G-N Commerciële dienstverlening;2000 april;0.36
763;G-N Commerciële dienstverlening;2000 mei;0.33
764;G-N Commerciële dienstverlening;2000 juni;0.31
765;G-N Commerciële dienstverlening;2000 juli;0.29
766;G-N Commerciële dienstverlening;2000 augustus;0.3
767;G-N Commerciële dienstverlening;2000 september;0.34
768;G-N Commerciële dienstverlening;2000 oktober;0.38
769;G-N Commerciële dienstverlening;2000 november;0.41
770;G-N Commerciële dienstverlening;2000 december;0.41
771;G-N Commerciële dienstverlening;2001 januari;0.4
772;G-N Commerciële dienstverlening;2001 februari;0.34
773;G-N Commerciële dienstverlening;2001 maart;0.21
774;G-N Commerciële dienstverlening;2001 april;0.03
775;G-N Commerciële dienstverlening;2001 mei;-0.12
776;G-N Commerciële dienstverlening;2001 juni;-0.22
777;G-N Commerciële dienstverlening;2001 juli;-0.31
778;G-N Commerciële dienstverlening;2001 augustus;-0.35
779;G-N Commerciële dienstverlening;2001 september;-0.37
780;G-N Commerciële dienstverlening;2001 oktober;-0.37
781;G-N Commerciële dienstverlening;2001 november;-0.38
782;G-N Commerciële dienstverlening;2001 december;-0.41
783;G-N Commerciële dienstverlening;2002 januari;-0.43
784;G-N Commerciële dienstverlening;2002 februari;-0.43
785;G-N Commerciële dienstverlening;2002 maart;-0.42
786;G-N Commerciële dienstverlening;2002 april;-0.4
787;G-N Commerciële dienstverlening;2002 mei;-0.41
788;G-N Commerciële dienstverlening;2002 juni;-0.47
789;G-N Commerciële dienstverlening;2002 juli;-0.57
790;G-N Commerciële dienstverlening;2002 augustus;-0.68
791;G-N Commerciële dienstverlening;2002 september;-0.78
792;G-N Commerciële dienstverlening;2002 oktober;-0.87
793;G-N Commerciële dienstverlening;2002 november;-0.92
794;G-N Commerciële dienstverlening;2002 december;-0.95
795;G-N Commerciële dienstverlening;2003 januari;-0.96
796;G-N Commerciële dienstverlening;2003 februari;-0.98
797;G-N Commerciële dienstverlening;2003 maart;-1.04
798;G-N Commerciële dienstverlening;2003 april;-1.13
799;G-N Commerciële dienstverlening;2003 mei;-1.2
800;G-N Commerciële dienstverlening;2003 juni;-1.24
801;G-N Commerciële dienstverlening;2003 juli;-1.25
802;G-N Commerciële dienstverlening;2003 augustus;-1.25
803;G-N Commerciële dienstverlening;2003 september;-1.24
804;G-N Commerciële dienstverlening;2003 oktober;-1.23
805;G-N Commerciële dienstverlening;2003 november;-1.2
806;G-N Commerciële dienstverlening;2003 december;-1.16
807;G-N Commerciële dienstverlening;2004 januari;-1.08
808;G-N Commerciële dienstverlening;2004 februari;-0.99
809;G-N Commerciële dienstverlening;2004 maart;-0.89
810;G-N Commerciële dienstverlening;2004 april;-0.77
811;G-N Commerciële dienstverlening;2004 mei;-0.65
812;G-N Commerciële dienstverlening;2004 juni;-0.53
813;G-N Commerciële dienstverlening;2004 juli;-0.4
814;G-N Commerciële dienstverlening;2004 augustus;-0.32
815;G-N Commerciële dienstverlening;2004 september;-0.27
816;G-N Commerciële dienstverlening;2004 oktober;-0.22
817;G-N Commerciële dienstverlening;2004 november;-0.19
818;G-N Commerciële dienstverlening;2004 december;-0.15
819;G-N Commerciële dienstverlening;2005 januari;-0.11
820;G-N Commerciële dienstverlening;2005 februari;-0.05
821;G-N Commerciële dienstverlening;2005 maart;0.04
822;G-N Commerciële dienstverlening;2005 april;0.15
823;G-N Commerciële dienstverlening;2005 mei;0.23
824;G-N Commerciële dienstverlening;2005 juni;0.29
825;G-N Commerciële dienstverlening;2005 juli;0.34
826;G-N Commerciële dienstverlening;2005 augustus;0.39
827;G-N Commerciële dienstverlening;2005 september;0.45
828;G-N Commerciële dienstverlening;2005 oktober;0.53
829;G-N Commerciële dienstverlening;2005 november;0.59
830;G-N Commerciële dienstverlening;2005 december;0.65
831;G-N Commerciële dienstverlening;2006 januari;0.71
832;G-N Commerciële dienstverlening;2006 februari;0.77
833;G-N Commerciële dienstverlening;2006 maart;0.83
834;G-N Commerciële dienstverlening;2006 april;0.85
835;G-N Commerciële dienstverlening;2006 mei;0.83
836;G-N Commerciële dienstverlening;2006 juni;0.78
837;G-N Commerciële dienstverlening;2006 juli;0.69
838;G-N Commerciële dienstverlening;2006 augustus;0.62
839;G-N Commerciële dienstverlening;2006 september;0.64
840;G-N Commerciële dienstverlening;2006 oktober;0.74
841;G-N Commerciële dienstverlening;2006 november;0.82
842;G-N Commerciële dienstverlening;2006 december;0.87
843;G-N Commerciële dienstverlening;2007 januari;0.89
844;G-N Commerciële dienstverlening;2007 februari;0.89
845;G-N Commerciële dienstverlening;2007 maart;0.86
846;G-N Commerciële dienstverlening;2007 april;0.83
847;G-N Commerciële dienstverlening;2007 mei;0.78
848;G-N Commerciële dienstverlening;2007 juni;0.74
849;G-N Commerciële dienstverlening;2007 juli;0.71
850;G-N Commerciële dienstverlening;2007 augustus;0.67
851;G-N Commerciële dienstverlening;2007 september;0.59
852;G-N Commerciële dienstverlening;2007 oktober;0.52
853;G-N Commerciële dienstverlening;2007 november;0.49
854;G-N Commerciële dienstverlening;2007 december;0.47
855;G-N Commerciële dienstverlening;2008 januari;0.46
856;G-N Commerciële dienstverlening;2008 februari;0.41
857;G-N Commerciële dienstverlening;2008 maart;0.31
858;G-N Commerciële dienstverlening;2008 april;0.2
859;G-N Commerciële dienstverlening;2008 mei;0.1
860;G-N Commerciële dienstverlening;2008 juni;0.0
861;G-N Commerciële dienstverlening;2008 juli;-0.12
862;G-N Commerciële dienstverlening;2008 augustus;-0.31
863;G-N Commerciële dienstverlening;2008 september;-0.54
864;G-N Commerciële dienstverlening;2008 oktober;-0.85
865;G-N Commerciële dienstverlening;2008 november;-1.2
866;G-N Commerciële dienstverlening;2008 december;-1.55
867;G-N Commerciële dienstverlening;2009 januari;-1.85
868;G-N Commerciële dienstverlening;2009 februari;-2.08
869;G-N Commerciële dienstverlening;2009 maart;-2.22
870;G-N Commerciële dienstverlening;2009 april;-2.27
871;G-N Commerciële dienstverlening;2009 mei;-2.22
872;G-N Commerciële dienstverlening;2009 juni;-2.08
873;G-N Commerciële dienstverlening;2009 juli;-1.89
874;G-N Commerciële dienstverlening;2009 augustus;-1.68
875;G-N Commerciële dienstverlening;2009 september;-1.49
876;G-N Commerciële dienstverlening;2009 oktober;-1.35
877;G-N Commerciële dienstverlening;2009 november;-1.21
878;G-N Commerciële dienstverlening;2009 december;-1.06
879;G-N Commerciële dienstverlening;2010 januari;-0.86
880;G-N Commerciële dienstverlening;2010 februari;-0.68
881;G-N Commerciële dienstverlening;2010 maart;-0.52
882;G-N Commerciële dienstverlening;2010 april;-0.37
883;G-N Commerciële dienstverlening;2010 mei;-0.28
884;G-N Commerciële dienstverlening;2010 juni;-0.27
885;G-N Commerciële dienstverlening;2010 juli;-0.28
886;G-N Commerciële dienstverlening;2010 augustus;-0.27
887;G-N Commerciële dienstverlening;2010 september;-0.23
888;G-N Commerciële dienstverlening;2010 oktober;-0.17
889;G-N Commerciële dienstverlening;2010 november;-0.1
890;G-N Commerciële dienstverlening;2010 december;-0.04
891;G-N Commerciële dienstverlening;2011 januari;0.0
892;G-N Commerciële dienstverlening;2011 februari;0.02
893;G-N Commerciële dienstverlening;2011 maart;-0.01
894;G-N Commerciële dienstverlening;2011 april;-0.11
895;G-N Commerciële dienstverlening;2011 mei;-0.23
896;G-N Commerciële dienstverlening;2011 juni;-0.36
897;G-N Commerciële dienstverlening;2011 juli;-0.46
898;G-N Commerciële dienstverlening;2011 augustus;-0.53
899;G-N Commerciële dienstverlening;2011 september;-0.61
900;G-N Commerciële dienstverlening;2011 oktober;-0.64
901;G-N Commerciële dienstverlening;2011 november;-0.63
902;G-N Commerciële dienstverlening;2011 december;-0.62
903;G-N Commerciële dienstverlening;2012 januari;-0.62
904;G-N Commerciële dienstverlening;2012 februari;-0.62
905;G-N Commerciële dienstverlening;2012 maart;-0.62
906;G-N Commerciële dienstverlening;2012 april;-0.65
907;G-N Commerciële dienstverlening;2012 mei;-0.68
908;G-N Commerciële dienstverlening;2012 juni;-0.75
909;G-N Commerciële dienstverlening;2012 juli;-0.83
910;G-N Commerciële dienstverlening;2012 augustus;-0.92
911;G-N Commerciële dienstverlening;2012 september;-0.98
912;G-N Commerciële dienstverlening;2012 oktober;-1.02
913;G-N Commerciële dienstverlening;2012 november;-1.02
914;G-N Commerciële dienstverlening;2012 december;-1.01
915;G-N Commerciële dienstverlening;2013 januari;-0.99
916;G-N Commerciële dienstverlening;2013 februari;-0.98
917;G-N Commerciële dienstverlening;2013 maart;-0.96
918;G-N Commerciële dienstverlening;2013 april;-0.93
919;G-N Commerciële dienstverlening;2013 mei;-0.88
920;G-N Commerciële dienstverlening;2013 juni;-0.81
921;G-N Commerciële dienstverlening;2013 juli;-0.74
922;G-N Commerciële dienstverlening;2013 augustus;-0.67
923;G-N Commerciële dienstverlening;2013 september;-0.6
924;G-N Commerciële dienstverlening;2013 oktober;-0.54
925;G-N Commerciële dienstverlening;2013 november;-0.48
926;G-N Commerciële dienstverlening;2013 december;-0.4
927;G-N Commerciële dienstverlening;2014 januari;-0.32
928;G-N Commerciële dienstverlening;2014 februari;-0.23
929;G-N Commerciële dienstverlening;2014 maart;-0.16
930;G-N Commerciële dienstverlening;2014 april;-0.09
931;G-N Commerciële dienstverlening;2014 mei;-0.06
932;G-N Commerciële dienstverlening;2014 juni;-0.07
933;G-N Commerciële dienstverlening;2014 juli;-0.09
934;G-N Commerciële dienstverlening;2014 augustus;-0.09
935;G-N Commerciële dienstverlening;2014 september;-0.08
936;G-N Commerciële dienstverlening;2014 oktober;-0.04
937;G-N Commerciële dienstverlening;2014 november;0.01
938;G-N Commerciële dienstverlening;2014 december;0.09
939;G-N Commerciële dienstverlening;2015 januari;0.15
940;G-N Commerciële dienstverlening;2015 februari;0.16
941;G-N Commerciële dienstverlening;2015 maart;0.13
942;G-N Commerciële dienstverlening;2015 april;0.1
943;G-N Commerciële dienstverlening;2015 mei;0.11
944;G-N Commerciële dienstverlening;2015 juni;0.13
945;G-N Commerciële dienstverlening;2015 juli;0.16
946;G-N Commerciële dienstverlening;2015 augustus;0.2
947;G-N Commerciële dienstverlening;2015 september;0.24
948;G-N Commerciële dienstverlening;2015 oktober;0.26
949;G-N Commerciële dienstverlening;2015 november;0.24
950;G-N Commerciële dienstverlening;2015 december;0.23
951;G-N Commerciële dienstverlening;2016 januari;0.25
952;G-N Commerciële dienstverlening;2016 februari;0.27
953;G-N Commerciële dienstverlening;2016 maart;0.3
954;G-N Commerciële dienstverlening;2016 april;0.32
955;G-N Commerciële dienstverlening;2016 mei;0.34
956;G-N Commerciële dienstverlening;2016 juni;0.34
957;G-N Commerciële dienstverlening;2016 juli;0.33
958;G-N Commerciële dienstverlening;2016 augustus;0.31
959;G-N Commerciële dienstverlening;2016 september;0.3
960;G-N Commerciële dienstverlening;2016 oktober;0.28
961;G-N Commerciële dienstverlening;2016 november;0.28
962;G-N Commerciële dienstverlening;2016 december;0.28
963;G-N Commerciële dienstverlening;2017 januari;0.3
964;G-N Commerciële dienstverlening;2017 februari;0.33
965;G-N Commerciële dienstverlening;2017 maart;0.36
966;G-N Commerciële dienstverlening;2017 april;0.38
967;G-N Commerciële dienstverlening;2017 mei;0.4
968;G-N Commerciële dienstverlening;2017 juni;0.44
969;G-N Commerciële dienstverlening;2017 juli;0.48
970;G-N Commerciële dienstverlening;2017 augustus;0.51
971;G-N Commerciële dienstverlening;2017 september;0.53
972;G-N Commerciële dienstverlening;2017 oktober;0.55
973;G-N Commerciële dienstverlening;2017 november;0.57
974;G-N Commerciële dienstverlening;2017 december;0.6
975;G-N Commerciële dienstverlening;2018 januari;0.61
976;G-N Commerciële dienstverlening;2018 februari;0.62
977;G-N Commerciële dienstverlening;2018 maart;0.62
978;G-N Commerciële dienstverlening;2018 april;0.62
979;G-N Commerciële dienstverlening;2018 mei;0.63
