ID;TypeOfBankruptcy;Regions;Periods;PronouncedBankrupcies_1
1843;Total natural persons;Abroad;2000;
1844;Total natural persons;Abroad;2001 January;
1845;Total natural persons;Abroad;2001 February;
1846;Total natural persons;Abroad;2001 March;
1847;Total natural persons;Abroad;2001 1st quarter;
1848;Total natural persons;Abroad;2001 April;
1849;Total natural persons;Abroad;2001 May;
1850;Total natural persons;Abroad;2001 June;
1851;Total natural persons;Abroad;2001 2nd quarter;
1852;Total natural persons;Abroad;2001 July;
1853;Total natural persons;Abroad;2001 August;
1854;Total natural persons;Abroad;2001 September;
1855;Total natural persons;Abroad;2001 3rd quarter;
1856;Total natural persons;Abroad;2001 October;
1857;Total natural persons;Abroad;2001 November;
1858;Total natural persons;Abroad;2001 December;
1859;Total natural persons;Abroad;2001 4th quarter;
1860;Total natural persons;Abroad;2001;
1861;Total natural persons;Abroad;2002 January;
1862;Total natural persons;Abroad;2002 February;
1863;Total natural persons;Abroad;2002 March;
1864;Total natural persons;Abroad;2002 1st quarter;
1865;Total natural persons;Abroad;2002 April;
1866;Total natural persons;Abroad;2002 May;
1867;Total natural persons;Abroad;2002 June;
1868;Total natural persons;Abroad;2002 2nd quarter;
1869;Total natural persons;Abroad;2002 July;
1870;Total natural persons;Abroad;2002 August;
1871;Total natural persons;Abroad;2002 September;
1872;Total natural persons;Abroad;2002 3rd quarter;
1873;Total natural persons;Abroad;2002 October;
1874;Total natural persons;Abroad;2002 November;
1875;Total natural persons;Abroad;2002 December;
1876;Total natural persons;Abroad;2002 4th quarter;
1877;Total natural persons;Abroad;2002;
1878;Total natural persons;Abroad;2003 January;
1879;Total natural persons;Abroad;2003 February;
1880;Total natural persons;Abroad;2003 March;
1881;Total natural persons;Abroad;2003 1st quarter;
1882;Total natural persons;Abroad;2003 April;
1883;Total natural persons;Abroad;2003 May;
1884;Total natural persons;Abroad;2003 June;
1885;Total natural persons;Abroad;2003 2nd quarter;
1886;Total natural persons;Abroad;2003 July;
1887;Total natural persons;Abroad;2003 August;
1888;Total natural persons;Abroad;2003 September;
1889;Total natural persons;Abroad;2003 3rd quarter;
1890;Total natural persons;Abroad;2003 October;
1891;Total natural persons;Abroad;2003 November;
1892;Total natural persons;Abroad;2003 December;
1893;Total natural persons;Abroad;2003 4th quarter;
1894;Total natural persons;Abroad;2003;
1895;Total natural persons;Abroad;2004 January;
1896;Total natural persons;Abroad;2004 February;
1897;Total natural persons;Abroad;2004 March;
1898;Total natural persons;Abroad;2004 1st quarter;
1899;Total natural persons;Abroad;2004 April;
1900;Total natural persons;Abroad;2004 May;
1901;Total natural persons;Abroad;2004 June;
1902;Total natural persons;Abroad;2004 2nd quarter;
1903;Total natural persons;Abroad;2004 July;
1904;Total natural persons;Abroad;2004 August;
1905;Total natural persons;Abroad;2004 September;
1906;Total natural persons;Abroad;2004 3rd quarter;
1907;Total natural persons;Abroad;2004 October;
1908;Total natural persons;Abroad;2004 November;
1909;Total natural persons;Abroad;2004 December;
1910;Total natural persons;Abroad;2004 4th quarter;
1911;Total natural persons;Abroad;2004;
1912;Total natural persons;Abroad;2005 January;
1913;Total natural persons;Abroad;2005 February;
1914;Total natural persons;Abroad;2005 March;
1915;Total natural persons;Abroad;2005 1st quarter;
1916;Total natural persons;Abroad;2005 April;
1917;Total natural persons;Abroad;2005 May;
1918;Total natural persons;Abroad;2005 June;
1919;Total natural persons;Abroad;2005 2nd quarter;
1920;Total natural persons;Abroad;2005 July;
1921;Total natural persons;Abroad;2005 August;
1922;Total natural persons;Abroad;2005 September;
1923;Total natural persons;Abroad;2005 3rd quarter;
1924;Total natural persons;Abroad;2005 October;
1925;Total natural persons;Abroad;2005 November;
1926;Total natural persons;Abroad;2005 December;
1927;Total natural persons;Abroad;2005 4th quarter;
1928;Total natural persons;Abroad;2005;
1929;Total natural persons;Abroad;2006 January;
1930;Total natural persons;Abroad;2006 February;
1931;Total natural persons;Abroad;2006 March;
1932;Total natural persons;Abroad;2006 1st quarter;
1933;Total natural persons;Abroad;2006 April;
1934;Total natural persons;Abroad;2006 May;
1935;Total natural persons;Abroad;2006 June;
1936;Total natural persons;Abroad;2006 2nd quarter;
1937;Total natural persons;Abroad;2006 July;
1938;Total natural persons;Abroad;2006 August;
1939;Total natural persons;Abroad;2006 September;
1940;Total natural persons;Abroad;2006 3rd quarter;
1941;Total natural persons;Abroad;2006 October;
1942;Total natural persons;Abroad;2006 November;
1943;Total natural persons;Abroad;2006 December;
1944;Total natural persons;Abroad;2006 4th quarter;
1945;Total natural persons;Abroad;2006;
1946;Total natural persons;Abroad;2007 January;
1947;Total natural persons;Abroad;2007 February;
1948;Total natural persons;Abroad;2007 March;
1949;Total natural persons;Abroad;2007 1st quarter;
1950;Total natural persons;Abroad;2007 April;
1951;Total natural persons;Abroad;2007 May;
1952;Total natural persons;Abroad;2007 June;
1953;Total natural persons;Abroad;2007 2nd quarter;
1954;Total natural persons;Abroad;2007 July;
1955;Total natural persons;Abroad;2007 August;
1956;Total natural persons;Abroad;2007 September;
1957;Total natural persons;Abroad;2007 3rd quarter;
1958;Total natural persons;Abroad;2007 October;
1959;Total natural persons;Abroad;2007 November;
1960;Total natural persons;Abroad;2007 December;
1961;Total natural persons;Abroad;2007 4th quarter;
1962;Total natural persons;Abroad;2007;
1963;Total natural persons;Abroad;2008 January;
1964;Total natural persons;Abroad;2008 February;
1965;Total natural persons;Abroad;2008 March;
1966;Total natural persons;Abroad;2008 1st quarter;
1967;Total natural persons;Abroad;2008 April;
1968;Total natural persons;Abroad;2008 May;
1969;Total natural persons;Abroad;2008 June;
1970;Total natural persons;Abroad;2008 2nd quarter;
1971;Total natural persons;Abroad;2008 July;
1972;Total natural persons;Abroad;2008 August;
1973;Total natural persons;Abroad;2008 September;
1974;Total natural persons;Abroad;2008 3rd quarter;
1975;Total natural persons;Abroad;2008 October;
1976;Total natural persons;Abroad;2008 November;
1977;Total natural persons;Abroad;2008 December;
1978;Total natural persons;Abroad;2008 4th quarter;
1979;Total natural persons;Abroad;2008;
1980;Total natural persons;Abroad;2009 January;0.0
1981;Total natural persons;Abroad;2009 February;0.0
1982;Total natural persons;Abroad;2009 March;0.0
1983;Total natural persons;Abroad;2009 1st quarter;0.0
1984;Total natural persons;Abroad;2009 April;0.0
1985;Total natural persons;Abroad;2009 May;0.0
1986;Total natural persons;Abroad;2009 June;0.0
1987;Total natural persons;Abroad;2009 2nd quarter;0.0
1988;Total natural persons;Abroad;2009 July;0.0
1989;Total natural persons;Abroad;2009 August;0.0
1990;Total natural persons;Abroad;2009 September;0.0
1991;Total natural persons;Abroad;2009 3rd quarter;0.0
1992;Total natural persons;Abroad;2009 October;0.0
1993;Total natural persons;Abroad;2009 November;0.0
1994;Total natural persons;Abroad;2009 December;0.0
1995;Total natural persons;Abroad;2009 4th quarter;0.0
1996;Total natural persons;Abroad;2009;0.0
1997;Total natural persons;Abroad;2010 January;0.0
1998;Total natural persons;Abroad;2010 February;0.0
1999;Total natural persons;Abroad;2010 March;0.0
2000;Total natural persons;Abroad;2010 1st quarter;0.0
2001;Total natural persons;Abroad;2010 April;0.0
2002;Total natural persons;Abroad;2010 May;0.0
2003;Total natural persons;Abroad;2010 June;0.0
2004;Total natural persons;Abroad;2010 2nd quarter;0.0
2005;Total natural persons;Abroad;2010 July;0.0
2006;Total natural persons;Abroad;2010 August;0.0
2007;Total natural persons;Abroad;2010 September;0.0
2008;Total natural persons;Abroad;2010 3rd quarter;0.0
2009;Total natural persons;Abroad;2010 October;0.0
2010;Total natural persons;Abroad;2010 November;0.0
2011;Total natural persons;Abroad;2010 December;0.0
2012;Total natural persons;Abroad;2010 4th quarter;0.0
2013;Total natural persons;Abroad;2010;0.0
2014;Total natural persons;Abroad;2011 January;0.0
2015;Total natural persons;Abroad;2011 February;0.0
2016;Total natural persons;Abroad;2011 March;0.0
2017;Total natural persons;Abroad;2011 1st quarter;0.0
2018;Total natural persons;Abroad;2011 April;0.0
2019;Total natural persons;Abroad;2011 May;0.0
2020;Total natural persons;Abroad;2011 June;0.0
2021;Total natural persons;Abroad;2011 2nd quarter;0.0
2022;Total natural persons;Abroad;2011 July;0.0
2023;Total natural persons;Abroad;2011 August;0.0
2024;Total natural persons;Abroad;2011 September;0.0
2025;Total natural persons;Abroad;2011 3rd quarter;0.0
2026;Total natural persons;Abroad;2011 October;0.0
2027;Total natural persons;Abroad;2011 November;0.0
2028;Total natural persons;Abroad;2011 December;0.0
2029;Total natural persons;Abroad;2011 4th quarter;0.0
2030;Total natural persons;Abroad;2011;0.0
2031;Total natural persons;Abroad;2012 January;0.0
2032;Total natural persons;Abroad;2012 February;0.0
2033;Total natural persons;Abroad;2012 March;0.0
2034;Total natural persons;Abroad;2012 1st quarter;0.0
2035;Total natural persons;Abroad;2012 April;0.0
2036;Total natural persons;Abroad;2012 May;0.0
2037;Total natural persons;Abroad;2012 June;0.0
2038;Total natural persons;Abroad;2012 2nd quarter;0.0
2039;Total natural persons;Abroad;2012 July;0.0
2040;Total natural persons;Abroad;2012 August;0.0
2041;Total natural persons;Abroad;2012 September;0.0
2042;Total natural persons;Abroad;2012 3rd quarter;0.0
2043;Total natural persons;Abroad;2012 October;0.0
2044;Total natural persons;Abroad;2012 November;0.0
2045;Total natural persons;Abroad;2012 December;0.0
2046;Total natural persons;Abroad;2012 4th quarter;0.0
2047;Total natural persons;Abroad;2012;0.0
2048;Total natural persons;Abroad;2013 January;0.0
2049;Total natural persons;Abroad;2013 February;0.0
2050;Total natural persons;Abroad;2013 March;0.0
2051;Total natural persons;Abroad;2013 1st quarter;0.0
2052;Total natural persons;Abroad;2013 April;0.0
2053;Total natural persons;Abroad;2013 May;0.0
2054;Total natural persons;Abroad;2013 June;0.0
2055;Total natural persons;Abroad;2013 2nd quarter;0.0
2056;Total natural persons;Abroad;2013 July;0.0
2057;Total natural persons;Abroad;2013 August;0.0
2058;Total natural persons;Abroad;2013 September;0.0
2059;Total natural persons;Abroad;2013 3rd quarter;0.0
2060;Total natural persons;Abroad;2013 October;0.0
2061;Total natural persons;Abroad;2013 November;0.0
2062;Total natural persons;Abroad;2013 December;0.0
2063;Total natural persons;Abroad;2013 4th quarter;0.0
2064;Total natural persons;Abroad;2013;0.0
2065;Total natural persons;Abroad;2014 January;0.0
2066;Total natural persons;Abroad;2014 February;0.0
2067;Total natural persons;Abroad;2014 March;0.0
2068;Total natural persons;Abroad;2014 1st quarter;0.0
2069;Total natural persons;Abroad;2014 April;0.0
2070;Total natural persons;Abroad;2014 May;0.0
2071;Total natural persons;Abroad;2014 June;0.0
2072;Total natural persons;Abroad;2014 2nd quarter;0.0
2073;Total natural persons;Abroad;2014 July;0.0
2074;Total natural persons;Abroad;2014 August;0.0
2075;Total natural persons;Abroad;2014 September;0.0
2076;Total natural persons;Abroad;2014 3rd quarter;0.0
2077;Total natural persons;Abroad;2014 October;0.0
2078;Total natural persons;Abroad;2014 November;0.0
2079;Total natural persons;Abroad;2014 December;0.0
2080;Total natural persons;Abroad;2014 4th quarter;0.0
2081;Total natural persons;Abroad;2014;0.0
2082;Total natural persons;Abroad;2015 January;0.0
2083;Total natural persons;Abroad;2015 February;0.0
2084;Total natural persons;Abroad;2015 March;1.0
2085;Total natural persons;Abroad;2015 1st quarter;1.0
2086;Total natural persons;Abroad;2015 April;0.0
2087;Total natural persons;Abroad;2015 May;0.0
2088;Total natural persons;Abroad;2015 June;3.0
2089;Total natural persons;Abroad;2015 2nd quarter;3.0
2090;Total natural persons;Abroad;2015 July;0.0
2091;Total natural persons;Abroad;2015 August;0.0
2092;Total natural persons;Abroad;2015 September;0.0
2093;Total natural persons;Abroad;2015 3rd quarter;0.0
2094;Total natural persons;Abroad;2015 October;0.0
2095;Total natural persons;Abroad;2015 November;0.0
2096;Total natural persons;Abroad;2015 December;0.0
2097;Total natural persons;Abroad;2015 4th quarter;0.0
2098;Total natural persons;Abroad;2015;4.0
2099;Total natural persons;Abroad;2016 January;0.0
2100;Total natural persons;Abroad;2016 February;0.0
2101;Total natural persons;Abroad;2016 March;0.0
2102;Total natural persons;Abroad;2016 1st quarter;0.0
2103;Total natural persons;Abroad;2016 April;0.0
2104;Total natural persons;Abroad;2016 May;0.0
2105;Total natural persons;Abroad;2016 June;2.0
2106;Total natural persons;Abroad;2016 2nd quarter;2.0
2107;Total natural persons;Abroad;2016 July;0.0
2108;Total natural persons;Abroad;2016 August;3.0
2109;Total natural persons;Abroad;2016 September;1.0
2110;Total natural persons;Abroad;2016 3rd quarter;4.0
2111;Total natural persons;Abroad;2016 October;0.0
2112;Total natural persons;Abroad;2016 November;0.0
2113;Total natural persons;Abroad;2016 December;0.0
2114;Total natural persons;Abroad;2016 4th quarter;0.0
2115;Total natural persons;Abroad;2016;6.0
2116;Total natural persons;Abroad;2017 January;0.0
2117;Total natural persons;Abroad;2017 February;1.0
2118;Total natural persons;Abroad;2017 March;0.0
2119;Total natural persons;Abroad;2017 1st quarter;1.0
2120;Total natural persons;Abroad;2017 April;0.0
2121;Total natural persons;Abroad;2017 May;0.0
2122;Total natural persons;Abroad;2017 June;0.0
2123;Total natural persons;Abroad;2017 2nd quarter;0.0
2124;Total natural persons;Abroad;2017 July;0.0
2125;Total natural persons;Abroad;2017 August;0.0
2126;Total natural persons;Abroad;2017 September;0.0
2127;Total natural persons;Abroad;2017 3rd quarter;0.0
2128;Total natural persons;Abroad;2017 October;0.0
2129;Total natural persons;Abroad;2017 November;0.0
2130;Total natural persons;Abroad;2017 December;0.0
2131;Total natural persons;Abroad;2017 4th quarter;0.0
2132;Total natural persons;Abroad;2017;1.0
2133;Total natural persons;Abroad;2018 January;0.0
2134;Total natural persons;Abroad;2018 February;0.0
2135;Total natural persons;Abroad;2018 March;0.0
2136;Total natural persons;Abroad;2018 1st quarter;0.0
2137;Total natural persons;Abroad;2018 April;0.0
2138;Total natural persons;Abroad;2018 May;0.0
2139;Total natural persons;Abroad;2018 June;0.0
2140;Total natural persons;Abroad;2018 2nd quarter;0.0
2141;Total natural persons;Abroad;2018 July;0.0
2142;Total natural persons;Abroad;2018 August;0.0
2143;Total natural persons;Abroad;2018 September;0.0
2144;Total natural persons;Abroad;2018 3rd quarter;0.0
2145;Total natural persons;Abroad;2018 October;0.0
2146;Total natural persons;Abroad;2018 November;0.0
2147;Total natural persons;Abroad;2018 December;0.0
2148;Total natural persons;Abroad;2018 4th quarter;0.0
2149;Total natural persons;Abroad;2018;0.0
2150;Total natural persons;Abroad;2019 January;0.0
2151;Total natural persons;Abroad;2019 February;0.0
2152;Total natural persons;Abroad;2019 March;0.0
2153;Total natural persons;Abroad;2019 1st quarter;0.0
2154;Total natural persons;Abroad;2019 April;0.0
2155;Total natural persons;Abroad;2019 May;0.0
2156;Total natural persons;Abroad;2019 June;0.0
2157;Total natural persons;Abroad;2019 2nd quarter;0.0
2158;Total natural persons;Abroad;2019 July;0.0
2159;Total natural persons;Abroad;2019 August;1.0
2160;Total natural persons;Abroad;2019 September;0.0
2161;Total natural persons;Abroad;2019 3rd quarter;1.0
2162;Total natural persons;Abroad;2019 October;0.0
2163;Total natural persons;Abroad;2019 November;0.0
2164;Total natural persons;Abroad;2019 December;0.0
2165;Total natural persons;Abroad;2019 4th quarter;0.0
2166;Total natural persons;Abroad;2019;1.0
2167;Total natural persons;Abroad;2020 January;0.0
2168;Total natural persons;Abroad;2020 February;0.0
2169;Total natural persons;Abroad;2020 March;0.0
2170;Total natural persons;Abroad;2020 1st quarter;0.0
2171;Total natural persons;Abroad;2020 April;0.0
2172;Total natural persons;Abroad;2020 May;1.0
2173;Total natural persons;Abroad;2020 June;0.0
2174;Total natural persons;Abroad;2020 2nd quarter;1.0
2175;Total natural persons;Abroad;2020 July;1.0
2176;Total natural persons;Abroad;2020 August;0.0
2177;Total natural persons;Abroad;2020 September;0.0
2178;Total natural persons;Abroad;2020 3rd quarter;1.0
2179;Total natural persons;Abroad;2020 October;0.0
2180;Total natural persons;Abroad;2020 November;0.0
2181;Total natural persons;Abroad;2020 December;0.0
2182;Total natural persons;Abroad;2020 4th quarter;0.0
2183;Total natural persons;Abroad;2020;2.0
2184;Total natural persons;Abroad;2021 January;0.0
2185;Total natural persons;Abroad;2021 February;0.0
2186;Total natural persons;Abroad;2021 March;1.0
2187;Total natural persons;Abroad;2021 1st quarter;1.0
2188;Total natural persons;Abroad;2021 April;0.0
2189;Total natural persons;Abroad;2021 May;0.0
2190;Total natural persons;Abroad;2021 June;0.0
2191;Total natural persons;Abroad;2021 2nd quarter;0.0
2192;Total natural persons;Abroad;2021 July;0.0
2193;Total natural persons;Abroad;2021 August;0.0
2194;Total natural persons;Abroad;2021 September;0.0
2195;Total natural persons;Abroad;2021 3rd quarter;0.0
2196;Total natural persons;Abroad;2021 October;1.0
2197;Total natural persons;Abroad;2021 November;1.0
2198;Total natural persons;Abroad;2021 December;0.0
2199;Total natural persons;Abroad;2021 4th quarter;2.0
2200;Total natural persons;Abroad;2021;3.0
2201;Total natural persons;Abroad;2022 January;0.0
2202;Total natural persons;Abroad;2022 February;0.0
2203;Total natural persons;Abroad;2022 March;0.0
2204;Total natural persons;Abroad;2022 1st quarter;0.0
2205;Total natural persons;Abroad;2022 April;1.0
2206;Total natural persons;Abroad;2022 May;0.0
2207;Total natural persons;Abroad;2022 June;0.0
2208;Total natural persons;Abroad;2022 2nd quarter;1.0
2209;Total natural persons;Abroad;2022 July;0.0
2210;Total natural persons;Abroad;2022 August;0.0
2211;Total natural persons;Abroad;2022 September;0.0
2212;Total natural persons;Abroad;2022 3rd quarter;0.0
2213;Total natural persons;Abroad;2022 October;1.0
2214;Total natural persons;Abroad;2022 November;0.0
2215;Total natural persons;Abroad;2022 December;0.0
2216;Total natural persons;Abroad;2022 4th quarter;1.0
2217;Total natural persons;Abroad;2022;2.0
2218;Total natural persons;Abroad;2023 January;0.0
2219;Total natural persons;Abroad;2023 February;0.0
2220;Total natural persons;Abroad;2023 March;0.0
2221;Total natural persons;Abroad;2023 1st quarter;0.0
2222;Total natural persons;Abroad;2023 April;0.0
2223;Total natural persons;Abroad;2023 May;0.0
2224;Total natural persons;Abroad;2023 June;0.0
2225;Total natural persons;Abroad;2023 2nd quarter;0.0
2226;Total natural persons;Abroad;2023 July;0.0
2227;Total natural persons;Abroad;2023 August;0.0
2228;Total natural persons;Abroad;2023 September;0.0
2229;Total natural persons;Abroad;2023 3rd quarter;0.0
2230;Total natural persons;Abroad;2023 October;0.0
2231;Total natural persons;Abroad;2023 November;0.0
2232;Total natural persons;Abroad;2023 December;0.0
2233;Total natural persons;Abroad;2023 4th quarter;0.0
2234;Total natural persons;Abroad;2023;0.0
2235;Total natural persons;Abroad;2024 January;0.0
2236;Total natural persons;Abroad;2024 February;0.0
2237;Total natural persons;Abroad;2024 March;0.0
2238;Total natural persons;Abroad;2024 1st quarter;0.0
2239;Total natural persons;Abroad;2024 April;0.0
2240;Total natural persons;Abroad;2024 May;0.0
2241;Total natural persons;Abroad;2024 June;0.0
2242;Total natural persons;Abroad;2024 2nd quarter;0.0
2243;Total natural persons;Abroad;2024 July;0.0
2244;Total natural persons;Abroad;2024 August;0.0
2245;Total natural persons;Abroad;2024 September;0.0
2246;Total natural persons;Abroad;2024 3rd quarter;0.0
2247;Total natural persons;Abroad;2024 October;0.0
2248;Total natural persons;Abroad;2024 November;0.0
2249;Total natural persons;Abroad;2024 December;0.0
2250;Total natural persons;Abroad;2024 4th quarter;0.0
2251;Total natural persons;Abroad;2024;0.0
2252;Total natural persons;Abroad;2025 January;0.0
2253;Total natural persons;Abroad;2025 February;0.0
2254;Total natural persons;Abroad;2025 March;0.0
2255;Total natural persons;Abroad;2025 1st quarter;0.0
2256;Total natural persons;Unclassifiable;1981 January;
2257;Total natural persons;Unclassifiable;1981 February;
2258;Total natural persons;Unclassifiable;1981 March;
2259;Total natural persons;Unclassifiable;1981 1st quarter;
2260;Total natural persons;Unclassifiable;1981 April;
2261;Total natural persons;Unclassifiable;1981 May;
2262;Total natural persons;Unclassifiable;1981 June;
2263;Total natural persons;Unclassifiable;1981 2nd quarter;
2264;Total natural persons;Unclassifiable;1981 July;
2265;Total natural persons;Unclassifiable;1981 August;
2266;Total natural persons;Unclassifiable;1981 September;
2267;Total natural persons;Unclassifiable;1981 3rd quarter;
2268;Total natural persons;Unclassifiable;1981 October;
2269;Total natural persons;Unclassifiable;1981 November;
2270;Total natural persons;Unclassifiable;1981 December;
2271;Total natural persons;Unclassifiable;1981 4th quarter;
2272;Total natural persons;Unclassifiable;1981;
2273;Total natural persons;Unclassifiable;1982 January;
2274;Total natural persons;Unclassifiable;1982 February;
2275;Total natural persons;Unclassifiable;1982 March;
2276;Total natural persons;Unclassifiable;1982 1st quarter;
2277;Total natural persons;Unclassifiable;1982 April;
2278;Total natural persons;Unclassifiable;1982 May;
2279;Total natural persons;Unclassifiable;1982 June;
2280;Total natural persons;Unclassifiable;1982 2nd quarter;
2281;Total natural persons;Unclassifiable;1982 July;
2282;Total natural persons;Unclassifiable;1982 August;
2283;Total natural persons;Unclassifiable;1982 September;
2284;Total natural persons;Unclassifiable;1982 3rd quarter;
2285;Total natural persons;Unclassifiable;1982 October;
2286;Total natural persons;Unclassifiable;1982 November;
2287;Total natural persons;Unclassifiable;1982 December;
2288;Total natural persons;Unclassifiable;1982 4th quarter;
2289;Total natural persons;Unclassifiable;1982;
2290;Total natural persons;Unclassifiable;1983 January;
2291;Total natural persons;Unclassifiable;1983 February;
2292;Total natural persons;Unclassifiable;1983 March;
2293;Total natural persons;Unclassifiable;1983 1st quarter;
2294;Total natural persons;Unclassifiable;1983 April;
2295;Total natural persons;Unclassifiable;1983 May;
2296;Total natural persons;Unclassifiable;1983 June;
2297;Total natural persons;Unclassifiable;1983 2nd quarter;
2298;Total natural persons;Unclassifiable;1983 July;
2299;Total natural persons;Unclassifiable;1983 August;
2300;Total natural persons;Unclassifiable;1983 September;
2301;Total natural persons;Unclassifiable;1983 3rd quarter;
2302;Total natural persons;Unclassifiable;1983 October;
2303;Total natural persons;Unclassifiable;1983 November;
2304;Total natural persons;Unclassifiable;1983 December;
2305;Total natural persons;Unclassifiable;1983 4th quarter;
2306;Total natural persons;Unclassifiable;1983;
2307;Total natural persons;Unclassifiable;1984 January;
2308;Total natural persons;Unclassifiable;1984 February;
2309;Total natural persons;Unclassifiable;1984 March;
2310;Total natural persons;Unclassifiable;1984 1st quarter;
2311;Total natural persons;Unclassifiable;1984 April;
2312;Total natural persons;Unclassifiable;1984 May;
2313;Total natural persons;Unclassifiable;1984 June;
2314;Total natural persons;Unclassifiable;1984 2nd quarter;
2315;Total natural persons;Unclassifiable;1984 July;
2316;Total natural persons;Unclassifiable;1984 August;
2317;Total natural persons;Unclassifiable;1984 September;
2318;Total natural persons;Unclassifiable;1984 3rd quarter;
2319;Total natural persons;Unclassifiable;1984 October;
2320;Total natural persons;Unclassifiable;1984 November;
2321;Total natural persons;Unclassifiable;1984 December;
2322;Total natural persons;Unclassifiable;1984 4th quarter;
2323;Total natural persons;Unclassifiable;1984;
2324;Total natural persons;Unclassifiable;1985 January;
2325;Total natural persons;Unclassifiable;1985 February;
2326;Total natural persons;Unclassifiable;1985 March;
2327;Total natural persons;Unclassifiable;1985 1st quarter;
2328;Total natural persons;Unclassifiable;1985 April;
2329;Total natural persons;Unclassifiable;1985 May;
2330;Total natural persons;Unclassifiable;1985 June;
2331;Total natural persons;Unclassifiable;1985 2nd quarter;
2332;Total natural persons;Unclassifiable;1985 july;
2333;Total natural persons;Unclassifiable;1985 August;
2334;Total natural persons;Unclassifiable;1985 September;
2335;Total natural persons;Unclassifiable;1985 3rd quarter;
2336;Total natural persons;Unclassifiable;1985 October;
2337;Total natural persons;Unclassifiable;1985 November;
2338;Total natural persons;Unclassifiable;1985 December;
2339;Total natural persons;Unclassifiable;1985 4th quarter;
2340;Total natural persons;Unclassifiable;1985;
2341;Total natural persons;Unclassifiable;1986 January;
2342;Total natural persons;Unclassifiable;1986 February;
2343;Total natural persons;Unclassifiable;1986 March;
2344;Total natural persons;Unclassifiable;1986 1st quarter;
2345;Total natural persons;Unclassifiable;1986 April;
2346;Total natural persons;Unclassifiable;1986 May;
2347;Total natural persons;Unclassifiable;1986 June;
2348;Total natural persons;Unclassifiable;1986 2nd quarter;
2349;Total natural persons;Unclassifiable;1986 July;
2350;Total natural persons;Unclassifiable;1986 August;
2351;Total natural persons;Unclassifiable;1986 September;
2352;Total natural persons;Unclassifiable;1986 3rd quarter;
2353;Total natural persons;Unclassifiable;1986 October;
2354;Total natural persons;Unclassifiable;1986 November;
2355;Total natural persons;Unclassifiable;1986 December;
2356;Total natural persons;Unclassifiable;1986 4th quarter;
2357;Total natural persons;Unclassifiable;1986;
2358;Total natural persons;Unclassifiable;1987 January;
2359;Total natural persons;Unclassifiable;1987 February;
2360;Total natural persons;Unclassifiable;1987 March;
2361;Total natural persons;Unclassifiable;1987 1st quarter;
2362;Total natural persons;Unclassifiable;1987 April;
2363;Total natural persons;Unclassifiable;1987 May;
2364;Total natural persons;Unclassifiable;1987 June;
2365;Total natural persons;Unclassifiable;1987 2nd quarter;
2366;Total natural persons;Unclassifiable;1987 July;
2367;Total natural persons;Unclassifiable;1987 August;
2368;Total natural persons;Unclassifiable;1987 September;
2369;Total natural persons;Unclassifiable;1987 3rd quarter;
2370;Total natural persons;Unclassifiable;1987 October;
2371;Total natural persons;Unclassifiable;1987 November;
2372;Total natural persons;Unclassifiable;1987 December;
2373;Total natural persons;Unclassifiable;1987 4th quarter;
2374;Total natural persons;Unclassifiable;1987;
2375;Total natural persons;Unclassifiable;1988 January;
2376;Total natural persons;Unclassifiable;1988 February;
2377;Total natural persons;Unclassifiable;1988 March;
2378;Total natural persons;Unclassifiable;1988 1st quarter;
2379;Total natural persons;Unclassifiable;1988 April;
2380;Total natural persons;Unclassifiable;1988 May;
2381;Total natural persons;Unclassifiable;1988 June;
2382;Total natural persons;Unclassifiable;1988 2nd quarter;
2383;Total natural persons;Unclassifiable;1988 July;
2384;Total natural persons;Unclassifiable;1988 August;
2385;Total natural persons;Unclassifiable;1988 September;
2386;Total natural persons;Unclassifiable;1988 3rd quarter;
2387;Total natural persons;Unclassifiable;1988 October;
2388;Total natural persons;Unclassifiable;1988 November;
2389;Total natural persons;Unclassifiable;1988 December;
2390;Total natural persons;Unclassifiable;1988 4th quarter;
2391;Total natural persons;Unclassifiable;1988;
2392;Total natural persons;Unclassifiable;1989 January;
2393;Total natural persons;Unclassifiable;1989 February;
2394;Total natural persons;Unclassifiable;1989 March;
2395;Total natural persons;Unclassifiable;1989 1st quarter;
2396;Total natural persons;Unclassifiable;1989 April;
2397;Total natural persons;Unclassifiable;1989 May;
2398;Total natural persons;Unclassifiable;1989 June;
2399;Total natural persons;Unclassifiable;1989 2nd quarter;
2400;Total natural persons;Unclassifiable;1989 July;
2401;Total natural persons;Unclassifiable;1989 August;
2402;Total natural persons;Unclassifiable;1989 September;
2403;Total natural persons;Unclassifiable;1989 3rd quarter;
2404;Total natural persons;Unclassifiable;1989 October;
2405;Total natural persons;Unclassifiable;1989 November;
2406;Total natural persons;Unclassifiable;1989 December;
2407;Total natural persons;Unclassifiable;1989 4th quarter;
2408;Total natural persons;Unclassifiable;1989;
2409;Total natural persons;Unclassifiable;1990 January;
2410;Total natural persons;Unclassifiable;1990 February;
2411;Total natural persons;Unclassifiable;1990 March;
2412;Total natural persons;Unclassifiable;1990 1st quarter;
2413;Total natural persons;Unclassifiable;1990 April;
2414;Total natural persons;Unclassifiable;1990 May;
2415;Total natural persons;Unclassifiable;1990 June;
2416;Total natural persons;Unclassifiable;1990 2nd quarter;
2417;Total natural persons;Unclassifiable;1990 July;
2418;Total natural persons;Unclassifiable;1990 August;
