ID;WijkenEnBuurten1995;Regioaanduiding_1;Gemeentenaam_2;Gemeentecode_3;Wijkcode_4;Stedelijkheid_5;Buurtcode_6;OmgevingsadressendichtheidPerKm2_7;MeestVoorkomendeNumeriekePostcode_8;AdressenMetDezelfdePostcode_9;AantalInwoners_10;Mannen_11;Vrouwen_12;Leeftijd014Jaar_13;Leeftijd1524Jaar_14;Leeftijd2544Jaar_15;Leeftijd4564Jaar_16;Leeftijd65JaarEnOuder_17;AantalGezinnen_18;NietInGezinsverbandLevendePersonen_19;GezinnenMetKinderen_20;GemiddeldeGezinsgrootte_21;Bevolkingsdichtheid_22;Allochtonen_23;GemiddeldBesteedbaarInkomenPerInw_24;GemiddeldInkomenPerInkomensontvanger_25;InkomensontvangersMetLaagInkomen_26;InkomensontvangersMetHoogInkomen_27;NietActieveInkomensontvangers_28;TotaleOppervlakteInKm2_29;OppervlakteLandInKm2_30;Woningvoorraad_31;AantalVestigingenVanBedrijven_32;Nijverheid_33;TotaalCommercieleDienstverlening_34;Groothandel_35;Detailhandel_36;Horeca_37;OverigeDienstverlening_38;ZakelijkeDienstverlening_39;OverigeDienstverlening_40
2053;1340702;B;Westerbork                              ;134;07;5.0;02;25.0;9436.0;1.0;180;100;80;18.0;13.0;30.0;23.0;16.0;60.0;9.0;57.0;3.0;320;;5740.0;13205.0;34.0;;;0.6;0.6;70;1;;;;;;;;
2054;1340709;B;Westerbork                              ;134;07;5.0;09;11.0;9436.0;5.0;170;80;80;21.0;14.0;31.0;27.0;8.0;50.0;6.0;62.0;3.2;10;;10006.0;13999.0;40.0;;;21.8;21.7;40;1;;;;;;;;
2055;135;G;de Wijk                                 ;135;  ;5.0;  ;171.0;;;5120;2580;2550;19.0;12.0;29.0;24.0;15.0;1420.0;14.0;60.0;3.1;130;1.0;8599.0;13999.0;37.0;22.0;15.0;42.5;42.0;2020;5;18.0;62.0;10.0;15.0;6.0;20.0;9.0;22.0
2056;13500;W;de Wijk                                 ;135;00;5.0;  ;270.0;;;2920;1450;1470;18.0;12.0;28.0;26.0;17.0;820.0;16.0;57.0;3.0;180;1.0;9053.0;13818.0;39.0;21.0;15.0;16.3;15.9;1200;4;17.0;65.0;10.0;16.0;7.0;18.0;11.0;20.0
2057;1350000;B;de Wijk                                 ;135;00;5.0;00;314.0;7957.0;1.0;2400;1170;1230;17.0;11.0;28.0;25.0;19.0;680.0;17.0;55.0;3.0;1680;1.0;9121.0;13591.0;39.0;19.0;16.0;1.4;1.4;1030;4;12.0;61.0;7.0;20.0;8.0;27.0;11.0;15.0
2058;1350001;B;de Wijk                                 ;135;00;5.0;01;32.0;7957.0;1.0;120;60;60;23.0;;33.0;28.0;;30.0;11.0;;;220;;7624.0;15270.0;;;;0.6;0.6;50;3;;;;;;;;
2059;1350009;B;de Wijk                                 ;135;00;5.0;09;62.0;7957.0;1.0;410;220;190;19.0;15.0;25.0;31.0;10.0;110.0;9.0;66.0;3.2;30;;9076.0;15043.0;38.0;28.0;;14.3;14.0;130;2;;;;;;;;
2060;13501;W;de Wijk                                 ;135;01;5.0;  ;90.0;;;2200;1130;1070;22.0;12.0;30.0;23.0;13.0;610.0;12.0;64.0;3.2;90;1.0;8009.0;14249.0;35.0;23.0;15.0;26.2;26.0;820;4;20.0;57.0;8.0;13.0;4.0;24.0;6.0;25.0
2061;1350100;B;de Wijk                                 ;135;01;5.0;00;149.0;7958.0;1.0;990;510;480;22.0;12.0;30.0;21.0;16.0;280.0;11.0;63.0;3.2;1300;;7555.0;13976.0;37.0;21.0;12.0;0.8;0.8;380;2;;;;;;;;
2062;1350101;B;de Wijk                                 ;135;01;5.0;01;98.0;7958.0;1.0;260;130;130;20.0;10.0;31.0;25.0;15.0;80.0;13.0;62.0;3.1;420;;8213.0;14158.0;41.0;19.0;;0.6;0.6;130;2;;;;;;;;
2063;1350102;B;de Wijk                                 ;135;01;5.0;02;43.0;7958.0;1.0;180;90;90;24.0;10.0;28.0;27.0;10.0;50.0;9.0;66.0;3.3;240;;7964.0;14589.0;22.0;25.0;;0.8;0.8;60;1;;;;;;;;
2064;1350103;B;de Wijk                                 ;135;01;5.0;03;25.0;7958.0;1.0;140;70;70;28.0;;33.0;22.0;;40.0;11.0;;;350;;8304.0;13001.0;38.0;;;0.4;0.4;50;1;;;;;;;;
2065;1350109;B;de Wijk                                 ;135;01;5.0;09;42.0;7958.0;1.0;630;330;300;21.0;12.0;30.0;25.0;11.0;170.0;13.0;64.0;3.2;30;;8690.0;14816.0;35.0;29.0;20.0;23.6;23.5;190;2;;;;;;;;
2066;136;G;Zuidlaren                               ;136;  ;5.0;  ;373.0;;;11180;5450;5720;20.0;10.0;30.0;24.0;16.0;2940.0;20.0;59.0;3.0;330;0.0;8781.0;13818.0;40.0;21.0;20.0;35.3;33.8;4220;6;14.0;68.0;6.0;21.0;13.0;19.0;8.0;20.0
2067;13600;W;Zuidlaren                               ;136;00;5.0;  ;460.0;;;4280;2020;2260;15.0;10.0;23.0;26.0;26.0;1200.0;21.0;48.0;2.8;450;0.0;8758.0;12887.0;45.0;18.0;22.0;9.6;9.5;1870;5;14.0;69.0;3.0;26.0;14.0;18.0;7.0;19.0
2068;1360000;B;Zuidlaren                               ;136;00;5.0;00;462.0;9471.0;1.0;3930;1850;2080;14.0;10.0;22.0;27.0;28.0;1120.0;22.0;46.0;2.7;1320;;8849.0;12774.0;45.0;17.0;23.0;3.0;3.0;1730;5;13.0;69.0;3.0;27.0;14.0;18.0;6.0;19.0
2069;1360001;B;Zuidlaren                               ;136;00;5.0;01;443.0;9472.0;1.0;350;170;180;33.0;;43.0;14.0;;90.0;13.0;81.0;3.6;270;;7873.0;14634.0;32.0;27.0;21.0;1.2;1.2;140;1;;;;;;;;
2070;1360009;B;Zuidlaren                               ;136;00;5.0;09;164.0;9473.0;3.0;0;0;0;;;;;;0.0;;;;0;;;;;;;5.4;5.3;0;1;;;;;;;;
2071;13601;W;Zuidlaren                               ;136;01;5.0;  ;52.0;;;420;230;190;17.0;11.0;41.0;23.0;8.0;120.0;21.0;62.0;3.0;120;;7760.0;13023.0;39.0;14.0;15.0;4.1;3.5;140;1;;;;;;;;
2072;1360100;B;Zuidlaren                               ;136;01;5.0;00;54.0;9473.0;1.0;370;210;170;17.0;11.0;41.0;23.0;8.0;100.0;22.0;61.0;2.9;670;;7873.0;12978.0;40.0;;14.0;0.6;0.6;130;1;;;;;;;;
2073;1360109;B;Zuidlaren                               ;136;01;5.0;09;41.0;9473.0;1.0;50;20;20;;;;;;10.0;;;;10;;;;;;;3.5;3.0;10;1;;;;;;;;
2074;13602;W;Zuidlaren                               ;136;02;5.0;  ;24.0;;;310;160;150;18.0;13.0;39.0;23.0;7.0;90.0;16.0;57.0;3.1;50;;8758.0;15678.0;20.0;24.0;;6.1;6.0;110;1;;;;;;;;
2075;1360200;B;Zuidlaren                               ;136;02;5.0;00;25.0;9474.0;1.0;270;140;130;18.0;12.0;39.0;23.0;8.0;70.0;17.0;57.0;3.1;380;;8645.0;15792.0;18.0;25.0;;0.7;0.7;100;1;;;;;;;;
2076;1360209;B;Zuidlaren                               ;136;02;5.0;09;15.0;9474.0;1.0;40;10;20;;;;;;10.0;;;;0;;;;;;;5.4;5.3;20;1;;;;;;;;
2077;13603;W;Zuidlaren                               ;136;03;5.0;  ;65.0;;;390;190;200;20.0;10.0;32.0;28.0;10.0;110.0;19.0;62.0;3.0;70;;8758.0;14861.0;38.0;29.0;20.0;7.0;6.2;130;2;;;;;;;;
2078;1360300;B;Zuidlaren                               ;136;03;5.0;00;67.0;9475.0;1.0;200;100;90;19.0;11.0;28.0;31.0;13.0;60.0;15.0;58.0;3.0;340;;9597.0;14589.0;43.0;27.0;;0.6;0.6;80;1;;;;;;;;
2079;1360309;B;Zuidlaren                               ;136;03;5.0;09;64.0;9475.0;1.0;190;90;90;21.0;10.0;38.0;24.0;8.0;50.0;23.0;;;40;;7873.0;15247.0;30.0;;;6.4;5.6;50;1;;;;;;;;
2080;13604;W;Zuidlaren                               ;136;04;5.0;  ;308.0;;;2150;1000;1140;16.0;9.0;24.0;31.0;20.0;510.0;28.0;57.0;3.0;680;1.0;9484.0;13818.0;46.0;21.0;35.0;3.3;3.1;680;3;;;;;;;;
2081;1360400;B;Zuidlaren                               ;136;04;5.0;00;305.0;9471.0;1.0;1460;670;770;20.0;11.0;25.0;31.0;14.0;420.0;13.0;57.0;3.0;3560;;9960.0;15224.0;34.0;27.0;20.0;0.4;0.4;570;3;;;;;;;;
2082;1360401;B;Zuidlaren                               ;136;04;5.0;01;299.0;9471.0;1.0;290;140;150;19.0;11.0;25.0;30.0;15.0;90.0;11.0;59.0;3.0;180;3.0;8599.0;16041.0;38.0;31.0;27.0;1.7;1.6;110;2;;;;;;;;
2083;1360402;B;Zuidlaren                               ;136;04;5.0;02;357.0;9471.0;1.0;400;180;210;;3.0;18.0;32.0;;10.0;94.0;;;350;;8463.0;9257.0;81.0;;94.0;1.1;1.1;0;1;;;;;;;;
2084;13605;W;Zuidlaren                               ;136;05;5.0;  ;413.0;;;3640;1850;1800;28.0;9.0;41.0;17.0;5.0;930.0;15.0;72.0;3.3;680;0.0;8508.0;15020.0;31.0;27.0;11.0;5.4;5.4;1290;3;;;;;;;;
2085;1360500;B;Zuidlaren                               ;136;05;5.0;00;419.0;9472.0;1.0;3280;1670;1620;27.0;9.0;42.0;17.0;5.0;830.0;16.0;72.0;3.3;23000;1.0;8463.0;14793.0;31.0;26.0;11.0;0.1;0.1;1200;3;;;;;;;;
2086;1360509;B;Zuidlaren                               ;136;05;5.0;09;346.0;9472.0;1.0;370;180;180;31.0;10.0;34.0;20.0;5.0;100.0;6.0;77.0;3.5;70;;8871.0;17289.0;27.0;35.0;;5.3;5.2;90;1;;;;;;;;
2087;137;G;Zuidwolde                               ;137;  ;5.0;  ;286.0;;;10020;5080;4940;20.0;13.0;30.0;24.0;13.0;2760.0;13.0;62.0;3.2;110;0.0;8259.0;13477.0;39.0;20.0;16.0;97.2;96.6;3580;6;22.0;58.0;10.0;21.0;5.0;19.0;7.0;15.0
2088;13700;W;Zuidwolde                               ;137;00;5.0;  ;454.0;;;6020;3000;3030;20.0;12.0;29.0;24.0;15.0;1640.0;15.0;59.0;3.1;230;;8554.0;13455.0;41.0;20.0;16.0;26.4;26.1;2190;6;21.0;59.0;6.0;23.0;5.0;20.0;8.0;16.0
2089;1370000;B;Zuidwolde                               ;137;00;4.0;00;500.0;7921.0;1.0;5150;2550;2600;19.0;12.0;30.0;23.0;16.0;1410.0;16.0;58.0;3.1;2120;;8508.0;13318.0;42.0;20.0;16.0;2.4;2.4;1960;5;22.0;58.0;7.0;26.0;5.0;20.0;5.0;15.0
2090;1370009;B;Zuidwolde                               ;137;00;5.0;09;134.0;7921.0;1.0;870;460;420;22.0;13.0;26.0;29.0;10.0;240.0;9.0;66.0;3.4;40;;8667.0;14044.0;34.0;22.0;15.0;24.0;23.7;240;3;;;;;;;;
2091;13701;W;Zuidwolde                               ;137;01;5.0;  ;66.0;;;930;460;460;22.0;15.0;30.0;23.0;10.0;250.0;8.0;68.0;3.4;90;;7079.0;13023.0;42.0;16.0;18.0;9.6;9.6;280;3;;;;;;;;
2092;1370100;B;Zuidwolde                               ;137;01;5.0;00;78.0;7927.0;3.0;550;260;290;24.0;14.0;35.0;19.0;9.0;150.0;7.0;71.0;3.4;1500;;6671.0;12434.0;40.0;14.0;18.0;0.4;0.4;180;2;;;;;;;;
2093;1370109;B;Zuidwolde                               ;137;01;5.0;09;49.0;7927.0;5.0;370;200;180;19.0;17.0;24.0;29.0;12.0;100.0;8.0;64.0;3.4;40;;7737.0;13954.0;44.0;20.0;17.0;9.3;9.2;110;2;;;;;;;;
2094;13702;W;Zuidwolde                               ;137;02;5.0;  ;55.0;;;790;410;380;22.0;14.0;32.0;23.0;9.0;220.0;8.0;71.0;3.3;80;;7760.0;13387.0;36.0;23.0;14.0;10.3;10.3;280;2;;;;;;;;
2095;1370200;B;Zuidwolde                               ;137;02;5.0;00;67.0;7926.0;1.0;470;240;230;24.0;13.0;34.0;20.0;9.0;130.0;9.0;72.0;3.3;880;;7170.0;13273.0;35.0;23.0;;0.5;0.5;180;2;;;;;;;;
2096;1370209;B;Zuidwolde                               ;137;02;5.0;09;35.0;7926.0;1.0;320;170;160;19.0;15.0;29.0;28.0;9.0;90.0;7.0;69.0;3.2;30;;8826.0;13568.0;37.0;22.0;21.0;9.8;9.8;100;1;;;;;;;;
2097;13703;W;Zuidwolde                               ;137;03;5.0;  ;28.0;;;510;260;260;22.0;12.0;34.0;23.0;8.0;140.0;10.0;65.0;3.2;50;;6603.0;13795.0;30.0;19.0;14.0;9.5;9.4;180;2;;;;;;;;
2098;1370300;B;Zuidwolde                               ;137;03;5.0;00;35.0;7705.0;1.0;280;140;130;21.0;13.0;36.0;23.0;8.0;80.0;12.0;70.0;3.2;400;;7510.0;13772.0;31.0;;19.0;0.7;0.7;100;1;;;;;;;;
2099;1370309;B;Zuidwolde                               ;137;03;5.0;09;20.0;7925.0;3.0;230;110;120;24.0;11.0;33.0;23.0;9.0;70.0;6.0;60.0;3.2;30;;5740.0;13818.0;28.0;;;8.8;8.8;70;1;;;;;;;;
2100;13704;W;Zuidwolde                               ;137;04;5.0;  ;17.0;;;590;320;270;24.0;13.0;27.0;27.0;9.0;170.0;7.0;67.0;3.3;40;;8191.0;14521.0;34.0;22.0;11.0;15.8;15.7;200;2;;;;;;;;
2101;1370400;B;Zuidwolde                               ;137;04;5.0;00;18.0;7925.0;1.0;100;50;50;24.0;;28.0;27.0;;30.0;;;;610;;8463.0;14521.0;;;;0.2;0.2;40;1;;;;;;;;
2102;1370409;B;Zuidwolde                               ;137;04;5.0;09;17.0;7925.0;4.0;490;270;220;24.0;12.0;27.0;27.0;10.0;130.0;7.0;66.0;3.4;30;;8145.0;14521.0;35.0;22.0;11.0;15.6;15.5;160;2;;;;;;;;
2103;13705;W;Zuidwolde                               ;137;05;5.0;  ;19.0;;;570;320;260;20.0;12.0;28.0;29.0;12.0;160.0;13.0;61.0;3.1;40;;9098.0;13432.0;38.0;20.0;14.0;17.1;16.9;220;2;;;;;;;;
2104;1370500;B;Zuidwolde                               ;137;05;5.0;00;25.0;7924.0;2.0;170;90;70;16.0;11.0;27.0;37.0;8.0;50.0;12.0;49.0;2.8;630;;10981.0;15769.0;31.0;30.0;26.0;0.3;0.3;90;1;;;;;;;;
2105;1370509;B;Zuidwolde                               ;137;05;5.0;09;16.0;7921.0;5.0;400;220;180;22.0;12.0;28.0;25.0;14.0;110.0;14.0;67.0;3.3;30;;7805.0;11889.0;43.0;;;16.8;16.7;130;2;;;;;;;;
2106;13706;W;Zuidwolde                               ;137;06;5.0;  ;40.0;;;610;310;290;15.0;16.0;30.0;26.0;12.0;170.0;12.0;64.0;3.1;70;;8735.0;13432.0;31.0;15.0;17.0;8.6;8.5;210;3;;;;;;;;
2107;1370600;B;Zuidwolde                               ;137;06;5.0;00;48.0;7924.0;1.0;300;160;140;17.0;16.0;32.0;25.0;10.0;80.0;13.0;69.0;3.1;1580;;7918.0;12774.0;29.0;;28.0;0.2;0.2;130;2;;;;;;;;
2108;1370609;B;Zuidwolde                               ;137;06;5.0;09;31.0;7924.0;1.0;310;160;150;14.0;16.0;29.0;28.0;13.0;90.0;10.0;60.0;3.0;30;;9439.0;13954.0;32.0;18.0;;8.4;8.3;80;1;;;;;;;;
2109;138;G;Zweeloo                                 ;138;  ;5.0;  ;132.0;;;2980;1500;1480;18.0;12.0;27.0;27.0;17.0;860.0;14.0;56.0;2.9;50;0.0;8486.0;13250.0;42.0;20.0;16.0;60.7;60.5;1160;5;17.0;63.0;7.0;17.0;19.0;20.0;7.0;13.0
2110;13800;W;Zweeloo                                 ;138;00;5.0;  ;187.0;;;2080;1050;1030;18.0;11.0;26.0;26.0;19.0;610.0;15.0;53.0;2.9;110;0.0;8554.0;13023.0;44.0;19.0;16.0;20.5;20.5;850;4;15.0;59.0;5.0;19.0;15.0;26.0;7.0;13.0
2111;1380000;B;Zweeloo                                 ;138;00;5.0;00;147.0;7851.0;1.0;330;170;160;18.0;11.0;26.0;29.0;16.0;100.0;13.0;58.0;3.0;560;;9257.0;13999.0;38.0;22.0;17.0;0.6;0.6;140;3;;;;;;;;
2112;1380001;B;Zweeloo                                 ;138;00;5.0;01;218.0;7854.0;1.0;1540;770;770;17.0;11.0;27.0;25.0;21.0;450.0;16.0;51.0;2.8;1690;1.0;8531.0;12842.0;46.0;19.0;17.0;0.9;0.9;640;3;;;;;;;;
2113;1380009;B;Zweeloo                                 ;138;00;5.0;09;35.0;7851.0;6.0;200;110;90;23.0;17.0;24.0;25.0;11.0;50.0;10.0;65.0;3.4;10;;7533.0;12842.0;40.0;18.0;;19.0;18.9;50;2;;;;;;;;
2114;13801;W;Zweeloo                                 ;138;01;5.0;  ;50.0;;;350;170;170;21.0;12.0;29.0;28.0;10.0;100.0;12.0;60.0;3.2;20;;8395.0;14566.0;34.0;22.0;11.0;16.7;16.7;120;2;;;;;;;;
2115;1380100;B;Zweeloo                                 ;138;01;5.0;00;49.0;7855.0;1.0;340;180;170;21.0;12.0;29.0;28.0;10.0;90.0;12.0;61.0;3.2;570;;8508.0;14589.0;33.0;21.0;;0.6;0.6;120;2;;;;;;;;
2116;1380109;B;Zweeloo                                 ;138;01;5.0;09;64.0;7855.0;1.0;10;10;10;;;;;;0.0;;;;0;;;;;;;16.1;16.1;0;1;;;;;;;;
2117;13802;W;Zweeloo                                 ;138;02;5.0;  ;23.0;;;370;190;180;18.0;13.0;29.0;29.0;10.0;110.0;15.0;62.0;3.1;20;;8055.0;12933.0;47.0;19.0;21.0;16.3;16.3;130;2;;;;;;;;
2118;1380200;B;Zweeloo                                 ;138;02;5.0;00;23.0;7852.0;2.0;240;120;120;17.0;13.0;27.0;33.0;10.0;70.0;10.0;62.0;3.0;350;;7987.0;13250.0;46.0;19.0;27.0;0.7;0.7;90;1;;;;;;;;
2119;1380201;B;Zweeloo                                 ;138;02;5.0;01;21.0;7853.0;1.0;130;60;70;19.0;14.0;32.0;24.0;11.0;30.0;25.0;;;160;;8191.0;12388.0;48.0;;;0.8;0.8;40;1;;;;;;;;
2120;1380209;B;Zweeloo                                 ;138;02;5.0;09;24.0;7852.0;1.0;10;0;0;;;;;;0.0;;;;0;;;;;;;14.8;14.8;0;1;;;;;;;;
2121;13803;W;Zweeloo                                 ;138;03;5.0;  ;19.0;;;180;80;90;16.0;13.0;26.0;31.0;13.0;50.0;9.0;62.0;2.9;20;;8735.0;14271.0;33.0;22.0;;7.1;7.1;70;1;;;;;;;;
2122;1380300;B;Zweeloo                                 ;138;03;5.0;00;19.0;7856.0;1.0;170;80;90;16.0;14.0;26.0;32.0;12.0;50.0;8.0;63.0;3.0;520;;8803.0;14362.0;36.0;24.0;;0.3;0.3;60;1;;;;;;;;
2123;1380309;B;Zweeloo                                 ;138;03;5.0;09;10.0;7856.0;1.0;10;10;0;;;;;;0.0;;;;10;;;;;;;6.8;6.8;0;1;;;;;;;;
2124;140;G;Littenseradiel                          ;140;  ;5.0;  ;93.0;;;10360;5280;5090;23.0;13.0;31.0;21.0;12.0;2630.0;15.0;68.0;3.3;70;0.0;7782.0;13613.0;39.0;20.0;16.0;132.6;130.8;3880;6;27.0;51.0;10.0;14.0;5.0;22.0;8.0;13.0
2125;14000;W;Littenseradiel                          ;140;00;5.0;  ;160.0;;;3780;1900;1880;22.0;13.0;29.0;21.0;14.0;950.0;16.0;65.0;3.3;110;;7533.0;12751.0;45.0;18.0;16.0;35.6;35.2;1400;5;23.0;51.0;9.0;17.0;5.0;27.0;5.0;15.0
2126;1400000;B;Littenseradiel                          ;140;00;5.0;00;240.0;8731.0;1.0;1850;910;950;19.0;12.0;28.0;21.0;20.0;480.0;20.0;57.0;3.1;1790;;7987.0;12071.0;52.0;15.0;17.0;1.1;1.0;720;4;21.0;48.0;4.0;23.0;3.0;31.0;4.0;13.0
2127;1400001;B;Littenseradiel                          ;140;00;5.0;01;110.0;8734.0;1.0;880;450;440;23.0;17.0;29.0;18.0;13.0;210.0;15.0;71.0;3.5;1410;;7079.0;12434.0;44.0;17.0;16.0;0.6;0.6;330;3;;;;;;;;
2128;1400002;B;Littenseradiel                          ;140;00;5.0;02;9.0;8844.0;1.0;60;30;30;26.0;;30.0;23.0;;20.0;;;;20;;;;;;;2.3;2.3;20;1;;;;;;;;
2129;1400003;B;Littenseradiel                          ;140;00;5.0;03;29.0;8735.0;1.0;230;120;110;27.0;14.0;29.0;23.0;8.0;60.0;16.0;72.0;3.5;80;;8599.0;14317.0;39.0;26.0;;2.6;2.6;80;1;;;;;;;;
2130;1400004;B;Littenseradiel                          ;140;00;5.0;04;23.0;8641.0;1.0;150;80;70;25.0;11.0;32.0;25.0;7.0;40.0;14.0;;;60;;7192.0;14748.0;;;;2.3;2.2;50;1;;;;;;;;
2131;1400005;B;Littenseradiel                          ;140;00;5.0;05;14.0;8642.0;1.0;60;40;30;22.0;;33.0;27.0;;20.0;;;;20;;;;;;;3.4;3.4;30;1;;;;;;;;
2132;1400006;B;Littenseradiel                          ;140;00;5.0;06;11.0;8737.0;1.0;100;60;50;24.0;;32.0;24.0;;30.0;12.0;;;40;;6603.0;13137.0;;;;2.4;2.4;40;1;;;;;;;;
2133;1400007;B;Littenseradiel                          ;140;00;5.0;07;17.0;8736.0;1.0;180;80;90;31.0;;28.0;22.0;;40.0;12.0;;;40;;6784.0;18129.0;;47.0;;4.4;4.4;60;1;;;;;;;;
2134;1400008;B;Littenseradiel                          ;140;00;5.0;08;130.0;8731.0;1.0;170;90;80;30.0;;32.0;22.0;;50.0;;;;20;;5786.0;12933.0;35.0;;;9.2;9.1;40;2;;;;;;;;
2135;1400009;B;Littenseradiel                          ;140;00;5.0;09;76.0;8734.0;1.0;100;50;50;35.0;;32.0;15.0;;30.0;;;;20;;7102.0;22031.0;;;;7.2;7.1;20;1;;;;;;;;
2136;14001;W;Littenseradiel                          ;140;01;5.0;  ;35.0;;;1300;670;630;22.0;15.0;32.0;24.0;8.0;330.0;12.0;70.0;3.4;50;;7465.0;13954.0;39.0;25.0;9.0;23.8;23.5;470;3;;;;;;;;
2137;1400100;B;Littenseradiel                          ;140;01;5.0;00;51.0;8842.0;1.0;380;190;180;21.0;15.0;34.0;23.0;7.0;100.0;12.0;69.0;3.3;830;;7079.0;13568.0;43.0;24.0;;0.5;0.5;150;1;;;;;;;;
2138;1400101;B;Littenseradiel                          ;140;01;5.0;01;36.0;8841.0;1.0;100;50;50;15.0;12.0;37.0;22.0;13.0;20.0;20.0;;;80;;9597.0;12683.0;38.0;;;1.5;1.5;40;1;;;;;;;;
2139;1400102;B;Littenseradiel                          ;140;01;5.0;02;35.0;8843.0;1.0;250;120;120;22.0;13.0;30.0;24.0;11.0;70.0;12.0;65.0;3.3;890;;7102.0;12774.0;46.0;20.0;;0.3;0.3;100;1;;;;;;;;
2140;1400103;B;Littenseradiel                          ;140;01;5.0;03;7.0;8733.0;1.0;50;20;30;32.0;;28.0;22.0;;10.0;;;;40;;;;;;;1.3;1.3;20;1;;;;;;;;
2141;1400104;B;Littenseradiel                          ;140;01;5.0;04;27.0;8732.0;1.0;170;90;80;25.0;9.0;35.0;24.0;7.0;50.0;15.0;;;470;;8145.0;14430.0;37.0;;;0.4;0.4;80;1;;;;;;;;
2142;1400105;B;Littenseradiel                          ;140;01;5.0;05;12.0;8845.0;1.0;80;50;30;24.0;;25.0;26.0;;20.0;;;;30;;;;;;;2.7;2.6;30;1;;;;;;;;
2143;1400107;B;Littenseradiel                          ;140;01;5.0;07;29.0;8842.0;1.0;130;70;70;29.0;;34.0;21.0;;30.0;9.0;;;20;;7555.0;15860.0;;;;5.5;5.4;30;1;;;;;;;;
2144;1400108;B;Littenseradiel                          ;140;01;5.0;08;29.0;8843.0;1.0;50;20;20;;;;;;10.0;;;;10;;;;;;;4.9;4.9;10;1;;;;;;;;
2145;1400109;B;Littenseradiel                          ;140;01;5.0;09;23.0;8732.0;1.0;90;50;40;;27.0;24.0;29.0;;30.0;;;;10;;7192.0;14339.0;;;;6.8;6.8;10;1;;;;;;;;
2146;14002;W;Littenseradiel                          ;140;02;5.0;  ;104.0;;;930;450;480;27.0;10.0;34.0;20.0;9.0;250.0;11.0;71.0;3.3;150;;8395.0;14975.0;32.0;27.0;23.0;6.2;6.1;340;3;;;;;;;;
2147;1400200;B;Littenseradiel                          ;140;02;5.0;00;105.0;9022.0;1.0;870;420;450;26.0;10.0;34.0;20.0;9.0;240.0;11.0;70.0;3.2;1160;;8531.0;15066.0;32.0;28.0;24.0;0.8;0.8;320;3;;;;;;;;
2148;1400209;B;Littenseradiel                          ;140;02;5.0;09;77.0;9022.0;1.0;70;30;30;28.0;;28.0;22.0;;20.0;;;;10;;;;;;;5.4;5.4;20;1;;;;;;;;
2149;14003;W;Littenseradiel                          ;140;03;5.0;  ;67.0;;;2700;1380;1320;24.0;12.0;33.0;21.0;10.0;690.0;15.0;69.0;3.4;70;;7624.0;14090.0;34.0;21.0;16.0;38.4;37.7;1040;4;35.0;51.0;13.0;14.0;6.0;15.0;10.0;7.0
2150;1400300;B;Littenseradiel                          ;140;03;5.0;00;24.0;8834.0;1.0;200;110;80;22.0;11.0;39.0;18.0;9.0;50.0;16.0;62.0;3.2;80;;11140.0;14748.0;;;;2.7;2.7;70;1;;;;;;;;
2151;1400301;B;Littenseradiel                          ;140;03;5.0;01;57.0;8835.0;1.0;370;200;170;19.0;11.0;34.0;23.0;13.0;100.0;18.0;66.0;3.1;650;;9280.0;15111.0;26.0;26.0;16.0;0.6;0.6;160;2;;;;;;;;
2152;1400302;B;Littenseradiel                          ;140;03;5.0;02;119.0;8831.0;1.0;950;470;470;23.0;15.0;30.0;21.0;11.0;230.0;15.0;71.0;3.4;1170;;6829.0;13205.0;37.0;16.0;12.0;0.8;0.8;350;3;;;;;;;;
2153;1400303;B;Littenseradiel                          ;140;03;5.0;03;14.0;8636.0;1.0;110;60;50;34.0;;40.0;15.0;;20.0;15.0;;;20;;8690.0;17357.0;;;;4.1;4.0;50;1;;;;;;;;
2154;1400304;B;Littenseradiel                          ;140;03;5.0;04;31.0;8637.0;1.0;230;120;120;27.0;10.0;35.0;24.0;5.0;60.0;12.0;73.0;3.3;60;;7987.0;14113.0;42.0;;;4.0;3.9;90;2;;;;;;;;
2155;1400305;B;Littenseradiel                          ;140;03;5.0;05;52.0;8635.0;1.0;300;160;140;32.0;7.0;36.0;14.0;10.0;70.0;13.0;72.0;3.6;360;;6603.0;12434.0;52.0;;;0.8;0.8;120;2;;;;;;;;
2156;1400306;B;Littenseradiel                          ;140;03;5.0;06;44.0;9021.0;1.0;330;160;160;20.0;14.0;33.0;20.0;13.0;80.0;14.0;65.0;3.3;80;;7465.0;14226.0;33.0;24.0;;4.1;4.1;130;1;;;;;;;;
2157;1400307;B;Littenseradiel                          ;140;03;5.0;07;17.0;8835.0;1.0;40;20;20;;;;;;10.0;;;;0;;;;;;;6.4;6.3;10;1;;;;;;;;
2158;1400308;B;Littenseradiel                          ;140;03;5.0;08;56.0;8831.0;1.0;60;20;30;19.0;;32.0;29.0;;10.0;;;;10;;;;;;;7.9;7.8;20;1;;;;;;;;
2159;1400309;B;Littenseradiel                          ;140;03;5.0;09;28.0;8635.0;2.0;130;60;70;30.0;;27.0;27.0;;30.0;;;;10;;5400.0;13568.0;;;;7.0;6.9;30;1;;;;;;;;
2160;14004;W;Littenseradiel                          ;140;04;5.0;  ;48.0;;;1640;850;790;20.0;12.0;32.0;22.0;14.0;410.0;21.0;67.0;3.2;50;;8486.0;13840.0;37.0;19.0;18.0;35.4;35.0;640;3;;;;;;;;
