ID;Perioden;Prijsindex_1;MutatiesTovDezelfdePeriodeVorigJaar_2;Prijsindex_3;MutatiesTovDezelfdePeriodeVorigJaar_4;Prijsindex_5;MutatiesTovDezelfdePeriodeVorigJaar_6
357;2017 juli;145.6;1.9;151.2;1.3;142.7;3.0
358;2017 augustus;146.7;2.5;152.4;2.1;143.7;3.6
359;2017 september;146.7;2.7;152.4;2.0;143.8;3.9
360;2017 oktober;147.1;2.6;152.4;2.0;144.6;4.0
361;2017 november;147.6;2.7;152.4;2.0;145.6;4.3
362;2017 december;147.0;2.2;152.4;2.0;144.4;3.3
363;2017;146.0;2.3;151.4;2.0;142.8;3.0
364;2018 januari;148.2;2.5;153.6;2.0;145.7;3.8
365;2018 februari;148.4;2.5;153.6;2.0;146.0;3.8
366;2018 maart;148.0;2.1;153.6;2.0;145.3;3.1
367;2018 april;148.4;2.0;153.6;2.0;146.1;2.9
368;2018 mei;148.6;2.3;153.6;2.1;146.5;3.2
369;2018 juni;149.0;2.4;153.6;2.1;147.2;3.3
370;2018 juli;149.8;2.9;155.1;2.6;147.4;3.3
371;2018 augustus;150.8;2.8;156.9;2.9;147.7;2.8
372;2018 september;151.4;3.2;156.9;2.9;148.9;3.5
373;2018 oktober;151.0;2.7;157.0;3.0;148.0;2.4
374;2018 november;150.8;2.2;157.0;3.0;147.7;1.4
375;2018 december;151.2;2.9;157.0;3.0;148.5;2.9
376;2018;149.6;2.5;155.1;2.5;147.1;3.0
377;2019 januari;152.6;3.0;157.3;2.4;150.9;3.6
378;2019 februari;152.6;2.8;157.3;2.4;150.9;3.3
379;2019 maart;152.8;3.2;157.3;2.4;151.3;4.1
380;2019 april;152.9;3.0;157.4;2.4;151.4;3.6
381;2019 mei;153.0;3.0;157.4;2.4;151.6;3.5
382;2019 juni;153.2;2.8;157.8;2.7;151.5;2.9
383;2019 juli;154.9;3.4;160.6;3.5;152.3;3.4
384;2019 augustus;154.5;2.5;160.6;2.4;151.5;2.5
385;2019 september;154.7;2.2;160.6;2.4;151.8;2.0
386;2019 oktober;154.6;2.4;160.6;2.3;151.7;2.5
387;2019 november;154.6;2.5;160.6;2.3;151.7;2.7
388;2019 december;155.7;3.0;163.1;3.9;151.6;2.1
389;2019;153.8;2.8;159.2;2.6;151.5;3.0
390;2020 januari;156.9;2.8;164.1;4.3;153.0;1.4
391;2020 februari;156.9;2.8;164.1;4.3;153.0;1.4
392;2020 maart;156.9;2.7;164.1;4.3;152.9;1.1
393;2020 april;156.2;2.1;164.1;4.3;151.6;0.1
394;2020 mei;156.1;2.0;164.2;4.3;151.3;-0.2
395;2020 juni;156.2;2.0;164.3;4.2;151.3;-0.1
396;2020 juli;157.6;1.7;167.0;4.0;151.6;-0.5
397;2020 augustus;158.0;2.3;167.0;4.0;152.4;0.6
398;2020 september;157.7;2.0;167.0;4.0;151.9;0.1
399;2020 oktober;157.5;1.9;167.0;4.0;151.5;-0.2
400;2020 november;157.7;2.0;167.0;4.0;151.9;0.1
401;2020 december;159.0;2.1;168.5;3.3;153.0;1.0
402;2020;157.2;2.2;165.7;4.1;152.1;0.4
403;2021 januari;160.1;2.1;167.7;2.2;155.9;1.9
404;2021 februari;160.2;2.1;167.7;2.2;156.0;2.0
405;2021 maart;160.6;2.4;168.4;2.6;156.2;2.1
406;2021 april;161.8;3.6;168.4;2.6;158.5;4.6
407;2021 mei;162.9;4.4;168.4;2.5;160.7;6.2
408;2021 juni;164.2;5.2;168.4;2.4;163.2;7.9
409;2021 juli;166.1;5.4;168.4;0.8;166.9;10.1
410;2021 augustus;165.9;5.0;166.6;-0.2;168.0;10.2
411;2021 september;166.2;5.4;166.6;-0.2;168.7;11.1
412;2021 oktober;167.4;6.3;167.2;0.1;170.5;12.5
413;2021 november;167.6;6.3;167.2;0.1;170.9;12.5
414;2021 december;168.0;5.6;167.2;-0.8;171.6;12.1
415;2021;164.3;4.5;167.7;1.2;163.9;7.8
416;2022 januari;172.1;7.5;171.2;2.1;175.8;12.8
417;2022 februari;173.0;8.0;171.2;2.1;177.5;13.8
418;2022 maart;175.9;9.6;171.3;1.7;183.1;17.3
419;2022 april;179.0;10.6;172.0;2.1;188.4;18.9
420;2022 mei;179.9;10.4;172.0;2.1;190.2;18.4
421;2022 juni;179.1;9.1;172.0;2.1;188.7;15.6
422;2022 juli;180.6;8.7;172.1;2.2;191.4;14.7
423;2022 augustus;180.8;9.0;172.1;3.3;191.8;14.2
424;2022 september;182.1;9.5;174.2;4.6;192.4;14.0
425;2022 oktober;182.7;9.1;174.2;4.2;193.5;13.5
426;2022 november;182.3;8.8;174.2;4.2;192.8;12.8
427;2022 december;182.2;8.5;174.2;4.2;192.6;12.3
428;2022;179.1;9.1;172.6;2.9;188.2;14.8
429;2023 januari;187.0;8.6;176.7;3.2;199.7;13.6
430;2023 februari;187.5;8.4;176.7;3.2;200.8;13.1
431;2023 maart;188.9;7.3;179.3;4.7;200.9;9.7
432;2023 april;189.5;5.9;179.5;4.4;202.1;7.3
433;2023 mei;189.7;5.4;179.5;4.4;202.4;6.4
434;2023 juni;189.6;5.8;179.5;4.4;202.2;7.1
435;2023 juli;190.0;5.2;181.7;5.5;200.9;4.9
436;2023 augustus;189.5;4.8;181.7;5.5;199.8;4.2
437;2023 september;189.5;4.1;181.7;4.2;199.9;3.9
438;2023 oktober;189.4;3.7;181.7;4.2;199.7;3.2
439;2023 november;189.2;3.8;181.7;4.2;199.2;3.3
440;2023 december;189.3;3.9;181.7;4.2;199.5;3.6
441;2023;189.1;5.6;180.1;4.4;200.6;6.6
442;2024 januari;192.3;2.9;186.8;5.7;200.4;0.3
443;2024 februari;192.2;2.5;186.8;5.7;200.1;-0.3
