ID;RegioS;Begindatum_1;Einddatum_2;GebiedsOfGemeentecode_3;Provincie_4;ProvincieAfkorting_5;BegindatumSorteerveld_6;EinddatumSorteerveld_7
378;Eijsden;02 jan 1839 ;01 jan 2011 ;GM0905  ;Limburg                            ;L.             ;18390102;20110101    
379;Eijsden-Margraten;01 jan 2011 ;            ;GM1903  ;Limburg                            ;L.             ;20110101;            
380;Eindhoven;01 jan 1830 ;            ;GM0772  ;Noord-Brabant                      ;NB.            ;18300101;            
381;Elburg;01 jan 1830 ;            ;GM0230  ;Gelderland                         ;Gld.           ;18300101;            
382;Elkerzee;01 jan 1830 ;01 jan 1961 ;GM1053  ;Zeeland                            ;Z.             ;18300101;19610101    
383;Ellemeet;01 jan 1830 ;01 jan 1961 ;GM1054  ;Zeeland                            ;Z.             ;18300101;19610101    
384;Ellewoutsdijk;01 jan 1830 ;01 jan 1970 ;GM0663  ;Zeeland                            ;Z.             ;18300101;19700101    
385;Elsloo;02 jan 1839 ;01 jan 1982 ;GM0903  ;Limburg                            ;L.             ;18390102;19820101    
386;Elst;01 jan 1830 ;01 jan 2001 ;GM0231  ;Gelderland                         ;Gld.           ;18300101;20010101    
387;Elten;23 apr 1949 ;01 aug 1963 ;GM1055  ;Gelderland                         ;Gld.           ;19490423;19630801    
388;Emmen;01 jan 1830 ;            ;GM0114  ;Drenthe                            ;D.             ;18300101;            
389;Emmikhoven;01 jan 1830 ;22 apr 1879 ;GM1056  ;Noord-Brabant                      ;NB.            ;18300101;18790422    
390;Empel en Meerwijk;01 jan 1830 ;01 apr 1971 ;GM0773  ;Noord-Brabant                      ;NB.            ;18300101;19710401    
391;Engelen;01 jan 1830 ;01 apr 1971 ;GM0774  ;Noord-Brabant                      ;NB.            ;18300101;19710401    
392;Enkhuizen;01 jan 1830 ;            ;GM0388  ;Noord-Holland                      ;NH.            ;18300101;            
393;Enschede;01 jan 1830 ;            ;GM0153  ;Overijssel                         ;O.             ;18300101;            
394;Epe;01 jan 1830 ;            ;GM0232  ;Gelderland                         ;Gld.           ;18300101;            
395;Ermelo;01 jan 1830 ;            ;GM0233  ;Gelderland                         ;Gld.           ;18300101;            
396;Erp;01 jan 1830 ;01 jan 1994 ;GM0775  ;Noord-Brabant                      ;NB.            ;18300101;19940101    
397;Esch;01 jan 1830 ;01 jan 1996 ;GM0776  ;Noord-Brabant                      ;NB.            ;18300101;19960101    
398;Escharen;01 jan 1830 ;01 jul 1942 ;GM1057  ;Noord-Brabant                      ;NB.            ;18300101;19420701    
399;Est en Opijnen;01 jan 1830 ;01 jan 1978 ;GM0234  ;Gelderland                         ;Gld.           ;18300101;19780101    
400;Etersheim;01 jan 1830 ;20 dec 1846 ;GM1316  ;Noord-Holland                      ;NH.            ;18300101;18461220    
401;Etten en Leur;01 jan 1830 ;01 jan 1968 ;GM1251  ;Noord-Brabant                      ;NB.            ;18300101;19680101    
402;Etten-Leur;01 jan 1968 ;            ;GM0777  ;Noord-Brabant                      ;NB.            ;19680101;            
403;Everdingen;01 jan 1830 ;01 jan 1986 ;GM0508  ;Zuid-Holland                       ;ZH.            ;18300101;19860101    
404;Ewijk;01 jan 1830 ;01 jul 1980 ;GM0235  ;Gelderland                         ;Gld.           ;18300101;19800701    
405;Ezinge;01 jan 1830 ;01 jan 1990 ;GM0012  ;Groningen                          ;Gr.            ;18300101;19900101    
406;Ferwerderadeel;01 jan 1830 ;01 jan 1999 ;GM0068  ;Friesland                          ;F.             ;18300101;19990101    
407;Ferwerderadiel;01 jan 1999 ;01 jan 2019 ;GM1722  ;Friesland                          ;F.             ;19990101;20190101    
408;Fijnaart en Heijningen;01 jan 1830 ;01 jan 1997 ;GM0778  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
409;Finsterwolde;01 jan 1830 ;01 jan 1990 ;GM0013  ;Groningen                          ;Gr.            ;18300101;19900101    
410;Franeker;01 jan 1830 ;01 jan 1984 ;GM0069  ;Friesland                          ;F.             ;18300101;19840101    
411;Franekeradeel;01 jan 1830 ;01 jan 2018 ;GM0070  ;Friesland                          ;F.             ;18300101;20180101    
412;De Friese Meren;01 jan 2014 ;01 jul 2015 ;GM1921  ;Friesland                          ;F.             ;20140101;20150701    
413;De Fryske Marren;01 jul 2015 ;            ;GM1940  ;Friesland                          ;F.             ;20150701;            
414;Gaasterland;01 jan 1830 ;05 jun 1985 ;GM0071  ;Friesland                          ;F.             ;18300101;19850605    
415;Gaasterlân-Sleat;05 jun 1985 ;01 jan 2014 ;GM0653  ;Friesland                          ;F.             ;19850605;20140101    
416;Gameren;01 jan 1830 ;01 jul 1955 ;GM1058  ;Gelderland                         ;Gld.           ;18300101;19550701    
417;Gapinge;01 jan 1830 ;13 jun 1857 ;GM1317  ;Zeeland                            ;Z.             ;18300101;18570613    
418;Gassel;01 jan 1830 ;01 aug 1942 ;GM1059  ;Noord-Brabant                      ;NB.            ;18300101;19420801    
419;Gasselte;01 jan 1830 ;01 jan 1998 ;GM0115  ;Drenthe                            ;D.             ;18300101;19980101    
420;Geertruidenberg;01 jan 1830 ;            ;GM0779  ;Noord-Brabant                      ;NB.            ;18300101;            
421;Geervliet;01 jan 1830 ;01 jan 1980 ;GM0509  ;Zuid-Holland                       ;ZH.            ;18300101;19800101    
422;Geffen;01 jan 1830 ;01 jan 1993 ;GM0780  ;Noord-Brabant                      ;NB.            ;18300101;19930101    
423;Geldermalsen;01 jan 1830 ;01 jan 2019 ;GM0236  ;Gelderland                         ;Gld.           ;18300101;20190101    
424;Geldrop;01 jan 1830 ;01 jan 2004 ;GM0781  ;Noord-Brabant                      ;NB.            ;18300101;20040101    
425;Geldrop-Mierlo;01 jan 2004 ;            ;GM1771  ;Noord-Brabant                      ;NB.            ;20040101;            
426;Geleen;02 jan 1839 ;01 jan 2001 ;GM0906  ;Limburg                            ;L.             ;18390102;20010101    
427;Gemert;01 jan 1830 ;01 jan 1997 ;GM0782  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
428;Gemert-Bakel;01 jan 1997 ;            ;GM1652  ;Noord-Brabant                      ;NB.            ;19970101;            
429;Genderen;01 aug 1908 ;01 mei 1923 ;GM1060  ;Noord-Brabant                      ;NB.            ;19080801;19230501    
430;Gendringen;01 jan 1830 ;01 jan 2005 ;GM0237  ;Gelderland                         ;Gld.           ;18300101;20050101    
431;Gendt;01 jan 1830 ;01 jan 2001 ;GM0238  ;Gelderland                         ;Gld.           ;18300101;20010101    
432;Genemuiden;01 jan 1830 ;01 jan 2001 ;GM0154  ;Overijssel                         ;O.             ;18300101;20010101    
433;Gennep;02 jan 1839 ;            ;GM0907  ;Limburg                            ;L.             ;18390102;            
434;Gerverscop;01 jan 1830 ;13 jun 1857 ;GM1318  ;Utrecht                            ;U.             ;18300101;18570613    
435;Gestel en Blaarthem;01 jan 1830 ;01 jan 1920 ;GM1061  ;Noord-Brabant                      ;NB.            ;18300101;19200101    
436;Geulle;02 jan 1839 ;01 jan 1982 ;GM0908  ;Limburg                            ;L.             ;18390102;19820101    
437;Giessen;01 jan 1830 ;01 jan 1973 ;GM0783  ;Noord-Brabant                      ;NB.            ;18300101;19730101    
438;Giessenburg;01 jan 1957 ;01 jan 1986 ;GM0510  ;Zuid-Holland                       ;ZH.            ;19570101;19860101    
439;Giessendam;01 jan 1830 ;01 jan 1957 ;GM1063  ;Zuid-Holland                       ;ZH.            ;18300101;19570101    
440;Giessenlanden;01 jan 1986 ;01 jan 2019 ;GM0689  ;Zuid-Holland                       ;ZH.            ;19860101;20190101    
441;Giessen-Nieuwkerk;01 jan 1830 ;01 jan 1957 ;GM1062  ;Zuid-Holland                       ;ZH.            ;18300101;19570101    
442;Gieten;01 jan 1830 ;01 jan 1998 ;GM0116  ;Drenthe                            ;D.             ;18300101;19980101    
443;Giethoorn;01 jan 1830 ;01 jan 1973 ;GM0155  ;Overijssel                         ;O.             ;18300101;19730101    
444;Gilze en Rijen;01 jan 1830 ;            ;GM0784  ;Noord-Brabant                      ;NB.            ;18300101;            
445;Ginneken en Bavel;01 jan 1830 ;01 jan 1942 ;GM1064  ;Noord-Brabant                      ;NB.            ;18300101;19420101    
446;Goedereede;01 jan 1830 ;01 jan 2013 ;GM0511  ;Zuid-Holland                       ;ZH.            ;18300101;20130101    
447;Goeree-Overflakkee;01 jan 2013 ;            ;GM1924  ;Zuid-Holland                       ;ZH.            ;20130101;            
448;Goes;01 jan 1830 ;            ;GM0664  ;Zeeland                            ;Z.             ;18300101;            
449;Goidschalxoord;01 jan 1830 ;01 sep 1855 ;GM1319  ;Zuid-Holland                       ;ZH.            ;18300101;18550901    
450;Goirle;01 jan 1830 ;            ;GM0785  ;Noord-Brabant                      ;NB.            ;18300101;            
451;Gooise Meren;01 jan 2016 ;            ;GM1942  ;Noord-Holland                      ;NH.            ;20160101;            
452;Goor;01 jan 1830 ;01 jan 2001 ;GM0156  ;Overijssel                         ;O.             ;18300101;20010101    
453;Gorinchem;01 jan 1830 ;            ;GM0512  ;Zuid-Holland                       ;ZH.            ;18300101;            
454;Gorssel;01 jan 1830 ;01 jan 2005 ;GM0239  ;Gelderland                         ;Gld.           ;18300101;20050101    
455;Gouda;01 jan 1830 ;            ;GM0513  ;Zuid-Holland                       ;ZH.            ;18300101;            
456;Gouderak;01 jan 1830 ;01 jan 1985 ;GM0514  ;Zuid-Holland                       ;ZH.            ;18300101;19850101    
457;Goudriaan;01 jan 1830 ;01 jan 1986 ;GM0515  ;Zuid-Holland                       ;ZH.            ;18300101;19860101    
458;Goudswaard;01 jan 1830 ;01 jan 1984 ;GM0516  ;Zuid-Holland                       ;ZH.            ;18300101;19840101    
459;Graafstroom;01 jan 1986 ;01 jan 2013 ;GM0693  ;Zuid-Holland                       ;ZH.            ;19860101;20130101    
460;Graauw en Langendam;01 jan 1830 ;01 apr 1970 ;GM0665  ;Zeeland                            ;Z.             ;18300101;19700401    
461;Grafhorst;01 jan 1830 ;01 jan 1937 ;GM1065  ;Overijssel                         ;O.             ;18300101;19370101    
462;Graft;01 jan 1830 ;01 aug 1970 ;GM0389  ;Noord-Holland                      ;NH.            ;18300101;19700801    
463;Graft-De Rijp;01 aug 1970 ;01 jan 2015 ;GM0365  ;Noord-Holland                      ;NH.            ;19700801;20150101    
464;Gramsbergen;01 jan 1830 ;01 jan 2001 ;GM0157  ;Overijssel                         ;O.             ;18300101;20010101    
465;Grathem;02 jan 1839 ;01 jan 1991 ;GM0909  ;Limburg                            ;L.             ;18390102;19910101    
466;Grave;01 jan 1830 ;01 jan 2022 ;GM0786  ;Noord-Brabant                      ;NB.            ;18300101;20220101    
467;'s-Graveland;01 jan 1830 ;01 jan 2002 ;GM0390  ;Noord-Holland                      ;NH.            ;18300101;20020101    
468;'s-Gravenambacht;01 jan 1830 ;01 jan 1832 ;GM1320  ;Zuid-Holland                       ;ZH.            ;18300101;18320101    
469;'s-Gravendeel;01 jan 1830 ;01 jan 2007 ;GM0517  ;Zuid-Holland                       ;ZH.            ;18300101;20070101    
470;'s-Gravenhage (gemeente);01 jan 1830 ;            ;GM0518  ;Zuid-Holland                       ;ZH.            ;18300101;            
471;'s-Gravenmoer;01 jan 1830 ;01 jan 1997 ;GM0787  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
472;'s-Gravenpolder;01 jan 1830 ;01 jan 1970 ;GM0666  ;Zeeland                            ;Z.             ;18300101;19700101    
473;'s-Gravenzande;01 jan 1830 ;01 jan 2004 ;GM0519  ;Zuid-Holland                       ;ZH.            ;18300101;20040101    
474;Gravesloot;01 jan 1830 ;08 sep 1857 ;GM1321  ;Utrecht                            ;U.             ;18300101;18570908    
475;Grevenbicht;02 jan 1839 ;01 jan 1982 ;GM0910  ;Limburg                            ;L.             ;18390102;19820101    
476;Grijpskerk;01 jan 1830 ;01 jan 1990 ;GM0016  ;Groningen                          ;Gr.            ;18300101;19900101    
477;Grijpskerke;01 jan 1830 ;01 jul 1966 ;GM1067  ;Zeeland                            ;Z.             ;18300101;19660701    
478;Groede;01 jan 1830 ;01 apr 1970 ;GM0667  ;Zeeland                            ;Z.             ;18300101;19700401    
479;Groeneveld;01 jan 1830 ;01 sep 1855 ;GM1322  ;Zuid-Holland                       ;ZH.            ;18300101;18550901    
480;Groenlo;01 jan 1830 ;19 mei 2006 ;GM0240  ;Gelderland                         ;Gld.           ;18300101;20060519    
481;Groesbeek;01 jan 1830 ;01 jan 2016 ;GM0241  ;Gelderland                         ;Gld.           ;18300101;20160101    
482;Groet;01 jan 1830 ;01 jan 1834 ;GM1323  ;Noord-Holland                      ;NH.            ;18300101;18340101    
483;Groningen (gemeente);01 jan 1830 ;            ;GM0014  ;Groningen                          ;Gr.            ;18300101;            
484;Gronsveld;02 jan 1839 ;01 jan 1982 ;GM0911  ;Limburg                            ;L.             ;18390102;19820101    
485;Groot-Ammers;01 jan 1830 ;01 jan 1986 ;GM0520  ;Zuid-Holland                       ;ZH.            ;18300101;19860101    
486;Groote Lindt;01 jan 1830 ;28 jun 1881 ;GM1066  ;Zuid-Holland                       ;ZH.            ;18300101;18810628    
487;Grootebroek;01 jan 1830 ;01 jan 1979 ;GM0391  ;Noord-Holland                      ;NH.            ;18300101;19790101    
488;Grootegast;01 jan 1830 ;01 jan 2019 ;GM0015  ;Groningen                          ;Gr.            ;18300101;20190101    
489;Grosthuizen;01 jan 1830 ;13 apr 1854 ;GM1324  ;Noord-Holland                      ;NH.            ;18300101;18540413    
490;Grubbenvorst;02 jan 1839 ;01 jan 2001 ;GM0912  ;Limburg                            ;L.             ;18390102;20010101    
491;Gulpen;02 jan 1839 ;01 jan 1999 ;GM0913  ;Limburg                            ;L.             ;18390102;19990101    
492;Gulpen-Wittem;01 jan 1999 ;            ;GM1729  ;Limburg                            ;L.             ;19990101;            
493;Haaften;01 jan 1830 ;01 jan 1978 ;GM0242  ;Gelderland                         ;Gld.           ;18300101;19780101    
494;Haaksbergen;01 jan 1830 ;            ;GM0158  ;Overijssel                         ;O.             ;18300101;            
495;Haamstede;01 jan 1830 ;01 jan 1961 ;GM1068  ;Zeeland                            ;Z.             ;18300101;19610101    
496;Haaren;01 jan 1830 ;01 jan 2021 ;GM0788  ;Noord-Brabant                      ;NB.            ;18300101;20210101    
497;Haarlem;01 jan 1830 ;            ;GM0392  ;Noord-Holland                      ;NH.            ;18300101;            
498;Haarlemmerliede;01 jan 1830 ;13 jun 1857 ;GM1325  ;Noord-Holland                      ;NH.            ;18300101;18570613    
499;Haarlemmerliede en Spaarnwoude;13 jun 1857 ;01 jan 2019 ;GM0393  ;Noord-Holland                      ;NH.            ;18570613;20190101    
500;Haarlemmermeer;16 nov 1855 ;            ;GM0394  ;Noord-Holland                      ;NH.            ;18551116;            
501;Haarzuilens;01 jan 1830 ;01 jan 1954 ;GM1069  ;Utrecht                            ;U.             ;18300101;19540101    
502;Haastrecht;01 jan 1830 ;01 jan 1985 ;GM0521  ;Zuid-Holland                       ;ZH.            ;18300101;19850101    
503;Haelen;02 jan 1839 ;01 jan 2007 ;GM0914  ;Limburg                            ;L.             ;18390102;20070101    
504;Hagestein;01 jan 1830 ;01 jan 1986 ;GM0522  ;Zuid-Holland                       ;ZH.            ;18300101;19860101    
505;Halderberge;01 jan 1997 ;            ;GM1655  ;Noord-Brabant                      ;NB.            ;19970101;            
506;Halsteren;01 jan 1830 ;01 jan 1997 ;GM0789  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
507;Den Ham;01 jan 1830 ;01 jan 2001 ;GM0159  ;Overijssel                         ;O.             ;18300101;20010101    
508;Haps;01 jan 1830 ;01 jan 1994 ;GM0790  ;Noord-Brabant                      ;NB.            ;18300101;19940101    
509;Hardenberg;01 mei 1941 ;            ;GM0160  ;Overijssel                         ;O.             ;19410501;            
510;Harderwijk;01 jan 1830 ;            ;GM0243  ;Gelderland                         ;Gld.           ;18300101;            
511;Hardinxveld;01 jan 1830 ;01 jan 1957 ;GM1070  ;Zuid-Holland                       ;ZH.            ;18300101;19570101    
512;Hardinxveld-Giessendam;01 jan 1957 ;            ;GM0523  ;Zuid-Holland                       ;ZH.            ;19570101;            
513;Haren;01 jan 1830 ;01 jan 2019 ;GM0017  ;Groningen                          ;Gr.            ;18300101;20190101    
514;Harenkarspel;01 jan 1830 ;01 jan 2013 ;GM0395  ;Noord-Holland                      ;NH.            ;18300101;20130101    
515;Harlingen;01 jan 1830 ;            ;GM0072  ;Friesland                          ;F.             ;18300101;            
516;Harmelen;01 jan 1830 ;01 jan 2001 ;GM0318  ;Utrecht                            ;U.             ;18300101;20010101    
517;Haskerland;01 jan 1830 ;01 jan 1984 ;GM0073  ;Friesland                          ;F.             ;18300101;19840101    
518;Hasselt;01 jan 1830 ;01 jan 2001 ;GM0161  ;Overijssel                         ;O.             ;18300101;20010101    
519;Hattem;01 jan 1830 ;            ;GM0244  ;Gelderland                         ;Gld.           ;18300101;            
520;Havelte;01 jan 1830 ;01 jan 1998 ;GM0117  ;Drenthe                            ;D.             ;18300101;19980101    
521;Hazerswoude;01 jan 1830 ;01 jan 1991 ;GM0524  ;Zuid-Holland                       ;ZH.            ;18300101;19910101    
522;Hedel;01 jan 1830 ;01 jan 1999 ;GM0245  ;Gelderland                         ;Gld.           ;18300101;19990101    
523;Hedikhuizen;01 jan 1830 ;01 mei 1935 ;GM1071  ;Noord-Brabant                      ;NB.            ;18300101;19350501    
524;Heel;01 jan 1991 ;01 jan 2007 ;GM1937  ;Limburg                            ;L.             ;19910101;20070101    
525;Heel en Panheel;02 jan 1839 ;01 jan 1991 ;GM0915  ;Limburg                            ;L.             ;18390102;19910101    
526;Heemskerk;01 jan 1830 ;            ;GM0396  ;Noord-Holland                      ;NH.            ;18300101;            
527;Heemstede;01 jan 1830 ;            ;GM0397  ;Noord-Holland                      ;NH.            ;18300101;            
528;Heenvliet;01 jan 1830 ;01 jan 1980 ;GM0525  ;Zuid-Holland                       ;ZH.            ;18300101;19800101    
529;Heer;02 jan 1839 ;01 jul 1970 ;GM0916  ;Limburg                            ;L.             ;18390102;19700701    
530;'s-Heer Hendrikskinderen;01 jan 1830 ;13 jun 1857 ;GM1326  ;Zeeland                            ;Z.             ;18300101;18570613    
531;Heer Oudelands Ambacht;01 jan 1830 ;19 aug 1857 ;GM1327  ;Zuid-Holland                       ;ZH.            ;18300101;18570819    
532;'s-Heer-Abtskerke;01 jan 1830 ;01 jan 1970 ;GM0669  ;Zeeland                            ;Z.             ;18300101;19700101    
533;'s-Heer-Arendskerke;01 jan 1830 ;01 jan 1970 ;GM0670  ;Zeeland                            ;Z.             ;18300101;19700101    
534;Heerde;01 jan 1830 ;            ;GM0246  ;Gelderland                         ;Gld.           ;18300101;            
535;'s-Heerenhoek;01 jan 1830 ;01 jan 1970 ;GM0671  ;Zeeland                            ;Z.             ;18300101;19700101    
536;Heerenveen;01 jul 1934 ;            ;GM0074  ;Friesland                          ;F.             ;19340701;            
537;Heerewaarden;01 jan 1830 ;01 jan 1999 ;GM0247  ;Gelderland                         ;Gld.           ;18300101;19990101    
538;Heerhugowaard;01 jan 1830 ;01 jan 2022 ;GM0398  ;Noord-Holland                      ;NH.            ;18300101;20220101    
539;Heerjansdam;01 jan 1830 ;01 jan 2003 ;GM0526  ;Zuid-Holland                       ;ZH.            ;18300101;20030101    
540;Heerlen;02 jan 1839 ;            ;GM0917  ;Limburg                            ;L.             ;18390102;            
541;Heesch;01 jan 1830 ;28 jan 1995 ;GM0791  ;Noord-Brabant                      ;NB.            ;18300101;19950128    
542;Heeswijk;01 jan 1830 ;01 jan 1969 ;GM1072  ;Noord-Brabant                      ;NB.            ;18300101;19690101    
543;Heeswijk-Dinther;01 jan 1969 ;01 jan 1994 ;GM0792  ;Noord-Brabant                      ;NB.            ;19690101;19940101    
544;Heeze;01 jan 1830 ;01 jan 1997 ;GM0793  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
545;Heeze-Leende;01 jan 1997 ;            ;GM1658  ;Noord-Brabant                      ;NB.            ;19970101;            
546;Hefshuizen;01 jan 1979 ;01 jan 1992 ;GM0019  ;Groningen                          ;Gr.            ;19790101;19920101    
547;Hei- en Boeicop;01 jan 1830 ;01 jan 1986 ;GM0527  ;Zuid-Holland                       ;ZH.            ;18300101;19860101    
548;Heille;01 jan 1830 ;23 apr 1880 ;GM1073  ;Zeeland                            ;Z.             ;18300101;18800423    
549;Heiloo;01 jan 1830 ;            ;GM0399  ;Noord-Holland                      ;NH.            ;18300101;            
550;Heinenoord;01 jan 1830 ;01 jan 1984 ;GM0528  ;Zuid-Holland                       ;ZH.            ;18300101;19840101    
551;Heinkenszand;01 jan 1830 ;01 jan 1970 ;GM0672  ;Zeeland                            ;Z.             ;18300101;19700101    
552;Heino;01 jan 1830 ;01 jan 2001 ;GM0162  ;Overijssel                         ;O.             ;18300101;20010101    
553;Hekelingen;01 jan 1830 ;01 mei 1966 ;GM1074  ;Zuid-Holland                       ;ZH.            ;18300101;19660501    
554;Hekendorp;01 jan 1830 ;01 feb 1964 ;GM1075  ;Zuid-Holland                       ;ZH.            ;18300101;19640201    
555;Helden;02 jan 1839 ;01 jan 2010 ;GM0918  ;Limburg                            ;L.             ;18390102;20100101    
556;Den Helder;01 jan 1830 ;            ;GM0400  ;Noord-Holland                      ;NH.            ;18300101;            
557;Hellendoorn;01 jan 1830 ;            ;GM0163  ;Overijssel                         ;O.             ;18300101;            
558;Hellevoetsluis;01 jan 1830 ;01 jan 2023 ;GM0530  ;Zuid-Holland                       ;ZH.            ;18300101;20230101    
559;Helmond;01 jan 1830 ;            ;GM0794  ;Noord-Brabant                      ;NB.            ;18300101;            
560;Helvoirt;01 jan 1830 ;01 jan 1996 ;GM0795  ;Noord-Brabant                      ;NB.            ;18300101;19960101    
561;Hemelumer Oldeferd;01 jan 1956 ;01 jan 1984 ;GM0075  ;Friesland                          ;F.             ;19560101;19840101    
562;Hemelumer Oldephaerd en Noordwolde;01 jan 1830 ;01 jan 1956 ;GM1260  ;Friesland                          ;F.             ;18300101;19560101    
563;Hemmen;01 jan 1830 ;01 jul 1955 ;GM1076  ;Gelderland                         ;Gld.           ;18300101;19550701    
564;Hendrik-Ido-Ambacht;01 jan 1830 ;            ;GM0531  ;Zuid-Holland                       ;ZH.            ;18300101;            
565;Hengelo (Gld.);01 jan 1830 ;01 jan 2005 ;GM0248  ;Gelderland                         ;Gld.           ;18300101;20050101    
566;Hengelo (O.);01 jan 1830 ;            ;GM0164  ;Overijssel                         ;O.             ;18300101;            
567;Hengstdijk;01 jan 1830 ;01 jul 1936 ;GM1077  ;Zeeland                            ;Z.             ;18300101;19360701    
568;Hennaarderadeel;01 jan 1830 ;01 jan 1984 ;GM0076  ;Friesland                          ;F.             ;18300101;19840101    
569;Hensbroek;01 jan 1830 ;01 jan 1979 ;GM0401  ;Noord-Holland                      ;NH.            ;18300101;19790101    
570;Herkingen;01 jan 1830 ;01 jan 1966 ;GM1078  ;Zuid-Holland                       ;ZH.            ;18300101;19660101    
571;Herpen;01 jan 1830 ;01 apr 1941 ;GM1079  ;Noord-Brabant                      ;NB.            ;18300101;19410401    
572;Herpt;01 jan 1830 ;01 mei 1935 ;GM1080  ;Noord-Brabant                      ;NB.            ;18300101;19350501    
573;Herten;02 jan 1839 ;01 jan 1991 ;GM0919  ;Limburg                            ;L.             ;18390102;19910101    
574;'s-Hertogenbosch;01 jan 1830 ;            ;GM0796  ;Noord-Brabant                      ;NB.            ;18300101;            
575;Herwen en Aerdt;01 jan 1830 ;01 jan 1985 ;GM0249  ;Gelderland                         ;Gld.           ;18300101;19850101    
576;Herwijnen;01 jan 1830 ;01 jan 1986 ;GM0250  ;Gelderland                         ;Gld.           ;18300101;19860101    
577;Heteren;01 jan 1830 ;01 jan 2001 ;GM0251  ;Gelderland                         ;Gld.           ;18300101;20010101    
578;Heukelum;01 jan 1830 ;01 jan 1986 ;GM0533  ;Zuid-Holland                       ;ZH.            ;18300101;19860101    
579;Heumen;01 jan 1830 ;            ;GM0252  ;Gelderland                         ;Gld.           ;18300101;            
580;Heusden;01 jan 1830 ;            ;GM0797  ;Noord-Brabant                      ;NB.            ;18300101;            
581;Heythuysen;02 jan 1839 ;01 jan 2007 ;GM0920  ;Limburg                            ;L.             ;18390102;20070101    
582;Hillegersberg;01 jan 1830 ;01 aug 1941 ;GM1081  ;Zuid-Holland                       ;ZH.            ;18300101;19410801    
583;Hillegom;01 jan 1830 ;            ;GM0534  ;Zuid-Holland                       ;ZH.            ;18300101;            
584;Hilvarenbeek;01 jan 1830 ;            ;GM0798  ;Noord-Brabant                      ;NB.            ;18300101;            
585;Hilversum;01 jan 1830 ;            ;GM0402  ;Noord-Holland                      ;NH.            ;18300101;            
586;Hindeloopen;01 jan 1830 ;01 jan 1984 ;GM0077  ;Friesland                          ;F.             ;18300101;19840101    
587;Hodenpijl;01 jan 1830 ;01 sep 1855 ;GM1328  ;Zuid-Holland                       ;ZH.            ;18300101;18550901    
588;Hoedekenskerke;01 jan 1830 ;01 jan 1970 ;GM0673  ;Zeeland                            ;Z.             ;18300101;19700101    
589;Hoek;01 jan 1830 ;01 apr 1970 ;GM0674  ;Zeeland                            ;Z.             ;18300101;19700401    
590;Hoeksche Waard;01 jan 2019 ;            ;GM1963  ;Zuid-Holland                       ;ZH.            ;20190101;            
591;Hoenkoop;01 jan 1830 ;01 sep 1970 ;GM0319  ;Utrecht                            ;U.             ;18300101;19700901    
592;Hoensbroek;02 jan 1839 ;01 jan 1982 ;GM0921  ;Limburg                            ;L.             ;18390102;19820101    
593;Hoevelaken;01 jan 1830 ;01 jan 2000 ;GM0253  ;Gelderland                         ;Gld.           ;18300101;20000101    
594;Hoeven;01 jan 1830 ;01 jan 1997 ;GM0799  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
595;Hof van Delft;01 jan 1830 ;01 jan 1921 ;GM1082  ;Zuid-Holland                       ;ZH.            ;18300101;19210101    
596;Hof van Twente;01 jan 2001 ;            ;GM1735  ;Overijssel                         ;O.             ;20010101;            
597;Hofwegen;01 jan 1830 ;01 sep 1855 ;GM1329  ;Zuid-Holland                       ;ZH.            ;18300101;18550901    
598;Het Hogeland;01 jan 2019 ;            ;GM1966  ;Groningen                          ;Gr.            ;20190101;            
599;Hollands Kroon;01 jan 2012 ;            ;GM1911  ;Noord-Holland                      ;NH.            ;20120101;            
600;Holten;01 jan 1830 ;01 jan 2001 ;GM0165  ;Overijssel                         ;O.             ;18300101;20010101    
601;Hontenisse;01 jan 1830 ;01 jan 2003 ;GM0675  ;Zeeland                            ;Z.             ;18300101;20030101    
602;Hoofdplaat;01 jan 1830 ;01 apr 1970 ;GM0676  ;Zeeland                            ;Z.             ;18300101;19700401    
603;Hoog en Woud Harnasch;01 jan 1830 ;01 jan 1833 ;GM1330  ;Zuid-Holland                       ;ZH.            ;18300101;18330101    
604;Hoogblokland;01 jan 1830 ;01 jan 1986 ;GM0535  ;Zuid-Holland                       ;ZH.            ;18300101;19860101    
605;Hooge en Lage Mierde;01 jan 1830 ;01 jan 1997 ;GM0801  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
606;Hooge en Lage Zwaluwe;01 jan 1830 ;01 jan 1997 ;GM0802  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
607;Hoogeloon, Hapert en Casteren;01 jan 1830 ;01 jan 1997 ;GM0800  ;Noord-Brabant                      ;NB.            ;18300101;19970101    
608;Hoogeveen;01 jan 1830 ;            ;GM0118  ;Drenthe                            ;D.             ;18300101;            
609;Hoogeveen in Delfland;01 jan 1830 ;19 nov 1832 ;GM1331  ;Zuid-Holland                       ;ZH.            ;18300101;18321119    
610;Hoogeveen in Rijnland;01 jan 1830 ;11 jul 1855 ;GM1332  ;Zuid-Holland                       ;ZH.            ;18300101;18550711    
