ID;RegioS;Perioden;DigiDBezittersRelatief_1;DigiDBezittersAbsoluut_2;Bevolking_3
479;Gemert-Bakel;2009 1 januari;38.0;10829;28508
480;Gennep;2008 1 juli;43.2;7331;16965
481;Gennep;2009 1 januari;41.5;7105;17101
482;Giessenlanden;2008 1 juli;34.9;5043;14442
483;Giessenlanden;2009 1 januari;33.7;4858;14411
484;Gilze en Rijen;2008 1 juli;43.0;11112;25836
485;Gilze en Rijen;2009 1 januari;41.2;10629;25789
486;Goedereede;2008 1 juli;31.3;3623;11562
487;Goedereede;2009 1 januari;29.6;3401;11505
488;Goes;2008 1 juli;41.2;15164;36773
489;Goes;2009 1 januari;39.4;14493;36754
490;Goirle;2008 1 juli;45.1;10115;22419
491;Goirle;2009 1 januari;43.2;9705;22466
492;Gorinchem;2008 1 juli;39.4;13631;34605
493;Gorinchem;2009 1 januari;38.3;13230;34554
494;Gouda;2008 1 juli;41.3;29189;70713
495;Gouda;2009 1 januari;40.2;28478;70828
496;Graafstroom;2008 1 juli;31.3;3075;9821
497;Graafstroom;2009 1 januari;30.6;2998;9808
498;Graft-De Rijp;2008 1 juli;37.2;2430;6534
499;Graft-De Rijp;2009 1 januari;35.9;2320;6465
500;Grave;2008 1 juli;44.5;5621;12645
501;Grave;2009 1 januari;42.6;5401;12673
502;'s-Gravenhage (gemeente);2008 1 juli;38.8;185633;478948
503;'s-Gravenhage (gemeente);2009 1 januari;37.9;182503;481864
504;Groesbeek;2008 1 juli;42.2;8001;18966
505;Groesbeek;2009 1 januari;40.7;7731;18981
506;Groningen (gemeente);2008 1 juli;46.9;85275;181854
507;Groningen (gemeente);2009 1 januari;48.0;88358;184227
508;Grootegast;2008 1 juli;34.8;4248;12223
509;Grootegast;2009 1 januari;32.7;3986;12191
510;Gulpen-Wittem;2008 1 juli;40.9;6010;14677
511;Gulpen-Wittem;2009 1 januari;39.5;5765;14585
512;Haaksbergen;2008 1 juli;41.1;10035;24427
513;Haaksbergen;2009 1 januari;39.1;9569;24495
514;Haaren;2008 1 juli;39.5;5425;13742
515;Haaren;2009 1 januari;38.1;5219;13711
516;Haarlem;2008 1 juli;42.0;61992;147758
517;Haarlem;2009 1 januari;40.9;60559;148191
518;Haarlemmerliede en Spaarnwoude;2008 1 juli;40.7;2209;5427
519;Haarlemmerliede en Spaarnwoude;2009 1 januari;39.6;2151;5430
520;Haarlemmermeer;2008 1 juli;43.8;61901;141477
521;Haarlemmermeer;2009 1 januari;42.0;59616;142042
522;Halderberge;2008 1 juli;41.6;12222;29371
523;Halderberge;2009 1 januari;39.0;11420;29271
524;Hardenberg;2008 1 juli;35.7;20864;58411
525;Hardenberg;2009 1 januari;34.1;19998;58650
526;Harderwijk;2008 1 juli;44.6;19013;42583
527;Harderwijk;2009 1 januari;42.8;18433;43092
528;Hardinxveld-Giessendam;2008 1 juli;35.3;6195;17564
529;Hardinxveld-Giessendam;2009 1 januari;34.2;5999;17538
530;Haren;2008 1 juli;40.8;7627;18707
531;Haren;2009 1 januari;39.5;7360;18632
532;Harenkarspel;2008 1 juli;37.2;5932;15958
533;Harenkarspel;2009 1 januari;36.1;5766;15968
534;Harlingen;2008 1 juli;40.2;6271;15609
535;Harlingen;2009 1 januari;38.8;6091;15689
536;Hattem;2008 1 juli;39.9;4659;11672
537;Hattem;2009 1 januari;38.1;4465;11708
538;Heemskerk;2008 1 juli;44.4;17118;38527
539;Heemskerk;2009 1 januari;42.3;16296;38485
540;Heemstede;2008 1 juli;38.4;9852;25669
541;Heemstede;2009 1 januari;37.0;9511;25680
542;Heerde;2008 1 juli;42.7;7798;18259
543;Heerde;2009 1 januari;41.1;7518;18313
544;Heerenveen;2008 1 juli;41.5;17908;43178
545;Heerenveen;2009 1 januari;40.0;17353;43334
546;Heerhugowaard;2008 1 juli;45.8;23255;50737
547;Heerhugowaard;2009 1 januari;43.9;22358;50883
548;Heerlen;2008 1 juli;45.6;40790;89377
549;Heerlen;2009 1 januari;44.1;39383;89356
550;Heeze-Leende;2008 1 juli;40.7;6181;15177
551;Heeze-Leende;2009 1 januari;38.9;5905;15194
552;Heiloo;2008 1 juli;41.2;9085;22052
553;Heiloo;2009 1 januari;39.6;8796;22216
554;Helden;2008 1 juli;48.2;9428;19550
555;Helden;2009 1 januari;46.6;9111;19567
556;Den Helder;2008 1 juli;44.5;25684;57738
557;Den Helder;2009 1 januari;42.0;24171;57526
558;Hellendoorn;2008 1 juli;44.8;16109;35957
559;Hellendoorn;2009 1 januari;42.6;15258;35846
560;Hellevoetsluis;2008 1 juli;46.8;18573;39717
561;Hellevoetsluis;2009 1 januari;43.9;17391;39629
562;Helmond;2008 1 juli;43.0;37504;87239
563;Helmond;2009 1 januari;41.7;36555;87757
564;Hendrik-Ido-Ambacht;2008 1 juli;42.6;10701;25120
565;Hendrik-Ido-Ambacht;2009 1 januari;41.1;10630;25881
566;Hengelo (O.);2008 1 juli;46.7;37889;81088
567;Hengelo (O.);2009 1 januari;44.9;36347;80925
568;'s-Hertogenbosch;2008 1 juli;43.6;59765;137123
569;'s-Hertogenbosch;2009 1 januari;42.4;58416;137775
570;Heumen;2008 1 juli;43.3;7201;16647
571;Heumen;2009 1 januari;41.8;6943;16623
572;Heusden;2008 1 juli;42.7;18407;43058
573;Heusden;2009 1 januari;41.1;17719;43060
574;Hillegom;2008 1 juli;43.7;8949;20457
575;Hillegom;2009 1 januari;41.7;8535;20487
576;Hilvarenbeek;2008 1 juli;39.8;5992;15058
577;Hilvarenbeek;2009 1 januari;38.4;5782;15041
578;Hilversum;2008 1 juli;37.9;31879;84217
579;Hilversum;2009 1 januari;37.1;31283;84422
580;Hof van Twente;2008 1 juli;37.7;13230;35115
581;Hof van Twente;2009 1 januari;35.8;12601;35151
582;Hoogeveen;2008 1 juli;41.0;22328;54518
583;Hoogeveen;2009 1 januari;38.5;21050;54652
584;Hoogezand-Sappemeer;2008 1 juli;40.2;13845;34449
585;Hoogezand-Sappemeer;2009 1 januari;39.0;13484;34557
586;Hoorn;2008 1 juli;41.8;28735;68800
587;Hoorn;2009 1 januari;40.2;27854;69358
588;Horst aan de Maas;2008 1 juli;43.0;12535;29125
589;Horst aan de Maas;2009 1 januari;41.3;12109;29286
590;Houten;2008 1 juli;48.0;22465;46847
591;Houten;2009 1 januari;46.8;22131;47243
592;Huizen;2008 1 juli;40.1;16786;41906
593;Huizen;2009 1 januari;38.9;16360;42040
594;Hulst;2008 1 juli;37.1;10359;27904
595;Hulst;2009 1 januari;35.8;9994;27886
596;IJsselstein;2008 1 juli;45.4;15513;34185
597;IJsselstein;2009 1 januari;43.6;14895;34163
598;Jacobswoude;2008 1 juli;37.7;4078;10811
599;Jacobswoude;2009 1 januari;0.0;0;0
600;Kaag en Braassem;2008 1 juli;0.0;0;0
601;Kaag en Braassem;2009 1 januari;35.7;9082;25412
602;Kampen;2008 1 juli;40.5;20132;49655
603;Kampen;2009 1 januari;38.6;19223;49860
604;Kapelle;2008 1 juli;39.3;4767;12123
605;Kapelle;2009 1 januari;37.6;4616;12288
606;Katwijk;2008 1 juli;37.9;23238;61261
607;Katwijk;2009 1 januari;36.3;22286;61337
608;Kerkrade;2008 1 juli;45.3;21807;48179
609;Kerkrade;2009 1 januari;43.7;21010;48076
610;Kessel;2008 1 juli;45.9;1959;4267
611;Kessel;2009 1 januari;44.3;1882;4252
612;Koggenland;2008 1 juli;37.8;8206;21704
613;Koggenland;2009 1 januari;36.2;7895;21792
614;Kollumerland en Nieuwkruisland;2008 1 juli;36.8;4818;13094
615;Kollumerland en Nieuwkruisland;2009 1 januari;35.2;4599;13048
616;Korendijk;2008 1 juli;39.6;4330;10942
617;Korendijk;2009 1 januari;37.7;4119;10925
618;Krimpen aan den IJssel;2008 1 juli;40.7;11776;28924
619;Krimpen aan den IJssel;2009 1 januari;39.2;11340;28907
620;Laarbeek;2008 1 juli;39.7;8653;21805
621;Laarbeek;2009 1 januari;38.4;8333;21717
622;Landerd;2008 1 juli;39.3;5811;14795
623;Landerd;2009 1 januari;37.6;5562;14805
624;Landgraaf;2008 1 juli;50.2;19506;38836
625;Landgraaf;2009 1 januari;48.2;18666;38713
626;Landsmeer;2008 1 juli;38.4;3900;10146
627;Landsmeer;2009 1 januari;36.8;3735;10139
628;Langedijk;2008 1 juli;41.8;11089;26502
629;Langedijk;2009 1 januari;40.1;10784;26886
630;Lansingerland;2008 1 juli;41.8;21047;50314
631;Lansingerland;2009 1 januari;40.9;20864;51019
632;Laren (NH.);2008 1 juli;29.6;3336;11278
633;Laren (NH.);2009 1 januari;27.9;3229;11585
634;Leek;2008 1 juli;39.0;7557;19394
635;Leek;2009 1 januari;37.5;7299;19450
636;Leerdam;2008 1 juli;38.2;7895;20664
637;Leerdam;2009 1 januari;36.6;7587;20732
638;Leeuwarden;2008 1 juli;44.3;41150;92836
639;Leeuwarden;2009 1 januari;44.0;41119;93498
640;Leeuwarderadeel;2008 1 juli;44.8;4627;10334
641;Leeuwarderadeel;2009 1 januari;43.6;4519;10358
642;Leiden;2008 1 juli;43.6;50841;116571
643;Leiden;2009 1 januari;43.1;50346;116787
644;Leiderdorp;2008 1 juli;44.3;11712;26427
645;Leiderdorp;2009 1 januari;42.9;11365;26470
646;Leidschendam-Voorburg;2008 1 juli;43.7;31747;72659
647;Leidschendam-Voorburg;2009 1 januari;42.2;30657;72697
648;Lelystad;2008 1 juli;46.0;33757;73341
649;Lelystad;2009 1 januari;44.4;32790;73848
650;Lemsterland;2008 1 juli;36.1;4893;13570
651;Lemsterland;2009 1 januari;34.7;4712;13584
652;Leudal;2008 1 juli;45.1;16589;36768
653;Leudal;2009 1 januari;42.9;15756;36751
654;Leusden;2008 1 juli;44.8;12785;28512
655;Leusden;2009 1 januari;43.6;12450;28583
656;Liesveld;2008 1 juli;35.4;3447;9740
657;Liesveld;2009 1 januari;34.0;3312;9728
658;Lingewaal;2008 1 juli;38.3;4195;10941
659;Lingewaal;2009 1 januari;36.5;3987;10921
660;Lingewaard;2008 1 juli;43.4;19478;44865
661;Lingewaard;2009 1 januari;41.5;18714;45084
662;Lisse;2008 1 juli;43.0;9534;22166
663;Lisse;2009 1 januari;41.1;9174;22301
664;Lith;2008 1 juli;38.1;2554;6698
665;Lith;2009 1 januari;36.2;2415;6667
666;Littenseradiel;2008 1 juli;37.7;4140;10982
667;Littenseradiel;2009 1 januari;36.6;4001;10932
668;Lochem;2008 1 juli;38.6;12827;33219
669;Lochem;2009 1 januari;37.4;12468;33313
670;Loenen;2008 1 juli;31.8;2670;8397
671;Loenen;2009 1 januari;30.9;2611;8447
672;Loon op Zand;2008 1 juli;42.9;9803;22859
673;Loon op Zand;2009 1 januari;41.1;9415;22934
674;Lopik;2008 1 juli;37.5;5282;14104
675;Lopik;2009 1 januari;35.6;5042;14156
676;Loppersum;2008 1 juli;38.3;4089;10664
677;Loppersum;2009 1 januari;37.5;3954;10543
678;Losser;2008 1 juli;39.9;8998;22538
679;Losser;2009 1 januari;38.4;8681;22589
680;Maarssen;2008 1 juli;44.9;17729;39447
681;Maarssen;2009 1 januari;43.4;17186;39636
682;Maasbree;2008 1 juli;47.9;6207;12965
683;Maasbree;2009 1 januari;46.2;6034;13065
684;Maasdonk;2008 1 juli;39.8;4471;11240
685;Maasdonk;2009 1 januari;37.9;4262;11260
686;Maasdriel;2008 1 juli;33.5;8012;23934
687;Maasdriel;2009 1 januari;32.6;7765;23798
688;Maasgouw;2008 1 juli;43.6;10686;24495
689;Maasgouw;2009 1 januari;40.7;9952;24473
690;Maassluis;2008 1 juli;44.7;14038;31396
691;Maassluis;2009 1 januari;43.0;13489;31389
692;Maastricht;2008 1 juli;43.2;50772;117548
693;Maastricht;2009 1 januari;42.6;50393;118286
694;Margraten;2008 1 juli;42.0;5671;13514
695;Margraten;2009 1 januari;40.6;5416;13345
696;De Marne;2008 1 juli;34.7;3704;10666
697;De Marne;2009 1 januari;33.6;3561;10587
698;Marum;2008 1 juli;34.6;3553;10260
699;Marum;2009 1 januari;33.4;3452;10326
700;Medemblik;2008 1 juli;37.0;9928;26829
701;Medemblik;2009 1 januari;35.2;9501;27017
702;Meerlo-Wanssum;2008 1 juli;44.5;3434;7719
703;Meerlo-Wanssum;2009 1 januari;42.4;3290;7767
704;Meerssen;2008 1 juli;45.3;8964;19767
705;Meerssen;2009 1 januari;44.0;8672;19695
706;Meijel;2008 1 juli;42.4;2539;5992
707;Meijel;2009 1 januari;41.6;2489;5985
708;Menaldumadeel;2008 1 juli;42.0;5766;13729
709;Menaldumadeel;2009 1 januari;40.8;5587;13708
710;Menterwolde;2008 1 juli;39.0;4885;12519
711;Menterwolde;2009 1 januari;36.9;4622;12514
712;Meppel;2008 1 juli;43.8;13903;31713
713;Meppel;2009 1 januari;41.6;13316;32026
714;Middelburg (Z.);2008 1 juli;40.5;19102;47221
715;Middelburg (Z.);2009 1 januari;39.4;18742;47559
716;Middelharnis;2008 1 juli;37.9;6742;17799
717;Middelharnis;2009 1 januari;36.3;6523;17985
718;Midden-Delfland;2008 1 juli;38.7;6745;17407
719;Midden-Delfland;2009 1 januari;37.6;6623;17598
720;Midden-Drenthe;2008 1 juli;39.6;13312;33586
721;Midden-Drenthe;2009 1 januari;38.2;12814;33560
722;Mill en Sint Hubert;2008 1 juli;39.7;4386;11053
723;Mill en Sint Hubert;2009 1 januari;38.3;4225;11027
724;Millingen aan de Rijn;2008 1 juli;46.2;2711;5868
725;Millingen aan de Rijn;2009 1 januari;44.3;2595;5857
726;Moerdijk;2008 1 juli;42.3;15578;36797
727;Moerdijk;2009 1 januari;39.7;14557;36648
728;Montferland;2008 1 juli;38.8;13623;35120
729;Montferland;2009 1 januari;37.3;13099;35103
730;Montfoort;2008 1 juli;42.2;5674;13454
731;Montfoort;2009 1 januari;40.6;5469;13484
732;Mook en Middelaar;2008 1 juli;42.2;3411;8088
733;Mook en Middelaar;2009 1 januari;39.8;3201;8040
734;Moordrecht;2008 1 juli;40.7;3322;8159
735;Moordrecht;2009 1 januari;39.2;3190;8138
736;Muiden;2008 1 juli;35.6;2339;6576
737;Muiden;2009 1 januari;34.3;2248;6561
738;Naarden;2008 1 juli;36.7;6288;17147
739;Naarden;2009 1 januari;35.7;6073;16998
740;Neder-Betuwe;2008 1 juli;30.9;6963;22538
741;Neder-Betuwe;2009 1 januari;29.9;6752;22561
742;Nederlek;2008 1 juli;38.5;5465;14212
743;Nederlek;2009 1 januari;37.0;5247;14191
744;Nederweert;2008 1 juli;36.6;6118;16701
745;Nederweert;2009 1 januari;35.5;5931;16695
746;Neerijnen;2008 1 juli;29.8;3524;11823
747;Neerijnen;2009 1 januari;28.6;3382;11836
748;Niedorp;2008 1 juli;35.5;4298;12118
749;Niedorp;2009 1 januari;33.8;4103;12136
750;Nieuwegein;2008 1 juli;47.7;29082;61032
751;Nieuwegein;2009 1 januari;45.8;27947;61007
752;Nieuwerkerk aan den IJssel;2008 1 juli;42.0;9100;21674
753;Nieuwerkerk aan den IJssel;2009 1 januari;40.8;8842;21651
754;Nieuwkoop;2008 1 juli;37.4;10030;26821
755;Nieuwkoop;2009 1 januari;36.4;9731;26757
756;Nieuw-Lekkerland;2008 1 juli;36.9;3521;9533
757;Nieuw-Lekkerland;2009 1 januari;35.7;3398;9525
758;Nijefurd;2008 1 juli;32.9;3613;10994
759;Nijefurd;2009 1 januari;31.1;3411;10955
760;Nijkerk;2008 1 juli;41.0;15966;38961
761;Nijkerk;2009 1 januari;39.4;15391;39080
762;Nijmegen;2008 1 juli;42.4;68305;161177
763;Nijmegen;2009 1 januari;41.9;67750;161817
764;Noord-Beveland;2008 1 juli;37.3;2736;7331
765;Noord-Beveland;2009 1 januari;35.6;2609;7327
766;Noordenveld;2008 1 juli;40.4;12551;31088
767;Noordenveld;2009 1 januari;38.3;11902;31075
768;Noordoostpolder;2008 1 juli;38.8;17750;45788
769;Noordoostpolder;2009 1 januari;37.3;17106;45814
770;Noordwijk;2008 1 juli;38.2;9571;25070
771;Noordwijk;2009 1 januari;36.6;9268;25335
772;Noordwijkerhout;2008 1 juli;39.1;6029;15406
773;Noordwijkerhout;2009 1 januari;37.9;5815;15355
774;Nuenen, Gerwen en Nederwetten;2008 1 juli;44.5;10049;22571
775;Nuenen, Gerwen en Nederwetten;2009 1 januari;42.6;9565;22437
776;Nunspeet;2008 1 juli;36.6;9735;26623
777;Nunspeet;2009 1 januari;35.5;9480;26714
778;Nuth;2008 1 juli;45.7;7228;15821
779;Nuth;2009 1 januari;43.7;6873;15720
780;Oegstgeest;2008 1 juli;40.1;9010;22466
781;Oegstgeest;2009 1 januari;40.0;9022;22564
782;Oirschot;2008 1 juli;37.6;6697;17816
783;Oirschot;2009 1 januari;35.4;6312;17806
784;Oisterwijk;2008 1 juli;39.9;10297;25836
785;Oisterwijk;2009 1 januari;38.5;9902;25738
786;Oldebroek;2008 1 juli;37.7;8557;22723
787;Oldebroek;2009 1 januari;35.7;8085;22622
788;Oldenzaal;2008 1 juli;45.3;14361;31727
789;Oldenzaal;2009 1 januari;43.1;13696;31764
790;Olst-Wijhe;2008 1 juli;41.2;7160;17389
791;Olst-Wijhe;2009 1 januari;39.3;6869;17482
792;Ommen;2008 1 juli;36.3;6324;17444
793;Ommen;2009 1 januari;34.7;6062;17446
794;Onderbanken;2008 1 juli;49.5;4060;8205
795;Onderbanken;2009 1 januari;47.7;3884;8147
796;Oost Gelre;2008 1 juli;37.1;11123;30002
797;Oost Gelre;2009 1 januari;35.9;10765;30012
798;Oosterhout;2008 1 juli;42.7;23044;54015
799;Oosterhout;2009 1 januari;40.4;21923;54198
800;Oostflakkee;2008 1 juli;33.4;3389;10148
801;Oostflakkee;2009 1 januari;32.2;3256;10101
802;Ooststellingwerf;2008 1 juli;37.3;9787;26241
803;Ooststellingwerf;2009 1 januari;35.8;9402;26288
804;Oostzaan;2008 1 juli;41.5;3818;9203
805;Oostzaan;2009 1 januari;38.7;3564;9201
806;Opmeer;2008 1 juli;38.1;4295;11281
807;Opmeer;2009 1 januari;37.1;4190;11289
808;Opsterland;2008 1 juli;39.0;11584;29737
809;Opsterland;2009 1 januari;37.2;11088;29777
810;Oss;2008 1 juli;43.4;33390;76982
811;Oss;2009 1 januari;41.6;32090;77097
812;Oud-Beijerland;2008 1 juli;44.4;10542;23745
813;Oud-Beijerland;2009 1 januari;42.9;10171;23732
814;Oude IJsselstreek;2008 1 juli;38.9;15554;39936
815;Oude IJsselstreek;2009 1 januari;37.4;14955;40010
816;Ouder-Amstel;2008 1 juli;36.5;4783;13108
817;Ouder-Amstel;2009 1 januari;36.0;4719;13107
818;Ouderkerk;2008 1 juli;33.5;2741;8170
819;Ouderkerk;2009 1 januari;32.8;2669;8144
820;Oudewater;2008 1 juli;35.0;3463;9892
821;Oudewater;2009 1 januari;33.7;3338;9898
822;Overbetuwe;2008 1 juli;41.8;18695;44707
823;Overbetuwe;2009 1 januari;40.1;18097;45097
824;Papendrecht;2008 1 juli;45.3;14331;31621
825;Papendrecht;2009 1 januari;43.3;13732;31730
826;Pekela;2008 1 juli;36.3;4786;13189
827;Pekela;2009 1 januari;35.1;4605;13130
828;Pijnacker-Nootdorp;2008 1 juli;44.0;19622;44555
829;Pijnacker-Nootdorp;2009 1 januari;42.9;19679;45900
830;Purmerend;2008 1 juli;44.7;35182;78751
831;Purmerend;2009 1 januari;43.1;34007;78862
832;Putten;2008 1 juli;34.4;8020;23331
833;Putten;2009 1 januari;32.8;7701;23458
834;Raalte;2008 1 juli;42.9;15910;37089
835;Raalte;2009 1 januari;41.1;15152;36891
836;Reeuwijk;2008 1 juli;35.7;4615;12934
837;Reeuwijk;2009 1 januari;34.7;4491;12960
838;Reiderland;2008 1 juli;41.2;2907;7050
839;Reiderland;2009 1 januari;38.4;2686;6988
840;Reimerswaal;2008 1 juli;33.6;7160;21333
841;Reimerswaal;2009 1 januari;32.1;6856;21345
842;Renkum;2008 1 juli;40.6;12885;31749
843;Renkum;2009 1 januari;38.9;12361;31752
844;Renswoude;2008 1 juli;31.3;1398;4462
845;Renswoude;2009 1 januari;30.1;1362;4532
846;Reusel-De Mierden;2008 1 juli;39.5;4889;12371
847;Reusel-De Mierden;2009 1 januari;38.0;4729;12432
848;Rheden;2008 1 juli;41.6;18173;43720
849;Rheden;2009 1 januari;39.9;17431;43679
850;Rhenen;2008 1 juli;36.1;6765;18742
851;Rhenen;2009 1 januari;34.8;6550;18833
852;Ridderkerk;2008 1 juli;42.9;19163;44679
853;Ridderkerk;2009 1 januari;40.9;18256;44646
854;Rijnwaarden;2008 1 juli;41.9;4606;10998
855;Rijnwaarden;2009 1 januari;40.4;4441;10994
856;Rijnwoude;2008 1 juli;40.3;7532;18671
857;Rijnwoude;2009 1 januari;38.6;7213;18696
858;Rijssen-Holten;2008 1 juli;38.9;14286;36739
859;Rijssen-Holten;2009 1 januari;37.2;13697;36787
860;Rijswijk (ZH.);2008 1 juli;43.0;20095;46699
861;Rijswijk (ZH.);2009 1 januari;41.5;19414;46758
862;Roerdalen;2008 1 juli;43.3;9210;21260
863;Roerdalen;2009 1 januari;41.7;8906;21333
864;Roermond;2008 1 juli;43.0;23420;54488
865;Roermond;2009 1 januari;41.3;22577;54731
866;De Ronde Venen;2008 1 juli;40.3;13929;34597
867;De Ronde Venen;2009 1 januari;39.1;13490;34528
868;Roosendaal;2008 1 juli;44.5;34382;77236
869;Roosendaal;2009 1 januari;42.5;32900;77482
870;Rotterdam;2008 1 juli;37.6;218994;582736
871;Rotterdam;2009 1 januari;36.3;212858;587134
872;Rozenburg;2008 1 juli;46.5;5799;12478
873;Rozenburg;2009 1 januari;43.8;5460;12475
874;Rozendaal;2008 1 juli;37.5;567;1510
875;Rozendaal;2009 1 januari;37.6;570;1515
876;Rucphen;2008 1 juli;35.6;8028;22548
877;Rucphen;2009 1 januari;33.8;7615;22549
878;Schagen;2008 1 juli;41.6;7891;18980
879;Schagen;2009 1 januari;40.5;7589;18759
880;Scheemda;2008 1 juli;41.6;5911;14196
881;Scheemda;2009 1 januari;40.4;5759;14255
882;Schermer;2008 1 juli;33.2;1768;5325
883;Schermer;2009 1 januari;31.4;1673;5324
884;Scherpenzeel;2008 1 juli;36.3;3293;9080
885;Scherpenzeel;2009 1 januari;34.4;3149;9141
886;Schiedam;2008 1 juli;41.1;30894;75227
887;Schiedam;2009 1 januari;39.2;29531;75326
888;Schiermonnikoog;2008 1 juli;23.1;223;965
889;Schiermonnikoog;2009 1 januari;21.6;204;946
890;Schijndel;2008 1 juli;44.8;10256;22870
891;Schijndel;2009 1 januari;43.2;9898;22889
892;Schinnen;2008 1 juli;46.4;6220;13408
893;Schinnen;2009 1 januari;44.4;5980;13478
894;Schoonhoven;2008 1 juli;40.3;4867;12064
895;Schoonhoven;2009 1 januari;39.1;4696;12001
896;Schouwen-Duiveland;2008 1 juli;33.5;11402;33996
897;Schouwen-Duiveland;2009 1 januari;32.4;11008;33929
898;Sevenum;2008 1 juli;41.0;3156;7693
899;Sevenum;2009 1 januari;39.3;3026;7693
900;Simpelveld;2008 1 juli;44.4;4945;11141
901;Simpelveld;2009 1 januari;42.7;4736;11090
902;Sint Anthonis;2008 1 juli;37.1;4361;11756
903;Sint Anthonis;2009 1 januari;35.9;4229;11786
904;Sint-Michielsgestel;2008 1 juli;42.9;12086;28201
905;Sint-Michielsgestel;2009 1 januari;40.8;11540;28267
906;Sint-Oedenrode;2008 1 juli;40.4;7012;17362
907;Sint-Oedenrode;2009 1 januari;38.4;6696;17427
908;Sittard-Geleen;2008 1 juli;45.4;43437;95687
909;Sittard-Geleen;2009 1 januari;43.8;41778;95327
910;Skarsterlân;2008 1 juli;37.3;10139;27187
911;Skarsterlân;2009 1 januari;36.2;9827;27152
912;Sliedrecht;2008 1 juli;39.8;9519;23899
913;Sliedrecht;2009 1 januari;38.2;9135;23895
914;Slochteren;2008 1 juli;38.6;5997;15519
915;Slochteren;2009 1 januari;37.6;5859;15591
916;Sluis;2008 1 juli;34.5;8360;24204
917;Sluis;2009 1 januari;33.2;8021;24156
918;Smallingerland;2008 1 juli;42.5;23418;55058
919;Smallingerland;2009 1 januari;40.8;22549;55201
920;Sneek;2008 1 juli;42.0;13952;33191
921;Sneek;2009 1 januari;40.5;13463;33260
922;Soest;2008 1 juli;42.4;19375;45723
923;Soest;2009 1 januari;41.0;18762;45711
924;Someren;2008 1 juli;36.1;6587;18250
925;Someren;2009 1 januari;35.3;6443;18229
926;Son en Breugel;2008 1 juli;43.7;6767;15479
927;Son en Breugel;2009 1 januari;42.2;6555;15527
928;Spijkenisse;2008 1 juli;48.6;35439;72865
929;Spijkenisse;2009 1 januari;46.0;33348;72521
930;Stadskanaal;2008 1 juli;40.5;13540;33454
931;Stadskanaal;2009 1 januari;38.7;12933;33430
932;Staphorst;2008 1 juli;28.6;4578;16035
933;Staphorst;2009 1 januari;26.9;4315;16016
934;Stede Broec;2008 1 juli;43.3;9255;21374
935;Stede Broec;2009 1 januari;41.0;8731;21289
936;Steenbergen;2008 1 juli;40.6;9416;23192
937;Steenbergen;2009 1 januari;38.0;8824;23229
938;Steenwijkerland;2008 1 juli;37.3;16105;43216
939;Steenwijkerland;2009 1 januari;35.8;15491;43215
940;Stein (L.);2008 1 juli;47.6;12367;26000
941;Stein (L.);2009 1 januari;45.5;11763;25865
942;Strijen;2008 1 juli;41.2;3720;9031
943;Strijen;2009 1 januari;40.1;3601;8972
944;Terneuzen;2008 1 juli;39.1;21572;55238
945;Terneuzen;2009 1 januari;37.4;20632;55149
946;Terschelling;2008 1 juli;30.3;1424;4698
947;Terschelling;2009 1 januari;28.7;1359;4740
948;Texel;2008 1 juli;32.1;4406;13711
949;Texel;2009 1 januari;29.9;4092;13691
950;Teylingen;2008 1 juli;42.1;14877;35364
951;Teylingen;2009 1 januari;40.5;14387;35533
952;Tholen;2008 1 juli;37.2;9406;25315
953;Tholen;2009 1 januari;35.7;9061;25368
954;Tiel;2008 1 juli;40.5;16657;41111
955;Tiel;2009 1 januari;38.2;15690;41070
956;Tilburg;2008 1 juli;43.4;87635;201936
957;Tilburg;2009 1 januari;42.3;86107;203464
958;Tubbergen;2008 1 juli;38.0;7932;20892
959;Tubbergen;2009 1 januari;37.3;7831;20992
960;Twenterand;2008 1 juli;37.2;12485;33519
961;Twenterand;2009 1 januari;35.0;11747;33605
962;Tynaarlo;2008 1 juli;42.0;13500;32167
963;Tynaarlo;2009 1 januari;40.4;13037;32236
964;Tytsjerksteradiel;2008 1 juli;40.7;13112;32190
965;Tytsjerksteradiel;2009 1 januari;39.2;12626;32211
966;Ubbergen;2008 1 juli;41.3;3834;9288
967;Ubbergen;2009 1 januari;40.0;3744;9366
968;Uden;2008 1 juli;43.4;17454;40192
969;Uden;2009 1 januari;41.8;16889;40360
970;Uitgeest;2008 1 juli;45.0;5558;12354
971;Uitgeest;2009 1 januari;42.3;5257;12434
972;Uithoorn;2008 1 juli;41.9;11545;27561
973;Uithoorn;2009 1 januari;40.7;11256;27660
974;Urk;2008 1 juli;28.5;5117;17946
975;Urk;2009 1 januari;28.7;5187;18062
976;Utrecht (gemeente);2008 1 juli;45.3;134082;296305
977;Utrecht (gemeente);2009 1 januari;44.9;134615;299891
978;Utrechtse Heuvelrug;2008 1 juli;37.7;18411;48808
979;Utrechtse Heuvelrug;2009 1 januari;36.7;17940;48893
980;Vaals;2008 1 juli;35.4;3462;9777
981;Vaals;2009 1 januari;33.9;3327;9825
982;Valkenburg aan de Geul;2008 1 juli;41.7;7148;17155
983;Valkenburg aan de Geul;2009 1 januari;40.1;6851;17071
984;Valkenswaard;2008 1 juli;42.7;13193;30895
985;Valkenswaard;2009 1 januari;40.9;12628;30871
986;Veendam;2008 1 juli;42.5;11899;28011
