ID;Taxpayers;Periods;TotalEnvironmentalTaxesAndFees_1;TotalEnvironmentalTaxRevenues_2;TotalEnvironmentalTaxesOnProducts_3;WasteTax_4;FuelTax_5;TaxOnElectricityAndGasUse_6;EmissionAllowances_7;TapWaterAndGroundwaterTaxes_8;TaxOnPackaging_9;FlightTax_10;TotalMobilityTax_11;ExciseDuties_12;TaxOnPassengerCarsAndMotorcycles_13;MotorVehicleTax_14;ManureSurplusTax_15;TotalEnvironmentalFeesRevenues_16;WasteCollectionFee_17;NoiseTaxCivilAviation_18;FeesOnGroundwaterAndRefuseDumps_19;SewerageCharges_20;FeesOnWaterPollution_21
857;42 Civil engineering;2012;60.0;56.0;5.0;0.0;0.0;5.0;0.0;0.0;0.0;;51.0;42.0;1.0;8.0;;4.0;3.0;;0.0;1.0;0.0
858;42 Civil engineering;2013;68.0;63.0;6.0;0.0;0.0;6.0;0.0;0.0;0.0;;57.0;48.0;3.0;6.0;;5.0;3.0;;0.0;1.0;1.0
859;42 Civil engineering;2014;119.0;114.0;6.0;0.0;0.0;6.0;0.0;0.0;0.0;;108.0;98.0;3.0;7.0;;5.0;3.0;;0.0;1.0;1.0
860;42 Civil engineering;2015;121.0;117.0;7.0;0.0;0.0;7.0;0.0;0.0;0.0;;110.0;100.0;2.0;8.0;;4.0;3.0;;0.0;1.0;0.0
861;42 Civil engineering;2016;132.0;128.0;10.0;0.0;0.0;10.0;0.0;0.0;0.0;;118.0;108.0;2.0;8.0;;4.0;3.0;;0.0;1.0;0.0
862;42 Civil engineering;2017;134.0;130.0;10.0;0.0;0.0;10.0;0.0;0.0;0.0;;120.0;106.0;5.0;9.0;;4.0;3.0;;0.0;1.0;0.0
863;42 Civil engineering;2018;142.0;137.0;13.0;0.0;0.0;13.0;0.0;0.0;0.0;;124.0;112.0;4.0;8.0;;5.0;4.0;;0.0;1.0;0.0
864;42 Civil engineering;2019;142.0;138.0;17.0;1.0;0.0;15.0;1.0;0.0;0.0;;121.0;111.0;3.0;7.0;;4.0;3.0;;0.0;1.0;0.0
865;42 Civil engineering;2020;128.0;124.0;19.0;0.0;0.0;17.0;1.0;1.0;0.0;;105.0;95.0;3.0;7.0;;4.0;2.0;;0.0;2.0;0.0
866;42 Civil engineering;2021;140.0;136.0;20.0;0.0;0.0;19.0;0.0;1.0;0.0;0.0;116.0;107.0;3.0;6.0;;4.0;2.0;;0.0;2.0;0.0
867;42 Civil engineering;2022;127.0;123.0;20.0;0.0;0.0;19.0;0.0;1.0;0.0;0.0;103.0;92.0;3.0;8.0;;4.0;2.0;;0.0;2.0;0.0
868;43 Specialised construction activities;1995;92.0;80.0;4.0;2.0;2.0;0.0;0.0;0.0;;;76.0;14.0;30.0;32.0;;12.0;7.0;;0.0;1.0;4.0
869;43 Specialised construction activities;1996;109.0;97.0;6.0;3.0;2.0;1.0;0.0;0.0;;;91.0;15.0;39.0;37.0;;12.0;8.0;;0.0;1.0;4.0
870;43 Specialised construction activities;1997;116.0;103.0;6.0;3.0;2.0;1.0;0.0;0.0;;;97.0;18.0;55.0;24.0;;13.0;8.0;;0.0;1.0;4.0
871;43 Specialised construction activities;1998;128.0;113.0;7.0;4.0;3.0;0.0;0.0;0.0;;;106.0;21.0;62.0;23.0;;15.0;10.0;;0.0;1.0;4.0
872;43 Specialised construction activities;1999;151.0;138.0;7.0;4.0;2.0;1.0;0.0;0.0;;;131.0;25.0;78.0;28.0;;13.0;8.0;;0.0;1.0;4.0
873;43 Specialised construction activities;2000;151.0;134.0;11.0;6.0;3.0;2.0;0.0;0.0;;;123.0;34.0;66.0;23.0;;17.0;12.0;;0.0;1.0;4.0
874;43 Specialised construction activities;2001;173.0;155.0;25.0;8.0;1.0;16.0;0.0;0.0;;;130.0;34.0;73.0;23.0;;18.0;13.0;;0.0;1.0;4.0
875;43 Specialised construction activities;2002;165.0;147.0;20.0;8.0;2.0;10.0;0.0;0.0;;;127.0;45.0;59.0;23.0;;18.0;13.0;;0.0;1.0;4.0
876;43 Specialised construction activities;2003;173.0;154.0;19.0;6.0;1.0;12.0;0.0;0.0;;;135.0;55.0;55.0;25.0;;19.0;13.0;;0.0;2.0;4.0
877;43 Specialised construction activities;2004;186.0;168.0;20.0;2.0;0.0;18.0;0.0;0.0;;;148.0;59.0;62.0;27.0;;18.0;13.0;;0.0;1.0;4.0
878;43 Specialised construction activities;2005;217.0;199.0;33.0;4.0;0.0;29.0;0.0;0.0;;;166.0;71.0;64.0;31.0;;18.0;13.0;;0.0;1.0;4.0
879;43 Specialised construction activities;2006;245.0;227.0;37.0;5.0;0.0;32.0;0.0;0.0;;;190.0;86.0;69.0;35.0;;18.0;12.0;;0.0;2.0;4.0
880;43 Specialised construction activities;2007;281.0;263.0;25.0;4.0;0.0;21.0;0.0;0.0;;;238.0;99.0;101.0;38.0;;18.0;12.0;;0.0;2.0;4.0
881;43 Specialised construction activities;2008;310.0;292.0;33.0;3.0;0.0;30.0;0.0;0.0;0.0;0.0;259.0;119.0;98.0;42.0;;18.0;12.0;;0.0;2.0;4.0
882;43 Specialised construction activities;2009;317.0;299.0;36.0;1.0;0.0;35.0;0.0;0.0;0.0;0.0;263.0;136.0;80.0;47.0;;18.0;12.0;;0.0;2.0;4.0
883;43 Specialised construction activities;2010;278.0;260.0;28.0;1.0;0.0;25.0;0.0;2.0;0.0;;232.0;148.0;40.0;44.0;;18.0;12.0;;0.0;2.0;4.0
884;43 Specialised construction activities;2011;282.0;264.0;29.0;0.0;0.0;27.0;0.0;2.0;0.0;;235.0;142.0;46.0;47.0;;18.0;12.0;;0.0;2.0;4.0
885;43 Specialised construction activities;2012;233.0;213.0;24.0;-1.0;0.0;23.0;0.0;2.0;0.0;;189.0;125.0;24.0;40.0;;20.0;12.0;;0.0;4.0;4.0
886;43 Specialised construction activities;2013;232.0;215.0;29.0;0.0;0.0;27.0;0.0;2.0;0.0;;186.0;125.0;17.0;44.0;;17.0;12.0;;0.0;2.0;3.0
887;43 Specialised construction activities;2014;263.0;246.0;32.0;0.0;0.0;30.0;0.0;2.0;0.0;;214.0;152.0;15.0;47.0;;17.0;12.0;;0.0;2.0;3.0
888;43 Specialised construction activities;2015;288.0;271.0;31.0;0.0;0.0;29.0;0.0;2.0;0.0;;240.0;173.0;16.0;51.0;;17.0;12.0;;0.0;1.0;4.0
889;43 Specialised construction activities;2016;295.0;278.0;30.0;0.0;0.0;28.0;0.0;2.0;0.0;;248.0;184.0;14.0;50.0;;17.0;12.0;;0.0;1.0;4.0
890;43 Specialised construction activities;2017;305.0;287.0;33.0;1.0;0.0;30.0;0.0;2.0;0.0;;254.0;185.0;21.0;48.0;;18.0;12.0;;0.0;1.0;5.0
891;43 Specialised construction activities;2018;335.0;316.0;38.0;2.0;0.0;34.0;0.0;2.0;0.0;;278.0;206.0;24.0;48.0;;19.0;13.0;;0.0;1.0;5.0
892;43 Specialised construction activities;2019;346.0;325.0;44.0;1.0;0.0;40.0;0.0;3.0;0.0;;281.0;209.0;22.0;50.0;;21.0;13.0;;0.0;1.0;7.0
893;43 Specialised construction activities;2020;352.0;330.0;55.0;2.0;0.0;51.0;0.0;2.0;0.0;;275.0;208.0;17.0;50.0;;22.0;14.0;;0.0;1.0;7.0
894;43 Specialised construction activities;2021;366.0;340.0;56.0;2.0;0.0;52.0;0.0;2.0;0.0;0.0;284.0;208.0;19.0;57.0;;26.0;16.0;;0.0;1.0;9.0
895;43 Specialised construction activities;2022;347.0;321.0;65.0;2.0;0.0;60.0;0.0;3.0;0.0;0.0;256.0;185.0;19.0;52.0;;26.0;16.0;;0.0;1.0;9.0
896;G-I Trade, transport, hotels, catering;1995;1598.0;1426.0;119.0;17.0;101.0;0.0;0.0;1.0;;;1307.0;875.0;271.0;161.0;;172.0;52.0;24.0;0.0;50.0;46.0
897;G-I Trade, transport, hotels, catering;1996;1662.0;1523.0;165.0;16.0;109.0;39.0;0.0;1.0;;;1358.0;896.0;280.0;182.0;;139.0;50.0;9.0;0.0;33.0;47.0
898;G-I Trade, transport, hotels, catering;1997;1783.0;1624.0;202.0;12.0;102.0;86.0;0.0;2.0;;;1422.0;989.0;292.0;141.0;;159.0;66.0;6.0;0.0;36.0;52.0
899;G-I Trade, transport, hotels, catering;1998;1936.0;1784.0;201.0;14.0;107.0;79.0;0.0;1.0;;;1583.0;1073.0;355.0;155.0;;152.0;59.0;6.0;0.0;39.0;48.0
900;G-I Trade, transport, hotels, catering;1999;2028.0;1881.0;278.0;16.0;113.0;148.0;0.0;1.0;;;1603.0;1054.0;373.0;176.0;;147.0;51.0;7.0;0.0;41.0;48.0
901;G-I Trade, transport, hotels, catering;2000;2120.0;1930.0;320.0;22.0;108.0;189.0;0.0;1.0;;;1610.0;1074.0;371.0;165.0;;190.0;60.0;36.0;0.0;45.0;49.0
902;G-I Trade, transport, hotels, catering;2001;1964.0;1757.0;220.0;19.0;46.0;151.0;0.0;4.0;;;1537.0;1053.0;323.0;161.0;;207.0;65.0;43.0;0.0;48.0;51.0
903;G-I Trade, transport, hotels, catering;2002;1941.0;1724.0;175.0;23.0;51.0;96.0;0.0;5.0;;;1549.0;1126.0;269.0;154.0;;217.0;73.0;38.0;0.0;52.0;54.0
904;G-I Trade, transport, hotels, catering;2003;1935.0;1712.0;168.0;12.0;54.0;96.0;0.0;6.0;;;1544.0;1095.0;291.0;158.0;;223.0;78.0;37.0;0.0;54.0;54.0
905;G-I Trade, transport, hotels, catering;2004;2055.0;1843.0;204.0;8.0;0.0;190.0;0.0;6.0;;;1639.0;1188.0;284.0;167.0;;212.0;71.0;33.0;0.0;53.0;55.0
906;G-I Trade, transport, hotels, catering;2005;2271.0;2038.0;360.0;12.0;0.0;342.0;0.0;6.0;;;1678.0;1196.0;308.0;174.0;;233.0;73.0;48.0;0.0;56.0;56.0
907;G-I Trade, transport, hotels, catering;2006;2599.0;2336.0;481.0;21.0;0.0;454.0;0.0;6.0;;;1855.0;1339.0;337.0;179.0;;263.0;75.0;54.0;0.0;77.0;57.0
908;G-I Trade, transport, hotels, catering;2007;2511.0;2243.0;340.0;17.0;0.0;317.0;0.0;6.0;;;1903.0;1349.0;374.0;180.0;;268.0;76.0;55.0;0.0;82.0;55.0
909;G-I Trade, transport, hotels, catering;2008;2805.0;2536.0;504.0;13.0;0.0;447.0;0.0;6.0;23.0;15.0;2032.0;1472.0;369.0;191.0;;269.0;77.0;56.0;0.0;81.0;55.0
910;G-I Trade, transport, hotels, catering;2009;2683.0;2427.0;489.0;6.0;0.0;422.0;0.0;6.0;39.0;16.0;1938.0;1490.0;247.0;201.0;;256.0;76.0;49.0;0.0;86.0;45.0
911;G-I Trade, transport, hotels, catering;2010;2666.0;2421.0;495.0;4.0;0.0;438.0;0.0;10.0;43.0;;1926.0;1523.0;179.0;224.0;;245.0;79.0;42.0;0.0;78.0;46.0
912;G-I Trade, transport, hotels, catering;2011;2749.0;2512.0;501.0;2.0;0.0;446.0;0.0;11.0;42.0;;2011.0;1608.0;173.0;230.0;;237.0;73.0;35.0;0.0;82.0;47.0
913;G-I Trade, transport, hotels, catering;2012;2595.0;2352.0;465.0;-2.0;0.0;417.0;0.0;8.0;42.0;;1887.0;1548.0;119.0;220.0;;243.0;72.0;49.0;0.0;81.0;41.0
914;G-I Trade, transport, hotels, catering;2013;2583.0;2359.0;508.0;0.0;0.0;499.0;0.0;8.0;1.0;;1851.0;1524.0;106.0;221.0;;224.0;70.0;39.0;0.0;76.0;39.0
915;G-I Trade, transport, hotels, catering;2014;2586.0;2360.0;503.0;6.0;0.0;479.0;0.0;18.0;0.0;;1857.0;1504.0;108.0;245.0;;226.0;72.0;39.0;0.0;77.0;38.0
916;G-I Trade, transport, hotels, catering;2015;2560.0;2337.0;511.0;11.0;0.0;479.0;6.0;15.0;0.0;;1826.0;1458.0;122.0;246.0;;223.0;73.0;31.0;0.0;81.0;38.0
917;G-I Trade, transport, hotels, catering;2016;2613.0;2408.0;537.0;10.0;0.0;506.0;6.0;15.0;0.0;;1871.0;1490.0;146.0;235.0;;205.0;75.0;8.0;0.0;83.0;39.0
918;G-I Trade, transport, hotels, catering;2017;2729.0;2527.0;605.0;9.0;0.0;578.0;1.0;17.0;0.0;;1922.0;1483.0;193.0;246.0;;202.0;71.0;1.0;0.0;89.0;41.0
919;G-I Trade, transport, hotels, catering;2018;2785.0;2578.0;680.0;10.0;0.0;649.0;3.0;18.0;0.0;;1898.0;1466.0;181.0;251.0;;207.0;73.0;2.0;0.0;89.0;43.0
920;G-I Trade, transport, hotels, catering;2019;2979.0;2750.0;813.0;25.0;0.0;764.0;7.0;17.0;0.0;;1937.0;1478.0;204.0;255.0;;229.0;75.0;2.0;0.0;100.0;52.0
921;G-I Trade, transport, hotels, catering;2020;2918.0;2685.0;952.0;26.0;0.0;900.0;8.0;18.0;0.0;;1733.0;1366.0;138.0;229.0;;233.0;85.0;1.0;0.0;100.0;47.0
922;G-I Trade, transport, hotels, catering;2021;3116.0;2881.0;1013.0;26.0;0.0;947.0;7.0;19.0;0.0;14.0;1868.0;1495.0;151.0;222.0;;235.0;91.0;1.0;0.0;99.0;44.0
923;G-I Trade, transport, hotels, catering;2022;3301.0;3043.0;1327.0;27.0;0.0;1242.0;18.0;20.0;0.0;20.0;1716.0;1355.0;148.0;213.0;;258.0;91.0;2.0;0.0;110.0;55.0
924;G Wholesale and retail trade;1995;613.0;517.0;52.0;11.0;41.0;0.0;0.0;0.0;;;465.0;191.0;228.0;46.0;;96.0;31.0;;0.0;35.0;29.0
925;G Wholesale and retail trade;1996;657.0;576.0;77.0;11.0;46.0;20.0;0.0;0.0;;;499.0;204.0;241.0;54.0;;81.0;28.0;;0.0;23.0;30.0
926;G Wholesale and retail trade;1997;713.0;615.0;101.0;8.0;42.0;50.0;0.0;1.0;;;514.0;216.0;255.0;43.0;;98.0;40.0;;0.0;25.0;33.0
927;G Wholesale and retail trade;1998;793.0;698.0;105.0;9.0;49.0;47.0;0.0;0.0;;;593.0;246.0;298.0;49.0;;95.0;37.0;;0.0;27.0;30.0
928;G Wholesale and retail trade;1999;858.0;768.0;154.0;9.0;52.0;93.0;0.0;0.0;;;614.0;238.0;319.0;57.0;;90.0;31.0;;0.0;29.0;30.0
929;G Wholesale and retail trade;2000;928.0;826.0;182.0;12.0;50.0;120.0;0.0;0.0;;;644.0;262.0;322.0;60.0;;102.0;39.0;;0.0;32.0;31.0
930;G Wholesale and retail trade;2001;825.0;712.0;109.0;9.0;8.0;91.0;0.0;1.0;;;603.0;259.0;283.0;61.0;;113.0;47.0;;0.0;34.0;32.0
931;G Wholesale and retail trade;2002;796.0;669.0;78.0;13.0;7.0;56.0;0.0;2.0;;;591.0;293.0;234.0;64.0;;127.0;55.0;;0.0;38.0;34.0
932;G Wholesale and retail trade;2003;794.0;662.0;75.0;6.0;9.0;58.0;0.0;2.0;;;587.0;278.0;244.0;65.0;;132.0;59.0;;0.0;39.0;34.0
933;G Wholesale and retail trade;2004;847.0;722.0;122.0;5.0;0.0;115.0;0.0;2.0;;;600.0;291.0;239.0;70.0;;125.0;53.0;;0.0;39.0;33.0
934;G Wholesale and retail trade;2005;987.0;855.0;215.0;7.0;0.0;206.0;0.0;2.0;;;640.0;293.0;271.0;76.0;;132.0;54.0;;0.0;42.0;36.0
935;G Wholesale and retail trade;2006;1139.0;991.0;294.0;12.0;0.0;280.0;0.0;2.0;;;697.0;329.0;291.0;77.0;;148.0;57.0;;0.0;56.0;35.0
936;G Wholesale and retail trade;2007;1096.0;947.0;204.0;10.0;0.0;192.0;0.0;2.0;;;743.0;340.0;324.0;79.0;;149.0;55.0;;0.0;61.0;33.0
937;G Wholesale and retail trade;2008;1234.0;1086.0;309.0;8.0;0.0;274.0;0.0;2.0;22.0;3.0;777.0;373.0;318.0;86.0;;148.0;56.0;;0.0;60.0;32.0
938;G Wholesale and retail trade;2009;1117.0;972.0;307.0;3.0;0.0;262.0;0.0;2.0;37.0;3.0;665.0;371.0;205.0;89.0;;145.0;55.0;;0.0;64.0;26.0
939;G Wholesale and retail trade;2010;1109.0;966.0;307.0;2.0;0.0;259.0;0.0;5.0;41.0;;659.0;406.0;155.0;98.0;;143.0;58.0;;0.0;58.0;27.0
940;G Wholesale and retail trade;2011;1100.0;958.0;313.0;0.0;0.0;268.0;0.0;5.0;40.0;;645.0;393.0;149.0;103.0;;142.0;52.0;;0.0;62.0;28.0
941;G Wholesale and retail trade;2012;985.0;851.0;293.0;0.0;0.0;249.0;0.0;4.0;40.0;;558.0;357.0;102.0;99.0;;134.0;51.0;;0.0;60.0;23.0
942;G Wholesale and retail trade;2013;983.0;853.0;303.0;0.0;0.0;298.0;0.0;4.0;1.0;;550.0;360.0;92.0;98.0;;130.0;49.0;;0.0;59.0;22.0
943;G Wholesale and retail trade;2014;998.0;866.0;289.0;5.0;0.0;276.0;0.0;8.0;0.0;;577.0;372.0;96.0;109.0;;132.0;51.0;;0.0;60.0;21.0
944;G Wholesale and retail trade;2015;1043.0;907.0;291.0;7.0;0.0;277.0;0.0;7.0;0.0;;616.0;397.0;109.0;110.0;;136.0;52.0;;0.0;63.0;21.0
945;G Wholesale and retail trade;2016;1076.0;936.0;302.0;7.0;0.0;287.0;1.0;7.0;0.0;;634.0;406.0;125.0;103.0;;140.0;52.0;;0.0;66.0;22.0
946;G Wholesale and retail trade;2017;1168.0;1026.0;340.0;7.0;0.0;325.0;0.0;8.0;0.0;;686.0;419.0;161.0;106.0;;142.0;51.0;;0.0;69.0;22.0
947;G Wholesale and retail trade;2018;1221.0;1075.0;381.0;8.0;0.0;364.0;1.0;8.0;0.0;;694.0;433.0;151.0;110.0;;146.0;51.0;;0.0;71.0;24.0
948;G Wholesale and retail trade;2019;1346.0;1180.0;458.0;18.0;0.0;430.0;2.0;8.0;0.0;;722.0;433.0;169.0;120.0;;166.0;53.0;;0.0;82.0;31.0
949;G Wholesale and retail trade;2020;1391.0;1220.0;573.0;19.0;0.0;543.0;2.0;9.0;0.0;;647.0;414.0;125.0;108.0;;171.0;62.0;;0.0;82.0;27.0
950;G Wholesale and retail trade;2021;1449.0;1280.0;619.0;18.0;0.0;590.0;1.0;9.0;0.0;1.0;661.0;428.0;137.0;96.0;;169.0;65.0;;0.0;81.0;23.0
951;G Wholesale and retail trade;2022;1494.0;1320.0;727.0;18.0;0.0;695.0;6.0;7.0;0.0;1.0;593.0;375.0;135.0;83.0;;174.0;66.0;;0.0;85.0;23.0
952;45 Sale and repair of motor vehicles;1995;142.0;134.0;6.0;1.0;5.0;0.0;0.0;0.0;;;128.0;33.0;77.0;18.0;;8.0;4.0;;0.0;2.0;2.0
953;45 Sale and repair of motor vehicles;1996;159.0;151.0;9.0;2.0;6.0;1.0;0.0;0.0;;;142.0;36.0;83.0;23.0;;8.0;5.0;;0.0;1.0;2.0
954;45 Sale and repair of motor vehicles;1997;175.0;165.0;12.0;2.0;5.0;5.0;0.0;0.0;;;153.0;42.0;93.0;18.0;;10.0;7.0;;0.0;1.0;2.0
955;45 Sale and repair of motor vehicles;1998;189.0;179.0;14.0;2.0;9.0;3.0;0.0;0.0;;;165.0;45.0;98.0;22.0;;10.0;7.0;;0.0;2.0;2.0
956;45 Sale and repair of motor vehicles;1999;227.0;217.0;19.0;2.0;9.0;8.0;0.0;0.0;;;198.0;49.0;125.0;24.0;;10.0;6.0;;0.0;2.0;2.0
957;45 Sale and repair of motor vehicles;2000;240.0;233.0;20.0;2.0;7.0;11.0;0.0;0.0;;;213.0;50.0;139.0;24.0;;7.0;3.0;;0.0;2.0;2.0
958;45 Sale and repair of motor vehicles;2001;229.0;219.0;19.0;1.0;1.0;17.0;0.0;0.0;;;200.0;50.0;125.0;25.0;;10.0;6.0;;0.0;2.0;2.0
959;45 Sale and repair of motor vehicles;2002;196.0;186.0;13.0;2.0;1.0;10.0;0.0;0.0;;;173.0;53.0;94.0;26.0;;10.0;6.0;;0.0;2.0;2.0
960;45 Sale and repair of motor vehicles;2003;205.0;194.0;11.0;0.0;1.0;10.0;0.0;0.0;;;183.0;50.0;108.0;25.0;;11.0;6.0;;0.0;3.0;2.0
961;45 Sale and repair of motor vehicles;2004;207.0;198.0;21.0;0.0;0.0;21.0;0.0;0.0;;;177.0;53.0;98.0;26.0;;9.0;5.0;;0.0;2.0;2.0
962;45 Sale and repair of motor vehicles;2005;255.0;246.0;37.0;0.0;0.0;37.0;0.0;0.0;;;209.0;59.0;120.0;30.0;;9.0;5.0;;0.0;2.0;2.0
963;45 Sale and repair of motor vehicles;2006;304.0;293.0;50.0;0.0;0.0;50.0;0.0;0.0;;;243.0;65.0;148.0;30.0;;11.0;6.0;;0.0;3.0;2.0
964;45 Sale and repair of motor vehicles;2007;298.0;287.0;37.0;1.0;0.0;36.0;0.0;0.0;;;250.0;65.0;156.0;29.0;;11.0;6.0;;0.0;3.0;2.0
965;45 Sale and repair of motor vehicles;2008;305.0;295.0;51.0;0.0;0.0;51.0;0.0;0.0;0.0;0.0;244.0;72.0;140.0;32.0;;10.0;5.0;;0.0;3.0;2.0
966;45 Sale and repair of motor vehicles;2009;229.0;219.0;49.0;0.0;0.0;49.0;0.0;0.0;0.0;0.0;170.0;68.0;70.0;32.0;;10.0;5.0;;0.0;3.0;2.0
967;45 Sale and repair of motor vehicles;2010;236.0;225.0;53.0;0.0;0.0;52.0;0.0;1.0;0.0;;172.0;72.0;65.0;35.0;;11.0;6.0;;0.0;3.0;2.0
968;45 Sale and repair of motor vehicles;2011;215.0;204.0;52.0;0.0;0.0;52.0;0.0;0.0;0.0;;152.0;73.0;46.0;33.0;;11.0;6.0;;0.0;3.0;2.0
969;45 Sale and repair of motor vehicles;2012;189.0;177.0;47.0;0.0;0.0;47.0;0.0;0.0;0.0;;130.0;62.0;36.0;32.0;;12.0;6.0;;0.0;4.0;2.0
970;45 Sale and repair of motor vehicles;2013;191.0;180.0;54.0;0.0;0.0;53.0;0.0;1.0;0.0;;126.0;65.0;28.0;33.0;;11.0;6.0;;0.0;3.0;2.0
971;45 Sale and repair of motor vehicles;2014;198.0;187.0;56.0;0.0;0.0;56.0;0.0;0.0;0.0;;131.0;60.0;34.0;37.0;;11.0;6.0;;0.0;3.0;2.0
972;45 Sale and repair of motor vehicles;2015;207.0;196.0;55.0;0.0;0.0;55.0;0.0;0.0;0.0;;141.0;60.0;41.0;40.0;;11.0;6.0;;0.0;3.0;2.0
973;45 Sale and repair of motor vehicles;2016;218.0;207.0;53.0;0.0;0.0;52.0;0.0;1.0;0.0;;154.0;62.0;57.0;35.0;;11.0;6.0;;0.0;3.0;2.0
974;45 Sale and repair of motor vehicles;2017;239.0;228.0;55.0;0.0;0.0;54.0;0.0;1.0;0.0;;173.0;60.0;78.0;35.0;;11.0;6.0;;0.0;3.0;2.0
975;45 Sale and repair of motor vehicles;2018;248.0;237.0;62.0;0.0;0.0;61.0;0.0;1.0;0.0;;175.0;61.0;78.0;36.0;;11.0;6.0;;0.0;3.0;2.0
976;45 Sale and repair of motor vehicles;2019;281.0;270.0;77.0;2.0;0.0;74.0;0.0;1.0;0.0;;193.0;63.0;95.0;35.0;;11.0;6.0;;0.0;3.0;2.0
977;45 Sale and repair of motor vehicles;2020;256.0;245.0;87.0;0.0;0.0;86.0;0.0;1.0;0.0;;158.0;54.0;71.0;33.0;;11.0;6.0;;0.0;3.0;2.0
978;45 Sale and repair of motor vehicles;2021;262.0;251.0;90.0;1.0;0.0;89.0;0.0;0.0;0.0;0.0;161.0;52.0;76.0;33.0;;11.0;5.0;;0.0;4.0;2.0
979;45 Sale and repair of motor vehicles;2022;260.0;253.0;106.0;1.0;0.0;105.0;0.0;0.0;0.0;0.0;147.0;44.0;75.0;28.0;;7.0;3.0;;0.0;3.0;1.0
980;46 Wholesale trade (no motor vehicles);1995;317.0;260.0;25.0;6.0;19.0;0.0;0.0;0.0;;;235.0;119.0;99.0;17.0;;57.0;13.0;;0.0;23.0;22.0
981;46 Wholesale trade (no motor vehicles);1996;329.0;282.0;35.0;4.0;21.0;10.0;0.0;0.0;;;247.0;122.0;106.0;19.0;;47.0;10.0;;0.0;15.0;22.0
982;46 Wholesale trade (no motor vehicles);1997;348.0;293.0;45.0;3.0;21.0;20.0;0.0;1.0;;;248.0;128.0;104.0;16.0;;55.0;15.0;;0.0;16.0;24.0
983;46 Wholesale trade (no motor vehicles);1998;411.0;356.0;48.0;5.0;22.0;21.0;0.0;0.0;;;308.0;148.0;141.0;19.0;;55.0;16.0;;0.0;18.0;22.0
984;46 Wholesale trade (no motor vehicles);1999;437.0;381.0;71.0;5.0;24.0;42.0;0.0;0.0;;;310.0;138.0;150.0;22.0;;56.0;15.0;;0.0;19.0;22.0
985;46 Wholesale trade (no motor vehicles);2000;470.0;409.0;82.0;6.0;24.0;52.0;0.0;0.0;;;327.0;159.0;145.0;23.0;;61.0;18.0;;0.0;20.0;22.0
986;46 Wholesale trade (no motor vehicles);2001;427.0;362.0;49.0;6.0;6.0;37.0;0.0;0.0;;;313.0;161.0;128.0;24.0;;65.0;20.0;;0.0;22.0;23.0
987;46 Wholesale trade (no motor vehicles);2002;427.0;356.0;38.0;9.0;5.0;23.0;0.0;1.0;;;318.0;184.0;109.0;25.0;;71.0;22.0;;0.0;25.0;24.0
988;46 Wholesale trade (no motor vehicles);2003;415.0;344.0;38.0;6.0;7.0;24.0;0.0;1.0;;;306.0;172.0;108.0;26.0;;71.0;23.0;;0.0;24.0;24.0
989;46 Wholesale trade (no motor vehicles);2004;441.0;369.0;52.0;5.0;0.0;46.0;0.0;1.0;;;317.0;179.0;109.0;29.0;;72.0;24.0;;0.0;25.0;23.0
990;46 Wholesale trade (no motor vehicles);2005;496.0;419.0;90.0;5.0;0.0;84.0;0.0;1.0;;;329.0;176.0;122.0;31.0;;77.0;25.0;;0.0;26.0;26.0
991;46 Wholesale trade (no motor vehicles);2006;549.0;464.0;121.0;8.0;0.0;112.0;0.0;1.0;;;343.0;198.0;114.0;31.0;;85.0;25.0;;0.0;35.0;25.0
992;46 Wholesale trade (no motor vehicles);2007;549.0;461.0;86.0;7.0;0.0;78.0;0.0;1.0;;;375.0;209.0;133.0;33.0;;88.0;27.0;;0.0;38.0;23.0
993;46 Wholesale trade (no motor vehicles);2008;637.0;549.0;140.0;6.0;0.0;110.0;0.0;1.0;21.0;2.0;409.0;230.0;144.0;35.0;;88.0;28.0;;0.0;38.0;22.0
994;46 Wholesale trade (no motor vehicles);2009;606.0;521.0;147.0;3.0;0.0;105.0;0.0;1.0;36.0;2.0;374.0;231.0;106.0;37.0;;85.0;28.0;;0.0;40.0;17.0
995;46 Wholesale trade (no motor vehicles);2010;595.0;512.0;141.0;2.0;0.0;95.0;0.0;4.0;40.0;;371.0;256.0;73.0;42.0;;83.0;28.0;;0.0;37.0;18.0
996;46 Wholesale trade (no motor vehicles);2011;598.0;517.0;142.0;0.0;0.0;99.0;0.0;4.0;39.0;;375.0;242.0;84.0;49.0;;81.0;22.0;;0.0;40.0;19.0
997;46 Wholesale trade (no motor vehicles);2012;531.0;462.0;136.0;0.0;0.0;93.0;0.0;4.0;39.0;;326.0;223.0;56.0;47.0;;69.0;21.0;;0.0;34.0;14.0
998;46 Wholesale trade (no motor vehicles);2013;508.0;438.0;118.0;0.0;0.0;115.0;0.0;2.0;1.0;;320.0;223.0;49.0;48.0;;70.0;19.0;;0.0;38.0;13.0
999;46 Wholesale trade (no motor vehicles);2014;526.0;454.0;114.0;3.0;0.0;105.0;0.0;6.0;0.0;;340.0;240.0;47.0;53.0;;72.0;21.0;;0.0;39.0;12.0
1000;46 Wholesale trade (no motor vehicles);2015;560.0;484.0;116.0;5.0;0.0;105.0;0.0;6.0;0.0;;368.0;260.0;55.0;53.0;;76.0;22.0;;0.0;41.0;13.0
