ID;BedrijfstakkenBranchesSBI2008;Perioden;TotaalSnelgroeiendeBedrijven_1;k_10Tot50WerkzamePersonen_2;k_50Tot250WerkzamePersonen_3;k_250WerkzamePersonenOfMeer_4;NatuurlijkePersonen_5;Rechtspersonen_6
325;17 Papierindustrie;2013;10;5;5;0;0;10
326;17 Papierindustrie;2014;5;0;0;0;0;5
327;17 Papierindustrie;2015;5;5;5;0;0;5
328;17 Papierindustrie;2016;15;5;5;0;0;15
329;17 Papierindustrie;2017;15;5;5;5;0;15
330;17 Papierindustrie;2018;25;10;10;5;0;25
331;17 Papierindustrie;2019;20;10;10;0;0;20
332;17 Papierindustrie;2020;15;5;5;0;0;15
333;17 Papierindustrie;2021;15;5;5;5;0;15
334;17 Papierindustrie;2022;10;5;0;5;0;10
335;17 Papierindustrie;2023;10;5;0;5;0;10
336;18 Grafische industrie;2010;40;30;10;0;0;35
337;18 Grafische industrie;2011;40;30;5;5;0;40
338;18 Grafische industrie;2012;45;35;10;0;0;45
339;18 Grafische industrie;2013;40;30;5;0;0;40
340;18 Grafische industrie;2014;35;30;5;0;0;35
341;18 Grafische industrie;2015;35;20;10;0;0;35
342;18 Grafische industrie;2016;30;20;5;0;0;30
343;18 Grafische industrie;2017;40;35;5;0;0;40
344;18 Grafische industrie;2018;35;25;5;0;0;30
345;18 Grafische industrie;2019;35;30;5;0;0;30
346;18 Grafische industrie;2020;30;25;5;0;5;25
347;18 Grafische industrie;2021;25;20;0;0;0;20
348;18 Grafische industrie;2022;30;20;5;0;0;25
349;18 Grafische industrie;2023;30;20;5;0;0;30
350;19-22 Raffinaderijen en chemie;2010;65;35;20;10;0;60
351;19-22 Raffinaderijen en chemie;2011;65;35;20;5;0;60
352;19-22 Raffinaderijen en chemie;2012;85;50;25;5;0;80
353;19-22 Raffinaderijen en chemie;2013;85;55;25;5;0;85
354;19-22 Raffinaderijen en chemie;2014;65;40;20;0;0;65
355;19-22 Raffinaderijen en chemie;2015;70;45;20;0;5;70
356;19-22 Raffinaderijen en chemie;2016;100;65;35;5;5;100
357;19-22 Raffinaderijen en chemie;2017;115;65;45;5;5;110
358;19-22 Raffinaderijen en chemie;2018;125;80;40;5;0;125
