ID;SoortBromfiets;RegioS;Perioden;VoertuigenMetBromfietskenteken_1;VoertuigenPer1000Inwoners_2
4252;Voertuigen met bromfietskenteken;Margraten;2019;;
4253;Voertuigen met bromfietskenteken;Margraten;2020;;
4254;Voertuigen met bromfietskenteken;Margraten;2021;;
4255;Voertuigen met bromfietskenteken;Margraten;2022;;
4256;Voertuigen met bromfietskenteken;De Marne;2007;534.0;50.0
4257;Voertuigen met bromfietskenteken;De Marne;2008;597.0;56.0
4258;Voertuigen met bromfietskenteken;De Marne;2009;643.0;61.0
4259;Voertuigen met bromfietskenteken;De Marne;2010;660.0;63.0
4260;Voertuigen met bromfietskenteken;De Marne;2011;703.0;67.0
4261;Voertuigen met bromfietskenteken;De Marne;2012;726.0;70.0
4262;Voertuigen met bromfietskenteken;De Marne;2013;722.0;70.0
4263;Voertuigen met bromfietskenteken;De Marne;2014;715.0;70.0
4264;Voertuigen met bromfietskenteken;De Marne;2015;717.0;71.0
4265;Voertuigen met bromfietskenteken;De Marne;2016;709.0;70.0
4266;Voertuigen met bromfietskenteken;De Marne;2017;680.0;67.0
4267;Voertuigen met bromfietskenteken;De Marne;2018;664.0;66.0
4268;Voertuigen met bromfietskenteken;De Marne;2019;;
4269;Voertuigen met bromfietskenteken;De Marne;2020;;
4270;Voertuigen met bromfietskenteken;De Marne;2021;;
4271;Voertuigen met bromfietskenteken;De Marne;2022;;
4272;Voertuigen met bromfietskenteken;Marum;2007;395.0;39.0
4273;Voertuigen met bromfietskenteken;Marum;2008;430.0;42.0
4274;Voertuigen met bromfietskenteken;Marum;2009;499.0;48.0
4275;Voertuigen met bromfietskenteken;Marum;2010;578.0;55.0
4276;Voertuigen met bromfietskenteken;Marum;2011;601.0;57.0
4277;Voertuigen met bromfietskenteken;Marum;2012;626.0;60.0
4278;Voertuigen met bromfietskenteken;Marum;2013;609.0;59.0
4279;Voertuigen met bromfietskenteken;Marum;2014;573.0;55.0
4280;Voertuigen met bromfietskenteken;Marum;2015;580.0;56.0
4281;Voertuigen met bromfietskenteken;Marum;2016;599.0;58.0
4282;Voertuigen met bromfietskenteken;Marum;2017;638.0;61.0
4283;Voertuigen met bromfietskenteken;Marum;2018;688.0;66.0
4284;Voertuigen met bromfietskenteken;Marum;2019;;
4285;Voertuigen met bromfietskenteken;Marum;2020;;
4286;Voertuigen met bromfietskenteken;Marum;2021;;
4287;Voertuigen met bromfietskenteken;Marum;2022;;
4288;Voertuigen met bromfietskenteken;Medemblik;2007;1482.0;56.0
4289;Voertuigen met bromfietskenteken;Medemblik;2008;1602.0;60.0
4290;Voertuigen met bromfietskenteken;Medemblik;2009;1708.0;63.0
4291;Voertuigen met bromfietskenteken;Medemblik;2010;1878.0;69.0
4292;Voertuigen met bromfietskenteken;Medemblik;2011;3110.0;73.0
4293;Voertuigen met bromfietskenteken;Medemblik;2012;3207.0;74.0
4294;Voertuigen met bromfietskenteken;Medemblik;2013;3216.0;74.0
4295;Voertuigen met bromfietskenteken;Medemblik;2014;3179.0;73.0
4296;Voertuigen met bromfietskenteken;Medemblik;2015;3204.0;73.0
4297;Voertuigen met bromfietskenteken;Medemblik;2016;3232.0;74.0
4298;Voertuigen met bromfietskenteken;Medemblik;2017;3246.0;74.0
4299;Voertuigen met bromfietskenteken;Medemblik;2018;3338.0;75.0
4300;Voertuigen met bromfietskenteken;Medemblik;2019;3454.0;77.0
4301;Voertuigen met bromfietskenteken;Medemblik;2020;3495.0;77.0
4302;Voertuigen met bromfietskenteken;Medemblik;2021;3479.0;77.0
4303;Voertuigen met bromfietskenteken;Medemblik;2022;3625.0;80.0
4304;Voertuigen met bromfietskenteken;Meerlo-Wanssum;2007;336.0;44.0
4305;Voertuigen met bromfietskenteken;Meerlo-Wanssum;2008;366.0;48.0
4306;Voertuigen met bromfietskenteken;Meerlo-Wanssum;2009;405.0;52.0
4307;Voertuigen met bromfietskenteken;Meerlo-Wanssum;2010;;
4308;Voertuigen met bromfietskenteken;Meerlo-Wanssum;2011;;
4309;Voertuigen met bromfietskenteken;Meerlo-Wanssum;2012;;
4310;Voertuigen met bromfietskenteken;Meerlo-Wanssum;2013;;
4311;Voertuigen met bromfietskenteken;Meerlo-Wanssum;2014;;
4312;Voertuigen met bromfietskenteken;Meerlo-Wanssum;2015;;
4313;Voertuigen met bromfietskenteken;Meerlo-Wanssum;2016;;
4314;Voertuigen met bromfietskenteken;Meerlo-Wanssum;2017;;
4315;Voertuigen met bromfietskenteken;Meerlo-Wanssum;2018;;
4316;Voertuigen met bromfietskenteken;Meerlo-Wanssum;2019;;
4317;Voertuigen met bromfietskenteken;Meerlo-Wanssum;2020;;
4318;Voertuigen met bromfietskenteken;Meerlo-Wanssum;2021;;
4319;Voertuigen met bromfietskenteken;Meerlo-Wanssum;2022;;
4320;Voertuigen met bromfietskenteken;Meerssen;2007;1359.0;69.0
4321;Voertuigen met bromfietskenteken;Meerssen;2008;1481.0;75.0
4322;Voertuigen met bromfietskenteken;Meerssen;2009;1546.0;78.0
4323;Voertuigen met bromfietskenteken;Meerssen;2010;1682.0;86.0
4324;Voertuigen met bromfietskenteken;Meerssen;2011;1834.0;94.0
4325;Voertuigen met bromfietskenteken;Meerssen;2012;1862.0;96.0
4326;Voertuigen met bromfietskenteken;Meerssen;2013;1878.0;97.0
4327;Voertuigen met bromfietskenteken;Meerssen;2014;1916.0;100.0
4328;Voertuigen met bromfietskenteken;Meerssen;2015;1953.0;102.0
4329;Voertuigen met bromfietskenteken;Meerssen;2016;1956.0;103.0
4330;Voertuigen met bromfietskenteken;Meerssen;2017;1953.0;102.0
4331;Voertuigen met bromfietskenteken;Meerssen;2018;1950.0;102.0
4332;Voertuigen met bromfietskenteken;Meerssen;2019;1891.0;100.0
4333;Voertuigen met bromfietskenteken;Meerssen;2020;1898.0;101.0
4334;Voertuigen met bromfietskenteken;Meerssen;2021;1907.0;102.0
4335;Voertuigen met bromfietskenteken;Meerssen;2022;1889.0;102.0
4336;Voertuigen met bromfietskenteken;Meierijstad;2007;;
4337;Voertuigen met bromfietskenteken;Meierijstad;2008;;
4338;Voertuigen met bromfietskenteken;Meierijstad;2009;;
4339;Voertuigen met bromfietskenteken;Meierijstad;2010;;
4340;Voertuigen met bromfietskenteken;Meierijstad;2011;;
4341;Voertuigen met bromfietskenteken;Meierijstad;2012;;
4342;Voertuigen met bromfietskenteken;Meierijstad;2013;;
4343;Voertuigen met bromfietskenteken;Meierijstad;2014;;
4344;Voertuigen met bromfietskenteken;Meierijstad;2015;;
4345;Voertuigen met bromfietskenteken;Meierijstad;2016;;
4346;Voertuigen met bromfietskenteken;Meierijstad;2017;5264.0;66.0
4347;Voertuigen met bromfietskenteken;Meierijstad;2018;5493.0;69.0
4348;Voertuigen met bromfietskenteken;Meierijstad;2019;5662.0;70.0
4349;Voertuigen met bromfietskenteken;Meierijstad;2020;5803.0;71.0
4350;Voertuigen met bromfietskenteken;Meierijstad;2021;6075.0;74.0
4351;Voertuigen met bromfietskenteken;Meierijstad;2022;6293.0;76.0
4352;Voertuigen met bromfietskenteken;Meijel;2007;196.0;33.0
4353;Voertuigen met bromfietskenteken;Meijel;2008;183.0;31.0
4354;Voertuigen met bromfietskenteken;Meijel;2009;214.0;36.0
4355;Voertuigen met bromfietskenteken;Meijel;2010;;
4356;Voertuigen met bromfietskenteken;Meijel;2011;;
4357;Voertuigen met bromfietskenteken;Meijel;2012;;
4358;Voertuigen met bromfietskenteken;Meijel;2013;;
4359;Voertuigen met bromfietskenteken;Meijel;2014;;
4360;Voertuigen met bromfietskenteken;Meijel;2015;;
4361;Voertuigen met bromfietskenteken;Meijel;2016;;
4362;Voertuigen met bromfietskenteken;Meijel;2017;;
4363;Voertuigen met bromfietskenteken;Meijel;2018;;
4364;Voertuigen met bromfietskenteken;Meijel;2019;;
4365;Voertuigen met bromfietskenteken;Meijel;2020;;
4366;Voertuigen met bromfietskenteken;Meijel;2021;;
4367;Voertuigen met bromfietskenteken;Meijel;2022;;
4368;Voertuigen met bromfietskenteken;Menaldumadeel;2007;511.0;37.0
4369;Voertuigen met bromfietskenteken;Menaldumadeel;2008;563.0;41.0
4370;Voertuigen met bromfietskenteken;Menaldumadeel;2009;644.0;47.0
4371;Voertuigen met bromfietskenteken;Menaldumadeel;2010;687.0;50.0
4372;Voertuigen met bromfietskenteken;Menaldumadeel;2011;;
4373;Voertuigen met bromfietskenteken;Menaldumadeel;2012;;
4374;Voertuigen met bromfietskenteken;Menaldumadeel;2013;;
4375;Voertuigen met bromfietskenteken;Menaldumadeel;2014;;
4376;Voertuigen met bromfietskenteken;Menaldumadeel;2015;;
4377;Voertuigen met bromfietskenteken;Menaldumadeel;2016;;
4378;Voertuigen met bromfietskenteken;Menaldumadeel;2017;;
4379;Voertuigen met bromfietskenteken;Menaldumadeel;2018;;
4380;Voertuigen met bromfietskenteken;Menaldumadeel;2019;;
4381;Voertuigen met bromfietskenteken;Menaldumadeel;2020;;
4382;Voertuigen met bromfietskenteken;Menaldumadeel;2021;;
4383;Voertuigen met bromfietskenteken;Menaldumadeel;2022;;
4384;Voertuigen met bromfietskenteken;Menameradiel;2007;;
4385;Voertuigen met bromfietskenteken;Menameradiel;2008;;
4386;Voertuigen met bromfietskenteken;Menameradiel;2009;;
4387;Voertuigen met bromfietskenteken;Menameradiel;2010;;
4388;Voertuigen met bromfietskenteken;Menameradiel;2011;739.0;54.0
4389;Voertuigen met bromfietskenteken;Menameradiel;2012;756.0;55.0
4390;Voertuigen met bromfietskenteken;Menameradiel;2013;768.0;56.0
4391;Voertuigen met bromfietskenteken;Menameradiel;2014;749.0;55.0
4392;Voertuigen met bromfietskenteken;Menameradiel;2015;785.0;58.0
4393;Voertuigen met bromfietskenteken;Menameradiel;2016;805.0;59.0
4394;Voertuigen met bromfietskenteken;Menameradiel;2017;823.0;61.0
4395;Voertuigen met bromfietskenteken;Menameradiel;2018;;
4396;Voertuigen met bromfietskenteken;Menameradiel;2019;;
4397;Voertuigen met bromfietskenteken;Menameradiel;2020;;
4398;Voertuigen met bromfietskenteken;Menameradiel;2021;;
4399;Voertuigen met bromfietskenteken;Menameradiel;2022;;
4400;Voertuigen met bromfietskenteken;Menterwolde;2007;564.0;45.0
4401;Voertuigen met bromfietskenteken;Menterwolde;2008;550.0;44.0
4402;Voertuigen met bromfietskenteken;Menterwolde;2009;590.0;47.0
4403;Voertuigen met bromfietskenteken;Menterwolde;2010;628.0;50.0
4404;Voertuigen met bromfietskenteken;Menterwolde;2011;644.0;52.0
4405;Voertuigen met bromfietskenteken;Menterwolde;2012;620.0;50.0
4406;Voertuigen met bromfietskenteken;Menterwolde;2013;644.0;52.0
4407;Voertuigen met bromfietskenteken;Menterwolde;2014;677.0;55.0
4408;Voertuigen met bromfietskenteken;Menterwolde;2015;737.0;60.0
4409;Voertuigen met bromfietskenteken;Menterwolde;2016;760.0;62.0
4410;Voertuigen met bromfietskenteken;Menterwolde;2017;775.0;64.0
4411;Voertuigen met bromfietskenteken;Menterwolde;2018;;
4412;Voertuigen met bromfietskenteken;Menterwolde;2019;;
4413;Voertuigen met bromfietskenteken;Menterwolde;2020;;
