ID;Sex;Age;ModesOfTravel;TravelMotives;Margins;Periods;StagesPerPersonPerDayAverage_1;DistanceTravelledPerStageAverage_2;AverageTravelTimePerStage_3
199;Total male and female;10000;Total;Shopping, groceries, funshopping.;Lower bound 95% confidence interval;2023;0.59;4.87;13.86
200;Total male and female;10000;Total;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;1999;0.78;5.32;15.79
201;Total male and female;10000;Total;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2000;0.77;5.37;15.71
202;Total male and female;10000;Total;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2001;0.76;5.34;15.48
203;Total male and female;10000;Total;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2002;0.76;5.35;15.41
204;Total male and female;10000;Total;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2003;0.75;5.44;15.44
205;Total male and female;10000;Total;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2004;0.74;5.4;15.32
206;Total male and female;10000;Total;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2005;0.72;5.37;15.31
207;Total male and female;10000;Total;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2006;0.71;5.34;15.15
208;Total male and female;10000;Total;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2007;0.69;5.5;15.21
209;Total male and female;10000;Total;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2008;0.68;5.21;14.97
210;Total male and female;10000;Total;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2009;0.68;5.29;15.04
211;Total male and female;10000;Total;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2010;0.68;5.34;14.99
212;Total male and female;10000;Total;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2011;0.64;5.42;14.9
213;Total male and female;10000;Total;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2012;0.65;5.29;14.75
214;Total male and female;10000;Total;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2013;0.65;5.32;14.72
215;Total male and female;10000;Total;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2014;0.65;5.33;14.77
216;Total male and female;10000;Total;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2015;0.64;5.37;14.88
217;Total male and female;10000;Total;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2016;0.62;5.28;14.6
218;Total male and female;10000;Total;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2017;0.62;5.45;14.74
219;Total male and female;10000;Total;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2018;0.6;5.36;14.56
220;Total male and female;10000;Total;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2019;0.58;5.53;14.6
221;Total male and female;10000;Total;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2020;0.58;4.47;12.95
222;Total male and female;10000;Total;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2021;0.58;4.56;13.54
223;Total male and female;10000;Total;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2022;0.61;4.82;13.83
224;Total male and female;10000;Total;Shopping, groceries, funshopping.;Upper bound 95% confidence interval;2023;0.61;5.16;14.39
225;Total male and female;10000;Total;Attending education/courses;Value;1999;0.3;6.85;17.64
226;Total male and female;10000;Total;Attending education/courses;Value;2000;0.3;7.0;17.85
227;Total male and female;10000;Total;Attending education/courses;Value;2001;0.29;6.95;17.72
228;Total male and female;10000;Total;Attending education/courses;Value;2002;0.29;6.97;17.71
229;Total male and female;10000;Total;Attending education/courses;Value;2003;0.29;7.01;17.86
230;Total male and female;10000;Total;Attending education/courses;Value;2004;0.3;6.88;17.64
231;Total male and female;10000;Total;Attending education/courses;Value;2005;0.29;6.94;17.87
232;Total male and female;10000;Total;Attending education/courses;Value;2006;0.3;6.88;17.84
233;Total male and female;10000;Total;Attending education/courses;Value;2007;0.3;6.91;17.91
234;Total male and female;10000;Total;Attending education/courses;Value;2008;0.29;6.87;17.77
235;Total male and female;10000;Total;Attending education/courses;Value;2009;0.29;6.86;17.67
236;Total male and female;10000;Total;Attending education/courses;Value;2010;0.3;6.9;17.74
237;Total male and female;10000;Total;Attending education/courses;Value;2011;0.3;6.94;17.84
238;Total male and female;10000;Total;Attending education/courses;Value;2012;0.29;7.04;18.05
239;Total male and female;10000;Total;Attending education/courses;Value;2013;0.29;7.05;18.07
240;Total male and female;10000;Total;Attending education/courses;Value;2014;0.29;7.18;18.36
241;Total male and female;10000;Total;Attending education/courses;Value;2015;0.29;7.29;18.38
242;Total male and female;10000;Total;Attending education/courses;Value;2016;0.29;7.3;18.55
243;Total male and female;10000;Total;Attending education/courses;Value;2017;0.28;7.32;18.75
244;Total male and female;10000;Total;Attending education/courses;Value;2018;0.28;7.33;18.63
245;Total male and female;10000;Total;Attending education/courses;Value;2019;0.28;7.28;18.58
246;Total male and female;10000;Total;Attending education/courses;Value;2020;0.17;6.73;18.39
247;Total male and female;10000;Total;Attending education/courses;Value;2021;0.17;6.66;18.53
248;Total male and female;10000;Total;Attending education/courses;Value;2022;0.22;7.01;19.13
249;Total male and female;10000;Total;Attending education/courses;Value;2023;0.23;7.16;19.41
250;Total male and female;10000;Total;Attending education/courses;Lower bound 95% confidence interval;1999;0.28;6.19;16.5
251;Total male and female;10000;Total;Attending education/courses;Lower bound 95% confidence interval;2000;0.28;6.31;16.72
252;Total male and female;10000;Total;Attending education/courses;Lower bound 95% confidence interval;2001;0.27;6.32;16.58
253;Total male and female;10000;Total;Attending education/courses;Lower bound 95% confidence interval;2002;0.27;6.33;16.62
254;Total male and female;10000;Total;Attending education/courses;Lower bound 95% confidence interval;2003;0.27;6.36;16.74
255;Total male and female;10000;Total;Attending education/courses;Lower bound 95% confidence interval;2004;0.28;6.26;16.61
256;Total male and female;10000;Total;Attending education/courses;Lower bound 95% confidence interval;2005;0.27;6.33;16.82
257;Total male and female;10000;Total;Attending education/courses;Lower bound 95% confidence interval;2006;0.28;6.29;16.9
258;Total male and female;10000;Total;Attending education/courses;Lower bound 95% confidence interval;2007;0.28;6.34;16.91
259;Total male and female;10000;Total;Attending education/courses;Lower bound 95% confidence interval;2008;0.28;6.3;16.82
260;Total male and female;10000;Total;Attending education/courses;Lower bound 95% confidence interval;2009;0.27;6.31;16.77
261;Total male and female;10000;Total;Attending education/courses;Lower bound 95% confidence interval;2010;0.29;6.43;16.95
262;Total male and female;10000;Total;Attending education/courses;Lower bound 95% confidence interval;2011;0.29;6.5;17.05
263;Total male and female;10000;Total;Attending education/courses;Lower bound 95% confidence interval;2012;0.28;6.59;17.33
264;Total male and female;10000;Total;Attending education/courses;Lower bound 95% confidence interval;2013;0.28;6.63;17.34
265;Total male and female;10000;Total;Attending education/courses;Lower bound 95% confidence interval;2014;0.28;6.74;17.63
266;Total male and female;10000;Total;Attending education/courses;Lower bound 95% confidence interval;2015;0.28;6.86;17.68
267;Total male and female;10000;Total;Attending education/courses;Lower bound 95% confidence interval;2016;0.28;6.9;17.86
268;Total male and female;10000;Total;Attending education/courses;Lower bound 95% confidence interval;2017;0.27;6.94;18.07
269;Total male and female;10000;Total;Attending education/courses;Lower bound 95% confidence interval;2018;0.28;7.03;18.13
270;Total male and female;10000;Total;Attending education/courses;Lower bound 95% confidence interval;2019;0.27;6.99;18.08
271;Total male and female;10000;Total;Attending education/courses;Lower bound 95% confidence interval;2020;0.16;6.33;17.61
272;Total male and female;10000;Total;Attending education/courses;Lower bound 95% confidence interval;2021;0.17;6.31;17.85
