ID;ProductsOfActivityAndOtherItems;Periods;TotalSupplyAtBasicPrices_1;DomesticOutput_2;Total_3;ImportsOfGoods_4;ImportsOfServices_5;TotalUseAtPurchaserSPrices_6;IntermediateConsumption_7;Total_8;HouseholdsAndNPISHs_9;GeneralGovernment_10;GrossFixedCapitalFormation_11;ChangesInInventoriesInclValuables_12;Total_13;ExportsOfGoods_14;ExportsOfServices_15;TotalSupplyAtBasicPrices_16;DomesticOutput_17;Total_18;ImportsOfGoods_19;ImportsOfServices_20;TotalUseAtPurchaserSPrices_21;IntermediateConsumption_22;Total_23;HouseholdsAndNPISHs_24;GeneralGovernment_25;GrossFixedCapitalFormation_26;ChangesInInventoriesInclValuables_27;Total_28;ExportsOfGoods_29;ExportsOfServices_30;TotalSupplyAtBasicPrices_31;DomesticOutput_32;Total_33;ImportsOfGoods_34;ImportsOfServices_35;TotalUseAtPurchaserSPrices_36;IntermediateConsumption_37;Total_38;HouseholdsAndNPISHs_39;GeneralGovernment_40;GrossFixedCapitalFormation_41;ChangesInInventoriesInclValuables_42;Total_43;ExportsOfGoods_44;ExportsOfServices_45;TotalSupplyAtBasicPrices_46;DomesticOutput_47;Total_48;ImportsOfGoods_49;ImportsOfServices_50;TotalUseAtPurchaserSPrices_51;IntermediateConsumption_52;Total_53;HouseholdsAndNPISHs_54;GeneralGovernment_55;GrossFixedCapitalFormation_56;ChangesInInventoriesInclValuables_57;Total_58;ExportsOfGoods_59;ExportsOfServices_60
124;23 Other non-metallic mineral products;2022;14392;8927;5465;5465;0;20330;13847;1574;1574;0;346;220;4343;4343;0;12721.0;7943.0;4778.0;4778.0;;18248.0;12315.0;1453.0;1453.0;;314.0;;3953.0;3953.0;;2.5;5.4;-2.0;-2.0;;2.0;1.8;-3.8;-3.8;;5.4;;7.0;7.0;;113.1;112.4;114.4;114.4;;111.4;112.4;108.3;108.3;;110.2;;109.9;109.9;
125;23 Other non-metallic mineral products;2023;14090;8634;5456;5456;0;19972;14800;1601;1601;0;311;-621;3881;3881;0;11082.0;6696.0;4383.0;4383.0;;16235.0;11738.0;1401.0;1401.0;;255.0;;3305.0;3305.0;;-12.9;-15.7;-8.3;-8.3;;-11.0;-4.7;-3.6;-3.6;;-18.8;;-16.4;-16.4;;127.1;129.0;124.5;124.5;;123.0;126.1;114.3;114.3;;122.0;;117.4;117.4;
126;24-25 Basic metals and metal products;2021;66042;34267;31775;31494;281;76316;41842;2464;2464;0;2377;1283;28350;27742;608;66042.0;34267.0;31775.0;31494.0;281.0;76316.0;41842.0;2464.0;2464.0;0.0;2377.0;;28350.0;27742.0;608.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;;100.0;100.0;100.0
127;24-25 Basic metals and metal products;2022;80884;40845;40039;39700;339;91708;49964;2618;2618;0;2842;786;35498;34683;815;66113.0;33769.0;32344.0;32038.0;306.0;76393.0;41544.0;2416.0;2416.0;;2474.0;;29208.0;28484.0;724.0;0.1;-1.5;1.8;1.7;8.9;0.1;-0.7;-1.9;-1.9;;4.1;;3.0;2.7;19.1;122.3;121.0;123.8;123.9;110.8;120.0;120.3;108.4;108.4;;114.9;;121.5;121.8;112.6
128;24-25 Basic metals and metal products;2023;72694;38345;34349;34004;345;83760;47927;2722;2722;0;2758;-392;30745;30042;703;63654.0;32686.0;30972.0;30656.0;318.0;73748.0;42019.0;2343.0;2343.0;;2417.0;;27240.0;26601.0;636.0;-3.7;-3.2;-4.2;-4.3;3.8;-3.5;1.1;-3.0;-3.0;;-2.3;;-6.7;-6.6;-12.1;114.2;117.3;110.9;110.9;108.6;113.6;114.1;116.2;116.2;;114.1;;112.9;112.9;110.5
129;24 Basic metals;2021;30706;10975;19731;19648;83;34330;16922;0;0;0;0;476;16932;16772;160;30706.0;10975.0;19731.0;19648.0;83.0;34330.0;16922.0;0.0;0.0;0.0;0.0;;16932.0;16772.0;160.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;;;;;100.0;100.0;100.0
130;24 Basic metals;2022;39437;13459;25978;25886;92;43216;20300;0;0;0;0;177;22739;22523;216;30492.0;10514.0;19978.0;19897.0;81.0;34065.0;15732.0;;;;;;18112.0;17919.0;193.0;-0.7;-4.2;1.3;1.3;-2.4;-0.8;-7.0;;;;;;7.0;6.8;20.6;129.3;128.0;130.0;130.1;113.6;126.9;129.0;;;;;;125.5;125.7;111.9
131;24 Basic metals;2023;32149;11366;20783;20704;79;35865;17555;0;0;0;0;30;18280;18095;185;28718.0;9627.0;19087.0;19007.0;81.0;32105.0;15628.0;;;;;;16385.0;16206.0;180.0;-5.8;-8.4;-4.5;-4.5;0.0;-5.8;-0.7;;;;;;-9.5;-9.6;-6.9;111.9;118.1;108.9;108.9;97.5;111.7;112.3;;;;;;111.6;111.7;103.0
132;25 Fabricated metal products, except..;2021;35336;23292;12044;11846;198;41986;24920;2464;2464;0;2377;807;11418;10970;448;35336.0;23292.0;12044.0;11846.0;198.0;41986.0;24920.0;2464.0;2464.0;0.0;2377.0;;11418.0;10970.0;448.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;;100.0;100.0;100.0
133;25 Fabricated metal products, except..;2022;41447;27386;14061;13814;247;48492;29664;2618;2618;0;2842;609;12759;12160;599;35621.0;23255.0;12366.0;12141.0;225.0;42328.0;25812.0;2416.0;2416.0;;2474.0;;11096.0;10565.0;531.0;0.8;-0.2;2.7;2.5;13.6;0.8;3.6;-1.9;-1.9;;4.1;;-2.8;-3.7;18.5;116.4;117.8;113.7;113.8;109.8;114.6;114.9;108.4;108.4;;114.9;;115.0;115.1;112.8
134;25 Fabricated metal products, except..;2023;40545;26979;13566;13300;266;47895;30372;2722;2722;0;2758;-422;12465;11947;518;35007.0;23107.0;11890.0;11654.0;237.0;41727.0;26425.0;2343.0;2343.0;;2417.0;;10901.0;10443.0;457.0;-1.7;-0.6;-3.8;-4.0;5.3;-1.4;2.4;-3.0;-3.0;;-2.3;;-1.8;-1.2;-14.0;115.8;116.8;114.1;114.1;112.3;114.8;114.9;116.2;116.2;;114.1;;114.3;114.4;113.5
135;26-27 Electrical and electronic products;2021;105951;24332;81619;81474;145;132901;28744;14415;12596;1819;11030;2342;76370;75970;400;105951.0;24332.0;81619.0;81474.0;145.0;132901.0;28744.0;14415.0;12596.0;1819.0;11030.0;;76370.0;75970.0;400.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;100.0;100.0
136;26-27 Electrical and electronic products;2022;124477;26603;97874;97705;169;153432;30632;15093;13145;1948;13512;2863;91332;90815;517;114164.0;24670.0;89494.0;89329.0;165.0;141660.0;28239.0;14452.0;12634.0;1818.0;12746.0;;83580.0;83075.0;505.0;7.8;1.4;9.6;9.6;13.8;6.6;-1.8;0.3;0.3;-0.1;15.6;;9.4;9.4;26.3;109.0;107.8;109.4;109.4;102.4;108.3;108.5;104.4;104.0;107.2;106.0;;109.3;109.3;102.4
137;26-27 Electrical and electronic products;2023;121294;27021;94273;94093;180;151177;31050;15635;13515;2120;12832;-562;92222;91770;452;110958.0;23813.0;87142.0;86962.0;182.0;138428.0;28679.0;14507.0;12526.0;1976.0;11859.0;;83901.0;83448.0;449.0;-2.8;-3.5;-2.6;-2.6;10.1;-2.3;1.6;0.4;-0.9;8.7;-7.0;;0.4;0.4;-11.0;109.3;113.5;108.2;108.2;99.1;109.2;108.3;107.8;107.9;107.3;108.2;;109.9;110.0;100.6
138;26 Computer, electronic and optical..;2021;74419;15575;58844;58704;140;94387;17235;8824;7058;1766;10217;1661;56450;56111;339;74419.0;15575.0;58844.0;58704.0;140.0;94387.0;17235.0;8824.0;7058.0;1766.0;10217.0;;56450.0;56111.0;339.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;100.0;100.0
139;26 Computer, electronic and optical..;2022;86310;17202;69108;68944;164;107618;17733;9459;7569;1890;12521;1787;66118;65687;431;79320.0;15907.0;63413.0;63253.0;160.0;99672.0;16556.0;9187.0;7425.0;1762.0;11835.0;;60452.0;60032.0;420.0;6.6;2.1;7.8;7.7;14.3;5.6;-3.9;4.1;5.2;-0.2;15.8;;7.1;7.0;23.9;108.8;108.1;109.0;109.0;102.5;108.0;107.1;103.0;101.9;107.3;105.8;;109.4;109.4;102.6
140;26 Computer, electronic and optical..;2023;82432;17337;65095;64920;175;104420;17357;9841;7782;2059;11861;-239;65600;65223;377;77106.0;15379.0;61726.0;61551.0;177.0;97533.0;16805.0;9435.0;7511.0;1918.0;11014.0;;60540.0;60157.0;380.0;-2.8;-3.3;-2.7;-2.7;10.4;-2.1;1.5;2.7;1.2;8.8;-6.9;;0.1;0.2;-9.5;106.9;112.7;105.5;105.5;99.1;107.1;103.3;104.3;103.6;107.4;107.7;;108.4;108.4;99.2
141;27 Electrical equipment;2021;31532;8757;22775;22770;5;38514;11509;5591;5538;53;813;681;19920;19859;61;31532.0;8757.0;22775.0;22770.0;5.0;38514.0;11509.0;5591.0;5538.0;53.0;813.0;;19920.0;19859.0;61.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;100.0;100.0
142;27 Electrical equipment;2022;38167;9401;28766;28761;5;45814;12899;5634;5576;58;991;1076;25214;25128;86;34844.0;8763.0;26081.0;26076.0;5.0;41988.0;11683.0;5265.0;5209.0;56.0;911.0;;23128.0;23043.0;85.0;10.5;0.1;14.5;14.5;0.0;9.0;1.5;-5.8;-5.9;5.7;12.1;;16.1;16.0;39.3;109.5;107.3;110.3;110.3;100.0;109.1;110.4;107.0;107.0;103.6;108.8;;109.0;109.0;101.2
143;27 Electrical equipment;2023;38862;9684;29178;29173;5;46757;13693;5794;5733;61;971;-323;26622;26547;75;33852.0;8434.0;25416.0;25411.0;5.0;40896.0;11873.0;5080.0;5022.0;58.0;846.0;;23362.0;23292.0;69.0;-2.8;-3.8;-2.6;-2.6;0.0;-2.6;1.6;-3.5;-3.6;3.4;-7.2;;1.0;1.1;-18.6;114.8;114.8;114.8;114.8;100.0;114.3;115.3;114.1;114.2;105.3;114.8;;114.0;114.0;108.4
144;28 Machinery and equipment n.e.c.;2021;75585;40052;35533;35372;161;85723;18003;823;823;0;11759;1756;53382;53061;321;75585.0;40052.0;35533.0;35372.0;161.0;85723.0;18003.0;823.0;823.0;0.0;11759.0;;53382.0;53061.0;321.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;;100.0;100.0;100.0
145;28 Machinery and equipment n.e.c.;2022;86035;46118;39917;39734;183;97375;22666;837;837;0;13487;1751;58634;58211;423;81069.0;44185.0;36884.0;36708.0;176.0;91819.0;21063.0;814.0;814.0;;12472.0;;55797.0;55390.0;407.0;7.3;10.3;3.8;3.8;9.3;7.1;17.0;-1.1;-1.1;;6.1;;4.5;4.4;26.8;106.1;104.4;108.2;108.2;104.0;106.1;107.6;102.8;102.8;;108.1;;105.1;105.1;103.9
146;28 Machinery and equipment n.e.c.;2023;95266;54018;41248;41056;192;107987;25815;875;875;0;15029;-362;66630;66261;369;85968.0;49344.0;36712.0;36530.0;183.0;97606.0;23040.0;829.0;829.0;;13251.0;;60803.0;60461.0;342.0;6.0;11.7;-0.5;-0.5;3.8;6.3;9.4;1.8;1.8;;6.2;;9.0;9.2;-16.1;110.8;109.5;112.4;112.4;105.1;110.6;112.0;105.6;105.6;;113.4;;109.6;109.6;108.0
147;29-30 Transport equipment;2021;53917;20736;33181;32965;216;66536;11433;12961;12954;7;13428;1066;27648;27259;389;53917.0;20736.0;33181.0;32965.0;216.0;66536.0;11433.0;12961.0;12954.0;7.0;13428.0;;27648.0;27259.0;389.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;100.0;100.0
148;29-30 Transport equipment;2022;60684;24330;36354;36113;241;74301;13280;13590;13584;6;14576;3545;29310;28788;522;57528.0;23183.0;34345.0;34110.0;235.0;70088.0;12721.0;12669.0;12662.0;7.0;13577.0;;27726.0;27216.0;510.0;6.7;11.8;3.5;3.5;8.8;5.3;11.3;-2.3;-2.3;0.0;1.1;;0.3;-0.2;31.1;105.5;104.9;105.8;105.9;102.6;106.0;104.4;107.3;107.3;85.7;107.4;;105.7;105.8;102.4
149;29-30 Transport equipment;2023;64182;25901;38281;38020;261;79079;14277;15238;15230;8;17789;-653;32428;32041;387;58114.0;23337.0;34776.0;34533.0;243.0;71633.0;13173.0;13630.0;13621.0;9.0;15925.0;;29400.0;29038.0;357.0;1.0;0.7;1.3;1.2;3.3;2.2;3.6;7.6;7.6;33.3;17.3;;6.0;6.7;-30.1;110.4;111.0;110.1;110.1;107.5;110.4;108.4;111.8;111.8;85.7;111.7;;110.3;110.3;108.5
150;29 Motor vehicles, trailers and..;2021;37101;12695;24406;24267;139;46744;9954;10224;10224;0;9045;528;16993;16797;196;37101.0;12695.0;24406.0;24267.0;139.0;46744.0;9954.0;10224.0;10224.0;0.0;9045.0;;16993.0;16797.0;196.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;;100.0;100.0;100.0
151;29 Motor vehicles, trailers and..;2022;42387;15407;26980;26824;156;52823;11408;10724;10724;0;9101;2734;18856;18595;261;40389.0;14568.0;25821.0;25669.0;152.0;49986.0;10980.0;9973.0;9973.0;;8563.0;;17844.0;17589.0;255.0;8.9;14.8;5.8;5.8;9.4;6.9;10.3;-2.5;-2.5;;-5.3;;5.0;4.7;30.1;104.9;105.8;104.5;104.5;102.6;105.7;103.9;107.5;107.5;;106.3;;105.7;105.7;102.4
152;29 Motor vehicles, trailers and..;2023;46504;17327;29177;29011;166;58279;12469;12179;12179;0;12497;-372;21506;21335;171;42184.0;15432.0;26749.0;26596.0;153.0;52899.0;11535.0;10848.0;10848.0;;11322.0;;19465.0;19308.0;153.0;4.4;5.9;3.6;3.6;0.6;5.8;5.1;8.8;8.8;;32.2;;9.1;9.8;-39.8;110.2;112.3;109.1;109.1;108.5;110.2;108.1;112.3;112.3;;110.4;;110.5;110.5;111.5
153;30 Other transport equipment;2021;16816;8041;8775;8698;77;19792;1479;2737;2730;7;4383;538;10655;10462;193;16816.0;8041.0;8775.0;8698.0;77.0;19792.0;1479.0;2737.0;2730.0;7.0;4383.0;;10655.0;10462.0;193.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;100.0;100.0
154;30 Other transport equipment;2022;18297;8923;9374;9289;85;21478;1872;2866;2860;6;5475;811;10454;10193;261;17139.0;8615.0;8524.0;8441.0;83.0;20102.0;1741.0;2696.0;2689.0;7.0;5014.0;;9882.0;9627.0;255.0;1.9;7.1;-2.9;-3.0;7.8;1.6;17.7;-1.5;-1.5;0.0;14.4;;-7.3;-8.0;32.1;106.8;103.6;110.0;110.0;102.4;106.8;107.5;106.3;106.4;85.7;109.2;;105.8;105.9;102.4
155;30 Other transport equipment;2023;17678;8574;9104;9009;95;20800;1808;3059;3051;8;5292;-281;10922;10706;216;15953.0;7889.0;8057.0;7968.0;90.0;18754.0;1643.0;2781.0;2772.0;9.0;4638.0;;9936.0;9731.0;203.0;-6.9;-8.4;-5.5;-5.6;8.2;-6.7;-5.6;3.1;3.1;33.3;-7.5;;0.5;1.1;-20.3;110.8;108.7;113.0;113.1;105.7;110.9;110.0;110.0;110.1;85.7;114.1;;109.9;110.0;106.3
156;31-33 Other manufactured goods, repair;2021;55268;25929;29339;25888;3451;69304;21053;14054;14054;0;4760;744;28693;24496;4197;55268.0;25929.0;29339.0;25888.0;3451.0;69304.0;21053.0;14054.0;14054.0;0.0;4760.0;;28693.0;24496.0;4197.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;;100.0;100.0;100.0
157;31-33 Other manufactured goods, repair;2022;64895;30200;34695;30716;3979;80355;22953;15211;15211;0;5500;1090;35601;28829;6772;59963.0;28300.0;31663.0;27865.0;3798.0;74326.0;21457.0;14050.0;14050.0;;4894.0;;32916.0;26543.0;6373.0;8.5;9.1;7.9;7.6;10.1;7.2;1.9;0.0;0.0;;2.8;;14.7;8.4;51.8;108.2;106.7;109.6;110.2;104.8;108.1;107.0;108.3;108.3;;112.4;;108.2;108.6;106.3
158;31-33 Other manufactured goods, repair;2023;67075;33143;33932;30026;3906;83018;24141;15741;15741;0;5201;-110;38045;29665;8380;59265.0;29169.0;30128.0;26629.0;3493.0;73460.0;21353.0;13812.0;13812.0;;4281.0;;34135.0;26754.0;7398.0;-1.2;3.1;-4.8;-4.4;-8.0;-1.2;-0.5;-1.7;-1.7;;-12.5;;3.7;0.8;16.1;113.2;113.6;112.6;112.8;111.8;113.0;113.1;114.0;114.0;;121.5;;111.5;110.9;113.3
159;31-32 Furniture, other manufacturing;2021;33697;7541;26156;25888;268;47459;3713;13940;13940;0;4435;744;24627;24496;131;33697.0;7541.0;26156.0;25888.0;268.0;47459.0;3713.0;13940.0;13940.0;0.0;4435.0;;24627.0;24496.0;131.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;;100.0;100.0;100.0
160;31-32 Furniture, other manufacturing;2022;39402;8407;30995;30716;279;54592;4208;15085;15085;0;5174;1090;29035;28829;206;35957.0;7821.0;28136.0;27865.0;271.0;50066.0;3809.0;13931.0;13931.0;;4574.0;;26743.0;26543.0;200.0;6.7;3.7;7.6;7.6;1.1;5.5;2.6;-0.1;-0.1;;3.1;;8.6;8.4;52.7;109.6;107.5;110.2;110.2;103.0;109.0;110.5;108.3;108.3;;113.1;;108.6;108.6;103.0
161;31-32 Furniture, other manufacturing;2023;38812;8493;30319;30026;293;54452;4314;15615;15615;0;4837;-157;29843;29665;178;34270.0;7367.0;26901.0;26629.0;272.0;48193.0;3770.0;13701.0;13701.0;;3953.0;;26921.0;26754.0;165.0;-4.7;-5.8;-4.4;-4.4;0.4;-3.7;-1.0;-1.7;-1.7;;-13.6;;0.7;0.8;-17.5;113.3;115.3;112.7;112.8;107.7;113.0;114.4;114.0;114.0;;122.4;;110.9;110.9;107.8
162;31 Furniture;2021;11158;4472;6686;6542;144;16716;1699;7784;7784;0;3916;278;3039;3039;0;11158.0;4472.0;6686.0;6542.0;144.0;16716.0;1699.0;7784.0;7784.0;0.0;3916.0;;3039.0;3039.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;;100.0;100.0;
163;31 Furniture;2022;12283;4931;7352;7187;165;18117;1869;8301;8301;0;4516;258;3173;3173;0;10867.0;4354.0;6513.0;6353.0;160.0;16212.0;1712.0;7459.0;7459.0;;3976.0;;2829.0;2829.0;;-2.6;-2.6;-2.6;-2.9;11.1;-3.0;0.8;-4.2;-4.2;;1.5;;-6.9;-6.9;;113.0;113.3;112.9;113.1;103.1;111.8;109.2;111.3;111.3;;113.6;;112.2;112.2;
164;31 Furniture;2023;11480;4768;6712;6540;172;17235;1915;8496;8496;0;4160;-180;2844;2844;0;9441.0;3809.0;5632.0;5475.0;158.0;14441.0;1649.0;7118.0;7118.0;;3355.0;;2474.0;2474.0;;-13.1;-12.5;-13.5;-13.8;-1.2;-10.9;-3.7;-4.6;-4.6;;-15.6;;-12.5;-12.5;;121.6;125.2;119.2;119.4;108.8;119.3;116.1;119.4;119.4;;124.0;;114.9;114.9;
165;32 Other manufactured goods;2021;22539;3069;19470;19346;124;30743;2014;6156;6156;0;519;466;21588;21457;131;22539.0;3069.0;19470.0;19346.0;124.0;30743.0;2014.0;6156.0;6156.0;0.0;519.0;;21588.0;21457.0;131.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;;100.0;100.0;100.0
166;32 Other manufactured goods;2022;27119;3476;23643;23529;114;36475;2339;6784;6784;0;658;832;25862;25656;206;25090.0;3467.0;21623.0;21512.0;111.0;33854.0;2097.0;6472.0;6472.0;;598.0;;23914.0;23714.0;200.0;11.3;13.0;11.1;11.2;-10.5;10.1;4.1;5.1;5.1;;15.2;;10.8;10.5;52.7;108.1;100.3;109.3;109.4;102.7;107.7;111.5;104.8;104.8;;110.0;;108.1;108.2;103.0
167;32 Other manufactured goods;2023;27332;3725;23607;23486;121;37217;2399;7119;7119;0;677;23;26999;26821;178;24871.0;3596.0;21288.0;21175.0;114.0;33796.0;2120.0;6596.0;6596.0;;600.0;;24460.0;24294.0;165.0;-0.9;3.7;-1.5;-1.6;2.6;-0.2;1.1;1.9;1.9;;0.3;;2.3;2.4;-17.5;109.9;103.6;110.9;110.9;106.2;110.1;113.1;107.9;107.9;;112.9;;110.4;110.4;107.8
168;33 Repair and installation services..;2021;21571;18388;3183;0;3183;21845;17340;114;114;0;325;0;4066;0;4066;21571.0;18388.0;3183.0;0.0;3183.0;21845.0;17340.0;114.0;114.0;0.0;325.0;;4066.0;0.0;4066.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;;100.0;;100.0;;100.0
169;33 Repair and installation services..;2022;25493;21793;3700;0;3700;25763;18745;126;126;0;326;0;6566;0;6566;24006.0;20479.0;3527.0;;3527.0;24260.0;17648.0;119.0;119.0;;320.0;;6173.0;;6173.0;11.3;11.4;10.8;;10.8;11.1;1.8;4.4;4.4;;-1.5;;51.8;;51.8;106.2;106.4;104.9;;104.9;106.2;106.2;105.9;105.9;;101.9;;106.4;;106.4
170;33 Repair and installation services..;2023;28263;24650;3613;0;3613;28566;19827;126;126;0;364;47;8202;0;8202;25036.0;21809.0;3221.0;;3221.0;25301.0;17584.0;110.0;110.0;;334.0;;7231.0;;7231.0;4.3;6.5;-8.7;;-8.7;4.3;-0.4;-7.1;-7.1;;4.3;;17.1;;17.1;112.9;113.0;112.2;;112.2;112.9;112.8;114.0;114.0;;109.1;;113.4;;113.4
171;D Electricity and gas supply;2021;19298;17656;1642;1642;0;24497;14929;7828;7814;14;208;0;1532;1532;0;19298.0;17656.0;1642.0;1642.0;0.0;24497.0;14929.0;7828.0;7814.0;14.0;208.0;;1532.0;1532.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;100.0;
172;D Electricity and gas supply;2022;37126;34410;2716;2716;0;42943;29175;9363;9347;16;396;0;4009;4009;0;20792.0;19344.0;1448.0;1448.0;;26177.0;16387.0;7955.0;7940.0;15.0;168.0;;1667.0;1667.0;;7.7;9.6;-11.8;-11.8;;6.9;9.8;1.6;1.6;7.1;-19.2;;8.8;8.8;;178.6;177.9;187.6;187.6;;164.0;178.0;117.7;117.7;106.7;235.7;;240.5;240.5;
173;D Electricity and gas supply;2023;38304;35540;2764;2764;0;43096;27282;11870;11853;17;342;0;3602;3602;0;20476.0;18962.0;1510.0;1510.0;;25730.0;15805.0;7846.0;7832.0;14.0;169.0;;1845.0;1845.0;;-1.5;-2.0;4.3;4.3;;-1.7;-3.6;-1.4;-1.4;-6.3;0.8;;10.7;10.7;;187.1;187.4;183.1;183.1;;167.5;172.6;151.3;151.3;120.9;202.0;;195.3;195.3;
174;35 Electricity, gas, steam and air..;2021;19298;17656;1642;1642;0;24497;14929;7828;7814;14;208;0;1532;1532;0;19298.0;17656.0;1642.0;1642.0;0.0;24497.0;14929.0;7828.0;7814.0;14.0;208.0;;1532.0;1532.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;100.0;100.0;;100.0;100.0;
175;35 Electricity, gas, steam and air..;2022;37126;34410;2716;2716;0;42943;29175;9363;9347;16;396;0;4009;4009;0;20792.0;19344.0;1448.0;1448.0;;26177.0;16387.0;7955.0;7940.0;15.0;168.0;;1667.0;1667.0;;7.7;9.6;-11.8;-11.8;;6.9;9.8;1.6;1.6;7.1;-19.2;;8.8;8.8;;178.6;177.9;187.6;187.6;;164.0;178.0;117.7;117.7;106.7;235.7;;240.5;240.5;
176;35 Electricity, gas, steam and air..;2023;38304;35540;2764;2764;0;43096;27282;11870;11853;17;342;0;3602;3602;0;20476.0;18962.0;1510.0;1510.0;;25730.0;15805.0;7846.0;7832.0;14.0;169.0;;1845.0;1845.0;;-1.5;-2.0;4.3;4.3;;-1.7;-3.6;-1.4;-1.4;-6.3;0.8;;10.7;10.7;;187.1;187.4;183.1;183.1;;167.5;172.6;151.3;151.3;120.9;202.0;;195.3;195.3;
177;E Water supply and waste management;2021;23716;19301;4415;4062;353;24985;10714;7618;3652;3966;0;65;6588;6186;402;23716.0;19301.0;4415.0;4062.0;353.0;24985.0;10714.0;7618.0;3652.0;3966.0;0.0;;6588.0;6186.0;402.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;;100.0;100.0;100.0
178;E Water supply and waste management;2022;25568;20466;5102;4724;378;26810;11894;8004;3745;4259;0;-59;6971;6522;449;22602.0;18589.0;4013.0;3642.0;371.0;23832.0;10637.0;7816.0;3673.0;4143.0;;;5421.0;4982.0;439.0;-4.7;-3.7;-9.1;-10.3;5.1;-4.6;-0.7;2.6;0.6;4.5;;;-17.7;-19.5;9.2;113.1;110.1;127.1;129.7;101.9;112.5;111.8;102.4;102.0;102.8;;;128.6;130.9;102.3
179;E Water supply and waste management;2023;24932;20641;4291;3874;417;26232;11770;8615;4018;4597;0;6;5841;5439;402;21736.0;18222.0;3560.0;3178.0;397.0;22941.0;10341.0;7792.0;3581.0;4210.0;;;4870.0;4492.0;374.0;-3.8;-2.0;-11.3;-12.7;6.9;-3.7;-2.8;-0.3;-2.5;1.6;;;-10.2;-9.8;-14.7;114.7;113.3;120.5;121.9;105.2;114.3;113.8;110.6;112.2;109.2;;;119.9;121.1;107.4
180;"36 Natural water; water treatment and..";2021;1637;1625;12;12;0;2083;540;1543;1543;0;0;0;0;0;0;1637.0;1625.0;12.0;12.0;0.0;2083.0;540.0;1543.0;1543.0;0.0;0.0;;0.0;0.0;0.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;;100.0;100.0;100.0;100.0;;;;;;
181;"36 Natural water; water treatment and..";2022;1685;1672;13;13;0;2120;556;1564;1564;0;0;0;0;0;0;1634.0;1621.0;13.0;13.0;;2078.0;531.0;1547.0;1547.0;;;;;;;-0.2;-0.2;8.3;8.3;;-0.2;-1.7;0.3;0.3;;;;;;;103.1;103.1;100.0;100.0;;102.0;104.7;101.1;101.1;;;;;;
182;"36 Natural water; water treatment and..";2023;1905;1895;10;10;0;2365;600;1765;1765;0;0;0;0;0;0;1571.0;1565.0;6.0;6.0;;2000.0;501.0;1499.0;1499.0;;;;;;;-3.9;-3.5;-53.8;-53.8;;-3.8;-5.6;-3.1;-3.1;;;;;;;121.3;121.1;166.7;166.7;;118.3;119.7;117.8;117.8;;;;;;
183;37-39 Waste management;2021;22079;17676;4403;4050;353;22902;10174;6075;2109;3966;0;65;6588;6186;402;22079.0;17676.0;4403.0;4050.0;353.0;22902.0;10174.0;6075.0;2109.0;3966.0;0.0;;6588.0;6186.0;402.0;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;;;100.0;100.0;100.0
