ID;RegionAndCompanyCharacteristics;Periods;PronouncedBankruptciesCompanies_1;k_0105AgricultureHuntingFishing_2;k_1037ManufacturingMiningQuarrying_3;k_45Construction_4;k_5052RepairOfConsumerGoodsAndTrade_5;k_55HotelsAndRestaurants_6;k_6064TransportStorageCommunication_7;k_6567FinancialIntermediation_8;k_7075BusinessIntermediation_9;k_80EducationAndOthers_10;OtherUnknownEconomicActivity_11
232;Province of Noord-Holland;1997;858.0;9.0;73.0;97.0;280.0;65.0;59.0;46.0;163.0;60.0;6.0
233;Province of Noord-Holland;1998;755.0;7.0;72.0;75.0;258.0;64.0;33.0;35.0;143.0;67.0;1.0
234;Province of Noord-Holland;1999;583.0;2.0;61.0;77.0;168.0;32.0;45.0;35.0;125.0;35.0;3.0
235;Province of Noord-Holland;2000;583.0;3.0;53.0;76.0;158.0;31.0;43.0;42.0;141.0;33.0;3.0
236;Province of Noord-Holland;2001;799.0;8.0;58.0;90.0;218.0;37.0;64.0;55.0;216.0;47.0;6.0
237;Province of Noord-Holland;2002;817.0;4.0;74.0;63.0;182.0;31.0;42.0;78.0;290.0;49.0;4.0
238;Province of Noord-Holland;2003;1054.0;18.0;92.0;128.0;227.0;59.0;49.0;102.0;315.0;55.0;9.0
239;Province of Noord-Holland;2004;1063.0;15.0;108.0;127.0;252.0;58.0;56.0;118.0;259.0;64.0;6.0
240;Province of Noord-Holland;2005;1145.0;11.0;94.0;124.0;276.0;90.0;71.0;132.0;262.0;71.0;14.0
241;Province of Noord-Holland;2006;996.0;8.0;67.0;133.0;224.0;100.0;63.0;106.0;216.0;75.0;4.0
242;Province of Noord-Holland;2007;758.0;6.0;55.0;85.0;165.0;62.0;47.0;69.0;200.0;68.0;1.0
243;Province of Noord-Holland;2008;830.0;7.0;70.0;99.0;191.0;42.0;42.0;87.0;231.0;59.0;2.0
244;Province of Noord-Holland;2009;1336.0;22.0;120.0;177.0;303.0;47.0;65.0;128.0;370.0;104.0;0.0
245;Province of Noord-Holland;2010;1181.0;22.0;95.0;161.0;285.0;56.0;60.0;128.0;282.0;92.0;0.0
246;Province of Noord-Holland;2011;1239.0;29.0;104.0;168.0;255.0;82.0;55.0;131.0;320.0;94.0;1.0
247;Province of Zuid-Holland;1993;1335.0;58.0;148.0;186.0;371.0;79.0;103.0;86.0;231.0;52.0;21.0
248;Province of Zuid-Holland;1994;1360.0;62.0;150.0;193.0;398.0;70.0;108.0;66.0;239.0;67.0;7.0
249;Province of Zuid-Holland;1995;1258.0;57.0;101.0;160.0;387.0;89.0;97.0;52.0;251.0;50.0;14.0
250;Province of Zuid-Holland;1996;1097.0;36.0;114.0;162.0;326.0;68.0;91.0;38.0;212.0;41.0;9.0
251;Province of Zuid-Holland;1997;1073.0;35.0;89.0;139.0;323.0;78.0;102.0;56.0;180.0;62.0;9.0
252;Province of Zuid-Holland;1998;947.0;21.0;80.0;128.0;279.0;69.0;78.0;50.0;183.0;54.0;5.0
253;Province of Zuid-Holland;1999;734.0;18.0;66.0;103.0;241.0;42.0;57.0;28.0;150.0;26.0;3.0
254;Province of Zuid-Holland;2000;814.0;17.0;76.0;143.0;226.0;39.0;73.0;42.0;137.0;50.0;11.0
255;Province of Zuid-Holland;2001;964.0;16.0;61.0;166.0;265.0;33.0;85.0;42.0;242.0;51.0;3.0
256;Province of Zuid-Holland;2002;1166.0;34.0;91.0;168.0;276.0;44.0;101.0;99.0;289.0;58.0;6.0
257;Province of Zuid-Holland;2003;1448.0;43.0;154.0;219.0;299.0;48.0;121.0;139.0;365.0;50.0;10.0
258;Province of Zuid-Holland;2004;1533.0;85.0;126.0;208.0;394.0;54.0;80.0;159.0;359.0;60.0;8.0
259;Province of Zuid-Holland;2005;1544.0;52.0;96.0;202.0;377.0;94.0;113.0;149.0;369.0;72.0;20.0
260;Province of Zuid-Holland;2006;1413.0;71.0;86.0;184.0;320.0;112.0;94.0;109.0;349.0;74.0;14.0
261;Province of Zuid-Holland;2007;950.0;23.0;60.0;134.0;245.0;73.0;52.0;91.0;215.0;57.0;0.0
262;Province of Zuid-Holland;2008;891.0;22.0;59.0;132.0;220.0;48.0;61.0;78.0;220.0;49.0;2.0
263;Province of Zuid-Holland;2009;1560.0;39.0;129.0;191.0;354.0;64.0;116.0;141.0;430.0;96.0;0.0
264;Province of Zuid-Holland;2010;1511.0;46.0;176.0;227.0;322.0;57.0;101.0;116.0;353.0;113.0;0.0
265;Province of Zuid-Holland;2011;1474.0;30.0;122.0;214.0;362.0;76.0;73.0;118.0;389.0;90.0;0.0
266;Province of Zeeland;1993;90.0;1.0;14.0;16.0;28.0;6.0;9.0;6.0;5.0;4.0;1.0
267;Province of Zeeland;1994;81.0;3.0;10.0;12.0;26.0;8.0;9.0;7.0;3.0;3.0;0.0
268;Province of Zeeland;1995;66.0;3.0;9.0;9.0;19.0;11.0;4.0;2.0;7.0;2.0;0.0
269;Province of Zeeland;1996;87.0;2.0;11.0;12.0;25.0;8.0;7.0;3.0;10.0;7.0;2.0
270;Province of Zeeland;1997;83.0;3.0;11.0;6.0;23.0;6.0;9.0;5.0;14.0;6.0;0.0
271;Province of Zeeland;1998;65.0;2.0;11.0;8.0;20.0;7.0;5.0;1.0;9.0;2.0;0.0
272;Province of Zeeland;1999;53.0;0.0;8.0;10.0;18.0;5.0;3.0;1.0;6.0;2.0;0.0
273;Province of Zeeland;2000;53.0;2.0;3.0;12.0;14.0;6.0;6.0;0.0;8.0;2.0;0.0
274;Province of Zeeland;2001;53.0;0.0;6.0;8.0;14.0;4.0;5.0;3.0;8.0;4.0;1.0
275;Province of Zeeland;2002;60.0;4.0;8.0;3.0;14.0;6.0;5.0;10.0;8.0;2.0;0.0
276;Province of Zeeland;2003;67.0;2.0;3.0;8.0;20.0;3.0;8.0;6.0;13.0;3.0;1.0
277;Province of Zeeland;2004;73.0;4.0;6.0;10.0;8.0;7.0;4.0;13.0;19.0;2.0;0.0
278;Province of Zeeland;2005;75.0;5.0;5.0;11.0;11.0;4.0;14.0;10.0;11.0;2.0;2.0
279;Province of Zeeland;2006;60.0;3.0;6.0;9.0;8.0;10.0;6.0;7.0;9.0;2.0;0.0
280;Province of Zeeland;2007;50.0;3.0;10.0;9.0;12.0;2.0;3.0;6.0;4.0;1.0;0.0
281;Province of Zeeland;2008;60.0;0.0;3.0;8.0;20.0;6.0;2.0;5.0;9.0;6.0;1.0
282;Province of Zeeland;2009;93.0;1.0;8.0;11.0;33.0;5.0;7.0;11.0;13.0;4.0;0.0
283;Province of Zeeland;2010;104.0;0.0;12.0;12.0;25.0;8.0;10.0;8.0;22.0;7.0;0.0
284;Province of Zeeland;2011;85.0;3.0;3.0;15.0;23.0;11.0;7.0;10.0;11.0;2.0;0.0
285;Province of Noord-Brabant;1993;856.0;18.0;133.0;119.0;256.0;45.0;49.0;61.0;138.0;26.0;11.0
286;Province of Noord-Brabant;1994;794.0;12.0;135.0;127.0;255.0;46.0;43.0;38.0;109.0;27.0;2.0
287;Province of Noord-Brabant;1995;697.0;10.0;99.0;98.0;202.0;53.0;31.0;30.0;135.0;25.0;14.0
288;Province of Noord-Brabant;1996;687.0;5.0;99.0;100.0;226.0;46.0;28.0;33.0;116.0;29.0;5.0
289;Province of Noord-Brabant;1997;591.0;6.0;100.0;78.0;186.0;38.0;46.0;26.0;88.0;15.0;8.0
290;Province of Noord-Brabant;1998;609.0;6.0;94.0;102.0;167.0;40.0;40.0;24.0;98.0;37.0;1.0
291;Province of Noord-Brabant;1999;512.0;15.0;81.0;80.0;162.0;19.0;27.0;19.0;89.0;20.0;0.0
292;Province of Noord-Brabant;2000;558.0;3.0;90.0;87.0;142.0;27.0;40.0;21.0;114.0;30.0;4.0
293;Province of Noord-Brabant;2001;624.0;2.0;114.0;108.0;135.0;29.0;32.0;30.0;142.0;26.0;6.0
294;Province of Noord-Brabant;2002;820.0;4.0;121.0;116.0;181.0;30.0;50.0;68.0;210.0;35.0;5.0
295;Province of Noord-Brabant;2003;993.0;9.0;123.0;141.0;212.0;35.0;72.0;116.0;249.0;32.0;4.0
296;Province of Noord-Brabant;2004;1105.0;21.0;153.0;161.0;269.0;59.0;50.0;118.0;220.0;50.0;4.0
297;Province of Noord-Brabant;2005;1084.0;10.0;127.0;151.0;239.0;56.0;61.0;145.0;235.0;52.0;8.0
298;Province of Noord-Brabant;2006;995.0;11.0;115.0;120.0;247.0;73.0;69.0;103.0;207.0;41.0;9.0
299;Province of Noord-Brabant;2007;757.0;8.0;92.0;106.0;210.0;35.0;25.0;87.0;162.0;30.0;2.0
300;Province of Noord-Brabant;2008;780.0;6.0;90.0;103.0;221.0;33.0;48.0;82.0;148.0;48.0;1.0
301;Province of Noord-Brabant;2009;1410.0;22.0;181.0;150.0;374.0;61.0;79.0;144.0;338.0;61.0;0.0
302;Province of Noord-Brabant;2010;1212.0;14.0;149.0;214.0;304.0;59.0;60.0;78.0;287.0;47.0;0.0
303;Province of Noord-Brabant;2011;1263.0;18.0;163.0;214.0;245.0;66.0;62.0;105.0;293.0;94.0;3.0
304;Province of Limburg;1993;306.0;14.0;58.0;45.0;84.0;26.0;29.0;9.0;32.0;8.0;1.0
305;Province of Limburg;1994;296.0;6.0;37.0;47.0;73.0;35.0;26.0;12.0;44.0;15.0;1.0
306;Province of Limburg;1995;299.0;7.0;41.0;37.0;103.0;18.0;22.0;12.0;43.0;14.0;2.0
307;Province of Limburg;1996;271.0;6.0;36.0;48.0;67.0;25.0;28.0;4.0;42.0;14.0;1.0
308;Province of Limburg;1997;250.0;7.0;34.0;29.0;78.0;17.0;16.0;16.0;39.0;8.0;6.0
309;Province of Limburg;1998;233.0;3.0;30.0;28.0;78.0;22.0;23.0;6.0;32.0;10.0;1.0
310;Province of Limburg;1999;204.0;7.0;33.0;33.0;42.0;13.0;10.0;18.0;40.0;7.0;1.0
311;Province of Limburg;2000;232.0;5.0;45.0;33.0;43.0;14.0;14.0;11.0;57.0;9.0;1.0
312;Province of Limburg;2001;275.0;10.0;42.0;48.0;58.0;11.0;22.0;17.0;51.0;13.0;3.0
313;Province of Limburg;2002;254.0;6.0;40.0;38.0;46.0;8.0;22.0;19.0;64.0;9.0;2.0
314;Province of Limburg;2003;359.0;7.0;71.0;55.0;69.0;24.0;25.0;30.0;68.0;8.0;2.0
315;Province of Limburg;2004;377.0;12.0;48.0;57.0;85.0;27.0;27.0;39.0;63.0;13.0;6.0
316;Province of Limburg;2005;439.0;19.0;39.0;49.0;109.0;26.0;51.0;32.0;84.0;28.0;2.0
317;Province of Limburg;2006;366.0;9.0;34.0;43.0;93.0;33.0;36.0;34.0;64.0;17.0;3.0
318;Province of Limburg;2007;278.0;16.0;33.0;44.0;50.0;26.0;27.0;26.0;42.0;14.0;0.0
319;Province of Limburg;2008;301.0;7.0;22.0;44.0;77.0;14.0;35.0;23.0;56.0;22.0;1.0
320;Province of Limburg;2009;503.0;14.0;99.0;58.0;107.0;28.0;42.0;39.0;92.0;24.0;0.0
321;Province of Limburg;2010;438.0;15.0;58.0;89.0;89.0;26.0;44.0;26.0;73.0;16.0;2.0
322;Province of Limburg;2011;439.0;16.0;36.0;59.0;98.0;45.0;39.0;33.0;89.0;24.0;0.0
323;Single-owner company;1993;2148.0;102.0;213.0;348.0;701.0;240.0;110.0;19.0;283.0;110.0;22.0
324;Single-owner company;1994;2173.0;91.0;222.0;339.0;736.0;243.0;112.0;21.0;279.0;119.0;11.0
325;Single-owner company;1995;2011.0;75.0;167.0;298.0;699.0;261.0;118.0;29.0;248.0;108.0;8.0
326;Single-owner company;1996;1899.0;48.0;160.0;328.0;646.0;235.0;101.0;17.0;258.0;89.0;17.0
327;Single-owner company;1997;1728.0;51.0;160.0;281.0;575.0;225.0;99.0;18.0;201.0;109.0;9.0
328;Single-owner company;1998;1545.0;32.0;143.0;280.0;506.0;197.0;82.0;22.0;186.0;96.0;1.0
329;Single-owner company;1999;925.0;30.0;72.0;204.0;273.0;90.0;63.0;10.0;130.0;49.0;4.0
330;Single-owner company;2000;958.0;26.0;66.0;242.0;257.0;109.0;58.0;12.0;128.0;53.0;7.0
331;Single-owner company;2001;997.0;24.0;67.0;286.0;265.0;89.0;57.0;8.0;149.0;44.0;8.0
332;Single-owner company;2002;878.0;27.0;63.0;246.0;239.0;66.0;57.0;11.0;129.0;33.0;7.0
333;Single-owner company;2003;1151.0;41.0;87.0;349.0;260.0;111.0;80.0;20.0;150.0;47.0;6.0
334;Single-owner company;2004;1381.0;61.0;79.0;361.0;370.0;120.0;82.0;15.0;190.0;85.0;18.0
335;Single-owner company;2005;1697.0;54.0;100.0;416.0;434.0;153.0;105.0;14.0;294.0;91.0;36.0
336;Single-owner company;2006;1713.0;78.0;78.0;333.0;441.0;279.0;112.0;18.0;257.0;88.0;29.0
337;Single-owner company;2007;1013.0;20.0;55.0;249.0;264.0;150.0;55.0;12.0;153.0;49.0;6.0
338;Single-owner company;2008;795.0;21.0;48.0;223.0;226.0;85.0;37.0;5.0;114.0;35.0;1.0
339;Single-owner company;2009;1045.0;29.0;81.0;308.0;286.0;86.0;59.0;10.0;133.0;53.0;0.0
340;Single-owner company;2010;985.0;29.0;67.0;297.0;247.0;105.0;37.0;7.0;146.0;50.0;0.0
341;Single-owner company;2011;964.0;36.0;39.0;253.0;250.0;117.0;61.0;8.0;127.0;73.0;0.0
342;Private company;1993;2899.0;34.0;528.0;302.0;819.0;57.0;185.0;305.0;566.0;66.0;37.0
343;Private company;1994;2598.0;30.0;433.0;297.0;735.0;56.0;170.0;245.0;554.0;65.0;13.0
344;Private company;1995;2278.0;25.0;318.0;238.0;681.0;76.0;120.0;179.0;547.0;55.0;39.0
345;Private company;1996;2144.0;26.0;328.0;233.0;682.0;66.0;145.0;142.0;434.0;73.0;15.0
346;Private company;1997;2200.0;27.0;318.0;214.0;646.0;67.0;178.0;184.0;465.0;79.0;22.0
347;Private company;1998;2016.0;21.0;290.0;233.0;580.0;64.0;151.0;150.0;437.0;85.0;5.0
348;Private company;1999;1983.0;25.0;282.0;215.0;611.0;61.0;144.0;133.0;450.0;55.0;7.0
349;Private company;2000;2272.0;25.0;332.0;240.0;614.0;61.0;173.0;177.0;548.0;89.0;13.0
350;Private company;2001;2944.0;29.0;407.0;305.0;718.0;73.0;214.0;217.0;850.0;114.0;17.0
351;Private company;2002;3700.0;35.0;499.0;325.0;818.0;72.0;219.0;425.0;1152.0;145.0;10.0
352;Private company;2003;4687.0;67.0;680.0;460.0;957.0;110.0;270.0;595.0;1382.0;141.0;25.0
353;Private company;2004;4589.0;105.0;613.0;417.0;1040.0;139.0;234.0;698.0;1188.0;144.0;11.0
354;Private company;2005;4420.0;64.0;500.0;427.0;1007.0;165.0;317.0;695.0;1066.0;159.0;20.0
355;Private company;2006;3638.0;49.0;393.0;379.0;857.0;149.0;247.0;522.0;902.0;130.0;10.0
356;Private company;2007;3183.0;52.0;375.0;332.0;797.0;115.0;162.0;413.0;774.0;163.0;0.0
357;Private company;2008;3402.0;49.0;351.0;366.0;872.0;117.0;224.0;428.0;838.0;157.0;0.0
358;Private company;2009;6299.0;99.0;792.0;618.0;1478.0;171.0;365.0;774.0;1707.0;295.0;0.0
359;Private company;2010;5600.0;79.0;775.0;759.0;1252.0;189.0;342.0;544.0;1377.0;280.0;3.0
360;Private company;2011;5554.0;90.0;701.0;772.0;1186.0;234.0;286.0;574.0;1443.0;261.0;7.0
361;Partnership firm;1993;197.0;9.0;30.0;30.0;51.0;23.0;21.0;3.0;18.0;10.0;2.0
362;Partnership firm;1994;251.0;11.0;35.0;31.0;86.0;33.0;25.0;1.0;21.0;7.0;1.0
363;Partnership firm;1995;239.0;14.0;29.0;30.0;84.0;33.0;21.0;1.0;20.0;7.0;0.0
364;Partnership firm;1996;226.0;6.0;26.0;36.0;74.0;27.0;20.0;3.0;28.0;6.0;0.0
365;Partnership firm;1997;251.0;9.0;35.0;46.0;89.0;25.0;25.0;3.0;11.0;7.0;1.0
366;Partnership firm;1998;212.0;13.0;25.0;30.0;71.0;27.0;16.0;4.0;19.0;7.0;0.0
367;Partnership firm;1999;159.0;5.0;20.0;37.0;45.0;22.0;6.0;0.0;17.0;7.0;0.0
368;Partnership firm;2000;187.0;3.0;19.0;39.0;63.0;21.0;17.0;0.0;18.0;7.0;0.0
369;Partnership firm;2001;196.0;7.0;25.0;36.0;58.0;20.0;12.0;3.0;23.0;11.0;1.0
370;Partnership firm;2002;198.0;7.0;31.0;28.0;43.0;28.0;25.0;4.0;24.0;8.0;0.0
371;Partnership firm;2003;320.0;13.0;25.0;63.0;83.0;45.0;38.0;5.0;36.0;12.0;0.0
372;Partnership firm;2004;442.0;18.0;42.0;67.0;125.0;65.0;47.0;5.0;61.0;10.0;2.0
373;Partnership firm;2005;420.0;14.0;40.0;50.0;119.0;84.0;34.0;10.0;51.0;16.0;2.0
374;Partnership firm;2006;304.0;12.0;16.0;38.0;79.0;82.0;26.0;3.0;32.0;14.0;2.0
375;Partnership firm;2007;181.0;8.0;22.0;25.0;65.0;25.0;14.0;3.0;16.0;2.0;1.0
376;Partnership firm;2008;183.0;12.0;14.0;22.0;74.0;23.0;8.0;1.0;17.0;12.0;0.0
377;Partnership firm;2009;326.0;12.0;29.0;43.0;112.0;45.0;24.0;6.0;40.0;15.0;0.0
378;Partnership firm;2010;270.0;16.0;21.0;38.0;75.0;39.0;26.0;7.0;30.0;18.0;0.0
379;Partnership firm;2011;324.0;12.0;22.0;44.0;111.0;57.0;20.0;1.0;35.0;22.0;0.0
380;Other legal form;1993;268.0;4.0;19.0;22.0;55.0;15.0;17.0;21.0;48.0;59.0;8.0
381;Other legal form;1994;311.0;2.0;28.0;21.0;68.0;8.0;13.0;27.0;53.0;84.0;7.0
382;Other legal form;1995;255.0;4.0;17.0;14.0;59.0;13.0;15.0;18.0;42.0;69.0;4.0
383;Other legal form;1996;265.0;4.0;22.0;21.0;58.0;10.0;23.0;13.0;49.0;60.0;5.0
384;Other legal form;1997;230.0;5.0;12.0;19.0;60.0;15.0;15.0;13.0;42.0;41.0;8.0
385;Other legal form;1998;242.0;3.0;17.0;16.0;49.0;8.0;19.0;7.0;48.0;68.0;7.0
386;Other legal form;1999;171.0;0.0;19.0;11.0;34.0;6.0;14.0;8.0;29.0;47.0;3.0
387;Other legal form;2000;162.0;3.0;11.0;10.0;30.0;4.0;6.0;15.0;30.0;47.0;6.0
388;Other legal form;2001;193.0;1.0;8.0;18.0;28.0;10.0;15.0;14.0;41.0;54.0;4.0
389;Other legal form;2002;187.0;2.0;11.0;8.0;20.0;7.0;14.0;23.0;41.0;58.0;3.0
390;Other legal form;2003;228.0;1.0;12.0;15.0;46.0;5.0;16.0;23.0;43.0;61.0;6.0
391;Other legal form;2004;236.0;5.0;7.0;10.0;27.0;8.0;9.0;24.0;58.0;85.0;3.0
392;Other legal form;2005;243.0;7.0;17.0;4.0;35.0;18.0;13.0;25.0;45.0;71.0;8.0
393;Other legal form;2006;286.0;2.0;18.0;16.0;44.0;30.0;11.0;26.0;60.0;75.0;4.0
394;Other legal form;2007;225.0;3.0;11.0;9.0;37.0;8.0;9.0;17.0;58.0;70.0;3.0
395;Other legal form;2008;255.0;6.0;13.0;17.0;39.0;8.0;7.0;14.0;60.0;85.0;6.0
396;Other legal form;2009;370.0;3.0;13.0;28.0;58.0;9.0;28.0;36.0;85.0;110.0;0.0
397;Other legal form;2010;355.0;16.0;17.0;29.0;54.0;12.0;13.0;30.0;63.0;119.0;2.0
398;Other legal form;2011;292.0;5.0;15.0;21.0;41.0;17.0;13.0;24.0;62.0;94.0;0.0
399;No employees;1993;1790.0;29.0;141.0;212.0;529.0;86.0;72.0;226.0;372.0;83.0;40.0
400;No employees;1994;1711.0;37.0;137.0;218.0;568.0;78.0;76.0;185.0;340.0;71.0;1.0
401;No employees;1995;1207.0;26.0;100.0;116.0;449.0;61.0;64.0;60.0;272.0;58.0;1.0
402;No employees;1996;993.0;13.0;63.0;146.0;382.0;43.0;53.0;41.0;206.0;46.0;0.0
403;No employees;1997;1166.0;23.0;89.0;173.0;415.0;64.0;69.0;53.0;217.0;59.0;4.0
404;No employees;1998;961.0;12.0;75.0;139.0;328.0;58.0;60.0;50.0;188.0;51.0;0.0
405;No employees;1999;770.0;12.0;59.0;133.0;245.0;32.0;55.0;31.0;162.0;41.0;0.0
406;No employees;2000;757.0;22.0;44.0;136.0;229.0;30.0;41.0;47.0;164.0;44.0;0.0
407;No employees;2001;928.0;9.0;60.0;180.0;251.0;37.0;47.0;46.0;253.0;45.0;0.0
408;No employees;2002;1229.0;16.0;75.0;149.0;263.0;29.0;75.0;207.0;340.0;74.0;1.0
409;No employees;2003;1005.0;19.0;71.0;86.0;168.0;25.0;40.0;283.0;265.0;46.0;2.0
410;No employees;2004;1901.0;48.0;124.0;228.0;421.0;51.0;81.0;425.0;421.0;99.0;3.0
411;No employees;2005;2131.0;45.0;110.0;271.0;416.0;75.0;108.0;519.0;461.0;102.0;24.0
412;No employees;2006;1647.0;37.0;78.0;189.0;390.0;63.0;58.0;370.0;364.0;96.0;2.0
413;No employees;2007;278.0;9.0;23.0;22.0;79.0;11.0;11.0;27.0;71.0;21.0;4.0
414;No employees;2008;265.0;6.0;15.0;25.0;77.0;10.0;12.0;31.0;73.0;11.0;5.0
415;No employees;2009;494.0;1.0;38.0;50.0;142.0;21.0;19.0;63.0;120.0;40.0;0.0
416;No employees;2010;469.0;4.0;41.0;45.0;127.0;23.0;24.0;40.0;128.0;36.0;1.0
417;No employees;2011;520.0;4.0;27.0;51.0;149.0;34.0;12.0;57.0;144.0;41.0;1.0
418;1 employee;1993;707.0;25.0;60.0;66.0;285.0;47.0;37.0;32.0;111.0;40.0;4.0
419;1 employee;1994;716.0;20.0;66.0;67.0;303.0;43.0;34.0;18.0;132.0;33.0;0.0
420;1 employee;1995;835.0;18.0;66.0;74.0;323.0;76.0;43.0;42.0;145.0;48.0;0.0
421;1 employee;1996;878.0;11.0;61.0;112.0;355.0;70.0;48.0;27.0;146.0;48.0;0.0
422;1 employee;1997;829.0;11.0;82.0;101.0;322.0;71.0;42.0;30.0;120.0;49.0;1.0
423;1 employee;1998;798.0;14.0;64.0;101.0;297.0;65.0;49.0;20.0;125.0;63.0;0.0
424;1 employee;1999;555.0;5.0;43.0;61.0;209.0;51.0;32.0;20.0;104.0;30.0;0.0
425;1 employee;2000;537.0;8.0;39.0;86.0;183.0;43.0;35.0;29.0;90.0;24.0;0.0
426;1 employee;2001;664.0;6.0;45.0;87.0;223.0;45.0;43.0;22.0;158.0;35.0;0.0
427;1 employee;2002;728.0;12.0;55.0;87.0;190.0;35.0;46.0;62.0;203.0;38.0;0.0
428;1 employee;2003;1052.0;16.0;72.0;224.0;268.0;44.0;52.0;94.0;238.0;43.0;1.0
429;1 employee;2004;1063.0;33.0;75.0;172.0;291.0;73.0;51.0;72.0;232.0;62.0;2.0
430;1 employee;2005;1210.0;28.0;72.0;173.0;347.0;86.0;60.0;96.0;281.0;59.0;8.0
431;1 employee;2006;1266.0;25.0;62.0;177.0;382.0;128.0;73.0;108.0;247.0;59.0;5.0
432;1 employee;2007;833.0;13.0;52.0;159.0;223.0;64.0;32.0;66.0;172.0;52.0;0.0
433;1 employee;2008;900.0;13.0;64.0;169.0;248.0;45.0;35.0;87.0;181.0;58.0;0.0
434;1 employee;2009;1294.0;20.0;87.0;225.0;360.0;49.0;52.0;143.0;297.0;61.0;0.0
435;1 employee;2010;1086.0;21.0;67.0;209.0;316.0;67.0;47.0;76.0;217.0;65.0;1.0
436;1 employee;2011;850.0;19.0;37.0;172.0;236.0;55.0;46.0;40.0;200.0;43.0;2.0
437;2-5 employees;1993;722.0;24.0;98.0;77.0;253.0;41.0;56.0;28.0;119.0;21.0;5.0
438;2-5 employees;1994;722.0;22.0;83.0;88.0;255.0;44.0;62.0;13.0;119.0;36.0;0.0
439;2-5 employees;1995;727.0;21.0;71.0;97.0;263.0;60.0;48.0;16.0;117.0;34.0;0.0
440;2-5 employees;1996;700.0;16.0;100.0;97.0;245.0;46.0;42.0;18.0;100.0;36.0;0.0
441;2-5 employees;1997;679.0;17.0;73.0;69.0;247.0;53.0;45.0;24.0;116.0;35.0;0.0
442;2-5 employees;1998;629.0;9.0;65.0;71.0;211.0;44.0;50.0;23.0;109.0;47.0;0.0
443;2-5 employees;1999;548.0;10.0;52.0;60.0;196.0;26.0;37.0;28.0;109.0;30.0;0.0
444;2-5 employees;2000;626.0;9.0;65.0;77.0;193.0;37.0;53.0;32.0;131.0;29.0;0.0
445;2-5 employees;2001;678.0;9.0;73.0;96.0;204.0;33.0;50.0;35.0;144.0;34.0;0.0
446;2-5 employees;2002;791.0;9.0;75.0;79.0;236.0;43.0;55.0;44.0;201.0;48.0;1.0
447;2-5 employees;2003;1599.0;27.0;120.0;213.0;448.0;109.0;96.0;113.0;408.0;63.0;2.0
448;2-5 employees;2004;1192.0;45.0;119.0;140.0;360.0;95.0;68.0;66.0;242.0;55.0;2.0
449;2-5 employees;2005;1229.0;24.0;103.0;142.0;376.0;102.0;79.0;65.0;272.0;54.0;12.0
450;2-5 employees;2006;1191.0;34.0;98.0;119.0;317.0;190.0;84.0;38.0;237.0;55.0;19.0
451;2-5 employees;2007;1067.0;15.0;104.0;113.0;352.0;99.0;55.0;74.0;206.0;49.0;0.0
452;2-5 employees;2008;1052.0;25.0;79.0;118.0;369.0;83.0;52.0;63.0;208.0;54.0;1.0
453;2-5 employees;2009;1710.0;45.0;159.0;189.0;522.0;80.0;84.0;128.0;407.0;96.0;0.0
454;2-5 employees;2010;1269.0;35.0;157.0;206.0;387.0;85.0;63.0;44.0;220.0;70.0;2.0
455;2-5 employees;2011;1170.0;28.0;133.0;157.0;376.0;91.0;52.0;45.0;216.0;72.0;0.0
456;5-10 employees;1993;495.0;15.0;91.0;87.0;127.0;22.0;38.0;12.0;79.0;22.0;2.0
457;5-10 employees;1994;523.0;15.0;104.0;79.0;156.0;23.0;44.0;7.0;71.0;23.0;1.0
458;5-10 employees;1995;460.0;13.0;77.0;82.0;123.0;24.0;31.0;9.0;80.0;21.0;0.0
459;5-10 employees;1996;403.0;5.0;74.0;70.0;110.0;31.0;42.0;5.0;47.0;19.0;0.0
460;5-10 employees;1997;368.0;10.0;62.0;76.0;95.0;26.0;31.0;7.0;41.0;20.0;0.0
461;5-10 employees;1998;428.0;6.0;71.0;81.0;131.0;21.0;40.0;6.0;57.0;15.0;0.0
462;5-10 employees;1999;331.0;8.0;51.0;46.0;108.0;14.0;32.0;7.0;57.0;8.0;0.0
463;5-10 employees;2000;384.0;5.0;52.0;72.0;109.0;13.0;30.0;11.0;70.0;22.0;0.0
464;5-10 employees;2001;455.0;14.0;69.0;66.0;111.0;19.0;37.0;12.0;109.0;18.0;0.0
465;5-10 employees;2002;575.0;12.0;98.0;67.0;140.0;16.0;33.0;30.0;148.0;30.0;1.0
466;5-10 employees;2003;969.0;23.0;143.0;123.0;213.0;44.0;68.0;37.0;279.0;39.0;0.0
467;5-10 employees;2004;769.0;12.0;112.0;87.0;193.0;42.0;59.0;28.0;194.0;39.0;3.0
468;5-10 employees;2005;739.0;16.0;108.0;111.0;149.0;63.0;64.0;26.0;162.0;36.0;4.0
469;5-10 employees;2006;610.0;8.0;70.0;74.0;124.0;84.0;53.0;19.0;148.0;23.0;7.0
470;5-10 employees;2007;634.0;10.0;82.0;91.0;171.0;39.0;41.0;31.0;127.0;39.0;3.0
471;5-10 employees;2008;593.0;14.0;48.0;82.0;148.0;26.0;48.0;38.0;146.0;43.0;0.0
472;5-10 employees;2009;1187.0;19.0;155.0;170.0;284.0;55.0;65.0;62.0;328.0;49.0;0.0
473;5-10 employees;2010;977.0;20.0;122.0;182.0;238.0;40.0;46.0;23.0;230.0;76.0;0.0
