ID;RelatieMetDeOverledene;KenmerkenVanDeVerkrijger;Perioden;AantalVerkrijgers_1;TotaalBrutoVerkrijging_2;GemiddeldBrutoVerkrijging_3;MediaanBrutoVerkrijging_4;TotaalVerschuldigdeBelasting_5;GemiddeldVerschuldigdeBelasting_6;MediaanVerschuldigdeBelasting_7;TotaalNettoVerkrijging_8;GemiddeldNettoVerkrijging_9;MediaanNettoVerkrijging_10
296;Relatie met overledene: totaal;SEC:(school)kind of student;2015;6.6;291.0;43.9;20.0;39.7;6.0;0.0;251.3;37.9;20.0
297;Relatie met overledene: totaal;SEC:(school)kind of student;2016;7.0;314.1;44.7;20.1;41.2;5.9;0.0;272.9;38.9;20.1
298;Relatie met overledene: totaal;SEC:(school)kind of student;2017;10.9;475.7;43.8;20.0;85.2;7.8;0.0;390.5;36.0;20.0
299;Relatie met overledene: totaal;SEC:(school)kind of student;2018;12.5;394.2;31.5;20.0;45.3;3.6;0.0;348.8;27.8;19.9
300;Relatie met overledene: totaal;SEC:(school)kind of student;2019;14.4;521.0;36.2;19.7;48.6;3.4;0.0;472.4;32.8;19.1
301;Relatie met overledene: totaal;SEC:(school)kind of student;2020;16.3;613.1;37.7;20.0;66.5;4.1;0.0;546.6;33.6;20.0
302;Relatie met overledene: totaal;SEC:(school)kind of student;2021;18.2;630.1;34.6;20.0;64.3;3.5;0.0;565.8;31.1;20.0
303;Relatie met overledene: totaal;SEC:(school)kind of student;2022;17.1;476.2;27.9;20.0;42.8;2.5;0.0;433.4;25.4;20.0
304;Relatie met overledene: totaal;SEC: overige (zonder inkomen);2007;7.6;463.4;61.3;23.9;80.6;10.7;1.7;382.7;50.6;21.9
305;Relatie met overledene: totaal;SEC: overige (zonder inkomen);2008;7.2;479.9;66.7;24.2;76.9;10.7;1.8;403.0;56.0;22.2
306;Relatie met overledene: totaal;SEC: overige (zonder inkomen);2009;7.2;487.5;67.8;24.6;85.7;11.9;1.8;401.8;55.9;22.4
307;Relatie met overledene: totaal;SEC: overige (zonder inkomen);2010;6.5;502.2;77.9;31.3;68.2;10.6;2.0;434.0;67.3;28.6
308;Relatie met overledene: totaal;SEC: overige (zonder inkomen);2011;6.5;446.1;68.4;30.4;61.0;9.3;2.1;385.1;59.0;28.0
309;Relatie met overledene: totaal;SEC: overige (zonder inkomen);2012;6.5;514.6;79.8;30.9;85.8;13.3;2.1;428.8;66.5;28.4
310;Relatie met overledene: totaal;SEC: overige (zonder inkomen);2013;6.4;512.2;79.5;30.2;70.2;10.9;2.0;442.0;68.6;27.8
311;Relatie met overledene: totaal;SEC: overige (zonder inkomen);2014;6.0;441.9;74.1;28.6;74.5;12.5;1.7;367.4;61.6;26.4
312;Relatie met overledene: totaal;SEC: overige (zonder inkomen);2015;6.1;470.3;77.0;29.0;66.0;10.8;1.9;404.3;66.2;26.8
313;Relatie met overledene: totaal;SEC: overige (zonder inkomen);2016;6.2;674.3;109.6;29.3;102.0;16.6;2.0;572.3;93.0;27.2
314;Relatie met overledene: totaal;SEC: overige (zonder inkomen);2017;6.7;603.8;89.8;25.5;83.6;12.4;1.4;520.2;77.3;23.5
315;Relatie met overledene: totaal;SEC: overige (zonder inkomen);2018;7.0;562.0;80.0;24.7;84.8;12.1;1.4;477.2;67.9;23.1
316;Relatie met overledene: totaal;SEC: overige (zonder inkomen);2019;6.7;599.6;89.4;29.2;91.7;13.7;1.6;507.8;75.7;26.8
317;Relatie met overledene: totaal;SEC: overige (zonder inkomen);2020;7.2;691.2;96.5;30.0;94.8;13.2;1.7;596.4;83.2;27.8
318;Relatie met overledene: totaal;SEC: overige (zonder inkomen);2021;7.2;673.0;93.1;31.3;91.1;12.6;1.8;581.8;80.5;29.1
319;Relatie met overledene: totaal;SEC: overige (zonder inkomen);2022;6.4;504.7;78.5;32.4;71.3;11.1;1.9;433.4;67.4;29.8
320;Relatie met overledene: totaal;SEC: onbekend;2007;60.8;3978.6;65.5;22.7;657.3;10.8;0.9;3321.3;54.7;20.1
321;Relatie met overledene: totaal;SEC: onbekend;2008;63.5;3907.5;61.6;22.7;575.6;9.1;0.8;3331.9;52.5;20.2
322;Relatie met overledene: totaal;SEC: onbekend;2009;55.7;3396.3;60.9;23.4;474.0;8.5;0.8;2922.3;52.4;21.2
