ID;Plaatsnamen;Gemeentecode_1;Gemeentenaam_2;EGGCode_3;EGGNaam_4;Provinciecode_5;ProvincienaamAfkorting_6;PlaatsnaamPTTWoonplaatsnaam_7;PlaatsnaamGemeentenaam_8;Plaatsnaam_9;PlaatsnaamVolgnummer_10
1429;Eikberg;758;Breda                      ;103;Breda                                   ;30;NB. ;nee;nee;Eikberg                    ;3992
1430;Eikelenbosch;1507;Horst aan de Maas          ;120;Noord-Limburg                           ;31;L.  ;nee;nee;Eikelenbosch               ;5336
1431;Eikelenbosch;744;Baarle-Nassau              ;108;Gebied om Tilburg                       ;30;NB. ;nee;nee;Eikelenbosch               ;3916
1432;Eikenheuvel;856;Uden                       ;112;Midden-Meijerij                         ;30;NB. ;nee;nee;Eikenheuvel                ;4498
1433;Eikske;882;Landgraaf                  ;125;Oostelijke Mijnstreek                   ;31;L.  ;nee;nee;Eikske                     ;4698
1434;Eiland;933;Maasbracht                 ;122;Overig Midden-Limburg ten oosten v. Maas;31;L.  ;nee;nee;Eiland                     ;4941
1435;Eiland;873;Woensdrecht                ;102;Bergen op Zoom, Roosendaal en omgeving  ;30;NB. ;nee;nee;Eiland                     ;4634
1436;Eiland, Het;479;Zaanstad                   ;58;Zaanstreek                              ;27;NH. ;nee;nee;Eiland, Het                ;2876
1437;Eilandspolder;458;Schermer                   ;56;Noordhollands Middengewest              ;27;NH. ;nee;nee;Eilandspolder              ;2803
1438;Eimeren;1734;Overbetuwe                 ;37;Oostelijke Betuwe                       ;25;Gld.;nee;nee;Eimeren                    ;6276
1439;Eind;848;Son en Breugel             ;114;Randgebied Eindhoven                    ;30;NB. ;nee;nee;Eind                       ;4422
1440;Eind;946;Nederweert                 ;123;Midden-Limburg ten westen van de Maas   ;31;L.  ;ja ;nee;Eind                       ;5063
1441;Eind;1724;Bergeijk                   ;116;Kempenland                              ;30;NB. ;nee;nee;Eind                       ;6129
1442;Eind van den Hout;826;Oosterhout                 ;104;Gebied om Breda                         ;30;NB. ;nee;nee;Eind van den Hout          ;4312
1443;Eind, 't;788;Haaren                     ;110;Gebied om 's-Hertogenbosch en Vught     ;30;NB. ;nee;nee;Eind, 't                   ;4150
1444;Einde;917;Heerlen                    ;125;Oostelijke Mijnstreek                   ;31;L.  ;nee;nee;Einde                      ;4832
1445;Einde;975;Swalmen                    ;122;Overig Midden-Limburg ten oosten v. Maas;31;L.  ;nee;nee;Einde                      ;5190
1446;Eindewege (ged.);654;Borsele                    ;97;Noord- en Zuid-Beveland                 ;29;Z.  ;nee;nee;Eindewege (ged.)           ;3477
1447;Eindewege (ged.);664;Goes                       ;97;Noord- en Zuid-Beveland                 ;29;Z.  ;nee;nee;Eindewege (ged.)           ;3494
1448;Eindhoven;772;Eindhoven                  ;113;Eindhoven                               ;30;NB. ;ja ;ja ;Eindhoven                  ;4075
1449;Eindje;847;Someren                    ;118;Brabantse Peel                          ;30;NB. ;nee;nee;Eindje                     ;4408
1450;Einighausen;1883;Sittard-Geleen             ;124;Westelijke Mijnstreek                   ;31;L.  ;ja ;nee;Einighausen                ;6322
1451;Eiteren;353;IJsselstein                ;46;Nieuwegein, IJsselstein                 ;26;U.  ;nee;nee;Eiteren                    ;2412
1452;Ekamp (ged.);1661;Reiderland                 ;3;Groninger Oldambt                       ;20;Gr. ;nee;nee;Ekamp (ged.)               ;5492
1453;254;39;Scheemda                   ;3;Groninger Oldambt                       ;20;Gr. ;nee;nee;Ekamp (ged.)               ;254
1454;Ekehaar;1680;Aa en Hunze                ;16;Overige gemeenten Drentse Veenkoloniën  ;22;D.  ;ja ;nee;Ekehaar                    ;5702
1455;Ekenrooi;866;Waalre                     ;114;Randgebied Eindhoven                    ;30;NB. ;nee;nee;Ekenrooi                   ;4590
1456;Ekker, d';861;Veldhoven                  ;114;Randgebied Eindhoven                    ;30;NB. ;nee;nee;Ekker, d'                  ;4564
1457;Ekkersrijt;848;Son en Breugel             ;114;Randgebied Eindhoven                    ;30;NB. ;nee;nee;Ekkersrijt                 ;4423
1458;Ekris;351;Woudenberg                 ;43;Utrechtse Vallei en Eemgebied           ;26;U.  ;nee;nee;Ekris                      ;2400
1459;Elahuizen;653;Gaasterlân-Sleat           ;10;Fries weidegebied                       ;21;F.  ;ja ;nee;Elahuizen                  ;3455
1460;Elba;454;Venhuizen                  ;54;Midden- en Oostelijk West-Friesland     ;27;NH. ;nee;nee;Elba                       ;2785
1461;Elba;412;Niedorp                    ;53;Westelijk West-Friesland                ;27;NH. ;nee;nee;Elba                       ;2672
1462;Elburg;230;Elburg                     ;32;IJsselmeerkust                          ;25;Gld.;ja ;ja ;Elburg                     ;1750
1463;Elde;844;Schijndel                  ;112;Midden-Meijerij                         ;30;NB. ;nee;nee;Elde                       ;4365
1464;Elden;1734;Overbetuwe                 ;37;Oostelijke Betuwe                       ;25;Gld.;nee;nee;Elden                      ;6277
1465;Eldersloo;1680;Aa en Hunze                ;16;Overige gemeenten Drentse Veenkoloniën  ;22;D.  ;ja ;nee;Eldersloo                  ;5703
1466;Eldik;258;Kesteren                   ;37;Oostelijke Betuwe                       ;25;Gld.;nee;nee;Eldik                      ;1877
1467;Eldrik;256;Hummelo en Keppel          ;27;Oude-IJsselgebied (westelijk deel)      ;25;Gld.;nee;nee;Eldrik                     ;1869
1468;Elens;1663;De Marne                   ;1;Groninger Hoogeland en N. Westerkwartier;20;Gr. ;nee;nee;Elens                      ;5513
1469;Eleveld;1680;Aa en Hunze                ;16;Overige gemeenten Drentse Veenkoloniën  ;22;D.  ;ja ;nee;Eleveld                    ;5704
1470;Elferink;153;Enschede                   ;23;Enschede                                ;23;O.  ;nee;nee;Elferink                   ;1122
1471;Elft;462;Wieringen                  ;51;Wieringen, Wieringermeer                ;27;NH. ;nee;nee;Elft                       ;2819
1472;970;118;Hoogeveen                  ;18;Zuiddrents randgebied                   ;22;D.  ;ja ;nee;Elim                       ;970
1473;Elkenrade;1729;Gulpen-Wittem              ;127;Overige gemeenten Zuid-Limburg          ;31;L.  ;ja ;nee;Elkenrade                  ;6170
1474;Elkerzee;1676;Schouwen-Duiveland         ;93;Schouwen-Duiveland                      ;29;Z.  ;nee;nee;Elkerzee                   ;5652
1475;Ell;925;Hunsel                     ;123;Midden-Limburg ten westen van de Maas   ;31;L.  ;ja ;nee;Ell                        ;4901
1476;Ellecom;275;Rheden                     ;36;Overige gemeenten zuidelijke Veluwezoom ;25;Gld.;ja ;nee;Ellecom                    ;2020
1477;Ellemeet;1676;Schouwen-Duiveland         ;93;Schouwen-Duiveland                      ;29;Z.  ;ja ;nee;Ellemeet                   ;5653
1478;Ellerhei;925;Hunsel                     ;123;Midden-Limburg ten westen van de Maas   ;31;L.  ;nee;nee;Ellerhei                   ;4902
1479;11;5;Bedum                      ;1;Groninger Hoogeland en N. Westerkwartier;20;Gr. ;nee;nee;Ellerhuizen                ;11
1480;322;48;Vlagtwedde                 ;4;Groninger Veenkoloniën                  ;20;Gr. ;nee;nee;Ellersinghuizen            ;322
1481;Ellertshaar;1681;Borger-Odoorn              ;16;Overige gemeenten Drentse Veenkoloniën  ;22;D.  ;ja ;nee;Ellertshaar                ;5748
1482;Ellewoutsdijk;654;Borsele                    ;97;Noord- en Zuid-Beveland                 ;29;Z.  ;ja ;nee;Ellewoutsdijk              ;3478
1483;Elp;1731;Midden-Drenthe             ;17;Drentse zandgronden                     ;22;D.  ;ja ;nee;Elp                        ;6241
1484;Elsen;1735;Hof van Twente             ;24;Overige gemeenten in Twente             ;23;O.  ;nee;nee;Elsen                      ;6303
1485;Elsendorp;1652;Gemert-Bakel               ;118;Brabantse Peel                          ;30;NB. ;ja ;nee;Elsendorp                  ;5401
1486;Elsenerbroek;1735;Hof van Twente             ;24;Overige gemeenten in Twente             ;23;O.  ;nee;nee;Elsenerbroek               ;6304
1487;Elshof;174;Olst                       ;22;Zuidwest-Overijssel                     ;23;O.  ;nee;nee;Elshof                     ;1288
1488;Elshout;797;Heusden                    ;110;Gebied om 's-Hertogenbosch en Vught     ;30;NB. ;ja ;nee;Elshout                    ;4200
1489;Elsloo;971;Stein                      ;124;Westelijke Mijnstreek                   ;31;L.  ;ja ;nee;Elsloo                     ;5165
1490;731;85;Ooststellingwerf           ;9;Fries zandgebied                        ;21;F.  ;ja ;nee;Elsloo                     ;731
1491;Elspeet;302;Nunspeet                   ;32;IJsselmeerkust                          ;25;Gld.;ja ;nee;Elspeet                    ;2190
1492;Elst;1671;Maasdonk                   ;111;Maaskant                                ;30;NB. ;nee;nee;Elst                       ;5586
1493;Elst;1734;Overbetuwe                 ;37;Oostelijke Betuwe                       ;25;Gld.;ja ;nee;Elst                       ;6278
1494;Elst (ged.);340;Rhenen                     ;44;Utrechtse Heuvelrug                     ;26;U.  ;ja ;nee;Elst (ged.)                ;2358
1495;Elst (ged.);306;Amerongen                  ;44;Utrechtse Heuvelrug                     ;26;U.  ;ja ;nee;Elst (ged.)                ;2216
1496;Elsteren;893;Bergen                     ;120;Noord-Limburg                           ;31;L.  ;nee;nee;Elsteren                   ;4751
1497;Elzen;755;Boekel                     ;112;Midden-Meijerij                         ;30;NB. ;nee;nee;Elzen                      ;3949
1498;Elzenpas;281;Tiel                       ;38;Westelijke Betuwe                       ;25;Gld.;nee;nee;Elzenpas                   ;2056
1499;Elzent, Den;772;Eindhoven                  ;113;Eindhoven                               ;30;NB. ;nee;nee;Elzent, Den                ;4076
1500;Elzet;1729;Gulpen-Wittem              ;127;Overige gemeenten Zuid-Limburg          ;31;L.  ;nee;nee;Elzet                      ;6171
1501;Emelang;1731;Midden-Drenthe             ;17;Drentse zandgronden                     ;22;D.  ;nee;nee;Emelang                    ;6242
1502;Emmaberg;994;Valkenburg aan de Geul     ;127;Overige gemeenten Zuid-Limburg          ;31;L.  ;nee;nee;Emmaberg                   ;5305
1503;Emmadorp;677;Hulst                      ;100;Overige gem.  Oost-Zeeuwsch-Vlaanderen  ;29;Z.  ;nee;nee;Emmadorp                   ;3550
1504;Emmeloord;171;Noordoostpolder            ;128;Noordoostpolder                         ;24;Fle.;ja ;nee;Emmeloord                  ;1272
1505;940;114;Emmen                      ;15;Emmen                                   ;22;D.  ;ja ;ja ;Emmen                      ;940
1506;Emmen;148;Dalfsen                    ;20;IJssel-, Vechtdelta                     ;23;O.  ;nee;nee;Emmen                      ;1065
1507;Emmer;280;Steenderen                 ;28;Overige gemeenten westelijke Achterhoek ;25;Gld.;nee;nee;Emmer                      ;2048
1508;941;114;Emmen                      ;15;Emmen                                   ;22;D.  ;ja ;nee;Emmer-Compascuum           ;941
1509;942;114;Emmen                      ;15;Emmen                                   ;22;D.  ;nee;nee;Emmer-Erfscheidenveen      ;942
1510;943;114;Emmen                      ;15;Emmen                                   ;22;D.  ;nee;nee;Emmermeer                  ;943
1511;944;114;Emmen                      ;15;Emmen                                   ;22;D.  ;nee;nee;Emmerschans                ;944
1512;Emminkhuizen;339;Renswoude                  ;43;Utrechtse Vallei en Eemgebied           ;26;U.  ;nee;nee;Emminkhuizen               ;2355
1513;Empe;213;Brummen                    ;34;Overige gemeenten oostelijke Veluwezoom ;25;Gld.;ja ;nee;Empe                       ;1631
1514;Empel;796;'s-Hertogenbosch           ;109;'s-Hertogenbosch en Vught               ;30;NB. ;nee;nee;Empel                      ;4178
1515;Emst;232;Epe                        ;34;Overige gemeenten oostelijke Veluwezoom ;25;Gld.;ja ;nee;Emst                       ;1759
1516;Eng;342;Soest                      ;44;Utrechtse Heuvelrug                     ;26;U.  ;nee;nee;Eng                        ;2368
1517;Eng en Kortenburgse Bossen;289;Wageningen                 ;36;Overige gemeenten zuidelijke Veluwezoom ;25;Gld.;nee;nee;Eng en Kortenburgse Bossen ;2102
1518;Eng, De;226;Duiven                     ;26;De Lijmers                              ;25;Gld.;nee;nee;Eng, De                    ;1705
1519;Eng, Den;214;Buren                      ;37;Oostelijke Betuwe                       ;25;Gld.;nee;nee;Eng, Den                   ;1646
1520;Engel, De;553;Lisse                      ;68;Zuidhollandse Bollenstreek              ;28;ZH. ;nee;nee;Engel, De                  ;3102
1521;Engeland;160;Hardenberg                 ;21;Noordoost-Overijssel                    ;23;O.  ;nee;nee;Engeland                   ;1181
1522;Engeland;200;Apeldoorn                  ;33;Apeldoorn                               ;25;Gld.;nee;nee;Engeland                   ;1520
1523;Engeland;1690;De Wolden                  ;18;Zuiddrents randgebied                   ;22;D.  ;nee;nee;Engeland                   ;5818
1524;100;14;Groningen                  ;7;Stad Groningen                          ;20;Gr. ;nee;nee;Engelbert                  ;100
1525;Engelen;796;'s-Hertogenbosch           ;109;'s-Hertogenbosch en Vught               ;30;NB. ;nee;nee;Engelen                    ;4179
1526;715;83;Menaldumadeel              ;12;Friese bouwstreek                       ;21;F.  ;ja ;nee;Engelum                    ;715
1527;478;56;Zuidhorn                   ;1;Groninger Hoogeland en N. Westerkwartier;20;Gr. ;nee;nee;Englum                     ;478
1528;444;55;Boarnsterhim               ;10;Fries weidegebied                       ;21;F.  ;nee;nee;Engwerd                    ;444
1529;Engwier;710;Wûnseradiel                ;10;Fries weidegebied                       ;21;F.  ;nee;nee;Engwier                    ;3737
1530;511;58;Dongeradeel                ;12;Friese bouwstreek                       ;21;F.  ;ja ;nee;Engwierum                  ;511
1531;Enkhuizen;388;Enkhuizen                  ;54;Midden- en Oostelijk West-Friesland     ;27;NH. ;ja ;ja ;Enkhuizen                  ;2573
1532;Ens;171;Noordoostpolder            ;128;Noordoostpolder                         ;24;Fle.;ja ;nee;Ens                        ;1273
1533;Enschede;153;Enschede                   ;23;Enschede                                ;23;O.  ;ja ;ja ;Enschede                   ;1123
1534;Enschot;855;Tilburg                    ;107;Tilburg                                 ;30;NB. ;nee;nee;Enschot                    ;4475
1535;Enspijk;236;Geldermalsen               ;38;Westelijke Betuwe                       ;25;Gld.;ja ;nee;Enspijk                    ;1791
1536;Enter;189;Wierden                    ;24;Overige gemeenten in Twente             ;23;O.  ;ja ;nee;Enter                      ;1437
1537;Enterbroek;189;Wierden                    ;24;Overige gemeenten in Twente             ;23;O.  ;nee;nee;Enterbroek                 ;1438
1538;179;22;Leek                       ;5;Groninger zuidelijk Westerkwartier      ;20;Gr. ;ja ;nee;Enumatil                   ;179
1539;194;24;Loppersum                  ;1;Groninger Hoogeland en N. Westerkwartier;20;Gr. ;nee;nee;Enzelens                   ;194
1540;Epe;232;Epe                        ;34;Overige gemeenten oostelijke Veluwezoom ;25;Gld.;ja ;ja ;Epe                        ;1760
1541;Epen;1729;Gulpen-Wittem              ;127;Overige gemeenten Zuid-Limburg          ;31;L.  ;ja ;nee;Epen                       ;6172
1542;Eperheide;1729;Gulpen-Wittem              ;127;Overige gemeenten Zuid-Limburg          ;31;L.  ;nee;nee;Eperheide                  ;6173
1543;Eppenhuizen;1651;Eemsmond                   ;1;Groninger Hoogeland en N. Westerkwartier;20;Gr. ;ja ;nee;Eppenhuizen                ;5364
1544;Eppenzolder;158;Haaksbergen                ;24;Overige gemeenten in Twente             ;23;O.  ;nee;nee;Eppenzolder                ;1160
1545;Epse;239;Gorssel                    ;28;Overige gemeenten westelijke Achterhoek ;25;Gld.;ja ;nee;Epse                       ;1816
1546;945;114;Emmen                      ;15;Emmen                                   ;22;D.  ;ja ;nee;Erica                      ;945
1547;Erichem;214;Buren                      ;37;Oostelijke Betuwe                       ;25;Gld.;ja ;nee;Erichem                    ;1647
1548;Erlecom;282;Ubbergen                   ;40;Gebied om Nijmegen                      ;25;Gld.;ja ;nee;Erlecom                    ;2065
1549;Erlecom en Ooij;282;Ubbergen                   ;40;Gebied om Nijmegen                      ;25;Gld.;nee;nee;Erlecom en Ooij            ;2066
1550;902;109;Coevorden                  ;18;Zuiddrents randgebied                   ;22;D.  ;ja ;nee;Erm                        ;902
1551;Ermelo;233;Ermelo                     ;32;IJsselmeerkust                          ;25;Gld.;ja ;ja ;Ermelo                     ;1777
1552;Erp;860;Veghel                     ;112;Midden-Meijerij                         ;30;NB. ;ja ;nee;Erp                        ;4540
1553;Esbeek;798;Hilvarenbeek               ;108;Gebied om Tilburg                       ;30;NB. ;ja ;nee;Esbeek                     ;4220
1554;Esch;788;Haaren                     ;110;Gebied om 's-Hertogenbosch en Vught     ;30;NB. ;ja ;nee;Esch                       ;4151
1555;Escharen;786;Grave                      ;119;Land van Cuijk                          ;30;NB. ;ja ;nee;Escharen                   ;4142
1556;Eschoten;228;Ede                        ;31;Gelderse Vallei                         ;25;Gld.;nee;nee;Eschoten                   ;1716
1557;Esdonk;1652;Gemert-Bakel               ;118;Brabantse Peel                          ;30;NB. ;nee;nee;Esdonk                     ;5402
1558;Esp;848;Son en Breugel             ;114;Randgebied Eindhoven                    ;30;NB. ;nee;nee;Esp                        ;4424
1559;Esp;1652;Gemert-Bakel               ;118;Brabantse Peel                          ;30;NB. ;nee;nee;Esp                        ;5403
1560;Espel;171;Noordoostpolder            ;128;Noordoostpolder                         ;24;Fle.;ja ;nee;Espel                      ;1274
1561;Espelo;178;Rijssen                    ;24;Overige gemeenten in Twente             ;23;O.  ;nee;nee;Espelo                     ;1338
1562;Esperheide;848;Son en Breugel             ;114;Randgebied Eindhoven                    ;30;NB. ;nee;nee;Esperheide                 ;4425
1563;Esschen, Ten (ged.);986;Voerendaal                 ;125;Oostelijke Mijnstreek                   ;31;L.  ;nee;nee;Esschen, Ten (ged.)        ;5255
1564;Esschen, Ten (ged.);917;Heerlen                    ;125;Oostelijke Mijnstreek                   ;31;L.  ;nee;nee;Esschen, Ten (ged.)        ;4833
1565;Essebroek;214;Buren                      ;37;Oostelijke Betuwe                       ;25;Gld.;nee;nee;Essebroek                  ;1648
1566;Essen;203;Barneveld                  ;31;Gelderse Vallei                         ;25;Gld.;nee;nee;Essen                      ;1571
1567;139;17;Haren                      ;8;Randgebied stad Groningen               ;20;Gr. ;nee;nee;Essen                      ;139
1568;Est;304;Neerijnen                  ;38;Westelijke Betuwe                       ;25;Gld.;ja ;nee;Est                        ;2198
1569;Esveld;203;Barneveld                  ;31;Gelderse Vallei                         ;25;Gld.;nee;nee;Esveld                     ;1572
1570;Etenaken;1729;Gulpen-Wittem              ;127;Overige gemeenten Zuid-Limburg          ;31;L.  ;nee;nee;Etenaken                   ;6174
1571;Etersheim;478;Zeevang                    ;56;Noordhollands Middengewest              ;27;NH. ;nee;nee;Etersheim                  ;2863
1572;Etsberg;1669;Roerdalen                  ;122;Overig Midden-Limburg ten oosten v. Maas;31;L.  ;nee;nee;Etsberg                    ;5562
1573;Etten;777;Etten-Leur                 ;104;Gebied om Breda                         ;30;NB. ;nee;nee;Etten                      ;4095
1574;Etten;237;Gendringen                 ;29;Oude-IJsselgebied (oostelijk deel)      ;25;Gld.;ja ;nee;Etten                      ;1800
1575;Etten-Leur;777;Etten-Leur                 ;104;Gebied om Breda                         ;30;NB. ;ja ;ja ;Etten-Leur                 ;4096
1576;Etzenrade;881;Onderbanken                ;125;Oostelijke Mijnstreek                   ;31;L.  ;nee;nee;Etzenrade                  ;4685
1577;Europoort;599;Rotterdam                  ;84;Rotterdam                               ;28;ZH. ;ja ;nee;Europoort                  ;3255
1578;Eursing;1731;Midden-Drenthe             ;17;Drentse zandgronden                     ;22;D.  ;nee;nee;Eursing                    ;6243
1579;Eursinge;1690;De Wolden                  ;18;Zuiddrents randgebied                   ;22;D.  ;nee;nee;Eursinge                   ;5819
1580;Eursinge;1731;Midden-Drenthe             ;17;Drentse zandgronden                     ;22;D.  ;ja ;nee;Eursinge                   ;6244
1581;Eursinge;1701;Westerveld                 ;17;Drentse zandgronden                     ;22;D.  ;nee;nee;Eursinge                   ;5933
1582;101;14;Groningen                  ;7;Stad Groningen                          ;20;Gr. ;nee;nee;Euvelgunne                 ;101
1583;Euvelwegen;1658;Heeze-Leende               ;117;Valkenswaard en oostelijke randgemeenten;30;NB. ;nee;nee;Euvelwegen                 ;5449
1584;Euverem;1729;Gulpen-Wittem              ;127;Overige gemeenten Zuid-Limburg          ;31;L.  ;nee;nee;Euverem                    ;6175
1585;Everdingen;620;Vianen                     ;46;Nieuwegein, IJsselstein                 ;26;U.  ;ja ;nee;Everdingen                 ;3339
1586;Everinge;654;Borsele                    ;97;Noord- en Zuid-Beveland                 ;29;Z.  ;nee;nee;Everinge                   ;3479
1587;Everland;1674;Roosendaal                 ;102;Bergen op Zoom, Roosendaal en omgeving  ;30;NB. ;nee;nee;Everland                   ;5623
1588;Everlo;918;Helden                     ;123;Midden-Limburg ten westen van de Maas   ;31;L.  ;nee;nee;Everlo                     ;4870
1589;Eversdijk;678;Kapelle                    ;97;Noord- en Zuid-Beveland                 ;29;Z.  ;nee;nee;Eversdijk                  ;3564
1590;Everse;846;Sint-Oedenrode             ;112;Midden-Meijerij                         ;30;NB. ;nee;nee;Everse                     ;4399
1591;Evertsoord;964;Sevenum                    ;120;Noord-Limburg                           ;31;L.  ;ja ;nee;Evertsoord                 ;5139
1592;Everwenninkhoek;278;Ruurlo                     ;28;Overige gemeenten westelijke Achterhoek ;25;Gld.;nee;nee;Everwenninkhoek            ;2033
1593;Ewer;1663;De Marne                   ;1;Groninger Hoogeland en N. Westerkwartier;20;Gr. ;nee;nee;Ewer                       ;5514
1594;Ewijcksluis, Van;366;Anna Paulowna              ;52;Overige gemeenten Kop van Noord-Holland ;27;NH. ;nee;nee;Ewijcksluis, Van           ;2492
1595;Ewijk;209;Beuningen                  ;40;Gebied om Nijmegen                      ;25;Gld.;ja ;nee;Ewijk                      ;1617
1596;Ewinkel;1684;Cuijk                      ;119;Land van Cuijk                          ;30;NB. ;nee;nee;Ewinkel                    ;5770
1597;Exel;262;Lochem                     ;28;Overige gemeenten westelijke Achterhoek ;25;Gld.;nee;nee;Exel                       ;1898
1598;Exel-Tol;262;Lochem                     ;28;Overige gemeenten westelijke Achterhoek ;25;Gld.;nee;nee;Exel-Tol                   ;1899
1599;Exloo;1681;Borger-Odoorn              ;16;Overige gemeenten Drentse Veenkoloniën  ;22;D.  ;ja ;nee;Exloo                      ;5749
1600;Exloëboerkijl;1681;Borger-Odoorn              ;16;Overige gemeenten Drentse Veenkoloniën  ;22;D.  ;nee;nee;Exloëboerkijl              ;5750
1601;Exloërkijl;1681;Borger-Odoorn              ;16;Overige gemeenten Drentse Veenkoloniën  ;22;D.  ;nee;nee;Exloërkijl                 ;5751
1602;Exloërmond;1681;Borger-Odoorn              ;16;Overige gemeenten Drentse Veenkoloniën  ;22;D.  ;nee;nee;Exloërmond                 ;5752
1603;Exloërveen;1681;Borger-Odoorn              ;16;Overige gemeenten Drentse Veenkoloniën  ;22;D.  ;ja ;nee;Exloërveen                 ;5753
1604;Exmorra;710;Wûnseradiel                ;10;Fries weidegebied                       ;21;F.  ;ja ;nee;Exmorra                    ;3738
1605;Exmorrazijl;710;Wûnseradiel                ;10;Fries weidegebied                       ;21;F.  ;nee;nee;Exmorrazijl                ;3739
1606;Eys;1729;Gulpen-Wittem              ;127;Overige gemeenten Zuid-Limburg          ;31;L.  ;ja ;nee;Eys                        ;6176
1607;Eyserheide;1729;Gulpen-Wittem              ;127;Overige gemeenten Zuid-Limburg          ;31;L.  ;nee;nee;Eyserheide                 ;6177
1608;415;53;Winsum                     ;6;Groninger centrale Weidestreek          ;20;Gr. ;ja ;nee;Ezinge                     ;415
1609;512;58;Dongeradeel                ;12;Friese bouwstreek                       ;21;F.  ;nee;nee;Ezumazijl                  ;512
1610;123;15;Grootegast                 ;5;Groninger zuidelijk Westerkwartier      ;20;Gr. ;nee;nee;Faan                       ;123
1611;69;10;Delfzijl                   ;2;Appingedam, Delfzijl                    ;20;Gr. ;ja ;nee;Farmsum                    ;69
1612;Feanwâldsterwâl;737;Tytsjerksteradiel          ;9;Fries zandgebied                        ;21;F.  ;nee;nee;Feanwâldsterwâl            ;3870
1613;416;53;Winsum                     ;6;Groninger centrale Weidestreek          ;20;Gr. ;ja ;nee;Feerweerd                  ;416
1614;140;17;Haren                      ;8;Randgebied stad Groningen               ;20;Gr. ;nee;nee;Felland                    ;140
1615;Ferwerderadiel;1722;Ferwerderadiel             ;12;Friese bouwstreek                       ;21;F.  ;nee;ja ;Ferwerderadiel             ;6083
1616;Ferwert;1722;Ferwerderadiel             ;12;Friese bouwstreek                       ;21;F.  ;ja ;nee;Ferwert                    ;6084
1617;Ferwoude;710;Wûnseradiel                ;10;Fries weidegebied                       ;21;F.  ;ja ;nee;Ferwoude                   ;3740
1618;70;10;Delfzijl                   ;2;Appingedam, Delfzijl                    ;20;Gr. ;nee;nee;Fiemel                     ;70
1619;Fijnaart;1709;Moerdijk                   ;101;Zeekleigebied in Noord-Brabant          ;30;NB. ;ja ;nee;Fijnaart                   ;6008
1620;365;51;Skarsterlân                ;10;Fries weidegebied                       ;21;F.  ;nee;nee;Finkeburen                 ;365
1621;686;81;Leeuwarderadeel            ;12;Friese bouwstreek                       ;21;F.  ;ja ;nee;Finkum                     ;686
1622;Finsterwolde;1661;Reiderland                 ;3;Groninger Oldambt                       ;20;Gr. ;ja ;nee;Finsterwolde               ;5493
1623;Finsterwolderhamrik;1661;Reiderland                 ;3;Groninger Oldambt                       ;20;Gr. ;nee;nee;Finsterwolderhamrik        ;5494
1624;604;70;Franekeradeel              ;12;Friese bouwstreek                       ;21;F.  ;ja ;nee;Firdgum                    ;604
1625;71;10;Delfzijl                   ;2;Appingedam, Delfzijl                    ;20;Gr. ;nee;nee;Fivelzigt                  ;71
1626;445;55;Boarnsterhim               ;10;Fries weidegebied                       ;21;F.  ;nee;nee;Flansum                    ;445
1627;49;9;Ten Boer                   ;1;Groninger Hoogeland en N. Westerkwartier;20;Gr. ;nee;nee;Fledderbosscherpolder      ;49
1628;Fleringen;183;Tubbergen                  ;24;Overige gemeenten in Twente             ;23;O.  ;ja ;nee;Fleringen                  ;1410
1629;Flieren;206;Bemmel                     ;37;Oostelijke Betuwe                       ;25;Gld.;nee;nee;Flieren                    ;1590
1630;971;118;Hoogeveen                  ;18;Zuiddrents randgebied                   ;22;D.  ;ja ;nee;Fluitenberg                ;971
1631;732;85;Ooststellingwerf           ;9;Fries zandgebied                        ;21;F.  ;ja ;nee;Fochteloo                  ;732
1632;Fokkershoek;1721;Bernheze                   ;111;Maaskant                                ;30;NB. ;nee;nee;Fokkershoek                ;6062
1633;791;90;Smallingerland             ;9;Fries zandgebied                        ;21;F.  ;nee;nee;Folgeren, De               ;791
1634;702;82;Lemsterland                ;10;Fries weidegebied                       ;21;F.  ;ja ;nee;Follega                    ;702
1635;Folsgare;683;Wymbritseradiel            ;10;Fries weidegebied                       ;21;F.  ;ja ;nee;Folsgare                   ;3573
1636;Fonden;213;Brummen                    ;34;Overige gemeenten oostelijke Veluwezoom ;25;Gld.;nee;nee;Fonden                     ;1632
1637;Formerhoek;278;Ruurlo                     ;28;Overige gemeenten westelijke Achterhoek ;25;Gld.;nee;nee;Formerhoek                 ;2034
1638;812;93;Terschelling               ;13;Friese Waddeneilanden                   ;21;F.  ;ja ;nee;Formerum                   ;812
1639;Fort;1690;De Wolden                  ;18;Zuiddrents randgebied                   ;22;D.  ;nee;nee;Fort                       ;5820
1640;Fort Ferdinandus;650;Axel                       ;99;Kanaalzone Oost-Zeeuwsch-Vlaanderen     ;29;Z.  ;nee;nee;Fort Ferdinandus           ;3440
1641;Fort, 't;748;Bergen op Zoom             ;102;Bergen op Zoom, Roosendaal en omgeving  ;30;NB. ;nee;nee;Fort, 't                   ;3925
1642;Fortmond;174;Olst                       ;22;Zuidwest-Overijssel                     ;23;O.  ;nee;nee;Fortmond                   ;1289
1643;513;58;Dongeradeel                ;12;Friese bouwstreek                       ;21;F.  ;ja ;nee;Foudgum                    ;513
1644;946;114;Emmen                      ;15;Emmen                                   ;22;D.  ;nee;nee;Foxel                      ;946
