ID;SectorBranchesSIC2008;Periods;Employee_1;EmployedPerson_2;Employee_3;EmployedPerson_4;Total_5;NetTurnover_6;OtherRevenues_7;Total_8;PurchaseValueOfSales_9;Total_10;GrossWagesAndSalaries_11;Total_12;EmployerPaidSocialInsurancePremiums_13;PensionAndEarlyRetirementPremiums_14;OtherSocialInsuranceCosts_15;OtherPersonnelCosts_16;Total_17;CostsOfEnergyUse_18;HousingCosts_19;EquipmentAndInventoryCosts_20;TransportCosts_21;SalesCosts_22;CommunicationCosts_23;CostsOfOtherServices_24;OtherLiabilities_25;DepreciationFixedAssets_26;OperatingResults_27;NetFinancialIncome_28;BalanceOfProvisions_29;NetExtraordinaryIncome_30;PreTaxResults_31
88;62 Support activities in the field of IT;2012;154.2;196.8;133.1;164.2;23931.0;23459.0;472.0;21793.0;6793.0;9788.0;6938.0;1396.0;906.0;490.0;72.0;1382.0;4250.0;66.0;604.0;175.0;779.0;405.0;205.0;633.0;1383.0;962.0;2138.0;97.0;-24.0;-345.0;1866.0
89;62 Support activities in the field of IT;2013;148.2;192.8;131.5;168.6;23820.0;23435.0;385.0;21285.0;6296.0;9870.0;7020.0;1416.0;941.0;476.0;74.0;1360.0;4159.0;65.0;576.0;225.0;776.0;418.0;187.0;586.0;1327.0;960.0;2535.0;147.0;-6.0;258.0;2935.0
90;63 Information service activities;2009;8.3;16.1;6.6;11.5;1594.0;1590.0;4.0;1491.0;591.0;414.0;292.0;51.0;35.0;16.0;4.0;68.0;304.0;3.0;41.0;31.0;23.0;63.0;14.0;45.0;84.0;181.0;103.0;3.0;-1.0;-36.0;69.0
91;63 Information service activities;2010;8.8;17.2;7.0;12.8;1621.0;1601.0;20.0;1401.0;604.0;403.0;290.0;52.0;35.0;16.0;3.0;58.0;299.0;4.0;41.0;16.0;20.0;83.0;11.0;35.0;89.0;96.0;220.0;-56.0;1.0;13.0;177.0
92;63 Information service activities;2011;10.8;20.1;9.1;15.2;2085.0;2063.0;22.0;1839.0;758.0;583.0;400.0;74.0;54.0;21.0;3.0;106.0;403.0;6.0;53.0;20.0;30.0;106.0;19.0;50.0;120.0;95.0;246.0;0.0;-1.0;-25.0;220.0
93;63 Information service activities;2012;10.8;19.9;8.8;14.4;1752.0;1731.0;21.0;1538.0;565.0;517.0;365.0;62.0;46.0;16.0;3.0;86.0;363.0;5.0;51.0;17.0;28.0;122.0;17.0;37.0;88.0;93.0;214.0;11.0;0.0;2.0;227.0
94;63 Information service activities;2013;13.1;22.4;10.3;16.5;2163.0;2140.0;23.0;1855.0;669.0;621.0;443.0;81.0;61.0;20.0;5.0;92.0;455.0;7.0;51.0;25.0;34.0;144.0;16.0;44.0;133.0;110.0;307.0;13.0;0.0;-1.0;320.0
95;69 Legal services, administration etc.;2009;138.2;177.1;112.8;142.3;15928.0;15697.0;231.0;12928.0;1004.0;7449.0;5390.0;985.0;574.0;411.0;45.0;1029.0;3994.0;88.0;884.0;137.0;393.0;278.0;226.0;441.0;1546.0;481.0;3001.0;170.0;-24.0;-10.0;3137.0
96;69 Legal services, administration etc.;2010;139.4;178.1;112.9;143.3;15563.0;15286.0;277.0;12564.0;949.0;7245.0;5324.0;979.0;574.0;404.0;50.0;892.0;3883.0;88.0;889.0;135.0;346.0;268.0;209.0;425.0;1524.0;487.0;2999.0;-11.0;-26.0;29.0;2991.0
97;69 Legal services, administration etc.;2011;138.2;176.5;111.1;141.7;15951.0;15653.0;299.0;12988.0;1055.0;7398.0;5426.0;1014.0;593.0;421.0;49.0;909.0;4036.0;91.0;902.0;133.0;366.0;288.0;212.0;431.0;1614.0;500.0;2964.0;-23.0;-19.0;-2.0;2920.0
98;69 Legal services, administration etc.;2012;137.0;174.9;109.4;140.1;15739.0;15492.0;248.0;12869.0;1125.0;7272.0;5304.0;1039.0;640.0;399.0;47.0;882.0;3991.0;88.0;905.0;122.0;379.0;263.0;205.0;458.0;1572.0;481.0;2871.0;-75.0;-11.0;-36.0;2750.0
99;69 Legal services, administration etc.;2013;132.8;171.4;106.3;137.4;15506.0;15278.0;229.0;12781.0;1085.0;7234.0;5322.0;1053.0;647.0;406.0;40.0;819.0;3992.0;86.0;910.0;123.0;367.0;263.0;195.0;454.0;1594.0;469.0;2725.0;-61.0;-15.0;-55.0;2594.0
100;691 Legal activities;2009;51.3;61.5;40.5;48.7;5940.0;5803.0;137.0;4754.0;375.0;2553.0;1891.0;324.0;206.0;119.0;14.0;323.0;1668.0;34.0;386.0;52.0;72.0;120.0;85.0;178.0;742.0;158.0;1185.0;20.0;-2.0;4.0;1207.0
101;691 Legal activities;2010;50.4;61.6;39.8;48.8;5820.0;5662.0;159.0;4627.0;388.0;2395.0;1807.0;307.0;205.0;102.0;17.0;264.0;1699.0;33.0;393.0;54.0;74.0;117.0;88.0;168.0;772.0;146.0;1193.0;-1.0;-8.0;10.0;1194.0
102;691 Legal activities;2011;51.2;62.3;40.2;49.0;6091.0;5927.0;165.0;4861.0;389.0;2532.0;1920.0;325.0;215.0;110.0;16.0;271.0;1789.0;34.0;411.0;56.0;75.0;127.0;92.0;171.0;823.0;151.0;1231.0;-2.0;-4.0;8.0;1233.0
103;691 Legal activities;2012;52.1;62.8;40.5;49.5;6012.0;5856.0;156.0;4865.0;407.0;2545.0;1897.0;348.0;235.0;113.0;16.0;286.0;1757.0;36.0;425.0;61.0;81.0;119.0;90.0;173.0;771.0;155.0;1147.0;-28.0;-8.0;0.0;1112.0
104;691 Legal activities;2013;50.6;60.9;39.2;47.9;6025.0;5889.0;136.0;4925.0;367.0;2603.0;1957.0;361.0;243.0;119.0;15.0;271.0;1801.0;36.0;430.0;62.0;78.0;119.0;88.0;178.0;810.0;154.0;1100.0;-21.0;-11.0;-10.0;1059.0
105;692 Accounting, administration etc.;2009;87.0;115.5;72.3;93.7;9989.0;9895.0;94.0;8173.0;629.0;4896.0;3499.0;661.0;369.0;292.0;31.0;705.0;2326.0;54.0;498.0;85.0;322.0;158.0;141.0;263.0;805.0;323.0;1815.0;150.0;-21.0;-14.0;1931.0
106;692 Accounting, administration etc.;2010;89.0;116.5;73.0;94.4;9743.0;9624.0;119.0;7936.0;561.0;4849.0;3517.0;671.0;369.0;302.0;34.0;628.0;2185.0;55.0;496.0;81.0;273.0;151.0;121.0;257.0;752.0;342.0;1807.0;-9.0;-19.0;19.0;1797.0
107;692 Accounting, administration etc.;2011;87.0;114.2;70.9;92.7;9860.0;9726.0;134.0;8127.0;666.0;4866.0;3507.0;689.0;379.0;310.0;33.0;638.0;2247.0;58.0;490.0;77.0;291.0;161.0;120.0;259.0;791.0;348.0;1733.0;-21.0;-15.0;-10.0;1687.0
108;692 Accounting, administration etc.;2012;84.9;112.1;68.9;90.6;9727.0;9636.0;92.0;8004.0;717.0;4727.0;3408.0;691.0;406.0;286.0;31.0;597.0;2234.0;52.0;479.0;61.0;297.0;144.0;115.0;285.0;801.0;326.0;1723.0;-47.0;-3.0;-36.0;1638.0
109;692 Accounting, administration etc.;2013;82.3;110.5;67.2;89.6;9481.0;9389.0;92.0;7856.0;718.0;4631.0;3365.0;692.0;405.0;287.0;25.0;549.0;2192.0;50.0;480.0;61.0;289.0;145.0;107.0;275.0;784.0;315.0;1625.0;-41.0;-4.0;-45.0;1535.0
110;70102 Holding companies (not financial);2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;70102 Holding companies (not financial);2010;17.0;18.9;15.6;17.3;8264.0;7924.0;340.0;8932.0;333.0;2190.0;1467.0;269.0;112.0;157.0;8.0;447.0;5910.0;17.0;212.0;47.0;92.0;191.0;42.0;435.0;4874.0;500.0;-668.0;13028.0;-14.0;-171.0;12175.0
112;70102 Holding companies (not financial);2011;19.6;21.6;17.3;19.2;7411.0;7084.0;328.0;8422.0;317.0;2451.0;1683.0;166.0;128.0;38.0;9.0;592.0;5007.0;18.0;208.0;48.0;116.0;160.0;53.0;618.0;3788.0;647.0;-1011.0;28356.0;-11.0;-177.0;27157.0
113;70102 Holding companies (not financial);2012;18.1;20.0;16.4;18.3;7948.0;7671.0;277.0;9447.0;679.0;2490.0;1618.0;299.0;137.0;162.0;8.0;565.0;5754.0;18.0;191.0;88.0;88.0;305.0;65.0;833.0;4166.0;523.0;-1499.0;17781.0;-6.0;-1000.0;15276.0
114;70102 Holding companies (not financial);2013;21.7;24.9;20.0;22.6;12229.0;11850.0;379.0;13433.0;1308.0;2862.0;1967.0;220.0;167.0;53.0;7.0;668.0;8630.0;32.0;264.0;106.0;218.0;497.0;149.0;1160.0;6204.0;634.0;-1205.0;21536.0;-98.0;583.0;20816.0
115;702 Management and business consultancy;2009;89.7;145.5;72.0;115.0;14728.0;14459.0;269.0;11967.0;3560.0;5137.0;3780.0;663.0;376.0;287.0;33.0;660.0;2900.0;43.0;361.0;103.0;474.0;316.0;198.0;299.0;1107.0;370.0;2760.0;137.0;8.0;-148.0;2758.0
116;702 Management and business consultancy;2010;96.7;159.1;77.5;126.4;15294.0;14886.0;408.0;12167.0;3254.0;5604.0;4156.0;703.0;399.0;304.0;39.0;706.0;2904.0;41.0;360.0;111.0;495.0;319.0;169.0;297.0;1112.0;405.0;3127.0;244.0;-5.0;0.0;3367.0
117;702 Management and business consultancy;2011;99.5;167.5;79.6;133.2;15699.0;15326.0;372.0;12575.0;3324.0;5901.0;4359.0;738.0;406.0;332.0;37.0;768.0;2934.0;37.0;370.0;115.0;511.0;342.0;170.0;308.0;1081.0;415.0;3124.0;143.0;-12.0;21.0;3277.0
118;702 Management and business consultancy;2012;98.0;164.2;78.2;133.9;15654.0;15399.0;255.0;12144.0;3139.0;5699.0;4252.0;741.0;453.0;288.0;39.0;668.0;2909.0;36.0;381.0;98.0;508.0;319.0;160.0;288.0;1119.0;397.0;3510.0;273.0;-2.0;27.0;3808.0
119;702 Management and business consultancy;2013;95.7;174.5;76.4;143.8;15327.0;15082.0;245.0;12034.0;2906.0;5856.0;4402.0;784.0;479.0;305.0;44.0;626.0;2893.0;35.0;366.0;94.0;488.0;319.0;157.0;290.0;1144.0;380.0;3292.0;230.0;-7.0;14.0;3530.0
120;71 Architects, technical services etc.;2009;113.3;154.1;98.2;126.8;15257.0;15023.0;233.0;13451.0;4052.0;6508.0;4617.0;920.0;508.0;412.0;58.0;914.0;2483.0;69.0;465.0;126.0;327.0;204.0;120.0;370.0;802.0;408.0;1806.0;-3.0;-9.0;56.0;1850.0
121;71 Architects, technical services etc.;2010;114.6;152.2;98.5;127.8;15674.0;15344.0;329.0;13819.0;4058.0;6601.0;4705.0;984.0;557.0;427.0;62.0;850.0;2715.0;70.0;473.0;122.0;370.0;230.0;125.0;351.0;973.0;445.0;1854.0;40.0;2.0;23.0;1919.0
122;71 Architects, technical services etc.;2011;112.6;149.9;98.4;127.8;15796.0;15496.0;300.0;14036.0;4111.0;6742.0;4813.0;1018.0;571.0;447.0;64.0;848.0;2734.0;65.0;489.0;127.0;380.0;233.0;124.0;366.0;951.0;450.0;1760.0;-6.0;-1.0;19.0;1772.0
123;71 Architects, technical services etc.;2012;109.6;147.4;96.7;126.6;15446.0;15233.0;213.0;13826.0;4146.0;6603.0;4685.0;1007.0;588.0;420.0;65.0;847.0;2613.0;65.0;464.0;128.0;371.0;224.0;116.0;356.0;890.0;464.0;1620.0;-1.0;-11.0;-22.0;1586.0
124;71 Architects, technical services etc.;2013;109.4;149.6;95.6;128.2;15413.0;15126.0;287.0;13883.0;4071.0;6693.0;4677.0;1056.0;627.0;428.0;51.0;910.0;2594.0;63.0;459.0;130.0;375.0;224.0;113.0;341.0;889.0;524.0;1530.0;-14.0;-14.0;2.0;1504.0
125;711 Architects, engineers etc.;2009;99.1;137.3;85.6;112.1;13453.0;13260.0;193.0;11766.0;3691.0;5665.0;4033.0;793.0;442.0;351.0;52.0;787.0;2070.0;56.0;417.0;107.0;281.0;178.0;99.0;308.0;624.0;340.0;1688.0;-15.0;-6.0;57.0;1724.0
126;711 Architects, engineers etc.;2010;100.0;135.1;85.4;112.6;13699.0;13400.0;298.0;12010.0;3661.0;5709.0;4074.0;843.0;486.0;357.0;55.0;737.0;2269.0;57.0;419.0;98.0;315.0;201.0;104.0;303.0;772.0;370.0;1689.0;49.0;4.0;24.0;1766.0
127;711 Architects, engineers etc.;2011;97.5;132.4;84.7;112.1;13758.0;13495.0;263.0;12126.0;3684.0;5814.0;4158.0;871.0;495.0;376.0;54.0;733.0;2258.0;53.0;431.0;104.0;319.0;201.0;103.0;314.0;733.0;370.0;1632.0;5.0;0.0;21.0;1657.0
128;711 Architects, engineers etc.;2012;93.7;129.2;82.4;110.5;13328.0;13135.0;193.0;11858.0;3687.0;5606.0;3982.0;835.0;499.0;337.0;49.0;739.0;2190.0;51.0;400.0;104.0;301.0;194.0;95.0;305.0;740.0;376.0;1470.0;6.0;-10.0;-1.0;1465.0
129;711 Architects, engineers etc.;2013;93.5;131.4;81.7;112.3;13424.0;13163.0;261.0;12046.0;3667.0;5726.0;4002.0;889.0;533.0;355.0;38.0;797.0;2221.0;51.0;402.0;104.0;310.0;197.0;96.0;290.0;771.0;433.0;1378.0;-42.0;-12.0;5.0;1329.0
130;7111 Architects;2009;14.2;18.9;12.1;15.4;1406.0;1370.0;36.0;1204.0;174.0;688.0;510.0;109.0;61.0;48.0;5.0;64.0;304.0;11.0;72.0;12.0;25.0;24.0;12.0;36.0;112.0;38.0;202.0;-2.0;0.0;-20.0;180.0
131;7111 Architects;2010;12.5;17.5;10.7;14.7;1339.0;1329.0;10.0;1145.0;152.0;639.0;469.0;109.0;58.0;51.0;4.0;57.0;313.0;8.0;70.0;14.0;28.0;24.0;13.0;35.0;122.0;40.0;194.0;-2.0;-2.0;6.0;196.0
132;7111 Architects;2011;12.0;16.2;10.1;13.6;1221.0;1205.0;17.0;1097.0;156.0;604.0;449.0;104.0;55.0;48.0;4.0;48.0;301.0;7.0;64.0;14.0;25.0;23.0;12.0;31.0;125.0;36.0;125.0;-8.0;-1.0;-2.0;114.0
133;7111 Architects;2012;10.3;15.0;8.9;12.5;1053.0;1050.0;3.0;928.0;121.0;526.0;388.0;93.0;52.0;40.0;3.0;42.0;248.0;8.0;58.0;11.0;25.0;19.0;10.0;27.0;91.0;33.0;125.0;-4.0;0.0;-2.0;120.0
134;7111 Architects;2013;9.8;15.8;8.2;12.8;1017.0;1004.0;13.0;882.0;149.0;462.0;333.0;81.0;47.0;34.0;3.0;46.0;249.0;8.0;60.0;11.0;21.0;23.0;11.0;22.0;92.0;21.0;135.0;-2.0;1.0;-10.0;123.0
135;7112 Engineers and technical consultancy;2009;84.8;118.4;73.5;96.7;12047.0;11891.0;157.0;10562.0;3517.0;4977.0;3524.0;684.0;381.0;303.0;47.0;723.0;1766.0;46.0;345.0;95.0;256.0;154.0;87.0;272.0;511.0;302.0;1486.0;-13.0;-6.0;77.0;1543.0
136;7112 Engineers and technical consultancy;2010;87.5;117.5;74.7;97.9;12360.0;12071.0;289.0;10865.0;3509.0;5070.0;3605.0;734.0;428.0;306.0;51.0;680.0;1956.0;49.0;350.0;84.0;287.0;177.0;91.0;268.0;651.0;330.0;1495.0;52.0;6.0;18.0;1571.0
137;7112 Engineers and technical consultancy;2011;85.5;116.2;74.6;98.5;12537.0;12290.0;247.0;11030.0;3528.0;5211.0;3709.0;767.0;439.0;328.0;50.0;685.0;1956.0;45.0;367.0;90.0;294.0;178.0;91.0;284.0;608.0;335.0;1507.0;13.0;1.0;22.0;1543.0
138;7112 Engineers and technical consultancy;2012;83.4;114.2;73.5;98.0;12275.0;12085.0;190.0;10931.0;3566.0;5080.0;3595.0;743.0;446.0;296.0;46.0;697.0;1942.0;43.0;341.0;93.0;276.0;175.0;85.0;278.0;649.0;343.0;1345.0;10.0;-10.0;1.0;1345.0
139;7112 Engineers and technical consultancy;2013;83.6;115.6;73.5;99.5;12407.0;12159.0;248.0;11164.0;3518.0;5263.0;3670.0;807.0;486.0;321.0;36.0;751.0;1972.0;43.0;342.0;93.0;289.0;175.0;85.0;267.0;678.0;412.0;1243.0;-40.0;-12.0;15.0;1206.0
140;712 Technical testing and analysis;2009;14.2;16.8;12.7;14.7;1804.0;1763.0;41.0;1685.0;361.0;843.0;583.0;127.0;66.0;61.0;6.0;127.0;413.0;13.0;48.0;19.0;46.0;26.0;21.0;62.0;179.0;68.0;118.0;12.0;-3.0;-1.0;127.0
141;712 Technical testing and analysis;2010;14.6;17.1;13.2;15.2;1975.0;1944.0;31.0;1810.0;397.0;892.0;631.0;140.0;71.0;69.0;7.0;113.0;445.0;13.0;54.0;24.0;56.0;29.0;21.0;49.0;201.0;75.0;165.0;-9.0;-2.0;0.0;153.0
142;712 Technical testing and analysis;2011;15.2;17.5;13.7;15.7;2038.0;2000.0;37.0;1910.0;427.0;927.0;655.0;147.0;76.0;71.0;10.0;115.0;476.0;12.0;58.0;23.0;61.0;32.0;21.0;52.0;218.0;80.0;127.0;-11.0;0.0;-2.0;115.0
143;712 Technical testing and analysis;2012;16.0;18.2;14.3;16.1;2118.0;2098.0;20.0;1968.0;459.0;998.0;703.0;172.0;89.0;83.0;16.0;107.0;423.0;13.0;65.0;24.0;69.0;30.0;21.0;51.0;150.0;88.0;150.0;-7.0;-1.0;-21.0;120.0
144;712 Technical testing and analysis;2013;15.9;18.2;13.9;16.0;1989.0;1963.0;26.0;1837.0;404.0;968.0;675.0;167.0;94.0;73.0;12.0;113.0;374.0;11.0;57.0;26.0;65.0;26.0;18.0;52.0;119.0;92.0;153.0;28.0;-2.0;-3.0;175.0
145;72 Research and development;2009;31.9;37.3;27.6;30.8;3922.0;3340.0;582.0;4082.0;778.0;2049.0;1475.0;314.0;170.0;144.0;22.0;238.0;1053.0;47.0;181.0;84.0;97.0;75.0;39.0;235.0;295.0;202.0;-160.0;82.0;-22.0;40.0;-60.0
146;72 Research and development;2010;33.3;38.4;29.2;32.6;4336.0;3747.0;589.0;4569.0;947.0;2182.0;1580.0;321.0;169.0;152.0;19.0;263.0;1184.0;57.0;167.0;78.0;29.0;84.0;31.0;338.0;400.0;255.0;-233.0;82.0;-12.0;17.0;-145.0
147;72 Research and development;2011;34.2;38.5;29.8;32.8;4618.0;3983.0;636.0;4750.0;1002.0;2228.0;1626.0;346.0;181.0;165.0;17.0;240.0;1276.0;55.0;190.0;94.0;30.0;74.0;32.0;392.0;410.0;243.0;-132.0;1.0;5.0;17.0;-108.0
148;72 Research and development;2012;34.2;39.1;29.5;33.4;4666.0;3977.0;689.0;4973.0;1033.0;2320.0;1695.0;362.0;192.0;170.0;17.0;246.0;1393.0;55.0;206.0;80.0;32.0;79.0;28.0;467.0;447.0;228.0;-307.0;3.0;-13.0;23.0;-294.0
149;72 Research and development;2013;35.0;40.5;30.7;35.0;4794.0;4099.0;695.0;5186.0;1040.0;2468.0;1752.0;421.0;210.0;210.0;15.0;280.0;1455.0;54.0;253.0;101.0;32.0;87.0;28.0;507.0;394.0;224.0;-392.0;43.0;-32.0;17.0;-364.0
150;73-75 Advertising, design and other;2009;83.1;151.3;60.3;107.5;13548.0;13394.0;154.0;11855.0;6081.0;3221.0;2398.0;440.0;286.0;154.0;31.0;351.0;2170.0;82.0;403.0;107.0;247.0;276.0;123.0;254.0;679.0;384.0;1693.0;-51.0;-34.0;235.0;1842.0
151;73-75 Advertising, design and other;2010;81.5;150.7;60.5;108.2;16562.0;16365.0;197.0;14582.0;8166.0;3516.0;2636.0;481.0;316.0;165.0;29.0;371.0;2484.0;86.0;450.0;118.0;273.0;364.0;142.0;272.0;780.0;416.0;1980.0;4.0;-78.0;297.0;2202.0
152;73-75 Advertising, design and other;2011;82.5;157.4;62.5;117.9;16412.0;16273.0;139.0;14095.0;7759.0;3369.0;2503.0;475.0;313.0;162.0;26.0;365.0;2540.0;68.0;415.0;109.0;281.0;348.0;132.0;251.0;935.0;427.0;2316.0;-61.0;-4.0;70.0;2321.0
153;73-75 Advertising, design and other;2012;81.7;157.0;62.4;118.4;16663.0;16545.0;118.0;14424.0;8068.0;3411.0;2500.0;507.0;339.0;167.0;27.0;378.0;2526.0;66.0;410.0;107.0;274.0;344.0;124.0;250.0;950.0;419.0;2240.0;-80.0;-14.0;-15.0;2130.0
154;73-75 Advertising, design and other;2013;79.9;164.6;61.2;122.0;17089.0;16968.0;120.0;14783.0;8454.0;3458.0;2517.0;512.0;351.0;160.0;25.0;405.0;2493.0;67.0;390.0;108.0;256.0;316.0;125.0;272.0;958.0;378.0;2305.0;-62.0;1.0;19.0;2263.0
155;73 Advertising and market research;2009;46.8;76.2;36.3;58.1;7987.0;7933.0;54.0;7047.0;3733.0;1970.0;1519.0;257.0;177.0;79.0;20.0;174.0;1154.0;35.0;231.0;59.0;144.0;139.0;67.0;132.0;348.0;191.0;940.0;-16.0;-7.0;171.0;1087.0
156;73 Advertising and market research;2010;46.8;78.2;36.0;59.3;8478.0;8390.0;87.0;7497.0;3991.0;2127.0;1645.0;275.0;193.0;82.0;19.0;188.0;1197.0;39.0;242.0;58.0;158.0;157.0;74.0;129.0;339.0;184.0;980.0;-18.0;-24.0;269.0;1206.0
157;73 Advertising and market research;2011;47.6;80.1;36.9;63.0;8162.0;8093.0;69.0;7028.0;3715.0;1980.0;1495.0;266.0;184.0;81.0;15.0;205.0;1146.0;35.0;237.0;56.0;155.0;139.0;69.0;114.0;340.0;188.0;1134.0;-31.0;-1.0;17.0;1120.0
158;73 Advertising and market research;2012;44.9;77.4;35.2;61.5;7998.0;7956.0;42.0;6903.0;3691.0;1923.0;1444.0;277.0;196.0;81.0;14.0;189.0;1111.0;33.0;223.0;55.0;148.0;137.0;64.0;111.0;340.0;178.0;1095.0;-46.0;-1.0;2.0;1050.0
159;73 Advertising and market research;2013;43.9;78.5;34.2;61.9;7911.0;7876.0;35.0;6844.0;3753.0;1869.0;1386.0;269.0;192.0;77.0;13.0;200.0;1048.0;33.0;214.0;48.0;133.0;129.0;60.0;109.0;322.0;174.0;1067.0;-39.0;0.0;9.0;1037.0
160;731 Advertising;2009;30.6;54.2;25.2;42.8;6223.0;6178.0;45.0;5530.0;3206.0;1355.0;1041.0;177.0;122.0;55.0;14.0;124.0;817.0;29.0;169.0;45.0;107.0;91.0;47.0;90.0;240.0;152.0;693.0;-32.0;-7.0;165.0;819.0
161;731 Advertising;2010;30.8;55.9;25.2;43.8;6646.0;6587.0;59.0;5951.0;3450.0;1486.0;1150.0;195.0;135.0;60.0;12.0;129.0;866.0;32.0;176.0;46.0;124.0;96.0;51.0;95.0;246.0;150.0;695.0;-27.0;-23.0;263.0;908.0
162;731 Advertising;2011;31.8;57.9;26.5;47.7;6387.0;6341.0;47.0;5512.0;3144.0;1380.0;1036.0;187.0;129.0;58.0;11.0;147.0;841.0;30.0;184.0;46.0;121.0;86.0;50.0;81.0;244.0;147.0;875.0;-53.0;-1.0;4.0;825.0
163;731 Advertising;2012;30.4;57.0;25.3;47.0;6329.0;6305.0;24.0;5463.0;3177.0;1333.0;993.0;190.0;133.0;56.0;10.0;141.0;808.0;29.0;173.0;43.0;112.0;91.0;48.0;81.0;232.0;146.0;866.0;-45.0;-1.0;-1.0;819.0
164;731 Advertising;2013;28.9;58.3;23.6;47.3;6166.0;6138.0;28.0;5370.0;3174.0;1270.0;944.0;182.0;128.0;54.0;10.0;133.0;780.0;27.0;165.0;40.0;102.0;88.0;44.0;80.0;235.0;147.0;796.0;-43.0;2.0;1.0;755.0
165;732 Market research and opinion polling ;2009;16.2;22.0;11.1;15.3;1764.0;1755.0;9.0;1517.0;527.0;615.0;477.0;80.0;55.0;25.0;7.0;51.0;338.0;6.0;62.0;14.0;36.0;48.0;21.0;42.0;108.0;39.0;247.0;16.0;-1.0;6.0;267.0
166;732 Market research and opinion polling ;2010;16.0;22.4;10.8;15.5;1832.0;1803.0;28.0;1546.0;541.0;641.0;495.0;80.0;58.0;22.0;7.0;59.0;331.0;8.0;66.0;12.0;34.0;61.0;23.0;34.0;93.0;33.0;285.0;9.0;-2.0;6.0;298.0
167;732 Market research and opinion polling ;2011;15.8;22.2;10.5;15.2;1775.0;1753.0;23.0;1516.0;571.0;600.0;459.0;79.0;55.0;24.0;4.0;58.0;304.0;6.0;53.0;11.0;34.0;52.0;19.0;33.0;96.0;41.0;259.0;23.0;-1.0;14.0;295.0
168;732 Market research and opinion polling ;2012;14.5;20.4;9.9;14.4;1669.0;1652.0;18.0;1440.0;514.0;591.0;452.0;88.0;63.0;25.0;4.0;48.0;303.0;5.0;50.0;12.0;37.0;46.0;17.0;30.0;108.0;32.0;230.0;-1.0;0.0;3.0;231.0
169;732 Market research and opinion polling ;2013;15.0;20.2;10.6;14.7;1745.0;1738.0;7.0;1474.0;579.0;599.0;442.0;87.0;64.0;23.0;3.0;67.0;269.0;6.0;49.0;9.0;31.0;42.0;16.0;29.0;88.0;28.0;271.0;5.0;-2.0;8.0;282.0
170;74 Other specialised business services;2009;30.3;66.6;20.0;43.3;4742.0;4650.0;92.0;4210.0;2028.0;1095.0;761.0;160.0;92.0;67.0;9.0;166.0;919.0;41.0;151.0;43.0;96.0;131.0;49.0;106.0;302.0;169.0;531.0;-29.0;-27.0;65.0;541.0
171;74 Other specialised business services;2010;28.3;63.6;20.2;42.9;7299.0;7197.0;102.0;6499.0;3892.0;1215.0;860.0;178.0;104.0;74.0;7.0;171.0;1185.0;39.0;184.0;56.0;106.0;200.0;62.0;127.0;411.0;208.0;800.0;27.0;-54.0;28.0;801.0
172;74 Other specialised business services;2011;27.8;67.5;20.8;47.9;7378.0;7317.0;61.0;6418.0;3750.0;1182.0;855.0;175.0;107.0;69.0;10.0;142.0;1278.0;27.0;155.0;46.0;117.0;201.0;57.0;120.0;555.0;208.0;960.0;-23.0;-3.0;52.0;985.0
173;74 Other specialised business services;2012;29.5;69.8;22.2;49.9;7791.0;7722.0;69.0;6859.0;4081.0;1272.0;895.0;195.0;121.0;75.0;11.0;171.0;1295.0;26.0;160.0;45.0;116.0;200.0;53.0;121.0;574.0;211.0;932.0;-23.0;-12.0;-20.0;876.0
174;74 Other specialised business services;2013;28.4;75.5;21.9;52.5;8233.0;8164.0;69.0;7208.0;4365.0;1346.0;955.0;201.0;132.0;69.0;10.0;180.0;1325.0;27.0;146.0;53.0;113.0;180.0;58.0;143.0;606.0;173.0;1025.0;-22.0;2.0;0.0;1005.0
175;75 Veterinary activities;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
176;75 Veterinary activities;2010;6.3;8.9;4.3;6.0;785.0;777.0;8.0;586.0;284.0;175.0;131.0;29.0;19.0;9.0;3.0;12.0;102.0;7.0;24.0;4.0;8.0;7.0;7.0;16.0;29.0;25.0;199.0;-5.0;0.0;1.0;195.0
177;75 Veterinary activities;2011;7.1;9.8;4.8;7.0;872.0;863.0;9.0;649.0;295.0;207.0;153.0;34.0;22.0;11.0;2.0;19.0;116.0;6.0;24.0;6.0;8.0;9.0;7.0;17.0;40.0;31.0;223.0;-8.0;0.0;1.0;216.0
178;75 Veterinary activities;2012;7.3;9.9;5.0;7.0;875.0;867.0;7.0;662.0;295.0;216.0;161.0;34.0;23.0;11.0;3.0;19.0;120.0;7.0;27.0;7.0;9.0;8.0;7.0;19.0;37.0;31.0;213.0;-11.0;-1.0;4.0;205.0
179;75 Veterinary activities;2013;7.7;10.6;5.1;7.5;944.0;928.0;17.0;731.0;337.0;244.0;176.0;41.0;27.0;14.0;3.0;25.0;120.0;7.0;30.0;7.0;10.0;7.0;7.0;21.0;30.0;30.0;214.0;-2.0;-1.0;11.0;222.0
180;N Renting and other business support;2009;618.9;440.2;391.2;289.3;49683.0;49086.0;597.0;46138.0;19815.0;16366.0;11892.0;2282.0;1685.0;597.0;90.0;2102.0;5993.0;161.0;978.0;266.0;905.0;935.0;303.0;806.0;1638.0;3965.0;3545.0;188.0;-76.0;-69.0;3588.0
