ID;Countries;Periods;EfficiencyDistributionInfrastructure_1;ICTExpenditure_2;ITExpenditure_3;TelecommunicationExpenditure_4;PublicRDExpenditure_5;Total_6;PercentageFinancedPublicly_7;PercentageFinancedPrivately_8;InGDPPerCapita_9;PrimaryEducation_10;SecondaryEducation_11;Total_12;PercentageFinancedPublicly_13;PercentageFinancedPrivately_14
299;The Netherlands;1990;;;;;1.0;;;;;;;;;
300;The Netherlands;1991;7.9;;;;0.95;;;;;;;;;
301;The Netherlands;1992;8.4;;;;0.93;;;;;;;;;
302;The Netherlands;1993;8.2;;;;0.93;;;;;;;;;
303;The Netherlands;1994;8.8;;;;0.86;;;;;;;;;
304;The Netherlands;1995;8.5;;;;0.83;;90.2;9.8;;;;;80.6;19.4
305;The Netherlands;1996;8.1;;;;0.82;;;;;;;;;
306;The Netherlands;1997;7.3;;;;0.78;;;;;3335.0;4992.0;9989.0;;
307;The Netherlands;1998;7.6;;;;0.72;;;;;3795.0;5304.0;10757.0;87.5;12.5
308;The Netherlands;1999;7.0;;;;0.7;;;;;4162.0;5670.0;12285.0;77.6;22.4
309;The Netherlands;2000;7.0;7.6;;;0.62;6125.0;90.3;9.7;22.0;4325.0;5912.0;11934.0;77.4;22.6
310;The Netherlands;2001;6.4;7.2;;;0.65;6733.0;90.9;9.1;23.0;4862.0;6403.0;12974.0;78.2;21.8
311;The Netherlands;2002;6.3;7.8;4.1;3.7;0.64;7241.0;90.3;9.7;24.0;5558.0;6823.0;13101.0;78.1;21.9
312;The Netherlands;2003;7.6;7.6;3.9;3.7;0.64;7501.0;90.4;9.6;24.0;5836.0;6996.0;13444.0;78.6;21.4
313;The Netherlands;2004;7.8;6.4;3.3;3.1;;7999.0;90.1;9.9;24.0;6222.0;7541.0;13846.0;77.6;22.4
314;The Netherlands;2005;7.8;6.4;3.3;3.1;0.74;8147.0;91.4;8.6;23.0;6266.0;7741.0;13883.0;77.6;22.4
315;The Netherlands;2006;7.5;5.6;2.9;2.7;;9330.0;84.3;15.7;25.0;6425.0;9516.0;15196.0;73.4;26.6
316;The Netherlands;2007;7.7;5.4;2.9;2.5;0.69;9883.0;83.8;16.2;25.0;6552.0;10248.0;15969.0;72.4;27.6
317;The Netherlands;2008;8.2;5.2;2.8;2.4;;;;;;;;;;
318;The Netherlands;2009;8.0;5.3;2.8;2.5;0.75;11493.0;84.9;15.1;28.0;7917.0;11793.0;17849.0;72.9;27.1
319;The Netherlands;2010;8.5;5.3;2.8;2.5;;;;;;;;;;
320;The Netherlands;2011;8.7;;;;;;;;;;;;;
321;The Netherlands;2012;8.9;;;;;;;;;;;;;
322;Poland;1990;;;;;;;;;;;;;;
323;Poland;1991;;;;;;;;;;;;;;
324;Poland;1992;;;;;;;;;;;;;;
325;Poland;1993;;;;;;;;;;;;;;
326;Poland;1994;3.9;;;;0.4;;;;;;;;;
327;Poland;1995;5.1;;;;0.38;;;;;;;;;
328;Poland;1996;4.2;;;;0.38;;;;;;;;;
329;Poland;1997;4.4;;;;0.4;;;;;1435.0;;4395.0;;
330;Poland;1998;5.3;;;;0.39;;;;;1496.0;;4262.0;;
331;Poland;1999;3.4;;;;0.4;;;;;1888.0;1583.0;3912.0;82.8;17.2
332;Poland;2000;3.2;6.7;;;0.43;2149.0;;;23.0;2105.0;;3222.0;;
333;Poland;2001;2.8;5.9;;;0.4;2573.0;;;25.0;2322.0;;3579.0;;
334;Poland;2002;3.7;;;;0.35;2962.0;89.2;10.8;26.0;2585.0;;4834.0;69.7;30.3
335;Poland;2003;5.3;6.4;1.7;4.7;0.34;3221.0;89.4;10.6;28.0;2859.0;2951.0;4589.0;69.0;31.0
336;Poland;2004;4.7;6.5;1.9;4.6;0.34;3323.0;90.1;9.9;25.0;3130.0;2889.0;4412.0;72.9;27.1
337;Poland;2005;4.3;7.2;2.4;4.8;0.33;3592.0;90.7;9.3;26.0;3312.0;3055.0;;74.0;26.0
338;Poland;2006;5.2;6.1;1.8;4.3;0.32;3868.0;90.5;9.5;26.0;3770.0;3411.0;5224.0;70.4;29.6
339;Poland;2007;5.9;5.6;1.7;3.9;0.33;4134.0;90.6;9.4;25.0;4063.0;3590.0;5576.0;71.5;28.5
340;Poland;2008;5.7;5.1;1.6;3.5;0.36;;;;;;;;;
341;Poland;2009;6.3;5.1;1.9;3.2;0.41;5666.0;87.6;12.4;30.0;5302.0;5026.0;7776.0;69.7;30.3
342;Poland;2010;6.6;4.5;1.7;2.8;0.45;;;;;;;;;
343;Poland;2011;7.4;;;;;;;;;;;;;
344;Poland;2012;6.6;;;;;;;;;;;;;
345;South Korea;1990;;;;;;;;;;;;;;
346;South Korea;1991;5.7;;;;;;;;;;;;;
347;South Korea;1992;4.9;;;;;;;;;;;;;
348;South Korea;1993;3.0;;;;;;;;;;;;;
349;South Korea;1994;3.8;;;;;;;;;;;;;
350;South Korea;1995;3.7;;;;0.45;;;;;;;;;
351;South Korea;1996;3.5;;;;0.49;;;;;;;;;
352;South Korea;1997;3.5;;;;0.57;;;;;3308.0;3518.0;6844.0;;
353;South Korea;1998;3.3;;;;0.61;;;;;2838.0;3544.0;6356.0;16.7;83.3
354;South Korea;1999;3.9;;;;0.56;;;;;2838.0;3419.0;5356.0;20.7;79.3
355;South Korea;2000;5.7;;;;0.57;4294.0;59.2;40.8;28.0;3155.0;4069.0;6118.0;23.3;76.7
356;South Korea;2001;4.8;;;;0.65;5035.0;57.1;42.9;32.0;3714.0;5159.0;6618.0;15.9;84.1
357;South Korea;2002;6.4;;;;0.64;5053.0;58.3;41.7;27.0;3553.0;5882.0;6047.0;14.9;85.1
358;South Korea;2003;5.4;;;;0.63;5733.0;60.0;40.0;30.0;4098.0;6410.0;7089.0;23.2;76.8
359;South Korea;2004;5.9;;;;0.62;5994.0;60.5;39.5;29.0;4490.0;6761.0;7068.0;21.0;79.0
360;South Korea;2005;6.2;;;;0.64;6212.0;58.9;41.1;29.0;4691.0;6645.0;7606.0;24.3;75.7
361;South Korea;2006;6.2;;;;0.69;6811.0;58.8;41.2;30.0;4935.0;7261.0;8564.0;23.1;76.9
362;South Korea;2007;7.3;;;;0.8;7325.0;57.6;42.4;28.0;5437.0;7860.0;8920.0;20.7;79.3
363;South Korea;2008;6.4;;;;0.85;;;;;;;;;
364;South Korea;2009;7.1;;;;0.98;8542.0;59.0;41.0;31.0;6658.0;9399.0;9513.0;27.5;72.5
365;South Korea;2010;7.8;;;;1.0;;;;;;;;;
366;South Korea;2011;7.7;;;;;;;;;;;;;
367;South Korea;2012;7.6;;;;;;;;;;;;;
368;Spain;1990;;;;;0.36;;;;;;;;;
369;Spain;1991;5.5;;;;0.38;;;;;;;;;
370;Spain;1992;5.4;;;;0.43;;;;;;;;;
371;Spain;1993;5.3;;;;0.44;;;;;;;;;
372;Spain;1994;6.0;;;;0.42;;;;;;;;;
373;Spain;1995;6.4;;;;0.35;;84.2;15.8;;;;;74.4;25.6
374;Spain;1996;6.3;;;;0.36;;;;;;;;;
375;Spain;1997;6.9;;;;0.35;;;;;3180.0;4274.0;5166.0;;
376;Spain;1998;6.3;;;;0.34;;;;;3267.0;;5038.0;72.1;27.9
377;Spain;1999;6.4;;;;0.35;;;;;3635.0;;5707.0;74.2;25.8
378;Spain;2000;6.1;5.5;;;0.35;5037.0;87.4;12.6;25.0;3941.0;5185.0;6666.0;74.4;25.6
379;Spain;2001;5.9;5.2;;;0.37;5385.0;87.8;12.2;25.0;4168.0;5442.0;7455.0;75.5;24.5
380;Spain;2002;6.2;5.6;1.8;3.8;0.39;5914.0;88.4;11.6;25.0;4592.0;6010.0;8020.0;76.3;23.7
381;Spain;2003;6.7;5.5;1.8;3.7;0.42;6346.0;88.6;11.4;26.0;4829.0;6418.0;8943.0;76.9;23.1
382;Spain;2004;6.6;4.8;1.4;3.4;0.44;6599.0;87.1;12.9;25.0;4965.0;6701.0;9378.0;75.9;24.1
383;Spain;2005;6.7;4.7;1.4;3.3;0.48;7134.0;88.6;11.4;26.0;5502.0;7211.0;10089.0;77.9;22.1
384;Spain;2006;6.5;5.0;1.6;3.4;0.51;7819.0;88.9;11.1;26.0;5970.0;7955.0;11087.0;78.2;21.8
385;Spain;2007;6.5;5.0;1.7;3.3;0.55;8618.0;87.3;12.7;27.0;6533.0;8730.0;12548.0;79.0;21.0
386;Spain;2008;7.1;4.9;1.7;3.2;0.62;;;;;;;;;
387;Spain;2009;7.4;4.9;1.7;3.2;0.66;9800.0;89.5;10.5;30.0;7446.0;10111.0;13614.0;80.8;19.2
388;Spain;2010;7.6;4.8;1.8;3.0;;;;;;;;;;
389;Spain;2011;8.3;;;;;;;;;;;;;
390;Spain;2012;7.9;;;;;;;;;;;;;
391;Sweden;1990;;;;;;;;;;;;;;
392;Sweden;1991;6.7;;;;0.92;;;;;;;;;
393;Sweden;1992;8.6;;;;;;;;;;;;;
394;Sweden;1993;8.4;;;;1.03;;;;;;;;;
395;Sweden;1994;8.4;;;;;;;;;;;;;
396;Sweden;1995;8.3;;;;0.92;;98.3;1.7;;;;;93.6;6.4
397;Sweden;1996;8.7;;;;;;;;;;;;;
398;Sweden;1997;7.8;;;;0.9;;;;;5491.0;5437.0;12981.0;;
399;Sweden;1998;7.8;;;;;;;;;5579.0;5648.0;13224.0;89.3;10.7
400;Sweden;1999;8.1;;;;0.94;;;;;5736.0;5911.0;14222.0;88.4;11.6
401;Sweden;2000;7.7;8.5;;;;7524.0;97.0;3.0;29.0;6336.0;6339.0;15097.0;88.1;11.9
402;Sweden;2001;7.5;8.5;;;0.93;7612.0;96.8;3.2;28.0;6295.0;6482.0;15188.0;87.7;12.3
403;Sweden;2002;7.4;9.2;4.9;4.3;;8520.0;96.7;3.3;30.0;7143.0;7400.0;15715.0;90.0;10.0
404;Sweden;2003;7.9;8.8;4.5;4.3;0.94;8792.0;97.1;2.9;30.0;7291.0;7662.0;16073.0;89.0;11.0
405;Sweden;2004;8.3;7.5;3.8;3.7;;9085.0;97.0;3.0;29.0;7469.0;8039.0;16218.0;88.4;11.6
406;Sweden;2005;7.6;7.4;3.8;3.6;0.87;9156.0;97.0;3.0;28.0;7532.0;8198.0;15946.0;88.2;11.8
407;Sweden;2006;8.2;5.3;3.2;2.1;;9523.0;97.3;2.7;28.0;7699.0;8496.0;16991.0;89.1;10.9
408;Sweden;2007;8.1;5.2;3.1;2.1;0.85;10262.0;97.4;2.6;28.0;8338.0;9143.0;18361.0;89.3;10.7
409;Sweden;2008;8.7;5.3;3.2;2.1;;;;;;;;;;
410;Sweden;2009;8.8;5.6;3.4;2.2;0.99;11400.0;100.0;0.0;31.0;9382.0;10050.0;19961.0;90.2;9.8
411;Sweden;2010;8.8;4.8;2.9;1.9;;;;;;;;;;
412;Sweden;2011;8.6;;;;;;;;;;;;;
413;Sweden;2012;8.8;;;;;;;;;;;;;
414;United Kingdom;1990;;;;;0.76;;;;;;;;;
415;United Kingdom;1991;8.1;;;;0.72;;;;;;;;;
416;United Kingdom;1992;7.1;;;;0.67;;;;;;;;;
417;United Kingdom;1993;7.4;;;;0.66;;;;;;;;;
418;United Kingdom;1994;8.0;;;;0.66;;;;;;;;;
419;United Kingdom;1995;7.6;;;;0.64;;87.3;12.7;;;;;80.0;20.0
420;United Kingdom;1996;7.4;;;;0.59;;;;;;;;;
421;United Kingdom;1997;6.6;;;;0.55;;;;;3206.0;4609.0;8169.0;;
422;United Kingdom;1998;6.0;;;;0.55;;;;;3329.0;5230.0;9699.0;62.7;37.3
423;United Kingdom;1999;5.2;;;;0.54;;;;;3627.0;5608.0;9554.0;63.2;36.8
424;United Kingdom;2000;5.4;7.6;;;0.56;5592.0;85.2;14.8;21.0;3877.0;5991.0;9657.0;67.7;32.3
425;United Kingdom;2001;3.5;7.4;;;0.53;5972.0;84.7;15.3;22.0;4415.0;5933.0;10753.0;71.0;29.0
426;United Kingdom;2002;3.6;8.6;4.7;3.9;0.53;6691.0;84.4;15.6;23.0;5150.0;6505.0;11822.0;72.0;28.0
427;United Kingdom;2003;5.6;8.1;4.3;3.8;0.57;7376.0;84.0;16.0;25.0;5851.0;7290.0;11866.0;70.2;29.8
428;United Kingdom;2004;6.8;6.6;3.5;3.1;0.55;7270.0;83.9;16.1;23.0;5941.0;7090.0;11484.0;69.6;30.4
429;United Kingdom;2005;6.6;6.7;3.6;3.1;0.57;7741.0;80.0;20.0;25.0;6361.0;7167.0;13506.0;66.9;33.1
430;United Kingdom;2006;6.6;6.1;3.2;2.9;0.56;9309.0;75.3;24.7;27.0;7732.0;8763.0;15447.0;64.8;35.2
431;United Kingdom;2007;6.3;6.1;3.2;2.9;0.55;9600.0;69.5;30.5;27.0;8222.0;8892.0;15463.0;35.8;64.2
432;United Kingdom;2008;7.2;6.9;3.7;3.2;0.55;;;;;;;;;
433;United Kingdom;2009;7.8;7.3;3.9;3.4;0.6;10587.0;87.1;12.9;31.0;9088.0;10013.0;16338.0;42.8;57.2
434;United Kingdom;2010;8.3;6.9;3.8;3.1;0.57;;;;;;;;;
435;United Kingdom;2011;8.1;;;;;;;;;;;;;
436;United Kingdom;2012;8.1;;;;;;;;;;;;;
437;United States;1990;;;;;1.1;;;;;;;;;
438;United States;1991;8.3;;;;1.06;;;;;;;;;
439;United States;1992;8.4;;;;1.0;;;;;;;;;
440;United States;1993;8.6;;;;0.95;;;;;;;;;
441;United States;1994;8.7;;;;0.9;;;;;;;;;
442;United States;1995;8.8;;;;0.89;;69.3;30.7;;;;;;
443;United States;1996;8.7;;;;0.85;;;;;;;;;
444;United States;1997;8.7;;;;0.81;;;;;5718.0;7230.0;17466.0;;
445;United States;1998;8.3;;;;0.79;;;;;6043.0;7764.0;19802.0;46.8;53.2
446;United States;1999;7.8;;;;0.76;;;;;6582.0;8157.0;19220.0;46.9;53.1
447;United States;2000;8.0;6.7;;;0.71;10240.0;68.2;31.8;30.0;6995.0;8855.0;20358.0;33.9;66.1
448;United States;2001;7.1;8.6;;;0.75;10871.0;69.2;30.8;31.0;7560.0;8779.0;22234.0;34.0;66.0
449;United States;2002;8.5;8.1;4.7;3.4;0.78;11152.0;73.8;26.2;31.0;8049.0;9098.0;20545.0;45.1;54.9
450;United States;2003;8.3;7.1;4.1;3.0;0.8;12023.0;72.3;27.7;32.0;8305.0;9590.0;24074.0;42.8;57.2
451;United States;2004;8.6;5.6;3.3;2.3;0.79;12092.0;68.4;31.6;30.0;8805.0;9938.0;22476.0;35.4;64.6
452;United States;2005;8.3;5.5;3.3;2.2;0.77;12788.0;67.3;32.7;31.0;9156.0;10390.0;24370.0;34.7;65.3
453;United States;2006;8.4;5.6;2.8;2.8;0.76;13447.0;68.0;32.0;31.0;9709.0;10821.0;25109.0;34.0;66.0
454;United States;2007;8.3;6.2;3.1;3.1;0.76;14269.0;66.1;33.9;31.0;10229.0;11301.0;27010.0;31.6;68.4
455;United States;2008;8.9;6.6;3.3;3.3;0.83;;;;;;;;;
456;United States;2009;8.4;;;;0.91;15812.0;71.5;28.5;35.0;11109.0;12550.0;29201.0;38.1;61.9
457;United States;2010;8.6;;;;;;;;;;;;;
458;United States;2011;8.7;;;;;;;;;;;;;
459;United States;2012;8.7;;;;;;;;;;;;;
460;EU-15;1990;;;;;0.77;;;;;;;;;
461;EU-15;1991;;;;;0.76;;;;;;;;;
462;EU-15;1992;;;;;0.73;;;;;;;;;
463;EU-15;1993;;;;;0.73;;;;;;;;;
464;EU-15;1994;;;;;0.7;;;;;;;;;
465;EU-15;1995;;;;;0.69;;;;;;;;;
466;EU-15;1996;;;;;0.68;;;;;;;;;
467;EU-15;1997;;;;;0.66;;;;;;;;;
468;EU-15;1998;;;;;0.64;;;;;;;;;
469;EU-15;1999;;;;;0.64;;;;;;;;;
470;EU-15;2000;;6.5;;;0.64;;;;;;;;;
471;EU-15;2001;;6.3;;;0.64;;;;;;;;;
472;EU-15;2002;;6.6;3.2;3.4;0.65;;;;;;;;;
473;EU-15;2003;;6.4;3.1;3.3;0.66;;;;;;;;;
474;EU-15;2004;;5.7;2.7;3.0;0.65;;;;;;;;;
475;EU-15;2005;;5.8;2.8;3.0;0.64;;;;;;;;;
476;EU-15;2006;;5.4;2.5;2.9;0.63;;;;;;;;;
477;EU-15;2007;;5.2;2.4;2.8;0.63;;;;;;;;;
478;EU-15;2008;;5.3;2.5;2.8;0.67;;;;;;;;;
479;EU-15;2009;;5.5;2.6;2.9;0.72;;;;;;;;;
480;EU-15;2010;;5.2;2.5;2.7;;;;;;;;;;
481;EU-15;2011;;;;;;;;;;;;;;
482;EU-15;2012;;;;;;;;;;;;;;
483;EU-25;1990;;;;;;;;;;;;;;
484;EU-25;1991;;;;;;;;;;;;;;
485;EU-25;1992;;;;;;;;;;;;;;
486;EU-25;1993;;;;;;;;;;;;;;
487;EU-25;1994;;;;;;;;;;;;;;
488;EU-25;1995;;;;;0.66;;;;;;;;;
489;EU-25;1996;;;;;0.65;;;;;;;;;
490;EU-25;1997;;;;;0.63;;;;;;;;;
491;EU-25;1998;;;;;0.62;;;;;;;;;
492;EU-25;1999;;;;;0.62;;;;;;;;;
493;EU-25;2000;;;;;0.62;;;;;;;;;
494;EU-25;2001;;5.6;;;0.62;;;;;;;;;
495;EU-25;2002;;;;;0.63;;;;;;;;;
496;EU-25;2003;;6.4;3.0;3.4;0.64;;;;;;;;;
497;EU-25;2004;;6.4;3.0;3.4;0.63;;;;;;;;;
498;EU-25;2005;;6.4;3.0;3.4;0.62;;;;;;;;;
499;EU-25;2006;;5.4;2.4;3.0;0.61;;;;;;;;;
500;EU-25;2007;;5.3;2.4;2.9;0.61;;;;;;;;;
501;EU-25;2008;;5.4;2.5;2.9;0.64;;;;;;;;;
502;EU-25;2009;;5.4;2.5;2.9;0.69;;;;;;;;;
503;EU-25;2010;;5.3;2.5;2.8;;;;;;;;;;
504;EU-25;2011;;;;;;;;;;;;;;
505;EU-25;2012;;;;;;;;;;;;;;
506;EU-27;1990;;;;;;;;;;;;;;
507;EU-27;1991;;;;;;;;;;;;;;
508;EU-27;1992;;;;;;;;;;;;;;
509;EU-27;1993;;;;;;;;;;;;;;
510;EU-27;1994;;;;;;;;;;;;;;
511;EU-27;1995;;;;;0.66;;;;;;;;;
512;EU-27;1996;;;;;0.65;;;;;;;;;
513;EU-27;1997;;;;;0.63;;;;;;;;;
514;EU-27;1998;;;;;0.62;;;;;;;;;
515;EU-27;1999;;;;;0.61;;;;;;;;;
516;EU-27;2000;;;;;0.61;;;;;;;;;
517;EU-27;2001;;;;;0.61;;;;;;;;;
518;EU-27;2002;;;;;0.62;;;;;;;;;
519;EU-27;2003;;;;;0.63;;;;;;;;;
520;EU-27;2004;;5.8;2.7;3.1;0.62;;;;;;;;;
521;EU-27;2005;;5.8;2.7;3.1;0.61;;;;;;;;;
522;EU-27;2006;;5.4;2.4;3.0;0.6;;;;;;;;;
523;EU-27;2007;;5.3;2.4;2.9;0.6;;;;;;;;;
524;EU-27;2008;;5.3;2.4;2.9;0.63;;;;;;;;;
525;EU-27;2009;;5.4;2.5;2.9;0.68;;;;;;;;;
526;EU-27;2010;;5.3;2.5;2.8;;;;;;;;;;
527;EU-27;2011;;;;;;;;;;;;;;
528;EU-27;2012;;;;;;;;;;;;;;
529;OECD;1990;;;;;0.83;;;;;;;;;
530;OECD;1991;;;;;0.78;;;;;;;;;
531;OECD;1992;;;;;0.75;;;;;;;;;
532;OECD;1993;;;;;0.74;;;;;;;;;
533;OECD;1994;;;;;0.71;;;;;;;;;
534;OECD;1995;;;;;0.7;;;;;;;;;
535;OECD;1996;;;;;0.67;;;;;;;;;
536;OECD;1997;;;;;0.66;;;;;3769.0;5507.0;10893.0;;
537;OECD;1998;;;;;0.65;;;;;3915.0;5625.0;11720.0;77.3;22.7
538;OECD;1999;;;;;0.64;;;;;4229.0;5174.0;11422.0;79.2;20.8
539;OECD;2000;;;;;0.63;6361.0;88.4;11.6;;4470.0;5501.0;11109.0;78.6;21.4
540;OECD;2001;;;;;0.65;6821.0;87.8;12.2;;4819.0;6688.0;12319.0;78.2;21.8
541;OECD;2002;;;;;0.66;7343.0;88.4;11.6;;5273.0;6992.0;13343.0;78.1;21.9
542;OECD;2003;;;;;0.67;7471.0;88.0;12.0;;5055.0;6936.0;14598.0;76.4;23.6
543;OECD;2004;;;;;0.66;7572.0;87.0;13.0;;5331.0;7163.0;14027.0;75.7;24.3
544;OECD;2005;;;;;0.65;8553.0;85.5;14.5;26.0;6173.0;7736.0;15559.0;73.1;26.9
545;OECD;2006;;;;;0.64;8857.0;84.7;15.3;26.0;6517.0;7966.0;15791.0;72.6;27.4
546;OECD;2007;;;;;0.64;9195.0;82.6;17.4;25.0;6756.0;8153.0;16625.0;69.1;30.9
547;OECD;2008;;;;;0.68;;;;;;;;;
548;OECD;2009;;;;;0.73;;;;;;;;;
549;OECD;2010;;;;;;;;;;;;;;
550;OECD;2011;;;;;;;;;;;;;;
551;OECD;2012;;;;;;;;;;;;;;
