ID;Countries;SIC2008;Periods;ForeignSubsidiary_1;Employees_2;Revenue_3;PersonnelCosts_4;Investments_5
2147;Angola;408700;2022;;;;;
2148;Angola;409900;2021;;;;;
2149;Angola;409900;2022;;;;;
2150;Angola;410200;2021;;;;;
2151;Angola;410200;2022;;;;;
2152;Angola;410300;2021;;;;;
2153;Angola;410300;2022;;;;;
2154;Angola;800010;2021;;;;;
2155;Angola;800010;2022;;;;;
2156;Angola;412700;2021;;;;;
2157;Angola;412700;2022;;;;;
2158;Angola;413700;2021;;;;;
2159;Angola;413700;2022;;;;;
2160;Angola;414300;2021;;;;;
2161;Angola;414300;2022;;;;;
2162;Angola;415000;2021;;;;;
2163;Angola;415000;2022;;;;;
2164;Angola;415900;2021;;;;;
2165;Angola;415900;2022;;;;;
2166;Angola;419000;2021;;;;;
2167;Angola;419000;2022;;;;;
2168;Angola;419100;2021;;;;;
2169;Angola;419100;2022;;;;;
2170;Angola;422400;2021;;;;;
2171;Angola;422400;2022;;;;;
2172;Angola;422500;2021;;;;;
2173;Angola;422500;2022;;;;;
2174;Angola;425300;2021;;;;;
2175;Angola;425300;2022;;;;;
2176;Angola;425305;2021;;;;;
2177;Angola;425305;2022;;;;;
2178;Angola;426600;2021;;;;;
2179;Angola;426600;2022;;;;;
2180;Angola;428100;2021;;;;;
2181;Angola;428100;2022;;;;;
2182;Angola;428200;2021;;;;;
2183;Angola;428200;2022;;;;;
2184;Angola;429300;2021;;;;;
2185;Angola;429300;2022;;;;;
2186;Angola;430600;2021;;;;;
2187;Angola;430600;2022;;;;;
2188;Angola;431100;2021;;;;;
2189;Angola;431100;2022;;;;;
2190;Angola;435500;2021;;;;;
2191;Angola;435500;2022;;;;;
2192;Angola;435600;2021;;;;;
2193;Angola;435600;2022;;;;;
2194;Angola;437500;2021;;;;;
2195;Angola;437500;2022;;;;;
2196;Angola;438600;2021;;;;;
2197;Angola;438600;2022;;;;;
2198;Angola;441000;2021;;;;;
2199;Angola;441000;2022;;;;;
2200;Anguilla;305700;2021;;;;;
2201;Anguilla;305700;2022;;;;;
2202;Anguilla;800012;2021;;;;;
2203;Anguilla;800012;2022;;;;;
2204;Anguilla;305800;2021;;;;;
2205;Anguilla;305800;2022;;;;;
2206;Anguilla;306300;2021;;;;;
2207;Anguilla;306300;2022;;;;;
2208;Anguilla;307000;2021;;;;;
2209;Anguilla;307000;2022;;;;;
2210;Anguilla;307500;2021;;;;;
2211;Anguilla;307500;2022;;;;;
2212;Anguilla;307610;2021;;;;;
2213;Anguilla;307610;2022;;;;;
2214;Anguilla;307600;2021;;;;;
2215;Anguilla;307600;2022;;;;;
2216;Anguilla;311300;2021;;;;;
2217;Anguilla;311300;2022;;;;;
2218;Anguilla;312200;2021;;;;;
2219;Anguilla;312200;2022;;;;;
2220;Anguilla;312500;2021;;;;;
2221;Anguilla;312500;2022;;;;;
2222;Anguilla;312505;2021;;;;;
2223;Anguilla;312505;2022;;;;;
2224;Anguilla;314000;2021;;;;;
2225;Anguilla;314000;2022;;;;;
2226;Anguilla;315200;2021;;;;;
2227;Anguilla;315200;2022;;;;;
2228;Anguilla;315810;2021;;;;;
2229;Anguilla;315810;2022;;;;;
2230;Anguilla;315800;2021;;;;;
2231;Anguilla;315800;2022;;;;;
2232;Anguilla;317100;2021;;;;;
2233;Anguilla;317100;2022;;;;;
2234;Anguilla;318600;2021;;;;;
2235;Anguilla;318600;2022;;;;;
2236;Anguilla;320000;2021;;;;;
2237;Anguilla;320000;2022;;;;;
2238;Anguilla;320700;2021;;;;;
2239;Anguilla;320700;2022;;;;;
2240;Anguilla;323200;2021;;;;;
2241;Anguilla;323200;2022;;;;;
2242;Anguilla;323705;2021;;;;;
2243;Anguilla;323705;2022;;;;;
2244;Anguilla;323700;2021;;;;;
2245;Anguilla;323700;2022;;;;;
2246;Anguilla;324600;2021;;;;;
2247;Anguilla;324600;2022;;;;;
2248;Anguilla;328100;2021;;;;;
2249;Anguilla;328100;2022;;;;;
2250;Anguilla;328105;2021;;;;;
2251;Anguilla;328105;2022;;;;;
2252;Anguilla;330300;2021;;;;;
2253;Anguilla;330300;2022;;;;;
2254;Anguilla;332900;2021;;;;;
2255;Anguilla;332900;2022;;;;;
2256;Anguilla;334800;2021;;;;;
2257;Anguilla;334800;2022;;;;;
2258;Anguilla;336500;2021;;;;;
2259;Anguilla;336500;2022;;;;;
2260;Anguilla;339200;2021;;;;;
2261;Anguilla;339200;2022;;;;;
2262;Anguilla;339205;2021;;;;;
2263;Anguilla;339205;2022;;;;;
2264;Anguilla;340200;2021;;;;;
2265;Anguilla;340200;2022;;;;;
2266;Anguilla;341600;2021;;;;;
2267;Anguilla;341600;2022;;;;;
2268;Anguilla;342400;2021;;;;;
2269;Anguilla;342400;2022;;;;;
2270;Anguilla;344400;2021;;;;;
2271;Anguilla;344400;2022;;;;;
2272;Anguilla;346600;2021;;;;;
2273;Anguilla;346600;2022;;;;;
2274;Anguilla;346700;2021;;;;;
2275;Anguilla;346700;2022;;;;;
2276;Anguilla;348000;2021;;;;;
2277;Anguilla;348000;2022;;;;;
2278;Anguilla;348100;2021;;;;;
2279;Anguilla;348100;2022;;;;;
2280;Anguilla;348400;2021;;;;;
2281;Anguilla;348400;2022;;;;;
2282;Anguilla;348700;2021;;;;;
2283;Anguilla;348700;2022;;;;;
2284;Anguilla;349700;2021;;;;;
2285;Anguilla;349700;2022;;;;;
2286;Anguilla;350000;2021;;;;;
2287;Anguilla;350000;2022;;;;;
2288;Anguilla;350100;2021;;;;;
2289;Anguilla;350100;2022;;;;;
2290;Anguilla;350600;2021;;;;;
2291;Anguilla;350600;2022;;;;;
2292;Anguilla;351900;2021;;;;;
2293;Anguilla;351900;2022;;;;;
2294;Anguilla;354200;2021;;;;;
2295;Anguilla;354200;2022;;;;;
2296;Anguilla;354300;2021;;;;;
2297;Anguilla;354300;2022;;;;;
2298;Anguilla;356900;2021;;;;;
2299;Anguilla;356900;2022;;;;;
2300;Anguilla;371600;2021;;;;;
2301;Anguilla;371600;2022;;;;;
2302;Anguilla;383100;2021;;;;;
2303;Anguilla;383100;2022;;;;;
2304;Anguilla;383200;2021;;;;;
2305;Anguilla;383200;2022;;;;;
2306;Anguilla;384900;2021;;;;;
2307;Anguilla;384900;2022;;;;;
2308;Anguilla;386300;2021;;;;;
2309;Anguilla;386300;2022;;;;;
2310;Anguilla;386800;2021;;;;;
2311;Anguilla;386800;2022;;;;;
2312;Anguilla;388400;2021;;;;;
2313;Anguilla;388400;2022;;;;;
2314;Anguilla;389100;2021;;;;;
2315;Anguilla;389100;2022;;;;;
2316;Anguilla;389200;2021;;;;;
2317;Anguilla;389200;2022;;;;;
2318;Anguilla;390500;2021;;;;;
2319;Anguilla;390500;2022;;;;;
2320;Anguilla;391600;2021;;;;;
2321;Anguilla;391600;2022;;;;;
2322;Anguilla;391700;2021;;;;;
2323;Anguilla;391700;2022;;;;;
2324;Anguilla;800021;2021;;;;;
2325;Anguilla;800021;2022;;;;;
2326;Anguilla;392600;2021;;;;;
2327;Anguilla;392600;2022;;;;;
2328;Anguilla;393600;2021;;;;;
2329;Anguilla;393600;2022;;;;;
2330;Anguilla;394100;2021;;;;;
2331;Anguilla;394100;2022;;;;;
2332;Anguilla;395005;2021;;;;;
2333;Anguilla;395005;2022;;;;;
2334;Anguilla;395000;2021;;;;;
2335;Anguilla;395000;2022;;;;;
2336;Anguilla;395600;2021;;;;;
2337;Anguilla;395600;2022;;;;;
2338;Anguilla;396300;2021;;;;;
2339;Anguilla;396300;2022;;;;;
2340;Anguilla;396400;2021;;;;;
2341;Anguilla;396400;2022;;;;;
2342;Anguilla;398700;2021;;;;;
2343;Anguilla;398700;2022;;;;;
2344;Anguilla;400200;2021;;;;;
2345;Anguilla;400200;2022;;;;;
2346;Anguilla;402000;2021;;;;;
2347;Anguilla;402000;2022;;;;;
2348;Anguilla;402100;2021;;;;;
2349;Anguilla;402100;2022;;;;;
2350;Anguilla;403300;2021;;;;;
2351;Anguilla;403300;2022;;;;;
2352;Anguilla;403400;2021;;;;;
2353;Anguilla;403400;2022;;;;;
2354;Anguilla;403405;2021;;;;;
2355;Anguilla;403405;2022;;;;;
2356;Anguilla;404900;2021;;;;;
2357;Anguilla;404900;2022;;;;;
2358;Anguilla;405900;2021;;;;;
2359;Anguilla;405900;2022;;;;;
2360;Anguilla;406800;2021;;;;;
2361;Anguilla;406800;2022;;;;;
2362;Anguilla;408105;2021;;;;;
2363;Anguilla;408105;2022;;;;;
2364;Anguilla;408100;2021;;;;;
2365;Anguilla;408100;2022;;;;;
2366;Anguilla;408700;2021;;;;;
2367;Anguilla;408700;2022;;;;;
2368;Anguilla;409900;2021;;;;;
2369;Anguilla;409900;2022;;;;;
2370;Anguilla;410200;2021;;;;;
2371;Anguilla;410200;2022;;;;;
2372;Anguilla;410300;2021;;;;;
2373;Anguilla;410300;2022;;;;;
2374;Anguilla;800010;2021;;;;;
2375;Anguilla;800010;2022;;;;;
2376;Anguilla;412700;2021;;;;;
2377;Anguilla;412700;2022;;;;;
2378;Anguilla;413700;2021;;;;;
2379;Anguilla;413700;2022;;;;;
2380;Anguilla;414300;2021;;;;;
2381;Anguilla;414300;2022;;;;;
2382;Anguilla;415000;2021;;;;;
2383;Anguilla;415000;2022;;;;;
2384;Anguilla;415900;2021;;;;;
2385;Anguilla;415900;2022;;;;;
2386;Anguilla;419000;2021;;;;;
2387;Anguilla;419000;2022;;;;;
2388;Anguilla;419100;2021;;;;;
2389;Anguilla;419100;2022;;;;;
2390;Anguilla;422400;2021;;;;;
2391;Anguilla;422400;2022;;;;;
2392;Anguilla;422500;2021;;;;;
2393;Anguilla;422500;2022;;;;;
2394;Anguilla;425300;2021;;;;;
2395;Anguilla;425300;2022;;;;;
2396;Anguilla;425305;2021;;;;;
2397;Anguilla;425305;2022;;;;;
2398;Anguilla;426600;2021;;;;;
2399;Anguilla;426600;2022;;;;;
2400;Anguilla;428100;2021;;;;;
2401;Anguilla;428100;2022;;;;;
2402;Anguilla;428200;2021;;;;;
2403;Anguilla;428200;2022;;;;;
2404;Anguilla;429300;2021;;;;;
2405;Anguilla;429300;2022;;;;;
2406;Anguilla;430600;2021;;;;;
2407;Anguilla;430600;2022;;;;;
2408;Anguilla;431100;2021;;;;;
2409;Anguilla;431100;2022;;;;;
2410;Anguilla;435500;2021;;;;;
2411;Anguilla;435500;2022;;;;;
2412;Anguilla;435600;2021;;;;;
2413;Anguilla;435600;2022;;;;;
2414;Anguilla;437500;2021;;;;;
2415;Anguilla;437500;2022;;;;;
2416;Anguilla;438600;2021;;;;;
2417;Anguilla;438600;2022;;;;;
2418;Anguilla;441000;2021;;;;;
2419;Anguilla;441000;2022;;;;;
2420;Antartica;305700;2021;;;;;
2421;Antartica;305700;2022;;;;;
2422;Antartica;800012;2021;;;;;
2423;Antartica;800012;2022;;;;;
2424;Antartica;305800;2021;;;;;
2425;Antartica;305800;2022;;;;;
2426;Antartica;306300;2021;;;;;
2427;Antartica;306300;2022;;;;;
2428;Antartica;307000;2021;;;;;
2429;Antartica;307000;2022;;;;;
2430;Antartica;307500;2021;;;;;
2431;Antartica;307500;2022;;;;;
2432;Antartica;307610;2021;;;;;
2433;Antartica;307610;2022;;;;;
2434;Antartica;307600;2021;;;;;
2435;Antartica;307600;2022;;;;;
2436;Antartica;311300;2021;;;;;
2437;Antartica;311300;2022;;;;;
2438;Antartica;312200;2021;;;;;
2439;Antartica;312200;2022;;;;;
2440;Antartica;312500;2021;;;;;
2441;Antartica;312500;2022;;;;;
2442;Antartica;312505;2021;;;;;
2443;Antartica;312505;2022;;;;;
2444;Antartica;314000;2021;;;;;
2445;Antartica;314000;2022;;;;;
2446;Antartica;315200;2021;;;;;
2447;Antartica;315200;2022;;;;;
2448;Antartica;315810;2021;;;;;
2449;Antartica;315810;2022;;;;;
2450;Antartica;315800;2021;;;;;
2451;Antartica;315800;2022;;;;;
2452;Antartica;317100;2021;;;;;
2453;Antartica;317100;2022;;;;;
2454;Antartica;318600;2021;;;;;
2455;Antartica;318600;2022;;;;;
2456;Antartica;320000;2021;;;;;
2457;Antartica;320000;2022;;;;;
2458;Antartica;320700;2021;;;;;
2459;Antartica;320700;2022;;;;;
2460;Antartica;323200;2021;;;;;
2461;Antartica;323200;2022;;;;;
2462;Antartica;323705;2021;;;;;
2463;Antartica;323705;2022;;;;;
2464;Antartica;323700;2021;;;;;
2465;Antartica;323700;2022;;;;;
2466;Antartica;324600;2021;;;;;
2467;Antartica;324600;2022;;;;;
2468;Antartica;328100;2021;;;;;
2469;Antartica;328100;2022;;;;;
2470;Antartica;328105;2021;;;;;
2471;Antartica;328105;2022;;;;;
2472;Antartica;330300;2021;;;;;
2473;Antartica;330300;2022;;;;;
2474;Antartica;332900;2021;;;;;
2475;Antartica;332900;2022;;;;;
2476;Antartica;334800;2021;;;;;
2477;Antartica;334800;2022;;;;;
2478;Antartica;336500;2021;;;;;
2479;Antartica;336500;2022;;;;;
2480;Antartica;339200;2021;;;;;
2481;Antartica;339200;2022;;;;;
2482;Antartica;339205;2021;;;;;
2483;Antartica;339205;2022;;;;;
2484;Antartica;340200;2021;;;;;
2485;Antartica;340200;2022;;;;;
2486;Antartica;341600;2021;;;;;
2487;Antartica;341600;2022;;;;;
2488;Antartica;342400;2021;;;;;
2489;Antartica;342400;2022;;;;;
2490;Antartica;344400;2021;;;;;
2491;Antartica;344400;2022;;;;;
2492;Antartica;346600;2021;;;;;
2493;Antartica;346600;2022;;;;;
2494;Antartica;346700;2021;;;;;
2495;Antartica;346700;2022;;;;;
2496;Antartica;348000;2021;;;;;
2497;Antartica;348000;2022;;;;;
2498;Antartica;348100;2021;;;;;
2499;Antartica;348100;2022;;;;;
2500;Antartica;348400;2021;;;;;
2501;Antartica;348400;2022;;;;;
2502;Antartica;348700;2021;;;;;
2503;Antartica;348700;2022;;;;;
2504;Antartica;349700;2021;;;;;
2505;Antartica;349700;2022;;;;;
2506;Antartica;350000;2021;;;;;
2507;Antartica;350000;2022;;;;;
2508;Antartica;350100;2021;;;;;
2509;Antartica;350100;2022;;;;;
2510;Antartica;350600;2021;;;;;
2511;Antartica;350600;2022;;;;;
2512;Antartica;351900;2021;;;;;
2513;Antartica;351900;2022;;;;;
2514;Antartica;354200;2021;;;;;
2515;Antartica;354200;2022;;;;;
2516;Antartica;354300;2021;;;;;
2517;Antartica;354300;2022;;;;;
2518;Antartica;356900;2021;;;;;
2519;Antartica;356900;2022;;;;;
2520;Antartica;371600;2021;;;;;
2521;Antartica;371600;2022;;;;;
2522;Antartica;383100;2021;;;;;
2523;Antartica;383100;2022;;;;;
2524;Antartica;383200;2021;;;;;
2525;Antartica;383200;2022;;;;;
2526;Antartica;384900;2021;;;;;
2527;Antartica;384900;2022;;;;;
2528;Antartica;386300;2021;;;;;
2529;Antartica;386300;2022;;;;;
2530;Antartica;386800;2021;;;;;
2531;Antartica;386800;2022;;;;;
2532;Antartica;388400;2021;;;;;
2533;Antartica;388400;2022;;;;;
2534;Antartica;389100;2021;;;;;
2535;Antartica;389100;2022;;;;;
2536;Antartica;389200;2021;;;;;
2537;Antartica;389200;2022;;;;;
2538;Antartica;390500;2021;;;;;
2539;Antartica;390500;2022;;;;;
2540;Antartica;391600;2021;;;;;
2541;Antartica;391600;2022;;;;;
2542;Antartica;391700;2021;;;;;
2543;Antartica;391700;2022;;;;;
2544;Antartica;800021;2021;;;;;
2545;Antartica;800021;2022;;;;;
2546;Antartica;392600;2021;;;;;
2547;Antartica;392600;2022;;;;;
2548;Antartica;393600;2021;;;;;
2549;Antartica;393600;2022;;;;;
2550;Antartica;394100;2021;;;;;
2551;Antartica;394100;2022;;;;;
2552;Antartica;395005;2021;;;;;
2553;Antartica;395005;2022;;;;;
2554;Antartica;395000;2021;;;;;
2555;Antartica;395000;2022;;;;;
2556;Antartica;395600;2021;;;;;
2557;Antartica;395600;2022;;;;;
2558;Antartica;396300;2021;;;;;
2559;Antartica;396300;2022;;;;;
2560;Antartica;396400;2021;;;;;
2561;Antartica;396400;2022;;;;;
2562;Antartica;398700;2021;;;;;
2563;Antartica;398700;2022;;;;;
2564;Antartica;400200;2021;;;;;
2565;Antartica;400200;2022;;;;;
2566;Antartica;402000;2021;;;;;
2567;Antartica;402000;2022;;;;;
2568;Antartica;402100;2021;;;;;
2569;Antartica;402100;2022;;;;;
2570;Antartica;403300;2021;;;;;
2571;Antartica;403300;2022;;;;;
2572;Antartica;403400;2021;;;;;
2573;Antartica;403400;2022;;;;;
2574;Antartica;403405;2021;;;;;
2575;Antartica;403405;2022;;;;;
2576;Antartica;404900;2021;;;;;
2577;Antartica;404900;2022;;;;;
2578;Antartica;405900;2021;;;;;
2579;Antartica;405900;2022;;;;;
2580;Antartica;406800;2021;;;;;
2581;Antartica;406800;2022;;;;;
2582;Antartica;408105;2021;;;;;
2583;Antartica;408105;2022;;;;;
2584;Antartica;408100;2021;;;;;
2585;Antartica;408100;2022;;;;;
2586;Antartica;408700;2021;;;;;
2587;Antartica;408700;2022;;;;;
2588;Antartica;409900;2021;;;;;
2589;Antartica;409900;2022;;;;;
2590;Antartica;410200;2021;;;;;
2591;Antartica;410200;2022;;;;;
2592;Antartica;410300;2021;;;;;
2593;Antartica;410300;2022;;;;;
2594;Antartica;800010;2021;;;;;
2595;Antartica;800010;2022;;;;;
2596;Antartica;412700;2021;;;;;
2597;Antartica;412700;2022;;;;;
2598;Antartica;413700;2021;;;;;
2599;Antartica;413700;2022;;;;;
2600;Antartica;414300;2021;;;;;
2601;Antartica;414300;2022;;;;;
2602;Antartica;415000;2021;;;;;
2603;Antartica;415000;2022;;;;;
2604;Antartica;415900;2021;;;;;
2605;Antartica;415900;2022;;;;;
2606;Antartica;419000;2021;;;;;
2607;Antartica;419000;2022;;;;;
2608;Antartica;419100;2021;;;;;
2609;Antartica;419100;2022;;;;;
2610;Antartica;422400;2021;;;;;
2611;Antartica;422400;2022;;;;;
2612;Antartica;422500;2021;;;;;
2613;Antartica;422500;2022;;;;;
2614;Antartica;425300;2021;;;;;
2615;Antartica;425300;2022;;;;;
2616;Antartica;425305;2021;;;;;
2617;Antartica;425305;2022;;;;;
2618;Antartica;426600;2021;;;;;
2619;Antartica;426600;2022;;;;;
2620;Antartica;428100;2021;;;;;
2621;Antartica;428100;2022;;;;;
2622;Antartica;428200;2021;;;;;
2623;Antartica;428200;2022;;;;;
2624;Antartica;429300;2021;;;;;
2625;Antartica;429300;2022;;;;;
2626;Antartica;430600;2021;;;;;
2627;Antartica;430600;2022;;;;;
2628;Antartica;431100;2021;;;;;
2629;Antartica;431100;2022;;;;;
2630;Antartica;435500;2021;;;;;
2631;Antartica;435500;2022;;;;;
2632;Antartica;435600;2021;;;;;
2633;Antartica;435600;2022;;;;;
2634;Antartica;437500;2021;;;;;
2635;Antartica;437500;2022;;;;;
2636;Antartica;438600;2021;;;;;
2637;Antartica;438600;2022;;;;;
2638;Antartica;441000;2021;;;;;
2639;Antartica;441000;2022;;;;;
2640;Antigua and Barbuda;305700;2021;;;;;
2641;Antigua and Barbuda;305700;2022;;;;;
2642;Antigua and Barbuda;800012;2021;;;;;
2643;Antigua and Barbuda;800012;2022;;;;;
2644;Antigua and Barbuda;305800;2021;;;;;
2645;Antigua and Barbuda;305800;2022;;;;;
2646;Antigua and Barbuda;306300;2021;;;;;
2647;Antigua and Barbuda;306300;2022;;;;;
2648;Antigua and Barbuda;307000;2021;;;;;
2649;Antigua and Barbuda;307000;2022;;;;;
2650;Antigua and Barbuda;307500;2021;;;;;
2651;Antigua and Barbuda;307500;2022;;;;;
2652;Antigua and Barbuda;307610;2021;;;;;
2653;Antigua and Barbuda;307610;2022;;;;;
2654;Antigua and Barbuda;307600;2021;;;;;
2655;Antigua and Barbuda;307600;2022;;;;;
2656;Antigua and Barbuda;311300;2021;;;;;
2657;Antigua and Barbuda;311300;2022;;;;;
2658;Antigua and Barbuda;312200;2021;;;;;
2659;Antigua and Barbuda;312200;2022;;;;;
2660;Antigua and Barbuda;312500;2021;;;;;
2661;Antigua and Barbuda;312500;2022;;;;;
2662;Antigua and Barbuda;312505;2021;;;;;
2663;Antigua and Barbuda;312505;2022;;;;;
2664;Antigua and Barbuda;314000;2021;;;;;
2665;Antigua and Barbuda;314000;2022;;;;;
2666;Antigua and Barbuda;315200;2021;;;;;
2667;Antigua and Barbuda;315200;2022;;;;;
2668;Antigua and Barbuda;315810;2021;;;;;
2669;Antigua and Barbuda;315810;2022;;;;;
2670;Antigua and Barbuda;315800;2021;;;;;
2671;Antigua and Barbuda;315800;2022;;;;;
2672;Antigua and Barbuda;317100;2021;;;;;
2673;Antigua and Barbuda;317100;2022;;;;;
2674;Antigua and Barbuda;318600;2021;;;;;
2675;Antigua and Barbuda;318600;2022;;;;;
2676;Antigua and Barbuda;320000;2021;;;;;
2677;Antigua and Barbuda;320000;2022;;;;;
2678;Antigua and Barbuda;320700;2021;;;;;
2679;Antigua and Barbuda;320700;2022;;;;;
2680;Antigua and Barbuda;323200;2021;;;;;
2681;Antigua and Barbuda;323200;2022;;;;;
2682;Antigua and Barbuda;323705;2021;;;;;
2683;Antigua and Barbuda;323705;2022;;;;;
2684;Antigua and Barbuda;323700;2021;;;;;
2685;Antigua and Barbuda;323700;2022;;;;;
2686;Antigua and Barbuda;324600;2021;;;;;
2687;Antigua and Barbuda;324600;2022;;;;;
2688;Antigua and Barbuda;328100;2021;;;;;
2689;Antigua and Barbuda;328100;2022;;;;;
2690;Antigua and Barbuda;328105;2021;;;;;
2691;Antigua and Barbuda;328105;2022;;;;;
2692;Antigua and Barbuda;330300;2021;;;;;
2693;Antigua and Barbuda;330300;2022;;;;;
2694;Antigua and Barbuda;332900;2021;;;;;
2695;Antigua and Barbuda;332900;2022;;;;;
2696;Antigua and Barbuda;334800;2021;;;;;
2697;Antigua and Barbuda;334800;2022;;;;;
2698;Antigua and Barbuda;336500;2021;;;;;
2699;Antigua and Barbuda;336500;2022;;;;;
2700;Antigua and Barbuda;339200;2021;;;;;
2701;Antigua and Barbuda;339200;2022;;;;;
2702;Antigua and Barbuda;339205;2021;;;;;
2703;Antigua and Barbuda;339205;2022;;;;;
2704;Antigua and Barbuda;340200;2021;;;;;
2705;Antigua and Barbuda;340200;2022;;;;;
2706;Antigua and Barbuda;341600;2021;;;;;
2707;Antigua and Barbuda;341600;2022;;;;;
2708;Antigua and Barbuda;342400;2021;;;;;
2709;Antigua and Barbuda;342400;2022;;;;;
2710;Antigua and Barbuda;344400;2021;;;;;
2711;Antigua and Barbuda;344400;2022;;;;;
2712;Antigua and Barbuda;346600;2021;;;;;
2713;Antigua and Barbuda;346600;2022;;;;;
2714;Antigua and Barbuda;346700;2021;;;;;
2715;Antigua and Barbuda;346700;2022;;;;;
2716;Antigua and Barbuda;348000;2021;;;;;
2717;Antigua and Barbuda;348000;2022;;;;;
2718;Antigua and Barbuda;348100;2021;;;;;
2719;Antigua and Barbuda;348100;2022;;;;;
2720;Antigua and Barbuda;348400;2021;;;;;
2721;Antigua and Barbuda;348400;2022;;;;;
2722;Antigua and Barbuda;348700;2021;;;;;
2723;Antigua and Barbuda;348700;2022;;;;;
2724;Antigua and Barbuda;349700;2021;;;;;
2725;Antigua and Barbuda;349700;2022;;;;;
2726;Antigua and Barbuda;350000;2021;;;;;
2727;Antigua and Barbuda;350000;2022;;;;;
2728;Antigua and Barbuda;350100;2021;;;;;
2729;Antigua and Barbuda;350100;2022;;;;;
2730;Antigua and Barbuda;350600;2021;;;;;
2731;Antigua and Barbuda;350600;2022;;;;;
2732;Antigua and Barbuda;351900;2021;;;;;
2733;Antigua and Barbuda;351900;2022;;;;;
2734;Antigua and Barbuda;354200;2021;;;;;
2735;Antigua and Barbuda;354200;2022;;;;;
2736;Antigua and Barbuda;354300;2021;;;;;
2737;Antigua and Barbuda;354300;2022;;;;;
2738;Antigua and Barbuda;356900;2021;;;;;
2739;Antigua and Barbuda;356900;2022;;;;;
2740;Antigua and Barbuda;371600;2021;;;;;
2741;Antigua and Barbuda;371600;2022;;;;;
2742;Antigua and Barbuda;383100;2021;;;;;
2743;Antigua and Barbuda;383100;2022;;;;;
2744;Antigua and Barbuda;383200;2021;;;;;
2745;Antigua and Barbuda;383200;2022;;;;;
2746;Antigua and Barbuda;384900;2021;;;;;
2747;Antigua and Barbuda;384900;2022;;;;;
2748;Antigua and Barbuda;386300;2021;;;;;
2749;Antigua and Barbuda;386300;2022;;;;;
2750;Antigua and Barbuda;386800;2021;;;;;
2751;Antigua and Barbuda;386800;2022;;;;;
2752;Antigua and Barbuda;388400;2021;;;;;
2753;Antigua and Barbuda;388400;2022;;;;;
2754;Antigua and Barbuda;389100;2021;;;;;
2755;Antigua and Barbuda;389100;2022;;;;;
2756;Antigua and Barbuda;389200;2021;;;;;
2757;Antigua and Barbuda;389200;2022;;;;;
2758;Antigua and Barbuda;390500;2021;;;;;
2759;Antigua and Barbuda;390500;2022;;;;;
2760;Antigua and Barbuda;391600;2021;;;;;
2761;Antigua and Barbuda;391600;2022;;;;;
2762;Antigua and Barbuda;391700;2021;;;;;
2763;Antigua and Barbuda;391700;2022;;;;;
2764;Antigua and Barbuda;800021;2021;;;;;
2765;Antigua and Barbuda;800021;2022;;;;;
2766;Antigua and Barbuda;392600;2021;;;;;
2767;Antigua and Barbuda;392600;2022;;;;;
2768;Antigua and Barbuda;393600;2021;;;;;
2769;Antigua and Barbuda;393600;2022;;;;;
2770;Antigua and Barbuda;394100;2021;;;;;
2771;Antigua and Barbuda;394100;2022;;;;;
2772;Antigua and Barbuda;395005;2021;;;;;
2773;Antigua and Barbuda;395005;2022;;;;;
2774;Antigua and Barbuda;395000;2021;;;;;
2775;Antigua and Barbuda;395000;2022;;;;;
2776;Antigua and Barbuda;395600;2021;;;;;
2777;Antigua and Barbuda;395600;2022;;;;;
2778;Antigua and Barbuda;396300;2021;;;;;
2779;Antigua and Barbuda;396300;2022;;;;;
2780;Antigua and Barbuda;396400;2021;;;;;
2781;Antigua and Barbuda;396400;2022;;;;;
2782;Antigua and Barbuda;398700;2021;;;;;
2783;Antigua and Barbuda;398700;2022;;;;;
2784;Antigua and Barbuda;400200;2021;;;;;
2785;Antigua and Barbuda;400200;2022;;;;;
2786;Antigua and Barbuda;402000;2021;;;;;
2787;Antigua and Barbuda;402000;2022;;;;;
2788;Antigua and Barbuda;402100;2021;;;;;
2789;Antigua and Barbuda;402100;2022;;;;;
2790;Antigua and Barbuda;403300;2021;;;;;
2791;Antigua and Barbuda;403300;2022;;;;;
2792;Antigua and Barbuda;403400;2021;;;;;
2793;Antigua and Barbuda;403400;2022;;;;;
2794;Antigua and Barbuda;403405;2021;;;;;
2795;Antigua and Barbuda;403405;2022;;;;;
2796;Antigua and Barbuda;404900;2021;;;;;
2797;Antigua and Barbuda;404900;2022;;;;;
2798;Antigua and Barbuda;405900;2021;;;;;
2799;Antigua and Barbuda;405900;2022;;;;;
2800;Antigua and Barbuda;406800;2021;;;;;
2801;Antigua and Barbuda;406800;2022;;;;;
2802;Antigua and Barbuda;408105;2021;;;;;
2803;Antigua and Barbuda;408105;2022;;;;;
2804;Antigua and Barbuda;408100;2021;;;;;
2805;Antigua and Barbuda;408100;2022;;;;;
2806;Antigua and Barbuda;408700;2021;;;;;
2807;Antigua and Barbuda;408700;2022;;;;;
2808;Antigua and Barbuda;409900;2021;;;;;
2809;Antigua and Barbuda;409900;2022;;;;;
2810;Antigua and Barbuda;410200;2021;;;;;
2811;Antigua and Barbuda;410200;2022;;;;;
2812;Antigua and Barbuda;410300;2021;;;;;
2813;Antigua and Barbuda;410300;2022;;;;;
2814;Antigua and Barbuda;800010;2021;;;;;
2815;Antigua and Barbuda;800010;2022;;;;;
