ID;Hoofdfuncties;Perioden;TotaalAankopen_1;TotaalAankoopVanGoederenEnDiensten_2;AankoopVanDuurzameMilitaireGoederen_3;GrondWegEnWaterbouwkundigeWerken_4;OverigeGoederenEnDienstenBijDerden_5;OverigeGoederenBijAndereOverheden_6;TotaalInvesteringen_7;TotaalNieuweInvesteringen_8;GrondWegEnWaterbouwkundigeWerken_9;NieuwbouwVanGebouwen_10;AankoopVervoermiddelen_11;AankoopMachinesEnInstallaties_12;AankoopComputerprogrammaS_13;OverigeNieuweInvesteringsgoederen_14;TotaalOverigeInvesteringen_15;AankoopGebruikteInvesteringsgoederen_16;AankoopVanKostbaarheden_17;AankoopGrond_18;TotaalRenteEnPacht_19;Rente_20;Pacht_21;TotaalOverdrachten_22;TotaalSubsidiesEnInkomensoverdrachten_23;TotaalInkomensoverdrachtenBedrijven_24;Subsidies_25;OverigeInkomensoverdrachten_26;TotaalInkomensoverdrachtenAanGezinnen_27;UitkeringenSocialeVoorzieningInGeld_28;SocialeOverdrachtenInNatura_29;OverigeInkomensoverdrachten_30;InstellingenZonderWinstoogmerkgezinnen_31;TotaalOverdrachtenCentraleOverheid_32;WetenschappelijkOnderwijs_33;PubliekrechtelijkeBedrijfsorganisaties_34;InstellingZonderWinstCentraleoverheid_35;TotaalInkomensoverdrachtLagereoverheid_36;Provincies_37;Waterschappen_38;GemeenschappelijkeRegelingen_39;Gemeenten_40;BijzonderOnderwijs_41;InstellingZonderWinstLagereOverheid_42;SocialeVerzekeringsinstellingen_43;InkomensoverdrachtenAanHetBuitenland_44;TotaalKapitaaloverdrachten_45;KapitaaloverdrachtenAanBedrijven_46;KapitaaloverdrachtenAanGezinnen_47;InstellingenZonderWinstVanGezinnen_48;TotaalOverdrachtenCentraleOverheid_49;WetenschappelijkOnderwijs_50;PubliekrechtelijkeBedrijfsorganisaties_51;InstellingZonderWinstCentraleoverheid_52;TotaalKapitaaloverdrachtLagereoverheid_53;Provincies_54;Waterschappen_55;GemeenschappelijkeRegelingen_56;Gemeenten_57;BijzonderOnderwijs_58;InstellingenZonderWinstLagereoverheid_59;SocialeVerzekeringsinstellingen_60;KapitaaloverdrachtenAanHetBuitenland_61;TotaalVerkopen_62;TotaalVerkoopVanGoederenEnDiensten_63;VerkoopDuurzameMilitaireGoederen_64;VerkoopGoederenEnDienstenAanDerden_65;VerkoopGoederenAanAndereOverheden_66;VerkoopVanInvesteringsgoederen_67;VerkoopVanGrond_68;TotaalRentePachtVermogensresultaten_69;Rente_70;Winstuitkeringen_71;Pacht_72;Concessies_73;TotaalOverdrachten_74;TotaalInkomensoverdrachten_75;InkomensoverdrachtenVanNietOverheden_76;InkomensoverdrachtenVanOverheden_77;TotaalKapitaaloverdrachten_78;KapitaaloverdrachtenVanNietOverheden_79;KapitaaloverdrachtenVanOverheden_80
59;Sociale voorzieningen;2002;747;687;0;0;687;0;60;60;0;2;0;45;10;2;0;0;0;0;0;0;0;21694;21616;115;82;32;6636;4919;1717;0;48;74;0;0;74;11837;546;-3;1609;7813;0;1873;2720;186;78;56;0;0;0;0;0;0;22;0;0;0;0;0;22;0;0;36;31;0;31;0;6;0;0;0;0;0;0;90;90;7;83;0;0;0
60;Sociale voorzieningen;2003;718;622;0;0;622;0;89;81;0;2;0;18;5;56;8;8;0;7;0;0;0;23931;23821;140;99;42;6775;5172;1603;0;22;68;0;0;68;11897;561;0;1631;7895;0;1810;4861;58;110;103;0;0;0;0;0;0;7;0;0;0;0;0;7;0;0;65;62;0;62;0;3;0;0;0;0;0;0;91;89;8;81;2;2;0
61;Sociale voorzieningen;2004;633;555;0;0;555;0;73;67;0;0;1;18;9;39;6;6;0;5;0;0;0;23407;23381;46;14;33;6947;5297;1650;0;9;79;0;0;79;12050;581;0;1588;8318;0;1563;4221;29;26;21;0;0;0;0;0;0;5;0;0;0;0;0;5;0;0;57;51;0;51;0;6;0;0;0;0;0;0;169;169;33;136;0;0;0
62;Sociale voorzieningen;2005;538;504;0;0;504;0;34;34;0;0;0;16;17;1;0;0;0;0;0;0;0;25246;25251;44;14;30;8163;5854;2309;0;6;80;0;0;80;11612;651;0;1651;7917;0;1392;5317;30;-5;-10;0;0;0;0;0;0;5;0;0;0;0;0;5;0;0;58;54;0;54;0;4;0;0;0;0;0;0;154;154;9;145;0;0;0
63;Volkshuisvesting en milieu;1997;320;255;0;19;191;45;48;48;30;4;0;8;5;0;0;0;0;17;12;12;0;1856;928;45;45;0;181;0;0;181;42;27;1;0;27;628;141;0;183;304;0;0;0;4;927;25;6;21;0;0;0;0;876;64;8;38;765;0;0;0;0;56;56;0;23;33;0;0;5;5;0;0;0;0;0;0;0;0;0;0
64;Volkshuisvesting en milieu;1998;293;268;0;0;224;43;13;13;0;6;0;4;3;0;0;0;0;13;12;12;0;2254;753;20;20;0;143;143;0;0;46;25;0;0;25;516;179;0;225;112;0;0;0;2;1501;761;4;26;12;0;0;12;698;45;0;45;608;0;0;0;0;68;68;0;33;35;0;0;14;4;10;0;0;7;0;0;0;7;7;0
65;Volkshuisvesting en milieu;1999;307;291;0;0;246;45;9;9;0;0;0;2;5;2;0;0;0;6;11;11;0;1670;521;19;19;0;110;110;0;0;46;27;0;0;26;314;10;0;189;102;0;12;0;5;1149;129;2;27;0;0;0;0;990;171;0;41;779;0;0;0;0;124;111;0;75;36;13;0;3;3;0;0;0;9;1;1;0;8;8;0
66;Volkshuisvesting en milieu;2000;406;343;0;0;293;49;10;8;0;0;0;3;2;3;1;1;0;54;8;8;0;1639;417;24;24;0;83;83;0;0;51;-2;0;0;-3;254;36;0;109;86;0;22;0;6;1222;193;1;32;0;0;0;0;995;199;0;118;679;0;0;0;0;125;102;0;61;40;22;1;0;0;0;0;0;26;26;26;0;0;0;0
67;Volkshuisvesting en milieu;2001;463;398;0;0;347;51;11;9;0;0;0;4;4;2;1;1;0;55;0;0;0;1448;404;27;27;0;61;61;0;0;68;30;0;0;29;212;2;1;90;90;0;29;0;7;1044;157;2;44;0;0;0;0;841;223;0;147;471;0;0;0;0;99;89;0;47;42;10;0;0;0;0;0;0;19;19;19;0;0;0;0
68;Volkshuisvesting en milieu;2002;617;455;0;0;402;53;128;127;15;89;0;11;2;11;1;1;0;34;0;0;0;1312;417;49;44;5;51;51;0;0;75;14;0;0;14;226;14;0;88;83;0;40;0;3;894;94;1;100;0;0;0;0;700;209;0;131;361;0;0;0;0;134;123;0;76;48;11;0;0;0;0;0;0;12;12;12;0;0;0;0
69;Volkshuisvesting en milieu;2003;775;544;0;0;487;57;192;190;15;153;0;2;2;18;3;3;0;39;0;0;0;1257;469;52;52;0;125;41;0;85;85;11;0;0;11;192;13;0;87;53;0;39;0;3;788;62;1;41;0;0;0;0;684;201;0;121;362;0;0;0;0;145;132;0;80;53;13;0;0;0;0;0;0;27;27;27;0;0;0;0
70;Volkshuisvesting en milieu;2004;513;380;0;0;320;60;108;106;14;65;0;0;15;12;2;2;0;25;0;0;0;1518;494;56;56;0;153;35;0;118;93;12;0;0;12;176;11;0;51;71;0;43;0;3;1025;100;1;25;1;0;0;1;898;272;0;131;496;0;0;0;0;268;223;0;129;94;46;0;0;0;0;0;0;13;13;13;0;0;0;0
71;Volkshuisvesting en milieu;2005;437;348;0;0;282;66;61;61;15;33;0;0;12;2;0;0;0;28;0;0;0;1240;401;56;54;2;48;25;0;23;111;12;0;0;11;170;15;0;41;83;0;30;0;5;839;15;1;20;0;0;0;0;804;193;0;147;455;0;10;0;0;237;214;0;151;63;23;0;0;0;0;0;0;22;22;22;0;0;0;0
72;Cultuur, recreatie en erediensten;1997;129;80;0;5;75;0;44;44;2;35;1;4;0;1;0;0;0;6;3;3;0;492;431;148;146;2;-3;0;-3;0;25;22;0;0;22;238;12;0;5;4;0;216;0;0;61;2;1;35;0;0;0;0;22;0;0;3;15;0;3;0;1;6;6;0;6;0;0;0;83;8;74;0;0;0;0;0;0;0;0;0
73;Cultuur, recreatie en erediensten;1998;134;93;0;0;93;0;37;36;0;34;0;2;0;0;0;0;0;4;3;3;0;514;452;149;147;2;0;0;0;0;29;21;0;0;21;252;13;0;7;4;0;229;0;0;62;2;1;34;0;0;0;0;24;0;0;4;17;0;3;0;1;8;8;0;8;0;0;0;69;9;61;0;0;0;0;0;0;0;0;0
74;Cultuur, recreatie en erediensten;1999;124;100;0;0;100;0;21;19;0;1;0;2;0;16;3;3;0;3;3;3;0;536;467;151;148;3;0;0;0;0;33;22;0;0;22;260;13;0;5;4;0;238;0;0;69;2;2;41;0;0;0;0;23;0;0;4;19;0;0;0;1;9;9;0;9;0;0;0;66;7;58;0;0;0;0;0;0;0;0;0
75;Cultuur, recreatie en erediensten;2000;120;80;0;0;80;0;25;22;0;0;0;1;0;21;4;4;0;15;0;0;0;1508;1330;178;173;5;0;0;0;0;875;25;0;0;25;252;11;0;5;3;0;233;0;0;178;5;3;81;0;0;0;0;86;1;1;5;31;0;50;0;3;244;244;0;244;0;0;0;71;8;64;0;0;0;0;0;0;0;0;0
76;Cultuur, recreatie en erediensten;2001;114;77;0;0;77;0;22;19;0;0;0;1;0;18;3;3;0;15;0;0;0;1610;1451;209;199;10;0;0;0;0;890;33;0;0;33;319;15;0;7;5;0;293;0;0;159;5;4;94;0;0;0;0;54;1;1;7;37;0;8;0;2;233;233;0;233;0;0;0;89;8;81;0;0;0;0;0;0;0;0;0
77;Cultuur, recreatie en erediensten;2002;154;101;0;0;101;0;46;40;0;0;0;2;0;39;6;6;0;7;0;0;0;1660;1493;221;210;10;0;0;0;0;935;35;0;0;35;303;16;0;4;5;0;278;0;0;168;6;4;73;0;0;0;0;83;1;1;15;61;0;4;0;2;232;231;0;231;0;1;0;112;5;107;0;0;0;0;0;0;0;0;0
78;Cultuur, recreatie en erediensten;2003;96;66;0;0;66;0;20;18;0;0;0;1;0;16;2;2;0;11;0;0;0;1659;1520;207;197;10;0;0;0;0;937;37;0;0;37;339;16;0;5;5;0;313;0;0;139;6;4;66;0;0;0;0;62;1;1;7;39;0;15;0;2;527;224;0;224;0;0;303;115;4;111;0;0;0;0;0;0;0;0;0
79;Cultuur, recreatie en erediensten;2004;72;51;0;0;51;0;14;12;0;0;0;1;0;11;2;2;0;7;0;0;0;1647;1501;226;217;9;0;0;0;0;922;40;0;0;40;314;14;0;6;5;0;290;0;0;145;7;5;76;0;0;0;0;55;1;1;4;37;0;12;0;2;220;220;0;220;0;0;-1;4;4;0;0;0;0;0;0;0;0;0;0
80;Cultuur, recreatie en erediensten;2005;29;21;0;0;21;0;1;1;0;0;0;1;0;0;0;0;0;7;0;0;0;1693;1535;220;220;0;0;0;0;0;914;43;0;0;43;358;14;0;5;5;0;334;0;0;158;9;6;86;0;0;0;0;55;2;1;4;34;0;15;0;2;240;201;0;201;0;3;37;3;3;0;0;0;0;0;0;0;0;0;0
81;Landbouw, jacht en visserij;1997;418;239;0;5;210;25;166;166;111;39;1;12;1;2;0;0;0;13;0;0;0;848;781;740;740;0;0;0;0;0;4;33;0;0;33;0;0;0;0;0;0;0;0;4;67;40;0;0;14;0;0;14;13;0;7;0;4;0;2;0;0;195;119;0;118;1;58;18;21;13;0;8;0;53;37;36;1;16;16;0
82;Landbouw, jacht en visserij;1998;355;178;0;0;149;30;164;163;106;35;1;20;1;1;0;0;0;13;1;1;0;365;295;185;185;0;0;0;0;0;6;100;0;1;99;0;0;0;0;0;0;0;0;4;70;40;0;0;14;0;0;14;16;0;7;0;6;0;3;0;0;178;110;0;110;0;61;8;20;17;0;3;0;101;86;84;2;15;15;0
83;Landbouw, jacht en visserij;1999;385;204;0;0;174;30;165;163;126;3;6;12;5;11;2;2;0;16;1;1;0;685;408;89;89;0;0;0;0;0;4;296;0;7;289;-7;0;0;0;-7;0;0;0;27;277;207;0;2;53;0;0;53;15;0;9;0;6;0;0;0;0;218;138;0;135;3;72;9;21;18;0;3;0;97;80;79;1;17;17;0
84;Landbouw, jacht en visserij;2000;410;208;0;0;178;30;185;182;137;2;6;14;9;14;2;2;0;17;0;0;0;801;296;-114;-114;0;0;0;0;0;4;394;0;0;394;0;0;0;0;0;0;0;0;12;504;439;0;2;48;0;0;48;15;0;9;0;5;0;0;0;0;219;130;0;127;3;78;10;22;19;0;3;0;109;84;83;1;24;24;0
85;Landbouw, jacht en visserij;2001;614;433;0;0;398;35;166;164;116;2;5;18;10;15;2;2;0;15;0;0;0;699;541;189;189;0;0;0;0;0;2;347;0;0;347;0;0;0;0;0;0;0;0;3;158;129;0;3;16;0;0;16;11;0;7;0;4;0;0;0;0;215;140;0;136;4;67;8;22;19;0;3;0;315;213;50;163;102;102;0
86;Landbouw, jacht en visserij;2002;525;373;0;0;339;35;141;137;89;1;0;11;11;26;4;4;0;11;0;0;0;614;468;75;75;0;0;0;0;0;2;368;0;0;368;0;0;0;0;0;0;0;0;23;146;125;0;2;12;0;0;12;7;0;5;0;2;0;0;0;0;212;155;0;150;5;51;6;23;19;0;4;0;267;248;85;164;18;18;0
87;Landbouw, jacht en visserij;2003;590;429;0;0;398;31;147;142;84;0;0;24;4;31;4;4;0;14;0;0;0;708;508;169;169;0;0;0;0;0;2;329;0;0;328;0;0;0;0;0;0;0;0;9;200;173;0;2;12;0;0;12;14;0;4;0;10;0;0;0;0;216;159;0;156;3;49;7;23;18;0;4;0;202;179;93;86;23;23;0
88;Landbouw, jacht en visserij;2004;419;302;0;0;271;31;106;103;65;0;0;13;5;21;3;3;0;11;0;0;0;539;413;76;76;0;0;0;0;0;2;328;0;0;328;0;0;0;0;0;0;0;0;6;126;108;0;3;9;0;0;9;7;0;4;0;3;0;0;0;0;201;157;0;153;5;39;5;28;20;0;7;0;167;156;78;78;11;11;0
89;Landbouw, jacht en visserij;2005;342;233;0;0;203;30;101;101;59;0;1;26;13;2;0;0;0;7;0;0;0;493;428;95;95;0;0;0;0;0;1;319;0;0;318;0;0;0;0;0;0;0;0;13;65;48;0;3;8;0;0;8;5;0;3;0;2;0;0;0;0;123;83;0;78;5;36;4;26;21;0;5;0;59;44;24;20;15;15;0
90;Algemene economische aangelegenheden;1997;174;162;0;0;160;2;12;12;0;2;0;7;2;0;0;0;0;0;2;2;0;767;622;534;534;0;1;0;0;1;2;4;2;0;2;0;0;0;0;0;0;0;0;81;145;-96;1;0;0;0;0;0;238;94;0;4;140;0;0;0;3;44;44;0;36;9;0;0;4264;53;1822;0;2389;44;0;0;0;44;44;0
91;Algemene economische aangelegenheden;1998;182;174;0;0;171;2;8;8;0;1;0;5;1;0;0;0;0;0;1;1;0;749;687;596;596;0;1;0;0;1;0;12;9;0;4;0;0;0;0;0;0;0;0;78;62;-93;0;0;0;0;0;0;150;46;0;2;102;0;0;0;5;635;41;0;34;6;0;594;3209;50;1669;0;1490;23;0;0;0;23;23;0
92;Algemene economische aangelegenheden;1999;189;180;0;0;179;1;9;9;0;0;0;5;1;3;0;0;0;0;1;1;0;906;895;746;746;0;0;0;0;0;0;10;7;0;3;55;54;0;0;1;0;0;0;83;11;-69;0;0;0;0;0;0;76;1;0;1;74;0;0;0;5;74;74;0;60;14;0;0;2552;43;1427;0;1081;30;1;0;1;29;29;0
93;Algemene economische aangelegenheden;2000;197;191;0;0;189;2;6;6;0;0;0;5;1;-1;0;0;0;0;0;0;0;1312;1010;786;786;0;0;0;0;0;0;11;8;0;2;119;55;0;0;64;0;0;0;94;302;40;0;0;0;0;0;0;249;1;0;1;247;0;0;0;13;71;71;0;57;14;0;0;3393;42;1634;0;1718;37;1;0;1;36;36;0
94;Algemene economische aangelegenheden;2001;300;287;0;0;285;2;13;13;0;0;0;9;1;2;0;0;0;0;-37;-37;0;2366;963;776;774;2;0;0;0;0;0;9;8;0;0;114;73;0;0;41;0;0;0;65;1404;1188;0;0;0;0;0;0;203;0;0;0;203;0;0;0;14;65;63;0;44;19;1;2;5786;65;2986;0;2736;48;1;0;1;47;47;0
95;Algemene economische aangelegenheden;2002;299;286;0;0;286;0;13;13;0;0;0;10;1;1;0;0;0;0;-37;-37;0;1115;899;727;726;1;0;0;0;0;0;9;9;0;0;99;63;0;0;36;0;0;0;64;216;18;0;0;0;0;0;0;187;0;0;0;187;0;0;0;11;69;69;0;56;13;0;0;5064;64;2598;0;2402;27;3;0;3;24;24;0
96;Algemene economische aangelegenheden;2003;358;339;0;0;339;0;19;18;0;3;0;8;2;6;1;1;0;1;-50;-50;0;1188;932;726;726;0;0;0;0;0;0;2;2;0;0;121;76;0;0;45;0;0;0;83;256;37;0;0;0;0;0;0;211;0;0;0;211;0;0;0;8;86;83;0;56;27;2;0;4951;118;1974;0;2859;49;9;6;3;39;39;0
97;Algemene economische aangelegenheden;2004;342;326;0;0;326;0;15;14;0;2;0;8;2;4;1;1;0;1;-21;-21;0;1063;907;673;673;0;0;0;0;0;0;2;2;0;0;132;99;0;0;33;0;0;0;100;156;-13;0;0;0;0;0;0;158;0;0;0;158;0;0;0;11;73;73;0;73;0;1;0;5675;97;2507;0;3071;70;0;0;0;70;70;0
98;Algemene economische aangelegenheden;2005;212;200;0;0;200;0;12;12;0;1;0;7;4;0;0;0;0;0;50;50;0;907;986;869;869;0;0;0;0;0;0;0;0;0;0;74;64;0;0;10;0;0;0;43;-79;-405;0;0;0;0;0;0;326;0;0;0;326;0;0;0;0;61;61;0;61;0;0;0;7537;29;3975;0;3534;126;105;105;0;21;21;0
99;Verkeer en vervoer;1997;2058;1104;0;731;373;0;946;910;813;22;13;22;40;0;36;36;0;8;2;2;0;3060;1588;320;320;0;0;0;0;0;0;484;0;0;484;780;54;20;327;379;0;0;0;3;1473;56;0;0;795;0;0;795;389;126;23;0;240;0;0;0;233;142;138;0;80;58;4;0;379;77;294;2;6;77;25;23;2;52;52;0
100;Verkeer en vervoer;1998;2277;1132;0;579;553;0;1067;1019;844;52;0;42;0;81;48;48;0;78;5;5;0;3378;1686;452;366;85;0;0;0;0;0;492;0;0;492;741;41;7;392;301;0;0;0;1;1692;233;0;0;865;0;0;865;524;167;17;9;331;0;0;0;69;405;172;0;87;85;0;233;385;66;317;3;0;364;300;299;0;64;62;2
101;Verkeer en vervoer;1999;2407;1283;0;580;699;4;1019;1007;833;32;1;60;0;81;12;12;0;105;5;5;0;3648;1614;239;138;100;0;0;0;0;0;338;0;0;338;1027;280;12;407;324;0;3;0;10;2034;42;0;0;1320;0;0;1320;655;161;28;24;441;0;0;0;17;230;230;0;74;156;0;0;364;43;320;0;0;117;45;24;21;73;28;45
102;Verkeer en vervoer;2000;2333;1206;0;573;628;5;996;984;768;35;1;52;0;127;12;12;0;132;0;0;0;4257;1633;224;144;80;0;0;0;0;0;327;0;0;327;1076;274;16;679;108;0;-1;0;7;2623;70;0;0;1603;0;0;1603;937;190;40;190;517;0;0;0;13;2912;224;0;76;147;0;2689;295;26;269;0;0;155;53;23;31;102;23;79
103;Verkeer en vervoer;2001;3497;1568;0;744;817;7;1845;1832;1540;70;1;65;0;157;13;13;0;84;0;0;0;4132;1782;274;179;95;0;0;0;0;0;389;0;0;389;1114;281;15;696;121;0;1;0;5;2350;34;0;0;1411;0;0;1411;893;203;16;304;370;0;0;0;12;225;224;0;63;161;0;0;406;28;377;0;0;197;89;25;64;107;56;52
104;Verkeer en vervoer;2002;4061;1748;0;824;924;0;2188;2183;1922;7;13;30;91;120;5;5;0;125;0;0;0;4277;1815;208;79;129;0;0;0;0;0;417;0;0;417;1187;299;-15;764;139;0;0;0;2;2462;20;0;0;1660;0;0;1660;772;172;94;62;444;0;0;0;11;517;517;0;81;436;0;0;66;0;66;0;0;145;54;29;25;91;84;7
105;Verkeer en vervoer;2003;4407;1644;0;816;829;0;2687;2680;2505;7;9;32;0;128;7;7;0;76;0;0;0;4500;1901;297;215;83;0;0;0;0;0;378;0;0;378;1222;310;0;773;139;0;0;0;3;2599;32;0;0;1672;0;0;1672;879;169;91;105;514;0;0;0;16;566;539;0;74;465;0;27;0;0;0;0;0;172;80;34;46;93;89;4
106;Verkeer en vervoer;2004;3749;1482;0;755;727;0;2193;2188;2057;8;8;22;0;93;5;5;0;74;0;0;0;4505;1778;263;190;73;0;0;0;0;0;329;0;0;329;1185;304;0;746;134;0;3;0;0;2727;43;0;0;1715;0;0;1715;953;317;75;142;418;0;0;0;17;471;471;0;61;410;0;0;3;0;3;0;0;290;70;25;45;220;110;110
107;Verkeer en vervoer;2005;2867;1475;0;790;686;0;1280;1280;1232;8;8;23;0;8;0;0;0;112;0;0;0;4911;2281;118;83;34;0;0;0;0;0;431;0;0;431;1724;696;0;1002;21;0;6;0;8;2630;4;0;0;1716;0;0;1716;891;356;126;53;356;0;0;0;20;40;58;0;58;0;0;-18;0;0;0;0;0;166;77;17;60;89;34;55
108;Niet over andere functies te verdelen;1997;72;18;0;0;18;0;54;54;0;0;0;0;54;0;0;0;0;0;13685;13685;0;12888;11424;843;843;0;0;0;0;0;0;0;0;0;0;10580;753;0;0;9827;0;0;0;0;1465;0;0;0;0;0;0;0;1465;0;0;0;1465;0;0;0;0;54;54;0;0;54;0;0;21;21;0;0;0;0;0;0;0;0;0;0
109;Niet over andere functies te verdelen;1998;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;13809;13809;0;12139;12139;1180;1180;0;0;0;0;0;0;0;0;0;0;10959;807;0;0;10152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;137;137;0;0;0;0;0;0;0;0;0;0
110;Niet over andere functies te verdelen;1999;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;13223;13223;0;13014;13014;1308;1308;0;0;0;0;0;0;0;0;0;0;11706;832;0;0;10874;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;82;0;0;0;0;0;0;0;0;0;0
111;Niet over andere functies te verdelen;2000;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;12315;12315;0;13897;13897;1416;1416;0;0;0;0;0;0;0;0;0;0;12481;940;0;0;11541;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;97;0;0;0;0;0;0;0;0;0;0
112;Niet over andere functies te verdelen;2001;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;11593;11593;0;15188;15188;1538;1538;0;0;0;0;0;0;0;0;0;0;13170;1013;0;0;12152;0;5;0;481;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;81;0;0;0;0;0;0;0;0;0;0
113;Niet over andere functies te verdelen;2002;3;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;10767;10767;0;15932;15932;1737;1737;0;0;0;0;0;0;0;0;0;0;14114;1084;0;0;13025;0;5;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89;89;0;0;0;0;0;0;0;0;0;0
114;Niet over andere functies te verdelen;2003;4;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;10308;10308;0;18112;17317;1344;1344;0;0;0;0;0;0;0;0;0;0;15892;1215;0;0;14672;0;5;0;81;795;0;0;0;0;0;0;0;795;100;0;0;695;0;0;0;0;0;0;0;0;0;0;0;109;109;0;0;0;0;0;0;0;0;0;0
115;Niet over andere functies te verdelen;2004;4;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;10108;10108;0;15782;15128;1191;1191;0;0;0;0;0;0;0;0;0;0;13881;1099;0;4;12773;0;5;0;56;654;0;0;0;0;0;0;0;654;41;0;2;611;0;0;0;0;0;0;0;0;0;0;0;134;134;0;0;0;0;0;0;0;0;0;0
116;Niet over andere functies te verdelen;2005;1003;464;0;0;464;0;481;419;0;0;0;0;1;418;62;62;0;58;9868;9868;0;13068;13068;0;0;0;0;0;0;0;0;0;0;0;0;12998;1004;0;0;11989;0;5;0;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;204;204;0;0;0;0;0;0;0;0;0;0
