ID;BedrijfstakkenBranchesSBI2008;HergebruikEnEindverwerking;Perioden;TotaalBedrijfsafvalstoffen_1;TotaalNietChemischAfval_2;Metaalafval_3;Glasafval_4;PapierKartonafval_5;KunststofRubberafval_6;Houtafval_7;TextielLederafval_8;DierlijkPlantaardigAfval_9;GemengdAfval_10;Slib_11;MineralenSteenachtigAfval_12;OverigNietChemischAfval_13;ChemischAfval_14;TotaalBedrijfsafvalstoffen_15;TotaalHergebruik_16;InzetAlsBrandstof_17;OverigHergebruik_18;TotaalEindverwerking_19;Verbranden_20;Storten_21;ScheidenAchteraf_22;k_1OfMeerWerknemers_23;k_1Tot10Werknemers_24;k_10Tot20Werknemers_25;k_20Tot50Werknemers_26;k_50Tot100Werknemers_27;k_100Tot200Werknemers_28;k_200Tot500Werknemers_29;k_500OfMeerWerknemers_30
127;26 Elektrotechnische industrie;Totaal bedrijfsafvalstoffen;2009;15;15;2;0;3;0;1;0;0;9;0;0;0;0;15;6.0;0.0;6.0;9.0;7.0;1.0;0.0;15;;;;;;;
128;26 Elektrotechnische industrie;Hergebruik;2008;7;7;3;0;3;0;1;0;0;0;0;0;0;0;7;7.0;0.0;7.0;;;;;7;0.0;0.0;0.0;3.0;2.0;1.0;2.0
129;26 Elektrotechnische industrie;Hergebruik;2009;6;6;2;0;3;0;0;0;0;0;0;0;0;0;6;6.0;0.0;6.0;;;;;6;;;;;;;
130;26 Elektrotechnische industrie;Eindverwerking;2008;11;11;0;0;0;0;0;0;0;10;0;0;0;0;11;;;;11.0;9.0;2.0;0.0;11;0.0;0.0;0.0;7.0;1.0;0.0;1.0
131;26 Elektrotechnische industrie;Eindverwerking;2009;9;9;0;0;0;0;0;0;0;8;0;0;0;0;9;;;;9.0;7.0;1.0;0.0;9;;;;;;;
132;27 Elektrische apparatenindustrie;Totaal bedrijfsafvalstoffen;2008;61;61;21;1;8;2;6;0;0;9;0;13;0;0;61;45.0;4.0;41.0;17.0;13.0;2.0;1.0;61;6.0;5.0;1.0;4.0;4.0;32.0;9.0
133;27 Elektrische apparatenindustrie;Totaal bedrijfsafvalstoffen;2009;50;49;17;1;6;1;5;0;0;7;0;11;0;0;50;36.0;3.0;33.0;13.0;11.0;2.0;1.0;50;;;;;;;
134;27 Elektrische apparatenindustrie;Hergebruik;2008;45;44;21;0;5;1;2;0;0;1;0;13;0;0;45;45.0;4.0;41.0;;;;;45;3.0;2.0;1.0;3.0;1.0;28.0;7.0
135;27 Elektrische apparatenindustrie;Hergebruik;2009;36;36;17;0;4;1;2;0;0;1;0;10;0;0;36;36.0;3.0;33.0;;;;;36;;;;;;;
136;27 Elektrische apparatenindustrie;Eindverwerking;2008;17;17;0;0;2;0;4;0;0;8;0;0;0;0;17;;;;17.0;13.0;2.0;1.0;17;3.0;2.0;1.0;2.0;3.0;3.0;2.0
137;27 Elektrische apparatenindustrie;Eindverwerking;2009;13;13;0;0;2;0;3;0;0;7;0;0;0;0;13;;;;13.0;11.0;2.0;1.0;13;;;;;;;
138;28 Machine-industrie;Totaal bedrijfsafvalstoffen;2008;133;131;68;0;18;2;12;0;1;26;0;3;0;2;133;104.0;2.0;102.0;29.0;17.0;8.0;4.0;133;9.0;11.0;23.0;18.0;20.0;37.0;15.0
139;28 Machine-industrie;Totaal bedrijfsafvalstoffen;2009;115;114;59;0;16;2;11;0;1;22;0;3;0;2;115;90.0;2.0;88.0;25.0;15.0;7.0;3.0;115;;;;;;;
140;28 Machine-industrie;Hergebruik;2008;104;104;68;0;18;2;11;0;1;3;0;1;0;0;104;104.0;2.0;102.0;;;;;104;6.0;7.0;16.0;13.0;17.0;32.0;13.0
141;28 Machine-industrie;Hergebruik;2009;90;90;59;0;15;2;10;0;1;3;0;1;0;0;90;90.0;2.0;88.0;;;;;90;;;;;;;
142;28 Machine-industrie;Eindverwerking;2008;29;27;0;0;1;0;1;0;0;23;0;2;0;2;29;;;;29.0;17.0;8.0;4.0;29;3.0;4.0;7.0;5.0;3.0;5.0;2.0
143;28 Machine-industrie;Eindverwerking;2009;25;24;0;0;0;0;1;0;0;20;0;2;0;1;25;;;;25.0;15.0;7.0;3.0;25;;;;;;;
144;29-30 Transportmiddelenindustrie;Totaal bedrijfsafvalstoffen;2008;197;163;89;0;10;2;10;0;1;49;0;0;1;34;197;126.0;1.0;125.0;71.0;32.0;5.0;33.0;197;5.0;3.0;8.0;8.0;80.0;26.0;66.0
145;29-30 Transportmiddelenindustrie;Totaal bedrijfsafvalstoffen;2009;135;112;60;0;6;1;7;0;1;35;0;0;1;23;135;88.0;1.0;87.0;48.0;22.0;4.0;23.0;135;;;;;;;
146;29-30 Transportmiddelenindustrie;Hergebruik;2008;126;124;88;0;10;2;10;0;0;13;0;0;1;2;126;126.0;1.0;125.0;;;;;126;1.0;1.0;5.0;5.0;35.0;20.0;61.0
147;29-30 Transportmiddelenindustrie;Hergebruik;2009;88;86;60;0;6;1;7;0;0;11;0;0;1;2;88;88.0;1.0;87.0;;;;;88;;;;;;;
148;29-30 Transportmiddelenindustrie;Eindverwerking;2008;71;38;1;0;0;0;0;0;1;36;0;0;0;32;71;;;;71.0;32.0;5.0;33.0;71;4.0;2.0;4.0;3.0;45.0;6.0;6.0
149;29-30 Transportmiddelenindustrie;Eindverwerking;2009;48;26;1;0;0;0;0;0;1;24;0;0;0;22;48;;;;48.0;22.0;4.0;23.0;48;;;;;;;
150;31 Meubelindustrie;Totaal bedrijfsafvalstoffen;2008;163;163;9;0;7;3;132;0;0;10;0;2;0;0;163;153.0;34.0;119.0;10.0;6.0;4.0;0.0;163;71.0;23.0;39.0;7.0;9.0;9.0;5.0
151;31 Meubelindustrie;Totaal bedrijfsafvalstoffen;2009;131;130;7;0;6;3;105;0;0;8;0;2;0;0;131;123.0;27.0;95.0;8.0;5.0;3.0;0.0;131;;;;;;;
152;31 Meubelindustrie;Hergebruik;2008;153;153;9;0;7;3;131;0;0;0;0;2;0;0;153;153.0;34.0;119.0;;;;;153;68.0;22.0;36.0;7.0;7.0;8.0;4.0
153;31 Meubelindustrie;Hergebruik;2009;123;122;7;0;6;3;105;0;0;0;0;2;0;0;123;123.0;27.0;95.0;;;;;123;;;;;;;
154;31 Meubelindustrie;Eindverwerking;2008;10;10;0;0;0;0;1;0;0;9;0;0;0;0;10;;;;10.0;6.0;4.0;0.0;10;3.0;1.0;3.0;0.0;2.0;1.0;1.0
155;31 Meubelindustrie;Eindverwerking;2009;8;8;0;0;0;0;1;0;0;7;0;0;0;0;8;;;;8.0;5.0;3.0;0.0;8;;;;;;;
156;32 Overige industrie;Totaal bedrijfsafvalstoffen;2008;85;85;3;0;13;1;4;0;22;38;0;2;0;0;85;51.0;5.0;47.0;34.0;18.0;14.0;2.0;85;3.0;1.0;6.0;0.0;2.0;26.0;46.0
157;32 Overige industrie;Totaal bedrijfsafvalstoffen;2009;83;83;3;0;13;1;4;0;22;37;0;2;0;0;83;50.0;5.0;46.0;33.0;17.0;14.0;2.0;83;;;;;;;
158;32 Overige industrie;Hergebruik;2008;51;51;3;0;13;1;4;0;17;12;0;1;0;0;51;51.0;5.0;47.0;;;;;51;1.0;0.0;2.0;0.0;1.0;18.0;29.0
159;32 Overige industrie;Hergebruik;2009;50;50;3;0;12;1;4;0;17;11;0;1;0;0;50;50.0;5.0;46.0;;;;;50;;;;;;;
160;32 Overige industrie;Eindverwerking;2008;34;34;0;0;1;0;0;0;5;26;0;1;0;0;34;;;;34.0;18.0;14.0;2.0;34;2.0;1.0;4.0;0.0;1.0;8.0;17.0
161;32 Overige industrie;Eindverwerking;2009;33;33;0;0;1;0;0;0;5;26;0;1;0;0;33;;;;33.0;17.0;14.0;2.0;33;;;;;;;
162;33 Reparatie en installatie van machines;Totaal bedrijfsafvalstoffen;2008;44;44;18;0;5;0;4;0;0;16;0;0;1;0;44;27.0;0.0;27.0;17.0;9.0;6.0;2.0;44;6.0;3.0;6.0;6.0;7.0;8.0;9.0
163;33 Reparatie en installatie van machines;Totaal bedrijfsafvalstoffen;2009;45;45;18;0;5;0;4;0;0;16;0;0;1;0;45;27.0;0.0;27.0;18.0;9.0;7.0;2.0;45;;;;;;;
164;33 Reparatie en installatie van machines;Hergebruik;2008;27;27;16;0;4;0;4;0;0;1;0;0;1;0;27;27.0;0.0;27.0;;;;;27;3.0;1.0;2.0;5.0;4.0;4.0;8.0
165;33 Reparatie en installatie van machines;Hergebruik;2009;27;27;17;0;4;0;4;0;0;1;0;0;1;0;27;27.0;0.0;27.0;;;;;27;;;;;;;
166;33 Reparatie en installatie van machines;Eindverwerking;2008;17;17;1;0;1;0;0;0;0;14;0;0;0;0;17;;;;17.0;9.0;6.0;2.0;17;3.0;2.0;3.0;1.0;2.0;4.0;1.0
167;33 Reparatie en installatie van machines;Eindverwerking;2009;18;18;1;0;1;0;0;0;0;14;0;0;0;0;18;;;;18.0;9.0;7.0;2.0;18;;;;;;;
168;D Energievoorziening;Totaal bedrijfsafvalstoffen;2008;1318;1307;11;0;3;1;1;0;0;13;1;1274;2;11;1318;1297.0;0.0;1297.0;21.0;11.0;10.0;0.0;1318;0.0;0.0;9.0;0.0;1.0;428.0;880.0
169;D Energievoorziening;Totaal bedrijfsafvalstoffen;2009;1269;1259;11;0;3;1;1;0;0;14;1;1225;2;10;1269;1252.0;0.0;1252.0;17.0;11.0;6.0;0.0;1269;;;;;;;
170;D Energievoorziening;Hergebruik;2008;1297;1293;11;0;3;1;1;0;0;2;1;1272;2;4;1297;1297.0;0.0;1297.0;;;;;1297;0.0;0.0;9.0;0.0;0.0;422.0;865.0
171;D Energievoorziening;Hergebruik;2009;1252;1245;11;0;3;1;1;0;0;3;1;1223;2;8;1252;1252.0;0.0;1252.0;;;;;1252;;;;;;;
172;D Energievoorziening;Eindverwerking;2008;21;14;0;0;0;0;0;0;0;11;1;2;0;7;21;;;;21.0;11.0;10.0;0.0;21;0.0;0.0;0.0;0.0;0.0;6.0;14.0
173;D Energievoorziening;Eindverwerking;2009;17;14;0;0;0;0;0;0;0;11;1;2;0;3;17;;;;17.0;11.0;6.0;0.0;17;;;;;;;
174;36+383 Waterwinning en recycling;Totaal bedrijfsafvalstoffen;2008;1045;1014;93;12;14;19;38;0;11;127;87;610;2;32;1045;615.0;26.0;589.0;430.0;39.0;356.0;35.0;1045;107.0;102.0;187.0;35.0;27.0;524.0;64.0
175;36+383 Waterwinning en recycling;Totaal bedrijfsafvalstoffen;2009;852;827;73;10;11;14;30;0;10;100;81;495;2;25;852;519.0;21.0;498.0;333.0;31.0;274.0;28.0;852;;;;;;;
176;36+383 Waterwinning en recycling;Hergebruik;2008;615;615;67;1;14;17;38;0;9;50;61;356;2;0;615;615.0;26.0;589.0;;;;;615;50.0;28.0;89.0;18.0;24.0;343.0;63.0
177;36+383 Waterwinning en recycling;Hergebruik;2009;519;519;53;1;10;13;30;0;8;39;66;295;2;0;519;519.0;21.0;498.0;;;;;519;;;;;;;
178;36+383 Waterwinning en recycling;Eindverwerking;2008;430;398;26;12;0;2;0;0;2;77;26;254;0;32;430;;;;430.0;39.0;356.0;35.0;430;57.0;74.0;99.0;17.0;3.0;180.0;1.0
179;36+383 Waterwinning en recycling;Eindverwerking;2009;333;308;21;9;0;1;0;0;2;61;14;200;0;25;333;;;;333.0;31.0;274.0;28.0;333;;;;;;;
180;36 Waterleidingbedrijven;Totaal bedrijfsafvalstoffen;2008;175;175;0;0;0;0;0;0;4;2;86;83;0;0;175;146.0;0.0;146.0;30.0;2.0;28.0;0.0;175;;;21.0;;7.0;83.0;64.0
181;36 Waterleidingbedrijven;Totaal bedrijfsafvalstoffen;2009;167;167;0;0;0;0;0;0;4;2;80;80;0;0;167;149.0;0.0;149.0;18.0;2.0;16.0;0.0;167;;;;;;;
182;36 Waterleidingbedrijven;Hergebruik;2008;146;146;0;0;0;0;0;0;4;0;61;81;0;0;146;146.0;0.0;146.0;;;;;146;;;19.0;;7.0;57.0;63.0
183;36 Waterleidingbedrijven;Hergebruik;2009;149;149;0;0;0;0;0;0;4;0;66;78;0;0;149;149.0;0.0;149.0;;;;;149;;;;;;;
184;36 Waterleidingbedrijven;Eindverwerking;2008;30;30;0;0;0;0;0;0;0;2;26;2;0;0;30;;;;30.0;2.0;28.0;0.0;30;;;2.0;;0.0;26.0;1.0
185;36 Waterleidingbedrijven;Eindverwerking;2009;18;18;0;0;0;0;0;0;0;2;14;2;0;0;18;;;;18.0;2.0;16.0;0.0;18;;;;;;;
186;383 Voorbereiding tot recycling;Totaal bedrijfsafvalstoffen;2008;870;838;93;12;13;18;38;0;8;125;1;527;2;32;870;470.0;26.0;443.0;400.0;37.0;328.0;35.0;870;107.0;102.0;166.0;35.0;20.0;440.0;
187;383 Voorbereiding tot recycling;Totaal bedrijfsafvalstoffen;2009;685;660;73;10;11;14;30;0;6;98;1;415;2;25;685;370.0;21.0;349.0;315.0;29.0;258.0;28.0;685;;;;;;;
188;383 Voorbereiding tot recycling;Hergebruik;2008;470;470;67;1;13;17;38;0;6;50;0;275;2;0;470;470.0;26.0;443.0;;;;;470;50.0;28.0;70.0;18.0;17.0;286.0;
189;383 Voorbereiding tot recycling;Hergebruik;2009;370;370;53;1;10;13;30;0;4;39;0;217;2;0;370;370.0;21.0;349.0;;;;;370;;;;;;;
190;383 Voorbereiding tot recycling;Eindverwerking;2008;400;369;26;12;0;2;0;0;2;75;1;252;0;32;400;;;;400.0;37.0;328.0;35.0;400;57.0;74.0;97.0;17.0;3.0;154.0;
191;383 Voorbereiding tot recycling;Eindverwerking;2009;315;290;21;9;0;1;0;0;2;59;0;198;0;25;315;;;;315.0;29.0;258.0;28.0;315;;;;;;;
