ID;Energiedragers;NederlandseEconomie;Perioden;Winning_1;IntermediairEnHuishoudelijkVerbruik_2;Invoer_3;Productie_4;NettoEnergieverbruik_5;Uitvoer_6
129;Totaal energiedragers;20 Chemische industrie;2017;0.8;1129.4;;281.7;848.4;
130;Totaal energiedragers;20 Chemische industrie;2018;0.6;1079.9;;279.0;801.5;
131;Totaal energiedragers;20 Chemische industrie;2019;0.8;1042.8;;283.1;760.6;
132;Totaal energiedragers;20 Chemische industrie;2020;1.2;1125.1;;311.9;814.4;
133;Totaal energiedragers;20 Chemische industrie;2021;1.2;1123.5;;309.5;815.2;
134;Totaal energiedragers;20 Chemische industrie;2022;1.7;988.1;;305.3;684.5;
135;Totaal energiedragers;21 Farmaceutische industrie;2014;;4.6;;0.3;4.3;
136;Totaal energiedragers;21 Farmaceutische industrie;2015;;4.4;;0.3;4.1;
137;Totaal energiedragers;21 Farmaceutische industrie;2016;;4.4;;0.4;4.0;
138;Totaal energiedragers;21 Farmaceutische industrie;2017;;4.5;;0.4;4.0;
139;Totaal energiedragers;21 Farmaceutische industrie;2018;0.0;4.3;;0.3;4.0;
140;Totaal energiedragers;21 Farmaceutische industrie;2019;0.0;4.1;;0.2;3.9;
141;Totaal energiedragers;21 Farmaceutische industrie;2020;0.0;4.2;;0.2;4.0;
142;Totaal energiedragers;21 Farmaceutische industrie;2021;0.0;4.1;;0.2;3.9;
143;Totaal energiedragers;21 Farmaceutische industrie;2022;0.0;4.8;;0.4;4.4;
144;Totaal energiedragers;22 Rubber- en kunststofproductindustrie;2014;;10.2;;;10.2;
145;Totaal energiedragers;22 Rubber- en kunststofproductindustrie;2015;;10.2;;;10.2;
146;Totaal energiedragers;22 Rubber- en kunststofproductindustrie;2016;;10.7;;;10.7;
147;Totaal energiedragers;22 Rubber- en kunststofproductindustrie;2017;;10.6;;;10.6;
148;Totaal energiedragers;22 Rubber- en kunststofproductindustrie;2018;0.0;11.1;;0.0;11.1;
149;Totaal energiedragers;22 Rubber- en kunststofproductindustrie;2019;0.0;10.3;;0.0;10.3;
150;Totaal energiedragers;22 Rubber- en kunststofproductindustrie;2020;0.1;10.2;;0.1;10.2;
151;Totaal energiedragers;22 Rubber- en kunststofproductindustrie;2021;0.1;10.7;;0.1;10.7;
152;Totaal energiedragers;22 Rubber- en kunststofproductindustrie;2022;0.2;10.2;;0.2;10.2;
153;Totaal energiedragers;23 Bouwmaterialenindustrie;2014;;29.3;;0.3;29.0;
154;Totaal energiedragers;23 Bouwmaterialenindustrie;2015;;27.8;;0.3;27.5;
155;Totaal energiedragers;23 Bouwmaterialenindustrie;2016;;29.0;;0.3;28.7;
156;Totaal energiedragers;23 Bouwmaterialenindustrie;2017;0.0;28.8;;0.4;28.4;
157;Totaal energiedragers;23 Bouwmaterialenindustrie;2018;0.0;29.8;;0.2;29.6;
158;Totaal energiedragers;23 Bouwmaterialenindustrie;2019;0.0;26.5;;0.2;26.4;
159;Totaal energiedragers;23 Bouwmaterialenindustrie;2020;0.1;25.3;;0.3;25.1;
160;Totaal energiedragers;23 Bouwmaterialenindustrie;2021;0.1;25.4;;0.3;25.2;
161;Totaal energiedragers;23 Bouwmaterialenindustrie;2022;0.2;24.7;;0.3;24.5;
162;Totaal energiedragers;24 Basismetaalindustrie;2014;;242.8;;129.8;113.0;
163;Totaal energiedragers;24 Basismetaalindustrie;2015;;244.5;;118.1;126.4;
164;Totaal energiedragers;24 Basismetaalindustrie;2016;;241.8;;115.8;126.0;
165;Totaal energiedragers;24 Basismetaalindustrie;2017;;244.3;;115.7;128.6;
166;Totaal energiedragers;24 Basismetaalindustrie;2018;0.0;241.2;;115.5;125.7;
167;Totaal energiedragers;24 Basismetaalindustrie;2019;0.0;239.5;;112.4;127.1;
168;Totaal energiedragers;24 Basismetaalindustrie;2020;0.0;219.6;;106.5;113.1;
169;Totaal energiedragers;24 Basismetaalindustrie;2021;0.0;231.8;;111.8;120.1;
170;Totaal energiedragers;24 Basismetaalindustrie;2022;0.0;219.6;;109.5;110.1;
171;Totaal energiedragers;25 Metaalproductenindustrie;2014;;11.1;;0.0;11.1;
172;Totaal energiedragers;25 Metaalproductenindustrie;2015;;11.0;;0.0;11.0;
173;Totaal energiedragers;25 Metaalproductenindustrie;2016;;12.1;;0.0;12.1;
174;Totaal energiedragers;25 Metaalproductenindustrie;2017;;12.9;;0.0;12.9;
175;Totaal energiedragers;25 Metaalproductenindustrie;2018;0.1;12.6;;0.1;12.6;
176;Totaal energiedragers;25 Metaalproductenindustrie;2019;0.2;13.0;;0.2;13.0;
177;Totaal energiedragers;25 Metaalproductenindustrie;2020;0.3;12.2;;0.3;12.2;
178;Totaal energiedragers;25 Metaalproductenindustrie;2021;0.4;12.9;;0.4;12.9;
179;Totaal energiedragers;25 Metaalproductenindustrie;2022;0.7;11.8;;0.7;11.8;
180;Totaal energiedragers;26 Elektrotechnische industrie;2014;;1.7;;;1.7;
181;Totaal energiedragers;26 Elektrotechnische industrie;2015;;1.7;;;1.7;
182;Totaal energiedragers;26 Elektrotechnische industrie;2016;;1.7;;;1.7;
183;Totaal energiedragers;26 Elektrotechnische industrie;2017;;1.7;;;1.7;
184;Totaal energiedragers;26 Elektrotechnische industrie;2018;0.0;1.8;;0.0;1.8;
185;Totaal energiedragers;26 Elektrotechnische industrie;2019;0.0;1.8;;0.0;1.8;
186;Totaal energiedragers;26 Elektrotechnische industrie;2020;0.0;1.8;;0.0;1.8;
187;Totaal energiedragers;26 Elektrotechnische industrie;2021;0.0;1.8;;0.0;1.8;
188;Totaal energiedragers;26 Elektrotechnische industrie;2022;0.0;1.8;;0.0;1.8;
189;Totaal energiedragers;27 Elektrische apparatenindustrie;2014;;19.6;;;19.6;
190;Totaal energiedragers;27 Elektrische apparatenindustrie;2015;;21.3;;;21.3;
191;Totaal energiedragers;27 Elektrische apparatenindustrie;2016;;19.5;;;19.5;
192;Totaal energiedragers;27 Elektrische apparatenindustrie;2017;;19.1;;;19.1;
193;Totaal energiedragers;27 Elektrische apparatenindustrie;2018;0.0;18.8;;0.0;18.8;
194;Totaal energiedragers;27 Elektrische apparatenindustrie;2019;0.0;19.2;;0.0;19.2;
195;Totaal energiedragers;27 Elektrische apparatenindustrie;2020;0.0;16.1;;0.0;16.1;
196;Totaal energiedragers;27 Elektrische apparatenindustrie;2021;0.0;12.2;;0.0;12.2;
197;Totaal energiedragers;27 Elektrische apparatenindustrie;2022;0.0;7.1;;0.0;7.1;
