ID;Geslacht;LeeftijdOp31December;Perioden;Overledenen_1
172;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 11;2280
173;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 12;2085
174;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 13;2164
175;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 14;2027
176;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 15;2084
177;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 16;2035
178;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 17;1997
179;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 18;2063
180;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 19;2062
181;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 20;2003
182;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 21;2049
183;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 22;2051
184;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 23;2067
185;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 24;2082
186;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 25;2070
187;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 26;1973
188;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 27;1957
189;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 28;1919
190;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 29;1969
191;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 30;1890
192;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 31;1958
193;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 32;1933
194;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 33;2129
195;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 34;1962
196;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 35;1964
197;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 36;1865
198;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 37;2133
199;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 38;2003
200;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 39;2157
201;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 40;2153
202;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 41;2122
203;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 42;2116
204;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 43;2107
205;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 44;2073
206;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 45;2204
207;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 46;2147
208;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 47;2102
209;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 48;2145
210;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 49;2140
211;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 50;2071
212;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 51;2167
213;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 52;2215
214;Totaal mannen en vrouwen;Totaal leeftijd;1974 week 53 (2 dagen);649
