ID;InstitutionalSectors;Periods;Total_1;Dwellings_2;BuildingsOtherThanDwellings_3;OtherStructures_4;CostsOfOwnershipTransferOfLand_5;Total_6;PassengerCars_7;OtherRoadTransportEquipment_8;TrainsAndTrams_9;Ships_10;Aircraft_11;Computers_12;TelecommunicationEquipment_13;MachineryAndInstallations_14;OtherTangibleFixedAssets_15;CultivatedBiologicalResources_16;ResearchAndDevelopment_17;ComputerSoftwareAndDatabases_18;OtherIntellectualPropertyProducts_19;Total_20;ExportsOfUsedFixedAssets_21;DomesticSalesUsedFixedAssets_22;GrossFixedCapitalFormation_23;Total_24;Dwellings_25;BuildingsOtherThanDwellings_26;OtherStructures_27;CostsOfOwnershipTransferOfLand_28;Total_29;PassengerCars_30;OtherRoadTransportEquipment_31;TrainsAndTrams_32;Ships_33;Aircraft_34;Computers_35;TelecommunicationEquipment_36;MachineryAndInstallations_37;OtherTangibleFixedAssets_38;CultivatedBiologicalResources_39;ResearchAndDevelopment_40;ComputerSoftwareAndDatabases_41;OtherIntellectualPropertyProducts_42;Total_43;ExportsOfUsedFixedAssets_44;DomesticSalesUsedFixedAssets_45;GrossFixedCapitalFormation_46;Total_47;Dwellings_48;BuildingsOtherThanDwellings_49;OtherStructures_50;CostsOfOwnershipTransferOfLand_51;Total_52;PassengerCars_53;OtherRoadTransportEquipment_54;TrainsAndTrams_55;Ships_56;Aircraft_57;Computers_58;TelecommunicationEquipment_59;MachineryAndInstallations_60;OtherTangibleFixedAssets_61;CultivatedBiologicalResources_62;ResearchAndDevelopment_63;ComputerSoftwareAndDatabases_64;OtherIntellectualPropertyProducts_65;Total_66;ExportsOfUsedFixedAssets_67;DomesticSalesUsedFixedAssets_68;GrossFixedCapitalFormation_69;Total_70;Dwellings_71;BuildingsOtherThanDwellings_72;OtherStructures_73;CostsOfOwnershipTransferOfLand_74;Total_75;PassengerCars_76;OtherRoadTransportEquipment_77;TrainsAndTrams_78;Ships_79;Aircraft_80;Computers_81;TelecommunicationEquipment_82;MachineryAndInstallations_83;OtherTangibleFixedAssets_84;CultivatedBiologicalResources_85;ResearchAndDevelopment_86;ComputerSoftwareAndDatabases_87;OtherIntellectualPropertyProducts_88;Total_89;ExportsOfUsedFixedAssets_90;DomesticSalesUsedFixedAssets_91;GrossFixedCapitalFormation_92
36;All sectors;2005;115851;32568;16760;11627;1637;9229;5972;1920;431;516;390;3696;568;12498;5600;287;9731;10843;807;3479;1853.0;1626.0;112372;127221;36896;19418;13247;1796;9523;5896;2090;476.0;559;446;2510;521;13556;6152;306.0;11004;11748;902.0;3626;1927.0;1681.0;123554;3.9;5.5;-0.9;10.6;15.1;-0.6;2.2;-4.8;-14.1;7.7;-11.8;13.4;6.4;0.1;1.5;-12.2;0.6;9.4;-7.8;37.3;92.3;4.0;3.1;91.1;88.3;86.3;87.8;91.2;96.9;101.3;91.9;90.6;92.2;87.4;147.3;109.1;92.2;91.0;93.8;88.4;92.3;89.5;96.0;96.2;96.7;90.9
37;All sectors;2006;126515;35797;17908;12886;1753;10347;6435;2196;390;770;556;3693;645;14071;5862;254;9974;12422;903;3345;1772.0;1573.0;123170;135895;39039;20105;14298;1876;10562;6272;2385;426.0;822;627;2777;623;15083;6348;264.0;10960;13195;972.0;3413;1790.0;1605.0;132463;6.8;5.8;3.5;7.9;4.5;10.9;6.4;14.1;-10.4;46.9;40.5;10.7;19.7;11.3;3.2;-13.6;-0.4;12.3;7.8;-5.9;-7.1;-4.5;7.2;93.1;91.7;89.1;90.1;93.4;98.0;102.6;92.1;91.5;93.7;88.7;133.0;103.5;93.3;92.3;96.1;91.0;94.1;92.9;98.0;99.0;98.0;93.0
38;All sectors;2007;137113;38383;20755;13520;1684;10912;7128;2392;304;1048;40;4009;697;15552;6710;361;10105;13601;824;3368;1739.0;1629.0;133745;144428;41023;22766;14497;1756;11007;6888;2533;332.0;1111;44;3212;694;16407;7130;364.0;10879;13944;879.0;3384;1721.0;1647.0;141037;6.3;5.1;13.2;1.4;-6.4;4.2;9.8;6.2;-22.1;35.2;-93.0;15.7;11.3;8.8;12.3;37.8;-0.7;5.7;-9.5;-0.8;-3.9;2.6;6.5;94.9;93.6;91.2;93.3;95.9;99.1;103.5;94.4;91.5;94.3;91.0;124.8;100.5;94.8;94.1;99.1;92.9;97.5;93.7;99.5;101.1;98.9;94.8
39;All sectors;2008;145658;39613;23023;14818;1512;11780;6716;2972;411;1328;353;3988;660;17540;6996;304;10190;14361;873;3244;1438.0;1806.0;142414;150120;41192;24374;15200;1532;11920;6662;3064;433.0;1374;370;3561;655;18029;7251;310.0;10627;14611;905.0;3252;1369.0;1873.0;146874;3.9;0.4;7.1;4.8;-12.8;8.3;-3.3;21.0;30.3;23.7;742.5;10.9;-5.6;9.9;1.7;-15.0;-2.3;4.8;2.9;-3.9;-20.4;13.7;4.1;97.0;96.2;94.5;97.5;98.7;98.8;100.8;97.0;95.0;96.7;95.3;112.0;100.8;97.3;96.5;98.1;95.9;98.3;96.5;99.8;105.0;96.4;97.0
40;All sectors;2009;134753;34712;22567;15139;1268;9136;4749;2002;577;924;884;3834;629;16100;6098;311;10328;13842;789;3199;1190.0;2009.0;131554;136613;35058;22961;15533;1282;9182;4719;2062;579.0;937;903;3718;628;16337;6160;316.0;10492;14139;795.0;3269;1188.0;2088.0;133340;-9.0;-14.9;-5.8;2.2;-16.3;-23.0;-29.2;-32.7;33.8;-31.8;143.9;4.4;-4.1;-9.4;-15.1;2.0;-1.3;-3.2;-12.1;0.5;-13.3;11.5;-9.2;98.6;99.0;98.3;97.5;98.9;99.5;100.6;97.1;99.6;98.6;97.8;103.1;100.1;98.5;99.0;98.5;98.4;97.9;99.2;97.9;100.2;96.2;98.7
41;All sectors;2010;128114;29464;19948;15249;1596;9617;5137;1822;1141;1192;325;3613;728;14938;5672;259;10949;15053;1028;3465;1438.0;2027.0;124649;128114;29464;19948;15249;1596;9617;5137;1822;1141.0;1192;325;3613;728;14938;5672;259.0;10949;15053;1028.0;3465;1438.0;2027.0;124649;-6.2;-16.0;-13.1;-1.8;24.5;4.7;8.9;-11.6;97.1;27.2;-64.0;-2.8;15.9;-8.6;-7.9;-18.0;4.4;6.5;29.3;6.0;21.1;-2.9;-6.5;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
42;All sectors;2011;133730;26877;20384;17565;1666;11274;6322;2521;449;1356;626;3767;927;17487;6106;200;11385;15123;969;3328;1563.0;1765.0;130402;134888;28165;20373;17129;1667;11395;6454;2494;443.0;1379;625;3955;960;17389;6000;206.0;11236;15459;954.0;3305;1544.0;1761.0;131583;5.3;-4.4;2.1;12.3;4.4;18.5;25.6;36.9;-61.2;15.7;92.3;9.5;31.9;16.4;5.8;-20.5;2.6;2.7;-7.2;-4.6;7.4;-13.1;5.6;99.1;95.4;100.1;102.5;99.9;98.9;98.0;101.1;101.4;98.3;100.2;95.2;96.6;100.6;101.8;97.1;101.3;97.8;101.6;100.7;101.2;100.2;99.1
43;All sectors;2012;124775;22610;18491;16051;1595;11039;6299;2641;523;806;770;3735;938;16375;5603;251;11329;15577;1181;2847;1923.0;924.0;121928;126117;24537;18561;15306;1770;11062;6419;2595;510.0;824;706;4003;983;15964;5397;277.0;11058;16042;1145.0;2802;1877.0;920.0;123319;-6.5;-12.9;-8.9;-10.6;6.2;-2.9;-0.5;4.0;15.1;-40.3;12.9;1.2;2.4;-8.2;-10.1;34.5;-1.6;3.8;20.0;-15.2;21.6;-47.8;-6.3;98.9;92.1;99.6;104.9;90.1;99.8;98.1;101.8;102.5;97.8;109.1;93.3;95.4;102.6;103.8;90.6;102.4;97.1;103.1;101.6;102.5;100.4;98.9
44;All sectors;2013;120088;19506;17784;16515;1418;10205;5676;2429;500;1011;589;3687;931;15678;5256;316;11676;15943;1173;2981;2210.0;771.0;117107;120986;21554;17613;15562;1561;10213;5812;2365;480.0;1016;545;3957;980;15245;5029;365.0;11306;16295;1117.0;2917;2137.0;771.0;118068;-4.1;-12.2;-5.1;1.7;-11.8;-7.7;-9.5;-8.9;-5.9;23.3;-22.7;-1.2;-0.3;-4.5;-6.8;31.9;2.2;1.6;-2.5;4.1;13.8;-16.2;-4.3;99.3;90.5;101.0;106.1;90.8;99.9;97.7;102.7;104.2;99.5;108.0;93.2;95.0;102.8;104.5;86.5;103.3;97.8;105.0;102.2;103.4;100.1;99.2
45;All sectors;2014;122735;20142;17630;16466;1928;9474;5398;2420;445;761;450;3596;990;16546;5332;333;11969;17119;1210;3205;1979.0;1226.0;119530;123870;22869;17425;15466;2034;9499;5550;2383;420.0;747;410;3875;1051;16028;5076;383.0;11494;17497;1133.0;3102;1896.0;1208.0;120763;2.4;6.1;-1.1;-0.6;30.3;-7.0;-4.5;0.8;-12.4;-26.5;-24.8;-2.1;7.3;5.1;0.9;4.7;1.7;7.4;1.4;6.3;-11.3;56.8;2.3;99.1;88.1;101.2;106.5;94.8;99.7;97.3;101.5;105.9;101.9;109.7;92.8;94.2;103.2;105.1;87.0;104.1;97.8;106.8;103.3;104.4;101.5;99.0
46;All sectors;2015;135984;23651;18029;17269;2245;13182;7511;2894;430;780;1567;4530;1128;17417;5605;355;12284;19096;1193;3520;1834.0;1686.0;132464;137350;27653;18188;16367;2231;12904;7663;2861;409.0;751;1197;5010;1308;16519;5289;391.0;11622;19227;1104.0;3349;1730.0;1631.0;133999;10.9;20.9;4.4;5.8;9.7;35.8;38.1;20.0;-2.7;0.7;191.8;29.3;24.4;3.1;4.2;2.1;1.1;9.9;-2.6;8.0;-8.7;35.0;11.0;99.0;85.5;99.1;105.5;100.6;102.2;98.0;101.1;105.1;103.8;130.9;90.4;86.2;105.4;106.0;90.8;105.7;99.3;108.1;105.1;106.0;103.4;98.9
47;All sectors;2016;142862;28231;18370;17078;2661;12855;5836;3402;426;819;2372;4721;1187;17953;5959;316;12690;19774;1067;2813;1512.0;1301.0;140049;143651;32921;18591;16193;2603;12445;5874;3341;398.0;785;1790;5294;1402;16905;5572;373.0;11830;19735;974.0;2650;1400.0;1259.0;141052;4.6;19.0;2.2;-1.1;16.7;-3.6;-23.3;16.8;-2.8;4.5;49.5;5.7;7.2;2.3;5.4;-4.5;1.8;2.6;-11.8;-20.9;-19.1;-22.8;5.3;99.5;85.8;98.8;105.5;102.2;103.3;99.3;101.8;107.1;104.3;132.5;89.2;84.7;106.2;106.9;84.7;107.3;100.2;109.6;106.2;108.0;103.4;99.3
48;Corporations, households and NPISHs;1969;11445;3404;1936;791;149;827;340;242;20;109;116;113;72;2520;479;288;755;25;86;103;;;11342;47650;23933;13099;4204;543;2725;1115;865;82.0;380;335;0;89;9637;3621;567.0;3744;22;339.0;265;;;47464;;;;;;;;;;;;;;;;;;;;;;;;24.0;14.2;14.8;18.8;27.4;30.3;30.5;28.0;24.5;28.7;34.6;35060.8;81.0;26.1;13.2;50.8;20.2;112.3;25.4;38.9;;;23.9
49;Corporations, households and NPISHs;1970;13903;3902;2654;965;149;1036;434;334;27;139;102;143;86;3180;620;244;799;37;88;150;;;13753;53158;25072;16278;4651;521;3207;1332;1116;102.0;463;281;0;102;11075;4158;475.0;3783;32;311.0;368;;;52833;11.6;4.8;24.3;10.6;-4.0;17.7;19.4;28.9;25.0;22.0;-16.4;38.9;15.3;14.9;14.8;-16.3;1.1;44.0;-8.1;38.8;;;11.3;26.2;15.6;16.3;20.7;28.6;32.3;32.6;29.9;26.4;30.0;36.4;31934.4;83.9;28.7;14.9;51.4;21.1;115.5;28.3;40.8;;;26.0
50;Corporations, households and NPISHs;1971;15798;4650;2682;1271;183;1390;446;340;45;218;341;162;96;3418;644;232;922;47;101;144;;;15654;54256;26396;14543;5513;615;3971;1267;1035;159.0;673;869;1;110;10796;3769;325.0;3944;40;339.0;326;;;54000;2.1;5.3;-10.7;18.5;18.1;23.8;-4.8;-7.2;55.6;45.3;209.8;48.3;7.0;-2.5;-9.4;-31.6;4.3;24.3;9.1;-11.3;;;2.2;29.1;17.6;18.4;23.1;29.7;35.0;35.2;32.8;28.3;32.4;39.2;24402.7;87.6;31.7;17.1;71.4;23.4;118.0;29.8;44.2;;;29.0
51;Corporations, households and NPISHs;1972;16653;5663;2427;1348;248;1266;497;376;42;150;201;199;93;3287;666;275;1006;65;110;121;;;16532;52741;28905;11799;5357;804;3488;1367;1093;141.0;451;497;1;106;9921;3570;370.0;3756;55;346.0;267;;;52569;-2.8;9.5;-18.9;-2.8;30.6;-12.2;7.8;5.6;-11.1;-33.0;-42.8;48.1;-3.1;-8.1;-5.3;13.8;-4.8;38.3;2.0;-18.1;;;-2.7;31.6;19.6;20.6;25.2;30.9;36.3;36.4;34.4;29.8;33.3;40.4;20233.9;87.6;33.1;18.7;74.4;26.8;118.0;31.8;45.3;;;31.4
52;Corporations, households and NPISHs;1973;18350;6381;2852;1332;249;1397;560;444;46;240;107;234;96;3355;736;411;1082;115;110;151;;;18199;53878;29354;12450;4868;791;3778;1512;1259;151.0;712;262;1;110;9810;3655;547.0;3596;97;330.0;331;;;53618;2.2;1.6;5.5;-9.1;-1.6;8.3;10.7;15.2;7.1;58.0;-47.3;22.1;3.2;-1.1;2.4;48.0;-4.3;75.4;-4.5;24.0;;;2.0;34.1;21.7;22.9;27.4;31.5;37.0;37.0;35.3;30.4;33.7;40.8;19484.5;87.6;34.2;20.1;75.1;30.1;119.0;33.3;45.6;;;33.9
53;Corporations, households and NPISHs;1974;19117;6325;3049;1341;225;1323;566;462;45;212;38;257;109;3741;873;325;1282;154;113;87;;;19030;50364;25945;11826;4368;664;3239;1393;1174;135.0;573;83;2;121;9725;3670;427.0;3798;132;309.0;173;;;50304;-6.5;-11.6;-5.0;-10.3;-16.1;-14.2;-7.9;-6.8;-10.9;-19.6;-68.2;31.2;10.4;-0.9;0.4;-21.9;5.6;36.5;-6.4;-47.7;;;-6.2;38.0;24.4;25.8;30.7;33.9;40.8;40.6;39.4;33.4;37.0;45.6;16311.1;90.0;38.5;23.8;76.1;33.8;116.7;36.5;50.2;;;37.8
54;Corporations, households and NPISHs;1975;20248;6502;3118;1441;268;1564;605;427;46;306;180;283;120;4005;903;241;1451;209;143;156;;;20092;48027;24095;10891;4254;761;3423;1344;953;123.0;740;355;2;133;9176;3275;289.0;3846;180;353.0;279;;;47819;-4.6;-7.1;-7.9;-2.6;14.7;5.7;-3.5;-18.8;-8.9;29.2;326.3;16.7;10.1;-5.6;-10.8;-32.3;1.2;36.4;14.2;60.9;;;-4.9;42.2;27.0;28.6;33.9;35.2;45.7;45.0;44.8;37.5;41.3;50.7;15386.8;90.0;43.6;27.6;83.3;37.7;116.2;40.5;56.0;;;42.0
55;Corporations, households and NPISHs;1976;22039;7138;3703;1464;328;1524;705;521;33;215;50;329;129;4165;938;237;1639;270;175;71;;;21968;47894;23925;11684;3961;906;3038;1431;1051;80.0;477;91;3;137;8796;3050;280.0;3923;236;400.0;116;;;47902;-0.3;-0.7;7.3;-6.9;19.0;-11.3;6.4;10.3;-34.8;-35.6;-74.4;37.8;2.5;-4.1;-6.9;-3.3;2.0;31.1;13.3;-58.3;;;0.2;46.0;29.8;31.7;37.0;36.2;50.2;49.3;49.6;41.2;45.1;55.1;12980.2;94.4;47.4;30.8;84.7;41.8;114.5;43.7;61.1;;;45.9
56;Corporations, households and NPISHs;1977;25887;9167;3842;1390;339;2035;846;637;83;421;48;399;147;4856;1110;353;1724;319;206;89;;;25798;52888;28282;11157;3499;881;3867;1640;1219;192.0;893;83;3;156;9960;3388;380.0;3870;281;439.0;139;;;52883;10.4;18.2;-4.5;-11.7;-2.7;27.3;14.6;15.9;139.4;87.4;-8.0;37.7;14.0;13.2;11.1;35.9;-1.3;19.3;9.7;19.7;;;10.4;48.9;32.4;34.4;39.7;38.5;52.6;51.6;52.3;43.3;47.1;57.5;11432.9;94.4;48.8;32.8;92.9;44.5;113.4;46.9;64.0;;;48.8
57;Corporations, households and NPISHs;1978;28060;10120;4378;1402;375;2290;922;624;44;487;213;459;161;4891;1142;402;1851;367;222;46;;;28014;53934;28819;11706;3262;930;4221;1737;1152;102.0;1004;358;6;166;9320;3242;417.0;3937;326;443.0;69;;;54024;2.0;1.9;4.9;-6.8;5.6;9.1;5.9;-5.5;-47.0;12.4;329.2;67.9;6.8;-6.4;-4.3;9.6;1.7;16.0;1.0;-50.6;;;2.2;52.0;35.1;37.4;43.0;40.3;54.3;53.1;54.2;43.3;48.5;59.5;7832.4;96.8;52.5;35.2;96.5;47.0;112.5;50.1;66.9;;;51.9
58;Corporations, households and NPISHs;1979;29234;10377;4508;1268;412;2709;1026;730;70;583;300;481;162;5050;1226;427;1991;411;212;138;;;29096;52769;27145;11051;2704;973;4825;1874;1294;157.0;1162;488;7;161;9137;3236;435.0;4084;370;391.0;203;;;52682;-2.2;-5.8;-5.6;-17.1;4.5;14.3;7.9;12.3;54.5;15.8;36.2;25.1;-3.1;-2.0;-0.2;4.5;3.7;13.4;-11.7;195.7;;;-2.5;55.4;38.2;40.8;46.9;42.4;56.1;54.7;56.4;44.6;50.2;61.5;6563.4;100.6;55.3;37.9;98.1;48.8;111.1;54.2;67.9;;;55.2
59;Corporations, households and NPISHs;1980;32233;11634;5252;1443;485;2340;891;621;107;500;221;581;180;5735;1325;326;2129;508;295;176;;;32057;54294;27835;11772;2808;1117;3899;1522;1030;227.0;931;337;11;172;9743;3197;323.0;4170;469;500.0;241;;;54165;2.9;2.5;6.5;3.9;14.8;-19.2;-18.8;-20.4;44.3;-19.9;-31.0;55.1;6.8;6.6;-1.2;-25.8;2.1;26.8;27.8;18.8;;;2.8;59.4;41.8;44.6;51.4;43.4;60.0;58.5;60.3;47.2;53.7;65.7;5111.7;104.6;58.9;41.4;100.9;51.1;108.4;59.0;72.9;;;59.2
60;Corporations, households and NPISHs;1981;30965;11122;4416;1458;447;2192;896;560;163;481;92;691;173;5520;1350;396;2281;581;338;149;;;30816;48854;24902;9237;2639;1004;3427;1436;865;324.0;845;132;15;156;8528;2859;343.0;4350;549;536.0;191;;;48770;-10.0;-10.5;-21.5;-6.0;-10.1;-12.1;-5.6;-15.9;43.0;-9.2;-60.6;34.1;-9.4;-12.5;-10.6;6.1;4.3;17.1;7.1;-21.0;;;-10.0;63.4;44.7;47.8;55.3;44.5;64.0;62.4;64.7;50.3;56.9;69.4;4534.2;111.1;64.7;47.2;115.5;52.4;105.8;63.1;78.1;;;63.2
61;Corporations, households and NPISHs;1982;31392;10876;4053;1359;496;2743;1015;620;209;815;84;824;170;5555;1410;383;2405;719;399;203;;;31189;47866;23856;8262;2405;1100;4036;1533;895;396.0;1350;114;20;148;8082;2723;290.0;4379;690;607.0;244;;;47713;-2.0;-4.2;-10.6;-8.8;9.6;17.7;6.7;3.4;22.1;59.7;-14.1;31.5;-5.2;-5.2;-4.7;-15.4;0.7;25.6;13.3;28.2;;;-2.2;65.6;45.6;49.1;56.5;45.1;68.0;66.2;69.3;52.8;60.4;73.8;4110.2;115.1;68.7;51.8;132.0;54.9;104.2;65.7;83.0;;;65.4
62;Corporations, households and NPISHs;1983;32855;10678;3988;1227;454;3719;1204;693;166;978;678;920;186;5906;1504;385;2593;892;403;134;;;32721;49530;23483;8079;2172;989;5263;1747;960;305.0;1558;884;27;158;8192;2747;295.0;4603;878;607.0;157;;;49493;3.5;-1.6;-2.2;-9.7;-10.1;30.4;14.0;7.3;-23.0;15.5;677.4;33.1;7.1;1.4;0.9;1.8;5.1;27.3;0.0;-36.0;;;3.7;66.3;45.5;49.4;56.5;45.9;70.7;68.9;72.2;54.5;62.8;76.7;3447.1;117.7;72.1;54.8;130.3;56.3;101.6;66.4;85.6;;;66.1
63;Corporations, households and NPISHs;1984;35493;11217;4255;1093;450;3730;1364;819;140;649;758;1132;248;7211;1749;254;2669;1101;384;283;;;35210;53048;24251;8474;1896;972;5111;1910;1098;252.0;1004;960;40;210;9753;3055;226.0;4765;1138;567.0;317;;;52817;7.1;3.3;4.9;-12.7;-1.8;-2.9;9.3;14.4;-17.5;-35.6;8.6;51.0;32.8;19.0;11.2;-23.6;3.5;29.6;-6.7;102.2;;;6.7;66.9;46.3;50.2;57.7;46.3;73.0;71.4;74.6;55.7;64.7;79.0;2809.3;118.1;73.9;57.2;112.6;56.0;96.8;67.8;89.4;;;66.7
64;Corporations, households and NPISHs;1985;38650;11034;4611;1164;446;4023;1661;955;118;772;517;1325;277;8718;2025;181;3007;1382;457;410;;;38240;57807;24052;9169;2014;974;5348;2258;1238;208.0;1159;636;56;232;11633;3438;156.0;5309;1480;661.0;445;;;57420;9.0;-0.8;8.2;6.2;0.2;4.6;18.3;12.7;-17.1;15.4;-33.8;37.8;10.5;19.3;12.5;-30.7;11.4;30.1;16.7;40.6;;;8.7;66.9;45.9;50.3;57.8;45.8;75.2;73.6;77.2;56.6;66.6;81.3;2386.1;119.4;74.9;58.9;115.8;56.6;93.4;69.1;92.1;;;66.6
65;Corporations, households and NPISHs;1986;41743;11587;5394;1343;463;4360;2131;1118;79;589;443;1304;293;9290;2233;238;3308;1586;344;265;;;41478;62787;25271;10722;2332;996;5811;2900;1454;141.0;888;546;63;243;12404;3747;227.0;5805;1740;502.0;290;;;62635;8.6;5.1;16.9;15.8;2.2;8.7;28.4;17.5;-32.2;-23.3;-14.1;13.5;4.7;6.6;9.0;45.3;9.3;17.6;-24.1;-34.9;;;9.1;66.5;45.9;50.3;57.6;46.5;75.0;73.5;76.9;55.9;66.3;81.1;2068.8;120.7;74.9;59.6;104.8;57.0;91.1;68.5;91.4;;;66.2
66;Corporations, households and NPISHs;1987;43035;11720;6020;1548;569;4083;2000;1249;67;448;319;1365;301;9303;2236;229;3526;1824;311;470;;;42565;64140;25233;11773;2646;1213;5310;2664;1578;118.0;658;383;77;240;12185;3634;213.0;6200;2010;445.0;497;;;63707;2.2;-0.1;9.8;13.5;21.8;-8.6;-8.1;8.5;-16.5;-26.0;-29.8;22.9;-1.4;-1.8;-3.0;-6.3;6.8;15.5;-11.3;71.3;;;1.7;67.1;46.4;51.1;58.5;46.9;76.9;75.1;79.2;56.8;68.1;83.2;1761.6;125.7;76.3;61.5;107.6;56.9;90.7;69.9;94.6;;;66.8
67;Corporations, households and NPISHs;1988;45961;13312;6927;1752;678;3961;1863;1247;91;448;312;1558;309;8888;2423;364;3589;1844;356;352;;;45609;67471;28013;13175;2961;1424;4994;2359;1556;155.0;649;369;95;246;11513;3860;323.0;6276;2056;499.0;361;;;67244;5.2;11.0;11.9;11.9;17.4;-6.0;-11.5;-1.4;31.3;-1.3;-3.8;22.8;2.7;-5.5;6.2;52.0;1.2;2.3;12.2;-27.2;;;5.6;68.1;47.5;52.6;59.2;47.6;79.3;79.0;80.1;58.7;69.0;84.6;1637.6;125.7;77.2;62.8;112.6;57.2;89.7;71.3;97.4;;;67.8
68;Corporations, households and NPISHs;1989;49887;13515;7595;2020;607;5031;2150;1253;165;427;1036;1588;337;9572;2721;397;3634;2468;402;413;;;49474;72427;28211;14240;3300;1256;6140;2620;1531;281.0;592;1182;104;268;12160;4227;332.0;6365;2830;553.0;409;;;72154;7.3;0.7;8.1;11.5;-11.8;22.9;11.1;-1.6;81.3;-8.7;220.5;9.1;9.1;5.6;9.5;2.7;1.4;37.6;10.7;13.1;;;7.3;68.9;47.9;53.3;61.2;48.3;81.9;82.1;81.8;58.7;72.1;87.6;1529.7;125.7;78.7;64.4;119.5;57.1;87.2;72.7;101.0;;;68.6
69;Corporations, households and NPISHs;1990;51881;13568;8136;2122;706;5409;2354;1538;264;517;736;1739;337;9562;2860;368;3679;2880;515;583;;;51298;74240;27589;14878;3356;1424;6552;2822;1847;433.0;696;897;125;273;11932;4286;344.0;6353;3350;694.0;581;;;73722;2.5;-2.2;4.5;1.7;13.3;6.7;7.7;20.6;53.9;17.6;-24.1;20.5;1.8;-1.9;1.4;3.5;-0.2;18.4;25.6;42.1;;;2.2;69.9;49.2;54.7;63.2;49.6;82.6;83.4;83.3;61.0;74.2;82.0;1389.8;123.5;80.1;66.7;107.0;57.9;86.0;74.2;100.4;;;69.6
70;Corporations, households and NPISHs;1991;53069;13298;8766;2305;676;5892;2533;1687;259;480;933;1756;350;9571;2823;398;3579;3117;538;412;;;52657;74659;26487;15609;3511;1327;6913;2886;1991;408.0;626;1131;140;283;11759;4115;392.0;6043;3625;708.0;394;;;74413;0.6;-4.0;4.9;4.6;-6.8;5.5;2.3;7.8;-5.7;-10.1;26.1;12.0;3.9;-1.5;-4.0;13.9;-4.9;8.2;1.9;-32.2;;;0.9;71.1;50.2;56.2;65.7;50.9;85.2;87.8;84.7;63.4;76.6;82.5;1253.5;123.5;81.4;68.6;101.6;59.2;86.0;76.0;104.7;;;70.8
71;Corporations, households and NPISHs;1992;54389;14732;8207;2853;727;5545;2673;1529;275;547;521;1692;337;9670;2750;315;3672;3407;482;713;;;53676;75104;28311;14130;4274;1392;6347;2941;1743;435.0;706;647;158;273;11699;3915;303.0;5922;4071;624.0;661;;;74464;0.6;6.9;-9.5;21.7;4.9;-8.2;1.9;-12.4;6.6;12.7;-42.8;12.6;-3.7;-0.5;-4.9;-22.6;-2.0;12.3;-11.9;68.0;;;0.1;72.4;52.0;58.1;66.8;52.2;87.4;90.9;87.7;63.2;77.5;80.5;1072.3;123.5;82.7;70.2;103.9;62.0;83.7;77.3;107.9;;;72.1
72;Corporations, households and NPISHs;1993;54521;15369;7451;2844;733;5227;2439;1296;495;331;666;1679;326;10244;2882;309;3782;3265;410;737;;;53784;74295;28740;12508;4115;1379;5902;2635;1453;785.0;430;818;184;264;12272;4023;319.0;5943;3907;525.0;679;;;73624;-1.1;1.5;-11.5;-3.7;-1.0;-7.0;-10.4;-16.6;80.4;-39.1;26.3;16.4;-3.3;4.9;2.8;5.4;0.4;-4.0;-15.8;2.7;;;-1.1;73.4;53.5;59.6;69.1;53.2;88.6;92.6;89.2;63.1;77.0;81.5;913.9;123.5;83.5;71.6;96.7;63.6;83.6;78.1;108.6;;;73.1
73;Corporations, households and NPISHs;1994;55701;16686;7134;2663;717;5367;2481;1085;262;328;1211;1892;329;10177;2853;367;3992;3137;387;620;;;55081;75292;30479;11754;3791;1313;6079;2703;1218;414.0;417;1489;235;266;12119;3896;390.0;6122;3786;556.0;577;;;74777;1.3;6.1;-6.0;-7.9;-4.8;3.0;2.6;-16.2;-47.3;-3.0;82.1;27.7;0.9;-1.2;-3.2;22.0;3.0;-3.1;5.9;-14.9;;;1.6;74.0;54.7;60.7;70.2;54.6;88.3;91.8;89.1;63.3;78.7;81.3;806.5;123.5;84.0;73.2;94.2;65.2;82.9;69.6;107.4;;;73.7
74;Corporations, households and NPISHs;1995;58407;17194;7399;2688;814;6094;3037;1264;297;564;932;1831;349;10739;2902;392;4260;3288;457;227;;;58180;78155;30627;11846;3747;1474;6874;3311;1404;466.0;703;1145;272;283;12682;3892;434.0;6372;3991;635.0;217;;;78178;3.8;0.5;0.8;-1.2;12.3;13.1;22.5;15.3;12.6;68.6;-23.1;16.0;6.1;4.6;-0.1;11.4;4.1;5.4;14.2;-62.4;;;4.5;74.7;56.1;62.5;71.7;55.2;88.7;91.7;90.0;63.8;80.3;81.4;673.0;123.5;84.7;74.6;90.2;66.9;82.4;72.0;104.6;;;74.4
