ID;OutputPrices;SIC2008;Periods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3;WeightFactor_4
1903;Total sales;1031 Processing of potatoes;2014 June;101.9;-0.7;-1.8;2068
1904;Total sales;1031 Processing of potatoes;2014 July;101.0;-0.8;-0.7;2068
1905;Total sales;1031 Processing of potatoes;2014 August;101.0;0.0;-0.5;2068
1906;Total sales;1031 Processing of potatoes;2014 September;100.5;-0.5;-0.6;2068
1907;Total sales;1031 Processing of potatoes;2014 October;99.5;-0.9;-2.4;2068
1908;Total sales;1031 Processing of potatoes;2014 November;99.3;-0.2;-2.9;2068
1909;Total sales;1031 Processing of potatoes;2014 December;98.7;-0.7;-3.2;2068
1910;Total sales;1031 Processing of potatoes;2014;101.3;;-1.3;2068
1911;Total sales;1031 Processing of potatoes;2015 January;98.7;0.1;-4.1;2068
1912;Total sales;1031 Processing of potatoes;2015 February;98.9;0.2;-3.9;2068
1913;Total sales;1031 Processing of potatoes;2015 March;98.8;-0.1;-3.7;2068
1914;Total sales;1031 Processing of potatoes;2015 April;98.3;-0.6;-4.0;2068
1915;Total sales;1031 Processing of potatoes;2015 May;98.4;0.1;-4.1;2068
1916;Total sales;1031 Processing of potatoes;2015 June;98.7;0.2;-3.1;2068
1917;Total sales;1031 Processing of potatoes;2015 July;100.3;1.6;-0.8;2068
1918;Total sales;1031 Processing of potatoes;2015 August;100.6;0.3;-0.4;2068
1919;Total sales;1031 Processing of potatoes;2015 September;100.7;0.1;0.2;2068
1920;Total sales;1031 Processing of potatoes;2015 October;101.9;1.2;2.4;2068
1921;Total sales;1031 Processing of potatoes;2015 November;102.1;0.2;2.8;2068
1922;Total sales;1031 Processing of potatoes;2015 December;102.5;0.4;3.9;2068
1923;Total sales;1031 Processing of potatoes;2015;100.0;;-1.3;2068
1924;Total sales;1031 Processing of potatoes;2016 January;101.8;-0.7;3.0;2068
1925;Total sales;1031 Processing of potatoes;2016 February;101.5;-0.2;2.6;2068
1926;Total sales;1031 Processing of potatoes;2016 March;101.4;-0.1;2.6;2068
1927;Total sales;1031 Processing of potatoes;2016 April;101.6;0.1;3.3;2068
1928;Total sales;1031 Processing of potatoes;2016 May;101.7;0.2;3.4;2068
1929;Total sales;1031 Processing of potatoes;2016 June;102.1;0.4;3.5;2068
1930;Total sales;1031 Processing of potatoes;2016 July;101.8;-0.3;1.5;2068
1931;Total sales;1031 Processing of potatoes;2016 August;101.8;0.0;1.3;2068
1932;Total sales;1031 Processing of potatoes;2016 September;101.9;0.1;1.2;2068
1933;Total sales;1031 Processing of potatoes;2016 October;102.8;0.9;0.9;2068
1934;Total sales;1031 Processing of potatoes;2016 November;103.0;0.2;0.9;2068
1935;Total sales;1031 Processing of potatoes;2016 December;103.1;0.1;0.6;2068
1936;Total sales;1031 Processing of potatoes;2016;102.1;;2.1;2068
1937;Total sales;1031 Processing of potatoes;2017 January;105.4;2.3;3.6;2068
1938;Total sales;1031 Processing of potatoes;2017 February;105.4;0.0;3.8;2068
1939;Total sales;1031 Processing of potatoes;2017 March;105.4;-0.1;3.9;2068
1940;Total sales;1031 Processing of potatoes;2017 April;105.1;-0.3;3.5;2068
1941;Total sales;1031 Processing of potatoes;2017 May;105.5;0.4;3.7;2068
1942;Total sales;1031 Processing of potatoes;2017 June;105.4;-0.1;3.2;2068
1943;Total sales;1031 Processing of potatoes;2017 July;104.6;-0.8;2.7;2068
1944;Total sales;1031 Processing of potatoes;2017 August;104.1;-0.5;2.2;2068
1945;Total sales;1031 Processing of potatoes;2017 September;104.7;0.6;2.7;2068
1946;Total sales;1031 Processing of potatoes;2017 October;102.7;-1.8;-0.1;2068
1947;Total sales;1031 Processing of potatoes;2017 November;102.5;-0.2;-0.5;2068
1948;Total sales;1031 Processing of potatoes;2017 December;103.1;0.6;0.0;2068
1949;Total sales;1031 Processing of potatoes;2017;104.5;;2.4;2068
1950;Total sales;1031 Processing of potatoes;2018 January;102.7;-0.4;-2.6;2068
1951;Total sales;1031 Processing of potatoes;2018 February;102.7;0.0;-2.6;2068
1952;Total sales;1031 Processing of potatoes;2018 March;103.0;0.3;-2.2;2068
1953;Total sales;1031 Processing of potatoes;2018 April;103.6;0.5;-1.4;2068
1954;Total sales;1031 Processing of potatoes;2018 May;103.7;0.1;-1.7;2068
1955;Total sales;1031 Processing of potatoes;2018 June;103.7;0.0;-1.6;2068
1956;Total sales;1031 Processing of potatoes;2018 July;104.3;0.5;-0.3;2068
1957;Total sales;1031 Processing of potatoes;2018 August;104.4;0.1;0.3;2068
1958;Total sales;1031 Processing of potatoes;2018 September;104.7;0.3;0.0;2068
1959;Total sales;1031 Processing of potatoes;2018 October;109.8;4.9;6.9;2068
1960;Total sales;1031 Processing of potatoes;2018 November;109.7;-0.1;7.0;2068
1961;Total sales;1031 Processing of potatoes;2018 December;110.4;0.7;7.1;2068
1962;Total sales;1031 Processing of potatoes;2018;105.2;;0.7;2068
1963;Total sales;1031 Processing of potatoes;2019 January;114.1;3.3;11.1;2068
1964;Total sales;1031 Processing of potatoes;2019 February;113.8;-0.3;10.7;2068
1965;Total sales;1031 Processing of potatoes;2019 March;113.9;0.1;10.5;2068
1966;Total sales;1031 Processing of potatoes;2019 April;113.6;-0.3;9.6;2068
1967;Total sales;1031 Processing of potatoes;2019 May;113.7;0.1;9.6;2068
1968;Total sales;1031 Processing of potatoes;2019 June;113.5;-0.1;9.4;2068
1969;Total sales;1031 Processing of potatoes;2019 July;113.0;-0.5;8.3;2068
1970;Total sales;1031 Processing of potatoes;2019 August;112.8;-0.2;8.0;2068
1971;Total sales;1031 Processing of potatoes;2019 September;112.2;-0.5;7.2;2068
1972;Total sales;1031 Processing of potatoes;2019 October;111.2;-0.9;1.3;2068
1973;Total sales;1031 Processing of potatoes;2019 November;111.2;0.0;1.4;2068
1974;Total sales;1031 Processing of potatoes;2019 December;111.4;0.2;0.9;2068
1975;Total sales;1031 Processing of potatoes;2019;112.9;;7.2;2068
1976;Total sales;1031 Processing of potatoes;2020 January;108.7;-2.4;-4.7;2068
1977;Total sales;1031 Processing of potatoes;2020 February;108.5;-0.2;-4.6;2068
1978;Total sales;1031 Processing of potatoes;2020 March;108.2;-0.3;-5.0;2068
1979;Total sales;1031 Processing of potatoes;2020 April;109.1;0.8;-4.0;2068
1980;Total sales;1031 Processing of potatoes;2020 May;108.1;-0.9;-4.9;2068
1981;Total sales;1031 Processing of potatoes;2020 June;107.8;-0.3;-5.0;2068
1982;Total sales;1031 Processing of potatoes;2020 July;109.1;1.2;-3.4;2068
1983;Total sales;1031 Processing of potatoes;2020 August;108.5;-0.5;-3.8;2068
1984;Total sales;1031 Processing of potatoes;2020 September;108.8;0.2;-3.1;2068
1985;Total sales;1031 Processing of potatoes;2020 October;108.9;0.1;-2.1;2068
1986;Total sales;1031 Processing of potatoes;2020 November;108.0;-0.8;-2.9;2068
1987;Total sales;1031 Processing of potatoes;2020 December;107.8;-0.2;-3.3;2068
1988;Total sales;1031 Processing of potatoes;2020;108.5;;-3.9;2068
1989;Total sales;1031 Processing of potatoes;2021 January;107.8;0.0;-0.9;2068
1990;Total sales;1031 Processing of potatoes;2021 February;107.7;-0.1;-0.7;2068
1991;Total sales;1031 Processing of potatoes;2021 March;107.0;-0.7;-1.1;2068
1992;Total sales;1031 Processing of potatoes;2021 April;106.8;-0.1;-2.1;2068
1993;Total sales;1031 Processing of potatoes;2021 May;106.4;-0.4;-1.6;2068
1994;Total sales;1031 Processing of potatoes;2021 June;106.7;0.3;-1.0;2068
1995;Total sales;1031 Processing of potatoes;2021 July;107.0;0.3;-1.9;2068
1996;Total sales;1031 Processing of potatoes;2021 August;107.4;0.3;-1.0;2068
1997;Total sales;1031 Processing of potatoes;2021 September;107.3;-0.1;-1.4;2068
1998;Total sales;1031 Processing of potatoes;2021 October;108.7;1.3;-0.2;2068
1999;Total sales;1031 Processing of potatoes;2021 November;109.5;0.7;1.3;2068
2000;Total sales;1031 Processing of potatoes;2021 December;108.8;-0.6;1.0;2068
2001;Total sales;1031 Processing of potatoes;2021;107.6;;-0.8;2068
2002;Total sales;1031 Processing of potatoes;2022 January;119.8;10.1;11.2;2068
2003;Total sales;1031 Processing of potatoes;2022 February;119.8;-0.1;11.2;2068
2004;Total sales;1031 Processing of potatoes;2022 March;120.1;0.3;12.3;2068
2005;Total sales;1031 Processing of potatoes;2022 April;128.6;7.1;20.4;2068
2006;Total sales;1031 Processing of potatoes;2022 May;129.8;0.9;21.9;2068
2007;Total sales;1031 Processing of potatoes;2022 June;130.2;0.3;22.0;2068
2008;Total sales;1031 Processing of potatoes;2022 July;132.5;1.8;23.8;2068
2009;Total sales;1031 Processing of potatoes;2022 August;132.2;-0.2;23.1;2068
2010;Total sales;1031 Processing of potatoes;2022 September;132.9;0.5;23.9;2068
2011;Total sales;1031 Processing of potatoes;2022 October;140.6;5.8;29.3;2068
2012;Total sales;1031 Processing of potatoes;2022 November;142.8;1.6;30.4;2068
2013;Total sales;1031 Processing of potatoes;2022 December;143.3;0.4;31.6;2068
2014;Total sales;1031 Processing of potatoes;2022;131.0;;21.8;2068
2015;Total sales;1031 Processing of potatoes;2023 January;163.8;14.3;36.7;2068
2016;Total sales;1031 Processing of potatoes;2023 February;164.1;0.2;37.0;2068
2017;Total sales;1031 Processing of potatoes;2023 March;164.0;0.0;36.5;2068
2018;Total sales;1031 Processing of potatoes;2023 April;174.4;6.4;35.6;2068
2019;Total sales;1031 Processing of potatoes;2023 May;175.1;0.4;35.0;2068
2020;Total sales;1031 Processing of potatoes;2023 June;174.7;-0.3;34.2;2068
2021;Total sales;1031 Processing of potatoes;2023 July;173.4;-0.7;30.9;2068
2022;Total sales;1031 Processing of potatoes;2023 August;173.0;-0.3;30.8;2068
2023;Total sales;1031 Processing of potatoes;2023 September;173.3;0.2;30.4;2068
2024;Total sales;1031 Processing of potatoes;2023 October;175.3;1.2;24.7;2068
2025;Total sales;1031 Processing of potatoes;2023 November;175.6;0.2;23.0;2068
2026;Total sales;1031 Processing of potatoes;2023 December;175.4;-0.1;22.4;2068
2027;Total sales;1031 Processing of potatoes;2023;171.8;;31.1;2068
2028;Total sales;1032 Manufacture of fruit juice;2012 January;96.3;;;502
2029;Total sales;1032 Manufacture of fruit juice;2012 February;95.6;-0.8;;502
2030;Total sales;1032 Manufacture of fruit juice;2012 March;95.6;0.0;;502
2031;Total sales;1032 Manufacture of fruit juice;2012 April;95.7;0.2;;502
2032;Total sales;1032 Manufacture of fruit juice;2012 May;96.1;0.4;;502
2033;Total sales;1032 Manufacture of fruit juice;2012 June;95.9;-0.2;;502
2034;Total sales;1032 Manufacture of fruit juice;2012 July;96.6;0.6;;502
2035;Total sales;1032 Manufacture of fruit juice;2012 August;96.4;-0.2;;502
2036;Total sales;1032 Manufacture of fruit juice;2012 September;96.0;-0.4;;502
2037;Total sales;1032 Manufacture of fruit juice;2012 October;97.0;1.1;;502
2038;Total sales;1032 Manufacture of fruit juice;2012 November;97.1;0.0;;502
2039;Total sales;1032 Manufacture of fruit juice;2012 December;96.7;-0.4;;502
2040;Total sales;1032 Manufacture of fruit juice;2012;96.3;;;502
2041;Total sales;1032 Manufacture of fruit juice;2013 January;98.1;1.4;1.9;502
2042;Total sales;1032 Manufacture of fruit juice;2013 February;98.0;-0.1;2.5;502
2043;Total sales;1032 Manufacture of fruit juice;2013 March;98.1;0.1;2.6;502
2044;Total sales;1032 Manufacture of fruit juice;2013 April;97.7;-0.4;2.0;502
2045;Total sales;1032 Manufacture of fruit juice;2013 May;97.2;-0.4;1.2;502
2046;Total sales;1032 Manufacture of fruit juice;2013 June;97.2;0.0;1.3;502
2047;Total sales;1032 Manufacture of fruit juice;2013 July;;;;502
2048;Total sales;1032 Manufacture of fruit juice;2013 August;;;;502
2049;Total sales;1032 Manufacture of fruit juice;2013 September;;;;502
2050;Total sales;1032 Manufacture of fruit juice;2013 October;;;;502
2051;Total sales;1032 Manufacture of fruit juice;2013 November;;;;502
2052;Total sales;1032 Manufacture of fruit juice;2013 December;96.5;;-0.2;502
2053;Total sales;1032 Manufacture of fruit juice;2013;97.2;;1.0;502
2054;Total sales;1032 Manufacture of fruit juice;2014 January;96.9;0.4;-1.2;502
2055;Total sales;1032 Manufacture of fruit juice;2014 February;96.8;-0.1;-1.2;502
2056;Total sales;1032 Manufacture of fruit juice;2014 March;96.9;0.1;-1.2;502
2057;Total sales;1032 Manufacture of fruit juice;2014 April;96.8;-0.1;-0.9;502
2058;Total sales;1032 Manufacture of fruit juice;2014 May;96.8;0.1;-0.4;502
2059;Total sales;1032 Manufacture of fruit juice;2014 June;96.8;0.0;-0.4;502
2060;Total sales;1032 Manufacture of fruit juice;2014 July;96.4;-0.4;;502
2061;Total sales;1032 Manufacture of fruit juice;2014 August;96.4;-0.1;;502
2062;Total sales;1032 Manufacture of fruit juice;2014 September;96.4;0.0;;502
2063;Total sales;1032 Manufacture of fruit juice;2014 October;96.4;0.0;;502
2064;Total sales;1032 Manufacture of fruit juice;2014 November;96.5;0.1;;502
2065;Total sales;1032 Manufacture of fruit juice;2014 December;96.5;-0.1;0.0;502
2066;Total sales;1032 Manufacture of fruit juice;2014;96.6;;-0.5;502
2067;Total sales;1032 Manufacture of fruit juice;2015 January;95.6;-0.9;-1.3;502
2068;Total sales;1032 Manufacture of fruit juice;2015 February;95.3;-0.3;-1.5;502
2069;Total sales;1032 Manufacture of fruit juice;2015 March;96.2;0.9;-0.8;502
2070;Total sales;1032 Manufacture of fruit juice;2015 April;;;;502
2071;Total sales;1032 Manufacture of fruit juice;2015 May;;;;502
2072;Total sales;1032 Manufacture of fruit juice;2015 June;;;;502
2073;Total sales;1032 Manufacture of fruit juice;2015 July;;;;502
2074;Total sales;1032 Manufacture of fruit juice;2015 August;;;;502
2075;Total sales;1032 Manufacture of fruit juice;2015 September;;;;502
2076;Total sales;1032 Manufacture of fruit juice;2015 October;;;;502
2077;Total sales;1032 Manufacture of fruit juice;2015 November;;;;502
2078;Total sales;1032 Manufacture of fruit juice;2015 December;;;;502
2079;Total sales;1032 Manufacture of fruit juice;2015;100.0;;3.5;502
2080;Total sales;1032 Manufacture of fruit juice;2016 January;;;;502
2081;Total sales;1032 Manufacture of fruit juice;2016 February;;;;502
2082;Total sales;1032 Manufacture of fruit juice;2016 March;;;;502
2083;Total sales;1032 Manufacture of fruit juice;2016 April;;;;502
2084;Total sales;1032 Manufacture of fruit juice;2016 May;;;;502
2085;Total sales;1032 Manufacture of fruit juice;2016 June;;;;502
2086;Total sales;1032 Manufacture of fruit juice;2016 July;;;;502
2087;Total sales;1032 Manufacture of fruit juice;2016 August;;;;502
2088;Total sales;1032 Manufacture of fruit juice;2016 September;;;;502
2089;Total sales;1032 Manufacture of fruit juice;2016 October;;;;502
2090;Total sales;1032 Manufacture of fruit juice;2016 November;;;;502
2091;Total sales;1032 Manufacture of fruit juice;2016 December;;;;502
2092;Total sales;1032 Manufacture of fruit juice;2016;108.9;;8.9;502
2093;Total sales;1032 Manufacture of fruit juice;2017 January;;;;502
2094;Total sales;1032 Manufacture of fruit juice;2017 February;;;;502
2095;Total sales;1032 Manufacture of fruit juice;2017 March;;;;502
2096;Total sales;1032 Manufacture of fruit juice;2017 April;;;;502
2097;Total sales;1032 Manufacture of fruit juice;2017 May;;;;502
2098;Total sales;1032 Manufacture of fruit juice;2017 June;;;;502
2099;Total sales;1032 Manufacture of fruit juice;2017 July;;;;502
2100;Total sales;1032 Manufacture of fruit juice;2017 August;;;;502
2101;Total sales;1032 Manufacture of fruit juice;2017 September;;;;502
2102;Total sales;1032 Manufacture of fruit juice;2017 October;;;;502
2103;Total sales;1032 Manufacture of fruit juice;2017 November;;;;502
2104;Total sales;1032 Manufacture of fruit juice;2017 December;;;;502
2105;Total sales;1032 Manufacture of fruit juice;2017;106.3;;-2.4;502
2106;Total sales;1032 Manufacture of fruit juice;2018 January;;;;502
2107;Total sales;1032 Manufacture of fruit juice;2018 February;;;;502
2108;Total sales;1032 Manufacture of fruit juice;2018 March;;;;502
2109;Total sales;1032 Manufacture of fruit juice;2018 April;;;;502
2110;Total sales;1032 Manufacture of fruit juice;2018 May;;;;502
2111;Total sales;1032 Manufacture of fruit juice;2018 June;;;;502
2112;Total sales;1032 Manufacture of fruit juice;2018 July;;;;502
2113;Total sales;1032 Manufacture of fruit juice;2018 August;;;;502
2114;Total sales;1032 Manufacture of fruit juice;2018 September;;;;502
2115;Total sales;1032 Manufacture of fruit juice;2018 October;;;;502
2116;Total sales;1032 Manufacture of fruit juice;2018 November;;;;502
2117;Total sales;1032 Manufacture of fruit juice;2018 December;100.9;;-0.1;502
2118;Total sales;1032 Manufacture of fruit juice;2018;101.5;;-4.4;502
2119;Total sales;1032 Manufacture of fruit juice;2019 January;97.8;-3.1;;502
2120;Total sales;1032 Manufacture of fruit juice;2019 February;97.9;0.1;;502
2121;Total sales;1032 Manufacture of fruit juice;2019 March;97.8;-0.1;;502
2122;Total sales;1032 Manufacture of fruit juice;2019 April;99.0;1.2;;502
2123;Total sales;1032 Manufacture of fruit juice;2019 May;99.0;0.0;;502
2124;Total sales;1032 Manufacture of fruit juice;2019 June;99.0;0.1;;502
2125;Total sales;1032 Manufacture of fruit juice;2019 July;98.3;-0.7;;502
2126;Total sales;1032 Manufacture of fruit juice;2019 August;98.3;0.0;;502
2127;Total sales;1032 Manufacture of fruit juice;2019 September;;;;502
2128;Total sales;1032 Manufacture of fruit juice;2019 October;;;;502
2129;Total sales;1032 Manufacture of fruit juice;2019 November;;;;502
2130;Total sales;1032 Manufacture of fruit juice;2019 December;;;;502
2131;Total sales;1032 Manufacture of fruit juice;2019;98.4;;-3.1;502
2132;Total sales;1032 Manufacture of fruit juice;2020 January;100.5;;2.8;502
2133;Total sales;1032 Manufacture of fruit juice;2020 February;100.5;0.0;2.7;502
2134;Total sales;1032 Manufacture of fruit juice;2020 March;100.6;0.1;2.9;502
2135;Total sales;1032 Manufacture of fruit juice;2020 April;100.8;0.2;1.8;502
2136;Total sales;1032 Manufacture of fruit juice;2020 May;101.3;0.5;2.3;502
2137;Total sales;1032 Manufacture of fruit juice;2020 June;101.8;0.5;2.8;502
2138;Total sales;1032 Manufacture of fruit juice;2020 July;;;;502
2139;Total sales;1032 Manufacture of fruit juice;2020 August;;;;502
2140;Total sales;1032 Manufacture of fruit juice;2020 September;;;;502
2141;Total sales;1032 Manufacture of fruit juice;2020 October;103.4;;;502
2142;Total sales;1032 Manufacture of fruit juice;2020 November;103.8;0.4;;502
2143;Total sales;1032 Manufacture of fruit juice;2020 December;103.4;-0.4;;502
2144;Total sales;1032 Manufacture of fruit juice;2020;102.0;;3.6;502
2145;Total sales;1032 Manufacture of fruit juice;2021 January;101.0;-2.3;0.5;502
2146;Total sales;1032 Manufacture of fruit juice;2021 February;100.8;-0.2;0.3;502
2147;Total sales;1032 Manufacture of fruit juice;2021 March;101.1;0.3;0.5;502
2148;Total sales;1032 Manufacture of fruit juice;2021 April;102.0;0.9;1.2;502
2149;Total sales;1032 Manufacture of fruit juice;2021 May;102.5;0.5;1.2;502
2150;Total sales;1032 Manufacture of fruit juice;2021 June;102.9;0.4;1.0;502
2151;Total sales;1032 Manufacture of fruit juice;2021 July;104.9;1.9;;502
2152;Total sales;1032 Manufacture of fruit juice;2021 August;105.5;0.6;;502
2153;Total sales;1032 Manufacture of fruit juice;2021 September;105.0;-0.4;;502
2154;Total sales;1032 Manufacture of fruit juice;2021 October;105.8;0.8;2.4;502
2155;Total sales;1032 Manufacture of fruit juice;2021 November;105.7;-0.1;1.9;502
2156;Total sales;1032 Manufacture of fruit juice;2021 December;105.2;-0.5;1.7;502
2157;Total sales;1032 Manufacture of fruit juice;2021;103.5;;1.5;502
2158;Total sales;1032 Manufacture of fruit juice;2022 January;108.3;3.0;7.2;502
2159;Total sales;1032 Manufacture of fruit juice;2022 February;108.2;-0.1;7.3;502
2160;Total sales;1032 Manufacture of fruit juice;2022 March;108.6;0.3;7.3;502
2161;Total sales;1032 Manufacture of fruit juice;2022 April;111.3;2.5;9.1;502
2162;Total sales;1032 Manufacture of fruit juice;2022 May;112.5;1.1;9.7;502
2163;Total sales;1032 Manufacture of fruit juice;2022 June;112.4;0.0;9.3;502
2164;Total sales;1032 Manufacture of fruit juice;2022 July;116.3;3.4;10.8;502
2165;Total sales;1032 Manufacture of fruit juice;2022 August;116.8;0.5;10.7;502
2166;Total sales;1032 Manufacture of fruit juice;2022 September;116.8;0.0;11.2;502
2167;Total sales;1032 Manufacture of fruit juice;2022 October;128.2;9.8;21.1;502
2168;Total sales;1032 Manufacture of fruit juice;2022 November;128.0;-0.1;21.1;502
2169;Total sales;1032 Manufacture of fruit juice;2022 December;127.9;-0.1;21.6;502
2170;Total sales;1032 Manufacture of fruit juice;2022;116.3;;12.3;502
2171;Total sales;1032 Manufacture of fruit juice;2023 January;142.8;11.6;31.9;502
2172;Total sales;1032 Manufacture of fruit juice;2023 February;143.4;0.4;32.5;502
2173;Total sales;1032 Manufacture of fruit juice;2023 March;143.0;-0.2;31.8;502
2174;Total sales;1032 Manufacture of fruit juice;2023 April;;;;502
2175;Total sales;1032 Manufacture of fruit juice;2023 May;;;;502
2176;Total sales;1032 Manufacture of fruit juice;2023 June;;;;502
2177;Total sales;1032 Manufacture of fruit juice;2023 July;132.1;;13.6;502
2178;Total sales;1032 Manufacture of fruit juice;2023 August;131.0;-0.8;12.1;502
2179;Total sales;1032 Manufacture of fruit juice;2023 September;131.0;0.0;12.2;502
2180;Total sales;1032 Manufacture of fruit juice;2023 October;135.3;3.3;5.5;502
2181;Total sales;1032 Manufacture of fruit juice;2023 November;135.6;0.2;5.9;502
2182;Total sales;1032 Manufacture of fruit juice;2023 December;134.9;-0.5;5.4;502
2183;Total sales;1032 Manufacture of fruit juice;2023;;;;502
2184;Total sales;1039 Other processing vegetables, fruit;2012 January;97.3;;;1729
2185;Total sales;1039 Other processing vegetables, fruit;2012 February;97.6;0.3;;1729
2186;Total sales;1039 Other processing vegetables, fruit;2012 March;97.8;0.2;;1729
2187;Total sales;1039 Other processing vegetables, fruit;2012 April;98.3;0.4;;1729
2188;Total sales;1039 Other processing vegetables, fruit;2012 May;98.2;-0.1;;1729
2189;Total sales;1039 Other processing vegetables, fruit;2012 June;98.1;-0.1;;1729
2190;Total sales;1039 Other processing vegetables, fruit;2012 July;98.8;0.7;;1729
2191;Total sales;1039 Other processing vegetables, fruit;2012 August;98.9;0.1;;1729
2192;Total sales;1039 Other processing vegetables, fruit;2012 September;100.0;1.2;;1729
2193;Total sales;1039 Other processing vegetables, fruit;2012 October;99.5;-0.5;;1729
2194;Total sales;1039 Other processing vegetables, fruit;2012 November;100.2;0.7;;1729
2195;Total sales;1039 Other processing vegetables, fruit;2012 December;99.5;-0.6;;1729
2196;Total sales;1039 Other processing vegetables, fruit;2012;98.7;;;1729
2197;Total sales;1039 Other processing vegetables, fruit;2013 January;99.4;-0.1;2.2;1729
2198;Total sales;1039 Other processing vegetables, fruit;2013 February;99.3;-0.2;1.7;1729
2199;Total sales;1039 Other processing vegetables, fruit;2013 March;99.4;0.2;1.6;1729
2200;Total sales;1039 Other processing vegetables, fruit;2013 April;99.3;-0.1;1.1;1729
2201;Total sales;1039 Other processing vegetables, fruit;2013 May;99.0;-0.3;0.8;1729
2202;Total sales;1039 Other processing vegetables, fruit;2013 June;98.8;-0.2;0.7;1729
2203;Total sales;1039 Other processing vegetables, fruit;2013 July;98.1;-0.7;-0.7;1729
2204;Total sales;1039 Other processing vegetables, fruit;2013 August;97.5;-0.6;-1.4;1729
2205;Total sales;1039 Other processing vegetables, fruit;2013 September;97.5;0.0;-2.5;1729
2206;Total sales;1039 Other processing vegetables, fruit;2013 October;98.2;0.7;-1.3;1729
2207;Total sales;1039 Other processing vegetables, fruit;2013 November;99.7;1.6;-0.4;1729
2208;Total sales;1039 Other processing vegetables, fruit;2013 December;99.6;-0.2;0.1;1729
2209;Total sales;1039 Other processing vegetables, fruit;2013;98.8;;0.1;1729
2210;Total sales;1039 Other processing vegetables, fruit;2014 January;99.8;0.2;0.4;1729
2211;Total sales;1039 Other processing vegetables, fruit;2014 February;99.7;-0.1;0.4;1729
2212;Total sales;1039 Other processing vegetables, fruit;2014 March;99.7;0.0;0.2;1729
2213;Total sales;1039 Other processing vegetables, fruit;2014 April;99.6;-0.1;0.2;1729
2214;Total sales;1039 Other processing vegetables, fruit;2014 May;98.2;-1.4;-0.8;1729
2215;Total sales;1039 Other processing vegetables, fruit;2014 June;98.4;0.2;-0.4;1729
2216;Total sales;1039 Other processing vegetables, fruit;2014 July;98.0;-0.4;-0.1;1729
2217;Total sales;1039 Other processing vegetables, fruit;2014 August;98.1;0.1;0.7;1729
2218;Total sales;1039 Other processing vegetables, fruit;2014 September;98.2;0.2;0.8;1729
2219;Total sales;1039 Other processing vegetables, fruit;2014 October;97.6;-0.7;-0.6;1729
2220;Total sales;1039 Other processing vegetables, fruit;2014 November;99.2;1.7;-0.5;1729
2221;Total sales;1039 Other processing vegetables, fruit;2014 December;99.2;0.0;-0.4;1729
2222;Total sales;1039 Other processing vegetables, fruit;2014;98.8;;0.0;1729
2223;Total sales;1039 Other processing vegetables, fruit;2015 January;100.4;1.2;0.6;1729
2224;Total sales;1039 Other processing vegetables, fruit;2015 February;100.4;0.0;0.7;1729
2225;Total sales;1039 Other processing vegetables, fruit;2015 March;100.8;0.4;1.2;1729
2226;Total sales;1039 Other processing vegetables, fruit;2015 April;100.7;-0.1;1.1;1729
2227;Total sales;1039 Other processing vegetables, fruit;2015 May;99.5;-1.1;1.4;1729
2228;Total sales;1039 Other processing vegetables, fruit;2015 June;99.7;0.1;1.3;1729
2229;Total sales;1039 Other processing vegetables, fruit;2015 July;99.1;-0.6;1.1;1729
2230;Total sales;1039 Other processing vegetables, fruit;2015 August;99.0;-0.1;0.9;1729
2231;Total sales;1039 Other processing vegetables, fruit;2015 September;98.7;-0.3;0.4;1729
2232;Total sales;1039 Other processing vegetables, fruit;2015 October;99.6;1.0;2.1;1729
2233;Total sales;1039 Other processing vegetables, fruit;2015 November;101.0;1.4;1.8;1729
2234;Total sales;1039 Other processing vegetables, fruit;2015 December;101.2;0.2;2.0;1729
2235;Total sales;1039 Other processing vegetables, fruit;2015;100.0;;1.2;1729
2236;Total sales;1039 Other processing vegetables, fruit;2016 January;100.4;-0.7;0.1;1729
2237;Total sales;1039 Other processing vegetables, fruit;2016 February;100.4;-0.1;0.0;1729
2238;Total sales;1039 Other processing vegetables, fruit;2016 March;100.3;-0.1;-0.5;1729
2239;Total sales;1039 Other processing vegetables, fruit;2016 April;100.0;-0.2;-0.6;1729
2240;Total sales;1039 Other processing vegetables, fruit;2016 May;99.4;-0.7;-0.2;1729
2241;Total sales;1039 Other processing vegetables, fruit;2016 June;100.3;0.9;0.6;1729
2242;Total sales;1039 Other processing vegetables, fruit;2016 July;100.1;-0.1;1.1;1729
2243;Total sales;1039 Other processing vegetables, fruit;2016 August;99.8;-0.4;0.8;1729
2244;Total sales;1039 Other processing vegetables, fruit;2016 September;99.8;0.0;1.1;1729
2245;Total sales;1039 Other processing vegetables, fruit;2016 October;100.7;0.9;1.1;1729
2246;Total sales;1039 Other processing vegetables, fruit;2016 November;100.8;0.1;-0.1;1729
2247;Total sales;1039 Other processing vegetables, fruit;2016 December;101.0;0.1;-0.2;1729
2248;Total sales;1039 Other processing vegetables, fruit;2016;100.2;;0.2;1729
2249;Total sales;1039 Other processing vegetables, fruit;2017 January;102.1;1.1;1.6;1729
2250;Total sales;1039 Other processing vegetables, fruit;2017 February;101.5;-0.6;1.1;1729
2251;Total sales;1039 Other processing vegetables, fruit;2017 March;101.5;0.0;1.3;1729
