ID;ConsumptionByHouseholds;Periods;Indices_1;VolumeChanges_2;VolumeChangesShoppingdayAdjusted_3;Indices_4;ValueChanges_5;PriceChanges_6
889;Foodproducts, beverages and tabacco;2000 December;94.1;1.3;3.4;62.6;4.2;2.9
890;Foodproducts, beverages and tabacco;2000 4th quarter;82.8;0.8;2.4;55.0;3.6;2.8
891;Foodproducts, beverages and tabacco;2001 January;72.9;6.0;5.5;48.3;9.2;3.0
892;Foodproducts, beverages and tabacco;2001 February;71.3;1.1;3.9;48.0;5.5;4.4
893;Foodproducts, beverages and tabacco;2001 March;82.1;5.1;3.6;56.2;11.0;5.6
894;Foodproducts, beverages and tabacco;2001 1st quarter;75.4;4.1;4.3;50.9;8.7;4.4
895;Foodproducts, beverages and tabacco;2001 April;77.9;-4.7;-2.5;52.2;2.3;7.4
896;Foodproducts, beverages and tabacco;2001 May;82.0;2.5;0.7;55.2;10.0;7.4
897;Foodproducts, beverages and tabacco;2001 June;84.1;0.6;0.0;56.1;7.6;7.0
898;Foodproducts, beverages and tabacco;2001 2nd quarter;81.3;-0.6;-0.6;54.5;6.6;7.3
899;Foodproducts, beverages and tabacco;2001 July;78.4;-1.4;0.7;51.5;5.2;6.7
900;Foodproducts, beverages and tabacco;2001 August;83.9;3.5;0.5;54.8;10.5;6.7
901;Foodproducts, beverages and tabacco;2001 September;78.6;-4.9;-0.2;52.2;1.8;7.0
902;Foodproducts, beverages and tabacco;2001 3rd quarter;80.3;-0.9;0.4;52.9;5.8;6.8
903;Foodproducts, beverages and tabacco;2001 October;77.8;3.9;1.2;54.8;10.4;6.2
904;Foodproducts, beverages and tabacco;2001 November;82.8;4.2;1.9;57.7;9.3;4.9
905;Foodproducts, beverages and tabacco;2001 December;92.9;-1.3;1.8;64.9;3.7;5.1
906;Foodproducts, beverages and tabacco;2001 4th quarter;84.5;2.0;1.7;59.1;7.5;5.4
907;Foodproducts, beverages and tabacco;2002 January;74.4;2.0;0.3;52.1;7.7;5.5
908;Foodproducts, beverages and tabacco;2002 February;71.7;0.6;0.6;50.6;5.3;4.7
909;Foodproducts, beverages and tabacco;2002 March;82.2;0.1;1.3;58.4;3.8;3.7
910;Foodproducts, beverages and tabacco;2002 1st quarter;76.1;0.9;0.7;53.7;5.5;4.6
911;Foodproducts, beverages and tabacco;2002 April;78.4;0.7;1.0;54.1;3.7;3.0
912;Foodproducts, beverages and tabacco;2002 May;85.9;4.7;1.7;59.5;7.8;2.9
913;Foodproducts, beverages and tabacco;2002 June;80.0;-4.9;-0.2;55.0;-2.0;3.1
914;Foodproducts, beverages and tabacco;2002 2nd quarter;81.4;0.1;0.8;56.2;3.1;3.0
915;Foodproducts, beverages and tabacco;2002 July;80.4;2.5;-0.2;54.5;5.7;3.1
916;Foodproducts, beverages and tabacco;2002 August;85.9;2.4;1.0;57.8;5.5;3.0
917;Foodproducts, beverages and tabacco;2002 September;77.2;-1.9;0.4;52.9;1.3;3.2
918;Foodproducts, beverages and tabacco;2002 3rd quarter;81.1;1.0;0.4;55.1;4.2;3.1
919;Foodproducts, beverages and tabacco;2002 October;79.2;1.9;0.1;57.0;4.0;2.1
920;Foodproducts, beverages and tabacco;2002 November;82.2;-0.7;-1.3;58.5;1.4;2.1
921;Foodproducts, beverages and tabacco;2002 December;88.9;-4.2;-2.2;63.6;-1.9;2.4
922;Foodproducts, beverages and tabacco;2002 4th quarter;83.5;-1.2;-1.2;59.7;1.0;2.2
923;Foodproducts, beverages and tabacco;2003 January;78.9;6.1;3.0;55.3;6.3;0.2
924;Foodproducts, beverages and tabacco;2003 February;73.8;2.9;2.9;52.2;3.1;0.2
925;Foodproducts, beverages and tabacco;2003 March;79.9;-2.8;2.7;57.3;-1.9;1.0
926;Foodproducts, beverages and tabacco;2003 1st quarter;77.5;1.9;2.8;54.9;2.3;0.5
927;Foodproducts, beverages and tabacco;2003 April;80.0;2.1;-1.1;56.4;4.1;2.0
928;Foodproducts, beverages and tabacco;2003 May;86.8;1.1;-0.3;61.0;2.6;1.5
929;Foodproducts, beverages and tabacco;2003 June;78.0;-2.5;-0.2;54.8;-0.4;2.2
930;Foodproducts, beverages and tabacco;2003 2nd quarter;81.6;0.2;-0.5;57.4;2.1;1.9
931;Foodproducts, beverages and tabacco;2003 July;82.0;2.0;0.2;56.7;4.1;2.0
932;Foodproducts, beverages and tabacco;2003 August;82.7;-3.7;-0.3;56.9;-1.6;2.2
933;Foodproducts, beverages and tabacco;2003 September;78.0;1.1;-0.8;54.6;3.2;2.0
934;Foodproducts, beverages and tabacco;2003 3rd quarter;80.9;-0.3;-0.3;56.1;1.8;2.1
935;Foodproducts, beverages and tabacco;2003 October;81.4;2.8;-0.2;59.6;4.6;1.8
936;Foodproducts, beverages and tabacco;2003 November;77.6;-5.6;-0.9;56.0;-4.4;1.3
937;Foodproducts, beverages and tabacco;2003 December;91.2;2.6;-0.1;65.2;2.5;-0.1
938;Foodproducts, beverages and tabacco;2003 4th quarter;83.4;-0.1;-0.4;60.3;0.9;1.0
939;Foodproducts, beverages and tabacco;2004 January;80.5;2.0;0.6;57.4;3.7;1.7
940;Foodproducts, beverages and tabacco;2004 February;73.3;-0.6;-1.5;52.4;0.4;1.0
941;Foodproducts, beverages and tabacco;2004 March;80.2;0.3;-0.2;57.9;1.0;0.6
942;Foodproducts, beverages and tabacco;2004 1st quarter;78.0;0.6;-0.3;55.9;1.7;1.1
943;Foodproducts, beverages and tabacco;2004 April;82.7;3.4;-0.4;58.7;4.1;0.7
944;Foodproducts, beverages and tabacco;2004 May;81.1;-6.6;-0.3;57.3;-6.2;0.5
945;Foodproducts, beverages and tabacco;2004 June;80.9;3.8;0.9;57.0;4.1;0.3
946;Foodproducts, beverages and tabacco;2004 2nd quarter;81.6;0.0;0.1;57.7;0.5;0.5
947;Foodproducts, beverages and tabacco;2004 July;85.7;4.6;0.2;59.2;4.4;-0.2
948;Foodproducts, beverages and tabacco;2004 August;77.4;-6.4;-1.3;52.9;-7.1;-0.8
949;Foodproducts, beverages and tabacco;2004 September;79.9;2.4;-0.1;55.0;0.8;-1.5
950;Foodproducts, beverages and tabacco;2004 3rd quarter;81.0;0.1;-0.4;55.7;-0.6;-0.8
951;Foodproducts, beverages and tabacco;2004 October;79.5;-2.4;-0.3;57.3;-4.0;-1.6
952;Foodproducts, beverages and tabacco;2004 November;76.8;-1.1;-0.7;54.9;-1.9;-0.8
953;Foodproducts, beverages and tabacco;2004 December;96.6;5.9;1.1;69.1;6.0;0.1
954;Foodproducts, beverages and tabacco;2004 4th quarter;84.3;1.1;0.1;60.4;0.3;-0.8
955;Foodproducts, beverages and tabacco;2005 January;74.4;-7.5;-1.3;52.4;-8.8;-1.3
956;Foodproducts, beverages and tabacco;2005 February;72.8;-0.6;0.2;51.8;-1.1;-0.5
957;Foodproducts, beverages and tabacco;2005 March;84.6;5.5;1.4;60.7;4.9;-0.6
958;Foodproducts, beverages and tabacco;2005 1st quarter;77.3;-0.9;0.1;54.9;-1.7;-0.8
959;Foodproducts, beverages and tabacco;2005 April;81.0;-2.1;-0.4;56.5;-3.7;-1.6
960;Foodproducts, beverages and tabacco;2005 May;79.0;-2.6;-0.5;55.2;-3.6;-1.0
961;Foodproducts, beverages and tabacco;2005 June;83.3;2.9;1.3;58.2;2.0;-0.8
962;Foodproducts, beverages and tabacco;2005 2nd quarter;81.1;-0.6;0.1;56.7;-1.8;-1.2
963;Foodproducts, beverages and tabacco;2005 July;83.3;-2.8;0.6;57.1;-3.5;-0.8
964;Foodproducts, beverages and tabacco;2005 August;79.3;2.4;-0.3;54.2;2.4;0.0
965;Foodproducts, beverages and tabacco;2005 September;83.4;4.4;2.1;57.0;3.6;-0.7
966;Foodproducts, beverages and tabacco;2005 3rd quarter;82.0;1.2;0.8;56.1;0.7;-0.5
967;Foodproducts, beverages and tabacco;2005 October;78.0;-1.9;1.2;56.2;-1.8;0.1
968;Foodproducts, beverages and tabacco;2005 November;78.4;2.0;1.1;56.6;3.0;1.0
969;Foodproducts, beverages and tabacco;2005 December;96.6;0.0;-1.4;70.0;1.3;1.3
970;Foodproducts, beverages and tabacco;2005 4th quarter;84.3;0.0;0.2;60.9;0.8;0.8
971;Foodproducts, beverages and tabacco;2006 January;76.2;2.4;4.6;54.5;4.1;1.7
972;Foodproducts, beverages and tabacco;2006 February;74.7;2.5;2.5;53.7;3.8;1.2
973;Foodproducts, beverages and tabacco;2006 March;87.0;2.9;2.2;62.9;3.7;0.8
974;Foodproducts, beverages and tabacco;2006 1st quarter;79.3;2.6;3.1;57.1;3.8;1.2
975;Foodproducts, beverages and tabacco;2006 April;82.5;1.9;4.5;58.5;3.6;1.7
976;Foodproducts, beverages and tabacco;2006 May;84.2;6.6;3.9;59.7;8.1;1.4
977;Foodproducts, beverages and tabacco;2006 June;88.2;5.9;3.5;62.6;7.6;1.6
978;Foodproducts, beverages and tabacco;2006 2nd quarter;85.0;4.8;4.0;60.3;6.4;1.6
979;Foodproducts, beverages and tabacco;2006 July;82.9;-0.6;2.6;57.7;1.1;1.7
980;Foodproducts, beverages and tabacco;2006 August;82.7;4.3;2.5;57.8;6.7;2.3
981;Foodproducts, beverages and tabacco;2006 September;85.9;3.0;2.4;60.4;5.9;2.8
982;Foodproducts, beverages and tabacco;2006 3rd quarter;83.8;2.2;2.5;58.6;4.5;2.2
983;Foodproducts, beverages and tabacco;2006 October;78.1;0.2;2.3;57.6;2.3;2.1
984;Foodproducts, beverages and tabacco;2006 November;80.6;2.9;1.4;59.6;5.3;2.3
985;Foodproducts, beverages and tabacco;2006 December;95.0;-1.7;1.7;70.3;0.4;2.1
986;Foodproducts, beverages and tabacco;2006 4th quarter;84.6;0.3;1.8;62.5;2.5;2.2
987;Foodproducts, beverages and tabacco;2007 January;78.1;2.5;-0.1;57.1;4.8;2.2
988;Foodproducts, beverages and tabacco;2007 February;75.8;1.6;1.6;55.8;3.8;2.3
989;Foodproducts, beverages and tabacco;2007 March;90.2;3.6;1.9;66.4;5.6;1.9
990;Foodproducts, beverages and tabacco;2007 1st quarter;81.4;2.6;1.1;59.8;4.8;2.1
991;Foodproducts, beverages and tabacco;2007 April;81.8;-0.9;1.7;58.9;0.7;1.5
992;Foodproducts, beverages and tabacco;2007 May;87.5;3.9;2.1;62.7;5.0;1.1
993;Foodproducts, beverages and tabacco;2007 June;90.3;2.4;1.8;64.6;3.2;0.8
994;Foodproducts, beverages and tabacco;2007 2nd quarter;86.5;1.8;1.9;62.1;3.0;1.1
995;Foodproducts, beverages and tabacco;2007 July;81.6;-1.5;0.5;57.7;0.0;1.6
996;Foodproducts, beverages and tabacco;2007 August;86.8;5.0;1.9;61.3;6.1;1.0
997;Foodproducts, beverages and tabacco;2007 September;83.4;-2.9;2.0;59.4;-1.6;1.4
998;Foodproducts, beverages and tabacco;2007 3rd quarter;83.9;0.1;1.5;59.5;1.5;1.3
999;Foodproducts, beverages and tabacco;2007 October;82.0;5.0;2.2;61.6;6.9;1.9
1000;Foodproducts, beverages and tabacco;2007 November;84.3;4.5;2.2;64.0;7.5;2.9
1001;Foodproducts, beverages and tabacco;2007 December;96.6;1.7;5.0;73.7;4.9;3.1
1002;Foodproducts, beverages and tabacco;2007 4th quarter;87.6;3.6;3.2;66.4;6.3;2.6
1003;Foodproducts, beverages and tabacco;2008 January;79.5;1.8;0.1;60.4;5.7;3.8
1004;Foodproducts, beverages and tabacco;2008 February;82.5;8.8;2.7;63.1;13.0;3.9
1005;Foodproducts, beverages and tabacco;2008 March;87.0;-3.6;0.9;67.1;0.9;4.7
1006;Foodproducts, beverages and tabacco;2008 1st quarter;83.0;2.0;1.2;63.5;6.2;4.1
1007;Foodproducts, beverages and tabacco;2008 April;82.8;1.3;0.5;62.8;6.5;5.2
1008;Foodproducts, beverages and tabacco;2008 May;92.3;5.5;1.1;70.1;11.9;6.0
1009;Foodproducts, beverages and tabacco;2008 June;83.1;-7.9;-1.1;63.1;-2.4;6.0
1010;Foodproducts, beverages and tabacco;2008 2nd quarter;86.1;-0.5;0.1;65.3;5.2;5.7
1011;Foodproducts, beverages and tabacco;2008 July;84.5;3.6;-0.8;63.6;10.2;6.4
1012;Foodproducts, beverages and tabacco;2008 August;84.9;-2.2;-0.2;63.9;4.3;6.7
1013;Foodproducts, beverages and tabacco;2008 September;81.7;-2.1;-1.7;62.0;4.3;6.5
1014;Foodproducts, beverages and tabacco;2008 3rd quarter;83.7;-0.3;-0.9;63.2;6.2;6.5
1015;Foodproducts, beverages and tabacco;2008 October;85.3;3.9;-0.8;68.0;10.5;6.4
1016;Foodproducts, beverages and tabacco;2008 November;79.8;-5.3;-1.2;64.4;0.5;6.2
1017;Foodproducts, beverages and tabacco;2008 December;95.1;-1.5;-2.1;76.9;4.4;6.0
1018;Foodproducts, beverages and tabacco;2008 4th quarter;86.7;-1.1;-1.4;69.8;5.0;6.2
1019;Foodproducts, beverages and tabacco;2009 January;82.0;3.1;-1.3;65.4;8.2;5.0
1020;Foodproducts, beverages and tabacco;2009 February;75.4;-8.6;-3.2;60.3;-4.3;4.7
1021;Foodproducts, beverages and tabacco;2009 March;81.8;-6.0;-1.7;65.8;-1.9;4.4
1022;Foodproducts, beverages and tabacco;2009 1st quarter;79.7;-3.9;-2.1;63.8;0.5;4.7
1023;Foodproducts, beverages and tabacco;2009 April;84.9;2.5;-1.4;67.2;7.0;4.4
1024;Foodproducts, beverages and tabacco;2009 May;85.8;-7.1;-3.8;67.7;-3.5;3.8
1025;Foodproducts, beverages and tabacco;2009 June;83.5;0.5;-1.5;65.5;3.8;3.4
1026;Foodproducts, beverages and tabacco;2009 2nd quarter;84.7;-1.6;-2.3;66.8;2.2;3.9
1027;Foodproducts, beverages and tabacco;2009 July;85.0;0.7;-2.3;65.9;3.6;2.9
1028;Foodproducts, beverages and tabacco;2009 August;81.7;-3.8;-0.7;63.0;-1.4;2.5
1029;Foodproducts, beverages and tabacco;2009 September;81.4;-0.3;-1.2;62.9;1.4;1.7
1030;Foodproducts, beverages and tabacco;2009 3rd quarter;82.7;-1.1;-1.4;63.9;1.2;2.4
1031;Foodproducts, beverages and tabacco;2009 October;84.9;-0.4;-1.8;68.6;0.8;1.3
1032;Foodproducts, beverages and tabacco;2009 November;78.6;-1.5;0.8;63.6;-1.3;0.2
1033;Foodproducts, beverages and tabacco;2009 December;96.9;1.9;0.1;78.4;1.9;0.1
1034;Foodproducts, beverages and tabacco;2009 4th quarter;86.8;0.1;-0.3;70.2;0.6;0.5
1035;Foodproducts, beverages and tabacco;2010 January;79.7;-2.8;-0.1;63.8;-2.4;0.4
1036;Foodproducts, beverages and tabacco;2010 February;74.7;-0.9;-0.9;60.4;0.0;0.9
1037;Foodproducts, beverages and tabacco;2010 March;84.8;3.7;-0.3;68.7;4.4;0.7
1038;Foodproducts, beverages and tabacco;2010 1st quarter;79.8;0.0;-0.4;64.3;0.7;0.7
1039;Foodproducts, beverages and tabacco;2010 April;85.8;1.1;1.4;68.5;2.1;0.9
1040;Foodproducts, beverages and tabacco;2010 May;85.2;-0.7;1.4;68.0;0.5;1.2
1041;Foodproducts, beverages and tabacco;2010 June;85.9;2.9;2.3;68.5;4.5;1.5
1042;Foodproducts, beverages and tabacco;2010 2nd quarter;85.7;1.1;1.7;68.3;2.3;1.2
1043;Foodproducts, beverages and tabacco;2010 July;87.0;2.3;1.5;68.7;4.2;1.8
1044;Foodproducts, beverages and tabacco;2010 August;79.1;-3.2;-2.0;62.3;-1.2;2.1
1045;Foodproducts, beverages and tabacco;2010 September;82.8;1.7;0.7;65.0;3.4;1.7
1046;Foodproducts, beverages and tabacco;2010 3rd quarter;83.0;0.3;0.1;65.3;2.2;1.9
1047;Foodproducts, beverages and tabacco;2010 October;82.6;-2.6;0.0;67.8;-1.2;1.5
1048;Foodproducts, beverages and tabacco;2010 November;81.0;3.1;1.3;66.5;4.6;1.4
1049;Foodproducts, beverages and tabacco;2010 December;98.8;2.0;0.1;80.8;3.0;1.0
1050;Foodproducts, beverages and tabacco;2010 4th quarter;87.5;0.8;0.4;71.7;2.1;1.3
1051;Foodproducts, beverages and tabacco;2011 January;78.7;-1.3;0.8;63.6;-0.3;1.1
1052;Foodproducts, beverages and tabacco;2011 February;76.1;1.8;1.8;62.4;3.4;1.5
1053;Foodproducts, beverages and tabacco;2011 March;86.4;1.9;2.5;71.2;3.7;1.7
1054;Foodproducts, beverages and tabacco;2011 1st quarter;80.4;0.8;1.7;65.7;2.3;1.5
1055;Foodproducts, beverages and tabacco;2011 April;90.6;5.5;3.3;73.6;7.4;1.8
1056;Foodproducts, beverages and tabacco;2011 May;84.8;-0.5;0.7;69.2;1.8;2.3
1057;Foodproducts, beverages and tabacco;2011 June;86.9;1.2;0.2;70.8;3.4;2.2
1058;Foodproducts, beverages and tabacco;2011 2nd quarter;87.4;2.1;1.4;71.2;4.2;2.1
1059;Foodproducts, beverages and tabacco;2011 July;86.0;-1.1;1.5;69.5;1.2;2.4
1060;Foodproducts, beverages and tabacco;2011 August;83.8;5.9;3.8;67.7;8.6;2.6
1061;Foodproducts, beverages and tabacco;2011 September;86.8;4.8;3.2;70.0;7.7;2.8
1062;Foodproducts, beverages and tabacco;2011 3rd quarter;85.5;3.1;2.8;69.1;5.7;2.6
1063;Foodproducts, beverages and tabacco;2011 October;81.8;-1.0;1.1;68.8;1.6;2.7
1064;Foodproducts, beverages and tabacco;2011 November;82.3;1.6;1.0;69.5;4.5;2.9
1065;Foodproducts, beverages and tabacco;2011 December;98.4;-0.4;-1.3;82.7;2.4;2.9
1066;Foodproducts, beverages and tabacco;2011 4th quarter;87.5;0.0;0.2;73.7;2.8;2.8
1067;Foodproducts, beverages and tabacco;2012 January;80.0;1.6;3.0;66.9;5.1;3.4
1068;Foodproducts, beverages and tabacco;2012 February;78.8;3.6;0.0;66.9;7.3;3.6
1069;Foodproducts, beverages and tabacco;2012 March;88.7;2.7;-0.3;75.4;5.9;3.1
1070;Foodproducts, beverages and tabacco;2012 1st quarter;82.5;2.6;0.9;69.7;6.1;3.4
1071;Foodproducts, beverages and tabacco;2012 April;84.2;-7.0;-2.1;70.4;-4.3;2.8
1072;Foodproducts, beverages and tabacco;2012 May;89.1;5.1;1.7;74.6;7.8;2.6
1073;Foodproducts, beverages and tabacco;2012 June;89.7;3.2;1.6;75.3;6.4;3.1
1074;Foodproducts, beverages and tabacco;2012 2nd quarter;87.7;0.3;0.4;73.5;3.1;2.9
1075;Foodproducts, beverages and tabacco;2012 July;84.3;-2.1;1.2;70.0;0.7;2.8
1076;Foodproducts, beverages and tabacco;2012 August;88.5;5.7;2.6;73.4;8.5;2.7
1077;Foodproducts, beverages and tabacco;2012 September;84.8;-2.3;0.5;70.3;0.5;2.8
1078;Foodproducts, beverages and tabacco;2012 3rd quarter;85.9;0.4;1.4;71.2;3.2;2.8
1079;Foodproducts, beverages and tabacco;2012 October;83.1;1.6;1.0;72.1;4.7;3.0
1080;Foodproducts, beverages and tabacco;2012 November;84.8;3.0;0.7;73.8;6.3;3.2
1081;Foodproducts, beverages and tabacco;2012 December;96.3;-2.2;2.3;84.4;2.0;4.2
1082;Foodproducts, beverages and tabacco;2012 4th quarter;88.1;0.6;1.4;76.8;4.2;3.5
1083;Foodproducts, beverages and tabacco;2013 January;80.1;0.2;-3.0;70.7;5.7;5.5
1084;Foodproducts, beverages and tabacco;2013 February;74.7;-5.3;-1.8;66.5;-0.6;4.9
1085;Foodproducts, beverages and tabacco;2013 March;87.1;-1.8;-1.5;78.6;4.2;6.1
1086;Foodproducts, beverages and tabacco;2013 1st quarter;80.6;-2.2;-2.1;71.9;3.1;5.5
1087;Foodproducts, beverages and tabacco;2013 April;82.4;-2.2;-1.5;71.5;1.6;3.9
1088;Foodproducts, beverages and tabacco;2013 May;89.4;0.3;-1.3;78.1;4.7;4.3
1089;Foodproducts, beverages and tabacco;2013 June;85.2;-5.0;-2.0;74.2;-1.5;3.7
1090;Foodproducts, beverages and tabacco;2013 2nd quarter;85.7;-2.3;-1.6;74.6;1.6;4.0
1091;Foodproducts, beverages and tabacco;2013 July;86.5;2.6;0.6;74.4;6.3;3.6
1092;Foodproducts, beverages and tabacco;2013 August;88.4;-0.1;-1.0;75.9;3.3;3.4
1093;Foodproducts, beverages and tabacco;2013 September;81.9;-3.5;-1.9;69.8;-0.8;2.8
1094;Foodproducts, beverages and tabacco;2013 3rd quarter;85.6;-0.3;-0.8;73.3;2.9;3.3
1095;Foodproducts, beverages and tabacco;2013 October;84.6;1.8;0.4;74.0;2.7;0.9
1096;Foodproducts, beverages and tabacco;2013 November;85.4;0.7;0.4;74.7;1.1;0.4
1097;Foodproducts, beverages and tabacco;2013 December;95.1;-1.2;0.1;83.5;-1.0;0.2
1098;Foodproducts, beverages and tabacco;2013 4th quarter;88.4;0.3;0.3;77.4;0.9;0.5
1099;Foodproducts, beverages and tabacco;2014 January;81.3;1.4;-0.3;72.4;2.5;1.0
1100;Foodproducts, beverages and tabacco;2014 February;75.2;0.7;0.7;67.3;1.1;0.4
1101;Foodproducts, beverages and tabacco;2014 March;83.3;-4.4;0.0;74.7;-4.9;-0.6
1102;Foodproducts, beverages and tabacco;2014 1st quarter;79.9;-0.9;0.1;71.5;-0.6;0.3
1103;Foodproducts, beverages and tabacco;2014 April;86.4;4.9;1.5;75.3;5.3;0.4
1104;Foodproducts, beverages and tabacco;2014 May;90.5;1.2;0.3;78.8;0.9;-0.4
1105;Foodproducts, beverages and tabacco;2014 June;85.4;0.2;1.9;74.2;-0.1;-0.3
1106;Foodproducts, beverages and tabacco;2014 2nd quarter;87.4;2.1;1.2;76.1;2.0;-0.1
1107;Foodproducts, beverages and tabacco;2014 July;87.6;1.3;0.0;76.2;2.5;1.2
1108;Foodproducts, beverages and tabacco;2014 August;85.8;-2.9;-0.4;74.4;-1.9;1.0
1109;Foodproducts, beverages and tabacco;2014 September;83.9;2.5;0.9;72.4;3.7;1.3
1110;Foodproducts, beverages and tabacco;2014 3rd quarter;85.8;0.2;0.1;74.3;1.4;1.2
1111;Foodproducts, beverages and tabacco;2014 October;86.8;2.7;1.0;75.8;2.3;-0.3
1112;Foodproducts, beverages and tabacco;2014 November;84.0;-1.7;1.5;73.3;-1.8;-0.1
1113;Foodproducts, beverages and tabacco;2014 December;98.5;3.6;1.6;86.0;3.0;-0.6
1114;Foodproducts, beverages and tabacco;2014 4th quarter;89.8;1.6;1.4;78.4;1.2;-0.4
1115;Foodproducts, beverages and tabacco;2015 January;83.7;2.9;2.0;74.4;2.8;-0.1
1116;Foodproducts, beverages and tabacco;2015 February;76.3;1.6;1.6;68.6;2.0;0.4
1117;Foodproducts, beverages and tabacco;2015 March;83.2;0.0;0.1;74.9;0.3;0.3
1118;Foodproducts, beverages and tabacco;2015 1st quarter;81.1;1.5;1.2;72.6;1.6;0.2
1119;Foodproducts, beverages and tabacco;2015 April;88.5;2.5;2.7;78.0;3.5;1.0
1120;Foodproducts, beverages and tabacco;2015 May;90.4;-0.2;2.4;79.4;0.8;1.0
1121;Foodproducts, beverages and tabacco;2015 June;88.9;4.1;2.5;77.9;5.1;1.0
1122;Foodproducts, beverages and tabacco;2015 2nd quarter;89.3;2.1;2.5;78.4;3.1;1.0
1123;Foodproducts, beverages and tabacco;2015 July;91.0;3.9;2.2;79.8;4.7;0.8
1124;Foodproducts, beverages and tabacco;2015 August;86.5;0.7;2.7;76.0;2.2;1.4
1125;Foodproducts, beverages and tabacco;2015 September;87.1;3.8;3.1;76.4;5.5;1.6
1126;Foodproducts, beverages and tabacco;2015 3rd quarter;88.2;2.8;2.6;77.4;4.1;1.3
1127;Foodproducts, beverages and tabacco;2015 October;90.4;4.2;3.2;79.5;4.9;0.8
1128;Foodproducts, beverages and tabacco;2015 November;84.5;0.7;2.3;74.2;1.2;0.5
1129;Foodproducts, beverages and tabacco;2015 December;102.8;4.4;3.0;90.3;4.9;0.5
1130;Foodproducts, beverages and tabacco;2015 4th quarter;92.6;3.1;2.8;81.3;3.8;0.6
1131;Foodproducts, beverages and tabacco;2016 January;83.8;0.2;2.8;74.1;-0.5;-0.7
1132;Foodproducts, beverages and tabacco;2016 February;80.9;6.0;3.1;72.2;5.2;-0.8
1133;Foodproducts, beverages and tabacco;2016 March;90.8;9.1;4.3;81.4;8.7;-0.4
1134;Foodproducts, beverages and tabacco;2016 1st quarter;85.2;5.1;3.4;75.9;4.5;-0.6
1135;Foodproducts, beverages and tabacco;2016 April;88.5;0.0;-0.2;78.0;0.1;0.1
1136;Foodproducts, beverages and tabacco;2016 May;89.0;-1.5;1.8;78.6;-1.0;0.5
1137;Foodproducts, beverages and tabacco;2016 June;90.0;1.2;-0.5;79.5;2.0;0.7
1138;Foodproducts, beverages and tabacco;2016 2nd quarter;89.2;-0.1;0.4;78.7;0.3;0.4
1139;Foodproducts, beverages and tabacco;2016 July;90.0;-1.1;0.6;80.4;0.7;1.8
1140;Foodproducts, beverages and tabacco;2016 August;86.8;0.4;-0.2;77.4;1.8;1.5
1141;Foodproducts, beverages and tabacco;2016 September;89.9;3.2;0.9;79.8;4.5;1.2
1142;Foodproducts, beverages and tabacco;2016 3rd quarter;88.9;0.8;0.4;79.2;2.3;1.5
1143;Foodproducts, beverages and tabacco;2016 October;86.2;-4.6;-0.3;77.1;-3.0;1.7
1144;Foodproducts, beverages and tabacco;2016 November;86.1;1.9;-0.3;77.1;3.9;2.0
1145;Foodproducts, beverages and tabacco;2016 December;103.3;0.4;-2.1;92.8;2.8;2.3
1146;Foodproducts, beverages and tabacco;2016 4th quarter;91.9;-0.8;-1.0;82.3;1.2;2.0
1147;Foodproducts, beverages and tabacco;2017 January;84.1;0.3;3.7;75.5;2.0;1.7
1148;Foodproducts, beverages and tabacco;2017 February;80.1;-1.0;1.9;73.0;1.2;2.2
1149;Foodproducts, beverages and tabacco;2017 March;91.4;0.6;1.5;83.2;2.2;1.6
1150;Foodproducts, beverages and tabacco;2017 1st quarter;85.2;0.0;2.3;77.3;1.8;1.8
1151;Foodproducts, beverages and tabacco;2017 April;90.5;2.3;2.9;81.2;4.1;1.8
1152;Foodproducts, beverages and tabacco;2017 May;92.6;4.0;2.0;83.7;6.5;2.4
1153;Foodproducts, beverages and tabacco;2017 June;93.7;4.2;2.9;84.9;6.9;2.6
1154;Foodproducts, beverages and tabacco;2017 2nd quarter;92.3;3.5;2.6;83.3;5.8;2.3
1155;Foodproducts, beverages and tabacco;2017 July;90.3;0.3;2.3;82.2;2.3;2.0
1156;Foodproducts, beverages and tabacco;2017 August;88.9;2.4;1.1;81.1;4.8;2.3
1157;Foodproducts, beverages and tabacco;2017 September;91.7;2.0;1.7;83.3;4.5;2.4
1158;Foodproducts, beverages and tabacco;2017 3rd quarter;90.3;1.6;1.7;82.2;3.8;2.3
1159;Foodproducts, beverages and tabacco;2017 October;86.3;0.1;1.4;79.1;2.7;2.6
1160;Foodproducts, beverages and tabacco;2017 November;89.0;3.4;2.3;81.5;5.7;2.2
1161;Foodproducts, beverages and tabacco;2017 December;104.0;0.7;3.3;95.2;2.6;1.9
1162;Foodproducts, beverages and tabacco;2017 4th quarter;93.1;1.4;2.4;85.3;3.6;2.2
1163;Foodproducts, beverages and tabacco;2018 January;85.1;1.2;-0.7;78.0;3.2;2.0
1164;Foodproducts, beverages and tabacco;2018 February;80.8;0.9;0.9;74.7;2.3;1.4
1165;Foodproducts, beverages and tabacco;2018 March;94.9;3.8;0.3;87.2;4.8;0.9
1166;Foodproducts, beverages and tabacco;2018 1st quarter;87.0;2.0;0.1;80.0;3.5;1.4
1167;Foodproducts, beverages and tabacco;2018 April;88.7;-2.1;2.1;81.1;-0.1;2.0
1168;Foodproducts, beverages and tabacco;2018 May;95.5;3.1;1.7;87.6;4.7;1.5
