ID;PersonalCharacteristics;Periods;MembershipSportsClub_1;k_5HoursAWeekOrMore_2;k_14HoursAWeek_3;k_5HoursAWeekOrMore_4;k_14HoursAWeek_5;ClubActivitiesAtLeastOnceAMonth_6;MembershipHobbyClub_7;k_5HoursAWeekOrMore_8;k_14HoursAWeek_9;k_5HoursAWeekOrMore_10;k_14HoursAWeek_11;MembershipArtsCollege_12;k_5HoursAWeekOrMore_13;k_14HoursAWeek_14;k_5HoursAWeekOrMore_15;k_14HoursAWeek_16;MembershipSchoolOfMusic_17;MemberMusicalClubChoir1229Yrs_18;PlaysMusicalInstrument1229Yrs_19;OwnsCulturalPass1227Yrs_20;AtLeastOnceAMonth_21;k_311TimesAYear_22;AtLeastOnceAMonth_23;MoreThan3TimesAYearNotMonthly_24;AtLeastOnceAMonth_25;MoreThan3TimesAYearNotMonthly_26;AtLeastOnceAMonth_27;MoreThan3TimesAYearNotMonthly_28;AtLeastOnceAMonth_29;MoreThan3TimesAYearNotMonthly_30;AtLeastOnceAMonth_31;MoreThan3TimesAYearNotMonthly_32;AtLeastOnceAMonth_33;MoreThan3TimesAYearNotMonthly_34;AtLeastOnceAMonth_35;MoreThan3TimesAYearNotMonthly_36;AtLeastOnceAMonth_37;MoreThan3TimesAYearNotMonthly_38;AtLeastOnceAMonth_39;MoreThan3TimesAYearNotMonthly_40;AtLeastOnceAMonth_41;MoreThan3TimesAYearNotMonthly_42;FrequentWalkers_43;k_5HoursAWeekOrMore_44;k_14HoursAWeek_45;CyclingTrips_46;k_5HoursAWeekOrMore_47;k_14HoursAWeek_48;AtLeastOnceAWeek_49;k_13TimesAMonth_50;AtLeastOnceAMonth_51;MoreThan3TimesAYearNotMonthly_52;AtLeastOnceAMonth_53;MoreThan3TimesAYearNotMonthly_54;AtLeastOnceAMonth_55;MoreThan3TimesAYearNotMonthly_56;MoreThanOneHoliday_57;OneHoliday_58;ExtremelySatisfactory_59;VerySatisfactory_60;Satisfactory_61;ReasonablySatisfactory_62;NotVerySatisfactory_63;AreYouSometimesBored1229Yrs_64
61;12-17 yrs;1998;;30.0;57.0;3.0;7.0;66.0;;1.0;6.0;4.0;27.0;2.0;9.0;18.0;5.0;15.0;38.0;;;;1.0;10.0;3.0;10.0;;;;;;;1.0;4.0;23.0;45.0;20.0;20.0;1.0;3.0;2.0;10.0;0.0;4.0;32.0;9.0;57.0;41.0;27.0;53.0;15.0;13.0;18.0;41.0;53.0;21.0;50.0;19.0;42.0;40.0;12.0;32.0;46.0;8.0;1.0;
62;12-17 yrs;1999;;33.0;54.0;0.0;10.0;65.0;;0.0;7.0;6.0;23.0;1.0;11.0;18.0;5.0;11.0;40.0;;;;1.0;10.0;2.0;7.0;;;;;;;0.0;4.0;19.0;45.0;13.0;21.0;0.0;3.0;0.0;11.0;0.0;2.0;32.0;12.0;55.0;41.0;28.0;51.0;14.0;15.0;16.0;40.0;55.0;13.0;48.0;16.0;42.0;42.0;9.0;35.0;47.0;7.0;2.0;
63;12-17 yrs;2000;;31.0;54.0;2.0;9.0;63.0;;3.0;12.0;5.0;28.0;2.0;14.0;15.0;4.0;14.0;49.0;;;;1.0;10.0;4.0;9.0;;;;;;;1.0;9.0;25.0;47.0;12.0;22.0;2.0;2.0;0.0;17.0;0.0;3.0;31.0;9.0;64.0;40.0;23.0;58.0;13.0;14.0;18.0;45.0;50.0;17.0;48.0;22.0;44.0;40.0;4.0;46.0;44.0;5.0;1.0;
64;12-17 yrs;2001;;30.0;55.0;0.0;8.0;65.0;;2.0;5.0;5.0;24.0;2.0;7.0;19.0;5.0;12.0;40.0;11.0;21.0;23.0;0.0;11.0;3.0;8.0;0.0;3.0;0.0;1.0;0.0;2.0;2.0;6.0;23.0;46.0;20.0;17.0;1.0;2.0;1.0;8.0;0.0;3.0;32.0;13.0;58.0;38.0;27.0;54.0;13.0;16.0;22.0;38.0;48.0;16.0;55.0;11.0;43.0;40.0;13.0;39.0;40.0;7.0;1.0;8.0
65;12-17 yrs;2002;;32.0;53.0;2.0;6.0;64.0;;0.0;7.0;3.0;24.0;2.0;10.0;17.0;4.0;13.0;43.0;;;;0.0;13.0;2.0;11.0;;;;;;;1.0;3.0;26.0;43.0;19.0;18.0;1.0;2.0;2.0;11.0;0.0;1.0;27.0;11.0;51.0;37.0;19.0;58.0;11.0;15.0;20.0;40.0;52.0;14.0;56.0;16.0;44.0;39.0;8.0;34.0;47.0;10.0;1.0;
66;12-17 yrs;2003;;34.0;53.0;1.0;8.0;65.0;;0.0;6.0;2.0;23.0;1.0;9.0;16.0;4.0;14.0;41.0;13.0;24.0;21.0;0.0;13.0;3.0;12.0;1.0;3.0;0.0;1.0;0.0;1.0;1.0;5.0;23.0;49.0;18.0;24.0;1.0;3.0;2.0;8.0;0.0;1.0;31.0;9.0;60.0;37.0;25.0;57.0;11.0;14.0;20.0;39.0;46.0;14.0;59.0;14.0;45.0;40.0;7.0;44.0;42.0;5.0;2.0;8.0
67;12-17 yrs;2004;;35.0;50.0;1.0;5.0;63.0;;1.0;10.0;4.0;21.0;1.0;10.0;19.0;5.0;11.0;37.0;;;;0.0;13.0;2.0;8.0;;;;;;;1.0;6.0;25.0;40.0;16.0;19.0;2.0;0.0;2.0;7.0;0.0;3.0;30.0;11.0;61.0;37.0;23.0;61.0;9.0;16.0;13.0;41.0;51.0;13.0;55.0;10.0;45.0;39.0;6.0;41.0;43.0;6.0;3.0;
68;12-17 yrs;2005;;37.0;51.0;;;64.0;;;;5.0;22.0;2.0;;;4.0;16.0;35.0;;;;0.0;13.0;;;;;;;;;;;;;;;;;;;;;33.0;15.0;62.0;40.0;26.0;59.0;8.0;13.0;;;;;;;41.0;40.0;;;;;;
69;12-17 yrs;2006;;39.0;47.0;;;68.0;;;;5.0;23.0;2.0;;;6.0;14.0;47.0;;;;0.0;14.0;;;;;;;;;;;;;;;;;;;;;32.0;14.0;58.0;37.0;28.0;55.0;10.0;15.0;;;;;;;50.0;33.0;;;;;;
70;12-17 yrs;2007;;40.0;49.0;;;67.0;;;;5.0;22.0;2.0;;;4.0;14.0;38.0;;;;1.0;14.0;;;;;;;;;;;;;;;;;;;;;29.0;12.0;59.0;37.0;29.0;55.0;8.0;14.0;;;;;;;45.0;38.0;;;;;;
71;12-17 yrs;2008;;45.0;44.0;;;70.0;;;;4.0;20.0;3.0;;;4.0;13.0;45.0;;;;0.0;16.0;;;;;;;;;;;;;;;;;;;;;30.0;14.0;59.0;39.0;28.0;55.0;8.0;16.0;;;;;;;52.0;33.0;;;;;;
72;12-17 yrs;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;12-17 yrs;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;12-17 yrs;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;18-24 yrs;1997;36.0;17.0;39.0;3.0;15.0;47.0;6.0;3.0;17.0;5.0;13.0;3.0;9.0;13.0;6.0;7.0;16.0;4.0;18.0;14.0;2.0;10.0;6.0;15.0;2.0;9.0;0.0;2.0;0.0;3.0;1.0;4.0;26.0;42.0;35.0;23.0;1.0;4.0;1.0;8.0;0.0;4.0;40.0;17.0;57.0;33.0;20.0;60.0;40.0;28.0;33.0;40.0;58.0;13.0;57.0;15.0;28.0;44.0;10.0;30.0;45.0;12.0;4.0;8.0
76;18-24 yrs;1998;33.0;17.0;40.0;2.0;15.0;47.0;4.0;4.0;17.0;6.0;10.0;4.0;4.0;20.0;5.0;5.0;20.0;;;;2.0;11.0;5.0;18.0;;;;;;;1.0;6.0;30.0;44.0;30.0;25.0;1.0;3.0;1.0;7.0;1.0;2.0;43.0;15.0;55.0;29.0;25.0;49.0;43.0;27.0;38.0;39.0;56.0;15.0;55.0;14.0;30.0;44.0;8.0;29.0;51.0;9.0;3.0;
77;18-24 yrs;1999;40.0;17.0;40.0;2.0;18.0;48.0;6.0;3.0;14.0;7.0;13.0;2.0;9.0;18.0;4.0;7.0;10.0;;;;2.0;11.0;6.0;19.0;;;;;;;1.0;6.0;28.0;40.0;30.0;25.0;2.0;3.0;1.0;7.0;1.0;4.0;42.0;15.0;59.0;33.0;19.0;59.0;43.0;26.0;40.0;40.0;56.0;12.0;61.0;13.0;34.0;41.0;12.0;37.0;40.0;10.0;2.0;
78;18-24 yrs;2000;42.0;19.0;40.0;1.0;13.0;49.0;6.0;4.0;17.0;5.0;16.0;5.0;8.0;14.0;6.0;8.0;15.0;;;;2.0;10.0;6.0;14.0;;;;;;;1.0;7.0;32.0;44.0;28.0;27.0;0.0;2.0;0.0;10.0;0.0;4.0;45.0;13.0;60.0;31.0;22.0;58.0;42.0;29.0;39.0;42.0;54.0;14.0;60.0;13.0;35.0;42.0;8.0;36.0;42.0;11.0;4.0;
79;18-24 yrs;2001;41.0;19.0;40.0;1.0;16.0;48.0;6.0;3.0;14.0;4.0;11.0;4.0;8.0;15.0;5.0;7.0;15.0;5.0;19.0;16.0;1.0;8.0;7.0;12.0;2.0;11.0;1.0;2.0;1.0;3.0;2.0;9.0;38.0;36.0;32.0;20.0;1.0;3.0;0.0;6.0;1.0;4.0;43.0;12.0;59.0;25.0;16.0;65.0;42.0;31.0;39.0;38.0;60.0;12.0;63.0;9.0;34.0;42.0;11.0;34.0;43.0;11.0;1.0;8.0
80;18-24 yrs;2002;36.0;19.0;39.0;2.0;15.0;47.0;4.0;3.0;14.0;4.0;11.0;1.0;9.0;12.0;4.0;9.0;14.0;;;;1.0;10.0;4.0;10.0;;;;;;;1.0;7.0;34.0;40.0;28.0;19.0;1.0;3.0;1.0;6.0;0.0;1.0;42.0;11.0;59.0;33.0;15.0;67.0;39.0;31.0;35.0;41.0;57.0;15.0;65.0;12.0;36.0;41.0;10.0;33.0;43.0;10.0;3.0;
81;18-24 yrs;2003;39.0;20.0;41.0;3.0;13.0;48.0;4.0;3.0;13.0;5.0;10.0;3.0;7.0;13.0;4.0;8.0;16.0;5.0;20.0;12.0;1.0;9.0;7.0;12.0;3.0;9.0;0.0;2.0;0.0;2.0;1.0;7.0;33.0;36.0;30.0;19.0;2.0;3.0;1.0;5.0;1.0;4.0;43.0;17.0;54.0;32.0;17.0;55.0;37.0;33.0;37.0;35.0;49.0;16.0;65.0;11.0;34.0;41.0;7.0;35.0;46.0;9.0;3.0;8.0
82;18-24 yrs;2004;42.0;22.0;39.0;2.0;14.0;49.0;5.0;2.0;14.0;4.0;10.0;2.0;6.0;13.0;4.0;9.0;15.0;;;;0.0;10.0;3.0;15.0;;;;;;;2.0;6.0;30.0;40.0;28.0;21.0;1.0;4.0;1.0;5.0;0.0;2.0;46.0;12.0;62.0;34.0;16.0;63.0;34.0;33.0;35.0;39.0;50.0;17.0;65.0;11.0;36.0;41.0;9.0;34.0;43.0;12.0;2.0;
83;18-24 yrs;2005;;24.0;39.0;;;48.0;;;;4.0;11.0;2.0;;;5.0;8.0;12.0;;;;1.0;10.0;;;;;;;;;;;;;;;;;;;;;45.0;12.0;64.0;34.0;17.0;69.0;31.0;36.0;;;;;;;33.0;41.0;;;;;;
84;18-24 yrs;2006;;26.0;38.0;;;50.0;;;;4.0;12.0;2.0;;;3.0;7.0;20.0;;;;1.0;7.0;;;;;;;;;;;;;;;;;;;;;42.0;15.0;63.0;33.0;23.0;58.0;34.0;33.0;;;;;;;38.0;41.0;;;;;;
85;18-24 yrs;2007;;26.0;40.0;;;48.0;;;;5.0;13.0;1.0;;;3.0;9.0;15.0;;;;0.0;9.0;;;;;;;;;;;;;;;;;;;;;42.0;19.0;54.0;29.0;23.0;59.0;35.0;36.0;;;;;;;39.0;39.0;;;;;;
86;18-24 yrs;2008;;28.0;38.0;;;49.0;;;;6.0;12.0;3.0;;;3.0;7.0;14.0;;;;1.0;10.0;;;;;;;;;;;;;;;;;;;;;40.0;18.0;58.0;31.0;16.0;66.0;32.0;38.0;;;;;;;45.0;33.0;;;;;;
87;18-24 yrs;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;18-24 yrs;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;18-24 yrs;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;25-34 yrs;1997;30.0;11.0;41.0;2.0;15.0;43.0;7.0;11.0;30.0;3.0;9.0;5.0;6.0;13.0;3.0;6.0;14.0;5.0;16.0;8.0;2.0;12.0;4.0;19.0;2.0;11.0;0.0;3.0;0.0;2.0;1.0;7.0;19.0;25.0;51.0;26.0;4.0;10.0;1.0;7.0;2.0;6.0;62.0;19.0;57.0;47.0;18.0;63.0;17.0;24.0;36.0;39.0;15.0;15.0;45.0;17.0;35.0;38.0;7.0;28.0;46.0;14.0;5.0;8.0
91;25-34 yrs;1998;33.0;12.0;40.0;2.0;14.0;42.0;7.0;10.0;27.0;3.0;8.0;4.0;7.0;11.0;3.0;5.0;10.0;;;;2.0;12.0;3.0;19.0;;;;;;;1.0;8.0;15.0;30.0;51.0;25.0;7.0;13.0;1.0;10.0;2.0;7.0;59.0;19.0;61.0;46.0;15.0;63.0;17.0;24.0;41.0;39.0;16.0;13.0;44.0;20.0;35.0;39.0;6.0;27.0;48.0;15.0;3.0;
92;25-34 yrs;1999;30.0;12.0;42.0;2.0;15.0;43.0;6.0;10.0;29.0;3.0;8.0;3.0;5.0;11.0;3.0;6.0;9.0;;;;2.0;12.0;3.0;19.0;;;;;;;1.0;8.0;17.0;27.0;47.0;28.0;4.0;12.0;1.0;10.0;2.0;8.0;61.0;19.0;61.0;42.0;17.0;62.0;18.0;25.0;45.0;34.0;20.0;14.0;47.0;19.0;39.0;38.0;6.0;32.0;42.0;14.0;6.0;
93;25-34 yrs;2000;32.0;11.0;43.0;2.0;15.0;43.0;6.0;10.0;29.0;4.0;7.0;5.0;5.0;14.0;3.0;6.0;13.0;;;;2.0;12.0;6.0;19.0;;;;;;;1.0;7.0;17.0;32.0;53.0;23.0;4.0;11.0;0.0;9.0;2.0;7.0;63.0;19.0;63.0;46.0;13.0;68.0;17.0;26.0;46.0;38.0;19.0;13.0;50.0;17.0;39.0;38.0;6.0;29.0;45.0;14.0;5.0;
94;25-34 yrs;2001;35.0;11.0;44.0;1.0;14.0;42.0;7.0;11.0;27.0;3.0;7.0;5.0;6.0;11.0;3.0;7.0;13.0;4.0;18.0;7.0;1.0;10.0;4.0;18.0;1.0;11.0;0.0;3.0;0.0;3.0;2.0;8.0;16.0;25.0;47.0;23.0;6.0;9.0;1.0;6.0;4.0;7.0;60.0;16.0;64.0;43.0;15.0;69.0;17.0;27.0;48.0;32.0;17.0;13.0;51.0;14.0;42.0;37.0;8.0;27.0;48.0;13.0;4.0;8.0
95;25-34 yrs;2002;32.0;12.0;43.0;3.0;15.0;42.0;5.0;9.0;28.0;2.0;8.0;4.0;4.0;11.0;3.0;5.0;16.0;;;;1.0;10.0;5.0;12.0;;;;;;;1.0;5.0;19.0;26.0;48.0;21.0;6.0;10.0;1.0;6.0;2.0;5.0;61.0;16.0;61.0;44.0;14.0;66.0;16.0;26.0;48.0;33.0;20.0;12.0;53.0;12.0;42.0;37.0;7.0;27.0;47.0;13.0;6.0;
96;25-34 yrs;2003;34.0;13.0;42.0;2.0;12.0;41.0;4.0;7.0;29.0;2.0;7.0;3.0;4.0;12.0;2.0;6.0;12.0;4.0;17.0;7.0;0.0;10.0;5.0;13.0;2.0;10.0;0.0;2.0;0.0;3.0;2.0;6.0;17.0;29.0;51.0;21.0;5.0;9.0;1.0;4.0;2.0;5.0;61.0;17.0;64.0;44.0;17.0;65.0;16.0;27.0;43.0;31.0;17.0;14.0;56.0;14.0;42.0;37.0;5.0;26.0;50.0;14.0;5.0;8.0
97;25-34 yrs;2004;40.0;14.0;45.0;1.0;12.0;43.0;5.0;9.0;28.0;2.0;7.0;5.0;5.0;13.0;3.0;5.0;13.0;;;;1.0;9.0;5.0;15.0;;;;;;;1.0;7.0;17.0;28.0;46.0;27.0;7.0;9.0;1.0;6.0;2.0;6.0;61.0;17.0;62.0;45.0;16.0;66.0;16.0;28.0;40.0;36.0;17.0;16.0;58.0;16.0;41.0;38.0;7.0;28.0;49.0;12.0;5.0;
98;25-34 yrs;2005;;13.0;46.0;;;42.0;;;;2.0;8.0;3.0;;;2.0;7.0;11.0;;;;1.0;11.0;;;;;;;;;;;;;;;;;;;;;61.0;17.0;62.0;45.0;14.0;70.0;14.0;27.0;;;;;;;41.0;36.0;;;;;;
99;25-34 yrs;2006;;14.0;44.0;;;39.0;;;;3.0;8.0;2.0;;;3.0;6.0;14.0;;;;0.0;11.0;;;;;;;;;;;;;;;;;;;;;64.0;18.0;66.0;43.0;15.0;66.0;14.0;29.0;;;;;;;42.0;35.0;;;;;;
100;25-34 yrs;2007;;15.0;46.0;;;37.0;;;;4.0;8.0;1.0;;;3.0;6.0;7.0;;;;0.0;12.0;;;;;;;;;;;;;;;;;;;;;62.0;17.0;64.0;46.0;15.0;63.0;13.0;29.0;;;;;;;43.0;35.0;;;;;;
101;25-34 yrs;2008;;14.0;46.0;;;38.0;;;;2.0;8.0;2.0;;;2.0;6.0;9.0;;;;1.0;10.0;;;;;;;;;;;;;;;;;;;;;60.0;17.0;63.0;45.0;16.0;65.0;14.0;30.0;;;;;;;48.0;33.0;;;;;;
102;25-34 yrs;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;25-34 yrs;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;25-34 yrs;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;35-44 yrs;1997;30.0;10.0;40.0;2.0;21.0;45.0;8.0;11.0;33.0;3.0;8.0;6.0;4.0;14.0;3.0;5.0;16.0;;;;3.0;15.0;3.0;16.0;;;;;;;1.0;9.0;6.0;18.0;59.0;25.0;5.0;12.0;1.0;9.0;1.0;11.0;62.0;18.0;64.0;55.0;19.0;65.0;8.0;14.0;28.0;44.0;5.0;5.0;39.0;20.0;37.0;40.0;7.0;23.0;48.0;16.0;7.0;
106;35-44 yrs;1998;29.0;9.0;40.0;3.0;17.0;44.0;8.0;9.0;33.0;3.0;7.0;6.0;5.0;12.0;4.0;5.0;12.0;;;;3.0;15.0;6.0;15.0;;;;;;;3.0;8.0;8.0;19.0;56.0;25.0;5.0;10.0;1.0;7.0;2.0;7.0;63.0;19.0;60.0;55.0;17.0;64.0;9.0;14.0;32.0;40.0;6.0;6.0;41.0;20.0;38.0;38.0;7.0;26.0;46.0;16.0;5.0;
107;35-44 yrs;1999;32.0;9.0;41.0;2.0;16.0;45.0;6.0;10.0;35.0;2.0;8.0;7.0;4.0;13.0;3.0;6.0;12.0;;;;3.0;15.0;4.0;16.0;;;;;;;1.0;8.0;8.0;19.0;54.0;25.0;6.0;15.0;1.0;9.0;3.0;7.0;64.0;17.0;68.0;55.0;19.0;65.0;8.0;15.0;33.0;42.0;4.0;6.0;39.0;25.0;41.0;38.0;7.0;24.0;46.0;16.0;7.0;
108;35-44 yrs;2000;32.0;9.0;41.0;2.0;18.0;43.0;7.0;10.0;34.0;3.0;7.0;8.0;5.0;10.0;3.0;7.0;11.0;;;;2.0;14.0;4.0;17.0;;;;;;;2.0;9.0;7.0;18.0;56.0;24.0;7.0;14.0;0.0;10.0;3.0;10.0;66.0;20.0;62.0;52.0;17.0;67.0;9.0;14.0;34.0;40.0;5.0;5.0;35.0;23.0;42.0;36.0;6.0;26.0;49.0;13.0;6.0;
109;35-44 yrs;2001;35.0;10.0;42.0;2.0;16.0;43.0;6.0;10.0;33.0;2.0;7.0;3.0;4.0;12.0;3.0;6.0;13.0;;;;1.0;14.0;4.0;12.0;;;;;;;2.0;6.0;7.0;18.0;51.0;26.0;5.0;13.0;1.0;9.0;2.0;9.0;65.0;20.0;66.0;54.0;16.0;66.0;9.0;17.0;33.0;38.0;5.0;5.0;40.0;19.0;44.0;37.0;6.0;23.0;47.0;17.0;7.0;
110;35-44 yrs;2002;33.0;9.0;42.0;2.0;15.0;42.0;7.0;10.0;33.0;2.0;8.0;7.0;5.0;13.0;2.0;7.0;11.0;;;;1.0;14.0;4.0;15.0;;;;;;;3.0;7.0;9.0;22.0;56.0;23.0;5.0;13.0;1.0;7.0;2.0;8.0;63.0;18.0;62.0;52.0;18.0;61.0;8.0;16.0;36.0;35.0;6.0;5.0;41.0;19.0;45.0;36.0;7.0;25.0;48.0;15.0;4.0;
111;35-44 yrs;2003;30.0;10.0;41.0;2.0;12.0;41.0;6.0;9.0;32.0;2.0;6.0;8.0;4.0;12.0;2.0;6.0;8.0;;;;1.0;11.0;4.0;13.0;;;;;;;1.0;6.0;8.0;24.0;52.0;23.0;6.0;14.0;1.0;7.0;3.0;7.0;62.0;17.0;65.0;52.0;18.0;64.0;8.0;17.0;30.0;38.0;5.0;6.0;41.0;19.0;44.0;37.0;5.0;25.0;50.0;13.0;6.0;
112;35-44 yrs;2004;33.0;11.0;44.0;1.0;13.0;41.0;7.0;8.0;33.0;2.0;7.0;7.0;4.0;13.0;2.0;6.0;12.0;;;;1.0;12.0;2.0;13.0;;;;;;;1.0;6.0;8.0;20.0;56.0;21.0;6.0;15.0;1.0;6.0;3.0;7.0;66.0;19.0;61.0;54.0;16.0;63.0;8.0;17.0;32.0;36.0;4.0;7.0;47.0;19.0;44.0;36.0;6.0;24.0;49.0;14.0;6.0;
113;35-44 yrs;2005;;11.0;45.0;;;44.0;;;;2.0;7.0;5.0;;;2.0;5.0;13.0;;;;1.0;13.0;;;;;;;;;;;;;;;;;;;;;67.0;18.0;63.0;53.0;13.0;69.0;7.0;17.0;;;;;;;46.0;37.0;;;;;;
114;35-44 yrs;2006;;12.0;43.0;;;40.0;;;;3.0;7.0;4.0;;;2.0;6.0;9.0;;;;1.0;13.0;;;;;;;;;;;;;;;;;;;;;67.0;19.0;64.0;53.0;20.0;62.0;7.0;17.0;;;;;;;47.0;34.0;;;;;;
115;35-44 yrs;2007;;13.0;42.0;;;39.0;;;;2.0;6.0;3.0;;;1.0;3.0;10.0;;;;1.0;12.0;;;;;;;;;;;;;;;;;;;;;66.0;19.0;64.0;54.0;18.0;68.0;8.0;17.0;;;;;;;48.0;34.0;;;;;;
116;35-44 yrs;2008;;11.0;46.0;;;36.0;;;;3.0;8.0;2.0;;;2.0;4.0;7.0;;;;1.0;13.0;;;;;;;;;;;;;;;;;;;;;67.0;19.0;62.0;51.0;17.0;67.0;7.0;21.0;;;;;;;48.0;31.0;;;;;;
117;35-44 yrs;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;35-44 yrs;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
119;35-44 yrs;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;45-54 yrs;1997;28.0;11.0;36.0;7.0;23.0;45.0;13.0;11.0;33.0;4.0;7.0;9.0;5.0;12.0;3.0;5.0;14.0;;;;5.0;17.0;3.0;16.0;;;;;;;1.0;7.0;3.0;10.0;53.0;27.0;0.0;3.0;0.0;2.0;1.0;3.0;64.0;24.0;60.0;58.0;25.0;60.0;7.0;10.0;31.0;40.0;4.0;3.0;35.0;21.0;39.0;35.0;9.0;24.0;49.0;12.0;5.0;
121;45-54 yrs;1998;26.0;9.0;36.0;6.0;23.0;45.0;8.0;11.0;36.0;3.0;5.0;10.0;5.0;11.0;3.0;4.0;12.0;;;;5.0;18.0;5.0;19.0;;;;;;;2.0;11.0;5.0;13.0;56.0;24.0;1.0;3.0;0.0;2.0;1.0;4.0;64.0;22.0;62.0;57.0;24.0;62.0;8.0;10.0;37.0;39.0;4.0;3.0;32.0;22.0;40.0;34.0;7.0;26.0;48.0;13.0;5.0;
122;45-54 yrs;1999;27.0;10.0;37.0;7.0;21.0;43.0;9.0;11.0;33.0;4.0;6.0;9.0;4.0;9.0;3.0;5.0;13.0;;;;5.0;18.0;4.0;20.0;;;;;;;2.0;11.0;4.0;13.0;57.0;22.0;1.0;3.0;0.0;3.0;2.0;4.0;68.0;25.0;61.0;58.0;24.0;64.0;7.0;10.0;37.0;37.0;5.0;3.0;35.0;18.0;44.0;32.0;5.0;28.0;49.0;11.0;6.0;
123;45-54 yrs;2000;26.0;11.0;36.0;6.0;24.0;44.0;9.0;11.0;34.0;3.0;7.0;11.0;4.0;9.0;2.0;6.0;13.0;;;;4.0;17.0;6.0;18.0;;;;;;;2.0;10.0;5.0;13.0;57.0;22.0;2.0;3.0;0.0;2.0;1.0;4.0;70.0;23.0;63.0;60.0;25.0;62.0;7.0;11.0;41.0;39.0;5.0;3.0;36.0;20.0;44.0;34.0;8.0;26.0;47.0;12.0;7.0;
124;45-54 yrs;2001;24.0;11.0;36.0;6.0;20.0;44.0;10.0;10.0;32.0;3.0;7.0;10.0;4.0;9.0;3.0;5.0;17.0;;;;2.0;15.0;3.0;16.0;;;;;;;2.0;7.0;5.0;11.0;55.0;23.0;1.0;4.0;1.0;2.0;1.0;4.0;67.0;22.0;65.0;57.0;26.0;61.0;8.0;12.0;38.0;35.0;3.0;2.0;34.0;18.0;45.0;33.0;9.0;29.0;46.0;12.0;5.0;
125;45-54 yrs;2002;28.0;11.0;38.0;3.0;20.0;43.0;8.0;8.0;32.0;3.0;6.0;10.0;5.0;11.0;2.0;5.0;12.0;;;;2.0;17.0;4.0;17.0;;;;;;;2.0;9.0;4.0;12.0;55.0;20.0;1.0;2.0;0.0;2.0;1.0;3.0;65.0;21.0;63.0;58.0;22.0;62.0;7.0;13.0;39.0;35.0;4.0;2.0;41.0;18.0;47.0;32.0;7.0;24.0;51.0;13.0;5.0;
126;45-54 yrs;2003;30.0;11.0;39.0;4.0;23.0;45.0;10.0;7.0;34.0;2.0;5.0;12.0;4.0;11.0;3.0;7.0;14.0;;;;1.0;16.0;4.0;13.0;;;;;;;1.0;7.0;6.0;17.0;56.0;19.0;2.0;3.0;0.0;2.0;2.0;4.0;68.0;21.0;62.0;62.0;24.0;62.0;7.0;12.0;30.0;40.0;4.0;4.0;40.0;19.0;46.0;32.0;7.0;29.0;47.0;13.0;4.0;
127;45-54 yrs;2004;26.0;12.0;40.0;4.0;21.0;42.0;10.0;9.0;34.0;2.0;6.0;10.0;4.0;10.0;3.0;6.0;12.0;;;;1.0;16.0;2.0;14.0;;;;;;;1.0;9.0;6.0;15.0;56.0;21.0;1.0;3.0;0.0;2.0;1.0;2.0;68.0;23.0;65.0;59.0;23.0;63.0;6.0;13.0;36.0;32.0;3.0;3.0;43.0;17.0;45.0;32.0;6.0;23.0;52.0;12.0;7.0;
128;45-54 yrs;2005;;14.0;39.0;;;43.0;;;;3.0;6.0;9.0;;;2.0;6.0;9.0;;;;1.0;14.0;;;;;;;;;;;;;;;;;;;;;68.0;26.0;62.0;57.0;22.0;64.0;7.0;11.0;;;;;;;42.0;34.0;;;;;;
