ID;FarmAnimals;Periods;Livestock_1
621;"Breeding stock for broilers; production";2020 December;4094
622;"Breeding stock for broilers; production";2021 April;4663
623;"Breeding stock for broilers; production";2021 December;4137
624;"Breeding stock for broilers; production";2022 April;4450
625;"Breeding stock for broilers; production";2022 December;4254
626;"Breeding stock for broilers; production";2023 April;4307
627;"Breeding stock for broilers; production";2023 December;4090
628;"Breeding stock for broilers; production";2024 April;4150
629;"Breeding stock for broilers; production";2024 December;4054
630;Ducks for slaughter;2018 April;872
631;Ducks for slaughter;2018 December;861
632;Ducks for slaughter;2019 April;920
633;Ducks for slaughter;2019 December;763
634;Ducks for slaughter;2020 April;712
635;Ducks for slaughter;2020 December;680
636;Ducks for slaughter;2021 April;568
637;Ducks for slaughter;2021 December;722
638;Ducks for slaughter;2022 April;607
639;Ducks for slaughter;2022 December;546
640;Ducks for slaughter;2023 April;453
641;Ducks for slaughter;2023 December;524
642;Ducks for slaughter;2024 April;378
643;Ducks for slaughter;2024 December;363
644;Turkeys;2018 April;556
645;Turkeys;2018 December;578
646;Turkeys;2019 April;532
647;Turkeys;2019 December;607
648;Turkeys;2020 April;566
649;Turkeys;2020 December;573
650;Turkeys;2021 April;589
651;Turkeys;2021 December;601
652;Turkeys;2022 April;474
653;Turkeys;2022 December;337
654;Turkeys;2023 April;530
655;Turkeys;2023 December;512
656;Turkeys;2024 April;493
657;Turkeys;2024 December;370
658;Pigs (total);2018 April;12391
659;Pigs (total);2018 December;11909
660;Pigs (total);2019 April;12214
661;Pigs (total);2019 December;11921
662;Pigs (total);2020 April;11860
663;Pigs (total);2020 December;11541
664;Pigs (total);2021 April;11372
665;Pigs (total);2021 December;10872
666;Pigs (total);2022 April;11235
667;Pigs (total);2022 December;10706
668;Pigs (total);2023 April;10770
669;Pigs (total);2023 December;10375
670;Pigs (total);2024 April;10477
671;Pigs (total);2024 December;10182
672;Piglets < 20 kg, still with the sow;2018 April;2202
673;Piglets < 20 kg, still with the sow;2018 December;1888
674;Piglets < 20 kg, still with the sow;2019 April;2174
675;Piglets < 20 kg, still with the sow;2019 December;1910
676;Piglets < 20 kg, still with the sow;2020 April;2118
677;Piglets < 20 kg, still with the sow;2020 December;1850
678;Piglets < 20 kg, still with the sow;2021 April;1978
679;Piglets < 20 kg, still with the sow;2021 December;1766
680;Piglets < 20 kg, still with the sow;2022 April;1984
681;Piglets < 20 kg, still with the sow;2022 December;1735
682;Piglets < 20 kg, still with the sow;2023 April;1954
683;Piglets < 20 kg, still with the sow;2023 December;1862
684;Piglets < 20 kg, still with the sow;2024 April;1917
685;Piglets < 20 kg, still with the sow;2024 December;1740
686;Young pigs < 50 kg;2018 April;5265
687;Young pigs < 50 kg;2018 December;5015
688;Young pigs < 50 kg;2019 April;5168
689;Young pigs < 50 kg;2019 December;4796
690;Young pigs < 50 kg;2020 April;5016
691;Young pigs < 50 kg;2020 December;4718
692;Young pigs < 50 kg;2021 April;4819
693;Young pigs < 50 kg;2021 December;4556
694;Young pigs < 50 kg;2022 April;4747
695;Young pigs < 50 kg;2022 December;4252
696;Young pigs < 50 kg;2023 April;4532
697;Young pigs < 50 kg;2023 December;4089
698;Young pigs < 50 kg;2024 April;4392
699;Young pigs < 50 kg;2024 December;4283
700;Pigs for fattening, >=50 kg (total);2018 April;3865
701;Pigs for fattening, >=50 kg (total);2018 December;4032
702;Pigs for fattening, >=50 kg (total);2019 April;3853
703;Pigs for fattening, >=50 kg (total);2019 December;4163
704;Pigs for fattening, >=50 kg (total);2020 April;3719
705;Pigs for fattening, >=50 kg (total);2020 December;4045
706;Pigs for fattening, >=50 kg (total);2021 April;3630
707;Pigs for fattening, >=50 kg (total);2021 December;3632
708;Pigs for fattening, >=50 kg (total);2022 April;3578
709;Pigs for fattening, >=50 kg (total);2022 December;3827
710;Pigs for fattening, >=50 kg (total);2023 April;3403
711;Pigs for fattening, >=50 kg (total);2023 December;3506
712;Pigs for fattening, >=50 kg (total);2024 April;3310
713;Pigs for fattening, >=50 kg (total);2024 December;3370
714;Pigs for fattening, 50 - 80 kg;2018 April;1745
715;Pigs for fattening, 50 - 80 kg;2018 December;1666
716;Pigs for fattening, 50 - 80 kg;2019 April;1725
717;Pigs for fattening, 50 - 80 kg;2019 December;1755
718;Pigs for fattening, 50 - 80 kg;2020 April;1651
719;Pigs for fattening, 50 - 80 kg;2020 December;1731
720;Pigs for fattening, 50 - 80 kg;2021 April;1590
721;Pigs for fattening, 50 - 80 kg;2021 December;1587
722;Pigs for fattening, 50 - 80 kg;2022 April;1551
723;Pigs for fattening, 50 - 80 kg;2022 December;1630
724;Pigs for fattening, 50 - 80 kg;2023 April;1469
725;Pigs for fattening, 50 - 80 kg;2023 December;1489
726;Pigs for fattening, 50 - 80 kg;2024 April;1417
727;Pigs for fattening, 50 - 80 kg;2024 December;1438
728;Pigs for fattening, 80 - 110 kg;2018 April;1649
729;Pigs for fattening, 80 - 110 kg;2018 December;1679
730;Pigs for fattening, 80 - 110 kg;2019 April;1655
731;Pigs for fattening, 80 - 110 kg;2019 December;1743
732;Pigs for fattening, 80 - 110 kg;2020 April;1564
733;Pigs for fattening, 80 - 110 kg;2020 December;1653
734;Pigs for fattening, 80 - 110 kg;2021 April;1510
735;Pigs for fattening, 80 - 110 kg;2021 December;1439
736;Pigs for fattening, 80 - 110 kg;2022 April;1492
737;Pigs for fattening, 80 - 110 kg;2022 December;1559
738;Pigs for fattening, 80 - 110 kg;2023 April;1436
739;Pigs for fattening, 80 - 110 kg;2023 December;1413
740;Pigs for fattening, 80 - 110 kg;2024 April;1382
741;Pigs for fattening, 80 - 110 kg;2024 December;1362
742;Pigs for fattening, >= 110 kg;2018 April;472
743;Pigs for fattening, >= 110 kg;2018 December;687
744;Pigs for fattening, >= 110 kg;2019 April;474
745;Pigs for fattening, >= 110 kg;2019 December;666
746;Pigs for fattening, >= 110 kg;2020 April;504
747;Pigs for fattening, >= 110 kg;2020 December;661
748;Pigs for fattening, >= 110 kg;2021 April;530
749;Pigs for fattening, >= 110 kg;2021 December;606
750;Pigs for fattening, >= 110 kg;2022 April;535
751;Pigs for fattening, >= 110 kg;2022 December;637
752;Pigs for fattening, >= 110 kg;2023 April;498
753;Pigs for fattening, >= 110 kg;2023 December;605
754;Pigs for fattening, >= 110 kg;2024 April;511
755;Pigs for fattening, >= 110 kg;2024 December;571
756;Breeding pigs >= 50 kg;2018 April;1059
757;Breeding pigs >= 50 kg;2018 December;974
758;Breeding pigs >= 50 kg;2019 April;1018
759;Breeding pigs >= 50 kg;2019 December;1052
760;Breeding pigs >= 50 kg;2020 April;1008
761;Breeding pigs >= 50 kg;2020 December;929
762;Breeding pigs >= 50 kg;2021 April;945
763;Breeding pigs >= 50 kg;2021 December;918
764;Breeding pigs >= 50 kg;2022 April;926
765;Breeding pigs >= 50 kg;2022 December;892
766;Breeding pigs >= 50 kg;2023 April;881
767;Breeding pigs >= 50 kg;2023 December;917
768;Breeding pigs >= 50 kg;2024 April;858
769;Breeding pigs >= 50 kg;2024 December;789
770;Sows, >= 50 kg, mated;2018 April;695
771;Sows, >= 50 kg, mated;2018 December;640
772;Sows, >= 50 kg, mated;2019 April;673
773;Sows, >= 50 kg, mated;2019 December;661
774;Sows, >= 50 kg, mated;2020 April;662
775;Sows, >= 50 kg, mated;2020 December;580
776;Sows, >= 50 kg, mated;2021 April;615
777;Sows, >= 50 kg, mated;2021 December;567
778;Sows, >= 50 kg, mated;2022 April;594
779;Sows, >= 50 kg, mated;2022 December;561
780;Sows, >= 50 kg, mated;2023 April;566
781;Sows, >= 50 kg, mated;2023 December;563
782;Sows, >= 50 kg, mated;2024 April;559
783;Sows, >= 50 kg, mated;2024 December;496
784;Sows, >= 50 kg, with piglets;2018 April;178
785;Sows, >= 50 kg, with piglets;2018 December;153
786;Sows, >= 50 kg, with piglets;2019 April;173
787;Sows, >= 50 kg, with piglets;2019 December;159
788;Sows, >= 50 kg, with piglets;2020 April;169
789;Sows, >= 50 kg, with piglets;2020 December;151
790;Sows, >= 50 kg, with piglets;2021 April;155
791;Sows, >= 50 kg, with piglets;2021 December;148
792;Sows, >= 50 kg, with piglets;2022 April;155
793;Sows, >= 50 kg, with piglets;2022 December;138
794;Sows, >= 50 kg, with piglets;2023 April;151
795;Sows, >= 50 kg, with piglets;2023 December;150
796;Sows, >= 50 kg, with piglets;2024 April;146
797;Sows, >= 50 kg, with piglets;2024 December;136
798;Young sows;2018 April;128
799;Young sows;2018 December;134
800;Young sows;2019 April;122
801;Young sows;2019 December;160
802;Young sows;2020 April;130
803;Young sows;2020 December;152
804;Young sows;2021 April;127
805;Young sows;2021 December;145
806;Young sows;2022 April;132
807;Young sows;2022 December;147
808;Young sows;2023 April;122
809;Young sows;2023 December;144
810;Young sows;2024 April;115
811;Young sows;2024 December;108
812;Other breading pigs;2018 April;58
813;Other breading pigs;2018 December;47
814;Other breading pigs;2019 April;50
815;Other breading pigs;2019 December;72
816;Other breading pigs;2020 April;47
817;Other breading pigs;2020 December;46
818;Other breading pigs;2021 April;47
819;Other breading pigs;2021 December;58
820;Other breading pigs;2022 April;44
821;Other breading pigs;2022 December;46
822;Other breading pigs;2023 April;43
823;Other breading pigs;2023 December;60
824;Other breading pigs;2024 April;38
825;Other breading pigs;2024 December;48
