ID;BedrijfsklasseSBI93;Perioden;TotaalInstallaties_1;MechanischeInstallaties_2;FysischChemischeInstallaties_3;BiologischeInstallaties_4;GecombBiologischFysChemInstal_5;TotaalBiologisch_6;BiologischAeroobProces_7;BiologischAnaeroobProces_8;CombinatieAnaeroobAeroobProces_9;Capaciteit_10;CorresponderendAantalInstallaties_11;TotaalHoeveelheidSlibAfgevoerd_12;LandbouwBodem_13;DiervoedersDestructiebedrijven_14;Composteren_15;Storten_16;Verbranden_17;OverigeBestemmingen_18;TotaalDrogeStofAfgevoerd_19;LandbouwBodem_20;DiervoedersDestructiebedrijven_21;Composteren_22;Storten_23;Verbranden_24;OverigeBestemmingen_25
90;2300b Aardolie, chemie, rubber en ..;1993;91;10;41;26;14;40;36;1;3;4586;47;250866;152698;1564;12984;47173;27044;9403;47872;17079;515;2821;17822;8789;844
91;2300b Aardolie, chemie, rubber en ..;1994;96;11;44;27;14;41;36;1;4;4695;48;183060;101254;810;2781;44005;22233;11977;40603;16398;380;1512;17787;3980;547
92;2300b Aardolie, chemie, rubber en ..;1995;97;11;45;27;14;41;36;1;4;4725;48;173875;50241;3422;0;78235;27782;14195;45606;4652;812;0;35416;3931;795
93;2300b Aardolie, chemie, rubber en ..;1996;99;13;45;28;13;41;35;1;5;4715;48;209846;95783;2898;0;64281;29824;17060;49101;7846;778;0;33180;4075;3223
94;2300b Aardolie, chemie, rubber en ..;1997;103;12;47;31;13;44;36;3;5;4722;49;198907;67829;2569;33;82011;30701;15763;55186;6341;540;2;41471;2402;4431
95;2300b Aardolie, chemie, rubber en ..;1998;93;11;40;29;13;42;35;3;4;4375;45;196401;39340;3247;33;45817;49956;58007;58423;5843;649;2;13551;14410;23967
96;2300b Aardolie, chemie, rubber en ..;1999;99;12;41;33;13;46;38;3;5;4145;48;176475;47451;1323;70;24903;59560;43168;48317;6462;146;1;8567;15047;18095
97;2300b Aardolie, chemie, rubber en ..;2000;101;13;41;33;14;47;39;3;5;4145;48;166701;23989;1290;2261;26120;64988;48053;45704;6284;436;483;6309;12589;19604
98;2300b Aardolie, chemie, rubber en ..;2001;103;14;44;32;13;45;38;2;5;4147;48;138442;18200;0;3440;12084;65599;39119;32968;4768;0;736;4108;9858;13497
99;2300b Aardolie, chemie, rubber en ..;2002;93;12;39;31;11;42;36;1;5;3924;45;197539;53136;0;2639;23402;56074;62288;55100;13417;0;475;5486;10230;25491
100;2300b Aardolie, chemie, rubber en ..;2003;87;11;39;29;8;37;32;1;4;3435;40;185040;47770;0;0;23350;50519;63402;49010;12222;0;0;4044;8009;24736
101;2300b Aardolie, chemie, rubber en ..;2004;89;8;43;30;8;38;33;1;4;3439;41;161850;28343;0;0;3970;70824;58713;39153;7531;0;0;1893;9510;20218
102;2300b Aardolie, chemie, rubber en ..;2005;83;6;41;28;8;36;32;0;4;3423;40;153796;33761;0;0;5039;61239;53757;38549;9609;0;0;2268;9793;16880
103;2300b Aardolie, chemie, rubber en ..;2006;83;4;40;27;12;39;34;1;4;3599;41;152910;33694;0;0;5645;61699;51872;36631;8611;0;0;2386;12245;13388
104;2300b Aardolie, chemie, rubber en ..;2007;76;4;33;27;12;39;34;1;4;3599;41;159652;33059;0;0;4700;69020;52874;36455;9240;0;0;2401;11214;13599
105;DJ VV metalen in primaire vorm en van ..;1993;115;3;109;3;0;3;3;0;0;161;3;47645;0;0;0;47020;61;564;7701;0;0;0;7510;26;164
106;DJ VV metalen in primaire vorm en van ..;1994;120;3;114;3;0;3;3;0;0;161;3;26559;8;0;0;25786;162;603;3446;3;0;0;3196;73;174
107;DJ VV metalen in primaire vorm en van ..;1995;120;3;114;3;0;3;3;0;0;161;3;19866;0;0;0;16529;2853;484;8726;0;0;0;8158;438;131
108;DJ VV metalen in primaire vorm en van ..;1996;121;3;115;3;0;3;3;0;0;161;3;26476;0;0;0;23126;2971;379;15074;0;0;0;14488;480;107
109;DJ VV metalen in primaire vorm en van ..;1997;118;3;112;3;0;3;3;0;0;161;3;23068;0;0;0;21745;353;971;14515;0;0;0;13845;182;489
110;DJ VV metalen in primaire vorm en van ..;1998;109;4;103;2;0;2;2;0;0;158;2;35270;0;0;0;32312;824;2135;15308;0;0;0;14238;387;683
111;DJ VV metalen in primaire vorm en van ..;1999;112;4;106;2;0;2;2;0;0;158;2;29219;0;0;0;26738;610;1871;11151;0;0;0;10294;268;589
112;DJ VV metalen in primaire vorm en van ..;2000;110;4;104;2;0;2;2;0;0;158;2;16812;0;0;0;14101;449;2262;9514;0;0;0;8170;163;1182
