ID;Geslacht;Leeftijd;Onderwijssoort;Perioden;GediplomeerdenVavo_1
339;Mannen;Jonger dan 23 jaar;Vavo havo;2021/'22;1390
340;Mannen;Jonger dan 23 jaar;Vavo havo;2022/'23;1380
341;Mannen;Jonger dan 23 jaar;Vavo havo;2023/'24;2060
342;Mannen;Jonger dan 23 jaar;Vavo vwo;2006/'07;430
343;Mannen;Jonger dan 23 jaar;Vavo vwo;2007/'08;670
344;Mannen;Jonger dan 23 jaar;Vavo vwo;2008/'09;640
345;Mannen;Jonger dan 23 jaar;Vavo vwo;2009/'10;1100
346;Mannen;Jonger dan 23 jaar;Vavo vwo;2010/'11;1050
347;Mannen;Jonger dan 23 jaar;Vavo vwo;2011/'12;890
348;Mannen;Jonger dan 23 jaar;Vavo vwo;2012/'13;1020
349;Mannen;Jonger dan 23 jaar;Vavo vwo;2013/'14;730
350;Mannen;Jonger dan 23 jaar;Vavo vwo;2014/'15;890
351;Mannen;Jonger dan 23 jaar;Vavo vwo;2015/'16;810
352;Mannen;Jonger dan 23 jaar;Vavo vwo;2016/'17;820
353;Mannen;Jonger dan 23 jaar;Vavo vwo;2017/'18;910
354;Mannen;Jonger dan 23 jaar;Vavo vwo;2018/'19;920
355;Mannen;Jonger dan 23 jaar;Vavo vwo;2019/'20;980
356;Mannen;Jonger dan 23 jaar;Vavo vwo;2020/'21;370
357;Mannen;Jonger dan 23 jaar;Vavo vwo;2021/'22;630
358;Mannen;Jonger dan 23 jaar;Vavo vwo;2022/'23;690
359;Mannen;Jonger dan 23 jaar;Vavo vwo;2023/'24;1070
360;Mannen;23 jaar of ouder;Totaal vavo;2006/'07;50
361;Mannen;23 jaar of ouder;Totaal vavo;2007/'08;70
362;Mannen;23 jaar of ouder;Totaal vavo;2008/'09;60
363;Mannen;23 jaar of ouder;Totaal vavo;2009/'10;80
364;Mannen;23 jaar of ouder;Totaal vavo;2010/'11;90
365;Mannen;23 jaar of ouder;Totaal vavo;2011/'12;80
366;Mannen;23 jaar of ouder;Totaal vavo;2012/'13;90
367;Mannen;23 jaar of ouder;Totaal vavo;2013/'14;70
368;Mannen;23 jaar of ouder;Totaal vavo;2014/'15;90
369;Mannen;23 jaar of ouder;Totaal vavo;2015/'16;110
370;Mannen;23 jaar of ouder;Totaal vavo;2016/'17;90
371;Mannen;23 jaar of ouder;Totaal vavo;2017/'18;100
372;Mannen;23 jaar of ouder;Totaal vavo;2018/'19;100
373;Mannen;23 jaar of ouder;Totaal vavo;2019/'20;70
374;Mannen;23 jaar of ouder;Totaal vavo;2020/'21;80
375;Mannen;23 jaar of ouder;Totaal vavo;2021/'22;80
376;Mannen;23 jaar of ouder;Totaal vavo;2022/'23;60
377;Mannen;23 jaar of ouder;Totaal vavo;2023/'24;50
378;Mannen;23 jaar of ouder;Vavo vmbo-t;2006/'07;20
379;Mannen;23 jaar of ouder;Vavo vmbo-t;2007/'08;30
380;Mannen;23 jaar of ouder;Vavo vmbo-t;2008/'09;20
381;Mannen;23 jaar of ouder;Vavo vmbo-t;2009/'10;10
382;Mannen;23 jaar of ouder;Vavo vmbo-t;2010/'11;30
383;Mannen;23 jaar of ouder;Vavo vmbo-t;2011/'12;30
384;Mannen;23 jaar of ouder;Vavo vmbo-t;2012/'13;40
385;Mannen;23 jaar of ouder;Vavo vmbo-t;2013/'14;30
386;Mannen;23 jaar of ouder;Vavo vmbo-t;2014/'15;30
387;Mannen;23 jaar of ouder;Vavo vmbo-t;2015/'16;40
388;Mannen;23 jaar of ouder;Vavo vmbo-t;2016/'17;20
389;Mannen;23 jaar of ouder;Vavo vmbo-t;2017/'18;30
390;Mannen;23 jaar of ouder;Vavo vmbo-t;2018/'19;20
391;Mannen;23 jaar of ouder;Vavo vmbo-t;2019/'20;20
392;Mannen;23 jaar of ouder;Vavo vmbo-t;2020/'21;20
393;Mannen;23 jaar of ouder;Vavo vmbo-t;2021/'22;10
394;Mannen;23 jaar of ouder;Vavo vmbo-t;2022/'23;20
395;Mannen;23 jaar of ouder;Vavo vmbo-t;2023/'24;10
396;Mannen;23 jaar of ouder;Vavo havo;2006/'07;30
397;Mannen;23 jaar of ouder;Vavo havo;2007/'08;40
398;Mannen;23 jaar of ouder;Vavo havo;2008/'09;30
399;Mannen;23 jaar of ouder;Vavo havo;2009/'10;50
400;Mannen;23 jaar of ouder;Vavo havo;2010/'11;50
401;Mannen;23 jaar of ouder;Vavo havo;2011/'12;40
402;Mannen;23 jaar of ouder;Vavo havo;2012/'13;40
403;Mannen;23 jaar of ouder;Vavo havo;2013/'14;30
404;Mannen;23 jaar of ouder;Vavo havo;2014/'15;50
405;Mannen;23 jaar of ouder;Vavo havo;2015/'16;60
406;Mannen;23 jaar of ouder;Vavo havo;2016/'17;50
407;Mannen;23 jaar of ouder;Vavo havo;2017/'18;50
408;Mannen;23 jaar of ouder;Vavo havo;2018/'19;70
409;Mannen;23 jaar of ouder;Vavo havo;2019/'20;40
410;Mannen;23 jaar of ouder;Vavo havo;2020/'21;40
411;Mannen;23 jaar of ouder;Vavo havo;2021/'22;50
412;Mannen;23 jaar of ouder;Vavo havo;2022/'23;30
413;Mannen;23 jaar of ouder;Vavo havo;2023/'24;30
414;Mannen;23 jaar of ouder;Vavo vwo;2006/'07;0
415;Mannen;23 jaar of ouder;Vavo vwo;2007/'08;0
416;Mannen;23 jaar of ouder;Vavo vwo;2008/'09;10
417;Mannen;23 jaar of ouder;Vavo vwo;2009/'10;10
418;Mannen;23 jaar of ouder;Vavo vwo;2010/'11;10
419;Mannen;23 jaar of ouder;Vavo vwo;2011/'12;10
420;Mannen;23 jaar of ouder;Vavo vwo;2012/'13;10
421;Mannen;23 jaar of ouder;Vavo vwo;2013/'14;10
422;Mannen;23 jaar of ouder;Vavo vwo;2014/'15;10
423;Mannen;23 jaar of ouder;Vavo vwo;2015/'16;10
424;Mannen;23 jaar of ouder;Vavo vwo;2016/'17;10
425;Mannen;23 jaar of ouder;Vavo vwo;2017/'18;20
426;Mannen;23 jaar of ouder;Vavo vwo;2018/'19;10
427;Mannen;23 jaar of ouder;Vavo vwo;2019/'20;10
428;Mannen;23 jaar of ouder;Vavo vwo;2020/'21;10
429;Mannen;23 jaar of ouder;Vavo vwo;2021/'22;10
430;Mannen;23 jaar of ouder;Vavo vwo;2022/'23;10
431;Mannen;23 jaar of ouder;Vavo vwo;2023/'24;10
432;Vrouwen;Totaal leeftijd;Totaal vavo;2006/'07;2050
433;Vrouwen;Totaal leeftijd;Totaal vavo;2007/'08;2560
434;Vrouwen;Totaal leeftijd;Totaal vavo;2008/'09;3340
435;Vrouwen;Totaal leeftijd;Totaal vavo;2009/'10;3700
436;Vrouwen;Totaal leeftijd;Totaal vavo;2010/'11;4310
437;Vrouwen;Totaal leeftijd;Totaal vavo;2011/'12;3810
438;Vrouwen;Totaal leeftijd;Totaal vavo;2012/'13;4500
439;Vrouwen;Totaal leeftijd;Totaal vavo;2013/'14;3810
440;Vrouwen;Totaal leeftijd;Totaal vavo;2014/'15;3860
441;Vrouwen;Totaal leeftijd;Totaal vavo;2015/'16;3790
442;Vrouwen;Totaal leeftijd;Totaal vavo;2016/'17;3900
443;Vrouwen;Totaal leeftijd;Totaal vavo;2017/'18;4280
444;Vrouwen;Totaal leeftijd;Totaal vavo;2018/'19;4260
445;Vrouwen;Totaal leeftijd;Totaal vavo;2019/'20;4450
446;Vrouwen;Totaal leeftijd;Totaal vavo;2020/'21;1770
447;Vrouwen;Totaal leeftijd;Totaal vavo;2021/'22;2850
448;Vrouwen;Totaal leeftijd;Totaal vavo;2022/'23;2780
449;Vrouwen;Totaal leeftijd;Totaal vavo;2023/'24;4740
450;Vrouwen;Totaal leeftijd;Vavo vmbo-t;2006/'07;400
451;Vrouwen;Totaal leeftijd;Vavo vmbo-t;2007/'08;500
452;Vrouwen;Totaal leeftijd;Vavo vmbo-t;2008/'09;460
453;Vrouwen;Totaal leeftijd;Vavo vmbo-t;2009/'10;480
454;Vrouwen;Totaal leeftijd;Vavo vmbo-t;2010/'11;540
455;Vrouwen;Totaal leeftijd;Vavo vmbo-t;2011/'12;450
456;Vrouwen;Totaal leeftijd;Vavo vmbo-t;2012/'13;610
457;Vrouwen;Totaal leeftijd;Vavo vmbo-t;2013/'14;640
458;Vrouwen;Totaal leeftijd;Vavo vmbo-t;2014/'15;620
459;Vrouwen;Totaal leeftijd;Vavo vmbo-t;2015/'16;570
460;Vrouwen;Totaal leeftijd;Vavo vmbo-t;2016/'17;570
461;Vrouwen;Totaal leeftijd;Vavo vmbo-t;2017/'18;690
462;Vrouwen;Totaal leeftijd;Vavo vmbo-t;2018/'19;660
463;Vrouwen;Totaal leeftijd;Vavo vmbo-t;2019/'20;640
464;Vrouwen;Totaal leeftijd;Vavo vmbo-t;2020/'21;290
465;Vrouwen;Totaal leeftijd;Vavo vmbo-t;2021/'22;320
466;Vrouwen;Totaal leeftijd;Vavo vmbo-t;2022/'23;280
467;Vrouwen;Totaal leeftijd;Vavo vmbo-t;2023/'24;570
468;Vrouwen;Totaal leeftijd;Vavo havo;2006/'07;1060
469;Vrouwen;Totaal leeftijd;Vavo havo;2007/'08;1310
470;Vrouwen;Totaal leeftijd;Vavo havo;2008/'09;1990
471;Vrouwen;Totaal leeftijd;Vavo havo;2009/'10;1910
472;Vrouwen;Totaal leeftijd;Vavo havo;2010/'11;2480
473;Vrouwen;Totaal leeftijd;Vavo havo;2011/'12;2260
474;Vrouwen;Totaal leeftijd;Vavo havo;2012/'13;2410
475;Vrouwen;Totaal leeftijd;Vavo havo;2013/'14;2180
476;Vrouwen;Totaal leeftijd;Vavo havo;2014/'15;2080
477;Vrouwen;Totaal leeftijd;Vavo havo;2015/'16;2180
478;Vrouwen;Totaal leeftijd;Vavo havo;2016/'17;2200
479;Vrouwen;Totaal leeftijd;Vavo havo;2017/'18;2310
480;Vrouwen;Totaal leeftijd;Vavo havo;2018/'19;2400
481;Vrouwen;Totaal leeftijd;Vavo havo;2019/'20;2340
482;Vrouwen;Totaal leeftijd;Vavo havo;2020/'21;1060
483;Vrouwen;Totaal leeftijd;Vavo havo;2021/'22;1610
484;Vrouwen;Totaal leeftijd;Vavo havo;2022/'23;1580
485;Vrouwen;Totaal leeftijd;Vavo havo;2023/'24;2650
486;Vrouwen;Totaal leeftijd;Vavo vwo;2006/'07;580
487;Vrouwen;Totaal leeftijd;Vavo vwo;2007/'08;750
488;Vrouwen;Totaal leeftijd;Vavo vwo;2008/'09;890
489;Vrouwen;Totaal leeftijd;Vavo vwo;2009/'10;1320
490;Vrouwen;Totaal leeftijd;Vavo vwo;2010/'11;1290
491;Vrouwen;Totaal leeftijd;Vavo vwo;2011/'12;1100
492;Vrouwen;Totaal leeftijd;Vavo vwo;2012/'13;1480
493;Vrouwen;Totaal leeftijd;Vavo vwo;2013/'14;980
494;Vrouwen;Totaal leeftijd;Vavo vwo;2014/'15;1160
495;Vrouwen;Totaal leeftijd;Vavo vwo;2015/'16;1040
496;Vrouwen;Totaal leeftijd;Vavo vwo;2016/'17;1130
497;Vrouwen;Totaal leeftijd;Vavo vwo;2017/'18;1280
498;Vrouwen;Totaal leeftijd;Vavo vwo;2018/'19;1200
499;Vrouwen;Totaal leeftijd;Vavo vwo;2019/'20;1480
500;Vrouwen;Totaal leeftijd;Vavo vwo;2020/'21;420
501;Vrouwen;Totaal leeftijd;Vavo vwo;2021/'22;920
502;Vrouwen;Totaal leeftijd;Vavo vwo;2022/'23;920
503;Vrouwen;Totaal leeftijd;Vavo vwo;2023/'24;1520
504;Vrouwen;Jonger dan 23 jaar;Totaal vavo;2006/'07;2000
505;Vrouwen;Jonger dan 23 jaar;Totaal vavo;2007/'08;2510
506;Vrouwen;Jonger dan 23 jaar;Totaal vavo;2008/'09;3290
507;Vrouwen;Jonger dan 23 jaar;Totaal vavo;2009/'10;3630
508;Vrouwen;Jonger dan 23 jaar;Totaal vavo;2010/'11;4240
509;Vrouwen;Jonger dan 23 jaar;Totaal vavo;2011/'12;3750
510;Vrouwen;Jonger dan 23 jaar;Totaal vavo;2012/'13;4440
511;Vrouwen;Jonger dan 23 jaar;Totaal vavo;2013/'14;3760
512;Vrouwen;Jonger dan 23 jaar;Totaal vavo;2014/'15;3800
513;Vrouwen;Jonger dan 23 jaar;Totaal vavo;2015/'16;3710
514;Vrouwen;Jonger dan 23 jaar;Totaal vavo;2016/'17;3840
515;Vrouwen;Jonger dan 23 jaar;Totaal vavo;2017/'18;4200
516;Vrouwen;Jonger dan 23 jaar;Totaal vavo;2018/'19;4200
517;Vrouwen;Jonger dan 23 jaar;Totaal vavo;2019/'20;4380
518;Vrouwen;Jonger dan 23 jaar;Totaal vavo;2020/'21;1710
519;Vrouwen;Jonger dan 23 jaar;Totaal vavo;2021/'22;2780
520;Vrouwen;Jonger dan 23 jaar;Totaal vavo;2022/'23;2740
521;Vrouwen;Jonger dan 23 jaar;Totaal vavo;2023/'24;4710
522;Vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2006/'07;380
523;Vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2007/'08;480
524;Vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2008/'09;440
525;Vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2009/'10;450
526;Vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2010/'11;520
527;Vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2011/'12;430
528;Vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2012/'13;580
529;Vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2013/'14;610
530;Vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2014/'15;590
531;Vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2015/'16;540
532;Vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2016/'17;550
533;Vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2017/'18;660
534;Vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2018/'19;640
535;Vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2019/'20;620
536;Vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2020/'21;280
537;Vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2021/'22;300
538;Vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2022/'23;270
539;Vrouwen;Jonger dan 23 jaar;Vavo vmbo-t;2023/'24;560
540;Vrouwen;Jonger dan 23 jaar;Vavo havo;2006/'07;1050
541;Vrouwen;Jonger dan 23 jaar;Vavo havo;2007/'08;1280
542;Vrouwen;Jonger dan 23 jaar;Vavo havo;2008/'09;1970
543;Vrouwen;Jonger dan 23 jaar;Vavo havo;2009/'10;1880
544;Vrouwen;Jonger dan 23 jaar;Vavo havo;2010/'11;2440
545;Vrouwen;Jonger dan 23 jaar;Vavo havo;2011/'12;2230
546;Vrouwen;Jonger dan 23 jaar;Vavo havo;2012/'13;2370
547;Vrouwen;Jonger dan 23 jaar;Vavo havo;2013/'14;2170
548;Vrouwen;Jonger dan 23 jaar;Vavo havo;2014/'15;2050
549;Vrouwen;Jonger dan 23 jaar;Vavo havo;2015/'16;2140
550;Vrouwen;Jonger dan 23 jaar;Vavo havo;2016/'17;2170
551;Vrouwen;Jonger dan 23 jaar;Vavo havo;2017/'18;2280
552;Vrouwen;Jonger dan 23 jaar;Vavo havo;2018/'19;2370
553;Vrouwen;Jonger dan 23 jaar;Vavo havo;2019/'20;2300
554;Vrouwen;Jonger dan 23 jaar;Vavo havo;2020/'21;1030
555;Vrouwen;Jonger dan 23 jaar;Vavo havo;2021/'22;1580
556;Vrouwen;Jonger dan 23 jaar;Vavo havo;2022/'23;1560
557;Vrouwen;Jonger dan 23 jaar;Vavo havo;2023/'24;2630
558;Vrouwen;Jonger dan 23 jaar;Vavo vwo;2006/'07;580
559;Vrouwen;Jonger dan 23 jaar;Vavo vwo;2007/'08;750
560;Vrouwen;Jonger dan 23 jaar;Vavo vwo;2008/'09;890
561;Vrouwen;Jonger dan 23 jaar;Vavo vwo;2009/'10;1300
562;Vrouwen;Jonger dan 23 jaar;Vavo vwo;2010/'11;1270
563;Vrouwen;Jonger dan 23 jaar;Vavo vwo;2011/'12;1100
564;Vrouwen;Jonger dan 23 jaar;Vavo vwo;2012/'13;1480
565;Vrouwen;Jonger dan 23 jaar;Vavo vwo;2013/'14;980
566;Vrouwen;Jonger dan 23 jaar;Vavo vwo;2014/'15;1160
567;Vrouwen;Jonger dan 23 jaar;Vavo vwo;2015/'16;1030
568;Vrouwen;Jonger dan 23 jaar;Vavo vwo;2016/'17;1120
569;Vrouwen;Jonger dan 23 jaar;Vavo vwo;2017/'18;1270
570;Vrouwen;Jonger dan 23 jaar;Vavo vwo;2018/'19;1190
571;Vrouwen;Jonger dan 23 jaar;Vavo vwo;2019/'20;1460
572;Vrouwen;Jonger dan 23 jaar;Vavo vwo;2020/'21;400
573;Vrouwen;Jonger dan 23 jaar;Vavo vwo;2021/'22;900
574;Vrouwen;Jonger dan 23 jaar;Vavo vwo;2022/'23;910
575;Vrouwen;Jonger dan 23 jaar;Vavo vwo;2023/'24;1520
576;Vrouwen;23 jaar of ouder;Totaal vavo;2006/'07;50
577;Vrouwen;23 jaar of ouder;Totaal vavo;2007/'08;50
578;Vrouwen;23 jaar of ouder;Totaal vavo;2008/'09;50
579;Vrouwen;23 jaar of ouder;Totaal vavo;2009/'10;80
580;Vrouwen;23 jaar of ouder;Totaal vavo;2010/'11;70
581;Vrouwen;23 jaar of ouder;Totaal vavo;2011/'12;60
582;Vrouwen;23 jaar of ouder;Totaal vavo;2012/'13;60
583;Vrouwen;23 jaar of ouder;Totaal vavo;2013/'14;40
584;Vrouwen;23 jaar of ouder;Totaal vavo;2014/'15;60
585;Vrouwen;23 jaar of ouder;Totaal vavo;2015/'16;70
586;Vrouwen;23 jaar of ouder;Totaal vavo;2016/'17;70
587;Vrouwen;23 jaar of ouder;Totaal vavo;2017/'18;80
588;Vrouwen;23 jaar of ouder;Totaal vavo;2018/'19;60
589;Vrouwen;23 jaar of ouder;Totaal vavo;2019/'20;70
590;Vrouwen;23 jaar of ouder;Totaal vavo;2020/'21;60
591;Vrouwen;23 jaar of ouder;Totaal vavo;2021/'22;70
592;Vrouwen;23 jaar of ouder;Totaal vavo;2022/'23;40
593;Vrouwen;23 jaar of ouder;Totaal vavo;2023/'24;40
594;Vrouwen;23 jaar of ouder;Vavo vmbo-t;2006/'07;20
595;Vrouwen;23 jaar of ouder;Vavo vmbo-t;2007/'08;20
596;Vrouwen;23 jaar of ouder;Vavo vmbo-t;2008/'09;20
597;Vrouwen;23 jaar of ouder;Vavo vmbo-t;2009/'10;30
598;Vrouwen;23 jaar of ouder;Vavo vmbo-t;2010/'11;20
599;Vrouwen;23 jaar of ouder;Vavo vmbo-t;2011/'12;20
600;Vrouwen;23 jaar of ouder;Vavo vmbo-t;2012/'13;30
601;Vrouwen;23 jaar of ouder;Vavo vmbo-t;2013/'14;30
602;Vrouwen;23 jaar of ouder;Vavo vmbo-t;2014/'15;30
603;Vrouwen;23 jaar of ouder;Vavo vmbo-t;2015/'16;30
604;Vrouwen;23 jaar of ouder;Vavo vmbo-t;2016/'17;20
605;Vrouwen;23 jaar of ouder;Vavo vmbo-t;2017/'18;30
606;Vrouwen;23 jaar of ouder;Vavo vmbo-t;2018/'19;20
607;Vrouwen;23 jaar of ouder;Vavo vmbo-t;2019/'20;20
608;Vrouwen;23 jaar of ouder;Vavo vmbo-t;2020/'21;10
609;Vrouwen;23 jaar of ouder;Vavo vmbo-t;2021/'22;20
610;Vrouwen;23 jaar of ouder;Vavo vmbo-t;2022/'23;10
611;Vrouwen;23 jaar of ouder;Vavo vmbo-t;2023/'24;10
612;Vrouwen;23 jaar of ouder;Vavo havo;2006/'07;20
613;Vrouwen;23 jaar of ouder;Vavo havo;2007/'08;30
614;Vrouwen;23 jaar of ouder;Vavo havo;2008/'09;30
615;Vrouwen;23 jaar of ouder;Vavo havo;2009/'10;30
616;Vrouwen;23 jaar of ouder;Vavo havo;2010/'11;40
617;Vrouwen;23 jaar of ouder;Vavo havo;2011/'12;30
618;Vrouwen;23 jaar of ouder;Vavo havo;2012/'13;40
619;Vrouwen;23 jaar of ouder;Vavo havo;2013/'14;10
620;Vrouwen;23 jaar of ouder;Vavo havo;2014/'15;30
621;Vrouwen;23 jaar of ouder;Vavo havo;2015/'16;40
622;Vrouwen;23 jaar of ouder;Vavo havo;2016/'17;30
623;Vrouwen;23 jaar of ouder;Vavo havo;2017/'18;40
624;Vrouwen;23 jaar of ouder;Vavo havo;2018/'19;30
625;Vrouwen;23 jaar of ouder;Vavo havo;2019/'20;30
626;Vrouwen;23 jaar of ouder;Vavo havo;2020/'21;30
627;Vrouwen;23 jaar of ouder;Vavo havo;2021/'22;30
628;Vrouwen;23 jaar of ouder;Vavo havo;2022/'23;20
629;Vrouwen;23 jaar of ouder;Vavo havo;2023/'24;20
630;Vrouwen;23 jaar of ouder;Vavo vwo;2006/'07;10
631;Vrouwen;23 jaar of ouder;Vavo vwo;2007/'08;10
632;Vrouwen;23 jaar of ouder;Vavo vwo;2008/'09;10
633;Vrouwen;23 jaar of ouder;Vavo vwo;2009/'10;20
634;Vrouwen;23 jaar of ouder;Vavo vwo;2010/'11;10
635;Vrouwen;23 jaar of ouder;Vavo vwo;2011/'12;10
636;Vrouwen;23 jaar of ouder;Vavo vwo;2012/'13;0
637;Vrouwen;23 jaar of ouder;Vavo vwo;2013/'14;10
638;Vrouwen;23 jaar of ouder;Vavo vwo;2014/'15;10
639;Vrouwen;23 jaar of ouder;Vavo vwo;2015/'16;10
640;Vrouwen;23 jaar of ouder;Vavo vwo;2016/'17;10
641;Vrouwen;23 jaar of ouder;Vavo vwo;2017/'18;10
642;Vrouwen;23 jaar of ouder;Vavo vwo;2018/'19;10
643;Vrouwen;23 jaar of ouder;Vavo vwo;2019/'20;20
644;Vrouwen;23 jaar of ouder;Vavo vwo;2020/'21;10
645;Vrouwen;23 jaar of ouder;Vavo vwo;2021/'22;20
646;Vrouwen;23 jaar of ouder;Vavo vwo;2022/'23;10
647;Vrouwen;23 jaar of ouder;Vavo vwo;2023/'24;10
