ID;InstitutioneleBeleggers;Perioden;TotaalBeleggingen_1;TotaalLanglopendeBeleggingen_2;TotaalZakelijkeWaarden_3;DirectVastgoed_4;TotaalAandelenEnDeelnemingen_5;BeursgenoteerdeAandelen_6;NietBeursgenoteerdeAandelen_7;AandelenInBeleggingsfondsen_8;TotaalVastrentendeWaarden_9;Hypotheken_10;LanglopendeSchuldbewijzen_11;FinancieleDerivaten_12;LanglopendeLeningen_13;OverigVastrentendeWaarden_14;TotaalKortlopendeBeleggingen_15;KortlopendeLeningen_16;KortlopendeSchuldbewijzen_17;OverigeDepositoS_18;ChartaalGeldEnGiraleDepositoS_19;OverigeKortlopendeBeleggingen_20
181;Verzekeringsinstellingen;1988;74912;72901;16565;6512;10053;5943.0;2532.0;1578.0;56336;14746.0;9560;0;32029;;2011;39;4;1206;763;
182;Verzekeringsinstellingen;1989;83732;81247;18937;6770;12167;7610.0;2663.0;1894.0;62309;15873.0;10362;0;36074;;2485;22;0;1685;778;
183;Verzekeringsinstellingen;1990;89315;85559;19061;7273;11788;7004.0;3056.0;1728.0;66498;16499.0;12421;0;37579;;3756;25;1;2834;896;
184;Verzekeringsinstellingen;1991 voor breuk;100548;95965;22325;7909;14416;8723.0;3721.0;1971.0;73639;17930.0;16445;0;39265;;4584;41;4;3515;1024;
185;Verzekeringsinstellingen;1991 na breuk;107547;101502;20614;8034;12579;8839.0;1770.0;1971.0;80889;17999.0;16956;0;45934;;6045;708;115;4134;1087;
186;Verzekeringsinstellingen;1992;118983;111943;22719;8517;14202;10165.0;1773.0;2264.0;89224;18536.0;23052;0;47637;;7041;1292;127;4720;902;
187;Verzekeringsinstellingen;1993;136219;127098;29377;8677;20700;16637.0;1351.0;2711.0;97720;17791.0;29961;0;49968;;9121;1983;177;5915;1046;
188;Verzekeringsinstellingen;1994;143109;133783;30208;8484;21724;17828.0;1038.0;2858.0;103575;19748.0;31959;0;51868;;9326;1838;209;6134;1145;
189;Verzekeringsinstellingen;1995;163011;151865;35099;8891;26208;22024.0;900.0;3284.0;116765;20017.0;42816;34;53898;;11146;2656;175;6749;1566;
190;Verzekeringsinstellingen;1996;182510;169429;44179;8750;35429;30054.0;1172.0;4203.0;125250;20853.0;52631;41;51724;;13081;3503;272;7805;1500;
191;Verzekeringsinstellingen;1997;207594;194570;57622;9588;48034;39875.0;2584.0;5575.0;136948;21897.0;65688;49;49315;;13024;2839;270;8204;1711;
192;Verzekeringsinstellingen;1998;236820;223883;74324;10411;63913;51505.0;3458.0;8951.0;149559;25133.0;75004;59;49364;;12937;2476;145;8393;1923;
193;Verzekeringsinstellingen;1999;258581;243466;91986;11283;80703;66072.0;4622.0;10008.0;151480;27847.0;75610;72;47951;;15115;3077;166;9519;2354;
194;Verzekeringsinstellingen;2000;266268;246507;94019;13553;80467;64619.0;5667.0;10179.0;152488;30905.0;77961;87;43535;;19761;5405;141;10710;3505;
195;Verzekeringsinstellingen;2001;273833;253579;92777;14895;77883;61916.0;5569.0;10398.0;160801;32042.0;87850;104;40805;;20254;4923;289;11343;3699;
196;Verzekeringsinstellingen;2002;261852;238044;81177;15163;66014;50357.0;4428.0;11229.0;156867;31452.0;88459;209;36747;;23808;4949;288;12713;5858;
197;Verzekeringsinstellingen;2003;279045;254686;88228;13857;74371;54377.0;5673.0;14320.0;166458;28828.0;101041;50;36539;;24359;5780;295;12391;5893;
198;Verzekeringsinstellingen;2004;299388;277153;95723;14412;81311;58722.0;6701.0;15888.0;181430;25743.0;124327;490;30870;;22235;4059;15;14125;4036;
199;Verzekeringsinstellingen;2005 voor breuk;340526;315032;122300;13202;109098;78654.0;8043.0;22401.0;192732;25582.0;137670;2218;27262;;25494;7244;0;13041;5209;
200;Verzekeringsinstellingen;2005 na breuk;340526;315032;122300;13202;109098;69158.0;8043.0;31897.0;192732;25582.0;137670;2218;27262;;25494;7244;0;13041;5209;
201;Verzekeringsinstellingen;2006;347653;325233;136742;14217;122525;74334.0;10376.0;37815.0;188491;23542.0;134744;2008;28197;;22420;3740;1217;11899;5564;
202;Verzekeringsinstellingen;2007;360441;335166;140639;12719;127920;85020.0;8981.0;33919.0;194527;21222.0;146680;729;25896;;25275;8593;466;10478;5738;
203;Verzekeringsinstellingen;2008 voor breuk;353525;312944;108729;12918;95811;63573.0;6376.0;25862.0;204215;21447.0;150039;8267;24462;;40581;14653;1774;14878;9276;
204;Verzekeringsinstellingen;2008 na breuk;327363;292271;81867;8605;73262;17622.0;18308.0;37332.0;210404;;148237;8782;53385;;35092;15147;3295;4469;12181;
205;Verzekeringsinstellingen;2009;337076;306949;87552;8745;78807;18437.0;17229.0;43141.0;219397;;160950;4231;54216;;30127;13027;3062;5369;8669;
206;Verzekeringsinstellingen;2010;365236;336793;105466;7370;98096;21420.0;18160.0;58516.0;231327;;168720;6061;56546;;28443;11527;2172;4943;9801;
207;Verzekeringsinstellingen;2011;387426;355401;103731;6244;97487;18277.0;18122.0;61088.0;251670;;176128;13866;61676;;32025;12906;1829;5286;12004;
208;Verzekeringsinstellingen;2012;410838;381878;108980;5958;103022;18758.0;18972.0;65292.0;272898;;196143;13126;63629;;28960;7083;4371;4366;13140;
209;Verzekeringsinstellingen;2013;395010;380069;122573;5386;117187;17295.0;17371.0;82521.0;257496;;178648;6536;72312;;14941;5252;1786;3480;4423;
210;Verzekeringsinstellingen;2014;446277;423270;129446;5166;124280;10947.0;18133.0;95200.0;293824;;199590;16699;77535;;23007;5673;4534;2993;9807;
211;Verzekeringsinstellingen;2015;431813;409819;123050;4637;118413;11443.0;18510.0;88460.0;286769;;192178;10045;84546;;21994;6365;4345;2253;9031;
212;Verzekeringsinstellingen;2016;445993;415435;119479;4905;114574;11856.0;18833.0;83885.0;295956;;197014;11980;86962;;30558;8709;4613;5041;12195;
213;Beleggingsfondsen m.u.v.geldmarktfondsen;1950;91;87;86;0;86;85.0;1.0;0.0;1;0.0;1;0;0;0.0;5;0;0;4;0;0.0
214;Beleggingsfondsen m.u.v.geldmarktfondsen;1951;125;119;118;0;118;117.0;1.0;0.0;1;0.0;1;0;0;0.0;6;0;0;5;1;0.0
215;Beleggingsfondsen m.u.v.geldmarktfondsen;1952;133;127;125;0;125;124.0;1.0;0.0;1;0.0;1;0;0;0.0;7;0;0;6;1;0.0
216;Beleggingsfondsen m.u.v.geldmarktfondsen;1953;154;147;145;0;145;144.0;1.0;0.0;1;0.0;1;0;0;0.0;8;0;0;7;1;0.0
217;Beleggingsfondsen m.u.v.geldmarktfondsen;1954;209;201;199;0;199;197.0;2.0;0.0;2;0.0;2;0;0;0.0;8;0;0;7;1;0.0
218;Beleggingsfondsen m.u.v.geldmarktfondsen;1955;253;241;238;0;238;236.0;2.0;0.0;3;0.0;3;0;0;0.0;12;0;0;11;1;0.0
219;Beleggingsfondsen m.u.v.geldmarktfondsen;1956;270;253;250;0;250;248.0;2.0;0.0;3;0.0;3;0;0;0.0;16;0;0;15;2;0.0
220;Beleggingsfondsen m.u.v.geldmarktfondsen;1957;257;237;234;0;234;232.0;2.0;0.0;3;0.0;3;0;0;0.0;20;0;0;18;2;0.0
221;Beleggingsfondsen m.u.v.geldmarktfondsen;1958;383;360;357;0;357;353.0;4.0;0.0;4;0.0;4;0;0;0.0;23;0;0;21;2;0.0
222;Beleggingsfondsen m.u.v.geldmarktfondsen;1959;578;544;538;0;538;532.0;5.0;0.0;6;0.0;6;0;0;0.0;34;0;0;31;3;0.0
223;Beleggingsfondsen m.u.v.geldmarktfondsen;1960;684;625;618;1;617;611.0;6.0;0.0;7;0.0;7;0;0;0.0;59;0;0;53;6;0.0
224;Beleggingsfondsen m.u.v.geldmarktfondsen;1961;878;832;829;1;828;821.0;6.0;0.0;4;0.0;4;0;0;0.0;45;0;0;41;5;0.0
225;Beleggingsfondsen m.u.v.geldmarktfondsen;1962;891;847;843;4;839;832.0;7.0;0.0;5;0.0;5;0;0;0.0;44;0;0;39;4;0.0
226;Beleggingsfondsen m.u.v.geldmarktfondsen;1963;1126;1064;1058;5;1052;1052.0;0.0;0.0;6;1.0;5;0;0;0.0;63;0;0;56;6;0.0
227;Beleggingsfondsen m.u.v.geldmarktfondsen;1964;1377;1295;1289;12;1276;1276.0;0.0;0.0;6;2.0;5;0;0;0.0;82;0;0;74;8;0.0
228;Beleggingsfondsen m.u.v.geldmarktfondsen;1965;1462;1350;1343;18;1325;1324.0;1.0;0.0;7;2.0;5;0;0;0.0;113;0;0;101;11;0.0
229;Beleggingsfondsen m.u.v.geldmarktfondsen;1966;1397;1236;1227;25;1202;1200.0;2.0;0.0;9;2.0;7;0;0;0.0;162;0;0;145;16;0.0
230;Beleggingsfondsen m.u.v.geldmarktfondsen;1967;1676;1582;1571;30;1540;1540.0;0.0;0.0;12;2.0;10;0;0;0.0;94;0;0;85;9;0.0
231;Beleggingsfondsen m.u.v.geldmarktfondsen;1968;2374;2238;2194;87;2107;2101.0;6.0;0.0;43;2.0;41;0;0;0.0;137;0;0;123;14;0.0
232;Beleggingsfondsen m.u.v.geldmarktfondsen;1969;2665;2389;2340;100;2240;2235.0;5.0;0.0;49;2.0;47;0;0;0.0;276;0;0;249;28;0.0
233;Beleggingsfondsen m.u.v.geldmarktfondsen;1970;2625;2350;2238;109;2129;2117.0;12.0;0.0;111;2.0;109;0;0;0.0;275;0;0;247;27;0.0
234;Beleggingsfondsen m.u.v.geldmarktfondsen;1971;3082;2936;2857;145;2711;2677.0;34.0;0.0;79;2.0;78;0;0;0.0;146;0;0;132;15;0.0
235;Beleggingsfondsen m.u.v.geldmarktfondsen;1972;4108;3919;3772;247;3525;3487.0;38.0;0.0;147;2.0;145;0;0;0.0;189;0;0;170;19;0.0
236;Beleggingsfondsen m.u.v.geldmarktfondsen;1973;3789;3525;3353;270;3083;3046.0;37.0;0.0;172;2.0;170;0;0;0.0;263;0;0;237;26;0.0
237;Beleggingsfondsen m.u.v.geldmarktfondsen;1974;2969;2860;2666;281;2385;2349.0;35.0;0.0;194;2.0;192;0;0;0.0;109;0;0;98;11;0.0
238;Beleggingsfondsen m.u.v.geldmarktfondsen;1975;4235;4079;3824;351;3473;3432.0;41.0;0.0;255;2.0;245;0;8;0.0;155;0;0;140;16;0.0
239;Beleggingsfondsen m.u.v.geldmarktfondsen;1976;4929;4675;4209;563;3646;3605.0;41.0;0.0;466;3.0;444;0;20;0.0;254;0;0;229;25;0.0
240;Beleggingsfondsen m.u.v.geldmarktfondsen;1977;5508;4996;3899;721;3179;3129.0;49.0;0.0;1096;3.0;1047;0;47;0.0;513;0;0;461;51;0.0
241;Beleggingsfondsen m.u.v.geldmarktfondsen;1978;6140;5595;3991;817;3174;2994.0;180.0;0.0;1604;3.0;1529;0;72;0.0;545;0;0;490;54;0.0
242;Beleggingsfondsen m.u.v.geldmarktfondsen;1979;5999;5405;4384;1216;3168;3052.0;116.0;0.0;1021;3.0;933;0;85;0.0;594;0;0;535;59;0.0
243;Beleggingsfondsen m.u.v.geldmarktfondsen;1980 voor breuk;6691;6260;5106;1512;3595;3504.0;91.0;0.0;1154;3.0;1057;0;93;0.0;431;0;0;388;43;0.0
244;Beleggingsfondsen m.u.v.geldmarktfondsen;1980 na breuk;6691;6260;5106;1512;3595;3498.0;91.0;5.0;1154;3.0;1057;0;93;;431;0;0;379;52;
245;Beleggingsfondsen m.u.v.geldmarktfondsen;1981;7297;6715;5503;1703;3800;3754.0;40.0;5.0;1212;40.0;1069;0;103;;582;0;0;512;70;
246;Beleggingsfondsen m.u.v.geldmarktfondsen;1982;8456;7664;5469;1782;3687;3656.0;29.0;3.0;2195;42.0;2001;0;152;;791;0;0;696;95;
247;Beleggingsfondsen m.u.v.geldmarktfondsen;1983;11487;10534;7640;2113;5527;5453.0;38.0;36.0;2894;90.0;2560;0;244;;953;5;0;848;100;
248;Beleggingsfondsen m.u.v.geldmarktfondsen;1984;12946;11603;8310;2495;5814;5742.0;42.0;30.0;3293;176.0;2814;0;303;;1343;6;0;1128;209;
249;Beleggingsfondsen m.u.v.geldmarktfondsen;1985;14782;13193;9158;2553;6605;6460.0;118.0;27.0;4035;310.0;3398;0;327;;1589;2;0;1338;249;
250;Beleggingsfondsen m.u.v.geldmarktfondsen;1986;16981;15437;11000;3191;7809;7663.0;124.0;22.0;4437;201.0;3865;0;371;;1544;6;0;1229;309;
251;Beleggingsfondsen m.u.v.geldmarktfondsen;1987;18105;15621;11327;4221;7106;6859.0;104.0;143.0;4294;134.0;3665;0;495;;2484;5;0;2263;216;
252;Beleggingsfondsen m.u.v.geldmarktfondsen;1988;24059;20099;14645;5515;9130;8698.0;112.0;321.0;5454;100.0;4795;0;559;;3959;45;0;3616;298;
253;Beleggingsfondsen m.u.v.geldmarktfondsen;1989;28136;25092;17784;6568;11216;10814.0;35.0;367.0;7308;81.0;6622;0;605;;3044;88;0;2441;515;
254;Beleggingsfondsen m.u.v.geldmarktfondsen;1990;24605;22388;15954;7002;8952;8579.0;28.0;346.0;6434;37.0;5890;-20;527;;2217;85;0;1616;516;
255;Beleggingsfondsen m.u.v.geldmarktfondsen;1991 voor breuk;27073;24673;16513;6841;9672;9170.0;200.0;302.0;8160;22.0;7519;-10;629;;2400;49;0;1809;542;
256;Beleggingsfondsen m.u.v.geldmarktfondsen;1991 na breuk;26326;24088;17617;7267;10349;10047.0;0.0;302.0;6471;0.0;5794;-10;687;;2238;0;0;1796;442;
257;Beleggingsfondsen m.u.v.geldmarktfondsen;1992;30055;25625;16516;6623;9893;9606.0;0.0;287.0;9109;68.0;8313;-16;744;;4431;0;123;3359;949;
258;Beleggingsfondsen m.u.v.geldmarktfondsen;1993;42986;35204;21845;7302;14543;14541.0;0.0;1.0;13359;96.0;12448;7;809;;7782;0;647;5423;1712;
259;Beleggingsfondsen m.u.v.geldmarktfondsen;1994;43373;34511;22759;8233;14526;14523.0;0.0;3.0;11753;83.0;10689;45;935;;8861;0;830;6084;1948;
260;Beleggingsfondsen m.u.v.geldmarktfondsen;1995;45840;36655;24275;8892;15383;15348.0;0.0;35.0;12381;78.0;10996;57;1250;;9185;0;1322;5583;2279;
261;Beleggingsfondsen m.u.v.geldmarktfondsen;1996;49802;42238;28953;10651;18302;18262.0;0.0;40.0;13285;95.0;11469;470;1251;;7564;0;1044;5271;1249;
262;Beleggingsfondsen m.u.v.geldmarktfondsen;1997;59628;51718;36500;12913;23587;22930.0;0.0;657.0;15218;211.0;11817;1994;1196;;7910;0;1036;5326;1549;
263;Beleggingsfondsen m.u.v.geldmarktfondsen;1998;63618;60523;44081;15018;29063;28032.0;0.0;1031.0;16442;344.0;11950;3247;901;;3095;0;556;1609;930;
264;Beleggingsfondsen m.u.v.geldmarktfondsen;1999;86746;80989;65038;18001;47037;46090.0;0.0;947.0;15951;308.0;10659;4027;956;;5757;0;638;3186;1933;
265;Beleggingsfondsen m.u.v.geldmarktfondsen;2000;102040;96952;81284;28750;52534;50689.0;0.0;1846.0;15668;320.0;10665;3777;906;;5088;0;276;2002;2809;
266;Beleggingsfondsen m.u.v.geldmarktfondsen;2001;99242;95462;75097;31104;43993;42831.0;0.0;1162.0;20365;368.0;12963;3419;3615;;3780;0;549;1872;1359;
267;Beleggingsfondsen m.u.v.geldmarktfondsen;2002;81041;77656;55579;23120;32459;31142.0;0.0;1317.0;22077;337.0;14290;2477;4973;;3385;0;566;1602;1217;
268;Beleggingsfondsen m.u.v.geldmarktfondsen;2003;87544;83375;59148;23200;35948;34508.0;0.0;1440.0;24227;303.0;16911;1867;5146;;4169;0;579;1826;1764;
269;Beleggingsfondsen m.u.v.geldmarktfondsen;2004;86450;83094;58031;21726;36305;33385.0;0.0;2920.0;25063;107.0;18106;1889;4961;;3356;0;431;1556;1369;
270;Beleggingsfondsen m.u.v.geldmarktfondsen;2005 voor breuk;93505;90479;65543;24493;41050;39512.0;0.0;1538.0;24936;223.0;16099;1527;7087;;3026;0;121;1428;1477;
271;Beleggingsfondsen m.u.v.geldmarktfondsen;2005 na breuk;93505;90479;65543;24493;41050;35312.0;0.0;5738.0;24936;223.0;16099;1527;7087;;3026;0;121;1428;1477;
272;Beleggingsfondsen m.u.v.geldmarktfondsen;2006;98762;96422;74244;27250;46994;29623.0;0.0;17371.0;22178;262.0;14375;469;7072;;2340;0;94;1053;1193;
273;Beleggingsfondsen m.u.v.geldmarktfondsen;2007;89872;87214;66534;19029;47505;27468.0;0.0;20037.0;20680;209.0;12343;642;7486;;2658;0;39;532;2087;
274;Beleggingsfondsen m.u.v.geldmarktfondsen;2008 voor breuk;67655;64816;44478;18593;25885;9583.0;599.0;15703.0;20338;198.0;12134;1506;6500;;2839;250;127;582;1880;
275;Beleggingsfondsen m.u.v.geldmarktfondsen;2008 na breuk;196140;189191;110808;26640;84168;41060.0;7070.0;36038.0;78383;;63833;1571;12979;;6949;2275;505;751;3418;
276;Beleggingsfondsen m.u.v.geldmarktfondsen;2009;451383;409074;242371;25028;217343;165446.0;6394.0;45503.0;166703;;153750;-896;13849;;42309;25331;655;3442;12881;
277;Beleggingsfondsen m.u.v.geldmarktfondsen;2010;487116;460209;288428;31128;257300;184651.0;6335.0;66314.0;171781;;155377;-692;17096;;26907;14622;799;2488;8998;
278;Beleggingsfondsen m.u.v.geldmarktfondsen;2011;505405;473979;295161;31895;263266;187699.0;8977.0;66590.0;178818;;168052;-529;11295;;31426;21556;1081;1727;7062;
279;Beleggingsfondsen m.u.v.geldmarktfondsen;2012;583681;545233;330632;31167;299465;219583.0;11493.0;68389.0;214601;;195699;2037;16865;;38448;26211;2417;1097;8723;
280;Beleggingsfondsen m.u.v.geldmarktfondsen;2013;632503;589994;361217;29671;331546;244351.0;12726.0;74469.0;228777;;209652;361;18764;;42509;31927;1387;1665;7530;
281;Beleggingsfondsen m.u.v.geldmarktfondsen;2014;740630;697740;441589;28359;413230;295468.0;18633.0;99129.0;256151;;232504;-267;23914;;42890;29105;1181;2483;10121;
282;Beleggingsfondsen m.u.v.geldmarktfondsen;2015;754850;712830;439877;30552;409325;282403.0;17406.0;109516.0;272953;;244401;705;27847;;42020;28166;1306;2337;10211;
283;Beleggingsfondsen m.u.v.geldmarktfondsen;2016;817116;773225;491678;31978;459700;321329.0;17243.0;121128.0;281547;;245124;-1560;37983;;43891;28546;4880;2259;8206;
