ID;TypeOfAccommodation;CountryOfResidence;Regions;Periods;Guests_1;OvernightStays_2
1624;Total overnight accommodation;All countries;Drenthe (PV);2015 October;150;527
1625;Total overnight accommodation;All countries;Drenthe (PV);2015 November;100;324
1626;Total overnight accommodation;All countries;Drenthe (PV);2015 December;89;323
1627;Total overnight accommodation;All countries;Drenthe (PV);2015 4th quarter;340;1174
1628;Total overnight accommodation;All countries;Drenthe (PV);2015;1628;6513
1629;Total overnight accommodation;All countries;Drenthe (PV);2016 January;73;251
1630;Total overnight accommodation;All countries;Drenthe (PV);2016 February;111;350
1631;Total overnight accommodation;All countries;Drenthe (PV);2016 March;111;374
1632;Total overnight accommodation;All countries;Drenthe (PV);2016 1st quarter;296;975
1633;Total overnight accommodation;All countries;Drenthe (PV);2016 April;133;431
1634;Total overnight accommodation;All countries;Drenthe (PV);2016 May;195;707
1635;Total overnight accommodation;All countries;Drenthe (PV);2016 June;159;608
1636;Total overnight accommodation;All countries;Drenthe (PV);2016 2nd quarter;487;1746
1637;Total overnight accommodation;All countries;Drenthe (PV);2016 July;177;872
1638;Total overnight accommodation;All countries;Drenthe (PV);2016 August;211;1181
1639;Total overnight accommodation;All countries;Drenthe (PV);2016 September;164;610
1640;Total overnight accommodation;All countries;Drenthe (PV);2016 3rd quarter;551;2663
1641;Total overnight accommodation;All countries;Drenthe (PV);2016 October;170;596
1642;Total overnight accommodation;All countries;Drenthe (PV);2016 November;106;332
1643;Total overnight accommodation;All countries;Drenthe (PV);2016 December;96;314
1644;Total overnight accommodation;All countries;Drenthe (PV);2016 4th quarter;372;1241
1645;Total overnight accommodation;All countries;Drenthe (PV);2016;1707;6625
1646;Total overnight accommodation;All countries;Drenthe (PV);2017 January;96;308
1647;Total overnight accommodation;All countries;Drenthe (PV);2017 February;102;318
1648;Total overnight accommodation;All countries;Drenthe (PV);2017 March;114;339
1649;Total overnight accommodation;All countries;Drenthe (PV);2017 1st quarter;313;965
1650;Total overnight accommodation;All countries;Drenthe (PV);2017 April;161;548
1651;Total overnight accommodation;All countries;Drenthe (PV);2017 May;189;660
1652;Total overnight accommodation;All countries;Drenthe (PV);2017 June;191;712
1653;Total overnight accommodation;All countries;Drenthe (PV);2017 2nd quarter;541;1920
1654;Total overnight accommodation;All countries;Drenthe (PV);2017 July;190;854
1655;Total overnight accommodation;All countries;Drenthe (PV);2017 August;219;1166
1656;Total overnight accommodation;All countries;Drenthe (PV);2017 September;172;638
1657;Total overnight accommodation;All countries;Drenthe (PV);2017 3rd quarter;581;2658
1658;Total overnight accommodation;All countries;Drenthe (PV);2017 October;177;612
1659;Total overnight accommodation;All countries;Drenthe (PV);2017 November;119;371
1660;Total overnight accommodation;All countries;Drenthe (PV);2017 December;107;346
1661;Total overnight accommodation;All countries;Drenthe (PV);2017 4th quarter;402;1329
1662;Total overnight accommodation;All countries;Drenthe (PV);2017;1837;6872
1663;Total overnight accommodation;All countries;Drenthe (PV);2018 January;105;331
1664;Total overnight accommodation;All countries;Drenthe (PV);2018 February;107;340
1665;Total overnight accommodation;All countries;Drenthe (PV);2018 March;140;430
1666;Total overnight accommodation;All countries;Drenthe (PV);2018 1st quarter;352;1102
1667;Total overnight accommodation;All countries;Drenthe (PV);2018 April;181;565
1668;Total overnight accommodation;All countries;Drenthe (PV);2018 May;207;780
1669;Total overnight accommodation;All countries;Drenthe (PV);2018 June;174;639
1670;Total overnight accommodation;All countries;Drenthe (PV);2018 2nd quarter;562;1984
1671;Total overnight accommodation;All countries;Drenthe (PV);2018 July;188;848
1672;Total overnight accommodation;All countries;Drenthe (PV);2018 August;228;1178
1673;Total overnight accommodation;All countries;Drenthe (PV);2018 September;166;599
1674;Total overnight accommodation;All countries;Drenthe (PV);2018 3rd quarter;581;2625
1675;Total overnight accommodation;All countries;Drenthe (PV);2018 October;188;630
1676;Total overnight accommodation;All countries;Drenthe (PV);2018 November;134;397
1677;Total overnight accommodation;All countries;Drenthe (PV);2018 December;119;365
1678;Total overnight accommodation;All countries;Drenthe (PV);2018 4th quarter;441;1391
1679;Total overnight accommodation;All countries;Drenthe (PV);2018;1936;7103
1680;Total overnight accommodation;All countries;Drenthe (PV);2019 January;96;307
1681;Total overnight accommodation;All countries;Drenthe (PV);2019 February;106;318
1682;Total overnight accommodation;All countries;Drenthe (PV);2019 March;134;413
1683;Total overnight accommodation;All countries;Drenthe (PV);2019 1st quarter;335;1039
1684;Total overnight accommodation;All countries;Drenthe (PV);2019 April;195;655
1685;Total overnight accommodation;All countries;Drenthe (PV);2019 May;172;585
1686;Total overnight accommodation;All countries;Drenthe (PV);2019 June;227;811
1687;Total overnight accommodation;All countries;Drenthe (PV);2019 2nd quarter;594;2051
1688;Total overnight accommodation;All countries;Drenthe (PV);2019 July;199;919
1689;Total overnight accommodation;All countries;Drenthe (PV);2019 August;234;1244
1690;Total overnight accommodation;All countries;Drenthe (PV);2019 September;181;652
1691;Total overnight accommodation;All countries;Drenthe (PV);2019 3rd quarter;615;2815
1692;Total overnight accommodation;All countries;Drenthe (PV);2019 October;171;600
1693;Total overnight accommodation;All countries;Drenthe (PV);2019 November;133;408
1694;Total overnight accommodation;All countries;Drenthe (PV);2019 December;115;356
1695;Total overnight accommodation;All countries;Drenthe (PV);2019 4th quarter;419;1364
1696;Total overnight accommodation;All countries;Drenthe (PV);2019;1963;7269
1697;Total overnight accommodation;All countries;Drenthe (PV);2020 January;95;312
1698;Total overnight accommodation;All countries;Drenthe (PV);2020 February;125;400
1699;Total overnight accommodation;All countries;Drenthe (PV);2020 March;68;218
1700;Total overnight accommodation;All countries;Drenthe (PV);2020 1st quarter;287;930
1701;Total overnight accommodation;All countries;Drenthe (PV);2020 April;17;76
1702;Total overnight accommodation;All countries;Drenthe (PV);2020 May;54;198
1703;Total overnight accommodation;All countries;Drenthe (PV);2020 June;134;499
1704;Total overnight accommodation;All countries;Drenthe (PV);2020 2nd quarter;205;773
1705;Total overnight accommodation;All countries;Drenthe (PV);2020 July;229;1132
1706;Total overnight accommodation;All countries;Drenthe (PV);2020 August;276;1455
1707;Total overnight accommodation;All countries;Drenthe (PV);2020 September;177;725
1708;Total overnight accommodation;All countries;Drenthe (PV);2020 3rd quarter;682;3312
1709;Total overnight accommodation;All countries;Drenthe (PV);2020 October;142;538
1710;Total overnight accommodation;All countries;Drenthe (PV);2020 November;70;231
1711;Total overnight accommodation;All countries;Drenthe (PV);2020 December;67;232
1712;Total overnight accommodation;All countries;Drenthe (PV);2020 4th quarter;279;1001
1713;Total overnight accommodation;All countries;Drenthe (PV);2020;1453;6015
1714;Total overnight accommodation;All countries;Drenthe (PV);2021 January;35;141
1715;Total overnight accommodation;All countries;Drenthe (PV);2021 February;76;279
1716;Total overnight accommodation;All countries;Drenthe (PV);2021 March;62;211
1717;Total overnight accommodation;All countries;Drenthe (PV);2021 1th quarter;173;631
1718;Total overnight accommodation;All countries;Drenthe (PV);2021 April;106;378
1719;Total overnight accommodation;All countries;Drenthe (PV);2021 May;191;788
1720;Total overnight accommodation;All countries;Drenthe (PV);2021 June;166;661
1721;Total overnight accommodation;All countries;Drenthe (PV);2021 2nd quarter;463;1827
1722;Total overnight accommodation;All countries;Drenthe (PV);2021 July;218;1120
1723;Total overnight accommodation;All countries;Drenthe (PV);2021 August;271;1483
1724;Total overnight accommodation;All countries;Drenthe (PV);2021 September;186;720
1725;Total overnight accommodation;All countries;Drenthe (PV);2021 3rd quarter;676;3323
1726;Total overnight accommodation;All countries;Drenthe (PV);2021 October;161;559
1727;Total overnight accommodation;All countries;Drenthe (PV);2021 November;131;411
1728;Total overnight accommodation;All countries;Drenthe (PV);2021 December;76;254
1729;Total overnight accommodation;All countries;Drenthe (PV);2021 4th quarter;368;1224
1730;Total overnight accommodation;All countries;Drenthe (PV);2021;1680;7006
1731;Total overnight accommodation;All countries;Drenthe (PV);2022 January;70;247
1732;Total overnight accommodation;All countries;Drenthe (PV);2022 February;97;299
1733;Total overnight accommodation;All countries;Drenthe (PV);2022 March;139;413
1734;Total overnight accommodation;All countries;Drenthe (PV);2022 1th quarter;306;959
1735;Total overnight accommodation;All countries;Drenthe (PV);2022 April;181;614
1736;Total overnight accommodation;All countries;Drenthe (PV);2022 May;229;793
1737;Total overnight accommodation;All countries;Drenthe (PV);2022 June;203;737
1738;Total overnight accommodation;All countries;Drenthe (PV);2022 2nd quarter;613;2144
1739;Total overnight accommodation;All countries;Drenthe (PV);2022 July;222;1040
1740;Total overnight accommodation;All countries;Drenthe (PV);2022 August;264;1337
1741;Total overnight accommodation;All countries;Drenthe (PV);2022 September;191;686
1742;Total overnight accommodation;All countries;Drenthe (PV);2022 3rd quarter;677;3064
1743;Total overnight accommodation;All countries;Drenthe (PV);2022 October;207;672
1744;Total overnight accommodation;All countries;Drenthe (PV);2022 November;143;403
1745;Total overnight accommodation;All countries;Drenthe (PV);2022 December;125;366
1746;Total overnight accommodation;All countries;Drenthe (PV);2022 4th quarter;475;1441
1747;Total overnight accommodation;All countries;Drenthe (PV);2022;2071;7608
1748;Total overnight accommodation;All countries;Drenthe (PV);2023 January;119;378
1749;Total overnight accommodation;All countries;Drenthe (PV);2023 February;114;347
1750;Total overnight accommodation;All countries;Drenthe (PV);2023 March;142;444
1751;Total overnight accommodation;All countries;Drenthe (PV);2023 1st quarter;374;1168
1752;Total overnight accommodation;All countries;Drenthe (PV);2023 April;173;587
1753;Total overnight accommodation;All countries;Drenthe (PV);2023 May;233;885
1754;Total overnight accommodation;All countries;Drenthe (PV);2023 June;190;713
1755;Total overnight accommodation;All countries;Drenthe (PV);2023 2nd quarter;596;2185
1756;Total overnight accommodation;All countries;Drenthe (PV);2023 July;220;1048
1757;Total overnight accommodation;All countries;Drenthe (PV);2023 August;233;1322
1758;Total overnight accommodation;All countries;Drenthe (PV);2023 September;193;700
1759;Total overnight accommodation;All countries;Drenthe (PV);2023 3rd quarter;645;3070
1760;Total overnight accommodation;All countries;Drenthe (PV);2023 October;195;668
1761;Total overnight accommodation;All countries;Drenthe (PV);2023 November;134;398
1762;Total overnight accommodation;All countries;Drenthe (PV);2023 December;122;382
1763;Total overnight accommodation;All countries;Drenthe (PV);2023 4th quarter;450;1448
1764;Total overnight accommodation;All countries;Drenthe (PV);2023;2066;7872
1765;Total overnight accommodation;All countries;Drenthe (PV);2024 January;133;402
1766;Total overnight accommodation;All countries;Drenthe (PV);2024 February;139;425
1767;Total overnight accommodation;All countries;Drenthe (PV);2024 March;154;484
1768;Total overnight accommodation;All countries;Drenthe (PV);2024 1st quarter;426;1311
1769;Total overnight accommodation;All countries;Drenthe (PV);2024 April;164;505
1770;Total overnight accommodation;All countries;Drenthe (PV);2024 May;248;907
1771;Total overnight accommodation;All countries;Drenthe (PV);2024 June;196;727
1772;Total overnight accommodation;All countries;Drenthe (PV);2024 2nd quarter;608;2140
1773;Total overnight accommodation;All countries;Drenthe (PV);2024 July;218;1026
1774;Total overnight accommodation;All countries;Drenthe (PV);2024 August;270;1275
1775;Total overnight accommodation;All countries;Drenthe (PV);2024 September;202;722
1776;Total overnight accommodation;All countries;Drenthe (PV);2024 3rd quarter;690;3023
1777;Total overnight accommodation;All countries;Drenthe (PV);2024 October;177;579
1778;Total overnight accommodation;All countries;Drenthe (PV);2024 November;109;334
1779;Total overnight accommodation;All countries;Drenthe (PV);2024 December;137;403
1780;Total overnight accommodation;All countries;Drenthe (PV);2024 4th quarter;423;1315
1781;Total overnight accommodation;All countries;Drenthe (PV);2024;2150;7783
1782;Total overnight accommodation;All countries;Drenthe (PV);2025 January;116;360
1783;Total overnight accommodation;All countries;Drenthe (PV);2025 February;124;382
1784;Total overnight accommodation;All countries;Overijssel (PV);2012 January;69;154
1785;Total overnight accommodation;All countries;Overijssel (PV);2012 February;84;188
1786;Total overnight accommodation;All countries;Overijssel (PV);2012 March;97;203
1787;Total overnight accommodation;All countries;Overijssel (PV);2012 1st quarter;250;544
1788;Total overnight accommodation;All countries;Overijssel (PV);2012 April;171;504
1789;Total overnight accommodation;All countries;Overijssel (PV);2012 May;206;691
1790;Total overnight accommodation;All countries;Overijssel (PV);2012 June;191;617
1791;Total overnight accommodation;All countries;Overijssel (PV);2012 2nd quarter;568;1813
1792;Total overnight accommodation;All countries;Overijssel (PV);2012 July;203;879
1793;Total overnight accommodation;All countries;Overijssel (PV);2012 August;210;984
1794;Total overnight accommodation;All countries;Overijssel (PV);2012 September;165;507
1795;Total overnight accommodation;All countries;Overijssel (PV);2012 3rd quarter;579;2371
1796;Total overnight accommodation;All countries;Overijssel (PV);2012 October;146;414
1797;Total overnight accommodation;All countries;Overijssel (PV);2012 November;92;205
1798;Total overnight accommodation;All countries;Overijssel (PV);2012 December;85;212
1799;Total overnight accommodation;All countries;Overijssel (PV);2012 4th quarter;322;831
1800;Total overnight accommodation;All countries;Overijssel (PV);2012;1719;5559
1801;Total overnight accommodation;All countries;Overijssel (PV);2013 January;64;149
1802;Total overnight accommodation;All countries;Overijssel (PV);2013 February;76;178
1803;Total overnight accommodation;All countries;Overijssel (PV);2013 March;92;210
1804;Total overnight accommodation;All countries;Overijssel (PV);2013 1st quarter;232;537
1805;Total overnight accommodation;All countries;Overijssel (PV);2013 April;141;399
1806;Total overnight accommodation;All countries;Overijssel (PV);2013 May;227;758
1807;Total overnight accommodation;All countries;Overijssel (PV);2013 June;177;623
1808;Total overnight accommodation;All countries;Overijssel (PV);2013 2nd quarter;544;1779
1809;Total overnight accommodation;All countries;Overijssel (PV);2013 July;201;825
1810;Total overnight accommodation;All countries;Overijssel (PV);2013 August;217;1058
1811;Total overnight accommodation;All countries;Overijssel (PV);2013 September;152;471
1812;Total overnight accommodation;All countries;Overijssel (PV);2013 3rd quarter;569;2354
1813;Total overnight accommodation;All countries;Overijssel (PV);2013 October;143;426
1814;Total overnight accommodation;All countries;Overijssel (PV);2013 November;91;203
1815;Total overnight accommodation;All countries;Overijssel (PV);2013 December;83;191
1816;Total overnight accommodation;All countries;Overijssel (PV);2013 4th quarter;318;820
1817;Total overnight accommodation;All countries;Overijssel (PV);2013;1663;5491
1818;Total overnight accommodation;All countries;Overijssel (PV);2014 January;65;152
1819;Total overnight accommodation;All countries;Overijssel (PV);2014 February;66;148
1820;Total overnight accommodation;All countries;Overijssel (PV);2014 March;86;190
1821;Total overnight accommodation;All countries;Overijssel (PV);2014 1st quarter;217;490
1822;Total overnight accommodation;All countries;Overijssel (PV);2014 April;147;432
1823;Total overnight accommodation;All countries;Overijssel (PV);2014 May;201;636
1824;Total overnight accommodation;All countries;Overijssel (PV);2014 June;226;842
1825;Total overnight accommodation;All countries;Overijssel (PV);2014 2nd quarter;575;1910
1826;Total overnight accommodation;All countries;Overijssel (PV);2014 July;213;943
1827;Total overnight accommodation;All countries;Overijssel (PV);2014 August;234;1224
1828;Total overnight accommodation;All countries;Overijssel (PV);2014 September;164;539
1829;Total overnight accommodation;All countries;Overijssel (PV);2014 3rd quarter;611;2706
1830;Total overnight accommodation;All countries;Overijssel (PV);2014 October;145;375
1831;Total overnight accommodation;All countries;Overijssel (PV);2014 November;90;208
1832;Total overnight accommodation;All countries;Overijssel (PV);2014 December;81;201
1833;Total overnight accommodation;All countries;Overijssel (PV);2014 4th quarter;317;784
1834;Total overnight accommodation;All countries;Overijssel (PV);2014;1718;5889
1835;Total overnight accommodation;All countries;Overijssel (PV);2015 January;77;168
1836;Total overnight accommodation;All countries;Overijssel (PV);2015 February;85;188
1837;Total overnight accommodation;All countries;Overijssel (PV);2015 March;96;202
1838;Total overnight accommodation;All countries;Overijssel (PV);2015 1st quarter;258;558
1839;Total overnight accommodation;All countries;Overijssel (PV);2015 April;161;420
1840;Total overnight accommodation;All countries;Overijssel (PV);2015 May;242;871
1841;Total overnight accommodation;All countries;Overijssel (PV);2015 June;200;729
1842;Total overnight accommodation;All countries;Overijssel (PV);2015 2nd quarter;602;2021
1843;Total overnight accommodation;All countries;Overijssel (PV);2015 July;240;1116
1844;Total overnight accommodation;All countries;Overijssel (PV);2015 August;243;1171
1845;Total overnight accommodation;All countries;Overijssel (PV);2015 September;168;549
1846;Total overnight accommodation;All countries;Overijssel (PV);2015 3rd quarter;651;2835
1847;Total overnight accommodation;All countries;Overijssel (PV);2015 October;173;481
1848;Total overnight accommodation;All countries;Overijssel (PV);2015 November;107;226
1849;Total overnight accommodation;All countries;Overijssel (PV);2015 December;94;231
1850;Total overnight accommodation;All countries;Overijssel (PV);2015 4th quarter;374;938
1851;Total overnight accommodation;All countries;Overijssel (PV);2015;1885;6352
1852;Total overnight accommodation;All countries;Overijssel (PV);2016 January;86;181
1853;Total overnight accommodation;All countries;Overijssel (PV);2016 February;106;215
1854;Total overnight accommodation;All countries;Overijssel (PV);2016 March;120;280
1855;Total overnight accommodation;All countries;Overijssel (PV);2016 1st quarter;311;675
1856;Total overnight accommodation;All countries;Overijssel (PV);2016 April;161;423
1857;Total overnight accommodation;All countries;Overijssel (PV);2016 May;250;766
1858;Total overnight accommodation;All countries;Overijssel (PV);2016 June;201;653
1859;Total overnight accommodation;All countries;Overijssel (PV);2016 2nd quarter;611;1842
1860;Total overnight accommodation;All countries;Overijssel (PV);2016 July;237;972
1861;Total overnight accommodation;All countries;Overijssel (PV);2016 August;254;1178
1862;Total overnight accommodation;All countries;Overijssel (PV);2016 September;188;602
1863;Total overnight accommodation;All countries;Overijssel (PV);2016 3rd quarter;680;2752
1864;Total overnight accommodation;All countries;Overijssel (PV);2016 October;192;526
1865;Total overnight accommodation;All countries;Overijssel (PV);2016 November;106;227
1866;Total overnight accommodation;All countries;Overijssel (PV);2016 December;100;241
1867;Total overnight accommodation;All countries;Overijssel (PV);2016 4th quarter;398;995
1868;Total overnight accommodation;All countries;Overijssel (PV);2016;2001;6264
1869;Total overnight accommodation;All countries;Overijssel (PV);2017 January;100;208
1870;Total overnight accommodation;All countries;Overijssel (PV);2017 February;103;217
1871;Total overnight accommodation;All countries;Overijssel (PV);2017 March;124;262
1872;Total overnight accommodation;All countries;Overijssel (PV);2017 1st quarter;326;687
1873;Total overnight accommodation;All countries;Overijssel (PV);2017 April;202;558
1874;Total overnight accommodation;All countries;Overijssel (PV);2017 May;236;687
1875;Total overnight accommodation;All countries;Overijssel (PV);2017 June;245;803
1876;Total overnight accommodation;All countries;Overijssel (PV);2017 2nd quarter;683;2048
1877;Total overnight accommodation;All countries;Overijssel (PV);2017 July;259;1073
1878;Total overnight accommodation;All countries;Overijssel (PV);2017 August;301;1352
1879;Total overnight accommodation;All countries;Overijssel (PV);2017 September;203;651
1880;Total overnight accommodation;All countries;Overijssel (PV);2017 3rd quarter;763;3076
1881;Total overnight accommodation;All countries;Overijssel (PV);2017 October;203;513
1882;Total overnight accommodation;All countries;Overijssel (PV);2017 November;123;252
1883;Total overnight accommodation;All countries;Overijssel (PV);2017 December;120;281
1884;Total overnight accommodation;All countries;Overijssel (PV);2017 4th quarter;446;1046
1885;Total overnight accommodation;All countries;Overijssel (PV);2017;2219;6857
1886;Total overnight accommodation;All countries;Overijssel (PV);2018 January;110;227
1887;Total overnight accommodation;All countries;Overijssel (PV);2018 February;109;218
1888;Total overnight accommodation;All countries;Overijssel (PV);2018 March;137;304
1889;Total overnight accommodation;All countries;Overijssel (PV);2018 1st quarter;356;749
1890;Total overnight accommodation;All countries;Overijssel (PV);2018 April;204;498
1891;Total overnight accommodation;All countries;Overijssel (PV);2018 May;283;871
1892;Total overnight accommodation;All countries;Overijssel (PV);2018 June;241;703
1893;Total overnight accommodation;All countries;Overijssel (PV);2018 2nd quarter;727;2073
1894;Total overnight accommodation;All countries;Overijssel (PV);2018 July;265;1086
1895;Total overnight accommodation;All countries;Overijssel (PV);2018 August;306;1360
1896;Total overnight accommodation;All countries;Overijssel (PV);2018 September;226;669
1897;Total overnight accommodation;All countries;Overijssel (PV);2018 3rd quarter;797;3116
1898;Total overnight accommodation;All countries;Overijssel (PV);2018 October;215;564
1899;Total overnight accommodation;All countries;Overijssel (PV);2018 November;130;277
1900;Total overnight accommodation;All countries;Overijssel (PV);2018 December;126;280
1901;Total overnight accommodation;All countries;Overijssel (PV);2018 4th quarter;471;1121
1902;Total overnight accommodation;All countries;Overijssel (PV);2018;2351;7059
1903;Total overnight accommodation;All countries;Overijssel (PV);2019 January;96;204
1904;Total overnight accommodation;All countries;Overijssel (PV);2019 February;93;189
1905;Total overnight accommodation;All countries;Overijssel (PV);2019 March;124;258
1906;Total overnight accommodation;All countries;Overijssel (PV);2019 1st quarter;313;651
1907;Total overnight accommodation;All countries;Overijssel (PV);2019 April;210;577
1908;Total overnight accommodation;All countries;Overijssel (PV);2019 May;230;641
1909;Total overnight accommodation;All countries;Overijssel (PV);2019 June;297;970
1910;Total overnight accommodation;All countries;Overijssel (PV);2019 2nd quarter;736;2188
1911;Total overnight accommodation;All countries;Overijssel (PV);2019 July;267;1117
1912;Total overnight accommodation;All countries;Overijssel (PV);2019 August;329;1482
1913;Total overnight accommodation;All countries;Overijssel (PV);2019 September;225;673
1914;Total overnight accommodation;All countries;Overijssel (PV);2019 3rd quarter;821;3272
1915;Total overnight accommodation;All countries;Overijssel (PV);2019 October;207;533
1916;Total overnight accommodation;All countries;Overijssel (PV);2019 November;139;271
1917;Total overnight accommodation;All countries;Overijssel (PV);2019 December;132;285
1918;Total overnight accommodation;All countries;Overijssel (PV);2019 4th quarter;479;1089
1919;Total overnight accommodation;All countries;Overijssel (PV);2019;2349;7200
1920;Total overnight accommodation;All countries;Overijssel (PV);2020 January;107;224
1921;Total overnight accommodation;All countries;Overijssel (PV);2020 February;111;245
1922;Total overnight accommodation;All countries;Overijssel (PV);2020 March;71;171
1923;Total overnight accommodation;All countries;Overijssel (PV);2020 1st quarter;288;640
1924;Total overnight accommodation;All countries;Overijssel (PV);2020 April;20;63
1925;Total overnight accommodation;All countries;Overijssel (PV);2020 May;68;216
1926;Total overnight accommodation;All countries;Overijssel (PV);2020 June;172;533
1927;Total overnight accommodation;All countries;Overijssel (PV);2020 2nd quarter;260;812
1928;Total overnight accommodation;All countries;Overijssel (PV);2020 July;284;1226
1929;Total overnight accommodation;All countries;Overijssel (PV);2020 August;355;1659
1930;Total overnight accommodation;All countries;Overijssel (PV);2020 September;227;783
1931;Total overnight accommodation;All countries;Overijssel (PV);2020 3rd quarter;867;3668
1932;Total overnight accommodation;All countries;Overijssel (PV);2020 October;152;453
1933;Total overnight accommodation;All countries;Overijssel (PV);2020 November;80;184
1934;Total overnight accommodation;All countries;Overijssel (PV);2020 December;70;189
1935;Total overnight accommodation;All countries;Overijssel (PV);2020 4th quarter;301;826
1936;Total overnight accommodation;All countries;Overijssel (PV);2020;1716;5946
1937;Total overnight accommodation;All countries;Overijssel (PV);2021 January;48;138
1938;Total overnight accommodation;All countries;Overijssel (PV);2021 February;60;166
1939;Total overnight accommodation;All countries;Overijssel (PV);2021 March;68;177
1940;Total overnight accommodation;All countries;Overijssel (PV);2021 1th quarter;176;481
1941;Total overnight accommodation;All countries;Overijssel (PV);2021 April;116;328
1942;Total overnight accommodation;All countries;Overijssel (PV);2021 May;250;890
1943;Total overnight accommodation;All countries;Overijssel (PV);2021 June;249;798
1944;Total overnight accommodation;All countries;Overijssel (PV);2021 2nd quarter;614;2017
1945;Total overnight accommodation;All countries;Overijssel (PV);2021 July;328;1356
1946;Total overnight accommodation;All countries;Overijssel (PV);2021 August;372;1757
1947;Total overnight accommodation;All countries;Overijssel (PV);2021 September;257;827
1948;Total overnight accommodation;All countries;Overijssel (PV);2021 3rd quarter;957;3941
1949;Total overnight accommodation;All countries;Overijssel (PV);2021 October;232;636
1950;Total overnight accommodation;All countries;Overijssel (PV);2021 November;125;280
1951;Total overnight accommodation;All countries;Overijssel (PV);2021 December;72;184
1952;Total overnight accommodation;All countries;Overijssel (PV);2021 4th quarter;430;1100
1953;Total overnight accommodation;All countries;Overijssel (PV);2021;2178;7539
1954;Total overnight accommodation;All countries;Overijssel (PV);2022 January;67;180
1955;Total overnight accommodation;All countries;Overijssel (PV);2022 February;97;204
1956;Total overnight accommodation;All countries;Overijssel (PV);2022 March;125;294
1957;Total overnight accommodation;All countries;Overijssel (PV);2022 1th quarter;289;678
1958;Total overnight accommodation;All countries;Overijssel (PV);2022 April;236;673
1959;Total overnight accommodation;All countries;Overijssel (PV);2022 May;306;934
1960;Total overnight accommodation;All countries;Overijssel (PV);2022 June;294;946
1961;Total overnight accommodation;All countries;Overijssel (PV);2022 2nd quarter;836;2553
1962;Total overnight accommodation;All countries;Overijssel (PV);2022 July;323;1378
1963;Total overnight accommodation;All countries;Overijssel (PV);2022 August;362;1694
1964;Total overnight accommodation;All countries;Overijssel (PV);2022 September;254;793
1965;Total overnight accommodation;All countries;Overijssel (PV);2022 3rd quarter;939;3865
1966;Total overnight accommodation;All countries;Overijssel (PV);2022 October;241;659
1967;Total overnight accommodation;All countries;Overijssel (PV);2022 November;141;301
1968;Total overnight accommodation;All countries;Overijssel (PV);2022 December;134;318
1969;Total overnight accommodation;All countries;Overijssel (PV);2022 4th quarter;516;1278
1970;Total overnight accommodation;All countries;Overijssel (PV);2022;2580;8374
1971;Total overnight accommodation;All countries;Overijssel (PV);2023 January;135;319
1972;Total overnight accommodation;All countries;Overijssel (PV);2023 February;144;283
1973;Total overnight accommodation;All countries;Overijssel (PV);2023 March;153;378
1974;Total overnight accommodation;All countries;Overijssel (PV);2023 1st quarter;431;979
1975;Total overnight accommodation;All countries;Overijssel (PV);2023 April;281;772
1976;Total overnight accommodation;All countries;Overijssel (PV);2023 May;354;1107
1977;Total overnight accommodation;All countries;Overijssel (PV);2023 June;310;921
1978;Total overnight accommodation;All countries;Overijssel (PV);2023 2nd quarter;945;2800
1979;Total overnight accommodation;All countries;Overijssel (PV);2023 July;332;1351
1980;Total overnight accommodation;All countries;Overijssel (PV);2023 August;330;1564
1981;Total overnight accommodation;All countries;Overijssel (PV);2023 September;271;750
1982;Total overnight accommodation;All countries;Overijssel (PV);2023 3rd quarter;933;3665
1983;Total overnight accommodation;All countries;Overijssel (PV);2023 October;267;775
1984;Total overnight accommodation;All countries;Overijssel (PV);2023 November;162;344
1985;Total overnight accommodation;All countries;Overijssel (PV);2023 December;148;352
1986;Total overnight accommodation;All countries;Overijssel (PV);2023 4th quarter;576;1471
1987;Total overnight accommodation;All countries;Overijssel (PV);2023;2886;8915
1988;Total overnight accommodation;All countries;Overijssel (PV);2024 January;126;295
1989;Total overnight accommodation;All countries;Overijssel (PV);2024 February;122;285
1990;Total overnight accommodation;All countries;Overijssel (PV);2024 March;148;342
1991;Total overnight accommodation;All countries;Overijssel (PV);2024 1st quarter;396;922
1992;Total overnight accommodation;All countries;Overijssel (PV);2024 April;235;609
1993;Total overnight accommodation;All countries;Overijssel (PV);2024 May;351;1122
1994;Total overnight accommodation;All countries;Overijssel (PV);2024 June;291;860
1995;Total overnight accommodation;All countries;Overijssel (PV);2024 2nd quarter;877;2591
1996;Total overnight accommodation;All countries;Overijssel (PV);2024 July;313;1206
1997;Total overnight accommodation;All countries;Overijssel (PV);2024 August;378;1722
1998;Total overnight accommodation;All countries;Overijssel (PV);2024 September;283;826
1999;Total overnight accommodation;All countries;Overijssel (PV);2024 3rd quarter;973;3746
2000;Total overnight accommodation;All countries;Overijssel (PV);2024 October;243;651
2001;Total overnight accommodation;All countries;Overijssel (PV);2024 November;160;343
2002;Total overnight accommodation;All countries;Overijssel (PV);2024 December;156;346
2003;Total overnight accommodation;All countries;Overijssel (PV);2024 4th quarter;559;1340
2004;Total overnight accommodation;All countries;Overijssel (PV);2024;2804;8588
2005;Total overnight accommodation;All countries;Overijssel (PV);2025 January;126;285
2006;Total overnight accommodation;All countries;Overijssel (PV);2025 February;119;268
2007;Total overnight accommodation;All countries;Flevoland (PV);2012 January;28;88
