ID;LorriesRoadTractorsLoadCapacityLC;AgeOfVehicle;Periods;TotalKilometresInTheNetherlands_1;KilometresByDutchVehicles_2;KilometresByForeignVehicles_3;TotalKilometresByDutchVehicles_4;KilometresInTheNetherlands_5;KilometresAbroad_6;TotalAverageAnnualKilometres_7;AverageAnnualKilometresInNetherlands_8;AverageAnnualKilometresAbroad_9;DutchGoodsVehiclesInUse_10
824;Road tractors (LC) to 39 999 kg;Vehicle 3 years old;2008;46.6;38.9;7.8;77.7;38.9;38.9;69511.0;34756.0;34756.0;1118.0
825;Road tractors (LC) to 39 999 kg;Vehicle 3 years old;2009;66.6;56.1;10.5;106.7;56.1;50.7;70739.0;37159.0;33580.0;1509.0
826;Road tractors (LC) to 39 999 kg;Vehicle 3 years old;2010;65.3;54.8;10.5;103.9;54.8;49.1;60277.0;31779.0;28498.0;1724.0
827;Road tractors (LC) to 39 999 kg;Vehicle 3 years old;2011;74.7;64.0;10.7;116.7;64.0;52.7;64726.0;35518.0;29208.0;1803.0
828;Road tractors (LC) to 39 999 kg;Vehicle 3 years old;2012;45.3;39.4;5.9;67.2;39.4;27.8;62299.0;36539.0;25760.0;1078.0
829;Road tractors (LC) to 39 999 kg;Vehicle 3 years old;2013;39.7;34.6;5.1;59.2;34.6;24.6;63678.0;37252.0;26427.0;929.0
830;Road tractors (LC) to 39 999 kg;Vehicle 3 years old;2014;61.0;52.9;8.1;90.1;52.9;37.2;67861.0;39834.0;28026.0;1328.0
831;Road tractors (LC) to 39 999 kg;Vehicle 3 years old;2015;66.5;56.8;9.7;95.9;56.8;39.1;71336.0;42231.0;29105.0;1344.0
832;Road tractors (LC) to 39 999 kg;Vehicle 3 years old;2016;105.5;88.7;16.8;146.4;88.7;57.7;84935.0;51471.0;33464.0;1724.0
833;Road tractors (LC) to 39 999 kg;Vehicle 3 years old;2017;86.3;73.0;13.4;116.5;73.0;43.6;79015.0;49463.0;29551.0;1475.0
834;Road tractors (LC) to 39 999 kg;Vehicle 3 years old;2018;94.1;79.6;14.5;127.6;79.6;48.0;75486.0;47104.0;28383.0;1690.0
835;Road tractors (LC) to 39 999 kg;Vehicle 3 years old;2019;133.9;113.2;20.7;176.9;113.2;63.7;79156.0;50660.0;28496.0;2235.0
836;Road tractors (LC) to 39 999 kg;Vehicle 3 years old;2020;139.1;116.9;22.2;179.1;116.9;62.1;75026.0;48992.0;26034.0;2387.0
837;Road tractors (LC) to 39 999 kg;Vehicle 4 years old;1990;;;;;;;;;;
838;Road tractors (LC) to 39 999 kg;Vehicle 4 years old;1991;;;;;;;;;;
839;Road tractors (LC) to 39 999 kg;Vehicle 4 years old;1992;;;;;;;;;;
840;Road tractors (LC) to 39 999 kg;Vehicle 4 years old;1993;;;;;;;;;;
841;Road tractors (LC) to 39 999 kg;Vehicle 4 years old;1994;;;;;;;;;;
842;Road tractors (LC) to 39 999 kg;Vehicle 4 years old;1995;;;;;;;;;;
843;Road tractors (LC) to 39 999 kg;Vehicle 4 years old;1996;;;;;;;;;;
844;Road tractors (LC) to 39 999 kg;Vehicle 4 years old;1997;;;;;;;;;;
845;Road tractors (LC) to 39 999 kg;Vehicle 4 years old;1998;;;;;;;;;;
846;Road tractors (LC) to 39 999 kg;Vehicle 4 years old;1999;;;;;;;;;;
847;Road tractors (LC) to 39 999 kg;Vehicle 4 years old;2000;;;;;;;;;;
848;Road tractors (LC) to 39 999 kg;Vehicle 4 years old;2001;;;;;;;;;;
849;Road tractors (LC) to 39 999 kg;Vehicle 4 years old;2002;44.0;38.6;5.4;74.2;38.6;35.6;75544.0;39283.0;36261.0;982.0
850;Road tractors (LC) to 39 999 kg;Vehicle 4 years old;2003;53.1;46.8;6.3;90.1;46.8;43.2;71075.0;36959.0;34116.0;1267.0
851;Road tractors (LC) to 39 999 kg;Vehicle 4 years old;2004;47.4;41.5;6.0;79.7;41.5;38.3;67731.0;35220.0;32511.0;1177.0
852;Road tractors (LC) to 39 999 kg;Vehicle 4 years old;2005;48.6;42.2;6.4;81.1;42.2;38.9;64604.0;33594.0;31010.0;1256.0
853;Road tractors (LC) to 39 999 kg;Vehicle 4 years old;2006;41.5;35.5;5.9;68.3;35.5;32.8;67623.0;35164.0;32459.0;1010.0
854;Road tractors (LC) to 39 999 kg;Vehicle 4 years old;2007;34.8;29.5;5.3;56.7;29.5;27.2;66704.0;34686.0;32018.0;850.0
855;Road tractors (LC) to 39 999 kg;Vehicle 4 years old;2008;37.7;32.0;5.7;60.4;32.0;28.4;62939.0;33358.0;29581.0;960.0
856;Road tractors (LC) to 39 999 kg;Vehicle 4 years old;2009;47.1;40.0;7.1;74.3;40.0;34.3;66022.0;35545.0;30477.0;1126.0
857;Road tractors (LC) to 39 999 kg;Vehicle 4 years old;2010;69.5;59.5;10.0;106.2;59.5;46.7;68818.0;38548.0;30270.0;1543.0
858;Road tractors (LC) to 39 999 kg;Vehicle 4 years old;2011;70.5;60.1;10.4;111.2;60.1;51.1;59307.0;32063.0;27244.0;1875.0
859;Road tractors (LC) to 39 999 kg;Vehicle 4 years old;2012;74.9;65.0;9.9;111.2;65.0;46.2;60927.0;35612.0;25315.0;1825.0
860;Road tractors (LC) to 39 999 kg;Vehicle 4 years old;2013;45.1;39.5;5.6;66.7;39.5;27.1;58781.0;34857.0;23924.0;1134.0
861;Road tractors (LC) to 39 999 kg;Vehicle 4 years old;2014;39.2;34.1;5.1;57.8;34.1;23.8;59263.0;34906.0;24357.0;976.0
862;Road tractors (LC) to 39 999 kg;Vehicle 4 years old;2015;60.3;52.1;8.2;85.2;52.1;33.1;58390.0;35735.0;22655.0;1459.0
863;Road tractors (LC) to 39 999 kg;Vehicle 4 years old;2016;70.4;60.3;10.1;95.0;60.3;34.7;65290.0;41459.0;23831.0;1455.0
864;Road tractors (LC) to 39 999 kg;Vehicle 4 years old;2017;100.0;83.9;16.2;136.6;83.9;52.7;73389.0;45061.0;28328.0;1861.0
865;Road tractors (LC) to 39 999 kg;Vehicle 4 years old;2018;92.3;79.8;12.5;121.3;79.8;41.5;76123.0;50089.0;26034.0;1593.0
866;Road tractors (LC) to 39 999 kg;Vehicle 4 years old;2019;94.6;79.2;15.5;126.9;79.2;47.7;63462.0;39601.0;23862.0;1999.0
867;Road tractors (LC) to 39 999 kg;Vehicle 4 years old;2020;145.9;122.1;23.8;188.8;122.1;66.6;67275.0;43527.0;23748.0;2806.0
868;Road tractors (LC) to 39 999 kg;Vehicle 5 years old;1990;;;;;;;;;;
869;Road tractors (LC) to 39 999 kg;Vehicle 5 years old;1991;;;;;;;;;;
870;Road tractors (LC) to 39 999 kg;Vehicle 5 years old;1992;;;;;;;;;;
871;Road tractors (LC) to 39 999 kg;Vehicle 5 years old;1993;;;;;;;;;;
872;Road tractors (LC) to 39 999 kg;Vehicle 5 years old;1994;;;;;;;;;;
873;Road tractors (LC) to 39 999 kg;Vehicle 5 years old;1995;;;;;;;;;;
874;Road tractors (LC) to 39 999 kg;Vehicle 5 years old;1996;;;;;;;;;;
875;Road tractors (LC) to 39 999 kg;Vehicle 5 years old;1997;;;;;;;;;;
876;Road tractors (LC) to 39 999 kg;Vehicle 5 years old;1998;;;;;;;;;;
877;Road tractors (LC) to 39 999 kg;Vehicle 5 years old;1999;;;;;;;;;;
878;Road tractors (LC) to 39 999 kg;Vehicle 5 years old;2000;;;;;;;;;;
879;Road tractors (LC) to 39 999 kg;Vehicle 5 years old;2001;;;;;;;;;;
880;Road tractors (LC) to 39 999 kg;Vehicle 5 years old;2002;28.3;25.3;3.0;45.2;25.3;19.9;63215.0;35401.0;27815.0;715.0
881;Road tractors (LC) to 39 999 kg;Vehicle 5 years old;2003;41.2;37.0;4.2;66.1;37.0;29.1;67342.0;37712.0;29631.0;981.0
882;Road tractors (LC) to 39 999 kg;Vehicle 5 years old;2004;50.4;44.9;5.5;80.1;44.9;35.2;67208.0;37637.0;29572.0;1192.0
883;Road tractors (LC) to 39 999 kg;Vehicle 5 years old;2005;45.2;40.0;5.2;71.5;40.0;31.4;63010.0;35286.0;27725.0;1134.0
884;Road tractors (LC) to 39 999 kg;Vehicle 5 years old;2006;44.9;39.3;5.6;70.2;39.3;30.9;58607.0;32820.0;25787.0;1197.0
885;Road tractors (LC) to 39 999 kg;Vehicle 5 years old;2007;39.4;34.2;5.2;61.0;34.2;26.8;62824.0;35182.0;27643.0;971.0
886;Road tractors (LC) to 39 999 kg;Vehicle 5 years old;2008;30.4;26.3;4.1;47.0;26.3;20.7;56720.0;31763.0;24957.0;828.0
887;Road tractors (LC) to 39 999 kg;Vehicle 5 years old;2009;34.9;29.9;4.9;53.7;29.9;23.8;56315.0;31364.0;24951.0;954.0
888;Road tractors (LC) to 39 999 kg;Vehicle 5 years old;2010;45.2;38.9;6.3;68.5;38.9;29.7;60109.0;34090.0;26018.0;1140.0
889;Road tractors (LC) to 39 999 kg;Vehicle 5 years old;2011;64.6;56.0;8.6;98.4;56.0;42.4;65543.0;37295.0;28248.0;1502.0
890;Road tractors (LC) to 39 999 kg;Vehicle 5 years old;2012;72.8;63.0;9.9;109.2;63.0;46.2;55620.0;32069.0;23551.0;1963.0
891;Road tractors (LC) to 39 999 kg;Vehicle 5 years old;2013;67.0;57.5;9.5;103.4;57.5;45.9;56955.0;31667.0;25288.0;1816.0
892;Road tractors (LC) to 39 999 kg;Vehicle 5 years old;2014;41.4;36.1;5.4;60.9;36.1;24.8;54630.0;32396.0;22234.0;1114.0
893;Road tractors (LC) to 39 999 kg;Vehicle 5 years old;2015;36.6;32.1;4.5;50.2;32.1;18.1;53065.0;33909.0;19156.0;946.0
894;Road tractors (LC) to 39 999 kg;Vehicle 5 years old;2016;58.6;50.5;8.1;78.3;50.5;27.8;55474.0;35781.0;19693.0;1411.0
895;Road tractors (LC) to 39 999 kg;Vehicle 5 years old;2017;66.3;57.2;9.1;86.9;57.2;29.7;61165.0;40247.0;20918.0;1421.0
896;Road tractors (LC) to 39 999 kg;Vehicle 5 years old;2018;86.9;73.2;13.7;118.6;73.2;45.4;67218.0;41473.0;25744.0;1764.0
897;Road tractors (LC) to 39 999 kg;Vehicle 5 years old;2019;91.0;78.8;12.2;116.4;78.8;37.6;65688.0;44471.0;21217.0;1772.0
898;Road tractors (LC) to 39 999 kg;Vehicle 5 years old;2020;101.8;86.5;15.3;129.4;86.5;43.0;59423.0;39695.0;19728.0;2178.0
899;Road tractors (LC) to 39 999 kg;Vehicle 6 years old;1990;;;;;;;;;;
900;Road tractors (LC) to 39 999 kg;Vehicle 6 years old;1991;;;;;;;;;;
901;Road tractors (LC) to 39 999 kg;Vehicle 6 years old;1992;;;;;;;;;;
902;Road tractors (LC) to 39 999 kg;Vehicle 6 years old;1993;;;;;;;;;;
903;Road tractors (LC) to 39 999 kg;Vehicle 6 years old;1994;;;;;;;;;;
904;Road tractors (LC) to 39 999 kg;Vehicle 6 years old;1995;;;;;;;;;;
905;Road tractors (LC) to 39 999 kg;Vehicle 6 years old;1996;;;;;;;;;;
906;Road tractors (LC) to 39 999 kg;Vehicle 6 years old;1997;;;;;;;;;;
907;Road tractors (LC) to 39 999 kg;Vehicle 6 years old;1998;;;;;;;;;;
908;Road tractors (LC) to 39 999 kg;Vehicle 6 years old;1999;;;;;;;;;;
909;Road tractors (LC) to 39 999 kg;Vehicle 6 years old;2000;;;;;;;;;;
910;Road tractors (LC) to 39 999 kg;Vehicle 6 years old;2001;;;;;;;;;;
911;Road tractors (LC) to 39 999 kg;Vehicle 6 years old;2002;29.5;26.8;2.7;44.6;26.8;17.9;61904.0;37143.0;24762.0;721.0
912;Road tractors (LC) to 39 999 kg;Vehicle 6 years old;2003;26.2;23.9;2.3;39.8;23.9;15.9;56657.0;33994.0;22663.0;702.0
913;Road tractors (LC) to 39 999 kg;Vehicle 6 years old;2004;36.3;32.9;3.4;54.8;32.9;21.9;60373.0;36224.0;24149.0;907.0
914;Road tractors (LC) to 39 999 kg;Vehicle 6 years old;2005;46.6;42.0;4.6;70.0;42.0;28.0;65210.0;39126.0;26084.0;1073.0
915;Road tractors (LC) to 39 999 kg;Vehicle 6 years old;2006;42.2;37.7;4.5;62.8;37.7;25.1;58210.0;34926.0;23284.0;1079.0
916;Road tractors (LC) to 39 999 kg;Vehicle 6 years old;2007;42.1;37.3;4.8;62.1;37.3;24.9;55133.0;33080.0;22053.0;1127.0
917;Road tractors (LC) to 39 999 kg;Vehicle 6 years old;2008;35.3;31.1;4.2;51.9;31.1;20.7;55718.0;33431.0;22287.0;931.0
918;Road tractors (LC) to 39 999 kg;Vehicle 6 years old;2009;29.4;25.9;3.6;43.1;25.9;17.2;51453.0;30896.0;20557.0;837.0
919;Road tractors (LC) to 39 999 kg;Vehicle 6 years old;2010;33.1;28.8;4.2;48.5;28.8;19.7;50823.0;30204.0;20620.0;955.0
920;Road tractors (LC) to 39 999 kg;Vehicle 6 years old;2011;43.8;38.6;5.2;64.1;38.6;25.6;56304.0;33863.0;22441.0;1139.0
921;Road tractors (LC) to 39 999 kg;Vehicle 6 years old;2012;62.9;55.4;7.4;90.1;55.4;34.7;62208.0;38266.0;23942.0;1449.0
922;Road tractors (LC) to 39 999 kg;Vehicle 6 years old;2013;68.2;60.3;7.9;98.7;60.3;38.4;55345.0;33816.0;21529.0;1783.0
923;Road tractors (LC) to 39 999 kg;Vehicle 6 years old;2014;63.0;54.8;8.1;92.4;54.8;37.6;53184.0;31538.0;21646.0;1738.0
924;Road tractors (LC) to 39 999 kg;Vehicle 6 years old;2015;42.0;37.0;5.0;57.1;37.0;20.1;52794.0;34211.0;18584.0;1082.0
925;Road tractors (LC) to 39 999 kg;Vehicle 6 years old;2016;34.6;30.6;4.0;44.3;30.6;13.7;47990.0;33113.0;14877.0;923.0
926;Road tractors (LC) to 39 999 kg;Vehicle 6 years old;2017;55.6;48.6;7.0;71.4;48.6;22.8;51204.0;34870.0;16334.0;1394.0
927;Road tractors (LC) to 39 999 kg;Vehicle 6 years old;2018;57.1;49.4;7.7;75.0;49.4;25.6;55685.0;36696.0;18989.0;1346.0
928;Road tractors (LC) to 39 999 kg;Vehicle 6 years old;2019;76.0;65.8;10.2;97.3;65.8;31.5;61068.0;41282.0;19786.0;1594.0
929;Road tractors (LC) to 39 999 kg;Vehicle 6 years old;2020;81.5;70.3;11.2;101.6;70.3;31.3;58653.0;40588.0;18065.0;1733.0
930;Road tractors (LC) to 39 999 kg;Vehicle 7 years old;1990;;;;;;;;;;
931;Road tractors (LC) to 39 999 kg;Vehicle 7 years old;1991;;;;;;;;;;
932;Road tractors (LC) to 39 999 kg;Vehicle 7 years old;1992;;;;;;;;;;
933;Road tractors (LC) to 39 999 kg;Vehicle 7 years old;1993;;;;;;;;;;
934;Road tractors (LC) to 39 999 kg;Vehicle 7 years old;1994;;;;;;;;;;
935;Road tractors (LC) to 39 999 kg;Vehicle 7 years old;1995;;;;;;;;;;
936;Road tractors (LC) to 39 999 kg;Vehicle 7 years old;1996;;;;;;;;;;
937;Road tractors (LC) to 39 999 kg;Vehicle 7 years old;1997;;;;;;;;;;
938;Road tractors (LC) to 39 999 kg;Vehicle 7 years old;1998;;;;;;;;;;
939;Road tractors (LC) to 39 999 kg;Vehicle 7 years old;1999;;;;;;;;;;
940;Road tractors (LC) to 39 999 kg;Vehicle 7 years old;2000;;;;;;;;;;
941;Road tractors (LC) to 39 999 kg;Vehicle 7 years old;2001;;;;;;;;;;
942;Road tractors (LC) to 39 999 kg;Vehicle 7 years old;2002;23.5;21.7;1.8;33.8;21.7;12.2;53304.0;34115.0;19190.0;635.0
943;Road tractors (LC) to 39 999 kg;Vehicle 7 years old;2003;26.2;24.2;2.0;37.8;24.2;13.6;53564.0;34281.0;19283.0;705.0
944;Road tractors (LC) to 39 999 kg;Vehicle 7 years old;2004;21.9;20.2;1.8;31.5;20.2;11.3;49147.0;31454.0;17693.0;641.0
945;Road tractors (LC) to 39 999 kg;Vehicle 7 years old;2005;31.7;29.0;2.7;45.3;29.0;16.3;55412.0;35463.0;19948.0;818.0
946;Road tractors (LC) to 39 999 kg;Vehicle 7 years old;2006;39.8;36.1;3.7;56.4;36.1;20.3;56904.0;36419.0;20486.0;991.0
947;Road tractors (LC) to 39 999 kg;Vehicle 7 years old;2007;37.2;33.5;3.7;52.4;33.5;18.9;53045.0;33949.0;19096.0;988.0
948;Road tractors (LC) to 39 999 kg;Vehicle 7 years old;2008;38.1;34.4;3.7;52.9;34.4;18.5;48479.0;31512.0;16968.0;1091.0
949;Road tractors (LC) to 39 999 kg;Vehicle 7 years old;2009;30.7;27.7;3.0;42.4;27.7;14.6;47754.0;31246.0;16509.0;887.0
950;Road tractors (LC) to 39 999 kg;Vehicle 7 years old;2010;26.3;23.7;2.6;35.8;23.7;12.2;43605.0;28790.0;14815.0;822.0
951;Road tractors (LC) to 39 999 kg;Vehicle 7 years old;2011;32.4;28.8;3.6;46.5;28.8;17.6;49959.0;31007.0;18952.0;930.0
952;Road tractors (LC) to 39 999 kg;Vehicle 7 years old;2012;40.3;36.3;4.0;54.9;36.3;18.7;51304.0;33865.0;17439.0;1071.0
953;Road tractors (LC) to 39 999 kg;Vehicle 7 years old;2013;50.7;44.8;5.9;73.5;44.8;28.7;55189.0;33610.0;21579.0;1332.0
954;Road tractors (LC) to 39 999 kg;Vehicle 7 years old;2014;62.1;55.0;7.1;87.7;55.0;32.7;53302.0;33420.0;19882.0;1646.0
955;Road tractors (LC) to 39 999 kg;Vehicle 7 years old;2015;58.4;51.3;7.1;79.8;51.3;28.5;48338.0;31081.0;17257.0;1651.0
956;Road tractors (LC) to 39 999 kg;Vehicle 7 years old;2016;39.2;34.4;4.8;50.8;34.4;16.4;47997.0;32494.0;15503.0;1059.0
957;Road tractors (LC) to 39 999 kg;Vehicle 7 years old;2017;29.7;26.3;3.4;37.2;26.3;10.9;42133.0;29788.0;12345.0;884.0
958;Road tractors (LC) to 39 999 kg;Vehicle 7 years old;2018;46.9;41.0;5.9;60.6;41.0;19.6;45405.0;30694.0;14711.0;1335.0
959;Road tractors (LC) to 39 999 kg;Vehicle 7 years old;2019;49.5;43.9;5.6;61.1;43.9;17.2;48845.0;35119.0;13725.0;1251.0
960;Road tractors (LC) to 39 999 kg;Vehicle 7 years old;2020;65.9;57.0;8.9;82.0;57.0;25.0;54215.0;37679.0;16535.0;1513.0
961;Road tractors (LC) to 39 999 kg;Vehicle 8 years old;1990;;;;;;;;;;
962;Road tractors (LC) to 39 999 kg;Vehicle 8 years old;1991;;;;;;;;;;
963;Road tractors (LC) to 39 999 kg;Vehicle 8 years old;1992;;;;;;;;;;
964;Road tractors (LC) to 39 999 kg;Vehicle 8 years old;1993;;;;;;;;;;
965;Road tractors (LC) to 39 999 kg;Vehicle 8 years old;1994;;;;;;;;;;
966;Road tractors (LC) to 39 999 kg;Vehicle 8 years old;1995;;;;;;;;;;
967;Road tractors (LC) to 39 999 kg;Vehicle 8 years old;1996;;;;;;;;;;
968;Road tractors (LC) to 39 999 kg;Vehicle 8 years old;1997;;;;;;;;;;
969;Road tractors (LC) to 39 999 kg;Vehicle 8 years old;1998;;;;;;;;;;
970;Road tractors (LC) to 39 999 kg;Vehicle 8 years old;1999;;;;;;;;;;
971;Road tractors (LC) to 39 999 kg;Vehicle 8 years old;2000;;;;;;;;;;
972;Road tractors (LC) to 39 999 kg;Vehicle 8 years old;2001;;;;;;;;;;
973;Road tractors (LC) to 39 999 kg;Vehicle 8 years old;2002;18.8;17.5;1.2;25.8;17.5;8.2;52022.0;35375.0;16647.0;495.0
974;Road tractors (LC) to 39 999 kg;Vehicle 8 years old;2003;18.4;17.2;1.2;25.4;17.2;8.1;42395.0;28828.0;13566.0;598.0
975;Road tractors (LC) to 39 999 kg;Vehicle 8 years old;2004;21.1;19.6;1.4;28.9;19.6;9.2;47159.0;32068.0;15091.0;612.0
976;Road tractors (LC) to 39 999 kg;Vehicle 8 years old;2005;18.7;17.3;1.3;25.5;17.3;8.1;44113.0;29997.0;14116.0;577.0
977;Road tractors (LC) to 39 999 kg;Vehicle 8 years old;2006;24.9;23.0;2.0;33.8;23.0;10.8;47565.0;32344.0;15221.0;710.0
978;Road tractors (LC) to 39 999 kg;Vehicle 8 years old;2007;32.0;29.3;2.7;43.1;29.3;13.8;49082.0;33376.0;15706.0;879.0
979;Road tractors (LC) to 39 999 kg;Vehicle 8 years old;2008;30.8;28.3;2.5;41.0;28.3;12.7;45272.0;31238.0;14034.0;905.0
980;Road tractors (LC) to 39 999 kg;Vehicle 8 years old;2009;30.2;27.7;2.6;40.0;27.7;12.4;39839.0;27542.0;12297.0;1005.0
981;Road tractors (LC) to 39 999 kg;Vehicle 8 years old;2010;27.2;25.2;2.0;34.5;25.2;9.3;41530.0;30374.0;11156.0;830.0
982;Road tractors (LC) to 39 999 kg;Vehicle 8 years old;2011;22.3;20.4;1.9;29.7;20.4;9.3;41223.0;28312.0;12911.0;720.0
983;Road tractors (LC) to 39 999 kg;Vehicle 8 years old;2012;28.3;25.6;2.7;38.3;25.6;12.7;43582.0;29170.0;14412.0;878.0
984;Road tractors (LC) to 39 999 kg;Vehicle 8 years old;2013;31.4;28.4;3.0;42.9;28.4;14.5;45167.0;29901.0;15267.0;949.0
985;Road tractors (LC) to 39 999 kg;Vehicle 8 years old;2014;43.1;38.3;4.7;60.3;38.3;21.9;48143.0;30619.0;17524.0;1252.0
986;Road tractors (LC) to 39 999 kg;Vehicle 8 years old;2015;52.4;45.7;6.6;72.5;45.7;26.7;47164.0;29760.0;17403.0;1537.0
987;Road tractors (LC) to 39 999 kg;Vehicle 8 years old;2016;54.1;48.1;6.0;68.7;48.1;20.6;44024.0;30817.0;13207.0;1561.0
988;Road tractors (LC) to 39 999 kg;Vehicle 8 years old;2017;35.7;32.3;3.5;43.5;32.3;11.3;43505.0;32237.0;11268.0;1001.0
989;Road tractors (LC) to 39 999 kg;Vehicle 8 years old;2018;24.4;21.8;2.6;30.4;21.8;8.6;37073.0;26582.0;10492.0;819.0
990;Road tractors (LC) to 39 999 kg;Vehicle 8 years old;2019;38.2;34.2;4.0;46.5;34.2;12.3;38492.0;28292.0;10200.0;1208.0
991;Road tractors (LC) to 39 999 kg;Vehicle 8 years old;2020;40.9;37.1;3.8;47.6;37.1;10.5;40108.0;31244.0;8864.0;1188.0
992;Road tractors (LC) to 39 999 kg;Vehicle 9 years old or older;1990;;;;;;;;;;
993;Road tractors (LC) to 39 999 kg;Vehicle 9 years old or older;1991;;;;;;;;;;
994;Road tractors (LC) to 39 999 kg;Vehicle 9 years old or older;1992;;;;;;;;;;
995;Road tractors (LC) to 39 999 kg;Vehicle 9 years old or older;1993;;;;;;;;;;
996;Road tractors (LC) to 39 999 kg;Vehicle 9 years old or older;1994;;;;;;;;;;
997;Road tractors (LC) to 39 999 kg;Vehicle 9 years old or older;1995;;;;;;;;;;
998;Road tractors (LC) to 39 999 kg;Vehicle 9 years old or older;1996;;;;;;;;;;
999;Road tractors (LC) to 39 999 kg;Vehicle 9 years old or older;1997;;;;;;;;;;
1000;Road tractors (LC) to 39 999 kg;Vehicle 9 years old or older;1998;;;;;;;;;;
1001;Road tractors (LC) to 39 999 kg;Vehicle 9 years old or older;1999;;;;;;;;;;
1002;Road tractors (LC) to 39 999 kg;Vehicle 9 years old or older;2000;;;;;;;;;;
1003;Road tractors (LC) to 39 999 kg;Vehicle 9 years old or older;2001;;;;;;;;;;
1004;Road tractors (LC) to 39 999 kg;Vehicle 9 years old or older;2002;56.0;53.3;2.7;71.4;53.3;18.1;17719.0;13230.0;4490.0;4029.0
1005;Road tractors (LC) to 39 999 kg;Vehicle 9 years old or older;2003;50.2;47.8;2.4;64.0;47.8;16.1;20134.0;15054.0;5080.0;3177.0
1006;Road tractors (LC) to 39 999 kg;Vehicle 9 years old or older;2004;51.8;49.2;2.6;65.7;49.2;16.5;20029.0;14999.0;5031.0;3281.0
1007;Road tractors (LC) to 39 999 kg;Vehicle 9 years old or older;2005;56.7;53.7;3.0;71.8;53.7;18.1;22174.0;16578.0;5597.0;3240.0
1008;Road tractors (LC) to 39 999 kg;Vehicle 9 years old or older;2006;58.9;55.6;3.4;74.1;55.6;18.5;21392.0;16042.0;5351.0;3465.0
1009;Road tractors (LC) to 39 999 kg;Vehicle 9 years old or older;2007;73.3;68.9;4.5;92.0;68.9;23.2;24231.0;18133.0;6098.0;3797.0
1010;Road tractors (LC) to 39 999 kg;Vehicle 9 years old or older;2008;86.9;81.9;5.0;107.1;81.9;25.2;25249.0;19304.0;5945.0;4242.0
1011;Road tractors (LC) to 39 999 kg;Vehicle 9 years old or older;2009;86.5;81.7;4.8;105.0;81.7;23.2;22597.0;17596.0;5001.0;4645.0
1012;Road tractors (LC) to 39 999 kg;Vehicle 9 years old or older;2010;91.7;87.7;4.0;106.4;87.7;18.6;21245.0;17522.0;3723.0;5006.0
1013;Road tractors (LC) to 39 999 kg;Vehicle 9 years old or older;2011;95.4;90.3;5.1;115.4;90.3;25.1;21867.0;17117.0;4750.0;5277.0
1014;Road tractors (LC) to 39 999 kg;Vehicle 9 years old or older;2012;91.2;85.9;5.3;110.7;85.9;24.9;20190.0;15655.0;4534.0;5484.0
1015;Road tractors (LC) to 39 999 kg;Vehicle 9 years old or older;2013;86.0;79.0;7.0;113.0;79.0;33.9;19495.0;13636.0;5859.0;5794.0
1016;Road tractors (LC) to 39 999 kg;Vehicle 9 years old or older;2014;90.6;82.7;7.9;119.2;82.7;36.5;19622.0;13615.0;6006.0;6073.0
1017;Road tractors (LC) to 39 999 kg;Vehicle 9 years old or older;2015;115.7;104.7;11.0;148.8;104.7;44.1;22390.0;15750.0;6640.0;6648.0
1018;Road tractors (LC) to 39 999 kg;Vehicle 9 years old or older;2016;143.4;129.3;14.1;177.9;129.3;48.6;23352.0;16975.0;6377.0;7617.0
1019;Road tractors (LC) to 39 999 kg;Vehicle 9 years old or older;2017;159.8;142.4;17.4;199.0;142.4;56.6;23232.0;16626.0;6606.0;8566.0
1020;Road tractors (LC) to 39 999 kg;Vehicle 9 years old or older;2018;160.8;146.2;14.7;194.7;146.2;48.5;21818.0;16380.0;5438.0;8923.0
1021;Road tractors (LC) to 39 999 kg;Vehicle 9 years old or older;2019;141.1;127.9;13.2;168.6;127.9;40.6;18729.0;14214.0;4514.0;9001.0
1022;Road tractors (LC) to 39 999 kg;Vehicle 9 years old or older;2020;133.0;119.8;13.2;156.9;119.8;37.0;16671.0;12734.0;3937.0;9410.0
1023;Road tractors (LC)  40 000 kg or more;Total goods vehicles;1990;;;;;;;;;;
1024;Road tractors (LC)  40 000 kg or more;Total goods vehicles;1991;;;;;;;;;;
1025;Road tractors (LC)  40 000 kg or more;Total goods vehicles;1992;;;;;;;;;;
1026;Road tractors (LC)  40 000 kg or more;Total goods vehicles;1993;;;;;;;;;;
1027;Road tractors (LC)  40 000 kg or more;Total goods vehicles;1994;;;;;;;;;;
1028;Road tractors (LC)  40 000 kg or more;Total goods vehicles;1995;;;;;;;;;;
1029;Road tractors (LC)  40 000 kg or more;Total goods vehicles;1996;;;;;;;;;;
1030;Road tractors (LC)  40 000 kg or more;Total goods vehicles;1997;;;;;;;;;;
1031;Road tractors (LC)  40 000 kg or more;Total goods vehicles;1998;;;;;;;;;;
1032;Road tractors (LC)  40 000 kg or more;Total goods vehicles;1999;;;;;;;;;;
1033;Road tractors (LC)  40 000 kg or more;Total goods vehicles;2000;;;;;;;;;;
1034;Road tractors (LC)  40 000 kg or more;Total goods vehicles;2001;;;;;;;;;;
1035;Road tractors (LC)  40 000 kg or more;Total goods vehicles;2002;3204.4;2773.4;431.0;5622.6;2773.4;2849.2;92683.0;45717.0;46966.0;60665.0
