ID;Geslacht;Leeftijd;Perioden;Bevolking_1
228;Totaal mannen en vrouwen;4 jaar;2043;201906
229;Totaal mannen en vrouwen;4 jaar;2044;200595
230;Totaal mannen en vrouwen;4 jaar;2045;199334
231;Totaal mannen en vrouwen;4 jaar;2046;198133
232;Totaal mannen en vrouwen;4 jaar;2047;197046
233;Totaal mannen en vrouwen;4 jaar;2048;196112
234;Totaal mannen en vrouwen;4 jaar;2049;195362
235;Totaal mannen en vrouwen;4 jaar;2050;194753
236;Totaal mannen en vrouwen;4 jaar;2051;194301
237;Totaal mannen en vrouwen;4 jaar;2052;194023
238;Totaal mannen en vrouwen;4 jaar;2053;193969
239;Totaal mannen en vrouwen;4 jaar;2054;194223
240;Totaal mannen en vrouwen;4 jaar;2055;194803
241;Totaal mannen en vrouwen;4 jaar;2056;195686
242;Totaal mannen en vrouwen;4 jaar;2057;196826
243;Totaal mannen en vrouwen;4 jaar;2058;198199
244;Totaal mannen en vrouwen;4 jaar;2059;199796
245;Totaal mannen en vrouwen;4 jaar;2060;201536
246;Totaal mannen en vrouwen;5 jaar;2020;179980
247;Totaal mannen en vrouwen;5 jaar;2021;176141
248;Totaal mannen en vrouwen;5 jaar;2022;178148
249;Totaal mannen en vrouwen;5 jaar;2023;176225
250;Totaal mannen en vrouwen;5 jaar;2024;175518
251;Totaal mannen en vrouwen;5 jaar;2025;177883
252;Totaal mannen en vrouwen;5 jaar;2026;177902
253;Totaal mannen en vrouwen;5 jaar;2027;180715
254;Totaal mannen en vrouwen;5 jaar;2028;184292
255;Totaal mannen en vrouwen;5 jaar;2029;188679
256;Totaal mannen en vrouwen;5 jaar;2030;192794
257;Totaal mannen en vrouwen;5 jaar;2031;196193
258;Totaal mannen en vrouwen;5 jaar;2032;199659
259;Totaal mannen en vrouwen;5 jaar;2033;202492
260;Totaal mannen en vrouwen;5 jaar;2034;204664
261;Totaal mannen en vrouwen;5 jaar;2035;206104
262;Totaal mannen en vrouwen;5 jaar;2036;206967
263;Totaal mannen en vrouwen;5 jaar;2037;207426
264;Totaal mannen en vrouwen;5 jaar;2038;207476
265;Totaal mannen en vrouwen;5 jaar;2039;207216
266;Totaal mannen en vrouwen;5 jaar;2040;206646
267;Totaal mannen en vrouwen;5 jaar;2041;205960
268;Totaal mannen en vrouwen;5 jaar;2042;205202
269;Totaal mannen en vrouwen;5 jaar;2043;204148
270;Totaal mannen en vrouwen;5 jaar;2044;202919
271;Totaal mannen en vrouwen;5 jaar;2045;201613
272;Totaal mannen en vrouwen;5 jaar;2046;200354
273;Totaal mannen en vrouwen;5 jaar;2047;199160
274;Totaal mannen en vrouwen;5 jaar;2048;198080
275;Totaal mannen en vrouwen;5 jaar;2049;197152
276;Totaal mannen en vrouwen;5 jaar;2050;196404
277;Totaal mannen en vrouwen;5 jaar;2051;195798
278;Totaal mannen en vrouwen;5 jaar;2052;195350
279;Totaal mannen en vrouwen;5 jaar;2053;195078
280;Totaal mannen en vrouwen;5 jaar;2054;195027
281;Totaal mannen en vrouwen;5 jaar;2055;195287
282;Totaal mannen en vrouwen;5 jaar;2056;195870
283;Totaal mannen en vrouwen;5 jaar;2057;196757
284;Totaal mannen en vrouwen;5 jaar;2058;197899
285;Totaal mannen en vrouwen;5 jaar;2059;199274
286;Totaal mannen en vrouwen;5 jaar;2060;200871
287;Totaal mannen en vrouwen;6 jaar;2020;176423
288;Totaal mannen en vrouwen;6 jaar;2021;181222
289;Totaal mannen en vrouwen;6 jaar;2022;177396
290;Totaal mannen en vrouwen;6 jaar;2023;179350
291;Totaal mannen en vrouwen;6 jaar;2024;177386
292;Totaal mannen en vrouwen;6 jaar;2025;176645
293;Totaal mannen en vrouwen;6 jaar;2026;178959
294;Totaal mannen en vrouwen;6 jaar;2027;178983
295;Totaal mannen en vrouwen;6 jaar;2028;181803
296;Totaal mannen en vrouwen;6 jaar;2029;185384
297;Totaal mannen en vrouwen;6 jaar;2030;189750
298;Totaal mannen en vrouwen;6 jaar;2031;193853
299;Totaal mannen en vrouwen;6 jaar;2032;197240
300;Totaal mannen en vrouwen;6 jaar;2033;200690
301;Totaal mannen en vrouwen;6 jaar;2034;203509
302;Totaal mannen en vrouwen;6 jaar;2035;205678
303;Totaal mannen en vrouwen;6 jaar;2036;207119
304;Totaal mannen en vrouwen;6 jaar;2037;207982
305;Totaal mannen en vrouwen;6 jaar;2038;208441
306;Totaal mannen en vrouwen;6 jaar;2039;208491
307;Totaal mannen en vrouwen;6 jaar;2040;208233
308;Totaal mannen en vrouwen;6 jaar;2041;207665
309;Totaal mannen en vrouwen;6 jaar;2042;206981
310;Totaal mannen en vrouwen;6 jaar;2043;206228
311;Totaal mannen en vrouwen;6 jaar;2044;205175
312;Totaal mannen en vrouwen;6 jaar;2045;203950
313;Totaal mannen en vrouwen;6 jaar;2046;202649
314;Totaal mannen en vrouwen;6 jaar;2047;201395
315;Totaal mannen en vrouwen;6 jaar;2048;200208
316;Totaal mannen en vrouwen;6 jaar;2049;199133
317;Totaal mannen en vrouwen;6 jaar;2050;198210
318;Totaal mannen en vrouwen;6 jaar;2051;197468
319;Totaal mannen en vrouwen;6 jaar;2052;196865
320;Totaal mannen en vrouwen;6 jaar;2053;196422
321;Totaal mannen en vrouwen;6 jaar;2054;196155
322;Totaal mannen en vrouwen;6 jaar;2055;196108
323;Totaal mannen en vrouwen;6 jaar;2056;196374
324;Totaal mannen en vrouwen;6 jaar;2057;196962
325;Totaal mannen en vrouwen;6 jaar;2058;197852
326;Totaal mannen en vrouwen;6 jaar;2059;198996
327;Totaal mannen en vrouwen;6 jaar;2060;200370
328;Totaal mannen en vrouwen;7 jaar;2020;181271
329;Totaal mannen en vrouwen;7 jaar;2021;177732
330;Totaal mannen en vrouwen;7 jaar;2022;182498
331;Totaal mannen en vrouwen;7 jaar;2023;178606
332;Totaal mannen en vrouwen;7 jaar;2024;180548
333;Totaal mannen en vrouwen;7 jaar;2025;178525
334;Totaal mannen en vrouwen;7 jaar;2026;177743
335;Totaal mannen en vrouwen;7 jaar;2027;180016
336;Totaal mannen en vrouwen;7 jaar;2028;180068
337;Totaal mannen en vrouwen;7 jaar;2029;182896
338;Totaal mannen en vrouwen;7 jaar;2030;186466
339;Totaal mannen en vrouwen;7 jaar;2031;190819
340;Totaal mannen en vrouwen;7 jaar;2032;194909
341;Totaal mannen en vrouwen;7 jaar;2033;198289
342;Totaal mannen en vrouwen;7 jaar;2034;201721
343;Totaal mannen en vrouwen;7 jaar;2035;204536
344;Totaal mannen en vrouwen;7 jaar;2036;206706
345;Totaal mannen en vrouwen;7 jaar;2037;208144
346;Totaal mannen en vrouwen;7 jaar;2038;209010
347;Totaal mannen en vrouwen;7 jaar;2039;209469
348;Totaal mannen en vrouwen;7 jaar;2040;209521
349;Totaal mannen en vrouwen;7 jaar;2041;209261
350;Totaal mannen en vrouwen;7 jaar;2042;208698
351;Totaal mannen en vrouwen;7 jaar;2043;208019
352;Totaal mannen en vrouwen;7 jaar;2044;207270
353;Totaal mannen en vrouwen;7 jaar;2045;206219
354;Totaal mannen en vrouwen;7 jaar;2046;204997
355;Totaal mannen en vrouwen;7 jaar;2047;203705
356;Totaal mannen en vrouwen;7 jaar;2048;202456
357;Totaal mannen en vrouwen;7 jaar;2049;201276
358;Totaal mannen en vrouwen;7 jaar;2050;200206
359;Totaal mannen en vrouwen;7 jaar;2051;199289
360;Totaal mannen en vrouwen;7 jaar;2052;198548
361;Totaal mannen en vrouwen;7 jaar;2053;197950
362;Totaal mannen en vrouwen;7 jaar;2054;197509
363;Totaal mannen en vrouwen;7 jaar;2055;197246
364;Totaal mannen en vrouwen;7 jaar;2056;197205
365;Totaal mannen en vrouwen;7 jaar;2057;197476
366;Totaal mannen en vrouwen;7 jaar;2058;198067
367;Totaal mannen en vrouwen;7 jaar;2059;198962
