ID;Feedstocks;Destination;Periods;TotalSupply_1;IndigenousProduction_2;ProductionFromCrudeOil_3;ProductionFromOtherSources_4;Imports_5;Exports_6;StockChange_7;TotalConsumption_8;Processing_9;FinalConsumption_10;OpeningStock_11;ClosingStock_12;StockChange_13
1568;Crude oil;Destined for processing the Netherlands;2011 November;3944.0;89.0;;;3715.0;39.0;179.0;3944.0;3944.0;0.0;3339.0;3160.0;179.0
1569;Crude oil;Destined for processing the Netherlands;2011 December;4336.0;93.0;;;4282.0;45.0;7.0;4336.0;4336.0;0.0;3160.0;3153.0;7.0
1570;Crude oil;Destined for processing the Netherlands;2011 4th quarter;12377.0;265.0;;;11289.0;108.0;931.0;12377.0;12377.0;0.0;4084.0;3153.0;931.0
1571;Crude oil;Destined for processing the Netherlands;2011;50325.0;1081.0;;;48944.0;395.0;695.0;50325.0;50325.0;0.0;3848.0;3153.0;695.0
1572;Crude oil;Destined for processing the Netherlands;2012 January;4463.0;103.0;;;4045.0;18.0;333.0;4463.0;4463.0;0.0;3153.0;2820.0;333.0
1573;Crude oil;Destined for processing the Netherlands;2012 February;4381.0;112.0;;;4609.0;42.0;-297.0;4381.0;4381.0;0.0;2820.0;3118.0;-297.0
1574;Crude oil;Destined for processing the Netherlands;2012 March;4377.0;115.0;;;4426.0;29.0;-135.0;4377.0;4377.0;0.0;3118.0;3252.0;-135.0
1575;Crude oil;Destined for processing the Netherlands;2012 1st quarter;13222.0;330.0;;;13080.0;89.0;-99.0;13222.0;13222.0;0.0;3153.0;3252.0;-99.0
1576;Crude oil;Destined for processing the Netherlands;2012 April;4363.0;87.0;;;4303.0;24.0;-3.0;4363.0;4363.0;0.0;3252.0;3256.0;-3.0
1577;Crude oil;Destined for processing the Netherlands;2012 May;4622.0;106.0;;;5032.0;46.0;-470.0;4622.0;4622.0;0.0;3256.0;3725.0;-470.0
1578;Crude oil;Destined for processing the Netherlands;2012 June;4323.0;88.0;;;3791.0;44.0;488.0;4323.0;4323.0;0.0;3725.0;3237.0;488.0
1579;Crude oil;Destined for processing the Netherlands;2012 2nd quarter;13308.0;281.0;;;13126.0;114.0;15.0;13308.0;13308.0;0.0;3252.0;3237.0;15.0
1580;Crude oil;Destined for processing the Netherlands;2012 July;4409.0;75.0;;;4322.0;62.0;74.0;4409.0;4409.0;0.0;3237.0;3163.0;74.0
1581;Crude oil;Destined for processing the Netherlands;2012 August;4348.0;73.0;;;4423.0;44.0;-104.0;4348.0;4348.0;0.0;3163.0;3267.0;-104.0
1582;Crude oil;Destined for processing the Netherlands;2012 September;4347.0;69.0;;;4032.0;36.0;282.0;4347.0;4347.0;0.0;3267.0;2985.0;282.0
1583;Crude oil;Destined for processing the Netherlands;2012 3rd quarter;13104.0;218.0;;;12776.0;142.0;252.0;13104.0;13104.0;0.0;3237.0;2985.0;252.0
1584;Crude oil;Destined for processing the Netherlands;2012 October;3052.0;83.0;;;3419.0;65.0;-386.0;3052.0;3052.0;0.0;2985.0;3370.0;-386.0
1585;Crude oil;Destined for processing the Netherlands;2012 November;3452.0;96.0;;;3370.0;30.0;16.0;3452.0;3452.0;0.0;3370.0;3355.0;16.0
1586;Crude oil;Destined for processing the Netherlands;2012 December;4212.0;103.0;;;4061.0;47.0;95.0;4212.0;4212.0;0.0;3355.0;3260.0;95.0
1587;Crude oil;Destined for processing the Netherlands;2012 4th quarter;10716.0;283.0;;;10850.0;142.0;-275.0;10716.0;10716.0;0.0;2985.0;3260.0;-275.0
1588;Crude oil;Destined for processing the Netherlands;2012;50350.0;1111.0;;;49833.0;486.0;-107.0;50350.0;50350.0;0.0;3153.0;3260.0;-107.0
1589;Crude oil;Destined for processing the Netherlands;2013 January;4309.0;100.0;;;4130.0;47.0;127.0;4309.0;4309.0;0.0;3260.0;3133.0;127.0
1590;Crude oil;Destined for processing the Netherlands;2013 February;3824.0;93.0;;;3959.0;60.0;-168.0;3824.0;3824.0;0.0;3133.0;3301.0;-168.0
1591;Crude oil;Destined for processing the Netherlands;2013 March;3955.0;111.0;;;3887.0;40.0;-4.0;3955.0;3955.0;0.0;3301.0;3305.0;-4.0
1592;Crude oil;Destined for processing the Netherlands;2013 1st quarter;12088.0;304.0;;;11976.0;147.0;-45.0;12088.0;12088.0;0.0;3260.0;3305.0;-45.0
1593;Crude oil;Destined for processing the Netherlands;2013 April;4206.0;98.0;;;4112.0;55.0;50.0;4206.0;4206.0;0.0;3305.0;3255.0;50.0
1594;Crude oil;Destined for processing the Netherlands;2013 May;4167.0;98.0;;;3946.0;54.0;177.0;4167.0;4167.0;0.0;3255.0;3079.0;177.0
1595;Crude oil;Destined for processing the Netherlands;2013 June;4031.0;89.0;;;4318.0;28.0;-348.0;4031.0;4031.0;0.0;3079.0;3426.0;-348.0
1596;Crude oil;Destined for processing the Netherlands;2013 2nd quarter;12405.0;286.0;;;12377.0;137.0;-121.0;12405.0;12405.0;0.0;3305.0;3426.0;-121.0
1597;Crude oil;Destined for processing the Netherlands;2013 July;4177.0;80.0;;;4262.0;29.0;-136.0;4177.0;4177.0;0.0;3426.0;3562.0;-136.0
1598;Crude oil;Destined for processing the Netherlands;2013 August;4274.0;85.0;;;3664.0;45.0;570.0;4274.0;4274.0;0.0;3562.0;2992.0;570.0
1599;Crude oil;Destined for processing the Netherlands;2013 September;3707.0;79.0;;;3811.0;49.0;-133.0;3707.0;3707.0;0.0;2992.0;3126.0;-133.0
1600;Crude oil;Destined for processing the Netherlands;2013 3rd quarter;12158.0;244.0;;;11737.0;123.0;301.0;12158.0;12158.0;0.0;3426.0;3126.0;301.0
1601;Crude oil;Destined for processing the Netherlands;2013 October;3219.0;94.0;;;3667.0;53.0;-490.0;3219.0;3219.0;0.0;3126.0;3615.0;-490.0
1602;Crude oil;Destined for processing the Netherlands;2013 November;3757.0;102.0;;;3707.0;47.0;-5.0;3757.0;3757.0;0.0;3615.0;3621.0;-5.0
1603;Crude oil;Destined for processing the Netherlands;2013 December;4081.0;92.0;;;3719.0;36.0;306.0;4081.0;4081.0;0.0;3621.0;3315.0;306.0
1604;Crude oil;Destined for processing the Netherlands;2013 4th quarter;11056.0;288.0;;;11093.0;136.0;-189.0;11056.0;11056.0;0.0;3126.0;3315.0;-189.0
1605;Crude oil;Destined for processing the Netherlands;2013;47707.0;1122.0;;;47184.0;544.0;-55.0;47707.0;47707.0;0.0;3260.0;3315.0;-55.0
1606;Crude oil;Destined for processing the Netherlands;2014 January;4199.0;99.0;;;3859.0;47.0;287.0;4199.0;4199.0;0.0;3315.0;3027.0;287.0
1607;Crude oil;Destined for processing the Netherlands;2014 February;3975.0;89.0;;;2882.0;36.0;1040.0;3975.0;3975.0;0.0;3027.0;1987.0;1040.0
1608;Crude oil;Destined for processing the Netherlands;2014 March;4140.0;122.0;;;4454.0;60.0;-375.0;4140.0;4126.0;0.0;1987.0;2362.0;-375.0
1609;Crude oil;Destined for processing the Netherlands;2014 1st quarter;12314.0;311.0;;;11195.0;144.0;952.0;12314.0;12314.0;0.0;3315.0;2362.0;952.0
1610;Crude oil;Destined for processing the Netherlands;2014 April;4129.0;129.0;;;3674.0;66.0;393.0;4129.0;4129.0;0.0;2362.0;1970.0;393.0
1611;Crude oil;Destined for processing the Netherlands;2014 May;4141.0;140.0;;;4288.0;91.0;-197.0;4141.0;4141.0;0.0;1970.0;2167.0;-197.0
1612;Crude oil;Destined for processing the Netherlands;2014 June;3684.0;103.0;;;3925.0;32.0;-312.0;3684.0;3684.0;0.0;2167.0;2479.0;-312.0
1613;Crude oil;Destined for processing the Netherlands;2014 2nd quarter;11954.0;372.0;;;11887.0;189.0;-116.0;11954.0;11954.0;0.0;2362.0;2479.0;-116.0
1614;Crude oil;Destined for processing the Netherlands;2014 July;4012.0;113.0;;;3792.0;36.0;143.0;4012.0;4012.0;0.0;2479.0;2335.0;143.0
1615;Crude oil;Destined for processing the Netherlands;2014 August;4120.0;145.0;;;3901.0;57.0;131.0;4120.0;4120.0;0.0;2335.0;2205.0;131.0
1616;Crude oil;Destined for processing the Netherlands;2014 September;4282.0;142.0;;;3860.0;42.0;309.0;4282.0;4282.0;0.0;2205.0;1896.0;309.0
1617;Crude oil;Destined for processing the Netherlands;2014 3rd quarter;12414.0;400.0;;;11554.0;135.0;583.0;12414.0;12414.0;0.0;2479.0;1896.0;583.0
1618;Crude oil;Destined for processing the Netherlands;2014 October;4676.0;148.0;;;4587.0;45.0;-14.0;4676.0;4676.0;0.0;1896.0;1910.0;-14.0
1619;Crude oil;Destined for processing the Netherlands;2014 November;4270.0;146.0;;;3869.0;58.0;313.0;4270.0;4270.0;0.0;1910.0;1597.0;313.0
1620;Crude oil;Destined for processing the Netherlands;2014 December;4170.0;149.0;;;4395.0;44.0;-330.0;4170.0;4170.0;0.0;1597.0;1927.0;-330.0
1621;Crude oil;Destined for processing the Netherlands;2014 4th quarter;13115.0;442.0;;;12850.0;146.0;-31.0;13115.0;13115.0;0.0;1896.0;1927.0;-31.0
1622;Crude oil;Destined for processing the Netherlands;2014;49797.0;1525.0;;;47486.0;614.0;1388.0;49797.0;49797.0;0.0;3315.0;1927.0;1388.0
1623;Crude oil;Destined for processing the Netherlands;2015 January;4580.0;133.0;;;4531.0;65.0;-19.0;4580.0;4580.0;0.0;1927.0;1945.0;-19.0
1624;Crude oil;Destined for processing the Netherlands;2015 February;4273.0;128.0;;;4540.0;46.0;-348.0;4273.0;4273.0;0.0;1945.0;2293.0;-348.0
1625;Crude oil;Destined for processing the Netherlands;2015 March;4011.0;146.0;;;3953.0;50.0;-37.0;4011.0;4011.0;0.0;2293.0;2330.0;-37.0
1626;Crude oil;Destined for processing the Netherlands;2015 1st quarter;12865.0;406.0;;;13023.0;161.0;-403.0;12865.0;12865.0;0.0;1927.0;2330.0;-403.0
1627;Crude oil;Destined for processing the Netherlands;2015 April;4031.0;118.0;;;3966.0;30.0;-24.0;4031.0;4031.0;0.0;2330.0;2354.0;-24.0
1628;Crude oil;Destined for processing the Netherlands;2015 May;4667.0;120.0;;;4673.0;46.0;-80.0;4667.0;4667.0;0.0;2354.0;2434.0;-80.0
1629;Crude oil;Destined for processing the Netherlands;2015 June;4405.0;95.0;;;4400.0;10.0;-80.0;4405.0;4405.0;0.0;2434.0;2515.0;-80.0
1630;Crude oil;Destined for processing the Netherlands;2015 2nd quarter;13103.0;334.0;;;13039.0;86.0;-185.0;13103.0;13103.0;0.0;2330.0;2515.0;-185.0
1631;Crude oil;Destined for processing the Netherlands;2015 July;4483.0;106.0;;;4070.0;4.0;311.0;4483.0;4483.0;0.0;2515.0;2204.0;311.0
1632;Crude oil;Destined for processing the Netherlands;2015 August;4500.0;114.0;;;4433.0;4.0;-43.0;4500.0;4500.0;0.0;2204.0;2247.0;-43.0
1633;Crude oil;Destined for processing the Netherlands;2015 September;4480.0;100.0;;;4174.0;4.0;211.0;4480.0;4480.0;0.0;2247.0;2035.0;211.0
1634;Crude oil;Destined for processing the Netherlands;2015 3rd quarter;13463.0;320.0;;;12677.0;13.0;479.0;13463.0;13463.0;0.0;2515.0;2035.0;479.0
1635;Crude oil;Destined for processing the Netherlands;2015 October;4775.0;101.0;;;4705.0;5.0;-26.0;4775.0;4775.0;0.0;2035.0;2062.0;-26.0
1636;Crude oil;Destined for processing the Netherlands;2015 November;3934.0;128.0;;;4106.0;5.0;-295.0;3934.0;3934.0;0.0;2062.0;2357.0;-295.0
1637;Crude oil;Destined for processing the Netherlands;2015 December;4646.0;107.0;;;4686.0;23.0;-124.0;4646.0;4646.0;0.0;2357.0;2481.0;-124.0
1638;Crude oil;Destined for processing the Netherlands;2015 4th quarter;13356.0;336.0;;;13497.0;32.0;-445.0;13356.0;13356.0;0.0;2035.0;2481.0;-445.0
1639;Crude oil;Destined for processing the Netherlands;2015;52787.0;1396.0;;;52237.0;292.0;-554.0;52787.0;52787.0;0.0;1927.0;2481.0;-554.0
1640;Crude oil;Destined for transit to other countries;1944;;;;;;;;;;;;;
1641;Crude oil;Destined for transit to other countries;1945;;;;;;;;;;;;;
1642;Crude oil;Destined for transit to other countries;1946;;;;;;;;;;;;;
1643;Crude oil;Destined for transit to other countries;1947;;;;;;;;;;;;;
1644;Crude oil;Destined for transit to other countries;1948;;;;;;;;;;;;;
1645;Crude oil;Destined for transit to other countries;1949;;;;;;;;;;;;;
1646;Crude oil;Destined for transit to other countries;1950;;;;;;;;;;;;;
1647;Crude oil;Destined for transit to other countries;1951;;;;;;;;;;;;;
1648;Crude oil;Destined for transit to other countries;1952;;;;;;;;;;;;;
1649;Crude oil;Destined for transit to other countries;1953;;;;;;;;;;;;;
1650;Crude oil;Destined for transit to other countries;1954;;;;;;;;;;;;;
1651;Crude oil;Destined for transit to other countries;1955;;;;;;;;;;;;;
1652;Crude oil;Destined for transit to other countries;1956;;;;;;;;;;;;;
1653;Crude oil;Destined for transit to other countries;1957;;;;;;;;;;;;;
1654;Crude oil;Destined for transit to other countries;1958;;;;;;;;;;;;;
1655;Crude oil;Destined for transit to other countries;1959;;;;;;;;;;;;;
1656;Crude oil;Destined for transit to other countries;1960;;;;;;;;;;;;;
1657;Crude oil;Destined for transit to other countries;1961;;;;;;;;;;;;;
1658;Crude oil;Destined for transit to other countries;1962;;;;;;;;;;;;;
1659;Crude oil;Destined for transit to other countries;1963;;;;;;;;;;;;;
1660;Crude oil;Destined for transit to other countries;1964;;;;;;;;;;;;;
1661;Crude oil;Destined for transit to other countries;1965;;;;;;;;;;;;;
1662;Crude oil;Destined for transit to other countries;1966;;;;;;;;;;;;;
1663;Crude oil;Destined for transit to other countries;1967;;;;;;;;;;;;;
1664;Crude oil;Destined for transit to other countries;1968;;;;;;;;;;;;;
1665;Crude oil;Destined for transit to other countries;1969;;;;;;;;;;;;;
1666;Crude oil;Destined for transit to other countries;1970;;;;;;;;;;;;;
1667;Crude oil;Destined for transit to other countries;1971;;;;;;;;;;;;;
1668;Crude oil;Destined for transit to other countries;1972;;;;;;;;;;;;;
1669;Crude oil;Destined for transit to other countries;1973;;;;;;;;;;;;;
1670;Crude oil;Destined for transit to other countries;1974;;;;;;;;;;;;;
1671;Crude oil;Destined for transit to other countries;1975;;;;;;;;;;;;;
1672;Crude oil;Destined for transit to other countries;1976;;;;;;;;;;;;;
1673;Crude oil;Destined for transit to other countries;1977;;;;;;;;;;;;;
1674;Crude oil;Destined for transit to other countries;1978;20.0;;;;43737.0;43379.0;-338.0;20.0;20.0;;904.0;1242.0;-338.0
1675;Crude oil;Destined for transit to other countries;1979;;;;;54657.0;55027.0;;0.0;0.0;;;-370.0;
1676;Crude oil;Destined for transit to other countries;1980;-24.0;;;;50695.0;50310.0;-409.0;-24.0;-24.0;;2275.0;2684.0;-409.0
1677;Crude oil;Destined for transit to other countries;1981;-3.0;;;;43248.0;43929.0;677.0;-3.0;-3.0;;2903.0;2225.0;677.0
1678;Crude oil;Destined for transit to other countries;1982;-31.0;;;;39427.0;39984.0;527.0;-31.0;-31.0;;2225.0;1699.0;527.0
1679;Crude oil;Destined for transit to other countries;1983;-3.0;;;;30790.0;31205.0;413.0;-3.0;-3.0;;1699.0;1286.0;413.0
1680;Crude oil;Destined for transit to other countries;1984;-169.0;;;;31292.0;30710.0;-752.0;-169.0;-169.0;;1286.0;2038.0;-752.0
1681;Crude oil;Destined for transit to other countries;1985;-35.0;;;;28559.0;26959.0;-1635.0;-35.0;-35.0;;2038.0;3673.0;-1635.0
1682;Crude oil;Destined for transit to other countries;1986;2.0;;;;28280.0;28546.0;268.0;2.0;2.0;;3673.0;3405.0;268.0
1683;Crude oil;Destined for transit to other countries;1987;1.0;;;;27063.0;26430.0;-631.0;1.0;1.0;;3405.0;4036.0;-631.0
1684;Crude oil;Destined for transit to other countries;1988;-40.0;;;;30576.0;31754.0;1138.0;-40.0;-40.0;;4036.0;2899.0;1138.0
1685;Crude oil;Destined for transit to other countries;1989;62.0;;;;34263.0;33238.0;-964.0;62.0;62.0;;2899.0;3862.0;-964.0
1686;Crude oil;Destined for transit to other countries;1990;-18.0;;;;36413.0;36408.0;-24.0;-18.0;-18.0;;3862.0;3886.0;-24.0
1687;Crude oil;Destined for transit to other countries;1991;0.0;;;;41078.0;41487.0;409.0;0.0;0.0;;3886.0;3477.0;409.0
1688;Crude oil;Destined for transit to other countries;1992;-15.0;;;;43343.0;43102.0;-256.0;-15.0;-15.0;;3477.0;3733.0;-256.0
1689;Crude oil;Destined for transit to other countries;1993;-9.0;;;;42242.0;42314.0;62.0;-9.0;-9.0;;3733.0;3671.0;62.0
1690;Crude oil;Destined for transit to other countries;1994;-20.0;;;;40903.0;41404.0;481.0;-20.0;-20.0;;3671.0;3190.0;481.0
1691;Crude oil;Destined for transit to other countries;1995;-11.0;;;;38127.0;37924.0;-214.0;-11.0;-11.0;;3190.0;3404.0;-214.0
1692;Crude oil;Destined for transit to other countries;1996;0.0;;;;42799.0;43462.0;662.0;0.0;0.0;;3404.0;2741.0;662.0
1693;Crude oil;Destined for transit to other countries;1997;0.0;;;;44191.0;43539.0;-652.0;0.0;0.0;;2741.0;3394.0;-652.0
1694;Crude oil;Destined for transit to other countries;1998;0.0;;;;45253.0;44103.0;-1150.0;0.0;0.0;;3394.0;4543.0;-1150.0
1695;Crude oil;Destined for transit to other countries;1999;0.0;;;;42056.0;43369.0;1313.0;0.0;0.0;;4543.0;3230.0;1313.0
1696;Crude oil;Destined for transit to other countries;2000 January;0.0;;;;3668.0;3756.0;88.0;0.0;0.0;;3230.0;3142.0;88.0
1697;Crude oil;Destined for transit to other countries;2000 February;0.0;;;;3273.0;3297.0;24.0;0.0;0.0;;3142.0;3118.0;24.0
1698;Crude oil;Destined for transit to other countries;2000 March;0.0;;;;3914.0;3628.0;-286.0;0.0;0.0;;3118.0;3404.0;-286.0
1699;Crude oil;Destined for transit to other countries;2000 1st quarter;0.0;;;;10855.0;10681.0;-174.0;0.0;0.0;;3230.0;3404.0;-174.0
1700;Crude oil;Destined for transit to other countries;2000 April;0.0;;;;3316.0;3515.0;199.0;0.0;0.0;;3404.0;3205.0;199.0
1701;Crude oil;Destined for transit to other countries;2000 May;0.0;;;;3449.0;2708.0;-741.0;0.0;0.0;;3205.0;3946.0;-741.0
1702;Crude oil;Destined for transit to other countries;2000 June;0.0;;;;2455.0;2544.0;89.0;0.0;0.0;;3946.0;3857.0;89.0
1703;Crude oil;Destined for transit to other countries;2000 2nd quarter;0.0;;;;9220.0;8767.0;-453.0;0.0;0.0;;3404.0;3857.0;-453.0
1704;Crude oil;Destined for transit to other countries;2000 July;0.0;;;;3672.0;3661.0;-11.0;0.0;0.0;;3857.0;3868.0;-11.0
1705;Crude oil;Destined for transit to other countries;2000 August;0.0;;;;3752.0;3992.0;240.0;0.0;0.0;;3868.0;3628.0;240.0
1706;Crude oil;Destined for transit to other countries;2000 September;0.0;;;;3857.0;3626.0;-231.0;0.0;0.0;;3628.0;3859.0;-231.0
1707;Crude oil;Destined for transit to other countries;2000 3rd quarter;0.0;;;;11281.0;11279.0;-2.0;0.0;0.0;;3857.0;3859.0;-2.0
1708;Crude oil;Destined for transit to other countries;2000 October;0.0;;;;3785.0;3881.0;96.0;0.0;0.0;;3859.0;3763.0;96.0
1709;Crude oil;Destined for transit to other countries;2000 November;0.0;;;;4253.0;4368.0;115.0;0.0;0.0;;3763.0;3647.0;115.0
1710;Crude oil;Destined for transit to other countries;2000 December;0.0;;;;3582.0;3887.0;305.0;0.0;0.0;;3647.0;3342.0;305.0
1711;Crude oil;Destined for transit to other countries;2000 4th quarter;0.0;;;;11620.0;12136.0;516.0;0.0;0.0;;3859.0;3342.0;516.0
1712;Crude oil;Destined for transit to other countries;2000;0.0;;;;42975.0;42863.0;-112.0;0.0;0.0;;3230.0;3342.0;-112.0
1713;Crude oil;Destined for transit to other countries;2001 January;0.0;;;;3904.0;4105.0;202.0;0.0;0.0;;3342.0;3140.0;202.0
1714;Crude oil;Destined for transit to other countries;2001 February;0.0;;;;2856.0;3269.0;414.0;0.0;0.0;;3140.0;2727.0;414.0
1715;Crude oil;Destined for transit to other countries;2001 March;0.0;;;;3924.0;3132.0;-792.0;0.0;0.0;;2727.0;3518.0;-792.0
1716;Crude oil;Destined for transit to other countries;2001 1st quarter;0.0;;;;10683.0;10507.0;-176.0;0.0;0.0;;3342.0;3518.0;-176.0
1717;Crude oil;Destined for transit to other countries;2001 April;0.0;;;;3318.0;3016.0;-303.0;0.0;0.0;;3518.0;3821.0;-303.0
1718;Crude oil;Destined for transit to other countries;2001 May;0.0;;;;3719.0;3787.0;68.0;0.0;0.0;;3821.0;3753.0;68.0
1719;Crude oil;Destined for transit to other countries;2001 June;0.0;;;;2948.0;3265.0;317.0;0.0;0.0;;3753.0;3437.0;317.0
1720;Crude oil;Destined for transit to other countries;2001 2nd quarter;0.0;;;;9985.0;10067.0;82.0;0.0;0.0;;3518.0;3437.0;82.0
1721;Crude oil;Destined for transit to other countries;2001 July;0.0;;;;4114.0;3823.0;-291.0;0.0;0.0;;3437.0;3728.0;-291.0
1722;Crude oil;Destined for transit to other countries;2001 August;0.0;;;;3460.0;3737.0;277.0;0.0;0.0;;3728.0;3451.0;277.0
1723;Crude oil;Destined for transit to other countries;2001 September;0.0;;;;3976.0;3460.0;-516.0;0.0;0.0;;3451.0;3967.0;-516.0
1724;Crude oil;Destined for transit to other countries;2001 3rd quarter;0.0;;;;11550.0;11020.0;-530.0;0.0;0.0;;3437.0;3967.0;-530.0
1725;Crude oil;Destined for transit to other countries;2001 October;0.0;;;;3114.0;3281.0;167.0;0.0;0.0;;3967.0;3800.0;167.0
1726;Crude oil;Destined for transit to other countries;2001 November;0.0;;;;2641.0;2985.0;344.0;0.0;0.0;;3800.0;3456.0;344.0
1727;Crude oil;Destined for transit to other countries;2001 December;0.0;;;;3596.0;3549.0;-47.0;0.0;0.0;;3456.0;3503.0;-47.0
1728;Crude oil;Destined for transit to other countries;2001 4th quarter;0.0;;;;9352.0;9816.0;464.0;0.0;0.0;;3967.0;3503.0;464.0
1729;Crude oil;Destined for transit to other countries;2001;0.0;;;;41570.0;41410.0;-160.0;0.0;0.0;;3342.0;3503.0;-160.0
1730;Crude oil;Destined for transit to other countries;2002 January;0.0;;;;4158.0;3861.0;-297.0;0.0;0.0;;3503.0;3800.0;-297.0
1731;Crude oil;Destined for transit to other countries;2002 February;0.0;;;;3261.0;3537.0;276.0;0.0;0.0;;3800.0;3523.0;276.0
1732;Crude oil;Destined for transit to other countries;2002 March;0.0;;;;3631.0;3421.0;-210.0;0.0;0.0;;3523.0;3734.0;-210.0
1733;Crude oil;Destined for transit to other countries;2002 1st quarter;0.0;;;;11051.0;10819.0;-231.0;0.0;0.0;;3503.0;3734.0;-231.0
1734;Crude oil;Destined for transit to other countries;2002 April;0.0;;;;3681.0;3731.0;50.0;0.0;0.0;;3734.0;3684.0;50.0
1735;Crude oil;Destined for transit to other countries;2002 May;0.0;;;;3320.0;3883.0;562.0;0.0;0.0;;3684.0;3122.0;562.0
1736;Crude oil;Destined for transit to other countries;2002 June;0.0;;;;4324.0;3769.0;-556.0;0.0;0.0;;3122.0;3678.0;-556.0
1737;Crude oil;Destined for transit to other countries;2002 2nd quarter;0.0;;;;11326.0;11382.0;56.0;0.0;0.0;;3734.0;3678.0;56.0
1738;Crude oil;Destined for transit to other countries;2002 July;0.0;;;;3794.0;3845.0;51.0;0.0;0.0;;3678.0;3627.0;51.0
1739;Crude oil;Destined for transit to other countries;2002 August;0.0;;;;4019.0;3955.0;-65.0;0.0;0.0;;3627.0;3692.0;-65.0
1740;Crude oil;Destined for transit to other countries;2002 September;0.0;;;;3074.0;3692.0;618.0;0.0;0.0;;3692.0;3073.0;618.0
1741;Crude oil;Destined for transit to other countries;2002 3rd quarter;0.0;;;;10887.0;11492.0;604.0;0.0;0.0;;3678.0;3073.0;604.0
1742;Crude oil;Destined for transit to other countries;2002 October;0.0;;;;4557.0;3881.0;-676.0;0.0;0.0;;3073.0;3749.0;-676.0
1743;Crude oil;Destined for transit to other countries;2002 November;0.0;;;;3091.0;3670.0;579.0;0.0;0.0;;3749.0;3170.0;579.0
1744;Crude oil;Destined for transit to other countries;2002 December;0.0;;;;3592.0;3802.0;209.0;0.0;0.0;;3170.0;2961.0;209.0
1745;Crude oil;Destined for transit to other countries;2002 4th quarter;0.0;;;;11240.0;11353.0;112.0;0.0;0.0;;3073.0;2961.0;112.0
1746;Crude oil;Destined for transit to other countries;2002;0.0;;;;44504.0;45046.0;542.0;0.0;0.0;;3503.0;2961.0;542.0
1747;Crude oil;Destined for transit to other countries;2003 January;0.0;;;;3868.0;4111.0;243.0;0.0;0.0;;2961.0;2718.0;243.0
1748;Crude oil;Destined for transit to other countries;2003 February;0.0;;;;3351.0;3524.0;173.0;0.0;0.0;;2718.0;2545.0;173.0
1749;Crude oil;Destined for transit to other countries;2003 March;0.0;;;;4123.0;4081.0;-42.0;0.0;0.0;;2545.0;2587.0;-42.0
1750;Crude oil;Destined for transit to other countries;2003 1st quarter;0.0;;;;11342.0;11715.0;373.0;0.0;0.0;;2961.0;2587.0;373.0
1751;Crude oil;Destined for transit to other countries;2003 April;0.0;;;;3956.0;3908.0;-48.0;0.0;0.0;;2587.0;2635.0;-48.0
1752;Crude oil;Destined for transit to other countries;2003 May;0.0;;;;4326.0;4038.0;-287.0;0.0;0.0;;2635.0;2922.0;-287.0
1753;Crude oil;Destined for transit to other countries;2003 June;0.0;;;;3586.0;3768.0;183.0;0.0;0.0;;2922.0;2740.0;183.0
1754;Crude oil;Destined for transit to other countries;2003 2nd quarter;0.0;;;;11867.0;11715.0;-152.0;0.0;0.0;;2587.0;2740.0;-152.0
1755;Crude oil;Destined for transit to other countries;2003 July;0.0;;;;3750.0;3863.0;113.0;0.0;0.0;;2740.0;2627.0;113.0
1756;Crude oil;Destined for transit to other countries;2003 August;0.0;;;;3770.0;3590.0;-180.0;0.0;0.0;;2627.0;2807.0;-180.0
1757;Crude oil;Destined for transit to other countries;2003 September;0.0;;;;3534.0;3881.0;347.0;0.0;0.0;;2807.0;2460.0;347.0
1758;Crude oil;Destined for transit to other countries;2003 3rd quarter;0.0;;;;11054.0;11334.0;280.0;0.0;0.0;;2740.0;2460.0;280.0
1759;Crude oil;Destined for transit to other countries;2003 October;0.0;;;;4122.0;3763.0;-359.0;0.0;0.0;;2460.0;2819.0;-359.0
1760;Crude oil;Destined for transit to other countries;2003 November;0.0;;;;3802.0;3741.0;-61.0;0.0;0.0;;2819.0;2880.0;-61.0
1761;Crude oil;Destined for transit to other countries;2003 December;0.0;;;;3799.0;3994.0;195.0;0.0;0.0;;2880.0;2684.0;195.0
1762;Crude oil;Destined for transit to other countries;2003 4th quarter;0.0;;;;11723.0;11498.0;-224.0;0.0;0.0;;2460.0;2684.0;-224.0
1763;Crude oil;Destined for transit to other countries;2003;0.0;;;;45986.0;46262.0;276.0;0.0;0.0;;2961.0;2684.0;276.0
1764;Crude oil;Destined for transit to other countries;2004 January;0.0;;;;3719.0;3585.0;-134.0;0.0;0.0;;2684.0;2819.0;-134.0
1765;Crude oil;Destined for transit to other countries;2004 February;0.0;;;;3698.0;3720.0;21.0;0.0;0.0;;2819.0;2797.0;21.0
1766;Crude oil;Destined for transit to other countries;2004 March;0.0;;;;4072.0;3708.0;-364.0;0.0;0.0;;2797.0;3162.0;-364.0
1767;Crude oil;Destined for transit to other countries;2004 1st quarter;0.0;;;;11490.0;11012.0;-477.0;0.0;0.0;;2684.0;3162.0;-477.0
1768;Crude oil;Destined for transit to other countries;2004 April;0.0;;;;3674.0;3639.0;-35.0;0.0;0.0;;3162.0;3196.0;-35.0
1769;Crude oil;Destined for transit to other countries;2004 May;0.0;;;;3805.0;3583.0;-222.0;0.0;0.0;;3196.0;3419.0;-222.0
