ID;Persoonskenmerken;Perioden;VertrouwenInVerkiezingen_1;Stemcomputer_2;PapierenStembiljet_3;PerTelefoon_4;PerComputerThuis_5;PerPost_6;Kerken_7;Leger_8;Rechters_9;Pers_10;Politie_11;Ambtenaren_12;GroteBedrijven_13;EuropeseUnie_14;NAVO_15;TweedeKamer_16;VertrouwenInAndereMensen_17
127;21090;2010;70.0;53.0;72.0;;;;51.0;67.0;70.0;20.0;61.0;55.0;36.0;43.0;50.0;50.0;53.0
128;21090;2012;59.0;;;;;;54.0;62.0;69.0;25.0;66.0;54.0;34.0;39.0;45.0;56.0;51.0
129;21010;2006;79.0;84.0;79.0;7.0;27.0;17.0;86.0;68.0;75.0;20.0;75.0;69.0;42.0;30.0;33.0;56.0;59.0
130;21010;2010;76.0;63.0;81.0;;;;88.0;84.0;65.0;25.0;76.0;55.0;49.0;51.0;62.0;58.0;55.0
131;21010;2012;68.0;;;;;;89.0;72.0;68.0;17.0;73.0;47.0;36.0;38.0;57.0;46.0;47.0
132;21020;2006;85.0;90.0;75.0;1.0;25.0;12.0;87.0;64.0;64.0;27.0;66.0;72.0;44.0;25.0;40.0;54.0;59.0
133;21020;2010;81.0;67.0;82.0;;;;81.0;87.0;69.0;27.0;74.0;59.0;51.0;59.0;71.0;74.0;60.0
134;21020;2012;69.0;;;;;;79.0;56.0;62.0;17.0;69.0;41.0;41.0;49.0;49.0;53.0;61.0
135;21000;2006;80.0;73.0;82.0;12.0;28.0;16.0;82.0;65.0;77.0;32.0;75.0;76.0;46.0;47.0;56.0;71.0;64.0
136;21000;2010;76.0;71.0;81.0;;;;68.0;72.0;77.0;21.0;67.0;54.0;46.0;48.0;72.0;69.0;63.0
137;21000;2012;71.0;;;;;;70.0;75.0;76.0;29.0;67.0;45.0;47.0;45.0;59.0;68.0;59.0
138;21025;2006;76.0;86.0;79.0;12.0;36.0;14.0;59.0;61.0;68.0;38.0;73.0;63.0;37.0;44.0;41.0;54.0;57.0
139;21025;2010;74.0;65.0;78.0;;;;51.0;81.0;73.0;35.0;72.0;55.0;59.0;55.0;72.0;59.0;61.0
140;21025;2012;56.0;;;;;;56.0;67.0;68.0;19.0;64.0;27.0;42.0;46.0;54.0;44.0;48.0
141;21030;2006;69.0;75.0;72.0;8.0;30.0;16.0;58.0;58.0;65.0;27.0;72.0;55.0;39.0;39.0;43.0;57.0;56.0
142;21030;2010;68.0;55.0;74.0;;;;39.0;71.0;63.0;28.0;61.0;46.0;42.0;41.0;64.0;55.0;48.0
143;21030;2012;68.0;;;;;;40.0;65.0;72.0;27.0;66.0;40.0;41.0;42.0;59.0;53.0;52.0
