ID;TotaalHerkomstgroeperingen;Leeftijdsgroepen;Geslacht;Perioden;TotaalBevolkingsgroep_1;k_0Tot5_2;k_5Tot15_3;k_15Tot50_4;MeerDan50_5;Eenpersoonshuishouden_6;PaarZonderKinderen_7;PaarMetKinderen_8;Eenouderhuishouden_9;InstitutioneelHuishouden_10;OverigeTypenHuishouden_11;OnbekendTypeHuishouden_12;HeeftGeenWerk_13;HeeftWelWerk_14;HeeftGeenUitkering_15;HeeftWelUitkering_16;TotaalBevolkingsgroep_17;k_0Tot5_18;k_5Tot15_19;k_15Tot50_20;MeerDan50_21;Eenpersoonshuishouden_22;PaarZonderKinderen_23;PaarMetKinderen_24;Eenouderhuishouden_25;InstitutioneelHuishouden_26;OverigeTypenHuishouden_27;OnbekendTypeHuishouden_28;HeeftGeenWerk_29;HeeftWelWerk_30;HeeftGeenUitkering_31;HeeftWelUitkering_32
2233;Denemarken;45 tot 80 jaar;Totaal mannen en vrouwen;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2234;Denemarken;45 tot 80 jaar;Totaal mannen en vrouwen;2001;0.8;;;;;;;;;;;;;;;;0.9;1.3;;;;;;;;;;;;;0.8;
2235;Denemarken;45 tot 80 jaar;Totaal mannen en vrouwen;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2236;Denemarken;45 tot 80 jaar;Totaal mannen en vrouwen;2003;;;;;;;;;;;;;;;;;0.6;;;;;;;;;;;;;;0.6;
2237;Denemarken;45 tot 80 jaar;Totaal mannen en vrouwen;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2238;Denemarken;45 tot 80 jaar;Totaal mannen en vrouwen;2005;0.9;;;;;;;;;;;;1.2;;;;0.9;;;;;2.4;;;;;;;1.4;;0.6;
2239;Denemarken;45 tot 80 jaar;Totaal mannen en vrouwen;2006*;0.8;;;;;;;;;;;;;;;;0.9;;;;;;;;;;;;;;;
2240;Denemarken;45 tot 80 jaar;Mannen;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2241;Denemarken;45 tot 80 jaar;Mannen;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2242;Denemarken;45 tot 80 jaar;Mannen;2001;;;;;;;;;;;;;;;;;1.5;2.6;;;;;;;;;;;;;1.4;
2243;Denemarken;45 tot 80 jaar;Mannen;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2244;Denemarken;45 tot 80 jaar;Mannen;2003;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;
2245;Denemarken;45 tot 80 jaar;Mannen;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2246;Denemarken;45 tot 80 jaar;Mannen;2005;;;;;;;;;;;;;;;;;1.3;;;;;;;;;;;;;;;
2247;Denemarken;45 tot 80 jaar;Mannen;2006*;1.5;;;;;;;;;;;;;;;;1.5;;;;;;;;;;;;;;;
2248;Denemarken;45 tot 80 jaar;Vrouwen;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2249;Denemarken;45 tot 80 jaar;Vrouwen;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2250;Denemarken;45 tot 80 jaar;Vrouwen;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2251;Denemarken;45 tot 80 jaar;Vrouwen;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2252;Denemarken;45 tot 80 jaar;Vrouwen;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2253;Denemarken;45 tot 80 jaar;Vrouwen;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2254;Denemarken;45 tot 80 jaar;Vrouwen;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2255;Denemarken;45 tot 80 jaar;Vrouwen;2006*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2256;Denemarken;12 tot 80 jaar;Totaal mannen en vrouwen;1999;1.0;0.7;0.9;1.8;;1.7;;0.9;;;;;1.2;0.8;0.7;4.1;1.0;0.6;0.9;1.9;;1.6;;1.0;;;;;1.1;0.9;0.7;3.6
2257;Denemarken;12 tot 80 jaar;Totaal mannen en vrouwen;2000;0.5;;;;;;;;;;;;0.8;;0.2;3.2;0.5;;;;;;;;;;;;0.7;;;2.6
2258;Denemarken;12 tot 80 jaar;Totaal mannen en vrouwen;2001;0.8;0.8;0.7;;;0.9;;0.8;;;;;1.0;0.6;0.7;;0.9;1.1;0.7;;;;0.9;1.0;;;;;1.2;0.7;0.8;
2259;Denemarken;12 tot 80 jaar;Totaal mannen en vrouwen;2002;0.7;;0.6;1.2;;0.9;;;;;;;0.6;0.7;0.6;;0.7;;0.6;1.3;;0.9;;;;;;;0.5;0.7;0.5;
2260;Denemarken;12 tot 80 jaar;Totaal mannen en vrouwen;2003;0.8;;0.8;1.1;;;0.8;;;;;;0.8;0.9;0.7;2.3;0.9;;0.9;1.3;;1.0;;;;;;;0.8;0.9;0.8;
2261;Denemarken;12 tot 80 jaar;Totaal mannen en vrouwen;2004;0.9;;1.2;1.3;;1.0;;0.8;;;;;1.0;0.9;0.9;;0.9;;1.3;1.2;;1.0;;0.8;;;;;0.9;0.9;0.9;
2262;Denemarken;12 tot 80 jaar;Totaal mannen en vrouwen;2005;1.4;1.1;1.7;;;1.8;0.8;0.9;4.7;;;;1.5;1.3;1.2;3.1;1.4;1.1;1.7;;;1.9;0.8;0.9;5.1;;;;1.6;1.2;1.1;3.2
2263;Denemarken;12 tot 80 jaar;Totaal mannen en vrouwen;2006*;1.3;;;;;;;;;;;;;;;;1.4;;;;;;;;;;;;;;;
2264;Denemarken;12 tot 80 jaar;Mannen;1999;1.9;1.3;1.5;3.4;;3.0;;1.9;;;;;2.3;1.6;1.3;7.6;1.6;1.1;;3.1;;2.6;;1.7;;;;;1.9;1.4;1.1;5.9
2265;Denemarken;12 tot 80 jaar;Mannen;2000;0.8;;;;;;;;;;;;;;;;0.7;;;;;;;;;;;;;;;
2266;Denemarken;12 tot 80 jaar;Mannen;2001;1.3;1.7;;;;;;1.4;;;;;1.8;1.0;1.2;;1.4;2.0;;;;;1.7;1.6;;;;;2.0;1.1;1.3;
2267;Denemarken;12 tot 80 jaar;Mannen;2002;1.3;;;;;;;;;;;;;1.3;1.0;;1.2;;;2.3;;;;;;;;;;1.2;1.0;
2268;Denemarken;12 tot 80 jaar;Mannen;2003;1.7;;1.4;2.5;;;;;;;;;1.5;1.7;1.4;;1.5;;1.4;2.5;;;;;;;;;1.4;1.6;1.3;
2269;Denemarken;12 tot 80 jaar;Mannen;2004;1.7;;2.2;;;;;1.6;;;;;2.1;1.4;1.6;;1.5;;2.2;;;;;1.3;;;;;1.9;1.3;1.5;
2270;Denemarken;12 tot 80 jaar;Mannen;2005;2.5;2.2;3.2;;;2.8;;1.8;10.2;;;;3.2;2.1;2.1;6.7;2.3;1.8;3.0;;;2.8;;1.5;10.4;;;;3.0;1.8;1.8;5.9
2271;Denemarken;12 tot 80 jaar;Mannen;2006*;2.5;;;;;;;;;;;;;;;;2.4;;;;;;;;;;;;;;;
2272;Denemarken;12 tot 80 jaar;Vrouwen;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2273;Denemarken;12 tot 80 jaar;Vrouwen;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2274;Denemarken;12 tot 80 jaar;Vrouwen;2001;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2275;Denemarken;12 tot 80 jaar;Vrouwen;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2276;Denemarken;12 tot 80 jaar;Vrouwen;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2277;Denemarken;12 tot 80 jaar;Vrouwen;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2278;Denemarken;12 tot 80 jaar;Vrouwen;2005;0.5;;;;;;;;;;;;;;0.4;;0.5;;;;;;;;;;;;;;0.5;
2279;Denemarken;12 tot 80 jaar;Vrouwen;2006*;0.4;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;
2280;Denemarken;12 tot 25 jaar;Totaal mannen en vrouwen;1999;1.6;;;;;;;;;;;;;;;;1.7;;;;;;;;;;;;;;1.4;
2281;Denemarken;12 tot 25 jaar;Totaal mannen en vrouwen;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2282;Denemarken;12 tot 25 jaar;Totaal mannen en vrouwen;2001;1.3;;;;;;;;;;;;;;;;1.4;;;;;;;;;;;;;;1.3;
2283;Denemarken;12 tot 25 jaar;Totaal mannen en vrouwen;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2284;Denemarken;12 tot 25 jaar;Totaal mannen en vrouwen;2003;1.3;;;;;;;;;;;;;;1.3;;1.3;;;;;;;;;;;;;;1.3;
2285;Denemarken;12 tot 25 jaar;Totaal mannen en vrouwen;2004;2.0;;;;;;;2.5;;;;;1.8;;2.0;;1.9;;;;;;;2.5;;;;;1.8;;2.0;
2286;Denemarken;12 tot 25 jaar;Totaal mannen en vrouwen;2005;2.5;;3.3;;;;;;7.9;;;;2.0;;2.0;;2.5;;3.3;;;;;;7.8;;;;2.0;;2.0;
2287;Denemarken;12 tot 25 jaar;Totaal mannen en vrouwen;2006*;3.5;;;;;;;;;;;;;;;;3.5;;;;;;;;;;;;;;;
2288;Denemarken;12 tot 25 jaar;Mannen;1999;2.8;;;;;;;;;;;;;;;;2.8;;;;;;;;;;;;;;;
2289;Denemarken;12 tot 25 jaar;Mannen;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2290;Denemarken;12 tot 25 jaar;Mannen;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2291;Denemarken;12 tot 25 jaar;Mannen;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2292;Denemarken;12 tot 25 jaar;Mannen;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2293;Denemarken;12 tot 25 jaar;Mannen;2004;3.6;;;;;;;;;;;;;;3.7;;3.6;;;;;;;;;;;;;;3.7;
2294;Denemarken;12 tot 25 jaar;Mannen;2005;4.1;;6.4;;;;;;12.8;;;;3.6;;3.3;;4.1;;6.4;;;;;;12.8;;;;3.5;;3.2;
2295;Denemarken;12 tot 25 jaar;Mannen;2006*;5.4;;;;;;;;;;;;;;;;5.5;;;;;;;;;;;;;;;
2296;Denemarken;12 tot 25 jaar;Vrouwen;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2297;Denemarken;12 tot 25 jaar;Vrouwen;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2298;Denemarken;12 tot 25 jaar;Vrouwen;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2299;Denemarken;12 tot 25 jaar;Vrouwen;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2300;Denemarken;12 tot 25 jaar;Vrouwen;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2301;Denemarken;12 tot 25 jaar;Vrouwen;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2302;Denemarken;12 tot 25 jaar;Vrouwen;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2303;Denemarken;12 tot 25 jaar;Vrouwen;2006*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2304;Dominicaanse Republiek;12 tot 18 jaar;Totaal mannen en vrouwen;1999;5.5;;;6.4;;;;3.7;6.5;;;;5.6;;5.5;;5.8;;;6.7;;;;;6.8;;;;5.9;;5.8;
2305;Dominicaanse Republiek;12 tot 18 jaar;Totaal mannen en vrouwen;2000;5.0;;5.3;7.4;;;;3.1;6.1;;;;4.1;9.9;5.0;;5.0;;;7.4;;;;;6.1;;;;4.2;;5.1;
2306;Dominicaanse Republiek;12 tot 18 jaar;Totaal mannen en vrouwen;2001;5.6;;8.3;5.9;;;;3.5;7.2;;;;5.2;7.5;5.6;;5.7;;8.3;6.0;;;;;7.2;;;;5.2;;5.6;
2307;Dominicaanse Republiek;12 tot 18 jaar;Totaal mannen en vrouwen;2002;6.0;;8.2;5.4;6.0;;;5.8;4.1;;;;6.1;;6.1;;6.1;;8.3;5.5;;;;5.8;4.2;;;;6.2;;6.2;
2308;Dominicaanse Republiek;12 tot 18 jaar;Totaal mannen en vrouwen;2003;7.0;;7.0;5.3;10.5;;;5.1;7.4;;;;6.9;;7.0;;7.0;;;5.3;10.6;;;5.1;7.4;;;;6.9;;7.0;
2309;Dominicaanse Republiek;12 tot 18 jaar;Totaal mannen en vrouwen;2004;8.1;;8.4;6.7;11.5;;;5.7;8.5;;;;7.8;11.8;8.1;;8.0;;8.4;6.7;11.4;;;5.7;8.4;;;;7.7;;8.0;
2310;Dominicaanse Republiek;12 tot 18 jaar;Totaal mannen en vrouwen;2005;7.7;;7.4;8.8;8.0;;;4.1;9.5;;;;7.6;9.3;7.7;;7.6;;;8.7;7.9;;;4.0;9.3;;;;7.5;;7.6;
2311;Dominicaanse Republiek;12 tot 18 jaar;Totaal mannen en vrouwen;2006*;7.0;;;;;;;;;;;;;;;;6.9;;;;;;;;;;;;;;;
2312;Dominicaanse Republiek;12 tot 18 jaar;Mannen;1999;9.6;;;11.6;;;;7.2;11.3;;;;9.3;;9.6;;9.6;;;11.6;;;;;11.3;;;;9.3;;9.6;
2313;Dominicaanse Republiek;12 tot 18 jaar;Mannen;2000;7.8;;;10.8;;;;;9.0;;;;6.3;18.2;7.9;;7.8;;;10.8;;;;;;;;;6.3;;7.9;
2314;Dominicaanse Republiek;12 tot 18 jaar;Mannen;2001;9.2;;13.0;10.3;;;;6.1;12.0;;;;8.9;;9.1;;9.2;;;10.3;;;;;12.0;;;;8.9;;9.1;
2315;Dominicaanse Republiek;12 tot 18 jaar;Mannen;2002;10.2;;11.7;9.2;11.0;;;9.0;7.0;;;;10.4;;10.3;;10.2;;;9.2;;;;9.0;;;;;10.4;;10.3;
2316;Dominicaanse Republiek;12 tot 18 jaar;Mannen;2003;10.2;;11.3;8.8;13.5;;;7.5;10.2;;;;9.9;;10.2;;10.2;;;8.8;;;;;10.2;;;;9.9;;10.2;
2317;Dominicaanse Republiek;12 tot 18 jaar;Mannen;2004;13.0;;11.8;11.5;19.0;;;9.3;13.5;;;;12.4;;13.0;;13.0;;;11.5;19.0;;;9.3;13.5;;;;12.4;;13.0;
2318;Dominicaanse Republiek;12 tot 18 jaar;Mannen;2005;11.5;;8.9;13.4;12.7;;;6.3;13.9;;;;11.4;;11.6;;11.5;;;13.4;12.7;;;;13.9;;;;11.4;;11.6;
2319;Dominicaanse Republiek;12 tot 18 jaar;Mannen;2006*;10.6;;;;;;;;;;;;;;;;10.6;;;;;;;;;;;;;;;
2320;Dominicaanse Republiek;12 tot 18 jaar;Vrouwen;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2321;Dominicaanse Republiek;12 tot 18 jaar;Vrouwen;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2322;Dominicaanse Republiek;12 tot 18 jaar;Vrouwen;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2323;Dominicaanse Republiek;12 tot 18 jaar;Vrouwen;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2324;Dominicaanse Republiek;12 tot 18 jaar;Vrouwen;2003;3.6;;;;;;;;4.3;;;;3.9;;3.7;;3.6;;;;;;;;;;;;3.9;;3.7;
2325;Dominicaanse Republiek;12 tot 18 jaar;Vrouwen;2004;2.8;;;;;;;;;;;;2.8;;2.8;;;;;;;;;;;;;;;;;
2326;Dominicaanse Republiek;12 tot 18 jaar;Vrouwen;2005;3.6;;;;;;;;4.7;;;;3.3;;3.4;;3.6;;;;;;;;;;;;;;3.4;
2327;Dominicaanse Republiek;12 tot 18 jaar;Vrouwen;2006*;3.1;;;;;;;;;;;;;;;;3.1;;;;;;;;;;;;;;;
2328;Dominicaanse Republiek;18 tot 25 jaar;Totaal mannen en vrouwen;1999;7.9;;7.1;7.8;9.1;11.3;;;7.5;;;;9.3;5.9;6.3;11.7;8.4;;;8.2;9.2;12.0;;;7.8;;;;9.9;6.3;6.7;12.4
2329;Dominicaanse Republiek;18 tot 25 jaar;Totaal mannen en vrouwen;2000;8.9;;7.6;8.2;10.4;10.5;;7.6;6.4;;;;10.0;7.3;9.2;8.0;9.7;;;9.1;11.4;11.4;;8.4;7.1;;;;11.0;8.1;10.1;8.8
2330;Dominicaanse Republiek;18 tot 25 jaar;Totaal mannen en vrouwen;2001;8.2;;8.0;8.0;8.7;9.4;8.5;6.3;7.8;;;;9.9;6.2;7.8;9.4;8.8;;;8.8;8.8;9.8;;;8.3;;;;10.6;6.8;8.6;9.7
2331;Dominicaanse Republiek;18 tot 25 jaar;Totaal mannen en vrouwen;2002;8.6;;8.8;8.6;9.8;8.1;;6.7;11.0;;;;11.0;5.6;8.6;8.8;9.3;;9.5;9.2;10.6;8.6;;;12.0;;;;11.8;6.1;9.2;9.5
2332;Dominicaanse Republiek;18 tot 25 jaar;Totaal mannen en vrouwen;2003;8.2;;9.0;7.6;10.2;9.2;;7.5;8.8;;;;9.0;7.1;8.5;7.3;8.8;;9.4;8.2;10.8;9.8;;7.9;9.5;;;;9.7;7.5;9.0;7.9
2333;Dominicaanse Republiek;18 tot 25 jaar;Totaal mannen en vrouwen;2004;11.7;;11.9;13.5;10.2;14.2;;7.5;11.7;;16.9;17.5;13.3;8.9;11.1;13.7;12.2;;12.4;14.1;10.7;14.9;;7.9;12.1;;;;13.9;9.5;11.7;14.2
2334;Dominicaanse Republiek;18 tot 25 jaar;Totaal mannen en vrouwen;2005;10.2;10.7;11.9;9.3;10.0;9.6;;9.8;10.3;;;20.0;13.2;5.4;8.6;15.6;10.6;;12.6;9.7;10.5;10.1;;10.4;10.6;;;;13.9;5.6;9.1;16.3
2335;Dominicaanse Republiek;18 tot 25 jaar;Totaal mannen en vrouwen;2006*;9.6;;;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;
2336;Dominicaanse Republiek;18 tot 25 jaar;Mannen;1999;12.2;;14.6;12.0;10.2;16.0;;;;;;;15.8;9.0;9.7;19.8;12.2;;;12.0;;16.0;;;;;;;15.8;9.0;9.7;19.8
2337;Dominicaanse Republiek;18 tot 25 jaar;Mannen;2000;16.7;;12.4;16.7;19.1;16.7;;14.7;14.3;;;;19.9;13.7;16.3;18.8;16.7;;;16.7;19.1;16.7;;;;;;;19.9;13.7;16.3;
2338;Dominicaanse Republiek;18 tot 25 jaar;Mannen;2001;12.9;;12.0;14.4;9.7;12.0;;11.5;13.4;;;;16.0;10.1;13.0;;12.9;;;14.4;;12.0;;;;;;;16.0;10.1;13.0;
2339;Dominicaanse Republiek;18 tot 25 jaar;Mannen;2002;15.1;;14.5;15.1;17.2;12.1;;13.3;22.1;;;;19.9;10.0;14.3;21.0;15.1;;14.5;15.1;17.2;12.1;;;22.1;;;;19.9;10.0;14.3;
2340;Dominicaanse Republiek;18 tot 25 jaar;Mannen;2003;14.4;;13.3;15.0;16.6;14.3;;11.2;18.0;;;;17.9;10.4;13.8;17.6;14.4;;13.3;15.0;16.6;14.3;;;18.0;;;;17.9;10.4;13.8;
2341;Dominicaanse Republiek;18 tot 25 jaar;Mannen;2004;19.3;;18.6;22.6;17.6;22.3;;13.3;18.4;;;;21.9;15.7;18.4;24.1;19.3;;18.6;22.6;17.6;22.3;;;18.4;;;;21.9;15.7;18.4;24.1
2342;Dominicaanse Republiek;18 tot 25 jaar;Mannen;2005;17.6;18.9;21.3;15.3;17.7;16.2;;18.7;16.7;;;35.1;24.0;8.9;15.1;29.7;17.6;;21.3;15.3;17.7;16.2;;18.7;16.7;;;;24.0;8.9;15.1;29.7
2343;Dominicaanse Republiek;18 tot 25 jaar;Mannen;2006*;17.0;;;;;;;;;;;;;;;;17.0;;;;;;;;;;;;;;;
2344;Dominicaanse Republiek;18 tot 25 jaar;Vrouwen;1999;4.3;;;;8.1;;;;;;;;5.5;;3.1;6.7;4.3;;;;;;;;;;;;;;;
2345;Dominicaanse Republiek;18 tot 25 jaar;Vrouwen;2000;2.4;;;;;;;;;;;;3.8;;;;;;;;;;;;;;;;;;;
2346;Dominicaanse Republiek;18 tot 25 jaar;Vrouwen;2001;4.6;;;;7.8;;;;5.2;;;;6.2;;2.9;8.3;4.6;;;;;;;;;;;;6.2;;;
2347;Dominicaanse Republiek;18 tot 25 jaar;Vrouwen;2002;3.2;;;3.6;;;;;4.8;;;;4.6;;2.9;;3.2;;;;;;;;;;;;;;;
2348;Dominicaanse Republiek;18 tot 25 jaar;Vrouwen;2003;3.0;;;;;;;;;;;;2.9;;3.1;;;;;;;;;;;;;;;;;
2349;Dominicaanse Republiek;18 tot 25 jaar;Vrouwen;2004;4.9;;;5.9;;;;;6.9;;;;6.6;;3.6;8.3;4.9;;;;;;;;;;;;6.6;;;
2350;Dominicaanse Republiek;18 tot 25 jaar;Vrouwen;2005;3.4;;;4.4;;;;;6.3;;;;4.4;;2.1;7.1;3.4;;;;;;;;;;;;;;;
2351;Dominicaanse Republiek;18 tot 25 jaar;Vrouwen;2006*;2.8;;;;;;;;;;;;;;;;2.8;;;;;;;;;;;;;;;
2352;Dominicaanse Republiek;25 tot 45 jaar;Totaal mannen en vrouwen;1999;4.3;;2.8;4.5;6.9;7.9;2.2;3.0;3.6;;13.5;;4.3;4.4;3.5;5.9;8.2;;5.4;8.6;11.8;12.5;4.3;5.6;5.6;;22.0;;8.3;8.1;7.0;10.5
2353;Dominicaanse Republiek;25 tot 45 jaar;Totaal mannen en vrouwen;2000;3.4;;2.0;2.8;6.3;7.5;1.8;2.1;1.8;;;;3.3;3.4;2.5;5.0;6.3;;3.6;5.1;10.7;10.9;3.5;4.1;3.0;;13.3;;6.5;6.1;4.9;9.4
2354;Dominicaanse Republiek;25 tot 45 jaar;Totaal mannen en vrouwen;2001;4.0;;2.7;4.2;6.1;7.6;2.7;3.0;2.8;;;;4.9;2.8;3.4;5.4;6.4;;4.5;6.3;9.0;10.6;4.9;4.3;3.6;;;;8.0;4.6;5.7;8.2
2355;Dominicaanse Republiek;25 tot 45 jaar;Totaal mannen en vrouwen;2002;4.7;;2.8;4.4;7.6;8.4;2.9;3.0;4.4;;;;5.6;3.2;4.2;5.7;7.4;4.4;4.5;6.6;11.4;12.0;5.2;5.3;5.6;;10.0;;9.2;5.1;7.1;8.3
2356;Dominicaanse Republiek;25 tot 45 jaar;Totaal mannen en vrouwen;2003;6.0;3.3;4.4;6.2;8.1;11.1;3.5;4.1;5.2;;;9.3;6.8;4.7;5.0;8.0;8.9;4.9;6.7;9.4;11.1;14.9;5.1;6.7;6.0;;;14.2;10.2;7.0;8.0;11.0
2357;Dominicaanse Republiek;25 tot 45 jaar;Totaal mannen en vrouwen;2004;6.5;5.3;5.0;7.2;7.2;12.3;4.3;4.3;5.2;;9.2;10.6;8.1;3.8;5.5;8.5;9.2;8.2;8.1;9.8;9.6;15.4;7.1;5.8;6.3;;12.5;13.8;11.5;5.9;7.9;12.1
2358;Dominicaanse Republiek;25 tot 45 jaar;Totaal mannen en vrouwen;2005;5.8;;4.4;6.7;6.9;10.3;3.3;4.1;4.8;;9.4;10.6;6.8;4.0;4.6;8.0;8.1;;6.6;9.1;9.5;13.0;4.8;5.4;6.4;;11.5;16.4;10.1;5.2;6.7;11.2
2359;Dominicaanse Republiek;25 tot 45 jaar;Totaal mannen en vrouwen;2006*;6.2;;;;;;;;;;;;;;;;8.5;;;;;;;;;;;;;;;
2360;Dominicaanse Republiek;25 tot 45 jaar;Mannen;1999;14.4;;10.1;15.2;17.5;16.0;;10.2;;;29.4;;18.8;11.6;12.3;19.1;14.4;;10.1;15.2;17.5;16.0;9.1;10.2;19.4;;29.4;;18.8;11.6;12.3;19.1
2361;Dominicaanse Republiek;25 tot 45 jaar;Mannen;2000;11.4;;;9.1;16.1;13.8;;7.5;;;;;14.6;9.2;8.6;18.2;11.4;;6.8;9.1;16.1;13.8;7.6;7.5;;;18.2;;14.6;9.2;8.6;18.2
2362;Dominicaanse Republiek;25 tot 45 jaar;Mannen;2001;10.8;;8.2;10.2;13.3;13.5;10.2;7.0;;;;;15.7;7.0;9.5;14.9;10.8;;8.2;10.2;13.3;13.5;10.2;7.0;;;;;15.7;7.0;9.5;14.9
2363;Dominicaanse Republiek;25 tot 45 jaar;Mannen;2002;12.6;;8.6;10.4;17.0;15.7;10.5;10.0;;;;;17.3;7.8;11.9;14.8;12.6;12.5;8.6;10.4;17.0;15.7;10.5;10.0;12.3;;12.7;;17.3;7.8;11.9;14.8
2364;Dominicaanse Republiek;25 tot 45 jaar;Mannen;2003;14.7;;12.2;15.3;16.0;18.7;8.8;12.4;;;;20.0;18.1;10.6;13.3;18.4;14.7;;12.2;15.3;16.0;18.7;8.8;12.4;11.6;;;20.0;18.1;10.6;13.3;18.4
2365;Dominicaanse Republiek;25 tot 45 jaar;Mannen;2004;14.7;17.4;15.0;14.8;13.9;18.5;13.6;9.3;13.6;;15.9;;19.5;9.3;12.3;21.3;14.7;17.4;15.0;14.7;13.9;18.5;13.6;9.3;13.6;;15.9;;19.5;9.3;12.3;21.3
2366;Dominicaanse Republiek;25 tot 45 jaar;Mannen;2005;13.1;;11.5;13.9;14.2;16.1;8.2;8.6;16.0;;13.7;23.9;18.4;7.3;10.5;19.8;13.1;;11.5;13.9;14.2;16.1;8.2;8.6;16.0;;13.7;23.9;18.4;7.3;10.5;19.8
2367;Dominicaanse Republiek;25 tot 45 jaar;Mannen;2006*;13.7;;;;;;;;;;;;;;;;13.7;;;;;;;;;;;;;;;
2368;Dominicaanse Republiek;25 tot 45 jaar;Vrouwen;1999;1.7;;;1.8;2.6;;;;2.9;;;;2.2;;1.1;2.9;1.7;;;;;;;;;;;;2.2;;;2.9
2369;Dominicaanse Republiek;25 tot 45 jaar;Vrouwen;2000;1.0;;;;1.8;;;;;;;;1.3;;;1.8;1.0;;;;;;;;;;;;;;;
2370;Dominicaanse Republiek;25 tot 45 jaar;Vrouwen;2001;1.9;;;2.2;2.8;;;1.8;2.4;;;;2.5;;1.1;3.3;1.9;;;;;;;;;;;;2.5;;;3.3
2371;Dominicaanse Republiek;25 tot 45 jaar;Vrouwen;2002;2.1;;;2.3;3.2;;;;3.7;;;;2.6;;1.2;3.7;2.1;;;2.3;;;;;3.7;;;;2.6;;;3.7
2372;Dominicaanse Republiek;25 tot 45 jaar;Vrouwen;2003;3.0;;2.2;2.9;4.4;3.0;;1.5;4.7;;;;3.5;2.0;1.7;5.3;3.0;;;2.9;4.4;;;;4.7;;;;3.5;;1.7;5.3
2373;Dominicaanse Republiek;25 tot 45 jaar;Vrouwen;2004;3.6;2.9;1.8;4.2;4.3;5.4;;2.7;4.5;;;;4.8;;2.7;5.1;3.6;;;4.2;4.3;;;2.7;4.5;;;;4.8;;2.7;5.1
2374;Dominicaanse Republiek;25 tot 45 jaar;Vrouwen;2005;3.0;;2.0;3.8;3.5;4.0;;2.8;3.6;;;;3.5;2.2;2.0;4.7;3.0;;;3.8;3.5;;;2.8;3.6;;;;3.5;;2.0;4.7
2375;Dominicaanse Republiek;25 tot 45 jaar;Vrouwen;2006*;3.2;;;;;;;;;;;;;;;;3.2;;;;;;;;;;;;;;;
2376;Dominicaanse Republiek;45 tot 80 jaar;Totaal mannen en vrouwen;1999;1.5;;;;;;;;;;;;1.7;;;;1.6;;5.0;;;3.2;;;;;;;2.3;;;2.5
