ID;Overheidsinstellingen;Toepassingssectoren;Bestrijdingsmiddelen;Perioden;GebruikInKgWerkzameStof_1
1995;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Fluroxypyr-meptyl;1992;0
1996;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Fluroxypyr-meptyl;1995;0
1997;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Fluroxypyr-meptyl;2001;0
1998;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Fluroxypyr-meptyl;2005;0
1999;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Fluroxypyr-meptyl;2009;0
2000;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Fluroxypyr-meptyl;2013;0
2001;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Fluroxypyr-meptyl;2018;0
2002;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Glyfosaat;1992;13
2003;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Glyfosaat;1995;67
2004;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Glyfosaat;2001;8
2005;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Glyfosaat;2005;0
2006;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Glyfosaat;2009;0
2007;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Glyfosaat;2013;0
2008;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Glyfosaat;2018;0
2009;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Glufosinaat-ammonium;1992;0
2010;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Glufosinaat-ammonium;1995;0
2011;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Glufosinaat-ammonium;2001;0
2012;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Glufosinaat-ammonium;2005;0
2013;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Glufosinaat-ammonium;2009;0
2014;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Glufosinaat-ammonium;2013;0
2015;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Glufosinaat-ammonium;2018;0
2016;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;MCPA;1992;0
2017;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;MCPA;1995;0
2018;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;MCPA;2001;3
2019;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;MCPA;2005;0
2020;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;MCPA;2009;0
2021;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;MCPA;2013;0
2022;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;MCPA;2018;0
2023;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Mecoprop-P;1992;0
2024;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Mecoprop-P;1995;0
2025;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Mecoprop-P;2001;0
2026;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Mecoprop-P;2005;0
2027;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Mecoprop-P;2009;0
2028;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Mecoprop-P;2013;0
2029;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Mecoprop-P;2018;0
2030;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Simazin;1992;2
2031;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Simazin;1995;0
2032;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Simazin;2001;0
2033;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Simazin;2005;0
2034;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Simazin;2009;0
2035;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Simazin;2013;0
2036;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Simazin;2018;0
2037;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Triclopyr;1992;0
2038;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Triclopyr;1995;0
2039;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Triclopyr;2001;0
2040;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Triclopyr;2005;0
2041;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Triclopyr;2009;0
2042;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Triclopyr;2013;0
2043;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Triclopyr;2018;0
2044;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Overige herbiciden;1992;2
2045;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Overige herbiciden;1995;0
2046;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Overige herbiciden;2001;0
2047;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Overige herbiciden;2005;0
2048;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Overige herbiciden;2009;0
2049;Rijkswaterstaat;Beplantingen buiten de bebouwde kom;Overige herbiciden;2013;0
